#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b3897//ilvG//
leuZ	b0088//b3780//b3013//b4036//
lldR	b3416//b0091//b1180//
lpxP	b1175//b1518//b0996//b1215//
lspA	b1449//b1932//b0941//
lsrR	b2855//b2037//b0307//b4589//b0672//b0830//b4056//b3166//
lyx	b2713//b0734//
malQ	b4106//b2488//b1490//b0094//b2198//b3845//b3803//b1823//
manZ	b2264//b0796//b3479//
marR	b4202//b1942//
mcbA	b3228//b3299//
mcrA	b3013//b3300//
mdtJ	b4407//b0984//
menD	b2718//b1683//b2167//
metN	b0312//b1103//
mglC	b4603//b2957//b1486//
mhpB	b2032//b3670//
mhpF	b0311//b2525//
minD	b1464//b2309//
minE	b0860//b3770//
mnmG	b3180//b0723//
moaE	b3833//b1878//b1097//b0672//b3740//
mokB	b2704//b4034//
mpl	b4101//b3303//
mprA	b1358//b1207//b4154//
mraZ	b0975//b0756//b2017//b3123//
mrp	b3863//b0830//
murE	b2236//b3120//
nagB	b3537//b2713//
nanM	b1146//b3185//
napF	b0125//b2853//
napH	b3904//b1590//b1590//b1392//b2490//
narJ	b4231//b0366//b1307//
narZ	b1226//b3930//
nirD	b3603//b2013//b3125//
nrdG	b1879//ysaC//
nrdI	b1778//b1243//b1777//b3525//
nrfC	b3008//b0782//b4151//
nuoB	b3631//b2766//
nuoN	b4655//b1493//b0921//b3205//b3734//b2619//b0337//b0153//b3707//b2723//b1910//
oppF	b4239//b2255//b2608//b0396//b0429//
paaI	b3805//b1850//b3936//b0583//b3192//b4478//b3645//b0199//b1141//
pdhR	b3898//b1849//
pdxK	yrhA//b3205//b2878//
pflB	b4005//b3511//
pgk	b2908//b1555//b1823//
pheL	b4593//b2236//
phnE	b2530//b0125//
phnL	b0351//b3616//b2702//b0757//
pntA	b2725//b0026//
polA	b3618//b0721//
potH	b4259//b3597//b0805//b1335//b1468//b3728//b1124//
ppa	b0856//b3625//
ppdD	b0736//b1736//
ppx	b0905//b3326//
proX	b3463//b3869//b1037//
prpD	b0727//b2726//b3005//
pspD	b3191//ygaQ_2//yrhC//b2216//
pstB	b3964//b2093//
pstS	b3191//b4506//b3166//
purT	b2262//b3522//b3742//b0003//b0911//b1883//b2284//b0615//b1407//b0450//
putP	b4317//b0248//
puuR	b3871//b2930//b0738//b4035//
pyrI	b1942//b0830//b1040//b2500//b2572//b0828//
rbsK	b1174//b3324//b2849//b3517//b2764//
rcsD	b1824//b2249//
recQ	b2049//b4506//
relE	b3183//b2022//
rhaB	b3670//b1395//
ribF	b1885//b3930//b3656//b3231//
rlpB	b1931//b0979//b3310//
rluA	b1006//b1834//
rpmI	b3707//b3510//
rpoN	b1097//b3239//
rseA	b3432//b4187//
rsxB	b4609//b3513//
rtcR	b1942//b1396//
rutG	b0072//b2704//b1973//b2140//b0366//b1729//b2573//
ryhB	b4156//b3805//
sapD	b0113//b1503//b2425//
serC	b1263//b3511//
serT	b1298//b1316//b3344//b1421//
sfmH	b1102//b0779//
slyA	b3990//b2514//
smpB	ilvG//b2186//
srlE	b3628//b0296//b0368//b2461//b3784//
sroB	b4287//b2143//
sseB	b2205//b3116//
sspB	b1958//b4104//
ssrS	b3198//b1588//b4027//
sucD	b0253//b4188//b3323//b0724//b2894//b4052//b0642//b0775//b2013//b3475//b3303//b0783//b2463//
sufS	b1494//b3120//b0112//b1849//b2961//b1638//
tatA	b4334//b3176//
tdcG	b0094//b1255//b1515//b2852//b1942//b1628//b0751//
tdh	b1864//b1164//b4471//b1681//b4559//b4239//
tdk	b2162//b0588//
thrC	b4485//b3960//b3334//
thrW	yjhE//b0907//b1880//b0996//
tnaC	b0759//b3522//b0121//
tolC	b0806//b2941//b0961//b3429//
tolR	b1486//b1483//b1396//
treC	b2264//b2123//
trmI	b3530//b0799//
trpL	b3430//b0138//b3623//b1970//b1923//
truB	b3656//b0083//
truD	b3297//b3734//b2121//
trxA	b0473//b1281//
trxB	b3022//b0004//
tyrA	b1014//b3620//
tyrB	b0059//b3659//b3977//
tyrU	b1133//b3964//b1954//b4036//b1748//
upp	b1291//b0011//b2071//b1306//b0961//
uraA	b1263//b1394//b2017//
usg	b4566//b3739//
valV	b2840//b2480//b4032//
visC	b4237//b2167//b4057//b3123//
waaU	b3159//b2253//b0025//b2745//b1552//b2121//b1841//b2250//b3894//b1297//b2659//
wbbL	b2051//b1709//b2055//b3687//b1527//b0574//b3905//b1265//b4377//b1906//b0796//b1950//
wcaE	b0409//b1530//
wcaL	b1082//b2838//b3153//b1244//b1247//
wzxE	b0720//b2487//
xerD	b2424//b0059//
xylA	b2825//b1204//
yaaW	b3522//b1149//
yadM	b1175//ysaC//
yaeB	b2676//b1228//
yaeI	b3125//b0534//
yafZ	b3986//b3963//
yajG	b1633//b2661//b3304//b0710//
ybaN	b3430//b4603//b1709//b1008//b2240//
ybbC	b3314//b3731//
ybbW	b4382//b1789//b1120//b1784//b3079//
ybcO	b1415//b3972//
ybdD	b3299//b3454//b1772//b3769//b0245//b1611//b1428//b2025//
ybeA	b1944//b4183//b1993//b3981//b1844//b2992//
ybeZ	b1492//b0737//
ybfC	b1746//b3320//
ybgC	b3311//b3555//
ybgJ	b0112//b3785//
ybgT	b1742//b0505//b1710//b1747//
ybhC	b1492//b3305//b1906//b0063//
ybiC	b1851//b3930//b1307//b1149//b2288//b1167//b2137//b1081//b3654//b1103//b2528//b0063//b2880//b4565//
ybiH	b4156//b0809//
ybiX	b3099//b0028//b0199//b0003//b0980//b4052//b1140//b1735//b2464//b4188//b0811//b1171//b2104//b1294//b2348//
ybjC	b2698//b4376//
ycbS	b3785//b1048//
ycbT	b3977//b4249//
ycbZ	b0836//b1560//
yccB	b1388//b1509//b1519//b1617//b3099//b0231//b0928//b3454//b3158//b0897//
yccJ	b2482//b1155//
yccM	b1156//b0125//b2482//
yccW	b1493//b1291//b3658//
ycdZ	b0094//b1777//
yceD	b1589//b3972//
yceG	b4524//b3615//b1152//
ycfM	b0062//b1414//b2697//
ycgM	b4371//b2414//b2242//
ychS	b3596//b2767//b4511//b3739//b0058//b2730//b2216//
yciC	b2044//b1932//
yciH	b3711//b4013//
ycjT	b3596//b2757//
ycjV	b4467//b2754//b1082//
ydaU	b3509//b3983//
ydaV	b2097//b4222//
ydaW	b0088//b3967//
ydcQ	b2341//b1155//
ydcW	b2186//b1088//
yddB	b1297//b2194//
ydeT	b1281//b3625//b1881//
ydeU	b1125//b0171//
ydfE	b1263//b0922//b2723//
ydfV	b2047//b0450//
ydhS	b3199//b2911//
ydiH	b0588//b2012//
ydiR	b3026//b3959//
ydjL	b2500//b3167//b4076//b4378//
yeaC	b0992//b3861//b3797//
yeaK	b4117//b2756//ecpB//
yeaZ	b0782//b3779//b1991//
yebB	b1746//b0594//
yebC	b3387//b0313//b3307//b2871//b0904//b3981//b1701//
yebF	b4099//b1085//
yebG	b3302//b4052//b3721//b3229//b4592//b3953//b2852//b2019//b1225//b2991//b1478//b1172//b1299//b3170//b2998//
yebR	b1076//b3643//b2147//
yebT	b4428//b1226//
yedF	b4123//b3458//
yedI	b4355//b3377//
yedL	b0922//b4598//b1420//b1096//b0334//
yedZ	b2143//b2418//b1350//
yeeE	b2150//b1243//b0905//b3306//b0429//b2871//b4305//b4568//b1937//b2257//b4329//b0414//b0014//b3127//b0183//b3511//b3320//b4104//b0199//b3119//b3346//b1072//b0984//
yeeF	b0806//b0831//b3336//b0337//b3870//b3752//b0120//b3506//b1081//
yehM	b3305//b2762//
yehP	b0182//b3522//b3455//b2949//b2285//b0939//b1075//b1745//b3480//b3990//b3343//b2288//
yehU	b1039//b0263//
yeiS	b2414//b3562//
yejK	b4152//b1036//b1970//b3541//
yfaA	b3654//b3903//
yfaE	b2003//b2439//b1942//
yfaX	b2141//b2712//b2557//
yfaY	b2217//b1467//
yfaZ	b3530//b4539//
yfbM	b3637//b0033//
yfbN	b2871//b4068//
yfcM	b2530//b4222//
yfcP	b1841//b4376//b0083//b2703//b1760//b3936//
yfcV	b3153//b2991//
yffS	b3517//b2449//b3805//b2506//b0637//b0014//b0596//b1882//
yfgM	b4568//b3732//b1883//b1260//efeU//b1817//b3367//
yfjG	b1912//b0810//
ygaF	b1817//b4033//b4310//b2853//b0396//b2528//b3991//b2207//b2254//b4378//b0652//
ygbM	b1226//b0856//b3630//b0660//
ygcI	b1235//b4307//b2444//b2021//
ygcO	b3035//b0351//
ygeA	b1888//b1578//b1612//b0356//b0982//b1599//
ygeN	b0498//b1410//b3545//
ygfB	b0897//b3136//b0357//
ygfM	b4132//b1746//b3532//b2051//b3175//b3065//b3185//b3186//b0148//b3650//b3650//
ygfT	b1495//b0028//
ygfU	b0369//b3972//b1395//
yggF	b0430//b0710//b2524//
yghJ	b2721//b0836//b1824//
yghZ	b4154//b4152//
ygiQ	b4303//b1680//b2335//
ygiT	b1681//b0087//
ygjH	b0756//b1783//b0486//
ygjJ	b3315//b0121//b3513//
ygjK	b2012//b3626//
yhaB	b1332//b3617//
yhaO	b2013//b2715//
yhaV	b1420//b4603//
yhbE	b4592//b1155//
yhbJ	b3377//b3560//
yhbU	b3740//b3734//
yhbV	arpB//b1750//b0726//b4109//b2307//b0198//
yhbY	b1555//b1807//b1410//b1415//b4315//b4249//b3993//b3385//b3733//b2147//b4464//b1358//b3098//b2856//yrhA//b3129//b1258//b2908//b0082//b1255//b1577//b3684//ecpB//b0118//b4239//b3514//b2095//b0911//b0724//b3493//b3513//b2523//b0908//b2222//b1971//b1993//b3324//b1040//b4655//b4230//b2236//b3871//b3671//b3750//b2109//b2609//b1144//b2141//b2273//b4470//b2390//b2017//b1175//b4568//b2724//b0851//b2766//b1892//b2034//b2903//b1154//b3329//b0907//b2459//
yhcH	b0850//b3359//b0861//yncK//b0996//b2893//
yheL	b0958//b0002//b3168//b4110//
yheO	b3416//b4609//b3099//b4291//b1036//b1044//b3614//b4293//b2339//
yheS	b1796//b3629//
yhfU	b1953//b1134//
yhiI	b3708//b0641//
yhiM	b3523//b1391//b2167//b0979//b2288//b3510//b0772//b3562//b2095//b1514//b3555//b0026//b0062//b3327//b3208//b3892//
yhjE	b1662//b3476//b1004//b2424//b1194//b2141//b0137//b0158//b1593//b3779//b3704//b1157//b3222//b3300//b3918//b3212//b1682//b1578//b4096//b3212//b3614//b3787//b0779//b2678//b1755//b1890//b0032//b3703//b4380//b3555//b4317//b3976//b1420//b1389//b3615//b4348//b3783//b0590//
yiaB	b0059//b4100//
yiaK	b1919//b1751//
yibD	b4589//b1778//
yibI	b3395//b1891//
yibJ	b0334//b2447//
yibN	b2704//b0734//b2990//b1444//
yicE	b4096//b4126//
yidP	b3863//b2365//
yidZ	b3429//b3347//
yieK	b3972//b2530//
yigB	b1089//b1262//b1449//b1923//b4187//b1077//b2705//b1120//b0137//b4154//b0432//b2903//b0062//b1518//b0575//b0939//b0311//b2946//
yigL	b1891//b2333//
yigZ	b0897//b3778//b3457//b1361//b0641//b1004//b0158//b1988//b0545//b1599//b1628//b0369//
yijD	b4183//b1817//
yijF	b4585//b2162//b4485//
yjbR	b2422//b0450//
yjbS	b4032//yedS//
yjcH	b3001//b4238//b1189//
yjdA	b0232//b1927//b4380//b3926//b2738//b1588//b1819//b0939//b0585//b2906//b3994//b3153//b0306//b2036//b3618//b1298//b3624//b3487//b1878//b0198//b4593//b3893//b2451//b0468//b3317//b0973//b1772//b1480//
yjdJ	b2249//b1504//b1076//b2917//
yjdO	b1483//b3413//
yjeO	b2288//b1787//
yjfK	b3458//b3803//
yjfO	b0710//b0180//b0971//
yjfY	b3221//b1904//
yjgI	b0904//b1485//
yjgZ	b3430//b3138//b1075//b1467//
yjhC	b0013//b1304//
yjhX	b1199//b2458//
yjiH	b1747//b1316//b1745//
yjiM	b3265//b3530//
yjiX	b3305//b4369//
yjjI	b1922//yrhC//b3366//b3390//b3229//b0888//b3643//b4317//b0077//b3734//
yjjN	b3308//b0763//b4428//b2037//b3510//b3985//b1783//b2480//b1018//b1257//
yjjV	b3463//b3031//
ykfI	b2914//b1000//b1709//b3993//b2121//b0850//b2673//b1299//
ykgB	b1887//b1739//
ykgF	b2454//b0837//
ylbF	b1093//b3199//
yliI	b2262//b0764//
ymdA	b2440//b3129//b1349//b2933//b0831//b0059//b4376//b1923//b1007//b1164//b0158//b1564//b3845//b1195//b1483//b1078//b0414//b3321//b3386//b1832//b3983//b2037//b0830//b4280//b1527//b1818//b1929//b0923//b0077//
ymfE	b4280//b2867//
ymfR	b1167//b3509//
ymfS	b2335//b3326//b0451//b1255//b0989//b0078//
ymfT	b2776//b2266//b1167//b3239//b2544//b1784//b1312//
ymgC	b3303//b3540//b0996//b2776//
ymgI	b0331//b2699//b2703//
ynaJ	b0641//b2482//b1172//b1018//b4142//b2464//b1148//b3297//
ynbB	b4305//b2277//b3189//b0737//b0301//b1097//
ynbC	b0036//b1958//
yncB	b3792//b1756//b4289//b1070//b0594//b1843//b2206//b2906//
yncE	b1034//b3848//
yncK	b4153//b3318//b2849//b3982//b1926//b3475//b4585//
yneJ	b3787//b1149//
yneK	b0765//b1921//
yneL	b4233//b3431//b1171//b2186//b1225//b0534//b0554//b2266//b2765//
ynfH	b2464//b3629//b3797//b2146//b3809//b0195//b3168//
ynjD	b0710//b3906//b2036//
ynjE	b2339//b3811//b2248//b2017//b1483//
ynjH	b2109//b1388//b1003//b0072//b3771//
yoaD	b2663//b2723//b2456//
yoaG	b2126//b1150//
yobA	b2498//b2679//
yobB	b1343//b3477//b0945//
yobF	b4566//b1177//
yodA	b2092//b4186//b1339//
yodD	b3979//b1305//b1360//b0059//b4014//b2939//b4249//b3035//b0729//
yoeB	b1300//b4353//
yohC	b2673//b0758//
yohF	b3185//b4051//b0914//b2888//b3413//b1848//b3721//
yohK	b2751//b3751//
ypeC	b1593//b1878//
yphA	b3506//b1104//
yphB	b1010//b1072//
ypjI	b0941//b4122//
yqeC	b3367//b4226//b2487//b2096//
yqeK	b0974//b1646//b1683//b3741//b0071//b1844//b0088//
yqgB	b1939//b0594//b1586//b4132//b3432//b2092//b0023//b0593//b2619//b1015//b1393//b3741//b1093//b4378//b3493//b2598//b0015//b2022//b4426//b1389//b1350//b3993//b4149//b1224//
yqgD	b2454//b4122//
yqgF	b2448//b4239//
yqhG	b1710//b1937//b2145//
yqiA	b1153//b0999//
yrbA	b1679//b1818//b3624//b1335//b1755//
yrbC	b3993//b3313//
yrbF	b4289//b1744//b4056//
yrbK	b1362//b1791//b4565//b1519//
yrhA	b2526//b0431//
ysaC	b0025//b3956//b1243//b2443//b1744//b4143//b1958//b3739//b0772//b2721//b2017//b2652//
ytfP	b1628//b0497//
ytfT	b0171//b3740//b3300//b0081//b2715//b2048//b0232//b1188//
ythA	b0974//b1517//
ytjA	b1258//b3417//b1926//b3454//b3309//b3772//b1492//b0406//b3479//b0943//b1159//b0595//b1171//b2827//b4568//b1946//b1420//b1036//b3239//b4079//b3784//b4314//b4202//b3294//b3031//b2856//b2744//b1238//b0940//
zntR	b4303//b3580//
