#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b0523//yrhA//
hybG	b4288//b2256//b0972//
hybO	b3330//b3752//b2705//
hydN	b1207//b0975//b2327//b2887//b3718//b2230//b0120//b1304//b3260//b4353//b2873//
hyfB	b0884//b3297//b3629//
hyfR	b3345//b1150//b1828//b1755//b2573//
ibpB	b1900//b3326//
ileY	b2607//b1195//
ilvM	b0677//b0999//b1484//b4183//b2348//
ilvN	b1175//b2319//
iscU	b3792//b3213//b1252//b1849//b2726//
iscX	b1819//b2752//b2501//
kdsD	b2286//b0296//
ksgA	b2050//b1342//
lacZ	b2464//b4291//b1281//
lar	b3620//b1879//
leuZ	b0025//b4070//b0795//b2240//
lldR	b3493//b2378//b2840//
lpxP	b2619//b1576//b0072//b0973//
lspA	b3344//b0955//b1847//
lsrR	b2918//b3563//b3175//b3119//b3595//b3730//b4318//b2864//
lyx	b1761//b2185//
malQ	b0972//b3791//b4096//b1388//b1484//b0643//b4259//b1992//
manZ	b2034//b4032//b4158//
marR	b2616//b1435//
mcbA	ygeN//b2712//
mcrA	b3327//b2744//
mdtJ	b2498//b1930//
menD	b3649//b1516//b1480//
metN	b3386//b0979//
mglC	b2488//b0038//b1495//
mhpB	b1468//b3623//
mhpF	b0015//b0672//
minD	b4052//b3533//
minE	b1716//b1078//
mnmG	b2873//b3321//
moaE	b2168//b1882//b1742//b2287//b1973//
mokB	b1316//b0905//
mpl	b4122//b1921//
mprA	b2033//b3740//b0763//
mraZ	b2513//b2933//b0013//b3255//
mrp	b3728//b1832//
murE	b2679//b0999//
nagB	b3598//b3803//
nanM	b2676//b4459//
napF	b3454//b1665//
napH	b4154//b3787//b0184//b3141//b0724//
narJ	b3199//b0672//b3344//
narZ	b1147//b2273//
nirD	b4355//b2056//b2239//
nrdG	b1683//b3623//
nrdI	b2713//b0903//b2142//b1359//
nrfC	b3229//b4303//b1797//
nuoB	b0125//b1638//
nuoN	b0776//b2867//b0148//b1516//b2047//b3555//b2090//b0572//b3870//b1495//b4109//
oppF	b0351//b3893//b3932//b1292//b3463//
paaI	b3212//b3979//b0967//b3310//b1918//b0306//b1924//b0357//b0595//
pdhR	b1889//b3310//
pdxK	b3113//b3611//b2748//
pflB	b2992//b3520//
pgk	b2663//b3201//b1761//
pheL	b0615//b3686//
phnE	b0051//b3805//
phnL	b4101//b2208//b2597//b1884//
pntA	b2728//b3031//
polA	b0945//b2261//
potH	b1494//b3728//b3180//b3898//b0723//b0431//b1587//
ppa	b0015//b3318//
ppdD	b3541//b0171//
ppx	b1495//b1919//
proX	b3749//b2041//b3627//
prpD	b1155//b3963//b2468//
pspD	b1672//b3637//b3670//b4100//
pstB	b2543//b0366//
pstS	b0487//b2841//b2019//
purT	b0081//b2911//b1153//b1866//b3541//b1487//b0737//b0263//b2205//b1172//
putP	b4259//b2971//
puuR	b2678//b4585//b2722//b3190//
pyrI	b2738//b2514//ilvG//b2738//b1305//b1291//
rbsK	b0307//b2143//b4568//b2450//b2755//
rcsD	b2256//b0170//
recQ	b2524//b0616//
relE	b4315//b0781//
rhaB	b0796//b3962//
ribF	b3984//b2886//b3711//b3035//
rlpB	b2851//b1085//b0782//
rluA	b3896//b1281//
rpmI	b1851//b1474//
rpoN	b1924//b1884//
rseA	b1037//b3342//
rsxB	b0518//b0180//
rtcR	b2308//b3848//
rutG	b1061//b2515//b4603//b3656//b0984//b0984//b2856//
ryhB	b2302//b0830//
sapD	b1876//b0137//b0186//
serC	b3617//b2840//
serT	b0038//b2828//b2378//b2113//
sfmH	b3944//b2461//
slyA	b4154//b4052//
smpB	b3707//b2486//
srlE	b2390//b0536//b4290//b0511//b2195//
sroB	b1366//b1638//
sseB	b0905//b2189//
sspB	b1351//b4318//
ssrS	b0554//b4158//b3983//
sucD	b0026//b1588//b1287//b2870//b1006//b0199//b1132//b4464//b1132//b3205//b0168//b3511//b4466//
sufS	b3299//b3138//b0735//b4290//b1098//b3838//
tatA	b0078//b2659//
tdcG	b1512//b0143//b3201//b1133//b2421//b3802//b4070//
tdh	b0245//b2282//b0025//b4072//b2312//b0195//
tdk	b0921//b1167//
thrC	b1973//b1204//b4056//
thrW	b1746//b3781//b3479//b3631//
tnaC	b1651//b3168//b4315//
tolC	b4081//b1349//b3838//b3623//
tolR	b2498//b0058//b1096//
treC	b0545//b1147//
trmI	b2378//b4585//
trpL	b1292//b2205//b0554//b3826//b4071//
truB	b2499//b3533//
truD	b1724//ecpE//b1105//
trxA	b0586//b2506//
trxB	b3630//b1014//
tyrA	b1172//b1085//
tyrB	b1360//b4608//b0632//
tyrU	b1155//b0247//b3869//b0138//b0183//
upp	b3482//b0586//b1104//b1729//b3117//
uraA	b0131//b3100//b1443//
usg	b2597//b0329//
valV	b0244//b3985//b0143//
visC	b4348//b0094//b1750//b3512//
waaU	b2748//b3732//b0617//b0075//b2908//b2418//b1783//b1590//b4101//b3480//b2203//
wbbL	b1991//b3543//b0162//b4099//b0474//b1862//b3623//b1938//b0591//b2827//b3603//b3165//
wcaE	b1843//b4158//
wcaL	b1941//b3705//b0247//b0083//b3963//
wzxE	b4557//b2531//
xerD	b3417//b1358//
xylA	b3194//b2120//
yaaW	b1123//b1631//
yadM	b0738//b3739//
yaeB	b3176//b0180//
yaeI	b1133//b1235//
yafZ	b0864//b1864//
yajG	b0895//b1252//b2049//b0894//
ybaN	b0781//b2818//b2458//b3614//b4005//
ybbC	b4608//b2335//
ybbW	b1176//b1756//b3260//b3341//b4621//
ybcO	b2254//b2738//
ybdD	b3626//b2683//b1665//b1832//b3797//b3433//b2039//b3737//
ybeA	yjhE//b1931//b0421//b1146//b1685//b4609//
ybeZ	yncK//b2425//
ybfC	b2307//b1238//
ybgC	b3990//b3176//
ybgJ	b0018//b2461//
ybgT	b4200//b3400//b3199//b1194//
ybhC	b2283//b1342//pawZ//b2765//
ybiC	b0468//b4335//b1674//b2659//b2674//b2853//b2616//b1836//b4244//b0983//b0635//b4377//b2530//b1243//
ybiH	b2933//b1190//
ybiX	b2990//b1172//b1777//b0584//b2123//b2736//b1918//b4469//b1228//b3555//b3982//b3318//b2506//b2620//b3119//
ybjC	b1586//b1297//
ycbS	b2914//b3785//
ycbT	b2698//b3545//
ycbZ	b0497//b2652//
yccB	b3478//b2276//b1844//b1886//b3432//b2618//b4383//b1235//b2525//b2217//
yccJ	b0973//b2252//
yccM	b1125//b0344//b1299//
yccW	b4515//b3265//b2783//
ycdZ	b1449//b0574//
yceD	b1593//b3769//
yceG	b3905//b3314//b3704//
ycfM	b3684//b3750//b2500//
ycgM	b3167//b2273//b4006//
ychS	b0365//b4013//b4201//b1435//b3956//b0854//b0591//
yciC	b3905//b3477//
yciH	b4289//b1443//
ycjT	b3953//b1082//
ycjV	b2500//b0820//b4201//
ydaU	b4377//b2763//
ydaV	b2704//b2005//
ydaW	b3752//b3367//
ydcQ	b1155//b4512//
ydcW	b4464//b3123//
yddB	b0982//b1493//
ydeT	b1921//b2302//b1955//
ydeU	b1948//b3629//
ydfE	b1611//b1972//b0823//
ydfV	b2744//b1407//
ydhS	b3825//b2024//
ydiH	b4231//b0498//
ydiR	b1761//b2661//
ydjL	b0509//b2236//b1335//b1316//
yeaC	b1435//b3486//b1299//
yeaK	b3875//b0955//b1744//
yeaZ	b0777//b1259//b3580//
yebB	wbbL//b1244//
yebC	b3614//b4154//b2121//b1134//b1039//b1051//ybfG//
yebF	b3931//b2150//
yebG	b2719//b1096//b1138//b4330//b1864//b0062//b3985//b1742//b0248//b1736//b2280//b4053//b1909//b1685//b2421//
yebR	b2333//b4329//b3317//
yebT	b1071//b2480//
yedF	b0775//b1832//
yedI	b2097//b3176//
yedL	b2123//b4051//b4149//b1577//b3796//
yedZ	b0704//b4383//b4378//
yeeE	b3330//b1014//b0575//b1736//b0234//b1888//b4277//b3631//b2949//b2706//b0585//b0092//b0368//b4319//b2697//b2109//b2730//b3429//b0784//b2068//b3659//b3846//b2285//
yeeF	b0032//b1756//b0334//b0533//b2126//b3344//b0941//b3035//b0485//
yehM	b1880//b1200//
yehP	b2713//b3119//b3035//b3195//yrhC//b0764//b3640//b1783//b1580//b2033//b2676//b1843//
yehU	b1900//b1306//
yeiS	b0583//b4380//
yejK	b1698//b3426//b4559//b2150//
yfaA	b0073//b0051//
yfaE	b1247//b1009//b0864//
yfaX	b0428//ygaQ_2//b1259//
yfaY	b2726//b0585//
yfaZ	b3008//b1684//
yfbM	b2286//b0093//
yfbN	b4451//b2881//
yfcM	b3236//b0307//
yfcP	b2285//b3704//b2704//b1600//b3322//b2241//
yfcV	b3632//b1306//
yffS	b2423//b0092//b3870//b3322//b2455//b0139//b1886//b3941//
yfgM	b2240//b2003//b0406//b3792//b0756//b1150//b1828//
yfjG	b0871//b3367//
ygaF	b3737//b2619//b2893//b1051//b3618//b2019//b4287//b2459//b2488//b3741//b4348//
ygbM	b4311//b4287//b2800//b0836//
ygcI	b1590//b0921//b0139//b0594//
ygcO	b4280//b1410//
ygeA	b3661//b4201//b1519//b1662//b0523//b3563//
ygeN	b3340//b0118//b2767//
ygfB	b0734//b1566//b2150//
ygfM	b3021//b2048//b2673//b2252//b3738//b3992//b3189//b1587//b3565//b3927//b0094//
ygfT	b0907//b3811//
ygfU	b1662//b0961//b2661//
yggF	b0182//b1517//b2091//
yghJ	b1924//b1949//b1920//
yghZ	b0121//b3906//
ygiQ	b2041//b3963//b2767//
ygiT	b2672//b2737//
ygjH	b1014//b3342//b0248//
ygjJ	b3295//b1097//b1564//
ygjK	b2318//b0724//
yhaB	b0513//b4557//
yhaO	b2514//b2914//
yhaV	b0232//b2439//
yhbE	b3792//b3998//
yhbJ	b3687//b1199//
yhbU	b1051//b0518//
yhbV	b2335//b2765//b3074//b2053//b4113//b3704//
yhbY	b3115//b3904//b0782//b1482//b0736//b0545//b1264//b0575//b0583//b3172//b2872//b0013//b0334//b0356//b2108//b3021//b0997//b0170//b0115//b1815//b4053//b1435//b3725//b2143//b1709//b2501//b2698//b3636//b4328//b4382//b1000//b3378//b1633//b2149//b3386//b3197//b1717//b3562//b3705//b2104//b2851//b3008//b3898//b1588//b3964//b1207//b1396//b0273//b4254//b0589//b3623//b1078//b2037//b3632//b2488//b2679//b0865//b1350//b0522//b2460//b0533//b4100//b1514//b0903//
yhcH	b2887//b3516//b0801//b0421//b3822//b4524//
yheL	b2302//b3905//b1515//b3536//
yheO	b3932//b1076//b4443//b1189//b3390//b3870//b0025//b2609//b1612//
yheS	b0073//b1531//
yhfU	b4287//b3981//
yhiI	b4231//b3312//
yhiM	b2125//b2036//b0344//b0089//b0075//b4287//b0736//b1564//b4291//b3799//b3184//b1888//b3413//b2241//b0015//b1506//
yhjE	b3825//b1628//b3617//b3861//b3115//b2719//b0233//b1662//b3690//b1133//b1791//b3292//b3596//b2557//b1777//b3251//b3728//b1495//b0989//b3099//b0050//b1717//b3771//b1003//b2197//b3838//b4035//b2766//b1503//b4053//b3304//b2282//b0125//b2906//b3893//b1235//b1007//b3927//
yiaB	b0945//b1177//
yiaK	b2378//b2167//
yibD	b1340//b2684//
yibI	b0758//b0038//
yibJ	b3074//b0358//
yibN	b3180//b2600//b1009//b0182//
yicE	b0244//b3180//
yidP	b3896//b2091//
yidZ	b4128//b1824//
yieK	b1155//b4610//
yigB	b3189//b2490//b2319//b2738//b1778//b3611//b4618//b2941//b1889//b2828//b3645//b2326//b2673//b0653//b3726//b4655//b3514//b2853//
yigL	b4371//b0598//
yigZ	b1258//b2276//b3259//b1207//b0653//b2252//b3596//b4024//b1662//b2048//b0430//b4096//
yijD	b0904//b4380//
yijF	b0063//b3367//b0764//
yjbR	b1464//b4123//
yjbS	b0344//b2071//
yjcH	b1674//b3617//b2992//
yjdA	b0511//b0485//b4539//b1938//b3305//b1755//b1073//b4015//b3265//b1061//b4469//b1750//b2094//b1132//b0027//b3870//b1844//b1104//b1265//b0575//b0617//b1505//b2026//b2264//b1177//b4568//b3537//b1948//
yjdJ	b0150//b0536//b1393//b3613//
yjdO	b2123//b2217//
yjeO	b3786//b4202//
yjfK	b1684//b3735//
yjfO	b0421//b3310//b1154//
yjfY	b3433//b2414//
yjgI	b0636//b0074//
yjgZ	b1018//b4618//b0369//b2422//
yjhC	b1815//b1946//
yjhX	b2755//b1841//
yjiH	b2455//b1942//b3933//
yjiM	b2517//b3976//
yjiX	b2720//b1120//
yjjI	b3180//b0108//b2126//b2449//b2090//b2699//b4371//b1832//b3129//b1588//
yjjN	b0350//b2926//b3457//b3805//b2439//b1633//b1629//b1307//b4035//b1190//
yjjV	b4142//b2020//
ykfI	b3129//b1494//b1919//b0643//b3623//b3981//b2040//b0860//
ykgB	b4460//b1923//
ykgF	b1778//b3400//
ylbF	b4142//b2853//
yliI	b4070//b2491//
ymdA	b1783//b1444//b3710//b0763//b3361//b2933//b2960//b0811//b3366//b2713//b4015//b2365//b0082//b1889//b4005//b4156//b1293//b2144//b1646//b3186//b2387//b3848//b1708//b3533//b1360//b1468//b2526//b4589//b0428//
ymfE	b1587//b4539//
ymfR	b1467//b2348//
ymfS	b0059//b4414//b1348//b0784//b3508//b2675//
ymfT	b1159//b1888//b3098//b1260//b1554//b1203//b4048//
ymgC	b2767//b2103//b3192//b0273//
ymgI	b2514//b1120//b3626//
ynaJ	b1630//b1513//yncK//b1789//b2145//b0450//b0980//b2455//
ynbB	b4557//b3153//b3195//b3128//b2142//b1941//
ynbC	b2276//b2248//
yncB	b3202//b1097//b3848//b1156//b3533//b0113//b1282//b4335//
yncE	b2080//b1503//
yncK	b2022//b3849//b2601//b2421//b3123//b2327//b2684//
yneJ	b4096//b2911//
yneK	b3542//b1603//
yneL	b1735//b2047//b2056//b1499//b2887//b2446//b1494//b1294//b3021//
ynfH	b0485//b4319//b3640//b0148//b3403//b3487//b3180//
ynjD	b1407//b2867//b1438//
ynjE	b1746//b3625//b1126//b0989//b0199//
ynjH	b0984//b4037//b2454//b2284//b3430//
yoaD	b0910//b4592//b4418//
yoaG	b2872//b1254//
yobA	b2169//b2482//
yobB	b4024//b2037//b0336//
yobF	b2444//b1946//
yodA	b2025//b4289//b0632//
yodD	b1600//b3597//b1300//b2257//b0038//b2307//b1566//b2051//b2162//
yoeB	b4460//b3956//
yohC	b4376//b0733//
yohF	b3365//b2302//b1708//b0862//b2144//b2728//b2335//
yohK	b1506//b3783//
ypeC	b1074//b0051//
yphA	b0063//b2249//
yphB	b3956//b3130//
ypjI	b2525//b1082//
yqeC	b1973//b2800//b2961//b2748//
yqeK	b3195//b1848//b1600//b3533//b1746//b3200//b1452//
yqgB	b0518//b3734//b3343//b1946//b2530//b4469//b1307//b1992//b3656//b3165//b3336//b1391//b2206//b1174//b1756//b0357//b2513//b0350//b2168//b1490//b3509//b3809//b4153//b0545//
yqgD	b4467//b0333//
yqgF	b3627//b4618//
yqhG	b1834//b0051//b0589//
yqiA	b3455//b3977//
yrbA	b3670//b2673//b1167//b3536//b3960//
yrbC	b0831//b4526//
yrbF	b2032//b3301//b0344//
yrbK	b3311//b0343//b1662//b1264//
yrhA	b2327//b3752//
ysaC	b0002//yrhC//b2941//b1901//b3478//b3311//b3826//b3544//b0343//b4239//b2198//b4032//
ytfP	b2763//b3810//
ytfT	ilvG//b1165//b2702//b3299//b3850//b3555//b3781//b0751//
ythA	ygaQ_2//b1389//
ytjA	b2684//b1443//b0248//b0356//b0164//b1006//b4330//b1264//b3026//b1514//b1040//b3627//b0972//b3981//b0365//b1791//b1506//b2672//b3299//b4443//b2203//b0637//b0350//b1102//b2277//b2893//b1493//b2025//b0342//
zntR	b1368//b4070//
