#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	b2913//b3394//b4513//rhmR//
go_0001124_8	b3224//
go_0001407_7	b1686//b2125//b1314//b4326//
go_0001510_5	b3546//b3422//b0737//b0162//
go_0001514_8	b0755//
go_0001522_7	b2153//b3140//b3875//b1633//
go_0001558_5	b1023//b3005//
go_0001561_6	b0588//
go_0001676_6	b0212//
go_0001680_11	b2615//
go_0001682_11	b2297//
go_0001731_7	b0450//
go_0001762_6	b2897//
go_0001887_4	b1833//b0723//
go_0001896_5	b1588//b1753//b3887//b1023//
go_0002047_6	b3049//b2218//
go_0002097_8	b3867//
go_0002098_9	b4094//b2199//b3082//b1955//b2374//b1206//b0378//
go_0002099_9	b0882//b0369//
go_0002100_9	b1447//
go_0002101_9	b3735//
go_0002128_7	b0492//b1297//
go_0002131_9	b2666//
go_0002132_9	b0876//
go_0002136_10	b4143//
go_0002143_9	b1080//b2252//b4025//b2169//b2240//b2892//
go_0002181_7	b1249//b3416//
go_0002184_8	b0022//
go_0002188_6	b0627//
go_0002192_8	b1479//
go_0002937_9	b3294//
go_0002938_8	b3782//
go_0002939_7	b0974//
go_0002943_8	b2622//
go_0002949_8	b0305//b2313//b3034//b3169//
go_0003333_7	b0463//b4318//b3912//b2979//b2148//b2386//b1054//b2285//b2456//b1184//b3816//b4058//b1015//b1340//b4067//b0214//b2220//
go_0005975_4	b3701//b3590//b1393//b2758//b2675//b4485//b2392//b2741//b1563//b3516//b4359//b0822//b1921//b3433//b3416//b2028//b4520//b0106//b2296//b2110//b1278//
go_0005976_5	b2568//
go_0005977_6	b4363//
go_0005978_7	b0269//b2476//b4428//b1489//
go_0005980_7	b2242//b2110//b2559//
go_0005986_7	b3312//
go_0005990_7	b2347//b1184//
go_0005992_7	b3243//b1563//
go_0005993_7	b1448//b3872//b0819//
go_0005995_7	b2209//
go_0005998_7	b2516//
go_0006000_6	b0027//
go_0006001_7	b0329//b1939//
go_0006002_5	b1505//b3750//b2406//
go_0006006_6	b0032//b3866//b1256//b1276//b3986//b3516//b0970//b2196//
go_0006007_7	b3415//b3141//
go_0006011_5	b1335//
go_0006012_6	b4222//b1411//
go_0006013_6	b2575//
go_0006014_6	b3167//
go_0006015_7	b2392//b4190//
go_0006020_5	b3579//
go_0006044_7	b1588//
go_0006046_8	b4665//b2580//b0160//b4152//
go_0006047_5	b3565//b4269//
go_0006048_6	b0180//b3736//b1199//b3271//b2797//b2599//
go_0006053_8	b2159//
go_0006062_8	b4391//
go_0006071_6	b3726//b2903//b4058//
go_0006072_6	b2906//
go_0006082_4	b3341//b2209//
go_0006083_6	b3693//b2995//b1180//
go_0006086_8	b1237//
go_0006090_8	b0095//b3288//b4079//b3546//
go_0006094_7	b2366//b0182//b2246//b4095//b2551//b0473//b4480//b4191//b3117//b4219//
go_0006096_6	b1805//b3881//b1913//b3515//b0272//b3236//b0263//b0051//b4000//b0708//b4171//b4380//b1783//b0287//b0043//b1703//b1434//b2811//
go_0006097_5	b3093//b1300//b4000//b2686//b3344//
go_0006098_6	b4079//b3183//b2529//b3928//b0763//
go_0006099_4	b4415//b1785//b2151//b3567//b3745//b2521//b0001//b1275//b3563//b0854//b1520//b1225//b3461//b0404//b1166//b3831//b1249//
go_0006103_5	b1413//
go_0006104_6	b2882//b0294//b3008//
go_0006105_5	b0388//b0518//b2175//b2820//gapC//
go_0006106_8	b0723//
go_0006107_8	b0555//
go_0006108_8	b3513//b3929//b3403//b1790//b4146//
go_0006113_5	b2066//b4138//b2037//b0240//b1688//b1677//b1960//b2989//
go_0006115_6	rhmD//
go_0006124_6	b2698//
go_0006144_6	b2834//b0755//
go_0006145_7	b0947//
go_0006146_8	b3899//b2673//
go_0006148_9	b3893//
go_0006149_9	b0708//
go_0006150_9	b0211//
go_0006152_7	b2113//b2334//b3875//b0031//b2010//
go_0006154_6	b0543//
go_0006161_9	b1840//
go_0006163_6	b3429//
go_0006164_7	b1220//b2696//b3341//b1004//
go_0006166_6	b3609//
go_0006168_7	b0417//b1445//
go_0006171_9	b2451//
go_0006172_9	b2687//
go_0006177_9	b4483//
go_0006178_7	b1798//
go_0006183_9	b2168//
go_0006189_10	b4230//b4173//
go_0006203_8	b2336//b2976//
go_0006206_6	b2308//b3742//b1790//b1828//
go_0006207_8	b3612//b3026//b2733//b1292//b0093//
go_0006208_7	b0112//b4224//b3713//b0124//b1713//b3685//b4460//b0369//
go_0006209_6	b3114//
go_0006210_8	b2010//
go_0006212_6	rpnC//b2362//b2303//b2306//b3178//b4222//b0945//b3838//b3966//b3153//b1045//
go_0006217_9	b3170//
go_0006218_9	b0680//
go_0006220_6	b1116//
go_0006221_7	b3128//b1740//b0032//b4138//
go_0006222_9	b4232//
go_0006225_9	b1160//
go_0006226_9	b3415//b0981//
go_0006227_9	b1447//
go_0006231_9	b4117//
go_0006233_9	b3062//
go_0006235_9	b2797//
go_0006241_9	b4080//
go_0006259_5	b2515//b2907//b4041//b2451//b3441//b0061//b0214//
go_0006260_6	b4378//b3902//b2406//b2705//b2498//b2413//b3930//b2028//b2208//b0154//b1236//b3192//b0462//
go_0006261_7	b3087//b0356//b1348//b1516//b1756//b1262//b2564//b1887//rhmR//b3297//
go_0006265_6	b2206//arcC//b2060//b1039//b3972//
go_0006266_6	b0304//b3168//b0881//
go_0006267_5	b1780//
go_0006268_9	b0620//b2245//b2098//
go_0006269_6	b4153//
go_0006270_6	b0083//b1922//b2516//b1279//b4513//
go_0006271_7	b2954//b0185//b0742//
go_0006274_6	b0154//
go_0006275_7	b1112//
go_0006276_3	b3955//b0506//b2105//b4166//b1513//b0133//
go_0006281_6	b0083//b3326//b0732//b0443//b3925//b2515//b1609//b3266//b2831//b2392//b4314//b0908//b1011//b2796//b1053//b2573//b0186//b1650//b2788//b3563//b2782//b2998//b2865//b3766//b2389//
go_0006283_8	b1743//
go_0006284_7	b3453//b1531//b0131//b1429//b4064//b0443//
go_0006285_6	b0507//b3917//b4386//b3786//
go_0006288_8	b3857//b2630//
go_0006289_7	b1048//
go_0006298_7	b3664//b3060//b1912//b3021//b2536//b1424//b1769//b1319//b3872//b2422//
go_0006301_7	b1801//
go_0006302_7	b3816//b1062//b3133//b3409//b4483//b3390//b1945//b2952//b1009//
go_0006307_8	b1805//b0410//b2813//b4177//b3320//
go_0006308_6	b3212//b1389//b4666//b2313//b4141//b3786//b4174//b4298//b0590//b1018//b2541//
go_0006310_6	b1139//b1430//b1139//b0419//b2836//b1976//b0889//b2425//b1192//b0960//b3967//b1704//b2559//b4169//b3509//b2788//b2144//b0695//b0758//b2802//b3330//b2411//b2907//b2715//b2865//b2302//b2316//
go_0006313_4	b2669//b0741//b1967//b2029//b0731//b0059//b2077//
go_0006351_6	b0006//b3789//b1815//b1271//b1393//b0260//b1261//b0103//b3962//b3153//b3894//b3476//b0116//b3052//b2523//b1324//b2311//b2701//b0451//b0015//b1857//b2992//b0871//b1520//b3178//b3164//b1380//b1093//b0694//b2991//b3021//b0878//b3298//b3728//b2811//b2290//b1037//b4511//b2392//b0196//b1440//b0892//b0241//gpr//b4174//b3955//b3838//b2338//b4159//b2667//b0794//b4383//b3639//xisR//b1924//b0850//b2106//b2523//b1621//b2518//b3909//b2566//b0714//b1380//b4428//b1743//b0882//b3364//bioP//b2500//b2066//b1557//b2840//b3413//b2211//b2712//b1595//b0404//b4027//b1800//b2617//b2553//b3885//b1539//b2316//b4148//b2196//b3741//b1041//b3609//b0156//b0194//b0140//b2821//b2806//b4255//b3271//b3845//b2507//b0565//b3351//b3084//b0261//b2025//b1413//b4086//b3204//b3294//b1487//b1535//b3712//b3880//b2261//b0531//b4022//b2400//b2894//b1264//b0507//
go_0006352_7	b3619//b0195//b0019//
go_0006353_7	b3605//b4613//
go_0006354_7	b3541//b0430//
go_0006355_7	b0889//b3691//b1279//b3652//b4196//b1429//b3640//b4074//b3470//b2393//b3195//b2203//b4361//b2333//b3228//b0521//b2971//b0200//b0460//b4304//b0968//b1039//b1378//b3306//b4072//b1011//b4467//b2029//b2107//b0831//b0097//b2315//b0082//b3661//b0242//b3653//b3071//b3399//b0811//b2557//b4337//b2095//b4089//b1275//b0578//b2313//b4528//b1493//b1334//b3465//b3670//b3083//b1140//b3320//b0767//b2819//b3751//b3169//b0414//b3396//b0902//b0211//b2923//b3371//b2385//b2079//b3513//b0802//b1259//b3118//b0677//b0732//b2502//b2788//b4192//b3251//b4667//b2960//b3252//b1695//b0921//b1883//b4337//b2407//b3860//b3364//b4300//b2665//b2418//b3790//b3558//b3564//b1579//b3131//b1956//b1826//b4319//b1902//b3060//b3665//b3784//b3897//b3311//b2441//b0061//b3167//b1429//b1360//b1004//b4238//b2169//b2538//b3599//b2009//b1090//b1695//b3566//
go_0006357_8	b3430//
go_0006364_9	b2069//b1160//b2075//b0793//b2960//
go_0006378_8	b4557//b3515//
go_0006396_7	b4262//b3881//b2699//b2436//b1829//
go_0006397_8	b0732//b1619//
go_0006399_8	b4093//b2109//
go_0006400_7	b2328//b2021//b0060//b3960//b0439//
go_0006401_6	b2338//b1973//b3719//b0474//b2523//b4219//b1158//b1743//
go_0006402_7	b2277//b1693//b2260//b1399//b4198//b3358//b3459//b2005//b4118//b4131//b2710//
go_0006412_6	b2194//b0261//b4249//b0524//b0575//b0299//b3133//b4305//b2609//b3577//b3297//b1662//b3866//b0958//b0808//b1049//b2609//b2149//b4078//b4230//b1501//b3728//b3534//b3991//b1707//b3690//b3700//b0767//b2382//b1162//b0151//b1303//b1538//b1978//b1204//b0074//b0629//b4243//b0565//b1279//b2806//b1014//b0650//b2570//b0241//b1694//b3680//b0478//b2532//
go_0006413_4	b0088//b2323//
go_0006414_6	b2005//b2297//b4528//b4073//b2206//
go_0006415_7	b4705//b0738//b3867//b1389//b1186//b0423//
go_0006417_7	b1159//b3210//b4080//b4230//b0942//
go_0006418_7	b1159//b0262//b3685//b1812//b0437//b1530//b2976//b2883//b3662//b0166//b0166//b4479//
go_0006419_8	b2441//
go_0006420_8	b3542//
go_0006421_8	b4347//
go_0006422_8	b3780//
go_0006423_8	b2945//
go_0006424_8	b1625//b1264//
go_0006425_8	b3702//
go_0006427_8	b0169//
go_0006428_8	b1597//
go_0006429_8	b4201//
go_0006430_8	b1635//b0997//
go_0006431_8	b4358//
go_0006432_8	b2716//b2903//
go_0006433_8	b1271//
go_0006434_8	b0048//
go_0006435_8	b3256//
go_0006436_8	b4096//
go_0006437_8	b4324//
go_0006438_8	b1686//
go_0006448_8	b2323//
go_0006450_4	b1204//b3880//b4259//b4355//b1661//b0158//b2474//
go_0006457_3	b4254//b1918//b2042//b0256//b3546//b3781//b1307//glsA2//b1215//b3518//b3940//b0624//b3336//b3251//b3061//b2561//b3876//b0526//b1489//b1192//
go_0006458_4	b1612//
go_0006464_6	b0730//b4347//b0401//b0162//b0608//b2380//b1823//b3480//b4262//b0381//b0806//b0386//
go_0006465_6	b1951//b3125//b0305//
go_0006468_7	b3046//b3867//b3181//b2597//b0998//b3212//b1550//b2052//b1714//b1766//
go_0006470_7	b1576//b1861//b3630//b2751//b2114//b3020//b0894//b1380//b3619//b0087//b0388//b1733//b0680//
go_0006473_8	b1987//b2831//b2897//b1340//b1865//
go_0006474_6	b1654//b1342//b3149//b0805//b3392//
go_0006476_8	b0185//
go_0006479_5	b2995//b3197//b3405//b0775//b1021//b4189//
go_0006486_5	b3782//
go_0006490_5	b2730//
go_0006508_5	b0891//b1885//b3190//b2619//b0651//b0759//b0812//b3093//b2735//b0836//b0200//b3740//b0775//b2818//b4315//b2219//b2566//b0042//b0829//b2842//b2919//b0861//b0305//b4465//b0698//b1378//b1602//b0088//b3404//b0047//b3824//b2170//b2942//b0688//b2615//b1617//b2211//b3306//b1360//b0826//b3389//b3566//hxpB//b0963//
go_0006515_7	b2511//b0213//b4085//b1010//
go_0006517_6	b4180//b1764//b1738//b2110//
go_0006518_5	b4095//b2830//
go_0006523_8	b4254//b2219//
go_0006524_8	b0311//
go_0006526_8	b3684//b1071//b0238//b0098//b2820//b4317//b4352//
go_0006527_8	b2558//b3478//b0261//b0861//b3553//
go_0006529_7	b3349//b3126//
go_0006530_7	b3962//b2027//
go_0006531_7	b0804//
go_0006532_8	b1676//b1329//
go_0006535_8	b4172//b3017//b4124//
go_0006537_8	b0571//b2718//b3600//b3747//b0377//b2541//b0103//
go_0006538_8	b1872//b2774//
go_0006541_7	b2150//b1215//b0133//b2078//b0911//
go_0006542_8	b0528//b1633//
go_0006543_8	b0184//b2064//b3210//b0006//
go_0006545_6	b3981//
go_0006546_6	b1048//b3834//
go_0006554_8	b0232//b2514//
go_0006556_5	b0031//
go_0006559_6	b3996//b0417//
go_0006561_6	b4231//b3551//
go_0006563_7	b0677//
go_0006564_8	b3223//b3734//b0194//b1478//
go_0006565_8	b1247//b0890//b2268//b2762//b3897//
go_0006566_7	b4268//b2314//
go_0006567_8	b2224//b2108//b0420//b2168//b3093//b1409//b4357//b0014//
go_0006569_7	b0431//
go_0006571_7	b2424//b3514//
go_0006593_7	b3148//
go_0006598_8	b3643//b2741//b2082//
go_0006605_6	b1186//b3664//
go_0006612_6	b0564//
go_0006614_8	b1076//
go_0006616_7	b2763//b2338//b4239//
go_0006629_4	b0311//b2347//b1924//b3960//b1280//
go_0006631_5	b3161//b1680//b1998//b3609//b2575//
go_0006633_6	b0649//b2835//b1243//b4082//b2742//b0014//b1077//b0469//b1062//b1745//b1625//b2114//b2197//
go_0006635_6	b1188//b1241//b0679//b2709//b0741//b4460//b1072//b3676//b2518//b0661//b3271//b1467//b0393//
go_0006636_7	b3903//
go_0006637_5	b2236//b1859//yjgX//b3268//
go_0006646_7	b1298//
go_0006650_6	b3539//
go_0006654_7	b2579//
go_0006655_7	b1263//b1852//
go_0006725_4	b0912//
go_0006729_6	b0196//b4224//
go_0006730_4	b0144//b0303//b2206//
go_0006734_9	b3095//
go_0006740_4	b2442//b3143//
go_0006741_9	b0445//
go_0006742_8	b1201//
go_0006744_7	hxpB//b3703//b1116//b0452//b4011//b1096//b0903//b3529//b4280//b1236//b3752//b1247//b2594//
go_0006749_5	b4147//b3319//b3772//
go_0006750_6	b4359//b4401//
go_0006751_6	b2683//b4190//
go_0006757_5	b0732//
go_0006760_5	hxpA//
go_0006761_7	b0904//
go_0006771_5	b0268//
go_0006772_6	b0053//b1272//
go_0006777_5	b0603//b2338//b3603//b2793//b2128//b4359//b3846//b2608//
go_0006779_6	b1079//b2138//b3571//b4346//b3394//b3774//
go_0006780_7	b3032//
go_0006782_7	b0867//b3240//b3407//b3076//
go_0006783_5	b4039//b2202//b3883//b2703//b3926//b2177//b3195//b3182//
go_0006790_4	b0444//b0047//b1516//b1913//b3769//b1474//b2630//b2442//b3183//b3652//b2107//b0073//b4011//
go_0006791_2	b0404//b2125//b0452//b1662//
go_0006793_4	b1743//b2242//b2523//
go_0006798_5	b2165//
go_0006799_5	b3125//
go_0006801_5	b1703//b3080//b2114//
go_0006805_4	b1703//b3196//b4255//b0474//
go_0006807_3	b2478//b1531//b1244//b1698//
go_0006808_4	b0086//b3118//
go_0006810_4	b3857//b1037//b3704//b1394//b2458//b2111//b3433//b3442//b3785//b1883//b1130//b0001//b2415//b2154//b4666//b3642//b2523//selU//b1728//b2067//b3391//b3651//b4304//b3832//b1235//b4227//b2765//b3258//b2727//b3053//b2316//b3185//b0636//b3784//b0409//b3030//b0792//b1360//b0958//b3519//b0680//b1584//b2147//b3421//b1103//b2924//b2619//b0038//b4131//b0953//b0512//b2793//b0796//b0881//b2998//b2922//b1197//b4254//b3082//b2704//glsA1//b2379//b2162//b2992//b3138//b4019//b4237//b1658//b3125//b4409//b2414//b1993//b0688//b0315//b3321//b4366//b0531//b3580//b2425//b3543//b0602//b2076//b3416//b3924//b4392//b2777//b2406//b1930//b1545//b2338//b1849//b1211//b2169//b2380//b1084//b3225//b3583//b3199//b0946//b4004//b2430//b2600//b3726//b3012//b3029//b0437//b1696//b1128//b4358//b2781//b0915//b2782//b2667//b3200//b3662//b0099//b3967//b0426//b3713//b4133//b2683//b2992//b1734//b1876//b1320//b3547//b1780//b1469//b0688//b1245//b2777//b1617//b0152//b1399//b0741//b2174//b2634//b2801//b0878//b4128//b3710//b3734//b2217//b1584//b3850//b4399//b1920//b0934//b3750//b4380//
go_0006811_5	b2551//b3943//b0874//b4280//b1122//b2975//b0469//b3627//b3902//b4115//b2281//b2086//b1109//b2234//b2619//b3224//b1278//b2020//
go_0006812_6	b1851//b1127//
go_0006813_8	b0133//b0819//b4246//b3083//b2898//b2794//b3613//b4268//b0585//b4511//b0993//b3164//b1478//
go_0006814_8	b2760//b1160//b2898//b0778//
go_0006817_8	b3414//b2907//b1328//hprS//
go_0006820_6	b0627//b0447//b4510//b3775//insI3//
go_0006821_8	b2907//b0802//
go_0006824_8	b0593//b2990//b3928//b2933//
go_0006825_9	b0061//b2888//b0693//
go_0006826_9	b2281//
go_0006828_9	b3625//
go_0006829_9	b2526//b1526//b0463//b3068//b1887//b4081//
go_0006833_6	b2817//
go_0006835_8	b1203//b0003//
go_0006847_8	b0041//
go_0006855_6	b0940//b1603//b3199//b3407//b4005//b1833//b2425//b3959//b0639//b1237//b0639//b0680//b0070//b2975//b2527//b3502//b0835//b2024//b1463//b0095//b1349//b1448//b1023//b4602//
go_0006857_7	b2797//b3779//b3726//
go_0006863_7	b1292//
go_0006865_6	b1679//b2577//b0138//b3564//b2715//b2707//b4613//b1263//b1783//b0411//b0320//mtnN//b0840//b0053//b2094//b1824//b1299//b0543//b2441//b0052//b2386//b2947//b4144//b2098//b0566//b1113//
go_0006868_7	b0810//b2710//b4027//
go_0006869_6	b4479//b3344//
go_0006874_8	b2961//
go_0006876_8	b3226//
go_0006878_9	b1676//b2821//b3563//b1066//b1709//
go_0006879_9	b2311//rhmR//b3676//b4474//b3621//b3119//
go_0006880_4	b0225//b0341//b2742//
go_0006882_8	b2925//
go_0006883_8	b0436//b0555//b1176//
go_0006884_4	b0592//
go_0006885_9	b0572//
go_0006886_5	b2676//b0593//b3062//
go_0006928_3	b2630//b0840//b1776//b3213//mltG//b0299//b3881//b2303//
go_0006935_4	b3063//b2362//b3083//b1871//b3153//b0526//b2469//b2350//b2053//b1430//b3892//b3474//b0954//
go_0006970_4	b3931//b3503//b3201//b1650//b4352//b2979//b2413//b2835//b2837//b2028//b3163//b4112//b4109//b0969//b3829//b2320//
go_0006972_5	b1302//b3395//b3026//b3251//b0867//b1842//b2409//b2153//
go_0006974_5	b4510//b3498//b3918//b0724//b4174//b0323//b0841//b1886//b0436//b0393//b0071//b3312//b4154//b1124//b1805//b1759//b1592//b2930//b0472//b4375//b0484//b2202//b3599//b0946//b3266//b1113//b3718//b3909//b0189//b3904//b2109//b0508//b3860//b1252//b1247//b0162//b4242//b0571//b0915//b2582//b4474//b0956//b0659//b2423//b0830//b3030//b3577//b3906//b2132//b3582//b2760//b2281//b2836//b3908//b2839//b2607//b0469//b2138//b3050//b0110//b1080//b2283//b2269//b2624//b0728//b0781//b2616//b4041//b3925//b3421//b1614//b0657//b3635//b4187//b3030//b2971//b0095//b3406//b1991//b4161//gapC//b2763//b4088//b2458//b1801//b0065//b3931//b4138//b4316//b3249//b0072//b3805//b0115//b3710//b2524//b2995//b0414//b0066//b2992//b0076//b3967//b0336//b4662//b2615//b0871//b0905//b2458//b1780//b2802//b0934//b0166//b2023//b0316//b3185//b1642//b4073//b1198//b1702//b4058//b1133//b2052//b0174//b0226//b2893//b2964//b1380//b2415//b3260//b0171//b1805//b1985//b3309//b2905//b0349//b2779//b0718//b1872//b3475//b2947//b2924//b0189//b4309//b0040//b2934//b2763//b1497//b0694//b0999//b3915//b4399//b4195//b2378//b0653//b3926//b2079//b1587//b3928//b3789//b4032//b3241//b1711//b3053//rpnD//b3786//b1378//b3845//b3162//b0949//b4662//b0932//b4240//b0570//mltG//b2990//b3261//b2438//b1226//b1210//b2508//b3147//b4323//b1194//b2491//b3574//b1092//b0328//b2678//b2078//b1145//b1473//b2283//b2682//b0175//b3361//b0067//b1197//b2170//b2199//b1853//b3601//b0463//
go_0006979_4	b3393//b0115//b1260//b1058//b1514//b0171//b2220//b0167//b1236//b0924//b0030//b0979//b3486//b3581//b1871//b2285//b2914//b3708//b4155//b0033//b1004//b2739//b1901//b1227//b3931//b0067//b2217//b2663//b1004//b1221//b4269//b2415//b4375//b4087//b3585//b2595//b3953//b4020//b1918//b0014//b2526//b1093//b1653//b2615//
go_0006986_5	b4161//b2159//b2785//b4022//b3961//b0855//
go_0006995_6	b1871//b2508//
go_0007059_3	b0694//b1895//b4268//b3357//b2791//b0146//b3600//b1881//b1830//b3384//
go_0007062_4	b1424//b0829//b3705//b4637//
go_0007155_3	b1828//b3556//b2113//b1435//b2901//b1516//b2844//b3179//b0353//b0032//b2492//b3081//b2935//b2744//b4313//b3912//b2201//b3588//b2289//b1873//b0003//b2627//b0963//
go_0007165_3	b4116//b0437//b0856//b0973//b0008//b1539//b2350//b1004//b3304//
go_0007234_5	b3860//
go_0007584_4	b3500//
go_0008033_9	b0871//b1981//b3068//b0410//b1049//b0491//b2734//b3018//
go_0008104_4	b0139//
go_0008152_2	b1492//b3461//b3345//b1724//b2794//b4119//b0571//b2248//b1520//b3524//b0045//b0032//b2297//b1022//b2354//b0507//b1860//b0641//b2057//b4382//b3089//b1990//b3954//b0644//b1740//
go_0008156_8	b0947//
go_0008219_3	b0067//b1921//b1734//
go_0008272_6	b0415//b1162//b3917//b0460//
go_0008295_6	b2797//b3568//b1683//
go_0008299_5	b0273//b4235//
go_0008360_4	b2385//b3493//b3349//b3153//b0546//b2827//b1871//b3310//b2037//b3020//b0174//b2333//b0973//mtnN//b2606//b0111//
go_0008610_5	b0344//b1570//b3671//b4240//b0350//
go_0008615_6	b0411//b0998//b3321//b0172//b2197//b4327//b3564//
go_0008616_8	b0104//b2392//b2005//b2729//b3751//b2252//b2831//
go_0008643_6	b0764//b0809//b1799//b0539//b0088//b1731//b3456//b1390//b0452//ftp//b2146//b0911//b4026//b3522//b1320//b1117//b3591//b1817//b4136//b3438//b0363//b3089//b3715//b0900//b1713//
go_0008652_5	b1661//b1613//b0186//b1552//b3965//b2406//b4086//b3223//
go_0008653_5	b3156//b1848//
go_0008654_5	b0197//b0483//b1782//b3091//b3744//b0853//
go_0009050_6	b2138//b1018//
go_0009052_6	b0861//b2303//b1636//b4112//b0483//b2901//b0139//
go_0009056_3	b3884//
go_0009058_3	b4544//b1221//b2201//
go_0009060_6	b0038//b3616//b1069//b2609//b2871//b0893//b0240//b2338//b0831//b2218//b3190//b2266//b4207//b2058//b2477//b1275//b2252//b3128//b1956//b0323//b2919//b2025//
go_0009061_6	b0504//b2686//b4161//b1270//b0699//b2206//b2640//b2566//b2754//b2891//b0947//b3428//b3390//b2784//b0638//b0722//b0087//b0779//b3719//b2318//b2918//b4392//b0790//b1324//b0186//b0045//b2179//b2040//b0443//b1407//b4326//b0798//b3300//b1288//b2067//b2349//b0740//b1658//b2955//b3306//b4637//b3591//b0094//b3709//b2179//bioD2//b2897//b1855//b2068//b2038//b3604//b3093//b2290//b3772//b3584//
go_0009062_6	b4539//
go_0009063_5	b1092//b3244//b2752//b1260//
go_0009070_7	b2151//
go_0009073_6	b0418//b2316//b2269//b3634//b2132//b2362//b4014//b4027//b3522//b4467//
go_0009081_5	b0595//
go_0009082_6	b3703//b1930//b2628//b1871//b1069//
go_0009085_8	b0636//
go_0009086_7	b4172//b1244//b3582//b3499//b2327//
go_0009088_8	qorA//b2113//
go_0009089_6	b2077//b3477//b0092//b4428//b2079//b2318//b0180//
go_0009090_8	b4154//b4143//b0388//b4267//
go_0009092_7	b2803//
go_0009093_7	b1978//b2975//b2106//
go_0009094_6	b4477//b4506//b2750//
go_0009097_7	b3709//b2741//b3478//b3153//b4098//b2198//b1298//
go_0009098_7	b1501//b3576//b0876//b3134//b1370//b0636//b3316//
go_0009099_7	b4042//b3778//b3997//b3741//b0573//b2684//b3368//b2005//b3279//b2821//
go_0009102_6	b1270//b0934//b3249//b4190//b4327//b1099//b4483//b4252//b2661//b0444//b3310//b3260//b0355//
go_0009103_6	b2106//b0091//b4064//b3292//b3847//b2877//b2788//b4154//b1663//b0276//b2136//
go_0009106_5	b1710//
go_0009107_6	b2430//b4022//
go_0009108_6	b2796//
go_0009116_5	glsA//b3303//
go_0009142_7	b0276//b3196//b2597//
go_0009143_7	b3943//
go_0009152_8	b4096//
go_0009157_8	b2265//
go_0009166_7	b0020//b3478//
go_0009168_9	b2421//
go_0009220_8	b3771//b1600//
go_0009224_9	b3733//b4083//
go_0009226_6	b2109//b0832//
go_0009228_7	b3009//b0717//b4666//b1644//b3542//b3514//b3753//b0914//b3628//
go_0009229_6	b0593//b4357//
go_0009231_6	b1010//b3130//b3641//b0168//b1262//b0331//b4353//
go_0009234_7	b4147//b0828//b4309//b1876//b2792//b2334//b1478//b0624//b3824//b2607//
go_0009236_6	b1006//b2048//b4115//b4483//b3514//b0089//
go_0009237_4	b0529//
