#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	arcC//b3905//b1328//b0675//
go_0000731_7	b2370//b2025//b0032//b2474//
go_0000737_7	b0071//
go_0000738_7	b1035//b3116//b4018//
go_0000746_4	b1832//
go_0000820_7	b2831//
go_0000902_5	b3226//
go_0000910_4	b2177//b4096//b0655//
go_0000917_6	b1557//b3699//b0752//b3639//b0415//
go_0000918_6	b2004//b0304//b0779//b0830//
go_0000920_3	b3133//b2406//b3421//b0421//b3093//
go_0000921_6	b3164//
go_0000967_10	insI4//b0697//b3628//
go_0001101_4	b0957//b2844//b3559//b2830//b3223//
go_0001121_7	b4177//b2061//
go_0001123_8	b2510//
go_0001124_8	b4666//
go_0001407_7	b0588//b4113//b0728//b0098//
go_0001510_5	b3870//b3073//b2100//b2830//
go_0001514_8	b3706//
go_0001522_7	b1327//b4093//b0886//b3152//
go_0001558_5	b0688//b2256//
go_0001561_6	b2531//
go_0001676_6	b1117//
go_0001680_11	b0195//
go_0001682_11	b1804//
go_0001731_7	insI4//
go_0001762_6	b3309//
go_0001887_4	b0467//b3161//
go_0001896_5	b4117//b0636//b1202//b4174//
go_0002047_6	b4019//b4124//
go_0002097_8	b0415//
go_0002098_9	b0867//b4196//b4373//b3417//b1513//b2963//b3261//
go_0002099_9	b1071//b1756//
go_0002100_9	b2842//
go_0002101_9	b2260//
go_0002128_7	b1397//b0826//
go_0002131_9	b3962//
go_0002132_9	b3498//
go_0002136_10	b1084//
go_0002143_9	b2914//b1014//b4162//b4301//b3342//b3836//
go_0002181_7	b2383//b3520//
go_0002184_8	b0444//
go_0002188_6	b1072//
go_0002192_8	b3654//
go_0002937_9	b4251//
go_0002938_8	b1664//
go_0002939_7	b2515//
go_0002943_8	b4191//
go_0002949_8	b3882//b0433//b1434//b3071//
go_0003333_7	b1857//b1781//b0934//b0550//b3648//b3666//b3182//b1482//b1053//b3343//b1078//b1086//b3605//b1185//b0191//b1415//b0676//
go_0005975_4	b2893//b0945//b3613//b2025//b2934//b1661//b1140//b2163//b0265//b2566//b1939//b0027//b3509//b3958//b3367//b1655//b3985//b0999//b2385//b0329//b2838//
go_0005976_5	b3876//
go_0005977_6	b0329//
go_0005978_7	b1686//b1731//b4313//b4137//
go_0005980_7	b4554//b2763//b3141//
go_0005986_7	b1285//
go_0005990_7	b1970//b4197//
go_0005992_7	b2103//b1011//
go_0005993_7	b3627//b2368//b3882//
go_0005995_7	b3136//
go_0005998_7	b1853//
go_0006000_6	b3441//
go_0006001_7	b3019//b1343//
go_0006002_5	b3576//b1858//b4377//
go_0006006_6	b0576//b4143//b2888//b2061//b4119//b1180//b1078//b0905//
go_0006007_7	b1801//b0356//
go_0006011_5	b0159//
go_0006012_6	b3022//b1128//
go_0006013_6	b3460//
go_0006014_6	b0895//
go_0006015_7	b0717//b0381//
go_0006020_5	b3984//
go_0006044_7	b1844//
go_0006046_8	b1128//b1112//b2821//b1082//
go_0006047_5	b1620//b2252//
go_0006048_6	b0927//b0140//b2874//b1192//b2161//b1575//
go_0006053_8	b3032//
go_0006062_8	b3509//
go_0006071_6	b2133//b3707//b1241//
go_0006072_6	b1205//
go_0006082_4	b2486//b2630//
go_0006083_6	b2521//b1759//b1349//
go_0006086_8	b2912//
go_0006090_8	b3442//b1363//b1515//b1174//
go_0006094_7	b2061//b1101//b3247//b4227//b0386//b3503//b4088//b0789//b2318//b3679//
go_0006096_6	b0401//b2817//b0481//b1203//b0237//b2797//b0440//b1885//selU//b4476//b0850//b1060//b1112//b4063//b0642//b3034//b1081//b0241//
go_0006097_5	b0575//b1342//b0822//b0529//b3559//
go_0006098_6	b0891//b3464//b1104//b3592//b3843//
go_0006099_4	b0598//b4094//b0930//b3231//b1101//b1275//b0347//b1600//b2198//b2067//b2058//b0699//b2744//b3943//b1653//b2518//b4129//
go_0006103_5	b4246//
go_0006104_6	b3963//b4033//b0179//
go_0006105_5	b0850//b0160//b1092//b0022//b2067//
go_0006106_8	b3170//
go_0006107_8	b3133//
go_0006108_8	b3688//b0095//b3361//b0261//b3794//
go_0006113_5	b1292//b0368//b4415//b4298//b0191//b0221//b4032//b2989//
go_0006115_6	b3648//
go_0006124_6	b1264//
go_0006144_6	b3316//b0771//
go_0006145_7	b3216//
go_0006146_8	b1174//b1575//
go_0006148_9	b0221//
go_0006149_9	b3255//
go_0006150_9	b3917//
go_0006152_7	b0595//b0742//b1741//b1654//b1786//
go_0006154_6	b2754//
go_0006161_9	b2622//
go_0006163_6	b3206//
go_0006164_7	b1812//b1848//b2470//b0754//
go_0006166_6	b1304//
go_0006168_7	b2913//hiuH//
go_0006171_9	b2041//
go_0006172_9	b2393//
go_0006177_9	b2154//
go_0006178_7	b2318//
go_0006183_9	b4261//
go_0006189_10	b3996//b0421//
go_0006203_8	b2777//b1025//
go_0006206_6	b0404//b3491//b4471//b2617//
go_0006207_8	b3789//b0983//b3574//b3134//b2366//
go_0006208_7	b4014//b1679//b0098//b2958//b1040//b1206//b3392//b1850//
go_0006209_6	b2406//
go_0006210_8	b2362//
go_0006212_6	b3421//b0972//b1398//b1944//b2746//b2236//b3934//b3568//b1871//b0751//b0334//
go_0006217_9	b2442//
go_0006218_9	b2712//
go_0006220_6	b3809//
go_0006221_7	b3791//b0214//b3835//b2759//
go_0006222_9	b2329//
go_0006225_9	b0762//
go_0006226_9	b0752//b0336//
go_0006227_9	b1126//
go_0006231_9	b0597//
go_0006233_9	b0177//
go_0006235_9	b3507//
go_0006241_9	b0627//
go_0006259_5	b0740//b4033//b1039//b3885//b2631//b3299//b1191//
go_0006260_6	b1386//b3624//b1073//b0942//b2486//b1998//b0508//b1835//b1756//b4168//b3701//b2392//b0464//
go_0006261_7	b3876//b2392//b0174//b1697//b4148//b2082//b4111//b4180//b3053//b3316//
go_0006265_6	b3620//b0269//b2961//b1533//b0644//
go_0006266_6	b1118//b2125//b3719//
go_0006267_5	b0911//
go_0006268_9	b3155//b2903//b3182//
go_0006269_6	b0594//
go_0006270_6	b0763//b1440//rhmR//b3153//b4050//
go_0006271_7	b4117//b3200//b0835//
go_0006274_6	b0199//
go_0006275_7	b2026//
go_0006276_3	b2763//b1271//b1374//b1060//b1387//b0301//
go_0006281_6	b2943//b2497//b2669//b4202//b0583//b2021//b1991//b0934//b2387//b4106//b1352//b0479//b3093//b2765//b2333//b3173//b0125//b1579//b0575//b2167//b2945//b4144//b2232//b0938//b3347//
go_0006283_8	b1599//
go_0006284_7	b0467//b1132//b3353//b1756//b2492//b2524//
go_0006285_6	b3073//b1714//b3394//b1160//
go_0006288_8	b3668//b0730//
go_0006289_7	b2048//
go_0006298_7	b1621//b1116//b3847//b0347//b3707//b2609//b1493//b0188//b1015//b1413//
go_0006301_7	b4097//
go_0006302_7	b2664//b3082//b1123//b1275//b3219//b1512//b4111//b4467//b1660//
go_0006307_8	b4230//b2414//b1805//b3563//b4559//
go_0006308_6	b3786//b0596//b3627//b0270//b2478//b3173//b3049//b0436//b2767//b2103//b1622//
go_0006310_6	b4245//b1955//b1182//b2091//b3842//b0651//b0731//b0998//b0124//b1140//b3056//b0608//b0265//b0804//b0924//b3353//b2631//b3529//b2140//b3385//b3146//b3781//b0445//b2140//b3551//b3201//b2913//
go_0006313_4	b0947//b0597//b1716//b2114//b4137//b3087//b2954//
go_0006351_6	b3949//b3647//b0708//b3735//b3588//b3788//srkA//b2182//b0811//b3442//b3225//b4003//b0683//b3539//b4055//b1222//b4352//b0347//b0487//b3940//b1861//b0231//b4016//b0934//b3231//b0699//b3353//b0891//b0231//b3895//b3460//b3994//b4267//b2714//b1526//b1126//b0325//b0679//b3461//b4160//b3703//b0793//b2037//b2870//b2423//b3554//b1476//b1819//b1139//b4080//b1651//b0674//b0300//b3722//b2216//b2350//b2133//b4520//b4026//b1570//b2015//b1723//b2731//b1207//b2599//b3341//b3133//b0420//b1819//b2194//b0572//b0406//b3842//b2009//b3974//b1521//b1716//b1833//b0492//b2702//b0925//b2128//b2374//b3386//b3018//b0797//b0534//b2551//b0312//b0034//b0336//b3494//b2425//b2374//b0784//b1921//b3984//b4161//b3421//b3121//b0462//b2042//b0603//b0336//b1692//b3048//b2620//b1038//b1653//b0185//b3719//b0920//b2949//b3228//b3478//b2126//b2571//b1692//b2179//
go_0006352_7	b3866//b1854//b3693//
go_0006353_7	b0315//b1735//
go_0006354_7	b2992//b1526//
go_0006355_7	b3301//b2380//b0518//b1522//b1886//b1513//b2367//b3642//b1922//b0127//b4262//b3093//b3984//b2104//b2364//b2147//b2735//b2162//b2220//b1411//b2536//b1838//b4265//b4474//b2696//b0827//b3240//b3952//b0729//b1522//b3582//b2091//b2478//b4265//b1953//b3963//b2761//b0891//b2640//b1071//b4125//b0091//b0111//b2032//b2690//b0628//b0830//b2203//b0356//b4373//b3613//b3156//b0935//b2154//b4144//b2624//b2180//b3774//b0795//b0732//b2111//b4201//b1337//b3693//b3899//b0071//b1347//b0341//b4554//b0856//b0972//b0159//b4128//b0106//b2219//b3539//b4460//b3700//b3256//b4384//b1053//b2276//b2903//b4384//b0798//b4028//b2465//b3604//b3050//b1778//b0241//b1634//b3131//b3037//b0638//b0417//msrQ//b1539//b2436//b0476//b2763//b2548//b2715//b4214//b3703//b2971//b1281//b3316//b3310//b4251//b0943//b3153//b3082//b2634//b1872//b1319//b2539//
go_0006357_8	b0832//
go_0006364_9	b4077//b1590//b1741//b1858//b1465//
go_0006378_8	b1293//b0879//
go_0006396_7	b3684//b2494//b1662//b1261//b1881//
go_0006397_8	b3549//b3604//
go_0006399_8	b2129//b0799//
go_0006400_7	b4221//b0243//b0314//b1072//b0484//
go_0006401_6	b3312//b1812//b0629//b0838//b0446//b1895//b1264//b3234//
go_0006402_7	b4224//b2640//b3706//b3609//b3967//b0427//b0790//b3021//b0610//b0134//b4155//
go_0006412_6	b1731//b1440//b3549//b3145//b0795//b0983//b0182//b0757//b3519//b3237//b4101//b4194//b1563//b3627//b1600//b1289//b1330//b3194//b3902//b1679//b1135//b1010//b2739//b0474//b0741//b4291//b2624//b2029//b3566//hexR//b1695//b2269//b0758//b2248//b3510//b3361//b0199//b4098//b0461//b4019//b3062//b1117//b2009//b0410//msrQ//b3155//b0887//b1828//b2233//
go_0006413_4	b3791//b1678//
go_0006414_6	b1778//b4384//b2735//b0298//b4198//
go_0006415_7	b2294//b4559//b2368//b2474//b3691//b3565//
go_0006417_7	b2962//b1680//b0447//b0003//b3715//
go_0006418_7	b0212//b1091//b2313//b3024//b3231//b3166//b3933//b0681//b3875//b0199//b3357//b0423//
go_0006419_8	b3170//
go_0006420_8	b1617//
go_0006421_8	b3957//
go_0006422_8	b4304//
go_0006423_8	b3636//
go_0006424_8	b1913//b0863//
go_0006425_8	b0140//
go_0006427_8	b1506//
go_0006428_8	b4346//
go_0006429_8	b3264//
go_0006430_8	b4483//b0822//
go_0006431_8	b2094//
go_0006432_8	b0766//b0613//
go_0006433_8	b0320//
go_0006434_8	b1473//
go_0006435_8	b2430//
go_0006436_8	b1237//
go_0006437_8	b0002//
go_0006438_8	b0793//
go_0006448_8	b3195//
go_0006450_4	b4046//b4067//b0611//b2376//b0313//b0756//b4142//
go_0006457_3	b1945//b3454//b0776//b3878//b0120//b4011//b2019//b2011//b2837//b3124//b2121//b3072//b0080//b2078//b1677//b3928//b4231//b2758//glsA//b1812//
go_0006458_4	b4357//
go_0006464_6	b0557//b2667//b1293//insI1//b2806//b1434//b1852//b1991//b3370//b2939//b4298//b2483//
go_0006465_6	b0861//b3181//b4059//
go_0006468_7	b4132//b2389//b1814//b1993//b2609//b3497//b3633//b1045//b1279//b2518//
go_0006470_7	b0823//b1830//b0871//b1236//b3583//b3714//b1469//b2733//b0988//b0222//b1327//b2024//b4682//
go_0006473_8	b1597//b1552//b2091//b3603//b3866//
go_0006474_6	b0850//b2497//b3510//b3754//b2741//
go_0006476_8	b3384//
go_0006479_5	b0311//b2710//b1100//b3711//b0518//b1317//
go_0006486_5	b2517//
go_0006490_5	b0597//
go_0006508_5	b3826//b0877//b0260//b0623//b3168//b4032//b1785//b1998//b3954//b0120//b3433//b1535//b2330//b3310//b4015//b1522//b1849//b2159//b3917//b1826//b2023//b2427//b2537//b0925//b1805//b2927//b0129//b1798//b3437//b1842//b3396//b2963//b4327//b0414//b2413//b0978//b0808//b3183//b3741//b4419//b3260//b3145//b3486//b0762//
go_0006515_7	b3941//b3585//b1644//b2170//
go_0006517_6	b3884//b2310//b1826//b0529//
go_0006518_5	b1269//b4667//
go_0006523_8	gpr//b1681//
go_0006524_8	b0086//
go_0006526_8	b2799//b0731//b2920//b2291//b4072//b1988//b3181//
go_0006527_8	b1520//b1728//b3829//b1021//b1430//
go_0006529_7	b3926//b2153//
go_0006530_7	b1262//hprS//
go_0006531_7	b1252//
go_0006532_8	b3823//b3351//
go_0006535_8	b2913//b0143//b2193//
go_0006537_8	b2945//srkA//b1848//b1296//b0311//b4666//b0097//
go_0006538_8	b2262//b1487//
go_0006541_7	b3807//b1256//b1905//b4113//b3953//
go_0006542_8	qorA//b3917//
go_0006543_8	b0686//b2021//b3915//b3791//
go_0006545_6	b1698//
go_0006546_6	b3909//b0708//
go_0006554_8	b2308//b1879//
go_0006556_5	b2798//
go_0006559_6	b4471//b2220//
go_0006561_6	b2735//b3175//
go_0006563_7	b0597//
go_0006564_8	b3147//b0231//b3540//b4133//
go_0006565_8	b1449//b0449//b0043//b2624//b1014//
go_0006566_7	b2358//b3912//
go_0006567_8	b0088//b2640//b0850//b0857//b2971//b3686//msrP//b0261//
go_0006569_7	b1075//
go_0006571_7	b0847//b4664//
go_0006593_7	b2567//
go_0006598_8	b1544//b3232//b3641//
go_0006605_6	b2370//b1477//
go_0006612_6	b2025//
go_0006614_8	b1013//
go_0006616_7	b2688//b1243//b3599//
go_0006629_4	b0842//b3711//b0610//b2733//b4251//
go_0006631_5	b1872//b3881//b2491//b1985//b0432//
go_0006633_6	b1714//b0260//b1552//b3175//b1131//b2195//b2169//b0655//b2146//b3965//b1506//b3813//b3342//
go_0006635_6	b1347//b2409//b3023//b3511//b3652//b0613//b3718//b0162//b0232//b3879//b0526//b4259//b1900//
go_0006636_7	b2530//
go_0006637_5	b1615//b2263//b1220//b3026//
go_0006646_7	b2198//
go_0006650_6	b3364//
go_0006654_7	b0410//
go_0006655_7	b4666//b3591//
go_0006725_4	b1656//
go_0006729_6	b3455//b2168//
go_0006730_4	b3960//b2557//b0134//
go_0006734_9	b4042//
go_0006740_4	rpnA//b2662//
go_0006741_9	b0956//
go_0006742_8	b2492//
go_0006744_7	b3974//b0303//b0782//b1998//b3670//b1013//b4192//b3650//b0978//b2014//b1625//b0513//b3300//
go_0006749_5	b1312//b1046//b0532//
go_0006750_6	b4015//b2121//
go_0006751_6	b1826//b3415//
go_0006757_5	b3642//
go_0006760_5	b2523//
go_0006761_7	b1838//
go_0006771_5	b4219//
go_0006772_6	b3370//b3241//
go_0006777_5	b3429//b4202//b4352//b3249//b1734//b2507//b0127//b4042//
go_0006779_6	b0144//b1858//b1398//b4129//b1114//b0459//
go_0006780_7	b1785//
go_0006782_7	b3594//b1635//b2945//b2955//
go_0006783_5	b3615//b3089//b2725//b1749//b3606//b3247//b1411//b1786//
go_0006790_4	b2743//b0620//b0618//b1117//b1467//b4160//b1749//b4483//b0543//b2021//b3226//b3551//b1739//
go_0006791_2	b0659//b4203//b0121//b2328//
go_0006793_4	b3711//b0212//b0531//
go_0006798_5	b4290//
go_0006799_5	b3320//
go_0006801_5	b3659//b3839//b1158//
go_0006805_4	b2315//b1748//b0507//b2577//
go_0006807_3	b3072//b3390//b0543//b2442//
go_0006808_4	b0060//b2107//
go_0006810_4	b3902//b3133//b0350//b1716//b3316//b0239//ftp//b3582//b1885//b2813//b0311//b1761//b2057//b3665//b1892//b3631//b1959//b1008//b0775//b0741//b2216//b2500//b0159//b3057//b3255//b1729//b4320//b0240//b3783//b2315//b0429//b2216//b1917//b1211//b1874//b0757//b0809//b0521//b3288//b1698//b1404//b0598//b3041//b4382//b0035//b2295//b1386//b4191//b3189//b3339//b2339//b3512//b0514//b0345//b3228//b2506//b0999//b3650//b4224//b3934//b1676//b0160//b2501//b3364//b2477//b0589//b4618//b2841//b1724//b4479//b2733//b3096//b0590//b1787//b3081//b3666//b2563//b4481//b4046//b1054//b0307//b0596//b0281//b0343//b4319//b3010//b2246//b2894//b1378//b3208//b2211//b0710//b1623//b2530//b2614//b1992//b2334//b0752//b0895//b4132//b3216//b1160//b4148//b1184//b0090//qorA//b3783//b0937//b3712//b1184//b3268//b3259//b0900//glsA2//b3454//b1334//b3359//b0974//b4014//b2203//b3738//b4389//b3733//b2697//b4337//b3140//b1683//b4464//b3743//b1776//b3581//b3301//b2110//b3060//b3707//b1951//b1791//b0819//b0172//b3450//b0993//b4265//b0158//b0262//b1092//b2297//b2546//b0349//b1049//b2428//
go_0006811_5	b2242//b2710//b4000//b1183//b1876//b0069//b2312//b2883//b3812//b3580//b2252//b1059//b2421//b3399//b2541//b3178//b1397//b3688//
go_0006812_6	b3137//b3447//
go_0006813_8	b4254//b3519//b0423//b1579//b2383//b1404//b3375//b1617//b0893//b3353//b2758//b2883//b0942//
go_0006814_8	b0583//b4347//b3925//b3872//
go_0006817_8	b2324//b2308//b0029//b0042//
go_0006820_6	b0775//b0220//b2199//b3650//b0796//
go_0006821_8	b3823//b0960//
go_0006824_8	b2179//b1988//b4299//b3062//
go_0006825_9	mltG//b1478//b2469//
go_0006826_9	b1280//
go_0006828_9	b2335//
go_0006829_9	b3156//b3621//b2233//b1010//b3029//b0524//
go_0006833_6	b0726//
go_0006835_8	b4209//b3670//
go_0006847_8	b1145//
go_0006855_6	b4166//b0896//b2060//b1180//b4125//b3029//b1344//b3584//b0068//b1284//b4098//b3622//b2894//b4058//b0143//b2216//b3030//b1447//b0196//b3707//b0429//yeeL//b1701//b3405//
go_0006857_7	b2183//b2389//b1189//
go_0006863_7	b4231//
go_0006865_6	b2261//b4421//b3113//b1278//b0969//b3775//b0215//hprS//b3161//b4532//b0789//b1441//b0934//b4554//b3838//b1246//b4301//b3366//b3208//topAI//b2015//b3262//b0052//b1299//b0314//b4464//
go_0006868_7	b3943//b2942//b0099//
go_0006869_6	b3592//b1333//
go_0006874_8	b2380//
go_0006876_8	b1094//
go_0006878_9	b2571//b1618//b0584//b3906//b1615//
go_0006879_9	b3952//b0983//b0483//b2552//b0109//b1832//
go_0006880_4	b2062//b2923//b1761//
go_0006882_8	b3266//
go_0006883_8	b0854//b3620//b4137//
go_0006884_4	b3735//
go_0006885_9	b4111//
go_0006886_5	b3838//b1729//b4155//
go_0006928_3	b0830//b3205//b2811//b2135//b0996//b2537//b3197//b0192//
go_0006935_4	b0426//b1226//b0315//b2492//b2987//b4288//b0158//b1804//b1167//b1646//b1887//b0080//b4238//
go_0006970_4	b0602//b4290//b1116//b1078//b1120//b1182//b3474//b4062//b0030//b0877//b1693//b1478//b3651//b1851//b0469//b4528//
go_0006972_5	b1634//b1521//b2053//b4550//b2844//b0265//b1800//b4501//
go_0006974_5	b1896//b1253//b2565//b2113//b4022//b1912//b1340//b2678//b3447//b3719//b0517//b3945//b0231//b4252//b1584//b3145//b2381//b2553//b2442//b1513//b3429//b4053//b0357//b3115//b0349//b0879//b3124//b3416//b3476//b2514//b0999//b0890//b0517//b1492//b4315//b2367//b2008//b3929//b1314//b2431//b1985//b0886//b1602//b3813//b0484//b0433//b1976//b4262//b2976//b3172//b1333//b0912//b3404//b0085//b3144//b1651//b4471//b3137//b0591//b0513//b4172//b1445//b2753//b3591//b1421//b2556//b3957//b2631//b1245//b1736//b3084//b1482//b2793//b0129//b3630//b1094//b2610//b0049//b1202//b3939//b3529//b2159//b4019//b2758//b2828//b0239//b4113//b4065//b0136//b1764//b2042//b0855//b2765//b2180//b1887//b2995//b4468//b2057//b2207//b1374//b3807//b3793//b0450//b4243//b2301//b1145//b3319//b1696//b0430//b2382//b0739//b2217//b3507//b0797//b1710//b1183//b3318//b1781//b2963//b3132//b2232//b2912//b3166//b0637//b0363//b0140//b2182//b1594//b2604//b3748//b2603//b2240//b2724//b1145//b2483//b2540//b1956//b2818//b1298//b2568//b4479//b3613//b3615//b4289//b3745//b4018//b0225//b3620//b4231//mtnN//b0466//b3558//b2079//b2261//b0882//b0054//b1734//b0925//b1294//b3603//b0727//b0756//b0832//b2146//b1010//b1253//b0419//b3800//b0777//b2329//b1507//b2374//b2571//b1069//b2718//b0724//b3742//b2069//b1207//b1856//b1756//b0472//b4097//b0313//b0594//b0405//b3066//b2295//b0943//b0363//b1200//b1858//b3934//b4011//b1905//b3828//b1099//b4230//b0651//b2094//msrP//
go_0006979_4	b1635//b0031//b3191//b1697//b0038//b0828//b1449//b1515//b3627//b3266//b3811//b0450//b0195//b3775//b3250//b0436//b4386//b3481//b2289//b3391//b1809//b1204//b0790//xisR//b1696//b0905//b4241//b1114//b4394//b2726//b0473//b2828//b1180//b3712//b1861//b4480//b1320//b3237//b2689//b3201//b1800//b1377//b2041//b3706//
go_0006986_5	b2734//b3162//b3775//b4086//b2183//b1328//
go_0006995_6	b1594//b3706//
go_0007059_3	b0081//b1514//b0930//gpr//b1791//b0240//b1014//b0526//b3941//b1804//
go_0007062_4	b4039//b4055//b2113//b2114//
go_0007155_3	b2682//b4687//b1047//b0637//b2326//b4245//b0041//b0876//b1501//b0191//b0381//b2339//b1917//b2686//b1086//b2266//b0381//b1412//b0941//b4377//b2314//b1046//b3516//
go_0007165_3	b2829//b0998//b0674//b4022//b0422//b2684//b0698//b1388//b3177//
go_0007234_5	b4120//
go_0007584_4	b2523//
go_0008033_9	b2532//b3187//b3250//b3702//b0969//b0177//b2664//b2310//
go_0008104_4	b1785//
go_0008152_2	b1069//b0677//b2134//msrP//b4386//b1352//b1387//b4072//b3939//b2143//b3496//b0997//b0856//b2819//b2435//b1625//b1853//b2478//b3734//b1114//b3935//b2752//b0998//b2092//b3833//
go_0008156_8	b0972//
go_0008219_3	b2871//b3998//b1749//
go_0008272_6	b0398//b3807//b1614//b3899//
go_0008295_6	b3918//b1088//b0642//
go_0008299_5	b3904//b0153//
go_0008360_4	b3057//b3953//b1645//b0262//b0116//b1326//b2946//b1874//b0281//insI4//b4471//b3952//b2301//b2896//b0513//b1569//
go_0008610_5	b1336//b0343//b2028//b0417//b0752//
go_0008615_6	b4096//b1319//b1110//b2075//b3494//b2014//b2676//
go_0008616_8	b3125//b1870//b1844//b1684//b4297//yeeL//b3742//
go_0008643_6	b0521//hexR//b4160//b2989//b3843//b2662//b2451//bioP//b2082//b0365//b3559//b0123//b1856//b1619//b1614//b2587//b1729//b1347//b0065//b3780//b3244//b1840//b4095//b4114//b3603//
go_0008652_5	b3704//b3470//b3793//b2023//b0692//b3091//b3404//b1900//
go_0008653_5	b3543//b2478//
go_0008654_5	b2253//b2883//b2150//b2701//b1220//b0478//
go_0009050_6	b0418//b3544//
go_0009052_6	mtnN//b4265//b2665//b4178//b1873//b4052//b3067//
go_0009056_3	b4382//
go_0009058_3	b0817//b2347//b4513//
go_0009060_6	glsA//b0867//b2077//b1158//b3249//b2216//b4053//b0061//b1312//b3192//b4476//b1611//b1432//b0325//b2430//b1945//b4511//b2049//b4118//b3542//b3986//b0353//
go_0009061_6	b3437//b0067//b1298//b1183//b3368//b4559//b2581//b3297//b2096//b2616//b0027//b1677//b3643//b2347//b2220//b0774//b4151//b2933//b3414//b3243//b0417//b1082//b3046//b0436//b2481//b0318//b2943//b3881//b3370//b3986//b1780//b3359//b4052//b0356//b0376//b0551//b2287//b3451//b0910//b1080//b1994//b2469//b2594//b0487//b2169//b1872//b3697//b0850//b2545//b3250//b3631//b0002//b3463//b3608//b1716//
go_0009062_6	b0759//
go_0009063_5	b1812//b2965//b1799//b0484//
go_0009070_7	b1338//
go_0009073_6	b3742//b1557//b2266//b0925//b2961//b2393//b1602//b4524//b2979//b3009//
go_0009081_5	b3339//
go_0009082_6	hiuH//b3404//b0155//b1872//b1298//
go_0009085_8	b0243//
go_0009086_7	b0086//b2198//b0045//b2924//b3312//
go_0009088_8	b2183//b1294//
go_0009089_6	b4207//b3624//b1125//b0237//b1376//b2544//b2178//
go_0009090_8	b2011//b2802//b1385//b0797//
go_0009092_7	b0618//
go_0009093_7	b2910//b2511//b4314//
go_0009094_6	b1501//topAI//b1385//
go_0009097_7	b0112//b2770//b0589//b4374//b3889//b3785//b1531//
go_0009098_7	b3616//b3017//b0215//b2151//b0556//b2709//b3115//
go_0009099_7	b1790//b0958//b2606//b3936//b1943//b1450//b3229//b4468//b0080//b1463//
go_0009102_6	b0529//b0438//b0571//b0215//b1140//b0596//b3409//b0363//b0934//b3225//b0031//b1180//b2248//
go_0009103_6	b4239//b0619//b4166//b1838//b4033//b3960//b0730//b3235//b2240//b0189//b2813//
go_0009106_5	b3199//
go_0009107_6	b4480//b0305//
go_0009108_6	b3455//
go_0009116_5	b0508//b1387//
go_0009142_7	b0997//b3942//b3067//
go_0009143_7	b2400//
go_0009152_8	b2718//
go_0009157_8	b3753//
go_0009166_7	b3223//b2538//
go_0009168_9	b2284//
go_0009220_8	b0996//b3628//
go_0009224_9	b1743//b4042//
go_0009226_6	b3939//b4241//
go_0009228_7	b0679//b1094//b3876//b1782//b2517//b2696//b1516//b2570//b3897//
go_0009229_6	b2379//b1769//
go_0009231_6	b1062//b0173//b2106//b1203//b2442//b4305//b0692//
go_0009234_7	b1194//b4662//b4324//b1302//b2150//b1344//b1943//b2566//b0404//b3149//
go_0009236_6	b2216//b2062//b2580//b1732//b1857//b1499//
go_0009237_4	b1449//
