#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	srkA//b0728//b2762//b3437//
go_0005978_7	b2218//b0593//b3539//b3393//
go_0005980_7	b2724//b4393//b3052//
go_0005986_7	b2136//
go_0005990_7	b1734//b2383//
go_0005992_7	b4192//b3784//
go_0005993_7	b1821//b2958//b3067//
go_0005995_7	b3399//
go_0005998_7	b4358//
go_0006000_6	b3933//
go_0006001_7	b3022//b4243//
go_0006002_5	b1323//b2569//b1734//
go_0006006_6	b2796//b2920//b2313//b3173//b3665//b0063//b2717//b0019//
go_0006007_7	b0863//b3414//
go_0006011_5	b0956//
go_0006012_6	b4079//b0450//
go_0006013_6	b4177//
go_0006014_6	b3581//
go_0006015_7	b1976//b3390//
go_0006020_5	b3731//
go_0006044_7	b2276//
go_0006046_8	b1024//b0651//b1584//mtnN//
go_0006047_5	b1544//b3129//
go_0006048_6	b0710//b1844//b2604//b3452//b0943//b0758//
go_0006053_8	b0557//
go_0006062_8	b1522//
go_0006071_6	b2494//b1320//b0377//
go_0006072_6	b0265//
go_0006082_4	b1650//b3621//
go_0006083_6	b1236//b0153//b3499//
go_0006086_8	b3907//
go_0006090_8	b0074//b1165//b0422//b2344//
go_0006094_7	b0242//b3567//b2028//b4419//b3807//b0873//b1434//b3428//b2926//b1388//
go_0006096_6	b2155//b1224//b0714//b3162//b1513//b2939//b0120//b3930//b1166//b1620//b0008//b2366//b2294//b2558//b1468//b0431//b3040//b0441//
go_0006097_5	b3148//b2687//b4265//b3569//b1599//
go_0006098_6	b2838//b1740//b2257//b3578//b3076//
go_0006099_4	b3234//b1767//b3012//b3916//b4062//b1298//b3290//rhmR//b0853//b0530//b3846//b2370//b1393//b0811//b0959//b0956//b3068//
go_0006103_5	b4483//
go_0006104_6	b0138//b0346//b1858//
go_0006105_5	b1698//b1637//b2405//b1098//b3623//
go_0006106_8	b0398//
go_0006107_8	b0809//
go_0006108_8	b1224//b2822//b0239//b3281//b0946//
go_0006113_5	b0153//b3824//b1076//b3363//b3115//b0043//b3774//b1010//
go_0006115_6	b3167//
go_0006124_6	b4662//
go_0006144_6	b1943//b0260//
go_0006145_7	b2066//
go_0006146_8	b3584//b1210//
go_0006148_9	b0090//
go_0006149_9	b2665//
go_0006150_9	b0474//
go_0006152_7	b1507//b1821//b3421//b4315//b2133//
go_0006154_6	b2193//
go_0006161_9	b2412//
go_0006163_6	b3528//
go_0006164_7	b4087//b3020//b1045//b0179//
go_0006166_6	b3870//
go_0006168_7	b1887//b3087//
go_0006171_9	b2581//
go_0006172_9	b3198//
go_0006177_9	b1879//
go_0006178_7	b3708//
go_0006183_9	b0406//
go_0006189_10	b0864//b1277//
go_0006203_8	b0166//b0134//
go_0006206_6	b0067//b0995//b2971//b0936//
go_0006207_8	b1388//b0415//b3665//b2202//b0889//
go_0006208_7	b0546//b1493//b1288//b1521//b0428//b1347//b4069//b1077//
go_0006209_6	b0962//
go_0006210_8	b2715//
go_0006212_6	b0386//b4081//b4245//b1818//b0870//b3738//b2663//b3652//b4052//b2282//b1348//
go_0006217_9	b4214//
go_0006218_9	b3713//
go_0006220_6	b3462//
go_0006221_7	b0152//b0877//b0139//b1432//
go_0006222_9	rpnC//
go_0006225_9	b0676//
go_0006226_9	b2134//b0830//
go_0006227_9	b4421//
go_0006231_9	b2509//
go_0006233_9	b3208//
go_0006235_9	b1729//
go_0006241_9	b0347//
go_0006259_5	b4702//b3438//b3822//b0406//b2477//b2235//b1488//
go_0006260_6	b0878//b0334//b0874//b3502//b2949//b4297//b0146//b0051//b0770//b4041//b1145//b2347//b0896//
go_0006261_7	b0939//b0776//b3608//b3294//b1606//b3412//b2726//b0347//b0068//b1763//
go_0006265_6	b2262//b3386//b0451//b1538//b1376//
go_0006266_6	b0693//b2789//b3966//
go_0006267_5	b3457//
go_0006268_9	b1294//b1715//b1749//
go_0006269_6	b2735//
go_0006270_6	b1274//b1113//b0475//b2673//b0980//
go_0006271_7	b0256//b3529//b3166//
go_0006274_6	b2264//
go_0006275_7	b0394//
go_0006276_3	b2738//b0935//b3965//b2753//b3594//b2871//
go_0006281_6	b1858//b4080//b1186//b3880//b3298//gpr//b2675//b0752//b4335//b1111//b3884//b3982//b1900//b0817//b4055//b0636//b1397//b3826//b0696//b1763//b2385//b1710//rhmR//b3163//b3567//
go_0006283_8	b1280//
go_0006284_7	b1854//b3469//b0311//b1395//b4070//b2603//
go_0006285_6	b2096//b1009//b0795//b1244//
go_0006288_8	b0878//b2329//
go_0006289_7	b4155//
go_0006298_7	b0886//b3236//b3110//b2539//b0929//b2533//b1612//b2248//b3480//b2687//
go_0006301_7	b0871//
go_0006302_7	b2276//b2507//b2318//b0068//b0015//b2561//b0915//b3037//b3148//
go_0006307_8	b3387//b3879//b0415//b1296//b2212//
go_0006308_6	b0368//b2451//b1516//b0674//b2906//b0714//b3261//b2574//b4246//b2414//b2678//
go_0006310_6	b4371//b4467//b1444//b1338//b0158//b2829//b1912//b3205//b0304//b0792//b3359//b3198//b4053//b1290//b4665//b3567//b2630//b0473//b0954//b3513//b4316//b3688//b2138//b2108//b3905//b3187//b2971//
go_0006313_4	b0254//b3667//b0853//b2509//b3460//b3429//b2688//
go_0006351_6	b3630//b3401//b3711//b2104//b3193//b0328//b4079//b3421//b3296//b1960//b0078//b1688//b3521//b4544//b1522//b2922//b3953//b3136//b4391//b3021//b3983//b1922//b3941//b2521//b4384//b3083//b3878//b2528//b0598//b2780//b0061//b2922//b3784//b2630//b2465//b3949//b2149//b0410//b2565//b2213//b0983//b1378//b1413//b2267//qorA//b1861//b2929//b1270//b4059//b2182//b2284//b0572//b1507//b3387//b2991//b1272//b4470//b0968//b1009//b1104//b0023//b2568//b0311//b0756//b0604//b3470//b0733//b3512//b3916//b3747//b0853//b0276//b1833//b0722//b4687//b1684//b2078//b3986//b0069//b0589//b2930//b2601//b3305//b1189//b4109//b2924//b2584//b1225//b3838//b0368//b2078//b4020//b4478//b0123//b3688//b0238//b2687//b0466//b3410//b1218//b3897//b0637//b1710//b3834//b4230//b3344//b0022//b3428//b1202//b0159//b4063//b1753//b1735//b2042//b0404//b1858//b4421//b2005//b4251//
go_0006352_7	b0260//b2121//b2195//
go_0006353_7	b0464//bioD1//
go_0006354_7	b1593//b3064//
go_0006355_7	b4246//b1069//b4100//b1360//b4098//b3870//b4314//b1554//b4041//b1959//b0316//b3313//b0530//b0378//b3669//b1808//b1745//b4170//b2427//b0423//b1409//b4392//b4220//b2026//b1022//b0847//b0882//b1023//b2170//b3845//b3512//b3844//b1256//b3364//b0574//b0143//b3347//b0732//b2470//b2740//b0925//b0492//b2199//b1594//b1814//b3554//b0957//b4151//b3669//b4113//b2388//b4350//b0476//b3733//b1655//b0575//b0841//b0739//b3114//b0933//b2587//b1697//b3526//b4201//b0095//b1644//b3636//b0003//b3153//b2427//b2577//b1927//b1203//b1363//b1466//b4146//b3169//b2506//b1930//b4339//b0173//hprR//b1463//b1166//b2741//b4362//b3629//b2425//b3437//b3049//b3591//b0239//b3846//b4159//b1069//b0751//b1514//b0982//b1303//b0333//b0483//b1781//b0652//b2335//b0025//b2673//b0085//b3291//b2788//b3742//b3430//b3386//b0305//b3637//b4196//b3037//b4130//
go_0006357_8	b3925//
go_0006364_9	b0768//b2525//b1094//b0754//b0827//
go_0006378_8	b2943//b2334//
go_0006396_7	b0717//b1089//b1053//b1827//b0031//
go_0006397_8	b0551//b2996//
go_0006399_8	b0905//b3034//
go_0006400_7	b3190//b3227//b0207//b0082//b4401//
go_0006401_6	b2082//b1041//b4035//b2831//b2662//b3417//b2474//b1701//
go_0006402_7	b1924//b0198//b3139//b0207//b3228//b3216//b3231//b2100//b2427//b2308//b0083//
go_0006412_6	b1466//b2980//b4586//b2631//b2159//b2324//b3564//b0173//b1098//b2418//b0937//b2802//b0774//b0339//b1772//b2927//b3754//b1921//b3667//b4076//b4039//b1167//b3844//b0931//b2218//b0940//b4036//b2579//b3212//b2422//b3729//b2785//b0597//b2512//b2697//b2792//b3996//b2144//b1025//b1787//b4025//b1187//b2048//b0469//b3268//b2682//b0565//b0336//b1145//
go_0006413_4	b3603//b2992//
go_0006414_6	b0875//b3351//b4301//b2939//b2577//
go_0006415_7	b2193//b3394//b1863//b1791//b1078//b3479//
go_0006417_7	b3608//b3438//b3591//b2211//b1804//
go_0006418_7	b0730//b4485//b0002//b0805//b0530//b1882//b0214//b0937//b0809//b3137//b1753//b2678//
go_0006419_8	b0393//
go_0006420_8	b1890//
go_0006421_8	b0610//
go_0006422_8	b3229//
go_0006423_8	b1117//
go_0006424_8	b1858//b2580//
go_0006425_8	b0479//
go_0006427_8	b4269//
go_0006428_8	b2241//
go_0006429_8	b3480//
go_0006430_8	b3175//b3105//
go_0006431_8	b2067//
go_0006432_8	b0933//b4162//
go_0006433_8	b0578//
go_0006434_8	b2369//
go_0006435_8	b0572//
go_0006436_8	b4027//
go_0006437_8	b4702//
go_0006438_8	b3261//
go_0006448_8	b2235//
go_0006450_4	b1719//b3895//b3735//b0046//b0462//b0020//b2052//
go_0006457_3	b2726//b1682//b2008//b2503//b1407//b3688//b4460//b0571//b3892//b2537//b3500//b3475//b3208//b3733//b4666//b1092//b4079//b2752//b3836//b3966//
go_0006458_4	b0348//
go_0006464_6	b3662//b0886//b2594//b1892//b0679//b1511//b3076//b2308//b3604//b0784//b0423//b2198//
go_0006465_6	b2661//b0517//b0466//
go_0006468_7	b4116//b4474//b0213//b2281//b1432//b1921//b2062//b2417//b3651//b1266//
go_0006470_7	b2037//b3839//b0759//b2105//b3426//b1677//b4022//b3916//b3522//b4235//b3091//b2726//b2770//
go_0006473_8	b0356//b1265//b1236//b2829//b3619//
go_0006474_6	b0135//b3703//b1703//b1447//b2530//
go_0006476_8	b1595//
go_0006479_5	b1104//b3880//b4380//b1753//b2531//b2378//
go_0006486_5	b4381//
go_0006490_5	b1412//
go_0006508_5	b0697//b2536//b2412//b4041//b3639//b3685//b0195//b4096//b0314//b3413//b1960//b4351//b1227//b0378//b0049//b0273//b1323//b0953//b2296//b0041//b2422//b0069//b3144//b1828//b1131//b3600//b1664//b2990//b2387//b2563//b3188//b0860//b2407//b0553//b0487//b0313//b0741//b1232//b2318//b3535//b1545//b0718//b4159//b0225//
go_0006515_7	b4043//b0920//b1320//b1334//
go_0006517_6	b2532//b1857//b3615//b2914//
go_0006518_5	b1045//b2594//
go_0006523_8	b0076//b1298//
go_0006524_8	b1844//
go_0006526_8	b1010//b1439//b1870//b2753//b3041//b4173//b2541//
go_0006527_8	b3981//b1613//b1740//b3513//b3957//
go_0006529_7	b0415//b3326//
go_0006530_7	b2557//b1780//
go_0006531_7	b0982//
go_0006532_8	b1025//b3893//
go_0006535_8	b4072//b3936//b4347//
go_0006537_8	b1330//b0954//b4128//b4172//b1540//b2955//b4180//
go_0006538_8	b2328//b1280//
go_0006541_7	maoP//b0106//b3343//b0333//b0988//
go_0006542_8	b4374//b1399//
go_0006543_8	b0463//b4288//b3023//b1114//
go_0006545_6	b0943//
go_0006546_6	b4602//b2515//
go_0006554_8	b4388//b2130//
go_0006556_5	b3831//
go_0006559_6	b3736//b0880//
go_0006561_6	b0839//b1829//
go_0006563_7	b3513//
go_0006564_8	b3343//b1384//b2060//b2262//
go_0006565_8	b3684//b1093//b0123//b2687//b2502//
go_0006566_7	b2576//b2245//
go_0006567_8	b2933//b1973//b2180//b3012//b2267//b3556//b3259//b1734//
go_0006569_7	b3849//
go_0006571_7	b1801//b1238//
go_0006593_7	b0546//
go_0006598_8	b3229//b3247//b3095//
go_0006605_6	b1092//b1118//
go_0006612_6	b2670//
go_0006614_8	b3076//
go_0006616_7	b3929//b3261//b0196//
go_0006629_4	b1714//b1061//b1227//b2546//b3564//
go_0006631_5	b0382//b1324//b3640//b2703//b2303//
go_0006633_6	b2100//b2877//b0220//hxpB//b3190//b2836//b2725//b0793//b1786//b2614//b4208//b2441//b3907//
go_0006635_6	b1871//b1215//b0616//b4476//b3676//b1200//b3008//b0949//b1296//b3188//b1116//b3603//b2949//
go_0006636_7	b0844//
go_0006637_5	b2470//b0355//b3819//b2135//
go_0006646_7	b0524//
go_0006650_6	b2615//
go_0006654_7	b1905//
go_0006655_7	b2541//b0842//
go_0006725_4	b4513//
go_0006729_6	b0962//b3835//
go_0006730_4	b0613//b1855//b0710//
go_0006734_9	b0497//
go_0006740_4	b3281//b2283//
go_0006741_9	bioP//
go_0006742_8	b2168//
go_0006744_7	b2362//b0808//b2760//b1787//b0460//b2575//b0492//b1785//b3581//b3909//b2028//b3152//b0605//
go_0006749_5	b0197//b3917//b4304//
go_0006750_6	b3305//b1215//
go_0006751_6	b0529//b4361//
go_0006757_5	b0497//
go_0006760_5	b0793//
go_0006761_7	b2302//
go_0006771_5	b4321//
go_0006772_6	b2891//b0819//
go_0006777_5	b3481//b0554//b0135//b0867//b2183//b0161//b0481//b3712//
go_0006779_6	b3651//b0793//b4254//b1089//b1207//b0910//
go_0006780_7	b3089//
go_0006782_7	b1763//b3908//b1035//b2996//
go_0006783_5	b3941//b0073//b0509//b0882//b0504//b3083//b0516//b1092//
go_0006790_4	b0192//b0438//b3899//b0135//b0376//b1879//b0556//b3945//b0158//b0197//b3620//b2334//b4090//
go_0006791_2	b0022//b0195//b3093//b1872//
go_0006793_4	b3030//b0180//b1473//
go_0006798_5	b0828//
go_0006799_5	b1858//
go_0006801_5	b0853//b1010//b0584//
go_0006805_4	b1476//b2151//b0873//b2582//
go_0006807_3	b4314//b0639//b1976//b3982//
go_0006808_4	b0784//b2494//
go_0006810_4	insI4//b2042//b4664//b0003//b2821//b2369//b1415//b3664//b0329//b3040//b1474//b0768//b2930//b2315//b0757//b0336//b3983//b2753//b4084//b0863//b1088//b1034//b0890//b0481//b0197//gapC//b3609//b0723//hexR//b0256//b3688//b3491//b3198//b0281//b3409//b3316//b1079//b2781//b4160//b3358//b3405//b1078//b2219//b0920//b1329//b3936//b1435//b4510//b0474//b0953//b3960//b0347//b3984//b1848//b0375//b0632//b4371//b1343//b0635//b4026//b0521//b0171//b3836//b1987//b2578//b1379//b1209//b0850//b0232//b4208//b0186//b2399//b1664//b0928//b3705//b3142//b4208//b1702//b2763//b1518//b1872//b2425//b0776//b2260//b3986//b2945//b0427//b1545//b1656//b0367//b2164//b1109//b1774//b0941//b3303//b3206//b1314//b2428//b3713//b3367//b2429//b2801//b0815//b1892//b1499//b0405//b1858//b3268//b3605//b2888//b0841//b1921//b1696//b2558//b2093//b3738//b4220//b3888//b0823//b2827//b2735//b0790//b1275//b3632//b2161//b2060//b0032//b2604//b3208//b2478//b3829//b4062//b2530//b2330//b0755//b3927//b3025//b0895//b1557//b0487//b0793//b3990//b1421//b0764//b3287//b0445//b3317//b2975//b2136//b1499//
go_0006811_5	b1993//b3606//b2385//b2067//b4109//b2592//b1833//b0225//b3330//b0870//b0532//b3430//b1592//b1664//b1817//b0679//b3625//b1511//
go_0006812_6	b0962//b2496//
go_0006813_8	b4403//b2340//b3253//b0408//b3846//b2998//b2818//b2287//b0430//b0535//b0088//b3454//b0188//
go_0006814_8	b3904//b2458//b4054//b2563//
go_0006817_8	b3965//b0792//b1479//b1329//
go_0006820_6	b3385//b2785//b3441//b0932//b1650//
go_0006821_8	b1323//b2640//
go_0006824_8	b0339//b2581//b0118//b1289//
go_0006825_9	b2427//b0934//b0153//
go_0006826_9	b3260//
go_0006828_9	b1943//
go_0006829_9	b2413//b3730//b1088//b2295//b0426//b4175//
go_0006833_6	b0982//
go_0006835_8	b3609//b4682//
go_0006847_8	b2155//
go_0006855_6	b0113//b0311//b4059//b3291//b2301//b3095//b3672//b2614//b0918//b2584//b0438//b0054//b3813//b3212//b4479//b0597//b2147//b2667//b0173//b4668//b1266//b2710//b3525//b4192//
go_0006857_7	b0195//b4109//b2918//
go_0006863_7	b2038//
go_0006865_6	b3522//b2574//b3305//b3392//b2412//b1119//b4337//b4315//b3429//b3305//b3682//b0792//b0874//b3956//b4082//b1805//b0778//b1959//b0225//b2935//b0221//b0232//b2897//b3519//b0949//b1282//
go_0006868_7	b1209//b1175//b2264//
go_0006869_6	b0472//b4020//
go_0006874_8	b0093//
go_0006876_8	b1850//
go_0006878_9	b2241//b1296//b0880//b1738//b4099//
go_0006879_9	b4289//b3266//b0622//b2077//b0550//b3475//
go_0006880_4	b1684//b0598//b2146//
go_0006882_8	b3965//
go_0006883_8	b2756//b1822//b1522//
go_0006884_4	b0024//
go_0006885_9	b4637//
go_0006886_5	b3885//b2074//b0155//
go_0006928_3	b0516//b0096//b2009//b0490//b2341//b3752//b0621//b4377//
go_0006935_4	b0595//b2683//b4246//b0757//b2109//b3134//b0161//b1763//b1390//b3414//b0925//b3726//b3481//
go_0006970_4	b2556//b3351//b2867//b2107//b1998//b0311//b3774//b2905//b0484//b3396//b4000//b0902//b3765//b0051//b3932//b3353//
go_0006972_5	b2620//b1833//b2370//b3781//b1249//b3305//b2477//b2389//
go_0006974_5	b1223//b2565//b3702//b4081//b0627//b3462//b2758//b0765//b2048//b2335//b3349//b0831//b1107//b2496//b2828//b2661//b3080//b3789//b3343//b3415//b0960//b3143//b2303//b1703//b4209//b3313//b0886//b3424//b3780//b0179//b0406//b2789//b4323//b2957//b4377//b2942//b4075//b3965//b3750//b3342//b0762//b4082//b1748//b1914//b0284//b3844//b3791//yjgX//b3606//b2313//b1824//b1680//b3462//b1945//b0862//b0480//b0620//b4033//b1472//b0969//b1702//b1132//b3384//b3386//b1300//b3147//b4474//b1312//b1513//b2196//b1756//b0002//b3136//b4042//b3231//b3072//b1011//b0739//b2040//b4083//b4043//b4320//b1191//b3819//b2698//b0010//b3321//b0139//b1960//b0320//b0176//b2541//b4067//b3457//b2528//b0813//b3209//b0873//b3576//b3546//b2933//b2808//b2904//b3904//b3974//b0446//b2413//b0054//b1702//b1327//b4324//b2338//b3240//b4059//b2163//b2316//b3384//b1786//b4036//b3742//b3829//b2428//b2699//b0406//b1775//b2219//b0895//b3208//b1913//b0010//b3640//b3394//b0573//glsA//b1201//b0695//b3192//b0710//b2330//b0776//b0086//b3910//b2554//b2138//b0073//b0545//b1333//b4394//b4242//b0261//b1961//b1088//b4618//b3212//b0811//b1073//b1791//b0729//b4705//b3791//b0102//b2218//b0241//b3020//b2748//b0078//b2901//b3146//b0770//b1644//b2580//b3226//b2282//b4174//b3309//b0447//b1944//b3115//b3386//b1093//b1525//b1253//b3363//b1508//b3456//b3416//b0408//b1015//b2701//b0262//b1874//b0051//b0907//b2532//b4524//b2760//b1337//b4224//b0979//b3582//b1220//
go_0006979_4	b0808//b3271//b4117//b0629//b2023//b1093//b1241//b3326//b3501//b3825//b1120//b1018//b1830//b3367//b4559//b1511//b0195//b0699//b1998//hprR//b4131//b2750//b0920//b0423//b1612//b0228//b1448//b1012//b3142//b0375//b3477//b2058//b3993//b4528//b0337//b0191//b0574//b3774//b3194//b4125//b2334//b1557//b2064//b0307//
go_0006986_5	b3867//b0662//b0417//b0853//b3049//b1479//
go_0006995_6	b2422//b0941//
go_0007059_3	b2971//b1023//b3456//b1165//b2290//b1737//b3517//b1206//b1884//b2441//
go_0007062_4	b2333//b3542//b1162//b3812//
go_0007155_3	b1098//b2232//b3626//b0112//b2267//b3639//b3480//b2061//b2276//b0847//b1686//b0565//b0036//b3190//b0069//b2964//b0639//b4035//b2557//b3807//b1207//b4298//b1876//
go_0007165_3	b1719//b1704//b4501//b1534//b1613//b0307//b4147//b0633//b1799//
go_0007234_5	b3686//
go_0007584_4	b0139//
go_0008033_9	b0921//b1800//b0448//b0649//b3956//b2519//b0269//b1740//
go_0008104_4	b3178//
go_0008152_2	b1387//b3568//b0316//b3683//b2076//b3198//b0597//b1633//b1871//b2907//b4099//b1237//b0528//b0990//b0340//b0149//b3621//b3005//b3226//b2017//b0844//b0081//b4559//b1244//b0783//
go_0008156_8	b0553//
go_0008219_3	b0782//b3094//b0066//
go_0008272_6	b4269//b4149//b1040//b3601//
go_0008295_6	b1198//b0871//b4377//
go_0008299_5	b0824//b1473//
go_0008360_4	b0263//b2209//b1603//b3052//b3535//b3177//b1450//b3860//b0710//b3389//b1439//b2763//b0313//b3474//b3164//b1223//
go_0008610_5	b1328//b0245//b2803//b2303//b1189//
go_0008615_6	b2066//b1961//b2010//b3909//b1976//b3142//b4113//
go_0008616_8	b0546//b1526//b0766//b0539//b0399//b3415//b0730//
go_0008643_6	b3737//b3232//b1424//b3786//b0090//b1781//b1646//b0512//b2925//b2008//b0819//b0924//b2552//b3009//b4309//b2971//b2640//b2703//b3022//b1719//b0721//b2429//b0424//b1234//b3941//
go_0008652_5	b2740//b3904//b3662//b1291//b4637//b3390//b0830//b1285//
go_0008653_5	b2763//b0386//
go_0008654_5	b2831//b0863//b0867//b1427//b3635//b2739//
go_0009050_6	b3972//b1702//
go_0009052_6	b2156//b2053//b1512//b1045//b1202//b3029//b2207//
go_0009056_3	b3199//
go_0009058_3	b4314//b1920//b2388//
go_0009060_6	b3244//b4092//b1210//b0381//b2614//b4476//b2400//b1212//b2428//b3952//b2615//b1180//b1732//b0116//b2524//b2584//b4378//b2717//b2965//b1288//b0401//b2323//
go_0009061_6	b4665//b1932//b0811//b2153//b1916//b3394//b2503//b0907//b0449//b1205//b1609//b4415//b0532//b1612//b2891//b1421//b0368//b4052//b2568//b0960//b2780//b2079//b1858//b1059//b3232//b1374//b0284//b0714//b3876//b4550//b3845//b2144//b0762//b2170//b0676//b0240//b0530//b3046//b0162//b0963//b3430//b1101//b4213//b3925//b0693//b3651//b1272//b3421//b3889//b1575//b0803//b2336//b3787//b4225//b2380//
go_0009062_6	b3259//
go_0009063_5	b3984//b0963//b0737//b0061//
go_0009070_7	b0409//
go_0009073_6	b1564//b3917//b4152//b4099//b2368//b1206//b0637//b3424//b2105//b2746//
go_0009081_5	b2020//
go_0009082_6	b3403//b0695//b3765//b0439//b1703//
go_0009085_8	b4240//
go_0009086_7	b3917//b3345//b2557//b4399//b3073//
go_0009088_8	b2307//b2767//
go_0009089_6	b1798//b4029//b0212//b0742//b1413//b0459//b0487//
go_0009090_8	b0476//b4214//b2268//b1594//
go_0009092_7	b1749//
go_0009093_7	b3742//b1093//b1536//
go_0009094_6	b2922//b0616//b1304//
go_0009097_7	b2511//b1885//b3179//b0090//b3128//b3219//b0632//
go_0009098_7	b0714//b4100//b4034//b1319//b3824//b0861//b3554//
go_0009099_7	b1328//b3050//b2517//b0112//b4386//b2949//b2344//b0586//b4386//b2972//
go_0009102_6	b2918//b1592//b3082//b2202//b4065//b1652//b2972//b4088//b2801//b3363//b0717//b1411//b3636//
go_0009103_6	b1125//b3067//b4483//b3906//b1448//b2235//b0942//b3137//b0853//b0088//b0659//
go_0009106_5	b1993//
go_0009107_6	b0587//b2323//
go_0009108_6	b1693//
go_0009116_5	b3986//b1126//
go_0009142_7	b3025//b0624//glsA1//
go_0009143_7	b0813//
go_0009152_8	b0357//
go_0009157_8	b2341//
go_0009166_7	b3317//b0765//
go_0009168_9	b1787//
go_0009220_8	b1303//b4478//
go_0009224_9	b3026//b0792//
go_0009226_6	b0847//b4350//
go_0009228_7	b3068//b0115//b1238//b0447//b3173//b3360//b1141//b1827//b1932//
go_0009229_6	b1597//b3994//
go_0009231_6	b0979//b2442//b1468//b4312//b0156//b1166//b0445//
go_0009234_7	b1522//b4266//b0572//b4245//b1534//b3785//b1047//b0394//b2573//b2697//
go_0009236_6	b1404//b0619//b0479//b0166//b2458//b1891//
go_0009237_4	b1071//
