# Filteres repeated instances with "cat /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum.txt | sort | uniq > /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt "
# Turned to bnumbers using /Users/Daniela/Documents/CCG/GU_art_2/coexpression/scripts/gene_name_to_bnumber.pl on Mon May 14 11:43:53 2018 from /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/tus/tus_as_regulons.txt using /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/gene_links.txt
#From /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/scripts/tus_into_regulons.pl on Fri Feb  2 11:39:23 2018 using /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/tus/tus_regDB.txt
C0067	C0067//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b0177//b0178//b0179//b0180//b0181//b0182//b0183//b0184//
bamB-der	b2512//b2511//
bamC	b2477//
bamD	b2595//
bamE	b2617//
barA	b2786//
basRS	b4113//b4112//
bax	b3570//
bcp	b2480//
bcr	b2182//
bcsABZC	b3533//b3532//b3531//b3530//
bcsBZ	b3532//b3531//
bcsEFG	b3536//b3537//b3538//
bcsQ	b3534//
bdcA	b4249//
bdcR	b4251//
bdm-sra	b1481//b1480//
bepA-yfgD	b2494//b2495//
betIBA	b0313//b0312//b0311//
betT	b0314//
bfd-bfr	b3337//b3336//
bglA	b2901//
bglG	b3723//
bglGFB	b3723//b3722//b3721//
bglH-yieLK	b3720//b3719//b3718//
bglX	b2132//
bhsA	b1112//
bioA	b0774//
bioBFCD	b0775//b0776//b0777//b0778//
bioH	b3412//
bipA	b3871//
bisC	b3551//
blc	b4149//
blr	b4409//
bluF	b1163//
bluR	b1162//
bolA	b0435//
borD	b0557//
brnQ-proY	b0401//b0402//
bsmA	b4189//
bssR	b0836//
bssS	b1060//
btuB-murI	b3966//b3967//
btuCED	b1711//b1710//b1709//
cadA	b4131//
cadBA	b4132//b4131//
cadC	b4133//
caiCDE	b0037//b0036//b0035//
caiF	b0034//
caiTABCDE	b0040//b0039//b0038//b0037//b0036//b0035//
can	b0126//
carAB	b0032//b0033//
carB	b0033//
cas2	b2754//
cas3	b2761//
casABCDE12	b2760//b2759//b2758//b2757//b2756//b2755//b2754//
casDE12	b2757//b2756//b2755//b2754//
cbl	b1987//
cbpAM	b1000//b0999//
cbrA	b3690//
cbrB	b3716//
cbrBC	b3716//b3717//
cbrC	b3717//
ccmABCDEFGH	b2201//b2200//b2199//b2198//b2197//b2196//b2195//b2194//
cdaR	b0162//
cdd	b2143//
cdgI	b1785//
cdh	b3918//
cdsA	b0175//
cecR-ybhGFSR	b0796//b0795//b0794//b0793//b0792//
cedA	b1731//
cfa	b1661//
chaA	b1216//
chaBC	b1217//b1218//
chaC	b1218//
chbBCARFG	b1738//b1737//b1736//b1735//b1734//b1733//
chiA	b3338//
chiP-ybfN	b0681//b0682//
chiX	b4585//
cho	b1741//
chpSB	b4224//b4225//
cirA	b2155//
citCDEFXG	b0618//b0617//b0616//b0615//b0614//b0613//
citT	b0612//
clcA	b0155//
clcB	b1592//
clpA	b0882//
clpB	b2592//
clpPX	b0437//b0438//
clpS	b0881//
clpX-lon	b0438//b0439//
clsA-yciU	b1249//b1248//
clsC	b1046//
cmk-rpsA	b0910//b0911//
cmoM-mukFEB	b0921//b0922//b0923//b0924//
cmtBA-yggPFDC	b2934//b2933//b4465//b2930//b2929//b2928//
cnu	b1625//
coaA	b3974//
coaE-zapD-yacG	b0103//b0102//b0101//
cobUST	b1993//b1992//b1991//
codBA	b0336//b0337//
cof	b0446//
comR	b1111//
copA	b0484//
corA	b3816//
cpdB	b4213//
cpxPQ	b4484//cpxQ//
cpxRA	b3912//b3911//
cra	b0080//
crcB	b0624//
creABC	b4397//b4398//b4399//
creABCD	b4397//b4398//b4399//b4400//
creD	b4400//
crfC-yjcZ	b4109//b4110//
crl	b0240//
crp	b3357//
crr	b2417//
csdAE	b2810//b2811//
csgBAC	b1041//b1042//b1043//
csgC	b1043//
csgDEFG	b1040//b1039//b1038//b1037//
csiD-lhgO-gabDTP	b2659//b2660//b2661//b2662//b2663//
csiE	b2535//
csiR	b2664//
cspA	b3556//
cspB	b1557//
cspD	b0880//
cspE	b0623//
cspF	b1558//
cspG	b0990//
cspH	b0989//
cspI	b1552//
csrA	b2696//
csrB	b4408//
csrC	b4457//
csrD	b3252//
cstA	b0598//
cueO	b0123//
cueR	b0487//
curA	b1449//
cusCFBA	b0572//b0573//b0574//b0575//
cusRS	b0571//b0570//
cutA	b4137//
cvpA-purF-ubiX	b2313//b2312//b2311//
cvrA	b1191//
cyaA	b3806//
cyaR	b4438//
cyaY	b3807//
cybB	b1418//
cybC	cybC//
cycA	b4208//
cydAB	b0733//b0734//
cydDC	b0887//b0886//
cydX-ybgE	b4515//b0735//
cynR	b0338//
cynTS	b0339//b0340//
cynTSX	b0339//b0340//b0341//
cyoABCDE	b0432//b0431//b0430//b0429//b0428//
cysB	b1275//
cysDNC	b2752//b2751//b2750//
cysE	b3607//
cysG	b3368//
cysH	b2762//
cysJIH	b2764//b2763//b2762//
cysK	b2414//
cysPUWAM	b2425//b2424//b2423//b2422//b2421//
cysQ	b4214//
cysS	b0526//
cysZ	b2413//
cytR	b3934//
dacA	b0632//
dacB	b3182//
dacC	b0839//
dacD	b2010//
dadAX	b1189//b1190//
dam-rpe-gph-trpS	b3387//b3386//b3385//b3384//
damX-dam-rpe-gph-trpS	b3388//b3387//b3386//b3385//b3384//
dapA-bamC	b2478//b2477//
dapB	b0031//
dapD	b0166//
dapE-ypfN	b2472//b4547//
dauA	b1206//
dcd	b2065//
dcm-vsr	b1961//b1960//
dcp	b1538//
dcrB	b3472//
dctA	b3528//
dcuA	b4138//
dcuB-fumB	b4123//b4122//
dcuC	b0621//
dcuD	b3227//
dcuR	b4124//
dcuSR	b4125//b4124//
dcyD-tcyLN	b1919//b1918//b1917//
ddlA	b0381//
ddpXABCDF	b1488//b1487//b1486//b1485//b1484//b1483//
deaD	b3162//
decR	b0447//
def-fmt	b3287//b3288//
degP	b0161//
degQ	b3234//
degQS	b3234//b3235//
degS	b3235//
deoABD	b4382//b4383//b4384//
deoBD	b4383//b4384//
deoCABD	b4381//b4382//b4383//b4384//
deoR	b0840//
dfp	b3639//
dgcC	b0385//
dgcE	b2067//
dgcF	b1522//
dgcJ	b1786//
dgcM	b1341//
dgcP	b1794//
dgcQ	b1956//
dgcT	b1025//
dgcZ	b1535//
dgkA	b4042//
dgoRKADT	b4479//b3693//b4477//b4478//b3691//
dgt	b0160//
dhaKLM	b1200//b1199//b1198//
dhaM	b1198//
dhaR	b1201//
diaA	b3149//
dicA	b1570//
dicB-ydfDE-insD-intQ	b1575//b1576//b1577//b1578//b1579//
dicC-ydfXW	b1569//b1568//b1567//
dicF	b1574//
dinB-yafNOP	b0231//b0232//b0233//b0234//
dinD	b3645//
dinG	b0799//
dinI	b1061//
dinJ-yafQ	b0226//b0225//
dinQ	b4613//
djlA	b0055//
dkgA	b3012//
dkgB	b0207//
dksA-gluQ	b0145//b0144//
dld	b2133//
dmlA	b1800//
dmlR	b1799//
dmsABC	b0894//b0895//b0896//
dnaAN-recF	b3702//b3701//b3700//
dnaB	b4052//
dnaK-tpke11-dnaJ	b0014//tpke11//b0015//
dnaN-recF	b3701//b3700//
dnaQ	b0215//
dnaTC	b4362//b4361//
dnaTC-yjjA	b4362//b4361//b4360//
dnaX	b0470//
dosCP	b1490//b1489//
dpiBA	b0619//b0620//
dppABCDF	b3544//b3543//b3542//b3541//b3540//
dps	b0812//
dsbA	b3860//
dsbB	b1185//
dsbC	b2893//
dsbC-recJ-prfB	b2893//b2892//b2891//
dsbD-yjdC	b4136//b4135//
dsbG	b0604//
dsdA	b2366//
dsdC	b2364//
dsdXA	b2365//b2366//
dsrA	b1954//
dsrB	b1952//
dtpA	b1634//
dtpB	b3496//
dtpC	b4130//
dtpD	b0709//
dusA	b4049//
dusB-fis	b3260//b3261//
dusC	b2140//
dut-slmA	b3640//b3641//
dxr	b0173//
eaeH-insEF-1E-1F-1	eaeH//insEF-1//b0298//b0299//
eamA	b1533//
eamB	b2578//
ebgAC	b3076//b3077//
ebgR	b3075//
ecnAB	b4410//b4411//
ecnB	b4411//
eco	b2209//
ecpA	b0293//
ecpBCDE	ecpB//ecpC//b0140//ecpE//
ecpR	b0294//
eda	b1850//
edd-eda	b1851//b1850//
efeOB	b1018//b1019//
efeU_1U_2	b1016//efeU_2//
efp	b4147//
elaA	b2267//
elaB	b2266//
elaD	b2269//
elbB-mtgA	b3209//b3208//
elfA	b0938//
elfDCG-ycbUVF	b0939//b0940//b0941//b0942//b0943//b0944//
elyC	b0920//
emrD	b3673//
emrE	b0543//
emrKY	b2368//b2367//
emtA	b1193//
endA	b2945//
eno	b2779//
entCEBAH	b0593//b0594//b0595//b0596//b0597//
entH	b0597//
entS	b0591//
envR	b3264//
envY-ompT	b0566//b0565//
epd-pgk	b2927//b2926//
epd-pgk-fbaA	b2927//b2926//b2925//
epmA	b4155//
epmB	b4146//
eptA	b4114//
eptB	b3546//
eptC	b3955//
erpA	b0156//
esrE	b4707//
essD-rrrD-rzpD	b0554//b0555//b0556//
essQ-ydfR-rrrQ-rzpQ	b1556//b1555//b1554//b1573//
ettA	b4391//
eutBCLKR	b2441//b2440//b2439//b2438//b2437//
eutHA	b2452//b2451//
eutNEJG	b2456//b2455//b2454//b2453//
eutSPQTDM	b2462//b2461//b2460//b2459//b2458//b2457//
evgAS	b2369//b2370//
exbBD	b3006//b3005//
exbD	b3005//
exuR	b3094//
exuT	b3093//
fabA	b0954//
fabB	b2323//
fabDG-acpP	b1092//b1093//b1094//
fabF	b1095//
fabG-acpP	b1093//b1094//
fabHDG	b1091//b1092//b1093//
fabI	b1288//
fabR-yijD	b3963//b3964//
fabZ	b0180//
fadBA	b3846//b3845//
fadD-sroD	b1805//sroD//
fadE	b0221//
fadH	b3081//
fadIJ	b2342//b2341//
fadL	b2344//
fadM	b0443//
fadR	b1187//
fbaB	b2097//
fbp	b4232//
fdhD	b3895//
fdhF	b4079//
fdnGHI	b1474//b1475//b1476//
fdoGHI-fdhE	b3894//b3893//b3892//b3891//
fdrA-ylbEF-ybcF	b0518//ylbE//b0520//b0521//
feaB	b1385//
feaR	b1384//
fecABCDE	b4291//b4290//b4289//b4288//b4287//
fecIR	b4293//b4292//
feoABC	b3408//b3409//b3410//
feoC	b3410//
fepA-entD	b0584//b0583//
fepB	b0592//
fepDGC	b0590//b0589//b0588//
fes-ybdZ-entF-fepE	b0585//b4511//b0586//b0587//
fetAB	b0490//b0491//
ffh	b2610//
ffs	b0455//
fhuACDB	b0150//b0151//b0152//b0153//
fhuE	b1102//
fhuF	b4367//
ficA-fic-pabA	ficA//b3361//b3360//
fieF	b3915//
fimAICDFGH	b4314//b4315//b4316//b4317//b4318//b4319//b4320//
fimB	b4312//
fimE	b4313//
fimZ	b0535//
fiu	b0805//
fixABCX	b0041//b0042//b0043//b0044//
fklB	b4207//
fkpA	b3347//
fldA-uof-fur	b0684//b4637//b0683//
fldB	b2895//
flgAMN	b1072//b1071//b1070//
flgBCDEFGHIJ	b1073//b1074//b1075//b1076//b1077//b1078//b1079//b1080//b1081//
flgKL	b1082//b1083//
flgMN	b1071//b1070//
flhBAE	b1880//b1879//b1878//
flhDC	b1892//b1891//
fliAZ-tcyJ	b1922//b1921//b1920//
fliC	b1923//
fliDST	b1924//b1925//b1926//
fliE	b1937//
fliFGHIJK	b1938//b1939//b1940//b1941//b1942//b1943//
fliLMNOPQR	b1944//b1945//b1946//b1947//b1948//b1949//b1950//
flk	b2321//
flu	b2000//
flxA	b1566//
fnr	b1334//
fnrS	b4699//
focA-pflB	b0904//b0903//
folA	b0048//
folB	b3058//
folC-dedD	b2315//b2314//
folD-ybcJ	b0529//b0528//
folE-yeiB	b2153//b2152//
folP-glmM	b3177//b3176//
folX-yfcH	b2303//b2304//
fpr	b3924//
frc	b2374//
frdABCD	b4154//b4153//b4152//b4151//
fre	b3844//
frlABCDR	b3370//b3371//b4474//b3374//b3375//
frmRAB	b0357//b0356//b0355//
frr	b0172//
frsA	b0239//
fruBKA	b2169//b2168//b2167//
frvABXR	b3900//b3899//b3898//b3897//
frwCB	b3949//b3950//
frwD	b3953//
fryBC-ypdFE-fryA	b2387//b2386//b2385//b2384//b2383//
fsaA	b0825//
fsr	b0479//
ftnA	b1905//
ftnB	b1902//
ftp	ftp//
ftsAZ	b0094//b0095//
ftsB	b2748//
ftsK	b0890//
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0083//b0084//b0085//b0086//b0087//b0088//b0089//b0090//b0091//b0092//b0093//b0094//b0095//b0096//
ftsP	b3017//
ftsQ	b0093//
ftsQAZ	b0093//b0094//b0095//
ftsYEX	b3464//b3463//b3462//
ftsZ	b0095//
fucAO	b2800//b2799//
fucPIKUR	b2801//b2802//b2803//b2804//b2805//
fucR	b2805//
fumA	b1612//
fumAC	b1612//b1611//
fumB	b4122//
fumC	b1611//
fur	b0683//
fusA-tufA	b3340//b3339//
fxsA	b4140//
gabDTP	b2661//b2662//b2663//
gadAX	b3517//b3516//
gadBC	b1493//b1492//
gadC	b1492//
gadEF	b3512//gadF//
gadEF-mdtEF	b3512//gadF//b3513//b3514//
gadW	b3515//
gadX	b3516//
gadXW	b3516//b3515//
gadY	b4452//
galE	b0759//
galET	b0759//b0758//
galETK	b0759//b0758//b0757//
galETKM	b0759//b0758//b0757//b0756//
galF	b2042//
galK	b0757//
galP	b2943//
galR	b2837//
galS	b2151//
galU	b1236//
gapA	b1779//
gapA-yeaD	b1779//b1780//
gapC_1C_2	gapC_1//gapC_2//
garD	b3128//
garPLRK-rnpB	b3127//b3126//b3125//b3124//b3123//
gatR_1	b2087//
gatR_2	b2090//
gatYZABCD	b2096//b2095//b2094//b2093//b2092//b2091//
gatZABCD	b2095//b2094//b2093//b2092//b2091//
gcd	b0124//
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	b0507//b0508//b0509//b0511//b0512//b0513//b0514//
gcvA	b2808//
gcvB	b4443//
gcvP	b2903//
gcvR	b2479//
gcvTHP	b2905//b2904//b2903//
gdhA	b1761//
gfcA	b0987//
gfcBCD	b0986//b0985//b0984//
gfcE-etp-etk	b0983//b0982//b0981//
ggt	b3447//
ghoST	b4128//b4559//
ghrA	b1033//
ghrB	b3553//
ghxP	b4064//
glcBA	b2976//b2975//
glcC	b2980//
glcDEFGBA	b2979//b4468//b4467//b2977//b2976//b2975//
glf-wbbH	b2036//b2035//
glgAP	b3429//b3428//
glgBXCAP	b3432//b3431//b3430//b3429//b3428//
glgCAP	b3430//b3429//b3428//
glgS	b3049//
glk	b2388//
glmUS	b3730//b3729//
glmY	b4441//
glmZ	b4456//
glnA	b3870//
glnALG	b3870//b3869//b3868//
glnB	b2553//
glnD	b0167//
glnHPQ	b0811//b0810//b0809//
glnK-amtB	b0450//b0451//
glnLG	b3869//b3868//
glnQ	b0809//
glnS	b0680//
glnW-metU-glnVX	b0668//b0666//b0665//b0664//
gloA	b1651//
gloB	b0212//
glpABC	b2241//b2242//b2243//
glpD	b3426//
glpEGR	b3425//b3424//b3423//
glpFKX	b3927//b3926//b3925//
glpGR	b3424//b3423//
glpR	b3423//
glpTQ	b2240//b2239//
glrK	b2556//
glrR	b2554//
glrR-glnB	b2554//b2553//
gltA	b0720//
gltBDF	b3212//b3213//b3214//
gltI-sroC-gltJKL	b0655//sroC//b0654//b0653//b0652//
gltP	b4077//
gltS	b3653//
gltX	b2400//
glvCBG-ysdC	b3683//b3682//b3681//ysdC//
glxK	b0514//
glyA	b2551//
glyQS	b3560//b3559//
glyU	b2864//
glyVXY	b4163//b4164//b4165//
glyW-cysT-leuZ-3'ETS<sup><i>leuZ</i></sup>	b1911//b1910//b1909//3'ETS<sup><i>leuZ</i></sup>//
gmhB	b0200//
gmk	b3648//
gnd	b2029//
gnsB	b1550//
gntK	b3437//
gntKU	b3437//b4476//
gntP	b4321//
gntR	b3438//
gntRKU	b3438//b3437//b4476//
gntT	b3415//
gntU	b4476//
gntX-nfuA	b3413//b3414//
gor	b3500//
gpmA	b0755//
gpmM-envC-yibQ	b3612//b3613//b3614//
gpp	b3779//
gpr	gpr//
gpt	b0238//
grcA	b2579//
greA	b3181//
greB	b3406//
groL	b4143//
groSL	b4142//b4143//
grpE	b2614//
grxA	b0849//
grxB	b1064//
grxC	b3610//
grxD	b1654//
gshA	b2688//
gsk	b0477//
gspAB	b3323//b3322//
gspCDEFGHIJKLMO	b3324//b3325//b3326//b3327//b3328//b3329//b3330//b3331//b3332//b3333//b3334//b3335//
gss	b2988//
gstA	b1635//
gstB	b0838//
guaBA	b2508//b2507//
guaC	b0104//
gudPXD	b2789//b2788//b2787//
gyrA	b2231//
gyrB	b3699//
hcaEFCBD	b2538//b2539//b2540//b2541//b2542//
hcaR	b2537//
hcaT	b2536//
hchA	b1967//
hcp-hcr	b0873//b0872//
hda	b2496//
hdeAB-yhiD	b3510//b3509//b3508//
hdeD	b3511//
hdfR	b4480//
hdhA	b1619//
helD	b0962//
hemA	b1210//
hemA-prfA-prmC	b1210//b1211//b1212//
hemB	b0369//
hemCDXY	b3805//b3804//b3803//b3802//
hemF	b2436//
hemH	b0475//
hemL	b0154//
hemN	b3867//
hflD-purB	b1132//b1131//
hfq-hflXKC	b4172//b4173//b4174//b4175//
hicAB	b4532//b1438//
higBA	b3083//b3082//
hinT-ycfL-lpoB-thiK-nagZ-ycfP	b1103//b1104//b1105//b1106//b1107//b1108//
hipBA	b1508//b1507//
hisBHAFI	b2022//b2023//b2024//b2025//b2026//
hisJQMP	b2309//b2308//b2307//b2306//
hisL	b2018//
hisLGDCBHAFI	b2018//b2019//b2020//b2021//b2022//b2023//b2024//b2025//b2026//
hisS	b2514//
hlyE	b1182//
hmp	b2552//
hns	b1237//
hofMNOP	b3395//b3394//b3393//b3392//
hofQ	b3391//
hokA	b4455//
hokB	b4428//
hokD	b1562//
hokE	b4415//
holC	b4259//
holC-valS	b4259//b4258//
holD-rimI-yjjG	b4372//b4373//b4374//
holE	b1842//
hpt	b0125//
hrpA	b1413//
hrpB	b0148//
hscBA-fdx-iscX	b2527//b2526//b2525//b2524//
hscC	b0650//
hsdMS	b4349//b4348//
hsdRMS	b4350//b4349//b4348//
hslJ	b1379//
hslO	b3401//
hslRO	b3400//b3401//
hslVU	b3932//b3931//
hspQ	b0966//
htgA	b0012//
htpG	b0473//
htpX	b1829//
htrL	b3618//
hupA	b4000//
hupB	b0440//
hyaABCDEF	b0972//b0973//b0974//b0975//b0976//b0977//
hybOABCDEFG	b2997//b2996//b2995//b2994//b2993//b2992//b2991//b2990//
hycABCDEFGHI	b2725//b2724//b2723//b2722//b2721//b2720//b2719//b2718//b2717//
hydN-hypF	b2713//b2712//
hyfABCDEFGHIJR-focB	b2481//b2482//b2483//b2484//b2485//b2486//b2487//b2488//b2489//b2490//b2491//b2492//
hypABCDE	b2726//b2727//b2728//b2729//b2730//
hypABCDE-fhlA	b2726//b2727//b2728//b2729//b2730//b2731//
hypBCDE	b2727//b2728//b2729//b2730//
hypBCDE-fhlA	b2727//b2728//b2729//b2730//b2731//
hypF	b2712//
hypT	b4327//
hyuA	b2873//
iaaA-gsiABCD	b0828//b0829//b0830//b0831//b0832//
iap	b2753//
ibaG	b3190//
ibaG-murA	b3190//b3189//
ibpAB	b3687//b3686//
ibpB	b3686//
icd	b1136//
icdC	icdC//
iclR	b4018//
idi	b2889//
idnDOTR	b4267//b4266//b4265//b4264//
idnK	b4268//
idnR	b4264//
ihfA	b1712//
ihfB	b0912//
ileS-lspA-fkpB-ispH	b0026//b0027//b0028//b0029//
ileX	b3069//
ileY	b2652//
ilvA	b3772//
ilvC	b3774//
ilvEDA	b3770//b3771//b3772//
ilvIH	b0077//b0078//
ilvL	b3766//
ilvLXG_1G_2MEDA	b3766//b4669//ilvG_1//ilvG_2//b3769//b3770//b3771//b3772//
ilvY	b3773//
inaA	b2237//
infA	b0884//
infC	b1718//
infC-rpmI-rplT	b1718//b1717//b1716//
insA-1AB-1B-1	b0022//insAB-1//b0021//
insA-2AB-2B-2-afuBC	b0265//insAB-2//b0264//b0263//b0262//
insA-3AB-3B-3	b0275//insAB-3//b0274//
insA-4AB-4B-4	b4516//insAB-4//b0988//
insA-5AB-5B-5	b1894//insAB-5//b1893//
insA-7	b4294//
insB-7_1B-7_2	insB-7_1//insB-7_2//
insC-1CD-1D-1	b0360//insCD-1//b0361//
insC-2CD-2D-2	b1403//insCD-2//b1402//
insC-3CD-3D-3	b1997//insCD-3//b1996//
insC-4CD-4D-4-ygeONM	b2861//insCD-4//b2860//b2859//ygeN//b2857//
insC-5CD-5D-5-yqiGHI	b3044//insCD-5//b3045//b3046//b3047//b3048//
insC-6CD-6D-6	b4272//insCD-6//b4273//
insE-2EF-2F-2	b0373//insEF-2//b0372//
insE-3EF-3F-3	b0540//insEF-3//b0541//
insE-4EF-4F-4	b1027//insEF-4//b1026//
insE-5EF-5F-5	b2088//insEF-5//b2089//
insG	b4278//
insH-1	b0259//
insH-10	b3218//
insH-11	b3505//
insH-2	b0552//
insH-3	b0656//
insH-4	b1331//
insH-5	b1370//
insH-6	b1994//
insH-7	b2030//
insH-8	b2192//
insH-9	b2982//
insI-2	b1404//
insJ	b3557//
insK	b3558//
insL-1	b0016//
insL-2	b0582//
insL-3	b2394//
insMI-3	insM//b4284//
insN-1I-1O-1	b0255//b0256//b0257//
insN-2	b4283//
insO-2-yjhWV	b4285//yjhW//b4286//
intA	b2622//
intB	b4271//
intD	b0537//
intF	b0281//
intG	intG//
intS	b2349//
intZ	b2442//
iraD	b4326//
iraM	b1160//
iraP	b0382//
iscRSUA	b2531//b2530//b2529//b2528//
ispB	b3187//
ispDF	b2747//b2746//
ispG-sroE	b2515//sroE//
ispU	b0174//
isrB	b4434//
isrC	b4435//
isrC-flu	b4435//b2000//
istR-1	istR-1//
istR-2	b4616//
ivbL	b3672//
ivbL-ilvBN	b3672//b3671//b3670//
ivbL-ilvBN-uhpABC	b3672//b3671//b3670//b3669//b3668//b3667//
ivy	b0220//
katE	b1732//
katG	b3942//
kbaZ-agaVWA	b3132//b3133//b3134//b3135//
kbl-tdh	b3617//b3616//
kbp	b2665//
kch	b1250//
kdgK	b3526//
kdgR	b1827//
kdgT	b3909//
kdpDE	b0695//b0694//
kdpFABC	b4513//b0698//b0697//b0696//
kdsA	b1215//
