#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	umpH//glpF//guaB//ilvH//
ChbR-Monoacetylchitobiose-6P	paaC//aroG//argE//hflX//ygiA//mglC//
CpxR-Phosphorylated	phnM//rutG//malE//iscR//mgrR//aceE//glpA//serA//nagA//livF//ulaC//ackA//lsrC//hycD//lldR//araA//pgaB//lrp//yggX//udp//ilvH//dcuR//asr//rbsA//ugpE//alaV//torR//hybO//xdhA//yaiA//glcE//psiF//pflB//baeS//hyaB//ilvE//ybdN//mntH//nupC//ilvG_2//grxC//gltV//narQ//pck//phnD//fecA//ldtB//iscS//srlA//yhjC//rplM//comR//pgk//malE//glyA//hisM//acrA//cyoD//malM//bdcA//slt//purF//yegR//nuoJ//manZ//acrE//raiA//fecE//ogt//
CreB-Phosphorylated	rpsJ//rhaT//hofP//xdhB//zraP//cusB//sbmC//acnA//hlyE//
CueR-Ag	nhaR//aroM//purC//prpR//mhpA//mltC//galK//
CueR-Cu+	prmC//nanE//hydN//gspL//purE//amtB//aroA//
CuerR-Au	cusF//ilvG_1//nrfF//aceA//cra//hycI//priB//
CusR-Pasp	gatA//mhpT//hycF//galP//metC//pyrD//alaV//nuoH//lysA//rrlD//cheZ//gcvH//
CynR-Cyanate	soxS//raiA//rplW//ydhW//
CysB-N-acetyl-L-serine	dcuC//manZ//napG//atoA//hofM//cadB//ilvX//yiaL//xdhC//nagE//phoU//malY//dapB//nuoE//ydhX//dmsA//alaA//treC//aroF//fadD//rbsR//fbaA//garR//moaE//ryhB//lolB//purN//fecD//hupA//ytfE//
CysB-O-acetyl-L-serine	truB//srlR//nrfF//nagE//casB//dcuA//csgC//rpsO//nuoK//alaT//phoE//yqjH//mhpC//rutG//dmsC//cadC//zntA//gspL//pstC//mhpB//ynfF//argG//crr//treC//sgbH//sdaA//hybB//xdhB//lolB//ilvG_2//pheT//
DcuR-Phosphorylated	malZ//fimD//ftnB//lpxD//ilvG_1//hybF//fadD//hycA//metA//
DnaA-ATP	rhaT//fadI//yiaK//uidA//alaS//nohA//pstB//rplD//malE//argP//fimG//rplD//
DpiA-Pasp	hofC//ileT//hemL//sdhC//arcZ//rybB//speA//mglB//nanC//fepC//tyrP//
DsdC-D-serine	napG//eda//priB//
EvgA-Phosphorylated	envZ//acs//rstB//gpmA//narJ//atoB//aroL//garK//prpB//phnF//tyrB//ogt//hybA//rpoH//ulaA//
FNR-[4Fe-4S]2+ reduced	napA//deoC//hycB//trpE//csiD//citX//astA//glcC//epd//citD//gdhA//sgbE//pheT//rpsC//araG//idnD//lolB//mgtL//zraP//putP//glpF//metH//alaS//zraS//oppD//hmp//citF//cusC//iraM//dppF//tolC//rpsR//rplP//garP//entB//malM//napF//qseB//ilvN//aceF//rstB//rplI//yjeV//purH//hyaE//glpX//csiD//gabD//gapA//hypB//codB//creD//cynT//galS//cusR//motB//pheM//creB//talA//fimC//mscM//ubiX//hmp//tyrR//ygeA//torC//agaA//yjjZ//hybG//fixX//betA//fucU//fecI//csgE//hypC//srlA//phnJ//betT//artJ//preA//napG//allC//betT//metL//nrfG//amtB//pgaD//ycdZ//cysW//yrbL//ssuC//rbsR//metY//pgpC//spf//exbB//norW//phoU//bioB//glgA//yiaO//entE//glpG//tyrP//cusA//allD//feoA//cysJ//rbsB//yhjC//cynS//oppA//malF//hdeB//ogt//yiaK//marR//trpA//sdhA//atoA//hisM//rseC//ynfK//avtA//citX//betT//fhuB//rpsP//dapD//mzrA//casA//mgrB//napG//evgS//lacY//fucA//hyfH//hslJ//casA//ygiC//gapA//rof//napG//ahpC//malE//entD//yegH//ackA//tadA//tam//uvrA//sdhC//nrfC//lsrR//iscR//frdC//agp//gatY//hcp//baeS//uxaC//nrfF//uidC//thrS//aspC//moaC//ulaB//narI//spy//arcZ//cydA//tsr//fhuD//gspL//bacA//ilvB//acrB//yfdX//ycdZ//rrfA//chbR//narI//mhpB//grxD//manX//yfaE//chbR//yrbL//cheR//iscR//nrdH//napG//evgS//carA//dsdX//atoA//ydbD//comR//hisJ//cydD//gapA//xapA//fau//yoaG//nrfF//nrfA//ygiB//xylH//hyaE//hha//yqjH//rrlH//glpT//ugpQ//alaS//fhuC//rrlD//lsrD//ndh//gntU//alkB//appC//ubiA//rrlE//rcnB//purN//rof//hflX//yiaJ//mhpR//yeaE//astD//glnA//rnlB//nirC//tdcC//ygbA//rstB//ulaB//appY//chiP//amtB//ynfE//sdhC//hyfE//ubiX//rplM//rrsE//chbG//caiA//sbmA//araA//yiaM//livK//cas2//sufE//norR//phnD//ydiU//lysU//comR//lolB//rrlC//dppB//argI//hyaD//fur//stpA//cadA//gspF//uhpT//cydB//fadD//phnH//dctA//alaS//carB//dpiA//rrsE//folA//rutA//icd//ldtB//ccmB//tolC//tdcD//yjjZ//yfdE//gdhA//yfiP//mtlA//rplS//tomB//nrfF//rplC//lpxD//zraS//modA//glpE//nfuA//lsrC//aceE//puuC//argC//modC//
FhlA-Formate	fbaA//dmsD//gcvT//entB//bcsB//feaB//rof//ilvH//cyoC//malE//galT//artQ//hupA//gatA//nuoM//tsx//nirD//argH//glcE//cydD//lldR//tauC//prpD//dmsD//yeaE//rrsD//feoC//puuA//argD//mglA//
FucR-L-fuculose-1-phosphate	phoH//trpE//cusB//modA//yegH//dcuB//rplM//
Fur-Fe2+	efeU_1//osmC//uxuA//napB//guaA//appY//narQ//dsdC//casE//gadB//phoH//znuB//yccA//lacZ//dppF//ssuD//argB//argA//caiD//ulaF//nagC//rrlC//dgcZ//dusB//fimH//rrlB//cyoA//yeiP//argH//emrK//crr//glgP//csgD//sohB//rpsS//ilvG_2//melR//pagP//cysW//artJ//dmsD//rbsR//narH//creC//fixB//lsrA//fixC//nikB//exuT//cyoB//gatC//manX//evgA//rutB//fepG//rybA//speB//yhiD//ydhX//yhfA//bioC//gspL//napF//cpxA//dsdX//sucD//xylA//hyaA//napB//tsx//yeiL//glgX//pgaB//gatY//rof//mntS//yggX//hisQ//araJ//metB//entF//treB//aaeB//astD//lsrR//araF//nuoF//ydfH//yjiY//mglB//codB//phnL//lacA//rhaR//artP//gatD//citG//fdnG//hupA//puuA//evgA//glcC//srlR//uraA//ulaF//pstC//xylH//rnlB//aroH//rrsA//acs//hofO//hypC//alkB//fecC//ygiB//fimA//nrdG//rutB//copA//glpC//dapB//rrfF//cysU//hycF//pck//metH//moeB//creC//manA//rplD//oppC//rrfB//gcd//araJ//rcnB//gpsA//rhaR//rplS//rybA//
Fur-Mn2+	purH//mhpR//uhpC//dkgB//malT//speC//fhuD//pepT//ygiA//hycD//gspG//xdhB//sucC//fecD//aroP//nanT//secB//entF//hisP//mutL//aroP//rnlA//modC//hyaE//rbsA//bioA//soxS//fixX//iscR//nrfB//sufA//dppA//hycI//nuoN//dcuA//frc//nuoB//cadB//puuP//fepG//araA//bioC//ilvG_2//yjjZ//gntK//ilvB//yqaE//fnrS//hofC//pheM//purN//glnA//argO//nirC//uof//ccmC//glnK//fis//phoE//yeiP//uxuR//xapA//rpsP//nrfA//rplW//speB//grcA//leuE//sdhB//ilvC//crp//cstA//uidB//ccmA//narK//carA//treR//rrlC//xapA//nrfC//cas1//uhpB//aaeX//hypE//ilvA//rrsA//pagP//entB//gltA//oxyR//chbB//hycH//agaV//rbsR//lsrB//ubiX//dcuD//argA//phnK//sucC//fhuC//slyB//hypB//ydfN//citF//nrfB//cysJ//ilvH//sodB//glpK//creA//rpmC//rbfA//hcp//cheW//yjiY//yoaC//fadD//entB//dmsC//yjcH//gabD//nrfG//malQ//pta//marA//narL//oppF//lacY//rcnA//rpsP//csgA//mdtC//appB//entA//norV//caiD//cirA//trpC//rpoS//
GlcC-Acetate	katG//nuoN//ygeH//xapA//appB//nrfB//rplS//
GlcC-Glycolate	yeaD//azuC//sucA//rutE//dapB//abgA//pflB//
GlrR-Pasp56	phnH//
IclR-pyruvate	treR//argT//bioD//bglF//
IdnR-5-ketogluconate	hybD//leuE//ptsG//pepT//yjcH//ssuD//rpsF//chbR//
IdnR-Idonate	manY//hyfH//ileT//sufC//iclR//focA//hdeD//fimH//
IlvY-2-acetolactate	fecR//fimE//
IlvY-Alfa-acetohydroxybutirate	araC//ccmE//
IscR-[2Fe-2S]1+	rplI//yjjZ//yccA//hdeB//galT//aaeB//chiP//gatA//glcB//nlpE//cynR//tpx//hdeD//rimM//nuoE//tehB//rstB//srlA//uraA//gapA//rpsQ//ptsI//rdoA//dadA//fimG//ccmG//ung//gatB//ygeH//lyxK//marB//appX//puuE//phnO//rpsF//pnp//malP//xapA//ssuD//entB//degP//
LldR-L-lactate	dppC//paaZ//mdtB//
Lrp-Leucine	lacY//fnrS//mdtA//napB//nrdI//metL//puuE//ynfH//metQ//gcd//pheM//cra//carA//ccmG//mcaS//gspM//srlR//phnE_1//xapB//tyrB//rbfA//ptsH//sxy//ccmF//fbaA//glmY//ygaC//paaB//waaH//ygbA//lacI//gspG//garP//ygeA//cysI//amiB//rseB//ptsG//mscM//melA//gspF//stpA//napC//rof//araC//ptsI//nagA//srlB//tyrA//uvrA//phnM//abgB//motB//astA//folE//frdA//nagE//hdeA//lpd//cysC//fepD//fdhF//rutA//katE//yibN//phnH//betA//ychH//pncB//bioB//purC//purL//phnI//fadA//paaH//citF//fhuD//xylF//deoC//glpT//rstB//trpR//rimM//paaI//aceA//actP//rpsI//cheA//paaE//malI//ccmE//cyoB//gyrA//torA//aceE//lpxB//yidQ//gspF//cysA//torD//nrfE//ccmD//metB//metJ//entC//dmsA//
LsrR	hybA//envY//malF//rnhB//grcA//nrfE//raiA//xdhB//hfq//
MalT-ADP-Maltotriose	nanT//cpxA//artM//entF//rcnB//yqjI//glcC//paaA//ulaF//cusF//
MalT-Maltotriose-ATP	cysA//narJ//kbl//glcF//rrfB//motB//ulaD//yiaJ//iraM//mutL//
MelR-Melibiose	cysP//idnD//malE//
MetJ-S-adenosylmethionine	stpA//osmY//ydeP//mgrR//gspM//alaV//ascF//iscU//nikD//rseA//artQ//tsx//mhpF//yqjA//metY//
MetR-L-homocysteine	fhuD//hybD//xapA//ilvI//dpiB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	uvrA//pnp//hfq//dcuC//nfuA//cysP//
MhpR-3HPP	ydhU//melB//rutA//carA//rnlB//udp//
MntR-Cd2+	osmC//dmsA//baeR//dsdX//caiB//
ModE-MoO42-	hflK//mutY//rrfE//norW//ycdZ//bioF//amn//yeaD//mhpF//ccmH//focA//rutA//rpsC//fdnH//hslJ//trpC//cydD//lpxA//bioB//gltU//mglA//pyrC//codA//entS//napB//ybiT//ompR//rrsB//argT//tehB//ssuB//pheS//dsdX//fepG//lsrG//cheA//ydiU//mcaS//bdcA//cynR//baeS//rstB//phnO//hycB//agaA//gltD//
NarL-Phosphorylated	fimG//rnlB//miaA//pheM//sdhD//aroA//fhuE//sdhC//metB//feoC//grpE//hisQ//entD//casE//malP//ileT//xdhC//ydeM//gspG//rrsC//gntK//argG//ompC//proP//hycB//metA//xapA//cyaA//moaB//appA//ansB//ssuE//nrfG//moaE//rhaS//glpE//rrsD//edd//gntX//rplI//puuC//yibN//appA//dsdX//hycD//cynT//hycG//udp//trpE//malQ//purB//phoQ//sufD//dusB//nrfA//ybdN//yjiY//gcvP//purB//adiC//sucA//cas1//rutD//fhuF//preT//baeS//nuoF//ubiA//hofM//glpC//yegH//melB//glcC//lsrC//phnK//ugpA//appX//astB//tauA//yfaE//sohB//gntR//acrA//cydD//citE//tcyJ//appA//rybA//emrK//ompC//dcuC//tauD//metC//hofN//fhlA//rpsS//acrE//cstA//yhjC//katE//fecC//lsrF//gspJ//ybdZ//cspE//slyB//rrfE//hycE//ydhX//ccmG//pgaC//purM//hyaA//galE//uvrA//rrsB//mdh//borD//zraP//nupC//pitA//tam//dpiB//glpG//rbsC//
NarP-Phosphorylated	cydD//pflB//abgT//trpC//astA//trxA//degP//purL//treR//ftnB//ulaE//rpoE//glgC//putP//umpH//lolB//idnO//chbC//treC//phoU//ilvH//metB//mtlD//entC//tsx//astD//exbD//rbsK//puuE//purA//fnr//cyaA//sdhD//ydbD//znuB//ftnA//puuB//cadA//ldtB//phnK//casD//ydfN//puuR//metC//sdhD//ptsG//ryhB//puuP//rbsR//bcsZ//
NhaR-Na+	rrsE//preT//cusS//ryhB//hybB//caiE//psiF//
NikR-Cd2+	creA//bamE//napC//cynR//frdD//lacI//
NikR-Co2+	gspJ//gabD//caiA//melB//csgG//paaE//
NikR-Cu2+	pgaB//ydfN//nrfC//ygbA//oxc//feoB//
NikR-Ni2+	metK//ulaB//alaA//ilvC//nrfE//ilvD//
NikR-Zn2+	ilvD//ulaF//yqjA//emrY//trpD//glpD//
NrdR-ATP	arcZ//fdnI//glpF//hycH//fimF//argG//yojI//idnT//rpsO//
NrdR-Zn2+	metQ//amiB//nirB//paaD//xseA//mhpE//pdhR//acrB//waaH//
NrdR-dATP	grxC//nupC//mglA//galT//gspD//grcA//tauC//rhaS//mtr//
NsrR-[2Fe-2S]reduced	livG//garK//ygiB//rplS//glnD//prpE//oxc//ilvM//purD//hyfF//chbC//slyB//yiaL//rstB//ilvG_2//hybO//sucB//araF//lrp//nuoF//cstA//phnI//rrfG//nuoH//metQ//entS//dppF//ulaD//pitA//sufE//paaA//mdtC//ilvX//gabP//gspF//osmY//baeR//waaH//chbR//uxaC//paaC//dnaN//rrsD//srlA//sgbH//cydC//ogt//ygiA//uidA//ompR//sdhA//znuC//marA//creD//prmC//lsrK//cydB//puuP//nrdG//prpB//cyaR//citF//ompT//lhgO//chbF//aceF//araJ//rutC//sodB//nrfA//spy//gcvT//nuoL//
PhoB-Phosphorylated	truB//hemL//hyfB//malF//fumB//bioA//feoB//mutL//fadI//glgP//caiC//hupA//rbsB//pgk//ilvX//nuoA//phoB//glcG//citC//torA//cadA//bcsZ//citF//lacA//galP//hycD//nfuA//nuoM//srlE//gltD//trpB//dnaN//ldtB//appY//zraR//ndh//envZ//fecI//ptsG//hyfG//hemL//agaW//dapB//nanS//infC//prpE//sdhB//rrfC//phnO//ilvA//mhpC//glnB//yhhY//chbA//fliZ//ydhU//fucP//cyaA//treC//pta//sucB//
PhoP-Phosphorylated	hofN//abgA//glnK//paaB//waaH//yeiB//argG//sbcC//rrlH//cpxA//baeS//rrsB//exbD//azuC//degP//mhpB//caiA//ppdD//serA//fepB//tsaE//yqjA//pheT//allC//mgtL//ygeA//mglA//trpL//metL//umpH//rutG//hyfH//ycjX//hycE//lyxK//fecC//crl//chbC//glcA//uxaA//motB//yegR//hyfC//hycF//xylR//lldD//ryhB//dpiA//fucR//nrdG//gatY//xylB//fhuC//uvrA//gatY//fdnH//gltV//
PrpR-2-methylcitrate	garK//ulaF//napC//rrlG//yhhY//
PurR-Guanine	cusC//uof//phnK//zntA//yegR//talA//ptsH//ybdN//phoE//gutM//eda//carA//pitA//lsrB//uraA//nikD//idnD//rcnA//glnK//pheS//ubiG//yjjZ//ydeN//lsrK//fur//katG//acrA//raiA//ilvL//artM//psd//hybA//murP//ygeH//
PurR-Hypoxanthine	pheT//rpsC//rpsS//phnI//purA//rrsD//rplC//gntX//hcp//narX//fucI//ydhT//fnr//degP//stpA//nrfF//xylA//hflX//soxR//fimE//cdd//fdhF//lysC//flhD//hycH//gspG//preT//folE//sufA//dcuD//ileV//frdB//yhcH//sbcC//
QseB-Phosphorylated	atoE//nanK//aroL//rseA//
RhaR-L-rhamnose	dmsA//lsrR//
RhaS-L-rhamnose	rpsO//nlpE//glpB//rrlA//nlpE//fimG//
RstA-Phosphorylated	nikC//mhpA//nlpE//tdh//ydeN//phnN//tehB//sbmC//ytfE//fau//
SoxR-[2Fe-2S]3+ oxydized	dpiA//caiF//nlpD//fucK//
TorR-Phosphorylated	gspG//rrlH//rnhB//paaJ//actP//fimG//cysG//glpK//alkB//rrsH//
TrpR-Tryptophan	crl//appX//malF//ansB//prs//prpB//aroG//metK//hofP//ubiC//fepE//aceE//
TyrR-L-tryptophan	ybdZ//tnaA//betB//alaV//bamE//deoB//abgA//hyfD//rrlD//lldR//cheY//codB//allC//creB//
TyrR-Phenylalanine	idnR//hypF//xylR//artP//rpoH//fadB//yegH//gatA//hupA//pheT//lsrC//fucP//malP//ccmB//
TyrR-Tyrosine	rutF//gatY//rprA//oppA//fimI//hofN//phnE_2//moeA//manX//mntP//rrfE//argC//ilvB//yoaG//
UhpA-Phosphorylated	cysJ//
XapR-xanthosine	ampE//bglG//
XylR-Xylose	dmsD//ftnB//entD//astC//tdcB//aceE//
ZntR-Cd2+	tsx//
ZntR-Hg	ndh//
ZntR-Zn2+	cadA//
ZraR-Phosphorylated	fimC//ccmF//hypD//
Zur-Zn2+	uhpB//dcuD//malK//ampD//hypA//hfq//
