#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	hisJ//edd//tnaC//bioD//
ChbR-Monoacetylchitobiose-6P	ygiC//yggX//evgA//nikC//znuB//livG//
CpxR-Phosphorylated	torD//fecI//nuoB//lacZ//tpx//gltT//sgbE//dnaA//ydhY//fadL//ada//cydC//bcsB//ubiC//nirB//idnK//yegH//cysG//katG//napG//rrsH//idnK//evgS//yiaK//ileU//edd//ccmE//gltU//hha//oppF//lysC//phnD//purH//exuT//skp//ccmC//osmY//yegR//yjeV//chbG//rutE//micF//yhjC//fecD//ptsI//cysB//alaA//artJ//yfdE//nrdH//glpG//idnK//agaV//ihfA//glyA//aceB//hyfH//yqjI//pstS//ebgC//ydeM//lysU//glpG//hemA//ssuE//yggX//ydeO//entS//casB//
CreB-Phosphorylated	metQ//fecD//yjiY//ihfA//tomB//dppA//mtlD//glpD//mhpD//
CueR-Ag	pgaD//atoD//ykgM//rbsA//yfaE//grxD//alaU//
CueR-Cu+	zraP//glnL//bacA//rrfE//uxuR//gnd//baeR//
CuerR-Au	glcD//garP//nikE//ileT//mgtA//mlc//narK//
CusR-Pasp	entB//fnrS//paaA//mdtD//yjcH//mgtA//soxR//napA//oxc//rpsI//hpt//garR//
CynR-Cyanate	rpsO//melA//mhpC//aceE//
CysB-N-acetyl-L-serine	argF//zntA//gspE//sxy//aceF//chbF//dadX//alkA//cysM//mhpB//galM//hypA//hybC//skp//ygeA//deoB//hofN//zraP//treB//gspC//gspI//cas1//rpsS//lsrR//yfdX//hisQ//rplW//ppiD//ubiA//hisQ//
CysB-O-acetyl-L-serine	dusB//rrsE//tyrR//trmD//yegZ//hybF//mgrB//oxc//sdaA//rpsO//yecR//ivbL//fecD//lacI//ydeN//bglF//gatC//tktB//mhpD//tonB//yjcH//hupB//speB//cheZ//caiB//phnC//rseA//bioB//ebgC//aldB//frdD//
DcuR-Phosphorylated	hycH//bcsC//lrp//yfiP//rrsH//glnK//pflB//livM//hyfC//
DnaA-ATP	trpC//yjeV//phnD//yeaE//xylR//ygiA//betI//hflX//zraP//caiB//glnL//chbG//
DpiA-Pasp	mltC//narI//dmsD//narX//hofC//glgS//glnA//nfuA//frdD//moeB//lpxA//
DsdC-D-serine	hofP//fdnI//yaeP//
EvgA-Phosphorylated	tpx//pflB//araA//tsgA//dmsA//tsaE//yiaK//rhaT//livJ//arcA//citE//hofM//livG//gdhA//hofN//
FNR-[4Fe-4S]2+ reduced	yegZ//fur//yfbR//sgbH//rprA//fecA//cirA//mutL//micF//xylH//norV//ilvD//yfbR//hybB//tfaQ//glgP//cyoB//phnE_2//hybB//moeA//nuoH//livM//agp//rpsR//gspK//yqjH//aspA//oppC//nusA//ilvL//fnrS//dcuR//cvpA//deoA//hypF//yebE//hofC//gatC//malG//ydeP//yfaE//frdC//rof//phnK//tehA//rhaA//bhsA//narJ//rrfG//ptsI//fecC//pitA//metC//nrdA//cvpA//csgG//tyrR//rrfA//tyrA//hyfH//ygiA//rbsK//prpD//rrsE//hisQ//hybG//purE//astD//ysgA//cysI//dsdX//paaI//rpsI//oppA//metF//pgaC//ftnB//nuoB//bglF//hisJ//sufA//prfA//pheS//sdhA//ydhW//fhuD//narK//preT//nuoB//sodB//chbG//ilvI//truB//stpA//yiaJ//purK//fepE//yeaD//nuoL//gpsA//livH//nrfC//glnB//nuoJ//nrdI//mntP//gutM//ilvN//murQ//nadC//cynT//rplW//ycdZ//norV//hybA//hybO//ulaA//cheW//nrdG//dppA//speA//rpsO//cydD//leuE//zraP//araB//phnE_1//atoD//cynT//gspO//marB//hyaA//rutC//phnG//hyfE//ugpB//ybjG//nrdI//trg//ilvA//hybB//fabZ//uhpA//araB//atoE//caiD//hycH//purR//yjiY//azuC//trpD//ilvE//fadH//caiT//dcuS//ftnB//narL//entE//ptsI//cra//nanK//galK//cdd//tyrP//actP//serA//cysW//sbmC//gapA//ccmH//hfq//treR//dkgB//fabZ//hyfJ//hemA//mglA//dmsC//cusF//betT//iscU//hisM//hyfR//truB//gspO//chbB//hdeA//aroF//cydA//fnrS//torD//pitA//dnaN//sbcD//cysI//metC//iscA//crl//rpsQ//fabZ//hflD//yaeQ//psd//gspO//cysJ//hcp//tyrB//hybD//fadI//cysI//rseA//fecD//argT//malG//glcA//cspD//hyaD//deoD//ivbL//citE//livG//frdC//icd//metE//cyaA//dadA//ulaD//paaI//agp//hypA//ivbL//cysJ//nrfD//phoR//dps//rplP//trg//purE//cysH//mipA//acnA//rbsA//creD//ampE//aer//tdcF//puuB//osmC//bamE//fepA//cdd//hisJ//nusA//pepT//psd//rplT//hycC//sdhD//ogt//malY//ansB//feoC//norR//preT//yiaK//phnH//gabD//lysA//fes//zraR//ahpC//fadB//iraM//slyB//lsrK//tcyJ//treC//sucC//pgaC//cra//ydeM//gspI//puuB//hdeB//lamB//nanS//sroD//dsdA//znuC//nuoL//ileU//rpmC//grcA//ompW//araC//glpT//rhaS//tauB//tcyJ//citE//moaD//mzrA//moaC//torR//csiD//
FhlA-Formate	sgbH//ulaC//tdcA//prpE//ydfH//cyoC//hybB//aroL//fhuC//gpmA//sodA//ccmE//bioF//ilvX//ssrS//cusC//phnM//hflC//norW//fhuF//mgtL//cydC//cyaR//mpl//prpR//feoB//mdtD//phnH//ykgM//rutD//
FucR-L-fuculose-1-phosphate	grpE//rrlE//cydD//sbcD//hyaC//rstB//pflB//
Fur-Fe2+	nikB//puuC//mgtL//ybdN//ydeA//lpxB//aldB//erpA//aldA//hofN//bcsC//yegH//yhcH//csiE//lsrG//citE//sufC//carB//iscA//rcnB//metK//abgT//mhpD//gutM//arcZ//ygeH//napC//cstA//narK//raiA//yebE//mutY//purL//grcA//pitA//casE//bcsB//astD//psiE//preA//hemL//caiD//phnN//uhpA//phnC//uhpB//trpD//argE//sufS//gadC//araG//mgrR//cbl//melB//bioF//alkA//paaK//glgB//araF//cirA//ydiU//gspM//fnr//glgP//rpoH//glpT//hofB//dkgB//cydA//allD//xdhC//gltF//yfbR//manZ//preA//lldD//hycE//rpoS//mepH//hmp//mlc//gatA//emrY//hypD//yneM//fucU//mzrA//galE//lhgO//ptsI//marA//aceB//chbB//cysP//lpxB//betI//dppB//dppA//rrfA//fnrS//chbR//frc//manA//creD//hyfF//rplB//cynR//lpxD//sbmC//phoH//citF//ydfH//fimD//katG//sdhC//pheT//puuE//hofN//cysN//fes//ppdD//rrfG//cysC//gatD//lsrF//ykgO//metF//paaI//zntA//aldA//secB//cysU//preA//lsrB//argH//nirC//glnA//artJ//fucA//lysC//
Fur-Mn2+	moeB//uidB//tktB//pgaC//srlB//fhuF//bcsA//tomB//oppD//lsrG//hybA//gpsA//nagA//cadA//nikC//nirD//agaW//phoE//emrY//srlB//malE//dnaA//glrR//gspC//ampD//hyfR//nuoK//aaeB//gntT//yidQ//hybB//prpD//aspC//ivbL//acrE//gcvP//aldA//ptsG//stpA//chiP//yhcH//cysB//yhiD//rrlG//rplV//malZ//bcsZ//fnr//crp//astC//tsaE//talA//rnlA//araJ//ydhY//prpC//deoB//pitA//acnA//yibN//prfA//yoaG//bamE//fecD//artI//hyfH//paaE//sufC//erpA//ytfE//ytfE//pagP//hofO//nupG//gntT//ydeO//galS//tnaB//casA//tdcC//ebgC//mscM//codB//acrD//galK//marB//bcsZ//thrV//soxR//oppF//tsaE//hyfF//lyxK//rof//purL//gatB//mntP//rbsC//nanS//aspC//cydD//gadB//gntU//bioC//nagE//hypB//rutA//glgS//lacY//ung//mgtL//artQ//lsrG//guaB//slt//amiB//mhpT//fiu//ubiC//tauA//mzrA//sodB//hycI//rimP//ychO//baeR//gspO//tyrA//ompT//amiB//tdcC//fepD//dpiB//chbA//ygaC//dgcZ//ytfE//soxR//ydhV//astC//
GlcC-Acetate	moaE//rmf//trpD//hycE//yiaO//fecI//mhpA//
GlcC-Glycolate	cusA//citD//flhC//gcd//gltT//ccmF//gadB//
GlrR-Pasp56	phnN//
IclR-pyruvate	araH//hypC//ycdZ//lsrD//
IdnR-5-ketogluconate	aspA//ydfH//puuB//phoP//mcaS//puuR//oppD//casE//
IdnR-Idonate	abgB//rrlD//flhD//preT//ygeH//glnK//astA//speC//
IlvY-2-acetolactate	nrfC//rutD//
IlvY-Alfa-acetohydroxybutirate	hdeD//rimM//
IscR-[2Fe-2S]1+	ssuE//galE//prs//frdA//bamE//rplT//uxuB//fiu//nusA//ydeA//zntA//tyrR//ivbL//mltC//tcyJ//puuA//dsdX//cysP//metQ//adiC//yfdE//cadA//hyfH//mglA//csiE//secB//preA//grcA//nac//hupB//argA//ygaC//melB//raiA//gltB//nuoC//galK//cyoA//cysP//trpE//rpsI//
LldR-L-lactate	mhpF//phnD//malE//
Lrp-Leucine	aaeB//uxuA//glgS//rplS//fliA//hlyE//phnM//gcvT//napH//glmY//bamA//nrdI//rutD//rseB//metL//hybG//cusA//metA//ptsG//hisP//dppC//moaE//lrp//cpxA//aceF//uidC//trpA//cyaR//pitA//hybF//secB//metE//ppdD//sxy//tdcE//rrfA//asr//ppiD//nlpE//xseA//rseA//yhfA//aer//rrfG//hha//fhuA//tyrA//metH//uhpC//nrfA//trxA//phnM//nrdH//hflX//bacA//feoA//ygaC//avtA//hisQ//mdtC//fhuC//glpT//glpC//astE//aroM//lsrR//nuoL//srlD//rbsB//azuC//galP//acrB//dapB//fnr//yqaE//mtlR//rrfF//ybjG//ompR//erpA//miaA//fbaA//glcC//uraA//hofC//tyrA//hybE//yegR//ebgA//cbl//phoE//livM//narQ//fimF//arcZ//lacA//sufC//hisJ//eda//phnE_2//fucK//fucA//sgbU//uidB//bamE//fepG//
LsrR	pflB//dcuA//sdhC//dps//citF//adhE//tolC//yccA//ychH//
MalT-ADP-Maltotriose	rhaD//aroH//cusA//miaA//nrdF//nirC//nrfA//caiD//rpmI//nikC//
MalT-Maltotriose-ATP	mtlR//yjeV//tauC//xdhC//rbfA//ssb//moaE//cytR//ulaD//pyrD//
MelR-Melibiose	tdcB//sxy//rutD//
MetJ-S-adenosylmethionine	malF//phnC//dnaE//yebE//glgB//rrfF//ubiA//rnhB//mdtC//dgcZ//lysU//bioD//phnG//ccmH//yaiA//
MetR-L-homocysteine	gspJ//ugpA//rnlB//folE//rrfF//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	alaU//rplP//cheW//rbsB//fecD//purR//
MhpR-3HPP	yqjA//paaA//hycA//speA//gspL//fucP//
MntR-Cd2+	phnG//rpsO//proP//ompT//avtA//
ModE-MoO42-	cheB//dgcZ//phnM//tdcC//hyfG//qseB//tehB//rhaT//ssuD//phnG//azuC//pgaB//ansB//gspD//dmsA//betT//mtlD//malX//ryhB//fdhF//yfdV//dmsD//icd//evgS//csiD//ykgR//narG//gspK//pnp//iclR//aroA//dcuB//hisP//prs//mcaS//bhsA//torR//rbsK//prs//nanC//ygiA//sufD//gltW//rrsE//paaC//rplM//
NarL-Phosphorylated	cheB//ivbL//ptsI//moaD//argR//allE//ulaA//aaeA//glpT//leuE//rrlA//garK//fhlA//pheT//puuE//bioA//ogt//rrfG//pncB//gspI//lacA//rpsQ//nrdF//hdeB//chbA//folE//osmC//rrfE//mdtA//ileU//lsrA//rseB//chbB//grxD//sufA//fucK//glgP//cysG//yciW//rnlB//phnC//tadA//yibN//rplT//fdhF//mutY//avtA//glnK//ycjX//feoA//fimA//cusA//casE//garR//rybA//cynT//glcD//rbsA//aspA//hemL//yiaO//cyoA//tyrA//metJ//ubiG//ynfH//pck//trmD//entE//dppC//cspE//modB//ykgO//acs//ompW//nagA//xapA//cheR//patZ//hpt//nanM//ynfG//agaV//nirD//hybF//ilvN//rrsB//norR//tadA//malM//tdcE//metI//creA//paaF//moaE//crr//malT//safA//metQ//gntR//iscA//cusF//nuoJ//dadX//ynfH//raiA//ompC//hyfH//cydB//xylR//phoU//dppA//ydhY//sodB//gntT//hypC//ugpE//mgrR//trxA//hslJ//prpD//ydeJ//cydA//bhsA//speB//
NarP-Phosphorylated	nlpD//galT//rplV//iscR//rpsQ//lsrA//ydeA//bioA//lysP//ydhX//cadA//exbB//thrV//ssuB//rnlB//phnH//trpE//mntH//hycH//narI//rpsP//ulaE//tdcF//dmsD//dapD//hofM//araD//tar//nikA//deoC//purB//edd//gatY//hycI//ccmF//fimD//fixC//glrR//rhaB//nrfG//phnJ//malM//rpsS//pstA//gabP//nrdI//hyfI//ulaC//araH//gltT//
NhaR-Na+	lysC//cysP//fhuB//mutL//ycjF//idnR//rrfF//
NikR-Cd2+	hisM//feoC//fhuA//appC//hyaE//dapB//
NikR-Co2+	garP//ygiB//katE//gatY//mtlR//manA//
NikR-Cu2+	pncB//iclR//puuP//evgS//sgbH//rrlE//
NikR-Ni2+	spf//sdhB//rpsQ//ogt//hyfJ//pdhR//
NikR-Zn2+	caiB//phnF//glpT//napA//dkgB//iscR//
NrdR-ATP	ubiG//hfq//nrfB//rpsP//astC//ubiC//speB//gltT//lyxK//
NrdR-Zn2+	yhhY//ugpC//napF//ybiT//nrfE//guaB//nrfE//rhaB//alaS//
NrdR-dATP	purC//degP//puuP//lysU//aspA//xapB//ychH//fadB//yjiY//
NsrR-[2Fe-2S]reduced	truB//marR//zraR//nuoC//melR//ytfE//ugpB//narX//narK//amn//galM//dmsB//phnC//fhuA//dcuS//flhD//mdh//tsaE//fecR//baeS//paaC//ssb//narX//sodB//glgX//sbcC//aceB//entF//sgbH//hypA//glgA//tnaB//fadB//nikB//nanC//oppB//csgB//rdoA//hybA//ryhB//astA//yfdX//fur//alaA//evgA//nrdB//gcvH//alkB//cysK//entF//bhsA//hypB//putP//ubiG//yeiL//iraD//epd//malE//motA//purH//moaC//yhiD//rbsK//hofC//lsrA//fur//rutD//phoP//rrlH//amtB//bcsB//tauB//cirA//
PhoB-Phosphorylated	rrfG//bamE//moaC//marB//caiE//nikE//metB//rhaS//glcF//feaR//yebE//speB//yjcH//ilvC//rstA//glnD//nrdE//hybO//ssb//evgS//fau//trmD//hyfD//fhuD//ugpA//rhaR//bglG//bglF//zwf//pgaD//grpE//astD//sbcD//yfdV//hlyE//mpl//hycD//yaeP//nikC//fepC//bglF//fadB//tyrA//mhpE//ugpC//pitA//tyrA//rplM//yiaJ//crr//betB//bglG//bamA//glpX//nirD//entE//hybD//qseC//yeiL//cstA//rnlB//
PhoP-Phosphorylated	cysA//ampD//mhpD//rpoS//allD//fixC//pnp//bcsB//iscS//yjeF//ydhV//livK//appB//fepA//ydfH//prfA//phnD//ryhB//serA//yqaE//melA//psd//gabT//entF//carA//rplV//napH//yaiW//sufB//aidB//hupA//yecR//astD//cysH//fadH//mhpE//fliA//hycA//uhpC//lsrA//rrfE//hybC//ycjX//ompF//malK//livF//atoB//ybfN//caiF//metK//abgB//grxD//hyfG//gntR//rplI//rhaS//yhhY//
PrpR-2-methylcitrate	hyaC//hybC//gutM//rstA//rmf//
PurR-Guanine	pgaD//paaG//lacI//phnN//iraM//cpdB//hemA//sbcD//moeA//malS//rutD//ubiA//appX//fadB//cueO//fldA//appA//yccA//rseC//yhhY//feoC//mhpT//nuoA//hyaA//rpsO//hcp//fnr//artP//dppB//bcsA//xseA//fepE//cysI//yojI//
PurR-Hypoxanthine	ydeP//ubiA//ascB//yegZ//moeB//alaV//chiP//galE//narK//yaiA//fepB//betB//phnC//paaJ//bioB//cheB//glcF//hycI//nhaR//lldP//fepD//hyfR//zraS//csgC//sbcC//uxaB//gntU//livG//hcp//glmY//nupC//gltA//astB//narK//
QseB-Phosphorylated	hdeA//cysU//ampE//metA//
RhaR-L-rhamnose	rimP//hofO//
RhaS-L-rhamnose	cysG//xylR//sgbH//yneM//yeaE//phnN//
RstA-Phosphorylated	lsrD//ycdZ//rutA//tauC//bglF//malT//livJ//xseA//arcZ//priB//
SoxR-[2Fe-2S]3+ oxydized	ptsI//rhaA//yaiA//tam//
TorR-Phosphorylated	hlyE//ycjX//mutY//yaiA//galP//mdtB//ilvA//proP//prpC//baeS//
TrpR-Tryptophan	yjcH//yiaJ//hdeA//moaC//mhpB//hybB//yeaD//fabZ//tsx//bioA//ilvC//sucC//
TyrR-L-tryptophan	ccmE//gadC//mdtC//livH//lldP//aroG//fadE//sbcD//lsrB//hyaE//fepG//frdD//acrF//fepC//
TyrR-Phenylalanine	creC//nikA//paaH//xylH//hyaA//purR//hypF//araC//lacA//idnO//nikE//fecC//nikD//oppC//
TyrR-Tyrosine	gpmA//ampE//ompR//lsrD//glcE//fnrS//aaeR//ilvH//asr//raiA//moeA//bcsA//pheT//kbl//
UhpA-Phosphorylated	dapB//
XapR-xanthosine	map//feaB//
XylR-Xylose	upp//deoA//rhaB//mltC//alaT//gspG//
ZntR-Cd2+	map//
ZntR-Hg	caiC//
ZntR-Zn2+	ybjG//
ZraR-Phosphorylated	aaeA//ndh//metI//
Zur-Zn2+	metY//cadB//ssb//cstA//ilvD//phnF//
