#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rrlG//entD//citE//motB//
ChbR-Monoacetylchitobiose-6P	yfdV//ilvG_2//yjcH//narG//dppB//iscA//
CpxR-Phosphorylated	gspL//pheT//dadX//csgA//ssuC//envY//yqjH//murP//kbl//pck//trpB//cusB//osmY//gutM//gdhA//glpR//lsrK//atoB//mltC//mcaS//aceA//gspC//idnK//fimA//ftnA//aroA//uhpT//ada//ompW//gntX//tnaB//grxD//nlpD//allD//caiB//citC//hycB//feaB//ccmH//tauA//acrB//gltB//lysC//aceK//crr//ldtC//ydfN//ubiC//cvpA//actP//hycH//aroG//gspM//cpxR//ilvY//nanT//deoB//gpsA//ubiA//argT//mglC//fucR//cysI//metN//yqaE//rrsE//exbD//metL//aroA//
CreB-Phosphorylated	copA//hupA//caiB//cstA//fhuD//garR//phnN//arfB//lpxA//
CueR-Ag	malM//tsgA//acrD//yhhY//lhgO//araB//infB//
CueR-Cu+	ada//ydhT//malS//glpC//ydhU//ilvY//nfuA//
CuerR-Au	yneM//melB//rrsC//emrK//argT//nrfD//rplI//
CusR-Pasp	fecD//narK//rrfD//ilvC//lolB//appB//lyxK//gadB//betI//yiaN//yojI//csgF//
CynR-Cyanate	astB//hycG//zwf//cysB//
CysB-N-acetyl-L-serine	ynfG//hemA//modC//gspM//yqjH//yqaE//lysC//rpsF//pheS//lysC//hemA//cas1//ydeO//iraM//rpsI//focA//ydeM//nlpE//tsgA//yjeF//codA//lhgO//mglC//ulaC//rrfA//ilvL//psd//phoQ//garL//purD//
CysB-O-acetyl-L-serine	rrfE//entE//lsrC//lpxB//feaB//artJ//dapD//cbl//rpsS//cysG//casB//lacY//hybF//rutD//phnL//ileT//araC//rrfG//preA//malF//cyoE//yeaD//degP//cyoC//garR//dapB//slt//ulaC//lolB//fimC//sdhC//
DcuR-Phosphorylated	rbfA//aceK//yegR//ychH//appA//rplS//yojI//cpxA//bcsB//
DnaA-ATP	chbA//ilvE//lysU//dppF//rnhB//nagA//gatY//mgtA//chbC//aceB//caiE//tnaB//
DpiA-Pasp	dkgB//nrfD//dcuA//abgT//gabP//metQ//cadB//hyfA//cusB//yrbL//tdcD//
DsdC-D-serine	gltT//ubiX//gatY//
EvgA-Phosphorylated	malT//bcsA//mhpA//metB//icd//ccmE//tdh//napH//chbB//acrF//fis//phnN//dmsB//fucP//qseB//
FNR-[4Fe-4S]2+ reduced	stpA//alkA//cysJ//abgA//ulaD//napD//cysU//torD//mdtA//acrA//acs//yhcH//cirA//paaD//ompF//ccmH//paaE//sucA//hflK//napF//aaeR//manA//glcB//lamB//gntP//uhpT//nikB//glcG//lysO//narG//fucU//purE//puuP//trmD//rrfG//gntR//yiaK//phnI//adiC//evgS//marB//glcG//efeU_2//fdhF//hyaD//deoB//bglB//hisQ//carA//hisQ//ompC//agaW//ilvA//nagC//cusA//phoR//modB//cueO//arfB//xylH//yedX//hypA//yjeV//ykgM//speA//fdhF//purB//caiE//rrlB//nrdA//feaR//ydeM//bcsB//rrsA//malE//hflK//rhaT//sufD//mglA//grxC//chbA//appA//trpD//prfA//ppiA//crl//tnaC//mgtL//yiaJ//trpD//serC//qseC//bamE//fecR//pyrD//rybB//ilvM//dcuC//hyfR//ygeA//nirD//purF//pstA//metE//tap//caiT//ilvX//ynfH//bdcA//hybC//chiP//tolC//fumA//ihfA//treC//hflC//pyrD//modC//lpd//acs//hypA//hyfF//dppF//ansB//yiaN//casD//csiD//phnN//acrA//argE//acrB//hdeD//fucR//amiB//cusS//iscS//mhpR//hycF//xapA//dsdX//nuoL//iscS//hdeB//cpdB//ybfN//slt//tnaB//idnR//puuC//rplW//dppC//deoC//ampD//fdnG//tdcC//sdhB//oxc//rrlG//iscR//pitA//ilvM//gspG//moaA//mdh//dsbA//mlc//dcuA//baeS//rutD//hflC//eda//infB//malQ//dnaN//lldR//lpxB//phnK//ubiC//narX//ydiU//glnA//marB//casE//sgbE//gntU//mglA//dcuC//ssb//ptsG//narX//glpG//xdhA//glpK//ykgR//gspM//prpB//marB//purL//slt//hyaD//nadC//astD//torD//napC//uhpA//bioD//dcuS//artI//malG//ileU//allC//caiC//metI//mglA//tyrB//cdd//rrlH//yoaC//argD//fhlA//tehA//iscU//hcp//mdtB//cusR//rutE//lpxB//lsrF//crr//yhhY//glnA//glpQ//gspI//hisJ//idnO//caiD//glcF//sbcD//ysgA//fepG//baeR//cynS//allE//rrsA//gutM//flhD//narJ//nuoK//purB//feaB//ilvG_2//fepB//paaD//rplP//nuoF//lpxB//aspA//livM//uvrA//zraS//cusR//pdeF//glgX//tfaQ//gltD//bhsA//cydC//sbmA//cysU//frdC//cusA//glcC//rutC//ccmC//nanS//casE//ynfH//preA//lyxK//lsrD//dcuR//livH//trpB//sxy//dsdX//aceK//paaJ//mglA//purR//phnF//deoA//dadA//alaU//cytR//yhjC//ompX//mcaS//hybG//hdeA//aceE//murP//slyB//pagP//garL//hemA//
FhlA-Formate	fepD//uidA//cusR//ampD//ndh//tyrB//csgG//ompA//phnP//exbB//paaC//xylF//upp//phoQ//nrdG//aaeA//nrfB//norW//iraM//bcsC//flhD//evgS//nrdH//tdcG//alkA//uhpA//putP//gadB//gntR//yeaD//
FucR-L-fuculose-1-phosphate	nirC//rutB//sodA//paaH//malP//ptsG//rplP//
Fur-Fe2+	bioD//fhuD//fucO//speA//leuE//ptsH//hupA//map//sgbU//araD//cynT//ydhT//murQ//ompA//ompF//paaB//tdcD//paaZ//rutF//tyrP//rplS//yiaN//ycjX//marR//rof//entF//nlpE//hycA//ycdZ//leuE//gspD//dapB//lysO//araB//sgbU//safA//ansB//treB//cyoA//pstA//appX//uxaA//gutM//phnF//cheA//frdD//ilvB//mglA//metN//gspE//rutA//narX//nanM//trpA//citC//glpB//phnN//uidB//puuP//ndh//pdhR//ccmA//rrsD//borD//aaeB//flhD//hflK//ccmC//cysN//marR//csgF//bioB//lolB//dcuA//lldD//purB//hybE//cyoC//acnB//bdcA//iscS//ssuB//dsdA//glpC//rutC//ileT//pheS//hdeB//gspG//avtA//ompF//nrfD//glnB//pdeF//frdD//hflD//mipA//malT//rhaA//tfaQ//malK//nrfF//sodA//glpB//sodA//sufA//ompR//paaK//aldB//phnF//ydeJ//ileV//acrE//feoC//entA//yqjI//uraA//mgrB//nrdD//fdhF//sufS//pncB//nuoI//aceK//yggX//ulaD//pncB//dcuB//paaA//ulaC//fecD//ugpB//adiC//trpD//speC//hisQ//oxc//gatC//rrfG//fepC//
Fur-Mn2+	efeU_1//napH//ebgC//fadE//nanA//mgrB//phnH//speA//rrfC//nrfE//fepC//argC//yfdE//rhaB//hycI//citE//ihfA//livM//glgB//glpA//araJ//rrlA//uidB//efeU_1//cynR//caiT//araG//yhiD//ppiD//yeiW//ilvC//speA//nirC//fimF//puuR//gntT//galP//purC//galE//moaB//ygeA//hisP//lsrB//trpL//hupA//lysA//tktB//ydeO//ompA//chbR//priB//fecB//ydhV//narG//rpsQ//nhaA//ilvI//cyaR//rrfH//cheZ//bglG//psiE//aroP//ilvX//nanS//cra//gpsA//torD//hypA//caiD//preT//rpmI//yfiP//argA//rof//fecC//avtA//erpA//yhcH//dsdX//rhaS//trxA//betA//chbR//ilvE//aaeR//ccmF//uhpA//metF//cvpA//pck//carA//ychO//rrsE//trpD//casD//ispE//fliZ//narI//betI//guaA//sgbH//purE//hyaE//metC//aceF//iraM//katG//dusB//rybB//narG//znuB//cusB//glmY//hcp//betI//mdtA//iraD//gntT//phoA//bcsC//purN//gspH//ydhU//cydA//yeaE//entE//miaA//focB//rbsD//hyaC//fimG//cynT//garK//slyB//citX//putP//rrsC//yiaN//nuoG//
GlcC-Acetate	znuB//araA//gspI//hlyE//chbB//iscU//cusC//
GlcC-Glycolate	entE//paaB//speA//nanS//acs//bhsA//ilvE//
GlrR-Pasp56	rrfH//
IclR-pyruvate	paaZ//evgS//rpsI//xdhC//
IdnR-5-ketogluconate	garR//ilvN//feoC//glpF//ascF//atoA//fdnI//fumC//
IdnR-Idonate	abgB//ispE//manA//folA//fdnH//cysA//dpiA//dadX//
IlvY-2-acetolactate	ilvE//talA//
IlvY-Alfa-acetohydroxybutirate	citF//yecR//
IscR-[2Fe-2S]1+	cysJ//metJ//fdnG//fimC//argA//astB//mdtA//dsbA//phoQ//galK//lacI//appA//csgB//pagP//qseB//ugpQ//hypE//araB//fimH//pgaD//srlA//cbl//ftnA//ilvG_1//sucB//yjeF//astD//zntA//mgtA//nuoL//codB//aroM//lolB//sgbU//narL//ydfN//rplS//sufS//citC//trpA//ynfF//
LldR-L-lactate	sucB//araD//hyfI//
Lrp-Leucine	carA//sdhA//yaeQ//dnaA//torC//hdeA//ldtC//hycF//puuR//upp//hisJ//gltF//sufE//acrE//srlE//comR//moaA//abgT//phnL//gyrA//moaC//lysU//tehA//hyfC//ynfG//glcA//acrB//phoE//cysA//ppiD//ccmE//puuE//rbsD//pgaC//fhuD//bioB//ulaA//iraM//betB//dpiB//rrfB//gntX//nuoJ//ilvL//puuP//pgaD//grxD//iraD//mglA//bioB//pdeF//cysB//nikR//erpA//feaB//caiA//fepB//tauD//yeiL//purL//zwf//lsrB//artQ//yfdE//agaV//uhpB//feoA//uraA//hyfF//sbcC//fhuF//ompW//adiC//ykgR//emrY//tyrR//lpxD//acnA//ascF//cusB//pitB//hcp//tomB//cpxR//gatC//bioF//miaA//purM//yedX//exbB//talA//polA//bioF//prpD//hyfG//trxA//dnaA//fucA//yibN//appB//csgB//ygiC//ulaE//nlpE//pgaA//pyrC//
LsrR	map//epd//fhuE//tsaE//phoH//fadJ//fecB//agaA//ftnA//
MalT-ADP-Maltotriose	gatY//argD//atoE//ptsH//bcsC//yfaE//ccmD//hmp//nrfC//ychH//
MalT-Maltotriose-ATP	hisJ//oppA//chbA//fucA//gatZ//fadB//idnO//nanM//amtB//thrS//
MelR-Melibiose	livK//rutB//hyaF//
MetJ-S-adenosylmethionine	uhpA//tyrP//zwf//creB//ilvI//borD//copA//cirA//gatY//rrlC//fliA//cspD//malK//cas1//entS//
MetR-L-homocysteine	hypC//csiE//iraM//infB//casB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	rpmC//phnD//umpH//hyfG//glpR//ugpA//
MhpR-3HPP	argR//alaU//casE//trg//paaG//pstA//
MntR-Cd2+	hypA//ebgC//ccmE//raiA//narL//
ModE-MoO42-	folE//metL//cstA//chbC//hofN//malE//dsdX//uvrA//creA//soxR//fadH//glrR//rimP//talA//gspL//oppA//tap//purR//argP//emrY//ydfN//puuD//flhD//fnrS//yjiY//malX//caiB//csgB//talA//lysU//gltD//cstA//nadC//rplD//ascB//tnaA//gnd//appA//hyfE//nuoE//emrY//rpoS//gspD//phnC//paaH//nrfB//
NarL-Phosphorylated	nikR//metF//amn//nrdD//cynX//fimI//ptsG//phnE_2//emrY//dgcZ//hyfH//dps//evgA//katG//hofO//cusS//nikA//hflD//ygaC//aer//manX//rimM//mltC//melA//fecA//fecR//gltV//guaA//cynR//dmsA//fumB//citD//csgB//gntK//evgA//rrsH//mhpB//hypD//ydhU//pgaD//tdcB//purC//norW//amtB//puuA//phnD//lsrB//glmY//zinT//phoU//malZ//mntP//dnaE//yeaR//pstA//fucP//hyfF//fhuF//dsdX//hflD//bioD//napC//galT//cysM//hycB//psd//hofP//ftnA//hyfG//galK//ykgR//baeR//araC//argI//argH//nrfB//ptsI//ccmD//cysG//ulaE//pnp//ccmC//ilvX//yeiW//hfq//artI//araH//deoB//tdcA//ugpE//tomB//ilvH//nrdB//fes//rpoE//lysP//gltT//sdhC//narG//moaE//fumC//putP//zraP//cadA//tdcA//paaZ//rbsD//rrfF//gspD//mipA//galK//adiC//aidB//paaG//metR//lacA//cstA//cdd//nanE//sbmC//araC//puuA//araH//phoH//pstB//
NarP-Phosphorylated	rpmI//creA//deoA//rutC//galK//bglG//murP//aroM//rrlA//gltV//malP//citD//pheS//fiu//mhpD//dgcZ//gltT//rbsA//lamB//cysB//hypB//chbG//ilvG_2//ppiD//phoQ//caiD//csgC//glnA//dps//yibN//sodA//mzrA//bcsA//xdhB//fucR//murP//lacY//pgaB//gcd//lacA//aldA//tyrB//yecR//kbaZ//adhE//trpL//sdhC//fepB//cyoC//feoB//
NhaR-Na+	nuoC//dpiA//tdcA//aer//ung//fis//fecI//
NikR-Cd2+	rseC//gspE//qseC//uidC//yneM//aceK//
NikR-Co2+	hupA//ydeA//tonB//purR//moaD//recF//
NikR-Cu2+	bioC//lsrB//agaA//nagB//hycC//dnaE//
NikR-Ni2+	araE//csgB//uhpA//hycE//fixX//purR//
NikR-Zn2+	cynS//hofM//ccmB//mhpE//glcA//sufC//
NrdR-ATP	treR//raiA//spf//ulaB//ygiC//gatC//yiaN//ysgA//mgrB//
NrdR-Zn2+	allD//phoA//fucU//gpsA//znuA//narQ//yjeV//pyrD//grxD//
NrdR-dATP	hypA//fhuA//pgaD//nagE//uidC//betT//astA//gspC//cra//
NsrR-[2Fe-2S]reduced	rrsE//sdaA//nupG//glcA//psiF//adhE//ptsH//hyaF//purK//rbsK//galE//tktB//moaC//mhpD//fiu//idnK//cspE//tdh//evgS//phoE//glcC//fliZ//prs//cyoD//glnD//malF//bcsA//glnG//hypB//ydhU//glgB//csgE//bglG//priB//gntP//araC//evgS//yecR//fabZ//rpsO//patZ//ilvG_1//sucA//glpT//zraS//hemL//pitB//moaE//moaC//narL//fhuC//rseB//uxaC//hisP//argO//glgS//yfdX//glnA//ulaC//nikR//alaT//ssuA//glcG//galK//caiE//gutQ//lldR//caiA//fadA//rrfG//nagB//deoB//murP//
PhoB-Phosphorylated	rrlH//aroM//dcuC//sucD//cheR//sxy//cra//aspA//csgG//hybO//agaV//hofO//hypB//sufE//tnaA//tap//livG//livJ//nikE//bcsC//iscS//yfeW//ilvG_2//baeR//gatY//yeiW//metB//mglC//lsrA//nusA//ndh//nirC//ugpB//fecD//phoA//mhpF//yidQ//nrfE//trpR//nrdD//yfdV//oxyR//araJ//glpD//asr//zraS//hdeA//rutF//ccmG//astB//osmC//glnB//trpD//rpsR//ydeP//nfuA//fecA//prmC//fixB//metR//ccmE//
PhoP-Phosphorylated	phnM//purE//dcuR//oppC//dsdC//psd//feoB//yibN//malT//mhpE//treB//hofN//fhuD//yecR//ydeP//malQ//purM//phnG//cysK//yjiY//creD//rplP//motB//aceK//betT//ulaD//hofM//xylB//dctA//fur//leuE//cyoC//hybG//phnN//hyfR//yeaE//entD//lacZ//narK//gdhA//tolC//nanK//bglB//gatZ//lacY//ivbL//mhpC//paaG//phoQ//hmp//ynfG//lpxB//soxS//sohB//exuT//hyaC//yneM//
PrpR-2-methylcitrate	ydhV//yeiW//efeU_1//feoB//marR//
PurR-Guanine	ychH//fixC//preA//yfdX//phnE_1//malS//cadB//rseC//hupA//csgB//rbfA//evgS//malZ//entA//nrdE//tsgA//ubiX//casA//cysW//glgS//hisJ//mltC//paaG//sgbH//rutD//yfdE//yggX//gltB//hupB//csgE//dnaN//pflB//fixA//entB//
PurR-Hypoxanthine	zwf//appB//pta//rpoH//chbR//cpxR//tsaE//glgB//nfuA//nupG//xdhC//nupC//galE//lsrB//baeS//gabD//gspG//dsdC//glnL//uraA//ycdZ//sucC//ygiA//ccmG//nmpC//glcC//umpH//mtlA//dpiB//sufD//nrdB//nrfC//galT//glcC//
QseB-Phosphorylated	gntR//appY//stpA//dsdA//
RhaR-L-rhamnose	puuR//tsr//
RhaS-L-rhamnose	hyaE//preA//modB//glpX//alkA//frdC//
RstA-Phosphorylated	tonB//casA//malS//cstA//xylA//rrlD//safA//gatA//nikR//lsrR//
SoxR-[2Fe-2S]3+ oxydized	melB//flhC//ygaC//ssb//
TorR-Phosphorylated	glpG//nuoL//nirB//map//leuE//hisQ//argR//nhaA//paaG//rutC//
TrpR-Tryptophan	yqjA//mutL//malP//dadA//sroD//sxy//ftnA//entC//rhaR//yaeQ//infB//mepH//
TyrR-L-tryptophan	lsrR//galP//oppB//trpC//nuoN//envY//rrfB//murQ//glnD//copA//dgcZ//cvpA//gntP//hofM//
TyrR-Phenylalanine	hofM//lysO//moeB//nusA//glpA//sohB//aceB//cas1//malF//yccA//csgF//cstA//deoB//nuoK//
TyrR-Tyrosine	glgX//ileT//ccmD//lolB//fadH//ynfH//dsdX//fecC//fiu//rutG//tauD//citE//napB//purD//
UhpA-Phosphorylated	allD//
XapR-xanthosine	cyoE//chbA//
XylR-Xylose	guaB//narX//rybB//fecB//yeaE//xylR//
ZntR-Cd2+	arfB//
ZntR-Hg	alaA//
ZntR-Zn2+	katE//
ZraR-Phosphorylated	hybO//fhuC//iscU//
Zur-Zn2+	glcF//lsrD//fis//gadB//dmsB//fumA//
