#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	tsr//aspA//rbsB//ulaB//
ChbR-Monoacetylchitobiose-6P	yeaD//lsrB//lsrF//ileU//deoB//lyxK//
CpxR-Phosphorylated	sdhD//gapA//ynfF//ynfK//phnD//acrD//cheZ//ileT//nuoA//ybdZ//nuoK//rrlA//napH//rutG//fes//focA//glpG//rpsR//ptsI//livF//mglC//cysW//purE//iclR//waaH//dsdA//dcuB//lacA//fimA//atoB//fimF//ubiX//tauD//paaJ//tam//sgbU//gabD//ulaF//appY//glpB//gntT//codB//waaH//ygeA//csgE//gntP//artJ//casD//nikR//ftnB//tsr//entC//gltA//ilvC//dppD//modB//nirB//rhaR//mlc//mutY//actP//degP//citG//ilvM//ykgR//yggX//ppiA//modB//appA//
CreB-Phosphorylated	amiB//ulaA//mdtD//nupC//ccmB//malT//yiaJ//ansB//rbsK//
CueR-Ag	sbcC//lsrD//gcvP//tnaA//zwf//tnaC//xdhC//
CueR-Cu+	srlA//paaG//nuoC//crp//fnrS//marB//rplB//
CuerR-Au	pagP//yiaO//ilvB//appX//tehA//nagA//srlA//
CusR-Pasp	rrfH//srlE//xdhB//sbcD//agaW//lsrF//slyB//nirB//rrlC//kbl//norR//fadH//
CynR-Cyanate	phnO//motB//bioC//yccA//
CysB-N-acetyl-L-serine	creD//nrdB//rrlD//cusR//dusB//artQ//entD//rrlE//glpA//glpF//ccmE//cynX//yfdV//epd//ynfG//envY//pstC//xapA//ybdN//fhuD//pflB//paaF//bhsA//uidA//cynT//dnaN//nanS//gntT//napF//znuC//
CysB-O-acetyl-L-serine	phoA//phnM//sodA//uhpB//ybjG//mepH//bioB//phnF//emrY//hybC//tdcE//marA//narI//puuR//gspE//yedX//nohA//rpoH//creD//pncB//phoE//gltF//tolC//cysG//nuoB//yeiP//pgaB//yfdX//alaV//cspE//yoaC//
DcuR-Phosphorylated	rpsS//caiB//narL//sdhD//rbsA//ycdZ//malE//appY//glcD//
DnaA-ATP	sufC//yeiW//fucU//norW//nrfF//hycF//rutG//katE//ansB//sufS//tauD//skp//
DpiA-Pasp	pitB//lamB//phoE//cysK//csgB//rrsH//metY//dcuR//yegH//ykgM//citG//
DsdC-D-serine	fecR//ykgR//ansB//
EvgA-Phosphorylated	metC//ebgA//metY//aroP//uxaB//prpR//acrB//nuoG//csiE//yjeV//creB//yjjZ//borD//glpX//gabP//
FNR-[4Fe-4S]2+ reduced	argF//znuB//mhpA//ssb//glcF//rutG//nanS//fixX//rpsC//hypA//lysC//melR//uhpC//galS//dcuC//ykgR//tehB//puuR//yhfA//nrdH//puuB//narL//grxC//hybG//rutG//ulaE//tauC//sdhC//motA//cyoC//gntX//cusS//nrfB//hofM//tnaA//alaS//purR//uxaA//yiaJ//ackA//baeR//metJ//uxuR//actP//cysA//hofC//mtlD//fadL//hflC//iclR//yiaO//crl//pncB//purF//cysJ//fimI//nrdG//bcsZ//dapB//tsx//hyfR//ygaC//tsaE//bioF//dmsD//manX//pheT//cspD//hupB//cyaA//tehB//katG//fixA//sgbH//astD//soxS//gspE//gltV//kbaZ//katG//ompR//phnH//dnaN//metJ//ydhT//baeS//argF//sufC//xylR//fadH//miaA//murP//rnpB//ilvH//nanE//envZ//betI//cytR//gntT//hyfH//glcG//fhlA//nlpE//astD//yiaJ//mhpF//epd//rrfC//fucA//lysA//hycG//betI//dcuD//hycB//rpsI//ppdD//dsdC//phoP//evgS//narK//fepG//nikR//nuoI//nrfG//ubiG//csgA//casB//uidC//entB//avtA//ampE//ascF//purR//phnF//moeA//dkgB//hyfI//ulaA//uxuB//gutM//priB//betT//purR//yhhY//ascF//stpA//yfdE//ynfE//rbsK//deoC//hyfF//katG//dcuR//mscM//gutM//cysK//fumA//nuoE//gnd//ycjF//puuC//glnA//pdhR//safA//pstS//comR//glcF//mtr//hycD//trpE//glgC//ldtC//phoU//ilvG_1//fadB//dsdX//moaC//cpxR//nagE//lldP//manX//idnR//cheA//chbR//agaV//csgB//bglF//oxc//malG//baeS//sucC//phnJ//fepD//mdh//yecR//ynfG//yhcH//sxy//yhjA//gabT//mepH//gspK//rpoE//fucI//gntT//yeaD//yfiP//malZ//citD//fdnG//mdtA//hyaC//mhpA//ompX//ubiC//galT//sdhD//xapB//gcvP//exbB//napH//sucB//mhpB//ycjF//hycB//motA//ychH//casE//nrdH//raiA//rutA//fdnH//dppA//gatY//uxuR//paaE//cyoA//livJ//artM//xylF//thrV//appY//ydfN//bacA//bacA//rplS//ygiB//ycjF//cas1//ydhU//glnG//ulaD//ftnA//sroD//dpiA//ssuA//dsdA//fadD//livF//srlB//ydeP//xylF//alaV//murQ//cysN//gntP//purR//lhgO//deoA//glgB//yhcH//pgaB//narL//paaJ//casE//manX//malP//nhaA//ogt//gcvP//hflK//flhD//dsdX//nanS//bcsA//fis//hha//copA//ydhV//iraD//znuB//dppF//mntH//malZ//astA//ilvG_1//phoR//purF//araD//bglB//murQ//hybG//malZ//entS//pncB//
FhlA-Formate	nanT//fau//gntX//agaA//pyrD//ygaC//arfB//osmY//hyaC//dapB//pstB//dgcZ//bioD//ubiC//mgrB//fdnI//livH//rhaD//yqjH//appY//argF//hyfJ//purM//xapA//caiD//araJ//betT//glpX//ycdZ//cra//
FucR-L-fuculose-1-phosphate	fhuE//hyfA//idnR//kbaZ//ccmD//aldB//bioB//
Fur-Fe2+	cspE//xylB//metL//rrfA//exbD//moaA//mntH//gltW//paaG//lolB//xylG//uidB//feoA//lysU//paaI//lsrF//rbsA//fadE//trpA//gcvP//trpE//sbmA//prpR//rrsE//rmf//phoH//gcvT//xapA//lacY//yojI//rplI//moeB//dcuC//pheT//rhaB//mntS//speB//citE//ydeN//hyfR//cas1//purM//ompF//napB//citX//ydfN//caiE//mcaS//mhpT//aroA//avtA//acrE//garL//phoU//bcsA//nupG//hybB//ilvA//bcsC//rplD//gabP//ascF//ompT//ydeN//crr//fecD//sucB//rseB//gspD//adhE//pyrD//marR//caiT//gadC//csgG//glpB//oppA//dnaA//patZ//rnlB//dkgB//metB//mscM//nuoF//ydhT//rplD//copA//ilvY//gspF//galT//glnG//rplS//cysU//hflD//adiC//rutE//feoA//hyfG//gntK//ulaE//cysK//tnaB//trxA//ssuC//oppD//manX//katG//hyfH//malS//fhlA//malY//ssuD//tar//gspI//phoB//rbsB//acrA//yhfA//ulaC//pgaA//ssuA//nrfC//upp//ascF//mgrR//yeaR//gspF//gltT//ydhX//aidB//lysA//phnF//acrE//cysK//uxaB//creD//pitA//alkB//lsrC//garK//
Fur-Mn2+	soxS//mltC//mzrA//rnlA//moaD//prs//dgcZ//hupA//trmD//ilvI//mhpC//galS//copA//argC//argP//rrsB//umpH//cheB//sufD//malI//yhfA//nuoE//ompW//manA//ilvN//yfaE//recF//metI//fepB//ccmH//glpA//rpsQ//crl//bacA//pepT//bcsB//cyoD//fucU//rplT//fau//hisQ//mntH//bglF//fliZ//nirD//rplP//xdhA//deoB//feoC//yaiA//lsrK//ugpA//malX//mgrB//tehA//purR//fadH//nanC//ascF//dcuA//uxuA//aaeR//moaE//nikC//thrS//folE//pgaC//ampE//cheZ//psiF//feaB//paaZ//hypC//yaiW//aspC//hypD//narH//copA//rhaB//artJ//cpxR//rpsF//pyrC//fadH//sxy//glpR//rutB//preT//iraM//sucC//tauA//deoB//frdA//znuA//chbC//glmY//metR//sbcC//nupG//psd//nrfA//rplC//dusB//livG//tyrP//ycdZ//gspG//leuE//ugpA//evgA//adhE//nohA//csgF//rplI//sdhC//ydhX//rseA//dppD//fucI//fhuB//raiA//manY//micF//glpK//fixB//ilvA//rplT//gntU//ycjF//nuoA//gltV//nanA//glcD//hyfJ//rybA//edd//rrsE//ilvE//puuP//ydhW//
GlcC-Acetate	ccmA//ybfN//ompX//hflD//mscM//glpC//cusS//
GlcC-Glycolate	lysP//pdhR//ydhX//bioD//efeU_2//glcB//yhfA//
GlrR-Pasp56	marB//
IclR-pyruvate	yfdE//fabZ//metK//cheW//
IdnR-5-ketogluconate	soxR//caiT//nrfB//iraM//treB//nmpC//asr//preT//
IdnR-Idonate	cusA//rimM//glcE//deoD//ynfF//efeU_1//creB//pncB//
IlvY-2-acetolactate	ilvH//yqjH//
IlvY-Alfa-acetohydroxybutirate	ulaB//uxuA//
IscR-[2Fe-2S]1+	metK//lamB//carA//manA//osmY//rhaS//gcvT//caiE//paaE//katG//hyfC//cusF//nlpD//malQ//hypE//feaB//fhuB//tnaA//lacZ//pstA//narH//tdh//hyaD//napB//oxc//grcA//srlR//yqaE//dctA//hybE//hybC//rnhB//fimA//ppdD//uxaB//tyrP//aroH//katG//glyA//rmf//tehA//
LldR-L-lactate	citE//gltV//atoA//
Lrp-Leucine	prs//uidC//ydeP//yeiL//melR//creA//cysK//tauA//yeaD//emrK//hycE//csgE//creB//rnpB//soxS//fis//gcvP//metA//frdC//aldB//tyrR//puuC//rpoH//gpmA//bioC//hypD//yoaC//malY//rprA//nrdE//hisQ//fucK//gntP//gspL//glgS//fecE//abgB//hslJ//rplP//azuC//uhpA//livK//malP//phnL//tsaE//gltA//tnaB//argF//iscS//malK//ebgC//aceF//purR//metH//dsdA//rimP//ilvI//hisP//ydeJ//ilvD//hupB//trpD//dppA//fucA//aer//cusF//ilvG_1//creA//csgA//hyfF//ydeO//ulaA//pgk//ptsI//creD//fucI//ugpE//yiaL//sucD//nuoJ//gyrA//trpB//dmsA//mhpT//hflX//ogt//astD//abgT//tfaQ//pagP//entA//grpE//yidQ//citC//moeA//exbB//xseA//ugpA//prfA//metA//mdh//zraR//chbC//treB//hypB//tehB//
LsrR	sodA//codA//csiD//lpxA//mtlR//marB//yhiD//citF//cysM//
MalT-ADP-Maltotriose	yecR//cyaR//hisP//narJ//puuB//purM//entH//focB//hybB//cusS//
MalT-Maltotriose-ATP	ilvN//casE//nrdA//gntK//yjeV//rrfC//gspE//cydD//cheA//artP//
MelR-Melibiose	araC//uxuA//evgS//
MetJ-S-adenosylmethionine	glcC//fecC//betT//casB//fimA//xylB//phoB//thrV//amiB//hyaF//nmpC//ackA//metY//malZ//yidQ//
MetR-L-homocysteine	rbfA//pheS//fepE//fadD//gltB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	yfdE//gapA//gpmA//rplS//aldB//udp//
MhpR-3HPP	spf//gspK//ykgO//mtlA//nuoN//tyrB//
MntR-Cd2+	copA//purH//ileT//ygeA//zraP//
ModE-MoO42-	lsrR//glgA//ompX//crr//cyoE//yaiW//ygeA//rybB//gatC//dctA//dcuA//mtlD//cusF//glyA//ydeP//ilvE//ygaC//znuB//azuC//deoB//dctA//metB//raiA//crp//alkB//citE//fliZ//napA//phnE_2//dcuC//nikE//murP//phoP//gspM//ysgA//rpoS//kbaZ//iclR//ynfE//hdeB//nuoK//rrlD//rrsB//glpX//dcuC//fimE//
NarL-Phosphorylated	rpsQ//psiE//ybfN//mepH//rrsE//citE//soxR//tyrP//bcsB//frc//glpQ//metH//serA//dppB//mepH//argB//modB//fdnH//ilvM//aceF//gspL//mglC//argD//uxuR//aceB//cadA//srlE//avtA//hupA//pitA//chbA//betI//lsrC//fucU//tolC//dadA//pdhR//yegR//nikA//yeiL//rplI//agaW//torA//iscA//yeiW//pta//rhaB//nlpD//purC//slyB//yfbR//hfq//yegZ//malP//fimG//tyrP//tdcC//dppD//nrfG//pstC//hyfB//mntS//glpE//cspE//iraD//trpR//araE//slt//gadB//lsrK//cysU//aaeB//araD//gatC//ndh//zwf//ycjF//hofP//prmC//ilvY//cbl//narL//torR//betB//lpd//glgX//cyaR//yibN//grxD//dmsB//rdoA//hisM//citF//metN//phoB//hisQ//ilvD//gnd//ubiC//bhsA//metE//fhuB//uhpT//sbmC//tyrP//aroP//acrA//sbmA//ycjX//mzrA//yhiD//hyfC//glcE//cyoC//idnD//allD//glcE//mtr//lsrK//hybO//dcuD//nikD//aroG//gltU//miaA//
NarP-Phosphorylated	tadA//fhuF//astE//talA//fucO//ysgA//xdhB//galS//mzrA//bhsA//hemL//purF//hyaE//yibN//argG//oppC//fucI//hybA//patZ//araB//nuoM//tsr//nrdA//gadC//ilvG_2//ilvM//pepT//fbaA//mgrR//betI//puuD//truB//lacI//argI//pheT//uxaB//hycB//hypD//iscU//hyaD//hcr//gcd//ydeM//glcG//ygiA//chbB//fadL//lsrF//uhpB//lsrG//
NhaR-Na+	purE//hisM//rseB//gspO//mzrA//lsrG//dppC//
NikR-Cd2+	citE//ccmA//lpxD//ileV//cynR//rhaR//
NikR-Co2+	fadA//gspD//nuoM//rhaD//manY//motA//
NikR-Cu2+	creC//fhuE//araH//dmsA//arcA//znuB//
NikR-Ni2+	napG//sroD//gspJ//qseC//feoC//fdnG//
NikR-Zn2+	deoD//exbD//feoA//galE//rcnB//mcaS//
NrdR-ATP	bioB//rrfH//hybF//rstB//creB//ykgO//amtB//ndh//sroD//
NrdR-Zn2+	yqjA//rplC//rbfA//yqjI//metA//ygaC//narQ//dmsC//ulaD//
NrdR-dATP	mntP//ileV//cysW//csgE//cysG//purM//hdeD//rrlC//betB//
NsrR-[2Fe-2S]reduced	caiA//alaA//fadH//ompX//yfdV//yaiA//nrfC//tauB//ydeP//glgC//borD//rrfD//erpA//rpoH//fdnI//fimE//narH//prpC//xylF//sufB//fadL//fucO//exbD//uhpT//gpsA//metC//metJ//dppA//ydhY//hycF//xylB//creB//csgF//tyrP//cydD//fucA//grpE//hyfH//fadI//ptsG//zraP//cusC//bglG//glcD//nusA//efeU_1//ycjF//cadA//rnlA//yfdX//hycH//baeS//yaiA//yggX//murP//pyrC//yegR//znuA//araC//znuC//pgpC//ssuE//treC//fdhF//nuoC//rrsG//fur//comR//ydeM//rutD//sgbE//gabT//fucA//
PhoB-Phosphorylated	nagC//mscM//prpE//hdeB//napD//torA//yeiB//evgS//hybG//fepC//dpiA//tdcF//nac//psiE//lpxD//rpoS//artM//ytfE//rpsQ//lsrR//emrY//ubiG//nirC//bhsA//yaeP//phoA//ycdZ//cysN//tdcC//lysC//yrbL//nikC//hupB//psd//modC//yjeF//pnp//alaU//napB//nuoA//grcA//lsrF//tauD//nagE//ynfH//dpiA//ydbD//focA//gspO//cheY//ydeJ//cynX//xdhB//yaeP//bacA//tdcF//gspF//paaD//uvrA//ftnB//yfbR//
PhoP-Phosphorylated	appX//ynfH//deoB//paaC//yegR//aspC//yeaD//mgtA//idnO//betT//citC//yhiD//aroA//gadC//ilvY//rpmI//cydA//malE//fhuC//ompT//phoQ//nirC//argH//sgbH//gutQ//yjeV//gspK//mipA//cusA//galT//glpB//mhpB//truB//citC//aroA//trxA//tcyJ//nuoN//yciW//bdcA//fimE//preA//entS//phnK//rrlD//purL//ulaE//sufC//mutY//torC//lhgO//sucB//dppC//araB//purF//bglF//ilvN//
PrpR-2-methylcitrate	cynX//lacY//fepD//argC//gspM//
PurR-Guanine	yiaM//rnlB//pstA//puuA//proP//infB//uxaB//ssuD//uxuB//ydhW//crp//iclR//fimC//yhfA//yaeQ//dusB//rhaA//phnF//xylR//nrdG//mscM//idnD//glmY//iclR//fhuA//uxaB//aspC//gntT//astD//modC//rhaA//trpE//ugpB//nirC//
PurR-Hypoxanthine	appY//livH//napA//hofB//speB//fucO//osmC//mlc//marA//ilvE//hydN//gspL//aroA//dps//argH//rhaB//codA//lldR//rybB//paaF//yaeP//rpsO//ygeA//cysJ//nikE//appA//ptsI//rstB//entH//yecR//dctA//rrlH//astE//rrlC//
QseB-Phosphorylated	betT//oppF//modC//lsrG//
RhaR-L-rhamnose	rrfG//nupC//
RhaS-L-rhamnose	yeaE//nrdH//yhjA//argB//norV//slyB//
RstA-Phosphorylated	ssuA//frc//pgpC//rrsA//nirC//ilvE//rutA//pyrD//caiE//oxyR//
SoxR-[2Fe-2S]3+ oxydized	pdhR//bcsC//crl//grpE//
TorR-Phosphorylated	alkA//napG//melR//yedX//mgtL//mdtB//glgX//cynT//csgF//nlpE//
TrpR-Tryptophan	iclR//exuT//rplB//ygiC//hycD//ilvB//umpH//fecE//tauD//yqaE//ldtC//katG//
TyrR-L-tryptophan	alaU//dctA//nanA//ompX//ynfE//uhpC//alkA//entH//znuB//ssrS//mscM//cyoD//motB//actP//
TyrR-Phenylalanine	xylB//hofP//mhpC//tonB//ilvG_1//carB//slt//tnaA//bamE//bcsB//ldtC//malG//argE//yneM//
TyrR-Tyrosine	puuP//feaB//crp//purB//sdhA//ygiC//treB//ynfK//yidQ//copA//dusB//atoD//rplC//rybA//
UhpA-Phosphorylated	frc//
XapR-xanthosine	tauA//codA//
XylR-Xylose	fis//malX//pflB//rdoA//ynfH//phnD//
ZntR-Cd2+	waaH//
ZntR-Hg	gabP//
ZntR-Zn2+	ugpE//
ZraR-Phosphorylated	acnA//flhC//ampE//
Zur-Zn2+	aldA//argE//uxuA//rutF//rimM//gcvP//
