#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	gcvP//fadI//mglA//ilvX//
ChbR-Monoacetylchitobiose-6P	hypC//dapD//secB//yjeF//fixC//aceF//
CpxR-Phosphorylated	lldD//purR//sdhD//narL//map//rplB//cynR//ubiA//hybF//astE//nanE//bamA//alkA//nrfA//mgrB//livH//gltV//ydbD//metQ//hycG//paaH//cpdB//nuoE//hyaF//cyaR//cadB//metH//fucO//fepD//rplW//ccmE//soxR//hyfG//aldB//puuA//ydeO//acrF//dsbA//rpsO//rrlE//abgT//bacA//hyfI//preT//fnr//glgC//melA//ryhB//ilvI//yhfA//ompA//sbcD//treC//ykgM//aroF//tnaC//rrsH//gadC//gnd//dpiB//xapA//nohA//lamB//ftnA//evgA//ugpE//mgrR//cysD//idnT//
CreB-Phosphorylated	dppB//nuoJ//idnO//nikB//trxA//nhaR//znuB//cyoA//nagB//
CueR-Ag	ssuD//pitA//aroG//yeiW//atoD//yeiP//treR//
CueR-Cu+	nrdD//ndh//ahpF//crl//alkA//puuP//slyB//
CuerR-Au	rbsK//gcd//aaeB//rimM//yeaD//bacA//hypC//
CusR-Pasp	dusB//gatC//fimA//tehB//iraM//glpF//pepT//srlE//torD//yhhY//guaB//tdcD//
CynR-Cyanate	hypD//lsrF//aspA//gspF//
CysB-N-acetyl-L-serine	fecR//amn//lsrD//ccmE//creC//metC//cusB//lysO//aldA//metC//puuP//yhjA//rplT//nikB//murP//yoaC//gutQ//oppA//trpA//dnaE//rplV//paaG//hisP//mcaS//dsdA//uxuB//norV//yaiW//rcnA//csgE//
CysB-O-acetyl-L-serine	psiE//mglC//ydbD//ugpE//gntT//asr//sbmA//rstB//ydhT//metR//oxc//purE//pgaB//murP//galM//entA//yrbL//ydiU//ulaA//fumA//mdtB//hycC//chbA//hofP//cheR//tehB//torD//bcsA//araG//galM//xylA//
DcuR-Phosphorylated	ychO//stpA//efeU_2//mdtD//artJ//nagB//fucO//degP//ompW//
DnaA-ATP	bioB//artP//appC//hupA//gcd//mtlA//ybdZ//yeiW//ydeM//fliA//cadC//trpD//
DpiA-Pasp	glpX//acrA//pheM//livM//prpC//rrfA//sdaA//gabT//phnK//torC//infB//
DsdC-D-serine	rplP//psd//yeaR//
EvgA-Phosphorylated	phnE_1//mipA//paaB//nrdG//fimD//rhaA//phoH//mgtA//gspD//serC//nikE//gltD//gspH//tauB//hycA//
FNR-[4Fe-4S]2+ reduced	malQ//agaW//cynS//yjeV//patZ//uhpB//phnM//alaU//dctA//pheS//rpmC//ynfG//yggX//yfdE//nlpE//hisJ//hflK//metN//sucC//rstB//glmY//fumA//evgA//mepH//ebgA//pagP//acrD//hisQ//melA//sroD//rutG//ompF//uxaA//chbG//dcuA//fimF//focA//cysB//pta//tolC//arcA//norW//marB//nirD//phoP//aroF//nikC//trpE//ilvA//ldtC//xseA//lsrB//rpoH//tdcA//tap//nlpD//mntH//fecB//csgF//paaG//cyoE//nrdA//phnE_1//melA//serC//citX//rrfE//ilvN//ldtB//norV//pepT//glcD//glnD//crp//nirD//zraS//gcvT//ykgM//ugpQ//sucA//ynfF//zraR//katE//aroH//borD//purD//mpl//cysP//rmf//malP//csgF//cspD//rpsR//nrfA//cyoB//gcd//yiaK//dadX//dsbA//hyaA//sbmA//ivbL//caiB//ptsG//csgG//ilvI//truB//appC//ivbL//iscA//mdh//polA//lsrK//pyrD//phnP//frdB//pgaC//nrfA//sbcD//ykgR//sohB//agp//mhpB//rutB//glcC//ulaD//yjjZ//nupG//cyoB//ilvA//hflD//ilvH//yoaC//puuP//nrfC//ygbA//paaG//tdcD//glpF//tnaA//creD//glgC//prpC//nuoK//hisQ//ygiC//sbcC//dmsA//pgpC//puuC//hcp//rpoS//ldtB//tar//glpA//acnB//metJ//lysU//dsdA//dcuA//modA//gspI//ptsI//slyB//chbA//yfaE//melB//ssuE//gutM//lhgO//lsrF//pheS//pstB//cra//cysD//ydhY//map//yhjA//map//manY//glcD//fecR//pdeF//ileT//nmpC//yebE//serA//ahpF//rrfF//alaA//rplC//lysC//glpR//pheM//trg//ydeM//araG//codA//alaT//allD//yaiW//cheA//hycA//rybA//hybA//secB//preA//yiaN//focB//hypD//fucO//nuoN//manY//malM//yiaN//lpxD//ascF//dctA//mscM//mgtL//nrdF//abgA//tdh//appB//yeiP//ileV//xylH//allE//psd//kbl//alaT//dsdX//folE//rybB//metE//hyfC//fhlA//cas1//tdcB//astB//metL//rbfA//gltB//mgrB//acnB//rplS//gntT//ydiU//astD//nuoE//aroA//puuD//csgA//cysJ//slt//rpoH//ulaA//trpB//exbD//pstS//rutA//ilvL//rrfD//nrdG//torA//bglB//envY//trxA//purA//rrfH//fucI//aaeX//phoR//puuE//fabZ//uxuR//cheA//lysC//fucR//fliZ//arcA//ftnB//agaW//aceB//paaJ//modB//rutG//glpQ//fepG//rrfC//sufC//talA//rpsR//rbsK//allC//guaA//mzrA//yrbL//rpsO//ivbL//argH//rhaT//prmC//ygiA//napG//
FhlA-Formate	rplW//paaB//nlpE//fadL//trpC//fumB//pstA//hycC//cysJ//phoR//glcD//narX//gspH//ilvG_1//ynfG//fixX//fucI//dnaA//narK//metK//alaA//aaeB//allE//nuoL//codA//fimE//bcsA//paaB//phnF//crl//
FucR-L-fuculose-1-phosphate	lpd//sgbE//glpF//glnK//nrfC//ilvM//hyaB//
Fur-Fe2+	dppB//oxc//nrfD//hybG//fhlA//fumC//lldP//qseB//sufS//pdhR//tehB//frdB//hflX//glpA//ilvG_1//pstS//iscA//mglC//gnd//pck//rrlC//hycB//nupC//csgD//atoA//yecR//ryhB//ssuB//gcvP//feoB//lolB//moaE//phnD//phoB//hofO//glgC//cyoC//ilvM//putP//envY//gspJ//betB//xdhA//sgbE//prpC//ybfN//cyoA//lrp//acnB//aroF//thrS//rrsD//tsx//ybdN//phnD//spy//arcA//tsr//iscS//fepC//fimA//zraP//rutE//torD//bioA//hyfA//glpT//lacZ//yaeQ//rbsD//safA//fur//dgcZ//ydhV//hemA//yedX//garP//crp//purA//znuB//grpE//rrfE//gltB//dcuA//alaA//hycE//cytR//rutG//glgC//rof//arfB//dnaN//dcuD//cbl//glpC//entA//nrdD//hofB//trpE//idnO//cheA//treB//rcnA//cysM//araJ//ompX//cydC//glnL//aaeA//ydhW//fecC//ilvG_1//ilvG_2//gltB//citG//fecB//fepC//gatA//zwf//astD//rimM//atoB//tauD//paaJ//rseB//cbl//yqjI//livJ//arcZ//slt//alaU//puuE//fimH//hmp//micF//argG//hslJ//ilvC//hydN//nrfG//
Fur-Mn2+	phnI//ssuA//nrfD//fdnI//xylH//oppF//rybA//nikC//argG//mdtB//znuB//exbD//ynfF//napG//paaK//hycD//lyxK//gspO//zinT//argR//fecB//infC//acnB//lldP//hofB//glgX//rseC//pagP//dcuD//rnpB//marB//artQ//yeaD//sucA//fixB//bamE//rpsO//sdhD//fhuA//nanM//ilvH//tonB//fliZ//mntP//napH//nuoB//hybB//rrsG//rcnA//glrR//rrsB//prpB//slt//puuC//appY//gpmA//glgB//entE//cynR//dppC//ulaE//malK//uidC//appC//nmpC//pgaC//ftnB//malE//xseA//pagP//pdhR//dpiA//tdcF//hyfB//srlE//pyrD//murP//hslJ//gspF//sohB//dadA//nuoL//sucD//patZ//nuoJ//lsrG//exuT//fucR//rstA//ompW//phoA//manX//purL//hycH//cynX//ulaA//aroL//dcuS//rrlE//tsgA//spy//ccmE//fliZ//fhuA//rrsG//ptsG//gutQ//dcuB//lacY//yqjI//metC//rprA//fhuE//zraR//artM//oppF//phnK//rhaA//lsrK//fixA//fdhF//gltU//flhD//nlpD//cueO//gspD//aceB//hyaF//astB//fhuE//mutL//ilvE//ugpQ//rhaT//rpsC//kbl//rseC//qseC//mntH//deoA//
GlcC-Acetate	ychO//gltD//uidC//nlpD//deoD//bglB//ychH//
GlcC-Glycolate	rrsC//artI//flhC//miaA//hypE//araG//ynfF//
GlrR-Pasp56	yjjZ//
IclR-pyruvate	acrA//bglG//yaeQ//cysW//
IdnR-5-ketogluconate	glcA//mtlA//caiC//lamB//rmf//hyaE//lacZ//aaeX//
IdnR-Idonate	srlA//feaB//puuB//ygbA//rhaA//yeaR//ytfE//citE//
IlvY-2-acetolactate	dnaN//idnD//
IlvY-Alfa-acetohydroxybutirate	paaI//exbB//
IscR-[2Fe-2S]1+	tauB//moaA//fis//rstB//ldtB//bhsA//uxaA//paaZ//paaG//mgtL//gntR//entC//recF//mhpC//znuB//atoB//yoaG//yjjZ//creA//lldR//astC//ulaD//melB//rbsA//betB//rutE//phnE_1//yccA//rrsB//nrdG//aceE//ubiC//hflK//ygeA//hyaF//rplC//uhpB//uhpA//appY//prpC//phoH//
LldR-L-lactate	betA//purK//lysP//
Lrp-Leucine	gabP//melR//tfaQ//glgB//lldP//ydhT//bamE//lysO//zwf//infC//chbR//cspE//aceB//lacI//tktB//fixC//puuB//waaH//iscU//fliA//rcnB//nuoC//fdnG//gatC//fecA//ilvE//frdB//fliZ//hofO//allD//ynfH//bhsA//tar//yiaJ//ycdZ//narG//hyfE//nuoJ//murP//trpL//yaiW//araH//nhaR//aroP//nrfB//yrbL//hybB//lldP//malM//ugpA//entC//rrsE//nrdF//paaG//idnR//nanK//mglB//idnD//gntX//pheT//ung//hycF//manX//hofC//lysC//murP//allD//aroF//tktB//sufS//efeU_2//lyxK//ulaB//caiD//ompT//yfiP//livG//nuoC//feaR//putP//zinT//rpoS//zntA//paaG//xylR//rybA//hycA//atoA//crl//fhuC//aldA//uxuB//tauB//hyfH//gabP//trmD//srlR//sbcD//dmsB//glnB//nuoC//phnP//rybB//rutC//xylG//nanE//
LsrR	mhpC//dcuC//amiB//cynS//amtB//hycD//rnlA//bhsA//hslJ//
MalT-ADP-Maltotriose	tyrB//tcyJ//rseA//fepD//ulaC//aldB//pyrD//sufA//ygbA//nhaR//
MalT-Maltotriose-ATP	fadB//lacZ//fhlA//rrsE//citG//gntX//mhpF//csgB//fadE//modA//
MelR-Melibiose	trpB//nuoE//fimC//
MetJ-S-adenosylmethionine	narH//phnP//rhaS//rnlA//tpx//rimP//entA//cheW//mlc//tdcF//ynfG//nrdI//galE//entB//uidB//
MetR-L-homocysteine	mgrB//mcaS//fhuD//yjeF//prfA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	dsdA//pagP//yaeQ//fhlA//asr//phnO//
MhpR-3HPP	tdcE//alkA//livJ//mipA//malK//metB//
MntR-Cd2+	slt//fepG//araE//frc//ompW//
ModE-MoO42-	mdtB//gspM//yibN//uvrA//hypA//rplI//citX//sdaA//cra//fhuA//phoR//ydhU//ydfH//cysC//csgF//degP//kbl//casD//nikC//glnB//nusA//ihfA//rrsD//purH//mgrR//manY//rhaT//fimI//hybG//yciW//nrfE//nikE//tyrR//evgS//cusA//hyaD//gatZ//glcA//hyfG//gntU//mutY//cyoD//ssuA//fldA//waaH//tsaE//
NarL-Phosphorylated	lsrF//phoP//modC//mtlA//rrlC//mglB//nupG//xdhC//purL//cyaA//rplS//feoC//gspJ//phnJ//yfdV//katG//nikE//ryhB//ompX//acrF//feaR//ybdZ//rhaD//aspC//paaI//crl//chbC//norR//trpA//mtlD//ilvE//hypE//ysgA//metQ//aroG//aceB//dpiB//dkgB//oppF//rutF//bdcA//trpB//entD//ileV//uhpC//rnpB//srlR//dppC//rplV//ihfA//fixX//sufB//rplM//mpl//lsrK//hyfA//crr//rrlA//dsbA//hofP//ldtB//pstS//araJ//nuoL//hybC//ybiT//betT//trpE//hybC//malX//cheW//ilvC//hyfF//araA//cyoC//nrdH//speC//yqaE//cynT//yidQ//ahpF//cysK//fadH//ytfE//rpmI//fimA//uraA//mglC//mgrR//yeiB//allD//sucD//torD//udp//rutF//udp//fldA//aaeB//ptsH//yeiB//zraR//folE//glpE//rdoA//cas2//mgtL//rutB//rrlG//evgS//dcuD//rhaB//yeaE//ivbL//ydfH//ygbA//hofM//hybF//glgB//dctA//fdnH//preA//fadD//hdeA//fepE//nrfD//
NarP-Phosphorylated	torR//napB//ompR//uhpT//hybG//phnE_2//gltU//dsdA//bcsB//lacZ//phnJ//rrsD//abgB//mhpD//aceE//thrS//aaeR//yhjA//fucU//mdtA//aaeB//ftnA//slt//lsrD//fumA//uxaA//chbG//bacA//purR//tauC//malT//mdtD//citD//mgrB//oppA//yaiW//gltU//fis//cyoA//betB//exbB//trpA//flhD//znuC//narI//pgpC//ydbD//mhpA//pheM//creC//
NhaR-Na+	metF//trmD//ascF//cheY//alaA//artP//cheW//
NikR-Cd2+	tyrP//atoD//ssuD//torR//fadB//rrsA//
NikR-Co2+	rrfG//xseA//fdnG//gatD//cusC//frdB//
NikR-Cu2+	purN//uhpB//lldP//moaC//garR//hofB//
NikR-Ni2+	gltW//chbC//mhpF//casA//phoU//uhpB//
NikR-Zn2+	pdeF//moaB//nuoM//srlB//pyrC//rseC//
NrdR-ATP	degP//xylR//rplB//rutG//ydhW//gabT//bioD//ygeA//alaT//
NrdR-Zn2+	rbsC//phnP//glgX//ompT//idnK//pyrD//cysN//cynR//nuoM//
NrdR-dATP	treR//hycE//uidC//gntT//rrfH//phoQ//gatY//gabP//recF//
NsrR-[2Fe-2S]reduced	sucD//yeaR//yciW//narJ//tnaB//yiaJ//ompX//bioA//malX//gutM//ulaA//rrsG//argR//dmsD//prpD//alaV//metF//araC//bhsA//murP//pstB//uhpB//lsrR//serC//gpmA//moaD//bdcA//grcA//ilvX//zntA//ynfE//melA//rbfA//soxR//upp//galK//metF//sufB//lacZ//yccA//rpoS//iraM//ivbL//epd//soxR//ilvA//nrfC//malG//preT//ssuB//allC//aceA//nanE//phnL//yiaL//actP//treR//tsaE//oppD//nrdD//bioC//preT//argE//fepA//argC//yiaM//psiF//hypE//appA//argC//hyfC//prpE//nagC//
PhoB-Phosphorylated	phnE_1//aaeX//oppD//ycdZ//ompF//hofM//rseB//osmY//osmC//grpE//fadB//sdhA//dcuA//glgP//rpmI//rpsR//rplS//hypE//acrA//gadB//purB//sohB//argH//amtB//qseB//speB//tap//trpE//spy//tauC//arcZ//cysW//ldtC//bioF//ilvH//rdoA//yhjA//speC//aceK//tdcF//aceA//preT//nuoJ//fhuF//hyaF//artP//nanA//xapA//ynfF//fimF//ssuC//ampE//avtA//oppA//phoE//trpL//argI//nikC//erpA//yegH//flhC//
PhoP-Phosphorylated	argO//mntH//bioF//nuoM//ydhX//metB//yeaE//lysC//nagA//rrfA//fucK//rutE//fimC//secB//tauC//fepC//pgaC//cheA//hybF//ssuB//flhC//idnT//nrfD//prfA//cyoE//purB//cysM//upp//hybF//malX//fucA//tehB//malZ//narG//mhpT//uxuA//tdcD//casC//hflK//idnR//ccmA//fimG//puuD//yciW//sbcD//pgaD//hyfE//ppiA//phoU//trg//crl//lsrC//paaI//caiA//glpB//hdeA//uxaB//
PrpR-2-methylcitrate	cyaR//glpF//ccmG//znuA//dmsA//
PurR-Guanine	gltT//speA//acnB//metE//aroM//fimF//nanS//emrK//bdcA//rbsC//gltA//hofP//secB//fadA//bamE//sodA//rhaD//ompF//ilvH//uhpB//argA//phoQ//csgG//rrsC//tdcB//nuoK//ycjX//gltT//gltF//guaB//casC//folA//cheZ//rpsO//
PurR-Hypoxanthine	fecR//agp//cyoC//rbsB//fldA//cyaR//ileV//nrdG//purH//glpA//dsdA//epd//aspA//iscR//soxR//hyaF//puuP//acs//stpA//feoC//gatC//malM//fliA//galP//yiaN//aldB//livH//treR//arcA//sucD//purC//narI//lacY//umpH//
QseB-Phosphorylated	tnaB//ogt//ynfG//entD//
RhaR-L-rhamnose	cyaA//moeA//
RhaS-L-rhamnose	purD//dnaN//cadC//glcD//ugpB//fepE//
RstA-Phosphorylated	sbcC//sbmA//citD//gntR//kbaZ//hyaC//nikA//glcA//mepH//citD//
SoxR-[2Fe-2S]3+ oxydized	pgaB//cysJ//arcA//nuoG//
TorR-Phosphorylated	sufC//yidQ//fucR//hcr//moaC//exbD//ybfN//spf//mdtB//aroA//
TrpR-Tryptophan	yneM//amn//entC//guaA//nrdB//nanT//nuoB//malK//rrsG//frdA//ung//dmsB//
TyrR-L-tryptophan	proP//yqjI//lysO//infC//cydD//astB//entA//pgaC//efeU_2//ryhB//fbaA//dmsD//pck//idnD//
TyrR-Phenylalanine	hyaE//rmf//nupG//ydiU//hycA//folA//norR//ahpF//purN//entH//dadX//speA//glcA//polA//
TyrR-Tyrosine	safA//ompT//rpsF//ndh//ykgO//hybE//fis//glnD//iraM//fliA//betA//gspH//yhfA//nrfE//
UhpA-Phosphorylated	frdA//
XapR-xanthosine	nanK//tdcA//
XylR-Xylose	fhuA//gntT//csgB//galT//sufE//purA//
ZntR-Cd2+	ilvB//
ZntR-Hg	agaW//
ZntR-Zn2+	lldP//
ZraR-Phosphorylated	rbfA//paaC//fhuD//
Zur-Zn2+	guaA//glcF//metE//gspD//amiB//aceK//
