#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rrfE//aroH//metE//secB//
ChbR-Monoacetylchitobiose-6P	purD//glpA//kbaZ//hyaC//zinT//melR//
CpxR-Phosphorylated	cysJ//amiB//ydhW//mzrA//artQ//yjiY//ydhX//feaB//nanM//malS//mglC//livH//glpA//umpH//nrdI//sroD//abgA//metQ//xylR//appY//purC//znuB//rhaR//tsr//rplC//cysH//chbA//arcZ//cusS//fimF//gltV//folE//astB//nrdG//puuC//fucP//cydB//napB//bioD//uhpC//hupB//citC//rplS//lsrK//cpxA//aer//casD//efeU_2//nfuA//grxD//crr//efeU_1//alaA//ascF//glpF//ompX//hycH//fadL//sbcC//rrlB//garL//exbD//glgB//oxyR//bglB//nrfA//trpA//xdhB//araJ//
CreB-Phosphorylated	mepH//ygaC//metI//atoD//appX//purD//srlB//fabZ//lacY//
CueR-Ag	livK//hybD//polA//gcvP//gcvH//yaiA//ileT//
CueR-Cu+	mhpT//rbsD//bglB//glnK//ileV//tolC//argC//
CuerR-Au	aroF//ssuD//argH//ytfE//rrfE//gyrA//hyfB//
CusR-Pasp	araG//appB//gspG//katG//yqjI//agaA//ptsG//fur//nrfB//fumC//phoH//bglF//
CynR-Cyanate	rpsF//fecD//csgC//hfq//
CysB-N-acetyl-L-serine	garR//fucI//paaC//actP//ygbA//ulaB//ydeO//gspK//yhjA//serC//fhuE//emrY//mgrB//dppD//borD//fepB//tfaQ//pgaD//gnd//srlD//cysA//glnG//ydeM//ompT//fumB//argP//ynfG//eda//cpxR//mtlD//
CysB-O-acetyl-L-serine	trg//abgA//tdh//puuC//yeiB//tauA//trpR//gpsA//sxy//yhfA//ydiU//mhpR//fepA//yhhY//phoQ//yecR//artQ//livG//feaR//mzrA//hisQ//phoP//phnF//lysO//rhaS//argD//gspF//xapA//argA//yjcH//citC//
DcuR-Phosphorylated	manY//ybdN//nohA//mglA//cydA//caiC//mdtA//phnG//purN//
DnaA-ATP	safA//speC//gpsA//lsrG//exbB//ydhW//secB//yeiB//yojI//aroL//cra//ydhT//
DpiA-Pasp	ssuA//nuoM//yciW//abgA//fumB//fhuA//yfeW//hybF//phoR//rrfB//ydfN//
DsdC-D-serine	bioD//fabZ//ompF//
EvgA-Phosphorylated	atoE//tauA//hdeD//araA//aroA//sodB//iraM//galS//caiC//ccmF//tdcG//safA//melA//asr//fimC//
FNR-[4Fe-4S]2+ reduced	ivbL//astB//aroA//dusB//glpQ//ydeJ//purC//rbsC//glgB//rseA//cusS//aroP//copA//napA//citX//uxuR//ubiC//nikC//carA//dcuB//fadA//xseA//hflX//secB//hypE//yqjA//ydhX//yojI//csgF//csgB//bioC//dadA//cysU//pyrD//fepB//yeaR//deoD//bcsC//tnaB//ydiU//oppF//yciW//gcvT//srlA//mtlR//recF//crr//mdtA//rutC//pgaC//yegZ//gntX//ybdZ//rutA//glpC//entF//purC//yccA//rrlA//nrdB//metB//exuT//glcE//napH//carB//cusS//uxuR//ccmD//yiaK//baeR//yidQ//artQ//rrfC//grpE//zwf//idnD//uxuR//rplI//deoD//gatD//hybE//pagP//argD//mtlR//fepC//sdhD//caiE//gatB//pheT//rutC//puuP//fecD//sucB//hycF//sgbH//moaE//glgP//hyfD//metC//gntK//fecB//fecA//qseC//ackA//ftnB//yneM//garL//paaD//nirB//hypC//tdcE//pheS//rpsI//nhaR//dppC//fadB//ulaF//talA//hupB//yeaE//cpxA//hycA//modB//focA//mzrA//talA//yojI//abgT//ackA//hyfC//csgB//ycjF//glpK//motB//ilvH//lrp//emrY//narG//galT//moaC//xylG//ppiD//ccmA//napA//pgaA//rimM//ccmH//lldP//gspG//ygiC//trpE//hypC//yfiP//pyrD//malY//lysP//ydeN//cydD//nuoJ//rrfE//yiaL//ydfN//argB//galS//csiD//phoA//grxC//glpR//ilvI//gntU//fecD//uhpC//idnR//srlR//manZ//cynR//cheY//hyfF//spf//mtr//bioA//rrfB//hyfB//cusF//appX//tyrR//rrsH//ogt//rplB//phnC//baeS//proP//asr//erpA//osmY//sbmC//fnrS//dsbA//caiT//fhlA//lsrK//glpG//sbmA//glcF//livJ//ssuA//ada//ykgM//dcuC//eda//sucD//hypF//tehB//gatY//dnaE//hisJ//exbB//mdh//creA//metC//mntP//hcp//frdD//abgA//ychH//chbF//caiT//purF//rrfA//nrfF//aroA//soxR//dpiA//gadC//araA//yhcH//oppD//fepC//paaZ//aceF//ahpC//yfbR//fimF//amiB//gatC//oppD//rseC//glgS//dmsA//tnaA//slyB//uof//speB//modA//lsrA//oppC//glcD//oxyR//napC//caiA//serC//icd//prpB//cydD//allC//hisQ//rrfC//tfaQ//hyfB//gltU//cyoB//csgE//cusB//rbsB//tyrA//lsrA//bcsB//ppdD//rpmI//mhpC//dnaA//xseA//modA//feoC//livM//hyfG//borD//mdtD//aer//mhpE//glpB//dppB//mglA//hyfC//cheW//yqjH//soxS//tadA//glcE//purE//entS//gyrA//narJ//map//artP//
FhlA-Formate	citG//tolC//aceK//guaA//gltW//cysN//phoE//metK//prfA//metC//glpQ//moaD//rrsC//bhsA//hyfH//bcsB//nuoH//thrV//fimC//garK//arcA//ulaE//ilvG_1//nanK//hyfD//ygeA//dsbA//ansB//dsbA//oxyR//
FucR-L-fuculose-1-phosphate	argG//rplM//fixA//dppB//rprA//yfdE//gabP//
Fur-Fe2+	mgtA//malY//ydbD//agp//nrfA//trxA//glpQ//tdcE//ybdN//tdcE//araE//zraS//adhE//hycF//lsrB//fimE//nagA//cynT//hycG//rutE//yqjI//rpmI//yjiY//cysU//rhaS//nuoK//paaB//cydB//purK//modC//purA//mdtB//gcvP//hybC//gcvP//rrlH//flhC//trpL//uhpA//cyoA//prpE//norR//rybA//aceA//hypD//recF//nanK//uxuA//nuoA//artQ//entE//lsrD//envZ//dgcZ//phoQ//ilvG_1//glpA//gapA//xylH//alaV//exbB//upp//yiaM//oppD//fadJ//mutL//tdcG//rplI//sbmC//napF//torC//rseC//aldB//glyA//metE//ampE//yeiP//cynS//codB//focB//ydeN//nlpD//yedX//hypA//dkgB//marR//aroL//tehA//sufB//ydeO//glpF//rhaR//pstC//ulaB//purM//oppB//manA//ydeP//rpsO//bcsC//yegZ//nuoE//metY//nuoJ//trpE//lysO//truB//sdhB//agaA//fdnH//rhaT//idnO//alaA//hemL//rutD//ssuD//cspE//fabZ//phoH//phnL//glmY//phoR//dpiB//mdtA//fimA//tyrP//cra//napC//malK//zntA//citE//arcA//fadI//mhpB//ssb//ygeH//fadJ//ychH//psiE//yibN//
Fur-Mn2+	hmp//hemA//puuE//hyaE//udp//crp//metK//hemL//waaH//aroM//yeiP//rnhB//epd//cadA//nanA//agp//grxD//ileV//phnI//pgaD//yjjZ//codB//nuoM//nuoF//gcd//betI//cyoC//yfiP//casA//moeA//phnD//ccmG//ompW//pdeF//ahpF//nrfC//nirB//malQ//tar//prs//gntR//ldtB//narH//fdnG//trpR//marR//cysN//atoB//atoA//cysU//rrfC//tar//hlyE//hofP//nanA//glrR//dusB//nuoJ//rutE//chbA//uof//mhpC//prpC//ompR//ebgC//ompX//narH//acrE//yeiP//zraR//yhiD//yfiP//metL//fixC//sodB//manA//dcuB//aroL//rrsG//tehA//ccmF//lacI//mntP//fadH//metC//rrsG//emrK//ycjX//ebgA//ygaC//hisM//bamE//citG//iscR//hyaE//fecA//paaG//focA//motA//araG//purE//pgaC//sdhC//malY//gspF//hybO//mhpA//idnD//galS//ubiG//pheM//ybfN//ilvH//rbfA//uxuR//yjeF//yaiA//alaV//amiB//preT//argO//gpmA//oppF//lsrC//fecE//soxR//glpA//hycD//gatB//rrlH//cheZ//putP//idnT//ilvC//ccmH//mipA//ompX//nanA//gltB//hofM//
GlcC-Acetate	gspK//ubiG//pnp//umpH//napA//ynfK//yibN//
GlcC-Glycolate	oppC//sroD//malY//paaJ//rutG//caiC//argH//
GlrR-Pasp56	narJ//
IclR-pyruvate	sbmA//casC//napH//acrA//
IdnR-5-ketogluconate	yojI//phnE_1//entE//hisJ//fhuC//ilvA//yccA//glcC//
IdnR-Idonate	oppD//sdhB//exuT//bcsB//phoA//ahpF//murP//dadA//
IlvY-2-acetolactate	rpoS//epd//
IlvY-Alfa-acetohydroxybutirate	metK//cra//
IscR-[2Fe-2S]1+	emrK//xseA//hflK//envY//fucR//deoA//appX//dnaN//glgA//creC//glmY//znuA//rseB//caiE//trg//cspD//paaE//entF//ccmE//tdcG//trpL//fixB//nhaR//hybF//metA//yegR//pdhR//dsbA//moaD//yneM//sbcD//ldtB//ppiD//glcB//fumC//ysgA//lacY//tnaC//ompA//dps//rprA//
LldR-L-lactate	narJ//glpX//puuR//
Lrp-Leucine	tap//ybiT//oppA//dppD//tauB//rrlE//iscS//entH//ynfK//rbfA//aspC//ccmB//cytR//phnF//prs//fimF//dapB//gadC//astB//creB//nlpD//purK//ydhT//ilvD//sdhC//hypC//livM//xapB//dsdC//yedX//ydhT//chbA//napG//ugpE//fucU//cusB//ompA//argE//creB//mhpR//mdtB//cynR//galT//nuoC//phnJ//fucU//ccmC//rseA//sdaA//tfaQ//ileV//rstB//fiu//fepE//hslJ//hycF//oppF//skp//tsaE//srlD//mtr//ydeN//sgbE//ubiG//mscM//fumC//yqaE//adiC//glcF//glpT//carA//nrfA//nagA//hyfD//idnO//ilvL//nrfF//moaC//phnF//rrlG//gcvT//xdhB//speA//rbsR//purA//yojI//osmC//rpsJ//xseA//ldtC//cpxR//galP//rpsO//gabT//glcB//acnB//pgpC//rbsB//yaiW//tnaB//spy//nadC//chbC//gabT//cysM//nrfE//
LsrR	rutD//ysgA//mdh//dcuB//astE//phnI//yiaJ//cstA//gatY//
MalT-ADP-Maltotriose	mhpT//zinT//araA//iscS//moaA//cysD//trmD//tolC//rof//focB//
MalT-Maltotriose-ATP	argF//nirB//sgbU//livF//cpxA//icd//fixC//rseC//cysW//nohA//
MelR-Melibiose	rplC//modC//psiF//
MetJ-S-adenosylmethionine	modC//napB//mipA//betA//yqjH//emrY//livM//purM//rhaB//dps//ydhY//ilvB//ackA//fhuB//nrdH//
MetR-L-homocysteine	norW//iscA//hybA//dctA//nirC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	dkgB//ybfN//rutA//ppdD//ebgC//cynX//
MhpR-3HPP	dpiB//ycjF//entH//puuR//ftnA//gntU//
MntR-Cd2+	ybiT//prpR//mgtL//purE//tyrR//
ModE-MoO42-	flhC//soxS//rpsO//lamB//aroL//purR//patZ//caiE//alaT//paaH//ompF//hslJ//paaD//ubiX//ppiD//envY//yjeV//bglF//uhpA//yegH//garL//xapB//manA//glpK//cyoE//nikD//mepH//citD//araF//cstA//glpT//gspE//glpC//bioC//sgbU//narQ//dcuB//erpA//gpsA//citC//rutA//gspC//yeaD//spy//melA//feoB//
NarL-Phosphorylated	glpT//nuoB//ulaC//xylH//nanC//uidA//sufE//ryhB//asr//nmpC//glpR//yeiL//malE//hypB//narJ//galP//hflD//kbaZ//hycA//cyoB//ftnB//glgB//paaZ//ppdD//csiE//ccmD//chbF//araA//gcvH//ppiA//ygiA//yfdX//frdD//gltU//paaK//napF//baeS//ispE//araE//ompT//pitB//glpA//rutF//cstA//acrF//lpxA//hyaC//dsdC//cysC//cysG//psiF//dps//dmsB//ompT//mscM//ychO//crr//ccmA//nuoK//mtlR//srlB//narJ//ykgO//hcp//metY//rrsG//yaeQ//ebgA//dcuS//rrfA//cysC//malX//norV//gltW//hisJ//acrF//aceE//cbl//rcnA//rrfG//alkA//mdtA//fhuF//patZ//malI//ycjF//dppC//pyrC//hofC//hycA//rutD//gntT//appA//pyrC//rhaR//sxy//flhD//ykgO//fecI//trpC//livM//rpoS//dppD//ivbL//gatZ//cydD//rhaS//argB//manZ//napD//folE//mhpC//dppD//lacZ//nirD//agp//nanS//rhaT//nadC//ebgC//yiaJ//fes//bioC//dadA//acrD//
NarP-Phosphorylated	paaJ//trpC//bioF//hyfJ//appY//udp//narQ//codB//cas2//soxS//sucA//ubiA//arcZ//hisP//bamA//cusF//yccA//hyaE//glgS//rstA//deoC//glnB//mltC//yeaE//glnA//acnA//ccmB//nrfA//puuB//mltC//sbmC//torA//qseC//cyoB//aroM//hofO//metA//fadE//metF//rutE//dmsC//ccmA//cysN//soxR//paaK//appC//malG//tadA//gltA//betI//
NhaR-Na+	talA//ompW//idnD//yhfA//rplP//dps//hyaD//
NikR-Cd2+	acrD//sufE//acrE//hupA//fdnG//gnd//
NikR-Co2+	rseC//manZ//astA//tdcA//sxy//iscS//
NikR-Cu2+	sgbH//trpE//ybfN//bioD//cydB//tomB//
NikR-Ni2+	bglF//hyaD//nrfG//malX//zntA//ilvC//
NikR-Zn2+	hyfF//atoB//zwf//moaA//ssuC//dcuB//
NrdR-ATP	sucD//cpxR//araB//idnR//cysI//ybdN//gltB//uof//metK//
NrdR-Zn2+	artP//mdtD//gutM//caiA//frdD//cysK//hcp//tnaB//yfbR//
NrdR-dATP	mgrB//idnD//mhpR//entD//nupG//ykgO//rpmI//sbmC//tdh//
NsrR-[2Fe-2S]reduced	creA//rbsK//speA//cysN//hybO//nanM//aceK//avtA//nrfC//araD//yjeV//ilvE//lysO//rpmC//narJ//ptsI//ilvG_1//gcvP//napG//moaA//aroP//rutC//cysN//paaH//puuC//rrlH//yiaL//manA//pgpC//narX//argH//nfuA//nrdI//lyxK//argO//mutL//ygiC//purL//srlE//rprA//hydN//rplP//ilvG_2//caiE//rplD//paaK//cysC//tdcA//lsrC//grxD//yaeQ//aroG//pck//tdcB//ilvA//iscA//fhuF//cirA//abgT//malS//chbG//rseC//dsdA//uof//dkgB//hycI//rrsD//paaI//cheR//feoB//ssuA//hemA//uraA//
PhoB-Phosphorylated	nuoI//entE//rrfC//rplT//galP//ygeA//araA//exuT//fecB//gspG//fimE//ygeA//pdeF//gntX//betB//patZ//rimP//ebgA//motB//slt//edd//bcsZ//galS//tyrA//dnaN//rrfE//nuoF//ftnB//lhgO//cueO//ptsG//rrsA//frdD//ung//narL//ydeO//csgG//cyoB//frdD//xdhA//hycB//zinT//sdaA//pgaD//glpR//cyaR//glcA//rimP//feaR//sbmA//napD//uxaB//nanT//rrlG//cpdB//garR//gspK//paaD//mntP//bglG//ftnA//
PhoP-Phosphorylated	oppD//tap//fucA//casA//citG//evgA//livH//metQ//mhpT//emrY//fhuA//cyaA//malS//rrfA//glpK//ssb//appA//cysP//mpl//tap//grpE//appY//gspL//citE//fiu//hyfE//rnlA//mhpF//mntS//kbl//fadL//cueO//paaJ//ompR//phnP//yrbL//agaA//ahpF//malF//rutG//xylA//aroF//motB//yjjZ//cysI//chbB//gspO//mglB//hycC//citE//ulaE//deoC//yidQ//glgC//alkA//ompX//fhuE//
PrpR-2-methylcitrate	xylA//rpoE//nrfB//puuE//ykgM//
PurR-Guanine	fadI//nrdF//gpmA//aspC//rseA//ychH//uhpT//osmC//hcr//rpmC//aspA//nikE//umpH//cusB//tehB//sodA//nrfC//malE//nrdG//rpmI//fixA//gntU//cyaA//argH//pheM//hycB//fdnG//yiaN//paaJ//sbcD//gspF//trpR//galT//mgrR//
PurR-Hypoxanthine	dppF//yeiL//ubiC//ccmA//tcyJ//speA//ybdN//atoD//fixA//fepE//yhjA//yhhY//mdtA//hyfG//baeS//putP//alaU//yecR//recF//zntA//envZ//pyrC//rrsD//fau//znuB//motB//creA//guaA//ydfN//gapA//metJ//iscU//rbsK//gatY//
QseB-Phosphorylated	ynfH//mntP//upp//glpX//
RhaR-L-rhamnose	spf//aspA//
RhaS-L-rhamnose	dapD//rrfC//pgaC//appA//fadL//gltW//
RstA-Phosphorylated	aroA//cynS//ygaC//trpE//bioB//aaeX//icd//mgtL//appA//argA//
SoxR-[2Fe-2S]3+ oxydized	trmD//tsgA//paaG//sodA//
TorR-Phosphorylated	gspD//xapA//glcG//lpxB//hyaF//ygaC//cpxR//purL//yegZ//dctA//
TrpR-Tryptophan	sucC//yibN//entF//oppB//yhfA//torC//fixC//xylB//ugpE//ndh//ccmH//rhaA//
TyrR-L-tryptophan	nrfG//tpx//metN//mgrB//nuoG//ygeH//ycjF//purB//tdcD//fepG//ulaD//ydiU//yeiB//trpB//
TyrR-Phenylalanine	ygiA//ykgM//malT//creC//purD//prpD//aroG//glgP//umpH//melA//tap//hofM//glpD//hha//
TyrR-Tyrosine	cysP//phnM//glgB//stpA//amtB//oxc//acrE//paaA//glnK//lamB//ivbL//ndh//gltF//thrV//
UhpA-Phosphorylated	dnaA//
XapR-xanthosine	dusB//xapA//
XylR-Xylose	ccmD//metB//allD//purK//folA//srlA//
ZntR-Cd2+	mtlD//
ZntR-Hg	hypA//
ZntR-Zn2+	mepH//
ZraR-Phosphorylated	cysI//frdA//mhpF//
Zur-Zn2+	fucU//rutC//lpxA//csgF//pflB//phnK//
