#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	sbcC//tauB//glgA//lacA//
Fur-Fe2+	nuoI//ulaB//hofM//mhpE//cas1//ydeN//gatC//rrsC//map//ldtB//hupA//metQ//hdeA//glpQ//nikE//tsaE//csiD//hycH//katE//gyrA//cirA//iraM//bioB//ilvA//emrY//cyoD//astB//gspK//envY//ulaD//hypC//manZ//hyfI//cysB//malP//srlB//fdnI//ubiA//ascB//ydfN//rrfA//waaH//abgT//alaT//fecB//tauA//rrlB//hypA//lsrD//kbaZ//agaA//malQ//cheA//pstC//caiD//mglB//ompT//sdhA//appB//galE//kbl//ahpC//manZ//ynfG//glgB//glgC//fur//gspK//hemA//mdh//guaA//csgA//ugpE//rutA//glcB//ygbA//gpsA//nrfD//ansB//lacY//dcuD//rrfE//metC//ychO//nirC//fepB//tyrB//ihfA//epd//tam//ulaB//tdcG//nanK//glcC//xylF//abgB//mgtA//metI//xdhB//ilvA//nlpE//gcvP//sucC//glyA//cysJ//gcvH//znuB//rbsK//narX//ydeJ//feoA//phoP//hycA//iscA//pgpC//sdhA//cstA//mltC//hflX//livK//rutA//psiF//casE//fimE//hpt//phnE_2//yiaL//hyfD//gltA//hypA//malT//nirB//appB//dadX//csgA//xapA//cheY//ssuC//dgcZ//manX//
Fur-Mn2+	livH//nadC//phnP//nikA//alaA//narH//gltB//ssb//lsrG//hybC//csgB//fecD//fimI//focA//glcB//degP//gspH//citG//paaE//nrdD//degP//xylF//rrfF//ykgM//ilvY//mntH//nanC//ebgA//cysM//frc//mutY//rbsB//feoC//folA//lysP//phoE//yeiP//rhaT//ccmC//iscR//dmsC//purK//yjjZ//chbF//yfbR//lpxA//gpmA//ppiD//tnaC//galS//casC//slyB//mzrA//fhuF//malX//codA//cas2//safA//yfdV//fliZ//rhaT//yoaC//yhhY//phnH//gspD//sdhC//phnO//alkB//raiA//leuE//nrdH//entS//csgC//ybiT//creC//pdeF//malP//focA//csgG//creA//bioF//xylA//uidA//amn//focB//agaV//gltF//ykgR//dcuB//purR//sdhC//ycjF//gabT//cdd//rrfA//cysM//sufS//uof//ychH//fau//mscM//sdhD//ldtB//srlE//gatY//creC//moaB//trxA//ynfH//nrdE//priB//entD//gntR//infB//nikA//hycI//nirD//ada//rutC//nusA//bioA//fecB//acnB//lysP//csgA//fiu//napH//fixX//csgC//phoH//dkgB//treR//dppA//bioC//rseA//lacZ//comR//agaA//znuB//hyfC//
GlcC-Acetate	narX//uidB//srlD//gadC//rutA//rrlH//lpxD//
GlcC-Glycolate	livM//lysA//yeiP//gspF//hypE//rpmI//rbsA//
GlrR-Pasp56	yegR//
IclR-pyruvate	rrlH//chbF//rnlA//ycjX//
IdnR-5-ketogluconate	cydC//casD//azuC//nrdE//fecD//ydfN//cra//atoA//
IdnR-Idonate	gatY//ycjX//tauA//ccmD//pagP//glcF//fimF//aceA//
IlvY-2-acetolactate	tpx//preT//
IlvY-Alfa-acetohydroxybutirate	hypA//fucK//
IscR-[2Fe-2S]1+	nrdH//phnM//narH//cynX//fabZ//narG//cdd//ileV//yqaE//ileV//rnhB//lacZ//paaD//gatB//phoH//moaA//slt//miaA//ackA//alaT//bcsZ//tauB//aroA//glgP//acnB//rplD//phoQ//ldtB//metN//dsdX//kbaZ//ccmC//agp//paaF//mgtA//nrdA//xylR//napA//ldtB//cysJ//ilvG_2//
LldR-L-lactate	glcE//lpd//fumB//
Lrp-Leucine	gadB//ppdD//nmpC//prmC//polA//phoP//yqjA//ychH//rpoE//cyoC//hycF//speA//tehA//tsgA//xylH//tdcD//mntH//dnaN//xdhA//tsx//hcr//idnD//fadA//fecB//serC//agp//comR//hyaE//hybD//rprA//yeaR//ykgR//cydC//rrsC//hemA//astD//hupA//zinT//purN//soxR//rrlC//efeU_2//rbfA//glcC//hisQ//tsgA//pstS//nupG//manY//cusC//rrlE//aroA//nanS//nuoH//sodA//rybA//aceF//trpL//guaB//creC//ytfE//araC//rrfG//pnp//xapA//ppiA//purH//ampD//dsdC//cydA//acnA//nac//hypD//ugpB//alkB//chbF//ompF//pepT//norR//bioD//srlB//ung//yjiY//tsr//cstA//modA//fimE//cheA//ptsH//purK//trpE//ppiD//ilvN//yfdE//cyoC//lpxD//ahpF//mglC//pitA//glnG//rrsH//hyaA//fhuB//proP//frdB//puuA//
LsrR	ccmD//tdcD//hyfB//lacI//nirC//rrfB//mtr//atoD//pitB//
MalT-ADP-Maltotriose	uhpT//ycjF//nanM//ulaC//dcuS//rrsH//appA//nagA//zinT//nohA//
MalT-Maltotriose-ATP	hyfA//purC//mntP//rrfC//manA//nuoI//oppB//acrD//rrfD//rrlB//
MelR-Melibiose	motA//cydC//nfuA//
MetJ-S-adenosylmethionine	ileU//argH//murP//fucI//baeR//ykgR//hycA//hyfF//betT//hyfC//folE//nupC//malP//glpQ//malT//
MetR-L-homocysteine	nrdB//paaG//rplW//cheR//mutL//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	fecD//citF//fadA//mzrA//ugpC//fucK//
MhpR-3HPP	oxyR//hyfF//creA//uxaA//argI//metA//
MntR-Cd2+	caiC//fdhF//yqjH//gyrA//fepB//
ModE-MoO42-	hyfC//lacY//bioB//melB//tam//napF//idnD//chbB//rpoS//rutD//yidQ//atoA//ychO//yrbL//gltT//atoD//purM//phnH//phoQ//osmY//ubiG//glcE//nfuA//fhuC//malX//argH//tonB//amn//deoB//fadB//citG//cysJ//rutA//ahpF//purM//modB//pheT//ccmF//yfdV//phoQ//narQ//bcsB//fnrS//glcA//argE//csiE//
NarL-Phosphorylated	xapA//cra//xapA//tauB//fixC//deoC//cheR//uxaA//ubiA//araD//tam//moaA//tadA//gutQ//ascF//gntP//narI//napF//frdA//dcuD//phnD//fdnG//sufS//gabP//dcuA//bioB//glnD//gyrA//yjeF//copA//rplM//gyrA//mhpT//bioA//hycD//cirA//trpL//hupB//phoQ//ybdN//treR//carB//iraD//lsrK//cadB//fimH//pgaB//miaA//fecI//nuoC//ydbD//mdtC//yqjA//ygbA//caiT//pagP//yiaN//argA//pgaD//fucK//fepD//feoA//argC//pgpC//cpdB//edd//argA//fis//bglF//rdoA//efeU_2//glnD//modA//rrlH//nikA//yibN//sdaA//codB//rrfC//agaV//nuoK//hemA//iraD//truB//xylG//nrfC//lacZ//ygaC//prpC//bamE//rrsG//fhuD//sucD//ydhX//argC//sbmA//cyaA//caiD//hybC//glpX//gltT//galM//nirD//zraR//thrV//moeB//nuoK//rrlD//hflD//preA//pyrD//moaD//ygeH//pyrC//uidC//rpsI//mzrA//betI//hyaA//gspI//lldD//metN//folE//sroD//trpL//
NarP-Phosphorylated	rutC//dcuS//mhpC//envY//aspA//srlA//lldD//ileU//yqjA//metE//uvrA//araB//hisP//phnI//cydD//fadI//rmf//lldR//yojI//fhlA//gatB//paaI//caiD//feaR//tktB//rutE//lysO//cbl//fau//napD//yeaD//casC//metR//fucI//bcsC//nlpE//casB//mhpA//fucA//melA//trpA//aroH//purK//hyfG//cytR//alaT//ryhB//acrB//fucR//ackA//
NhaR-Na+	sufD//tnaB//rplM//acnB//ykgM//cyoD//ptsI//
NikR-Cd2+	nirB//hisQ//sroD//hypC//glgA//lyxK//
NikR-Co2+	sgbU//idnO//yjjZ//ulaB//modC//thrS//
NikR-Cu2+	dsbA//paaD//artQ//ssuD//gatA//ptsG//
NikR-Ni2+	nohA//fnrS//hyfD//fimC//gcvP//ychH//
NikR-Zn2+	tnaB//glyA//cysM//yfdV//erpA//metN//
NrdR-ATP	ampE//srlD//araJ//ubiX//ilvL//trpR//malI//fecA//treB//
NrdR-Zn2+	fecB//mhpT//pheM//ykgO//napG//yeiP//bcsB//glpG//nikA//
NrdR-dATP	thrS//appC//yqjH//modB//rrfF//ybfN//nuoL//hflD//uhpC//
NsrR-[2Fe-2S]reduced	gltW//chbB//malP//ccmG//hycD//xseA//yfiP//zinT//mdh//rplB//phoU//lpd//metI//fimF//dmsA//frc//phoH//hemL//dmsC//fepG//ftnB//ygbA//cusA//rrlD//purN//narH//fepB//araB//rrsB//cheB//fucU//ysgA//cusF//treB//serA//lrp//cpxA//glgP//nagB//nanK//rrlD//xylA//dsdA//rcnA//gatY//fdnH//cspD//cdd//yqjH//ysgA//fixX//ssuB//cheB//artI//rybB//xapA//yebE//trpR//entE//spf//rrlG//caiD//yoaC//cysU//argR//fldA//metR//argO//betA//malG//trpR//gspE//nuoF//
PhoB-Phosphorylated	rpmI//oppF//betI//nuoI//rrfF//trxA//atoA//rpsJ//uhpB//ssuB//phnF//tdcC//ilvE//acrA//cysP//livK//pdhR//iscS//crp//ilvX//sucD//fixB//argT//yneM//fecI//entS//nupC//mgtL//glnB//gspL//hyfE//fimH//lysO//tdcC//alaU//sohB//tonB//mgtL//ydhW//ndh//yeaE//fbaA//aaeB//ompT//appY//lacZ//caiA//pstA//idnT//alaT//nrdA//nohA//cbl//zraP//argO//paaG//puuR//acnA//yfeW//yeaE//frdB//
PhoP-Phosphorylated	fucA//tdcE//citE//ynfE//sufB//fucU//fnr//trg//glcB//frdA//citG//nrdD//aroG//hlyE//xylB//ileT//hupA//entS//glyA//hdeB//galE//malP//ulaD//ileV//yccA//chiP//moeB//argO//narG//oppD//tauB//phnG//bioC//nrfB//fadE//rrsD//sodA//cadA//agaV//fucR//phnG//ilvG_1//mhpC//csiD//tdcE//bdcA//rplS//fumA//phoR//dctA//phnL//cysG//bcsB//paaA//atoB//nrfF//fimI//
PrpR-2-methylcitrate	sufD//mtlR//moeA//hyaE//yhiD//
PurR-Guanine	ykgR//mhpC//rof//citD//gspL//bglB//yfdV//nanM//hlyE//cyoB//fepC//cydC//bdcA//mglB//fldA//mtlA//fes//argG//rpsR//amtB//rcnB//hycG//rplC//nikE//hemL//evgA//cirA//appA//ssuC//yrbL//fixB//hycA//fimH//ackA//
PurR-Hypoxanthine	nuoF//purD//rrlG//ubiG//ilvM//cheZ//nikR//ccmG//nikR//ilvB//napA//adiC//yeiW//lpxB//pflB//ftnB//treC//motB//yeiB//safA//moeA//aaeB//aroL//malQ//glnD//fucU//ileV//ygeA//treB//sucA//znuB//baeR//manA//cirA//
QseB-Phosphorylated	fucO//dps//abgA//ynfE//
RhaR-L-rhamnose	rutG//exbD//
RhaS-L-rhamnose	argP//manX//uvrA//cspD//sxy//purB//
RstA-Phosphorylated	argO//caiT//mutL//purN//hdeD//metC//yegR//paaB//phnI//phnK//
SoxR-[2Fe-2S]3+ oxydized	yeiW//tdcD//gdhA//ileV//
TorR-Phosphorylated	gatC//ydhT//csgA//mdtD//ompW//yneM//yedX//pepT//grcA//bcsC//
TrpR-Tryptophan	paaF//ydhW//entC//lpxD//yegZ//rpoE//csiE//citX//ydiU//fiu//paaJ//fecB//
TyrR-L-tryptophan	glyA//mntP//polA//miaA//sufE//gltD//rstA//malE//rbsD//dapD//rplS//moeB//sufE//idnT//
TyrR-Phenylalanine	betI//gabD//fadI//fepB//ycdZ//narJ//hyfD//gltB//artJ//srlA//ldtC//manZ//puuR//tnaC//
TyrR-Tyrosine	acrB//xdhC//nfuA//rrfA//yciW//malZ//lamB//ccmF//tsr//exbD//mglC//astE//gltU//ilvX//
UhpA-Phosphorylated	tnaC//
XapR-xanthosine	fhuE//ubiA//
XylR-Xylose	rpsR//phoP//hypB//dmsC//rseA//rplP//
ZntR-Cd2+	hisP//
ZntR-Hg	sufC//
ZntR-Zn2+	cyoB//
ZraR-Phosphorylated	cyoC//cytR//serC//
Zur-Zn2+	yccA//hybO//ascF//fliZ//fldA//livJ//
