#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	fucR//yfdV//fepG//purL//
ChbR-Monoacetylchitobiose-6P	fimD//fucP//caiD//purH//pyrC//entS//
CpxR-Phosphorylated	rstB//fhlA//tauB//ppdD//rpsC//mcaS//rpsF//xylA//gcvP//prpD//oppB//dsdC//icd//yeiP//casC//nhaR//tdcF//hyfB//ilvL//purL//rhaA//speC//dcuB//rstA//purR//slyB//rhaS//csgD//bcsZ//fadJ//hypE//actP//yeiP//glpE//hyfA//glcF//hycA//serC//fixC//ydfH//mtlR//mdtB//lolB//hypE//ahpC//guaB//tktB//fadE//fixX//nuoM//hypC//pck//puuB//tauA//hyfR//yeiB//purF//glrR//edd//rplC//nuoH//livG//nrdI//atoD//priB//yibN//emrY//pgpC//rrfG//
CreB-Phosphorylated	appY//sufE//ykgR//yfdV//ssuC//aroH//aroF//hyfI//metQ//
CueR-Ag	dmsB//aer//hha//yoaC//hycI//yneM//rimP//
CueR-Cu+	rhaB//phnM//feoC//fucA//ilvI//cyoB//araE//
CuerR-Au	treB//truB//ascB//ssuC//trpB//paaG//yecR//
CusR-Pasp	nuoE//mtlD//fdnG//aldB//gdhA//focA//lpxB//alaU//hycA//sufA//artM//betA//
CynR-Cyanate	metK//creC//nanA//exuT//
CysB-N-acetyl-L-serine	ppiA//lyxK//glgS//entC//fimI//feaB//galS//rutD//csiE//pck//rnlA//araD//cysW//yeiL//rutE//purL//araB//rrsG//astA//uvrA//slt//zntA//hflC//cstA//nikB//ygiB//bcsC//sufD//eda//sgbU//
CysB-O-acetyl-L-serine	treR//fadA//ssuE//fepE//garP//entS//pnp//ldtC//mdtC//gspL//bcsB//aroA//rutB//baeS//fur//artI//secB//nuoN//nanA//xdhA//hyfI//chbG//hofP//acrA//nikC//xdhB//prpD//sohB//nagA//nohA//malE//
DcuR-Phosphorylated	cstA//tdcD//xylB//lrp//fucI//purK//hlyE//ptsI//grxC//
DnaA-ATP	prfA//tsx//trpE//ydeM//nadC//pgk//hybG//gapA//ybfN//srlA//creC//glgC//
DpiA-Pasp	hypF//abgT//cytR//rmf//dcuB//srlA//lsrR//gntP//ptsG//aspC//iscS//
DsdC-D-serine	nusA//nhaR//ampE//
EvgA-Phosphorylated	zraR//pagP//cysA//ugpQ//ivbL//purF//tdh//nuoJ//ivbL//micF//rpoS//crl//epd//fucI//argR//
FNR-[4Fe-4S]2+ reduced	bioB//fixX//nanA//lamB//rrfD//gltF//manX//fadH//mutY//fucI//fecD//fimD//rrfC//acrA//exuT//purF//glpQ//dppA//lacI//xapB//casD//atoD//mtr//dcuA//grcA//treB//purE//dusB//purK//fecR//lolB//ryhB//lysU//aaeA//copA//yebE//alaU//mzrA//livG//ybfN//norV//chbC//ccmG//argG//ileT//uxuR//entE//iscS//yhjC//nrdD//fnr//uidA//tehB//hypB//citF//ilvD//gntU//astC//gdhA//katG//rpsS//aceB//rrsG//fecA//pgpC//adhE//acrF//hyfB//yqaE//yqjI//alkB//mgrB//araF//aceF//gntX//narG//gltV//glpB//flhC//pgk//aroG//ynfE//zwf//mgtA//chbF//sufE//rseB//dps//rpoH//hemL//evgA//paaD//rplM//rybA//fliZ//zraS//mltC//cynR//creC//amn//yeaE//ccmE//thrS//uidA//purN//yccA//lysA//gspH//dppB//yqjA//alkB//malS//mutY//pgaD//ssuA//glcG//cusS//sdhA//uxaB//rutD//yaeP//mutY//dnaA//carB//fucU//ppiA//dgcZ//dctA//xseA//mdtD//dppF//napF//mhpC//yjeF//fimA//hyfB//dusB//uraA//guaA//malM//srlR//casA//hofB//gspK//cadA//xylG//citE//metC//deoD//raiA//slyB//lsrB//alaT//pdhR//cysA//marA//glpB//rhaR//exbD//oppF//xdhA//ccmG//nadC//uxuA//rseC//rof//ung//hisQ//yqjH//hofB//hyaF//malE//dcuD//stpA//alaU//rbfA//nikE//cyoB//yeiW//aceE//yeaR//xapA//ssuC//fiu//lsrB//nanE//csgD//cyoD//citF//serC//osmY//xylR//dsdA//lacA//aroF//zntA//gspJ//cysN//tdcD//hyaB//uidA//fecI//hypE//ygeA//focA//ynfH//rrfB//ygeH//entB//dcuA//tdcF//nrfF//yqjA//folA//alaT//hofN//tolC//csgB//galK//avtA//glcG//cytR//fliA//nikA//alaA//moeA//dppB//hybO//ydeN//acrD//hdeB//aldB//ispE//nuoN//folA//aroG//tyrB//rbsB//fecD//glnA//hflX//nrfB//ebgC//focA//gabT//dcuB//ugpE//rprA//nrfA//purF//rrfG//actP//erpA//moeA//nikA//rbfA//envY//bdcA//aspC//glpB//uhpA//rutC//lpxD//casA//thrV//yhfA//fdnG//ada//rhaA//paaD//fimG//nlpD//emrK//cstA//rhaA//cbl//pdeF//fadI//azuC//ilvA//mcaS//sbmA//sdhD//fadL//melB//sroD//uidA//ccmB//araH//rrsE//rpsP//rybB//hlyE//pstS//chbA//gspI//nagC//soxR//raiA//hybB//hflX//gadB//sroD//garK//iscR//
FhlA-Formate	nohA//astC//fumA//malG//creC//hcr//creA//cueO//fumC//ssb//phoH//glcD//purL//ygiB//cheY//lldR//malI//tdcB//casC//fecE//betI//ydeO//rplV//fimC//sroD//hycA//phnD//ulaC//astB//glcG//
FucR-L-fuculose-1-phosphate	melA//agaV//hyfF//fixB//napC//prmC//nuoF//
Fur-Fe2+	torR//fepD//mepH//phoP//xseA//trpA//xseA//yfiP//lpxD//nagA//cusS//ogt//purE//mhpT//rrlG//fnr//argF//ahpF//nikR//gapA//frdD//ydeP//hyfF//gatD//nrdH//mdtD//caiD//cra//glnA//lsrA//nrdD//yqjI//livF//moaE//citX//micF//tauC//dgcZ//mdtC//aroG//hycC//miaA//zraP//hypD//malX//yeiB//livK//ydiU//trpE//abgT//ogt//uhpT//hybA//lacA//yiaK//mglC//tdcF//yneM//fldA//atoD//yeiP//yaiW//lrp//metY//nfuA//glgC//metB//yecR//gpsA//hybB//tktB//rpmC//ada//exuT//rnlB//ygaC//rcnA//nagE//lsrF//ppdD//fadB//mzrA//ydeA//rrfC//pgpC//hlyE//hyaB//cspE//glcE//sufC//deoD//moeA//lysC//hflD//malG//malQ//srlA//hyaA//nmpC//frdC//artJ//ccmD//fnr//exuT//purC//lpxD//iraM//atoB//ydhX//fepC//metH//rpsO//deoB//ygiC//tsgA//rplS//galP//tauB//appX//betT//araG//yiaN//gspG//tdcF//ispE//emrK//rplT//paaZ//hycB//hyaF//dcuS//bamA//moaB//malG//csgD//nupG//malX//yiaO//gltA//rpsQ//
Fur-Mn2+	carA//rpsS//codA//fdhF//alaS//azuC//evgA//hyfR//hpt//crp//rpoH//narG//paaE//metI//norV//phoA//mdtD//ydhX//casA//ilvB//rplT//pgaB//nrfD//cydD//hyaC//aspC//cpxR//pgk//yrbL//nikC//malM//glpC//gspG//rutF//mgrB//mtlA//znuA//uxuA//hmp//appY//cydA//hypA//narH//nuoH//emrK//dppB//ccmC//hslJ//agaV//ssuA//narG//tdh//metQ//ychO//xylA//rutC//ubiG//lpxA//ccmG//ulaB//caiF//grpE//mglB//talA//pgaD//appY//ydhU//deoA//purL//rutB//hisP//hycG//rseB//mdtB//treC//ygeH//ulaE//nrdG//fis//fixA//torA//citF//citG//hflD//gspH//rhaR//zwf//tehA//slyB//serC//mgrB//dadX//cusB//glgA//malZ//casA//fimH//astA//mhpD//trxA//map//chiP//yecR//gntX//tdh//glgA//ygbA//pyrC//xapB//actP//ndh//argG//fhuE//ftnA//ansB//bglB//gspE//guaB//ompA//glpA//bdcA//adhE//pck//cysA//oppF//rplT//deoC//casB//nirC//yaeP//nrfC//ulaF//torD//aldB//tauA//galK//puuB//marA//mutY//lacY//
GlcC-Acetate	gutQ//cysM//torR//mntP//casE//deoB//hflX//
GlcC-Glycolate	csiD//rplM//norW//dsdC//fucA//gspC//livJ//
GlrR-Pasp56	hyfI//
IclR-pyruvate	gspI//hlyE//ssb//mdtB//
IdnR-5-ketogluconate	cbl//yfeW//frdA//csgA//moeA//fucA//mntP//fumC//
IdnR-Idonate	ubiX//fiu//nrdE//trmD//yeiP//purM//yiaK//bglF//
IlvY-2-acetolactate	fadL//moaD//
IlvY-Alfa-acetohydroxybutirate	arcA//ybdN//
IscR-[2Fe-2S]1+	lpxD//astA//uhpA//cvpA//mdtD//yegH//pstA//hofC//fadA//hycF//astD//mdtB//uxaA//yfdX//nrdB//srlA//yhcH//nlpE//lsrA//trmD//tomB//ykgO//argT//aceK//kbaZ//rbsR//rplC//fdnG//rpsP//tomB//fdnG//tsr//ccmG//lysA//sbcD//cysN//fucK//gltT//mglB//napC//appB//
LldR-L-lactate	aceK//ygaC//hybO//
Lrp-Leucine	tdcA//gcvH//rrlG//mscM//artQ//gspK//ydhT//rpoE//uvrA//puuR//prpR//yqjH//tyrB//glgA//bamA//mgtA//map//ydeJ//pgaD//narH//hupB//flhD//glpB//mglA//gatA//mcaS//ssuE//pgaD//rhaT//sucB//bcsA//ssuB//ykgR//malM//hflD//fadJ//nrdD//purE//tauB//azuC//acrA//rybA//sgbH//gspK//tnaB//livF//rpsP//rrsC//xylR//folE//yiaO//pheM//serA//oppC//yeiP//katE//acs//ytfE//mntS//rpoH//proP//purA//tcyJ//ivbL//tadA//acrB//evgA//csgE//metQ//nikB//napA//sgbE//phnM//ebgA//polA//sdhB//gatY//gntR//fhuD//recF//garR//lysA//ilvE//glpB//nrfE//ogt//waaH//argD//tar//yegH//dapD//baeS//fes//napC//ulaA//araH//idnR//pyrC//fliA//gnd//napF//cvpA//prpC//oppF//rplC//nhaA//
LsrR	rplB//rrlE//bdcA//gltD//iscS//tonB//pncB//tar//cpxA//
MalT-ADP-Maltotriose	gyrA//yfdX//csgD//hyfA//cytR//asr//malE//amn//fimD//betA//
MalT-Maltotriose-ATP	ydeN//rpsC//degP//glgX//nusA//tsx//mdtC//oppD//malE//entE//
MelR-Melibiose	fadE//katE//rrsH//
MetJ-S-adenosylmethionine	agaV//nikD//lpd//ssuE//appB//tpx//cydB//garP//galT//uxuA//citE//pgk//mzrA//rplS//rrfE//
MetR-L-homocysteine	yjiY//hflD//dnaN//ygbA//icd//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	puuE//glpF//fis//hydN//aldB//dcuS//
MhpR-3HPP	ugpC//aldA//metA//tdcE//napG//ulaB//
MntR-Cd2+	nrdG//dsdC//ompX//zwf//ccmH//
ModE-MoO42-	glgP//mglB//cysN//yiaK//psd//casB//yeaE//modB//lsrG//narK//galE//garR//fdnG//hisP//carB//hyaC//nanK//psiF//prs//mdtC//gntP//ugpE//baeR//osmY//ansB//hybB//mhpT//yhiD//yegH//tdcD//hlyE//purH//hybC//rrsB//yhiD//trxA//epd//serC//ptsG//acrE//malS//marR//yhhY//cysK//yedX//patZ//
NarL-Phosphorylated	yjjZ//modA//lysO//torD//alaA//feoC//pgaD//yaiA//speC//gspJ//hofC//chbF//ydeA//uxuR//aldA//bcsZ//prpE//cysN//rpsC//hyaF//zntA//uidB//hyaC//cusB//rplW//hyfC//trpC//nuoN//prpR//tauA//lacA//fliA//bioB//gltU//rybA//tauC//znuA//deoB//rpoH//dadX//phnL//manY//ygiA//xdhA//aroA//carA//melB//murQ//ompR//chbF//ccmD//glyA//melB//nrdD//xylH//cysN//putP//rrlH//manX//glcC//artP//rdoA//pgaC//araF//pgaB//artP//yaiA//pstA//gspF//fucP//tar//cas1//tpx//yfdV//cysI//gspD//lldD//yibN//bioA//folA//recF//casC//nikE//nrdE//narG//yhjA//gyrA//putP//pstA//araC//caiT//fimF//mgrR//hyaE//glpT//ydhU//nhaR//rpoH//fdnH//galP//alkA//hycD//paaD//miaA//chiP//alaA//ynfF//ansB//aceK//puuD//gspF//slt//ygeA//gspJ//narI//mgtL//malI//nrfB//agaW//yeiL//pgaC//rpoH//paaD//malM//rpmC//
NarP-Phosphorylated	metA//nlpE//yojI//phnG//yqaE//torD//malQ//argR//grxC//araE//uxuR//purA//hofO//hycC//nuoG//hisP//yjcH//ilvG_1//sgbE//ompC//hflC//csgE//paaZ//copA//csgF//rpsJ//pheM//ydhU//hflC//sroD//fucK//malG//xapB//tauD//uhpC//pstA//yqjH//micF//yegH//aaeX//psiE//aldB//fldA//glpX//glnK//prpB//fimD//marR//atoB//nagB//
NhaR-Na+	folA//cytR//aaeX//garK//uxuB//hycD//ygaC//
NikR-Cd2+	pnp//mntP//nrdH//ulaF//aroA//zwf//
NikR-Co2+	fadB//glpQ//asr//deoA//mipA//galE//
NikR-Cu2+	yedX//mtlA//artI//rplD//cytR//efeU_1//
NikR-Ni2+	lpxD//cysW//nikR//ugpB//bdcA//zraP//
NikR-Zn2+	trg//mhpB//pgaC//mtlA//ssuE//livG//
NrdR-ATP	ampE//yebE//iraD//rutG//cirA//tolC//xylH//mhpE//glnK//
NrdR-Zn2+	qseB//malS//fes//uhpC//oxc//bcsC//argA//ilvE//rutE//
NrdR-dATP	polA//fadB//pitA//dppD//osmC//ugpA//cysP//yiaM//pstA//
NsrR-[2Fe-2S]reduced	rrlH//rrsH//allD//oppB//narX//mglC//alaS//sucB//fimE//fdhF//nikE//yjiY//rplV//mgtA//purH//caiB//acrA//hycI//lsrB//appC//ydeA//phoE//pnp//ybdN//aaeR//trpA//sdhA//ygiC//ugpC//atoD//guaB//phoQ//fnr//yeiB//cynS//tyrA//tktB//srlR//glnK//moaB//paaI//zinT//actP//feoA//sucC//tcyJ//ssuA//manA//cynS//rplW//glcF//yrbL//acrF//astA//mdtD//cysP//fucR//rrsE//ydhW//glyA//citG//hcp//glnD//pyrC//betB//ssuD//nanM//astB//caiB//glnD//malQ//srlB//galE//
PhoB-Phosphorylated	fhuE//cysD//hemL//mdtA//yegZ//yaiW//rybA//gspM//cspE//ydeA//tyrB//ybdZ//ptsG//cheB//livH//atoD//yneM//metY//napA//metL//frc//gatY//hflC//csgB//emrK//rseC//rstB//deoA//mgrB//phnC//entC//rpsI//ynfF//phnH//astB//rpsS//emrY//grxD//mdtD//yiaK//dcuR//focA//metF//phoE//malQ//pheM//rutB//purF//dppA//efeU_2//polA//hyfC//pgaC//rrlD//hofC//mntH//sxy//ptsG//hlyE//oxyR//xdhA//
PhoP-Phosphorylated	fau//bioB//hyaF//folE//nuoL//sroD//argP//gltV//ptsI//hofN//caiA//dppF//cyaR//araH//nrdA//raiA//gltD//tnaA//rrfG//cheW//sdhC//torC//yeaE//dkgB//rrlC//livJ//dmsA//rnlB//allE//argT//tsaE//oppA//metI//mntS//alaA//ccmC//hha//uhpC//hydN//napD//lacZ//argO//paaK//bcsZ//gspJ//baeS//marA//hyaF//hyfF//lysA//rplW//glcE//prpD//tadA//cynX//carB//aspC//
PrpR-2-methylcitrate	aspC//casA//hofO//hyaE//lysO//
PurR-Guanine	lacI//fimE//prpD//phoR//cvpA//hfq//dapB//narL//rrfG//iraD//tdcC//artQ//napD//ada//fucA//glyA//paaG//yeiP//fucK//emrK//dapD//yiaL//nohA//cusF//cysP//fixA//glpF//hofM//hfq//cdd//hyfG//norW//manA//argE//
PurR-Hypoxanthine	torD//glcA//glcE//fur//gatB//gntX//pstS//xylG//actP//hyfF//nanK//fucI//fau//cysU//ulaE//feoC//thrS//rrfF//raiA//glnB//yqjI//fnr//ompX//degP//livG//bacA//arfB//argD//mutL//tdcD//hflC//yfbR//purF//nlpE//
QseB-Phosphorylated	ascF//gpsA//ygeA//trpD//
RhaR-L-rhamnose	gltB//envY//
RhaS-L-rhamnose	glpB//nirD//pgaA//glnK//tyrR//phnP//
RstA-Phosphorylated	astC//araG//srlB//nuoI//torR//ileV//gspI//yiaM//ydhY//cpdB//
SoxR-[2Fe-2S]3+ oxydized	yibN//puuC//ptsH//fdhF//
TorR-Phosphorylated	aroH//mzrA//napB//uidB//ahpF//priB//ileV//metR//nagE//manY//
TrpR-Tryptophan	yegZ//yedX//ompT//moeA//fecC//motA//manZ//ilvY//hyfF//ssuB//ygeA//gspJ//
TyrR-L-tryptophan	waaH//nrdG//fucO//casA//lsrA//dcuB//csiE//ydbD//malE//rrfH//uxaB//yhjC//znuC//nuoH//
TyrR-Phenylalanine	ldtC//malF//tehB//infB//rutF//ompX//psd//argC//rimM//yaiW//slt//napD//flhC//atoE//
TyrR-Tyrosine	yaiW//nrdG//sdhA//pdeF//rseA//aaeB//mdh//hslJ//garR//dsdC//casE//secB//borD//rbsB//
UhpA-Phosphorylated	rutF//
XapR-xanthosine	yeaR//hyfI//
XylR-Xylose	mdtC//ykgR//argP//tyrR//purL//argR//
ZntR-Cd2+	glpB//
ZntR-Hg	ygaC//
ZntR-Zn2+	chbB//
ZraR-Phosphorylated	pagP//emrK//stpA//
Zur-Zn2+	ssuB//cydA//hyaD//malE//fucI//fhuB//
