#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	gntP//idnK//norW//tpx//
ChbR-Monoacetylchitobiose-6P	nanS//ybiT//nuoA//baeS//betB//rrlG//
CpxR-Phosphorylated	uhpB//ppiA//yoaC//tonB//hycG//ompW//cysC//fixC//dmsD//psiF//ccmD//glpE//oppB//allE//rrlB//ilvY//lrp//pstB//dkgB//rdoA//narQ//rpsR//prpR//rplW//phnJ//aspA//sufA//tyrP//cydC//gyrA//glpR//yeaE//rrsA//nanK//fucR//phnF//cas1//lysO//gcvP//yiaO//rrfD//dapD//araG//tauC//fliA//sgbU//narQ//pyrD//envY//ftnB//aidB//torR//xdhA//narL//rrsC//rstB//yjjZ//idnR//hdeD//nanA//melB//fecI//fhuA//chiP//gspE//hyaA//yedX//exbD//iscS//
CreB-Phosphorylated	ssuE//ydeM//appC//moaA//hyfF//aceA//argP//fhuA//cynS//
CueR-Ag	hybO//rcnA//ascB//csgA//dusB//nrdE//idnT//
CueR-Cu+	chbC//slyB//glpR//ompC//puuR//casC//metH//
CuerR-Au	paaD//hha//phnF//hycG//sbcC//oxyR//trpD//
CusR-Pasp	glgX//rseA//gspL//yfbR//cpxA//lysO//yfiP//atoA//oppA//tdcF//chbR//nuoN//
CynR-Cyanate	glnK//nuoJ//yhcH//gntX//
CysB-N-acetyl-L-serine	grxC//sufE//rcnB//yeiW//glpE//ynfF//fadB//cyaR//cyaR//puuP//chbR//citF//sdaA//caiA//rhaB//malM//carB//acrB//yaeQ//atoA//hybE//ygbA//rrsA//ccmG//rstA//iscA//yiaO//folA//envY//osmY//
CysB-O-acetyl-L-serine	lldD//ahpF//ccmA//lsrF//feoA//agaA//dapD//icd//ygiA//ung//hyaE//tyrB//sgbU//actP//ssrS//napA//mpl//fucP//uxuB//xseA//sxy//rbsR//hisJ//ahpF//amiB//pncB//metR//artM//recF//aroP//nrfF//
DcuR-Phosphorylated	dapB//phoU//cysW//rrsG//iclR//gntK//fecI//glyA//trmD//
DnaA-ATP	ccmE//preA//rseA//hybA//moaA//casE//entE//rbfA//nanC//malP//alkA//grxD//
DpiA-Pasp	aaeA//argC//fis//glgB//gntU//mgrB//nuoF//rpsC//norV//dppF//alaU//
DsdC-D-serine	yhiD//abgA//ampE//
EvgA-Phosphorylated	dcuS//fumA//cusC//sbmA//fumA//iclR//hofC//fes//rbfA//cheB//dcuC//rof//yqjI//rstA//lsrA//
FNR-[4Fe-4S]2+ reduced	hypA//hybG//rutG//tnaA//livH//mltC//ilvN//znuA//fecB//hyfC//torC//araA//pgk//ubiG//mutY//napB//tdcB//csgD//comR//ugpE//uhpB//hyfA//rdoA//ppiD//hofC//atoE//sucA//envY//fepG//gspL//rseC//metK//metJ//galE//metH//yqjI//prpE//ompC//entD//cynX//gatA//malQ//yojI//nrdE//bglG//rhaA//fimI//aroH//rrfB//ycjF//yneM//yciW//hyaB//aceK//pgaA//fdnI//glnD//gatY//hcr//lldD//rplV//araF//srlA//rnlB//hypB//hypD//ychH//purC//rnlB//ulaB//dpiA//cheA//ptsH//glpA//paaC//zraR//aceF//cysC//xapA//gspK//ackA//tdcB//ilvN//gatZ//chbR//grxD//yiaJ//rrsE//dsdX//rpsP//rstB//yhfA//phnE_2//tonB//purC//codB//ykgR//ebgC//dcuC//hofB//cadC//cpxR//speC//erpA//rrsE//pstS//aldB//rprA//gltF//puuE//glnB//yhhY//phnL//fucK//uxaB//manZ//nmpC//srlD//acs//allD//tam//phoA//phnE_1//cheY//rplV//sufB//csiD//mglB//xylG//cirA//fepG//nohA//lhgO//pck//alkA//xapB//hypF//phoQ//betA//mtlD//phoR//uhpA//fepE//mhpA//fixC//gspI//rpmI//glpK//hflK//hyfB//talA//pnp//tam//aroG//hycE//hflK//sgbH//nirD//iscA//tsaE//fimE//malY//moaD//rrfA//cra//rrfE//trpD//rplT//cueO//phnC//nohA//katG//glnL//ycdZ//melB//nikC//tnaA//folE//lacI//mltC//rpoE//aceA//sxy//ompC//caiB//rybA//amtB//rrfE//purL//ssuA//glnK//cheZ//psiE//araD//znuC//caiF//gnd//rrsD//focA//tnaA//puuB//feoA//sroD//hflC//metR//ompX//nanM//oppD//fecB//csgD//zraP//entB//creB//lldR//allC//ulaE//katG//dcuS//xseA//gspD//glpG//hybG//cydC//caiT//ssuB//ugpA//fucO//phoA//rbsA//hyaB//murP//rrsA//csgG//qseC//fhuD//yegZ//ydeM//fliZ//ompC//malP//napA//exbB//abgB//paaE//nuoI//melB//citC//rnpB//fhuA//xylA//envZ//osmY//citX//hyaC//livM//creD//rpsQ//gcvH//frc//phoP//rpsC//trmD//gspO//ytfE//narX//ulaF//fixC//tauD//znuB//argR//yidQ//torR//hdeB//idnD//crl//cysU//ydhV//carB//rrsE//ulaA//nrfE//hybF//cysA//bamA//rseC//preA//tdcD//casE//gabT//cydB//purA//aroL//dsdX//tsx//cueO//rplV//melA//ysgA//casD//tam//metB//entD//aspC//metR//gltA//
FhlA-Formate	guaA//ompC//mtlR//malG//gspI//citF//aroH//ndh//truB//dkgB//speC//agaV//priB//gspJ//araD//gspE//cspE//ychO//moaC//argP//degP//cusS//evgS//crp//yjeV//ahpF//ycjF//tdcC//rrlB//nuoC//
FucR-L-fuculose-1-phosphate	nrfB//cdd//aaeR//metJ//hyfJ//mhpF//yeaD//
Fur-Fe2+	mntS//sodA//serC//narX//dsdA//rrsB//entA//fucO//gpsA//rhaD//pitA//rplB//agp//fdnH//uvrA//yjiY//appB//argT//ilvG_1//dcuB//zraS//fur//mgtL//feaB//yjcH//livF//nikD//gcvH//tdcC//nrdB//ugpC//phnE_2//aaeA//nanA//phoP//fhuB//hemA//torR//creD//codA//ydfH//lldD//gnd//ychH//glcE//tadA//feaR//cpdB//hybG//modA//thrV//ilvC//rrlA//envZ//cysU//psd//phnI//hha//nrfG//phnP//gltW//ssrS//sgbE//mhpC//zwf//treR//sucD//nuoL//mzrA//bcsA//rpsS//xylA//mntP//chbC//cysH//uxaA//hofC//bglF//lhgO//yecR//fecC//napG//evgS//rrfG//ccmC//rrfF//glpG//csgC//glpR//nuoH//ssuE//nuoM//sucD//azuC//cytR//iscS//hybA//aroF//sbmA//oppA//rplC//phnK//yedX//hyfF//gpsA//ilvI//glpA//talA//phnP//caiD//ybiT//yaiW//hypA//argT//nrfD//tyrP//pstC//fabZ//exbB//xylF//trpR//zwf//torA//cysI//amn//ilvG_2//fimF//dnaN//gspK//rpsJ//hflX//rplD//nuoH//pgpC//cysI//abgA//ilvD//gspO//caiB//glcF//
Fur-Mn2+	feoC//yaeP//pgaA//cheW//uidA//ydbD//trpL//cirA//sucA//phnF//nikD//nrdE//aaeB//hycG//tadA//hpt//tpx//trpA//preA//glgB//sdhC//deoD//cydC//gadB//aceF//kbaZ//pgaB//phnG//cyaA//ampD//torR//artM//agaA//grcA//uidC//hisQ//napC//ydeO//focB//glcF//rrfA//pyrD//nuoM//cueO//sbmC//agaV//metY//ulaF//astE//hdeD//hemL//gntK//nfuA//nlpD//glcC//ydeA//fumC//nanT//araB//tauC//rmf//dmsD//ccmC//zraS//puuP//hfq//aroH//hyfG//hlyE//feoC//fucU//ispE//rrfE//dpiA//gspC//mhpB//tar//artQ//rseC//ilvD//chbG//yoaC//melB//hdeD//osmY//hisM//alaU//nanM//pgpC//fecR//glnK//livG//glyA//ulaF//hcp//dmsC//rnpB//lyxK//dcuC//frdC//ydiU//napG//fepC//phnK//cydB//nrfD//amtB//uhpA//trpA//lamB//mhpF//yfaE//fecR//gatB//ptsG//agaV//bglF//tdcE//micF//mdtD//galS//ptsH//mutY//proP//aer//nuoF//metA//artI//feaB//rhaR//trpC//rnlA//katG//puuE//nrdG//phoE//galP//gspF//hdeD//frdC//
GlcC-Acetate	phnE_1//nanM//nhaR//ytfE//metQ//sodA//cadB//
GlcC-Glycolate	atoD//ybfN//zraS//stpA//rplC//dadA//hycD//
GlrR-Pasp56	mgtA//
IclR-pyruvate	napD//glpD//metQ//galM//
IdnR-5-ketogluconate	caiD//sroD//nanS//dcuD//artP//phoA//mntH//sdhC//
IdnR-Idonate	glpD//ogt//paaH//tauB//aroG//artP//alaT//dppA//
IlvY-2-acetolactate	paaK//galM//
IlvY-Alfa-acetohydroxybutirate	ogt//pgk//
IscR-[2Fe-2S]1+	cysW//ulaD//crl//ubiX//kbl//phoQ//phnL//comR//metF//csgE//gatB//phnD//chbA//cynT//degP//aroP//gspI//aceA//aldA//ccmA//sucD//acrE//cysD//purA//cysU//hfq//sgbU//edd//lacY//iscU//yeaR//metY//hfq//glcE//lsrC//paaK//amtB//lacZ//cusC//fau//rmf//
LldR-L-lactate	aroM//cyoC//uxaC//
Lrp-Leucine	nohA//lldR//dcuD//hypB//pstC//cstA//nikB//tdh//iscU//fdhF//fdnI//fhuB//caiF//tauC//trpE//csgD//hofB//citC//gadB//nanS//rrlE//fadJ//spf//ascF//ssuD//erpA//dsdC//rybA//hybE//tdcD//marR//yhfA//metA//yiaK//hyfG//artP//nagB//modA//ssuC//icd//nac//ssb//mltC//purF//alkA//mgrB//cydD//pagP//mscM//tdcG//fimA//tdcG//grxD//ykgM//bdcA//ybdN//lysO//phnJ//hypA//hyfC//bdcA//ydhV//lldP//pyrD//sgbE//ccmG//uxaA//adhE//ileV//oppD//ilvD//prpD//guaB//carA//entD//ilvY//cyoA//gltU//yegR//galP//hypD//cadA//garP//dcuC//mscM//rpsF//uxuR//carA//acrB//nmpC//ssuC//gabD//frdB//yoaC//hyaE//hycI//cheB//yojI//glnD//rpmC//ilvE//dapD//fhuB//fhuA//yeaR//gabD//
LsrR	entE//gntR//fdnI//ybdZ//fimH//galK//pheT//hslJ//hybA//
MalT-ADP-Maltotriose	csgD//rbsC//pck//narX//yiaK//mipA//ytfE//tauB//tauD//tdcF//
MalT-Maltotriose-ATP	rrfC//mntS//galP//metH//gntU//cheW//fadJ//tcyJ//paaI//tnaB//
MelR-Melibiose	rpoH//ompA//nuoL//
MetJ-S-adenosylmethionine	xdhB//fepG//argE//srlR//pepT//prmC//chbG//araD//fliA//glrR//hybG//ssuA//ssuC//dnaN//ogt//
MetR-L-homocysteine	fepA//gspI//deoA//rplT//fdnG//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	azuC//paaI//acrA//tyrP//hybB//ydhV//
MhpR-3HPP	ydhY//ynfE//nrdA//iscA//gnd//ptsI//
MntR-Cd2+	cysP//pdeF//ydhX//dadX//csgB//
ModE-MoO42-	rutC//ykgM//puuE//tauC//soxS//cynR//rpsJ//yjeF//cheY//metF//hisM//rstA//uvrA//livG//treC//abgA//casC//sufD//rpsC//dcuR//fecE//rpsJ//kbl//rplP//mutY//argG//bcsA//hypB//yeiB//malY//ilvM//caiT//hemA//hypC//udp//envZ//ubiG//ccmB//alkA//pstB//murQ//yiaN//tyrB//cyoA//fecE//rhaA//
NarL-Phosphorylated	phoQ//micF//evgS//acrD//metI//puuA//gspC//purL//ung//rmf//talA//gdhA//fadE//mtlR//argT//entF//ychH//ccmG//argH//fecI//uxuA//idnK//ydhX//rrsB//ygaC//rrlH//yciW//yjeV//mntS//gltF//evgA//ychH//dcuD//xylF//allE//gatC//adhE//ydhX//ssuE//preT//napB//metJ//rstA//cheR//qseB//evgS//rplV//nupC//feoC//caiA//glcF//nadC//cheR//livJ//fhuE//tyrA//dps//trpE//cpdB//lolB//uhpC//ydhT//yjiY//preA//evgA//nagB//trpE//cpdB//priB//alaS//phoH//cheB//zntA//cusS//tauA//ihfA//preT//ssuA//xdhB//argA//creA//creD//cysK//ssuE//evgS//phnG//rrlH//lacI//katE//cysW//metK//nrfD//argA//ebgA//uhpA//trpB//aroH//efeU_2//mgrB//thrV//fis//pstS//gltB//rrfB//hyfJ//fepC//nirB//rimM//phoQ//tdcF//cstA//rpsI//fhuD//ompT//hybG//narL//artQ//yqjA//lysA//glyA//sxy//phoU//slyB//nuoB//grxC//
NarP-Phosphorylated	cra//mgtA//alkB//ilvN//hofM//cdd//yfaE//rrlH//rpmC//abgB//csgA//ydbD//rbfA//glpB//ydhY//glpB//yqjH//evgA//hydN//yfdX//rutB//gpsA//yaiW//idnT//cheA//glnB//dmsB//nagC//rplC//prs//melA//nanM//cynS//iscA//aceF//ascF//gadB//paaD//fepE//cydC//ilvD//napC//bioD//pgk//casC//uxaA//araD//hflD//feaB//rbfA//
NhaR-Na+	araE//sucD//pitB//alkB//glpA//aceA//entE//
NikR-Cd2+	norV//napH//narK//ileT//entS//prpC//
NikR-Co2+	flhD//yciW//dapB//sdhB//mcaS//cynX//
NikR-Cu2+	cusA//tauD//sbcD//idnT//phoB//allD//
NikR-Ni2+	metQ//zraR//dsdX//gltW//argC//nrdI//
NikR-Zn2+	nanC//hofM//cadB//cpxA//ampE//hflK//
NrdR-ATP	fadJ//betI//cynS//soxS//gltA//cstA//gspJ//metR//hofC//
NrdR-Zn2+	hyfJ//yecR//tauD//purE//tehB//aaeX//metJ//gltB//glgB//
NrdR-dATP	phnP//ppiA//nlpE//trpR//evgS//mntP//oppD//sufB//nrdH//
NsrR-[2Fe-2S]reduced	glpQ//argF//ebgC//nuoK//nrfG//casE//nagE//arcZ//glpQ//ulaE//nrdH//tdh//creA//glpX//paaH//nanS//cadB//sgbU//lsrB//mpl//tyrP//rnhB//ybdZ//hmp//iscS//glmY//pflB//yiaM//nuoG//nuoN//modB//oxyR//hyfG//uidA//tauD//fdhF//hisM//borD//edd//fdhF//qseC//livF//cspE//sufD//nagB//cusR//rimP//uhpC//puuR//aaeR//ptsH//mtlD//ilvC//cysN//napA//ileT//glpG//arcA//fliA//casE//caiC//ebgA//nohA//lyxK//putP//narJ//yfiP//nrfC//entS//dpiB//rpoH//narJ//phnG//
PhoB-Phosphorylated	ugpC//fabZ//stpA//sodB//metA//grxC//caiA//glpE//ybdZ//cyaA//feoB//rnlB//nirC//ulaD//gspJ//mzrA//ccmA//glpB//sgbH//comR//nuoM//aaeX//pgaD//cheA//ampD//tnaC//tauB//deoD//cyaR//ygiC//cusB//argE//metC//agp//thrS//glrR//alkB//pgaC//ybdN//arfB//glcA//yfiP//pnp//hyfR//trpD//abgA//citX//ydeA//treB//cysG//bcsA//rutA//sucA//ynfE//paaC//yiaN//mglA//hyfC//yrbL//astE//purA//
PhoP-Phosphorylated	nrdI//argP//hybB//polA//entF//cirA//paaH//aldA//rprA//hofN//puuP//nuoN//cheW//rpsQ//ivbL//osmY//entF//rplW//malT//prpR//rnlA//rplS//osmY//tdcF//cysM//napF//fdnH//lsrD//uhpA//folE//lsrD//paaB//acrB//cspD//oppA//glcC//ycjF//metA//csgC//tdcD//cynS//puuB//livH//tadA//dgcZ//gabT//hycI//prmC//chbF//fdnI//fimE//xapA//norR//guaA//prpD//pstC//moeB//
PrpR-2-methylcitrate	mhpD//rhaD//yegR//putP//rpmI//
PurR-Guanine	malG//cas1//fepA//udp//nlpE//nagE//yqjA//ilvC//appX//hcp//gatC//fdnG//ulaE//atoD//citD//rpmC//gntR//phoA//casC//argI//rimP//hofM//moaE//torC//fepD//dsdC//fliA//gadC//ilvY//yjeV//mhpD//dppF//rhaB//hypA//
PurR-Hypoxanthine	phnM//cadC//yiaK//ada//manX//ampD//cydD//phoB//phoU//glcE//purF//bioC//lysP//artJ//moaE//rrfC//chbG//tomB//yegR//rutA//aroP//ilvA//skp//hfq//ilvA//cyoE//betT//napB//mutY//hofM//baeS//appA//rimM//trmD//
QseB-Phosphorylated	gltD//fadD//rrlD//ilvG_2//
RhaR-L-rhamnose	yegR//rbsB//
RhaS-L-rhamnose	degP//acnB//zwf//argH//moeA//lpxD//
RstA-Phosphorylated	rnpB//soxS//fnr//yeaR//yaeQ//metB//hycE//nrfE//fimC//ubiA//
SoxR-[2Fe-2S]3+ oxydized	fnr//rimM//mipA//polA//
TorR-Phosphorylated	tdcD//hyfD//xseA//napG//csgA//yfaE//prmC//ilvC//abgT//manA//
TrpR-Tryptophan	hofC//frdA//dapB//hyfC//cusF//ppiD//gspD//nrdA//ubiX//caiC//aspA//ompT//
TyrR-L-tryptophan	ldtC//argF//trpA//pnp//murQ//malI//rimM//tdcF//yhiD//creD//tcyJ//lldR//gutQ//appC//
TyrR-Phenylalanine	glnB//flhC//nupG//cyoD//alaA//ydeJ//yfdV//leuE//tdcC//feaB//phnK//rutD//nagB//garR//
TyrR-Tyrosine	tnaA//uxaA//dnaA//uvrA//dpiB//hyfG//gpsA//nanK//comR//moaE//mlc//malK//gltF//fixA//
UhpA-Phosphorylated	caiC//
XapR-xanthosine	hyfF//phnP//
XylR-Xylose	oppC//srlR//rbsA//fiu//chbF//ftnA//
ZntR-Cd2+	tktB//
ZntR-Hg	paaA//
ZntR-Zn2+	gltW//
ZraR-Phosphorylated	fepD//rof//uvrA//
Zur-Zn2+	rhaD//moaA//alaV//dctA//metR//gltU//
