#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	flhC//trpD//fadI//baeS//
ChbR-Monoacetylchitobiose-6P	dapB//uxuA//spf//nanE//malT//csgF//
CpxR-Phosphorylated	metL//hycC//pck//glnB//caiC//galS//trpB//rprA//xdhB//fepG//emrY//ompA//folE//dmsB//fdhF//cvpA//dmsC//gltA//aroM//casB//gltT//ccmC//srlA//treC//sufA//hycD//amn//nuoK//alaV//dcuC//nagC//gatY//sucC//csiE//araB//fecI//hycA//rrfG//bglF//rpsF//gspK//araE//nuoB//glgC//glpK//nagA//phoQ//rrsG//ubiG//ompA//ssuB//napC//znuA//gabP//nirD//actP//borD//cysG//purK//frdC//oppC//psd//spf//katG//artQ//hybA//fhuD//sodB//feoC//
CreB-Phosphorylated	xylG//glpR//rutA//rhaB//narQ//cusS//yaeQ//uxuB//phnJ//
CueR-Ag	manZ//rybA//gntT//malT//grxC//malI//hflK//
CueR-Cu+	dapD//sodA//acnA//ssb//purK//sbmC//gutM//
CuerR-Au	rrfH//rplI//dps//dsdA//cbl//borD//sufA//
CusR-Pasp	torD//treC//frdD//mtlR//qseB//codA//tsgA//purH//yhjA//yaiW//lrp//cysG//
CynR-Cyanate	astE//yjeF//hyaC//murP//
CysB-N-acetyl-L-serine	gspK//tolC//chiP//cvpA//napF//tnaB//rrlH//nuoF//hybO//malK//lacY//phoU//feoB//csgB//talA//glpF//phnK//aidB//rof//hybO//hyaC//fldA//uhpB//fixX//glmY//ampD//ccmA//fhuE//arcZ//sufD//
CysB-O-acetyl-L-serine	malX//rplS//mdtA//feoC//tsgA//nirD//casB//lacA//nuoA//feoA//puuR//iraD//cheW//gspD//ydeM//ygaC//feaR//prpR//fucK//bioA//ynfG//pgk//nrdF//frdB//hemA//ldtB//icd//ybfN//metE//ygiA//spy//
DcuR-Phosphorylated	ompC//pgpC//oppD//purD//srlB//yjeF//yojI//dppA//iscU//
DnaA-ATP	yqjI//glyA//gcvT//dmsA//hyfA//fadL//betB//ccmB//proP//nagC//mglA//yhiD//
DpiA-Pasp	slyB//ulaC//hypA//hyfB//mepH//yhjC//rpsP//cpxA//paaK//bcsZ//gltU//
DsdC-D-serine	dcuD//abgA//lhgO//
EvgA-Phosphorylated	nrfD//lacZ//metB//glnA//pagP//dmsB//nuoC//ubiC//ompA//rrlG//ilvM//zraR//chbB//secB//oppC//
FNR-[4Fe-4S]2+ reduced	aldB//hypB//atoD//araE//gatB//pflB//efeU_2//nohA//napC//araA//prpC//nrdG//ulaA//yibN//aaeA//gatD//glpK//hyaB//lsrC//ileV//yiaL//phoB//cydC//skp//zwf//torD//puuR//narQ//mcaS//rutA//gspG//narH//nrdI//iscA//cbl//fepB//tktB//aspA//tfaQ//envZ//yqjH//betA//csiD//rpsC//hisP//dcuA//miaA//tnaB//tomB//fes//nagE//paaI//mglB//ssuC//gatB//hyaD//uhpA//fliA//ugpE//betB//fimH//paaK//umpH//patZ//torD//tsgA//malI//crp//rrfD//malS//pgaC//galP//hyaD//lldR//yeiW//sgbE//rutD//ssuE//purC//nrdH//agp//uxaC//marB//cytR//mntH//gcd//dcuS//ptsG//livK//fdhF//tcyJ//glnB//fepG//yeaE//bcsC//cusS//metI//puuE//tdcA//glnB//ebgA//grcA//hupB//tdcC//aroF//bhsA//phoB//bioF//sufD//nanC//nuoH//xylF//dpiA//ydbD//murP//glpE//argA//cueO//upp//pgaC//gspD//fadB//ileV//fucU//dapB//fixX//puuD//cynT//cysU//rpsS//fucK//mpl//hycG//ykgR//entF//puuE//tam//pck//yjiY//dps//cvpA//prpD//nrdB//lacA//cytR//infB//cyoD//argR//tauD//bamA//metQ//tdh//fimH//bioA//norW//chbB//narI//paaF//rseB//yiaM//pheS//manZ//yegR//abgB//eda//glpX//hycE//fumB//uxuB//dnaN//aroA//aaeX//malK//fepG//casB//aroA//tyrA//dppB//gspC//cvpA//amiB//fhuE//lpxB//hofN//cyoA//appA//napA//nuoN//pgaC//nikA//gntK//fis//fixX//cysW//hslJ//hcp//astE//rbfA//betB//cbl//yiaN//gutQ//hupA//bglB//cstA//tsaE//ydfN//fadH//mhpA//cysC//chbB//malE//hyfE//rrlA//cydA//metF//agaV//ydhY//zraR//bioC//ycjX//hemA//folE//bcsA//gltU//atoD//napG//srlR//pitB//rhaR//lpd//yaeQ//tam//murQ//xapB//puuD//mipA//dcuR//nrfG//dcuR//paaZ//purE//cydB//nohA//argE//betB//glpK//atoD//citE//uhpB//cheW//alaS//idnK//hha//csiE//livK//nanE//ahpC//fimA//adiC//stpA//rutB//actP//phnL//gyrA//trmD//gatZ//fadH//fadD//metY//pheM//tap//glyA//ybdZ//ubiC//chiP//nrdE//rrlC//fhuF//ynfE//hyfC//atoE//aceK//nlpE//caiD//hyaF//idnD//bioA//bioA//pstB//spy//livG//fhuC//mhpF//lsrG//nrdI//aidB//oppD//hslJ//truB//nanM//tsaE//rrfD//mglB//xylH//
FhlA-Formate	araB//argB//bcsC//hycE//actP//tomB//nuoL//ydbD//ygiB//nadC//gspL//yggX//narI//yfdV//yfaE//tyrP//hypB//rrsH//argB//ydhX//waaH//metB//nikA//ssb//ykgR//napB//fau//tsx//fadA//cadC//
FucR-L-fuculose-1-phosphate	hofM//actP//modC//metE//proP//oppC//ftnB//
Fur-Fe2+	rof//hmp//ileT//metA//argP//crl//chbC//hemA//ydhU//lpxA//ilvI//hyaC//yibN//fucP//ccmH//glnK//rseB//nanM//yfeW//glmY//guaA//dppB//talA//gntR//yhjA//grxD//hycB//ygeA//xylF//bamA//caiB//lacA//ycdZ//purD//ftnB//csgC//lhgO//ileT//pheT//gspD//patZ//slyB//aldB//ileV//sgbU//gspH//psd//nuoF//entB//ycdZ//rutC//phnE_1//uof//truB//sroD//moaA//hybE//focA//ydeP//cytR//trpR//cpxR//mdh//ppiD//dppA//nrdG//hyfJ//mglA//ilvB//stpA//tomB//ynfF//purF//purD//fecA//purR//caiE//gatZ//dadA//paaB//malF//psiF//mhpF//bcsZ//glnD//rnlA//ndh//rpmI//alaU//cstA//dkgB//lysC//uhpA//hyfD//rseA//ydhT//mgrR//cadC//ulaE//csgG//aidB//phnO//psiF//sufA//oxyR//rhaA//tnaA//aroF//glcE//psiE//pstB//fecR//atoE//nadC//waaH//ompR//hybC//hisJ//ndh//pncB//gltU//rrfF//uvrA//ilvB//puuC//casB//argG//ykgM//uhpA//nrdH//mdtA//allC//fecC//hdeB//folA//soxS//melB//idnK//mhpE//yoaC//
Fur-Mn2+	gntU//yegR//aroA//tdh//yfaE//yggX//ompF//lrp//rbsR//prfA//cynT//paaG//nrfC//rrlA//csgC//yegH//guaB//nanE//cyaR//dkgB//marB//manY//glnD//mltC//mntP//rrlA//polA//ppiD//rbsB//tyrR//fumC//arcA//hdeA//rstB//yfiP//metN//murP//cusA//nfuA//phnC//ppiD//grxC//napC//ahpC//napG//argP//grcA//nikC//csgF//alaS//moaA//upp//putP//cyoC//serA//srlB//rdoA//yibN//patZ//dppF//glpF//fixC//sucA//gntR//ilvD//fadB//pstS//aaeX//moaC//gadB//feoA//oxyR//rpsR//cusA//rrfE//gcd//cynS//bamA//alaS//csgB//rrsC//fadL//fimG//ccmF//infC//paaE//fimH//puuD//chbC//marA//appA//araG//focA//gdhA//cysK//rhaD//gltF//trpD//osmC//rhaA//malP//csgB//yhjA//glpC//gspM//ydeA//cra//betB//zntA//tyrP//cyoC//upp//rrfC//rrfF//bioB//gatZ//hcp//metR//fhlA//tdh//sodA//lsrG//ygiA//hycB//nagE//cdd//frdA//rrfF//mzrA//yhjC//fliA//hofC//ryhB//araH//rrfD//phoU//argO//gdhA//upp//sdhC//
GlcC-Acetate	efeU_2//cydA//hofP//cysW//fadI//abgB//hlyE//
GlcC-Glycolate	cusA//bioC//hofM//gatD//phoE//pta//bamA//
GlrR-Pasp56	glcD//
IclR-pyruvate	uhpC//prpC//nadC//atoA//
IdnR-5-ketogluconate	qseB//phnG//fnrS//malZ//dsdC//cytR//nirB//rhaB//
IdnR-Idonate	trpL//purC//srlA//ccmF//lhgO//ydhT//hyaE//pstS//
IlvY-2-acetolactate	cydC//araH//
IlvY-Alfa-acetohydroxybutirate	bioF//mhpR//
IscR-[2Fe-2S]1+	oppC//hcp//tauC//gspJ//ompC//malP//tdcC//fadD//hslJ//dcuA//cysC//oppB//argH//csgE//osmC//purN//ydeN//citE//yaiA//aroG//ycjF//efeU_2//garP//ugpQ//dsdA//lacA//zinT//fbaA//pgaB//dcuD//ahpC//creB//trpC//hha//livH//malT//fis//fadI//trpA//pheT//creB//
LldR-L-lactate	hflX//malF//yjiY//
Lrp-Leucine	uidC//dcuS//tdcA//ahpF//atoD//csgG//bhsA//yoaC//modB//moaC//malM//gntU//cas1//ackA//rpsQ//motB//melB//rnpB//glcG//ygaC//crp//ygiA//astA//gadB//ssuE//ccmB//yoaG//ydbD//amiB//gatD//rplC//rseA//fhuE//ygiC//cas2//rplM//phoQ//iscS//ccmE//cysG//cysM//yedX//narK//fiu//citC//patZ//ampE//uidC//yjeF//livM//yaiA//napB//trpR//ftnB//gcvH//ybjG//hflK//iscR//yeiB//torC//psd//ysgA//soxR//csgE//yhjC//lysP//hyfI//betA//tauB//atoA//qseB//purD//nrfF//rpsI//baeR//yeiL//rrsD//glnL//uidA//hyfC//cheB//gltW//xseA//galM//xylA//copA//fadE//rpsO//preA//glnD//ychO//entH//mgrR//allE//hycH//phoH//ssuC//caiD//lpxB//tsr//malX//mhpC//ybdZ//argP//speB//gspF//
LsrR	ptsG//yiaN//rbsR//cysU//fhlA//rrfF//aroM//deoD//lyxK//
MalT-ADP-Maltotriose	iclR//amn//paaA//rutC//infB//ccmE//ykgR//gapA//xylB//ydhY//
MalT-Maltotriose-ATP	tadA//cysN//ldtB//sucD//ompF//yhjA//fecI//rstB//metI//phoU//
MelR-Melibiose	fimA//glpQ//glpB//
MetJ-S-adenosylmethionine	ppiA//zraP//folE//hypC//znuB//tdcC//hyfB//phnM//ydhV//hypC//agaA//norW//dmsC//rrlA//cstA//
MetR-L-homocysteine	mglC//ftnB//rutA//ubiA//gutQ//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	rpsF//folA//tauC//aspC//sgbU//tdh//
MhpR-3HPP	lldP//cusF//agp//deoD//nanM//atoE//
MntR-Cd2+	cyoC//ompR//mtlA//hfq//metL//
ModE-MoO42-	tolC//tnaC//cheR//nuoJ//bglF//gatZ//astB//nagB//guaA//ptsI//lpxD//lsrD//yeiL//slyB//fecB//focA//csiD//aspC//norW//gntT//prpD//xdhC//manA//gapA//priB//malS//rrfC//tdcE//rrsD//mhpC//yiaJ//hyfH//nanE//purL//ansB//cyoB//ung//aceE//paaA//tyrR//nirB//moaC//nuoA//livK//fdnI//nuoK//
NarL-Phosphorylated	astB//ybdZ//dadA//torD//bcsC//glcE//gcvH//puuP//lsrF//csgG//yeiP//ptsG//lrp//cusR//dctA//nrdA//melR//cspE//eda//rnlB//nuoJ//ssuA//idnR//emrK//glpG//gcvT//appB//hisQ//argO//modA//astE//hofB//ugpC//alaA//acs//cydD//narG//melR//fimA//ilvM//yeaE//tehB//rplD//ascF//dnaA//ydhU//srlE//agaV//ihfA//alaT//focA//yeiB//artM//rbsC//aroP//araH//gspI//xdhB//nanS//cyaA//citX//lldP//dctA//dppD//glnG//yrbL//hyfD//uxuB//ygiC//artJ//narJ//sbcC//ogt//ampD//alkA//tauD//hycE//envZ//creC//hypE//ampD//ccmC//casA//rplD//idnR//paaC//dsdX//agaV//atoE//metC//ebgA//malS//ilvY//ysgA//lacY//yeiW//purC//lpxD//talA//ccmD//acrE//yhfA//fis//avtA//bcsA//malG//nrdA//rpmC//ydfN//dsdA//hemA//cadB//rpsF//alaV//leuE//dmsA//prfA//rrsH//rpmC//chbG//dcuC//cusS//pgk//acrF//yiaJ//
NarP-Phosphorylated	tyrA//puuD//osmC//trxA//tsgA//hisM//mgrB//fadE//nuoE//ykgR//cysN//napF//fldA//metA//oppD//gabP//malF//hdeB//cheW//entB//tdcE//marR//stpA//yoaG//allE//cvpA//feoC//rrlE//entE//ccmE//paaG//ykgO//dapB//gltV//tap//ilvC//ompR//rutE//sdhD//casC//mdtD//xylB//rrsB//araB//fecI//ydeP//csgD//mlc//fepB//yeiB//
NhaR-Na+	rseB//moeA//metI//glpB//nanC//yeaE//ysgA//
NikR-Cd2+	cydD//tehB//grcA//carA//napB//bcsZ//
NikR-Co2+	modB//murP//nikC//rrfC//ccmB//fnrS//
NikR-Cu2+	fabZ//fhuC//malE//dnaA//phnL//znuC//
NikR-Ni2+	nagB//ydeM//sgbU//aaeA//agaA//tnaB//
NikR-Zn2+	nusA//paaG//ygiB//csgB//iscA//rhaA//
NrdR-ATP	ahpC//creB//yrbL//trg//torC//mpl//cyaR//yfeW//znuB//
NrdR-Zn2+	xdhC//ileT//secB//caiC//narK//malX//ndh//nlpD//fecB//
NrdR-dATP	yqjI//ccmH//glcB//argF//bdcA//hfq//gltT//cyoC//rnpB//
NsrR-[2Fe-2S]reduced	csgE//trpA//rutG//carA//moaE//gcd//melB//rplB//rprA//ilvM//yqjI//gntP//bhsA//uxuR//tpx//cydC//ygiC//tdcC//nuoC//rbsC//hflK//tdcE//gutM//cydC//pitA//phnI//prpE//rrlH//iscA//mzrA//rbsC//degP//metK//gcd//sbcD//livG//lpxB//yegH//dmsD//lamB//putP//mntS//fecD//puuP//lsrA//puuB//nirB//rprA//ssrS//betI//napB//fadA//malT//puuP//acrF//paaG//ynfK//mdtA//ilvD//gltU//melB//nanM//fhuB//zinT//phnE_1//soxR//emrY//mtlR//ssb//purL//napH//cysG//ssuB//
PhoB-Phosphorylated	iscU//pgaA//tonB//glgP//rpsC//mhpA//yjiY//bacA//mhpD//infB//dmsA//sufA//hyaE//glcB//cyaR//flhC//cusB//rbfA//cadB//iraD//eda//fumA//glnG//aceB//ynfH//tauB//cysN//dps//ydhV//narJ//nagC//livK//mpl//acrF//carA//ygeH//prpR//rpsJ//torR//ebgA//mhpA//hyaF//glpF//tauC//ydhY//livJ//mhpA//rpsC//ygeA//yqaE//purM//fadJ//nrdG//avtA//ynfG//amiB//lysU//ydeM//argO//astA//fucO//
PhoP-Phosphorylated	metJ//rbfA//osmC//edd//rpsO//rbsK//aroH//narG//cysA//hofN//mglC//rrfD//nanE//rrlE//garK//purN//mlc//cytR//gspK//napD//creB//infC//cyoA//fdnH//ompW//hycF//mscM//uxaB//rpoH//lsrC//fucA//phoU//fis//prs//hyfF//xylG//phoP//hybB//cysA//hybF//amn//uof//hyaE//moaA//lacY//rrfA//codB//rstB//amn//xdhA//gntP//norV//nuoL//metK//ssuE//fur//fecA//
PrpR-2-methylcitrate	amiB//malM//narL//moeB//cbl//
PurR-Guanine	micF//trpR//idnK//aspA//lpxB//arcZ//ldtB//gltV//ulaA//hycH//metA//ompF//dps//comR//mdtA//uidC//rrfE//tdcC//fumA//fliZ//rrlD//gntU//entF//nlpD//napF//glcC//frc//tcyJ//folA//gspF//ubiG//chbR//recF//yaiA//
PurR-Hypoxanthine	rhaD//pdhR//yqjH//grxD//xylF//acnB//fucA//nrfG//allC//fdnI//rbsD//glpF//malK//hcr//cysC//fadL//uxaC//fucU//nrfD//cheW//nrfB//cysB//nuoK//tdcE//paaC//sodA//norV//yjjZ//napG//gcd//crp//azuC//narL//metR//
QseB-Phosphorylated	murQ//betB//torA//rutA//
RhaR-L-rhamnose	yciW//rimM//
RhaS-L-rhamnose	ygiB//melA//rmf//leuE//baeS//dsdA//
RstA-Phosphorylated	raiA//fliA//gatD//kbl//nadC//dppC//glgA//ackA//hslJ//puuB//
SoxR-[2Fe-2S]3+ oxydized	lysA//bamE//rplD//gspH//
TorR-Phosphorylated	trpL//rpsP//cyoB//serA//ydhW//gspD//hflK//murP//yecR//fucO//
TrpR-Tryptophan	manZ//hyfD//rplD//napD//manY//ubiC//yiaN//malX//nlpD//creB//gspI//ivbL//
TyrR-L-tryptophan	galS//glnG//metN//dppC//glpX//pflB//srlD//glnL//pgpC//araC//glcA//acrA//melR//atoA//
TyrR-Phenylalanine	idnT//oppC//nuoC//glpC//atoD//nrdA//yhfA//tyrR//ccmG//gabP//nuoN//malG//metQ//sgbU//
TyrR-Tyrosine	miaA//lhgO//manA//aspC//hyfA//pstS//cusB//cynX//sucC//icd//kbaZ//gatC//znuC//motA//
UhpA-Phosphorylated	uxaA//
XapR-xanthosine	csgF//appA//
XylR-Xylose	fimI//bamE//yfdV//cysU//preA//rplI//
ZntR-Cd2+	ahpF//
ZntR-Hg	fliA//
ZntR-Zn2+	tar//
ZraR-Phosphorylated	hofP//xseA//tomB//
Zur-Zn2+	hyfG//epd//dkgB//fepC//lysC//trmD//
