#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cydC//gltU//galK//cynS//
ChbR-Monoacetylchitobiose-6P	ydeM//cysI//rstA//bioB//exbB//glpX//
CpxR-Phosphorylated	yidQ//tdcD//chiP//mutL//dmsC//tsx//mutL//arcZ//micF//nirB//ileV//lysP//rbsK//fecR//rrsC//aroP//paaH//mntH//hycH//gspL//yeaE//bioB//fecR//oppD//priB//hdeD//fumA//proP//narH//napA//rbsC//cyoD//nikD//abgT//gatD//glpE//tolC//fhuD//yebE//glpF//exbD//gatB//glnK//guaB//araA//paaD//citE//alaS//carB//araF//lacA//lacI//narG//ahpC//yeaE//yeiP//alkA//folA//oppF//lpxA//caiA//gabD//hyaB//norV//lsrA//rrfE//rbsC//gabT//xylB//
CreB-Phosphorylated	dppD//hybD//pitA//hflD//allD//sdhC//malT//puuR//hofB//
CueR-Ag	fhuD//dadX//aroL//yiaL//ykgO//oppB//yfbR//
CueR-Cu+	nhaA//phoQ//yebE//dsbA//creC//argE//ldtC//
CuerR-Au	iscA//nlpD//gspO//cysG//ybdN//micF//bcsZ//
CusR-Pasp	dnaE//lsrC//fecR//torC//rbsD//fhuF//treC//araG//ssuE//metC//yhjC//xylG//
CynR-Cyanate	ssuB//ptsH//erpA//fecD//
CysB-N-acetyl-L-serine	mdtC//purE//frdC//gspD//rpsJ//epd//ydeA//treR//ygaC//ileV//citE//caiD//araA//safA//hybF//ssuB//nikR//artQ//artI//fucA//alaT//osmC//pgaB//dsdA//trpC//bamA//ychH//rutD//dpiB//acrD//
CysB-O-acetyl-L-serine	rplM//purB//bioA//manY//gltF//ysgA//gntT//ulaE//gspK//fadL//glpE//phnL//garL//dsdX//purA//ppdD//uhpB//hha//hybD//lldR//map//zntA//rrsH//artM//fepG//lacZ//soxR//rybB//treR//ppiD//appX//
DcuR-Phosphorylated	lacA//hcr//glnD//araD//ubiG//mhpT//ydeJ//glnB//modC//
DnaA-ATP	rstB//metC//metH//dppC//garP//hycB//narL//nuoM//mltC//rutF//rnpB//cra//
DpiA-Pasp	rrlE//tsgA//metR//map//rrsB//sdaA//tauC//ccmF//ssuE//phoA//metH//
DsdC-D-serine	ynfK//glgA//sufS//
EvgA-Phosphorylated	grxD//fixB//truB//cadA//abgA//ydfH//acrB//frdD//sdhA//nlpE//gltD//mhpA//tcyJ//gcd//tauB//
FNR-[4Fe-4S]2+ reduced	napD//entE//frdC//tnaB//mgtA//nuoH//ldtC//mgtL//yaiW//acnA//sgbE//speA//rpsR//cadB//zraP//tpx//gltA//hyfB//xapA//mhpF//uvrA//nrfB//paaE//ung//arcA//phoB//rplS//ssb//ahpC//hypF//katG//alaV//mgrB//sucD//yibN//idnT//dmsC//rbsR//srlA//gspL//allD//ilvE//sxy//hycG//mhpT//tomB//fecB//hflX//cspE//ydhV//mzrA//efeU_1//caiF//phnC//csiE//phnE_1//gyrA//nmpC//casC//rutE//melB//rrsC//glgX//yaeQ//phnH//hemL//yggX//malF//rcnB//hpt//nanE//pgaD//mgtL//rbsA//ihfA//hybE//cysH//artQ//fis//tar//ispE//spy//ilvY//artJ//glcA//glcA//tfaQ//gltA//appY//yciW//fimF//marB//qseB//glgB//rrsA//norW//gabD//ascB//ydfN//metE//purR//cueO//fdnH//citD//hyfC//nuoH//nanA//yfdV//purA//fucP//acrE//fumC//ccmD//rdoA//ptsI//rseA//nrfF//deoB//cheA//uidA//focA//galS//cspD//pflB//fixB//actP//marR//hdeB//guaA//pheT//fis//ydhW//gadC//paaK//galP//udp//grpE//tauD//katG//ompF//tehB//glmY//ssrS//sbcC//malG//lhgO//chbA//phoU//gltA//gltB//xylR//phnI//pagP//ldtC//rpsI//baeS//nuoJ//cydB//erpA//araA//hyfF//ugpC//galT//hypD//acs//lsrR//phoE//yaiW//rybB//cydA//hycC//skp//yeiL//sufB//galK//ahpC//ilvA//oxyR//aroL//ilvX//ycdZ//araG//yaeQ//nrfE//ompC//cyaR//fis//umpH//ydhY//moeA//ilvG_1//nlpD//astB//ileU//degP//rhaD//puuA//csgA//phoQ//fixC//appA//nuoK//mutY//metY//galP//yjiY//gatZ//moaE//malT//prpB//pdeF//aroM//prmC//focA//aceK//carB//yhiD//ssrS//moaC//cyoC//zinT//yqjI//fucO//nanK//glpA//ydhU//fixC//hyfJ//glcB//acrE//ascB//cadB//lpxB//argP//tehA//ygiA//idnT//udp//srlR//rcnA//sxy//purR//glgP//feaR//idnR//hdeD//phnP//actP//cysG//paaE//fdnG//azuC//ychH//amiB//cysA//yqjI//modA//rplP//bcsZ//sxy//fimC//lsrF//fepC//nuoJ//ssuD//malP//motA//abgA//tyrP//sdhD//ileV//hflK//csgF//uraA//hypD//ykgR//casD//phnM//yfiP//ilvA//yiaM//oxyR//agaW//pheM//codA//aroF//bglF//metB//arcZ//ykgO//ppiA//motA//recF//rseB//acs//argH//phnF//entB//ynfG//rpsJ//codB//hslJ//yccA//livH//tdcF//
FhlA-Formate	rplT//ssrS//nrfE//ulaA//rnhB//rrlH//nikR//metI//modA//lldD//fadA//astE//trpB//hlyE//prpC//livF//appX//gutQ//pck//nanE//sxy//ung//allC//hflX//fadI//agaA//glpK//fhlA//dadA//hisQ//
FucR-L-fuculose-1-phosphate	rrsE//ompR//puuB//yhfA//yfdX//astC//phnF//
Fur-Fe2+	gatY//nrfA//hemA//fucP//nikB//hflD//caiF//pflB//phnG//speA//casE//exbD//astC//alkB//cynS//lpd//fecR//mhpC//gabD//ryhB//gspO//nuoN//cusS//oppA//ilvH//yecR//tonB//fixC//puuC//phnJ//rrsA//soxR//aroL//tnaC//uxuR//fumC//creD//dpiA//ompA//sdhB//grxC//idnK//nrfG//gabP//ulaB//bcsA//astC//ileT//narK//dps//ahpF//cvpA//dadA//nrfC//ydhT//rstA//efeU_1//aceB//marA//fepB//ebgA//slt//yhfA//ugpE//yhiD//ilvM//rpsJ//nrfB//nikE//soxR//yegR//deoA//rseA//nrdI//puuE//nuoN//creB//yciW//rplD//uhpA//abgB//gltT//ileT//nadC//hyfG//gntK//dmsB//alaU//rmf//fiu//argB//glcC//prpC//cheB//tfaQ//sdaA//nrfC//ompT//bdcA//entH//mgrB//ygbA//rrlC//alkA//ydhU//ptsH//artM//garR//rrlH//argP//gltW//yfeW//hofP//fadA//gyrA//glpX//malS//paaA//mpl//rpsC//guaA//dgcZ//glpD//bglG//hisM//cas1//nlpE//ybdZ//prpB//fadB//hofB//puuB//tdcB//glcD//ompT//fdnI//hisJ//glnK//gspH//lysP//
Fur-Mn2+	ldtB//glgA//nikE//envZ//modA//nlpD//feaR//nrfD//rhaB//glcD//garR//gspC//rybA//moaA//abgA//lsrF//deoD//mhpD//rplM//ydhU//mtlD//cyoC//caiC//gntT//yhjA//fhuC//allC//mgrR//folA//psiE//malS//aroA//purN//ilvG_1//csgA//glcE//phnH//gatA//tehA//moaC//hofM//phoH//phoU//cadA//grcA//cyoC//hdeB//flhD//nagE//spf//casE//fucU//chbG//cusA//hslJ//mntS//trpA//serC//serC//citF//yrbL//ygiC//appY//rrfE//fucK//sufE//gltF//nirB//sufE//iscU//srlB//nuoL//xapB//casB//aceA//fimF//yeaD//speC//uxaA//sdhB//oppD//mdtA//cysD//envY//glpG//ompA//dsdX//fadE//ompC//feoB//rbsC//uxuB//treR//puuP//prpC//argI//tar//nikB//micF//fumB//yeiP//cstA//lsrA//ascB//metF//aceF//alkA//ynfK//ccmB//ssuD//yciW//bcsB//mntH//melR//phnH//flhD//yjiY//hypF//gatC//slt//fliZ//putP//ybjG//gspC//purN//hycA//fecI//lysU//rutD//yccA//cheZ//pgaA//glcA//nikR//dppD//trpD//cyoE//ycdZ//fepG//uhpB//
GlcC-Acetate	pstA//dcuR//manZ//deoD//chiP//iscR//ygeA//
GlcC-Glycolate	rrsE//efeU_2//cheY//fau//fimC//ygiB//ygiA//
GlrR-Pasp56	yaeP//
IclR-pyruvate	ybfN//malF//sbcD//mdh//
IdnR-5-ketogluconate	ydbD//fes//pdeF//acrD//aroM//katE//oppA//marB//
IdnR-Idonate	alaS//citC//safA//ileT//entD//proP//pitB//artP//
IlvY-2-acetolactate	eda//hycG//
IlvY-Alfa-acetohydroxybutirate	hflD//rbsR//
IscR-[2Fe-2S]1+	narI//xapB//nrdI//yneM//folA//sufS//ssuA//hcr//entB//yfdX//yfeW//dppA//mlc//puuR//betI//rhaD//leuE//phnF//ygiA//ihfA//atoB//rpsP//livK//napA//rimM//ulaD//malM//rseA//nanC//slt//purC//manY//lpxA//citE//caiE//ppiD//hcr//ilvM//moaD//glpB//ydfH//
LldR-L-lactate	gltV//paaD//tauA//
Lrp-Leucine	mhpF//csgD//leuE//motB//xdhA//prpE//gltW//nuoF//idnD//fadJ//hcp//hyfD//fecD//hydN//caiE//ydeP//astB//appX//deoC//ilvX//entE//uxuA//acrE//rbsB//citX//argB//aroM//phnD//znuB//yidQ//murP//nrfA//fecA//hycC//chbB//oppD//paaF//sucA//metR//lsrB//tehB//glcG//lacZ//sbcC//citE//malK//gnd//aceE//rplM//cytR//paaA//phoP//miaA//tehA//gatY//cynT//yfeW//argP//yecR//astE//ppiA//rhaR//ilvN//argO//udp//sufE//glnB//paaZ//slyB//narX//arfB//serA//ilvG_2//narK//cueO//fadD//yjcH//sgbU//fixB//ydhT//gnd//oppC//cysP//rstB//uxaC//tfaQ//cysC//agaW//ptsH//pgk//hofC//icd//fecI//rpsS//cysK//hybO//cyoB//ugpB//gltV//dppC//hflX//carA//dkgB//dcuD//fepA//fdnH//
LsrR	ydfN//entE//iscS//garP//sufC//rpsF//nikD//safA//metQ//
MalT-ADP-Maltotriose	uxuA//abgA//fdnG//cusC//allD//epd//yciW//yhjC//aceF//gspM//
MalT-Maltotriose-ATP	xylR//mutY//rimM//exbB//yeaR//pgaA//metK//acrD//hyaE//hypB//
MelR-Melibiose	metJ//emrY//talA//
MetJ-S-adenosylmethionine	paaG//manX//sodB//dppA//cra//ftnA//ispE//uxuR//ccmB//rstA//galM//spy//acnA//glnA//udp//
MetR-L-homocysteine	gcvT//gatD//rbsK//puuE//gspJ//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	glpB//guaB//phnE_1//micF//lpxB//gspG//
MhpR-3HPP	pheS//modB//metH//appY//ydfH//amtB//
MntR-Cd2+	cbl//fecC//deoD//thrV//hdeA//
ModE-MoO42-	gabD//mscM//rpsP//fecA//hofB//ygiB//creD//phnO//xylA//xylR//rimP//citE//purN//betA//dnaE//glpA//cusR//glpR//ilvC//cadC//cas1//mdtC//hha//ilvY//ilvY//cydA//fepD//ssuE//yqjH//rimP//deoB//ompF//appY//ydiU//cadC//malS//lacA//oxc//hydN//rpmC//fepA//glcC//hycG//ftnB//rplI//ldtB//
NarL-Phosphorylated	agp//gspE//phnG//galT//nac//idnT//serC//zraS//ilvE//lysP//rprA//yhhY//paaE//argD//hyfC//safA//rplD//bcsZ//mgrB//gspE//csgA//rrfH//tap//malS//glpK//cynR//guaB//rrfD//ssuC//rseC//moaC//hyfJ//mhpR//hybC//amtB//cheA//glyA//raiA//yfdE//nikB//glnK//yiaJ//agaA//gatA//pyrD//amiB//ldtC//rutC//ascF//ydhT//csgF//paaH//hdeD//fixB//mzrA//araA//preA//infB//dppA//soxS//slt//cydD//thrV//pyrC//lsrK//ompC//hyfI//speA//modB//ychH//putP//yedX//ydhY//alaA//arcA//trpA//yegH//ebgC//hyfE//cyoA//paaI//ptsG//gntK//livG//cusA//cynT//fixC//ompX//borD//nikA//malM//paaG//pta//artQ//ydeJ//zraR//rrsH//tadA//narK//gatD//rutC//skp//aidB//trg//grpE//modB//ilvG_1//tsaE//nagA//aldB//rpsS//argP//prs//artM//ychH//nikR//azuC//aroA//lyxK//ccmB//fldA//iscA//actP//rhaA//uhpB//
NarP-Phosphorylated	fhuD//fimC//dsdA//melA//dsdX//ilvY//hydN//ptsG//pflB//glgP//uxuA//yjcH//citD//lsrC//infB//kbl//ompW//gltT//malF//gabD//aceA//ilvD//tdcA//cheZ//aer//cytR//sucC//puuE//csgF//trpA//yeiP//epd//malF//yeaR//phnE_2//fhuF//phoB//moeB//rbfA//rpsO//glcB//uraA//araD//fucU//mtr//fepC//aspC//ompF//gspE//cysU//
NhaR-Na+	uhpA//bamA//casC//lsrC//mhpC//yfdE//phoP//
NikR-Cd2+	araG//lsrK//tnaC//mhpE//mntH//galK//
NikR-Co2+	nrfC//nhaA//lysA//dapB//sufE//appA//
NikR-Cu2+	citX//fdhF//hisM//gspL//nohA//udp//
NikR-Ni2+	metI//argD//cspE//rhaA//cysC//cynS//
NikR-Zn2+	yfaE//glpQ//crl//ynfG//melA//ynfG//
NrdR-ATP	dpiA//fhuD//ydeO//oppB//ilvN//yiaM//degP//osmY//napA//
NrdR-Zn2+	ppiD//lysO//envY//malZ//caiA//rutE//serA//sbmC//cadA//
NrdR-dATP	fliA//uhpT//araG//caiF//ascB//idnK//creD//gcvT//dps//
NsrR-[2Fe-2S]reduced	hisM//hyfA//chbG//gntX//fucA//aidB//dmsB//entB//fixB//znuB//ccmH//waaH//hyaD//metH//exuT//cas1//rpsI//lsrA//ompA//nlpE//fadB//torD//gltA//rrsA//gutM//pgaB//tadA//glnD//glcF//gutQ//rplS//thrV//ygeA//prs//lldP//bioC//cusF//ackA//hyfA//lpxA//sdaA//nagC//citG//rrsG//purA//ompC//yfbR//rnhB//hcr//ebgC//metE//tauD//garK//phoU//idnR//astA//raiA//lldD//nadC//moeB//nanM//metF//nmpC//phnE_2//araD//nikD//rof//srlA//bdcA//moaA//prmC//manY//tsr//
PhoB-Phosphorylated	tsgA//bcsB//puuP//galT//ynfH//araB//feoB//slt//putP//hybA//atoA//yiaO//purF//nanE//ompF//nhaR//nagE//tap//galP//yeaE//ryhB//rhaR//gspE//fhuE//borD//rutA//dkgB//artQ//evgS//rplM//mhpB//gltU//atoE//ilvX//aroP//nlpE//ydfN//preA//pheM//appB//moaB//mutY//pheT//rbfA//idnR//aaeR//oxc//hisQ//hycD//hyfG//rpsJ//ydhV//mdtC//lsrR//caiC//grpE//casB//yrbL//lysA//yfbR//paaD//
PhoP-Phosphorylated	aroH//rhaR//tdcG//rplB//icd//csgA//fepA//icd//zwf//fliZ//hofP//ynfF//flhD//fepD//evgS//metR//hypC//dadX//puuP//ilvB//rplB//psd//cas2//yfeW//alaT//arcA//fur//paaD//cheB//sdhA//avtA//mltC//entC//cyoB//yedX//paaF//sufD//argH//ccmF//rbsD//ydhX//fimG//tam//cynR//rseC//ulaC//katE//hemA//phoQ//nuoL//metJ//tam//fepC//livH//paaI//katE//zraR//
PrpR-2-methylcitrate	uraA//bglB//gntU//yjeV//eda//
PurR-Guanine	fnrS//rrsB//manY//guaB//iscS//znuB//epd//entD//argD//moaA//nupC//fucO//mutY//pstS//hflK//sgbH//fhuF//yeiB//motB//serC//nrdA//rrfA//rbfA//ilvE//nupC//trpC//purF//tauA//gadC//yqaE//rutE//argD//purH//prpB//
PurR-Hypoxanthine	rutF//torD//pyrD//citE//ynfE//cyoC//mhpC//moaB//yciW//bioD//ilvG_1//zwf//narI//xdhC//agaA//malQ//pitB//norR//tehB//garP//narQ//rutD//livM//tsaE//lysA//serC//lsrG//cheA//uxaA//lpxA//allE//mtlR//rpsS//yfbR//
QseB-Phosphorylated	pdhR//cusB//marR//torA//
RhaR-L-rhamnose	phnP//hyaF//
RhaS-L-rhamnose	fecD//fecD//fldA//trmD//yiaO//chbB//
RstA-Phosphorylated	fecB//csgB//sufS//srlR//torR//oxc//rpsS//ssuC//avtA//glcC//
SoxR-[2Fe-2S]3+ oxydized	fabZ//dmsA//ykgO//rpmC//
TorR-Phosphorylated	phnG//tap//acrE//uhpT//pepT//fadL//gspO//deoB//mhpE//sxy//
TrpR-Tryptophan	ung//cspE//fhuB//artQ//gltD//nrfD//mutY//yiaN//nuoN//rplB//ccmF//fixC//
TyrR-L-tryptophan	ydbD//gcd//aroH//cspE//fau//tauB//pflB//hyaE//nuoA//idnD//paaB//rprA//glpG//nagE//
TyrR-Phenylalanine	puuP//artP//bcsB//amtB//tauA//rplW//sufD//hofB//ynfG//uidA//frdB//malG//lldP//nrdG//
TyrR-Tyrosine	nagB//malM//ydhW//mhpA//ulaD//ompW//oppD//tdcE//phnL//hyaE//ygeH//cysP//iraD//gltW//
UhpA-Phosphorylated	marB//
XapR-xanthosine	hofC//argO//
XylR-Xylose	hycH//phnE_2//gntK//purE//gadC//argH//
ZntR-Cd2+	chbR//
ZntR-Hg	phoR//
ZntR-Zn2+	araA//
ZraR-Phosphorylated	lpxB//lsrD//hyfA//
Zur-Zn2+	hflC//glgS//yeiP//hyfC//dusB//cspD//
