#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ivbL//cysM//garR//gltA//
CpxR-Phosphorylated	pgpC//casE//pgaC//fadL//tdcD//dpiB//glnA//hyaA//gspK//csgB//hfq//glyA//tsx//sgbE//sufA//phnE_2//paaD//lsrB//uxaC//nikE//csiD//aaeB//dppC//fbaA//nuoM//envZ//astB//glcE//manY//guaB//cydA//chbA//rcnB//nirB//fucI//mntH//soxS//aldB//folA//dcuC//phoP//umpH//rstB//uvrA//phnP//feaR//pdeF//paaI//cueO//rcnA//grxD//astB//glnB//napH//chiP//gcvT//hycD//allC//yaeP//nikE//mgrR//glyA//yedX//fis//pitA//comR//ulaF//iscS//gadB//
CreB-Phosphorylated	aroM//nuoF//patZ//glgC//metQ//glrR//gabT//astD//treB//
CueR-Ag	agaW//hyfB//dadX//srlA//cspE//glpB//manA//
CueR-Cu+	cusB//hybD//cysD//napC//tyrA//ilvG_2//yjeV//
CuerR-Au	mdtD//ssuB//glpF//rrfD//ccmH//puuA//fucO//
CusR-Pasp	rplI//cspE//xdhA//hyfC//idnO//yqjA//nuoI//mhpE//cra//kbl//srlR//malG//
CynR-Cyanate	yoaG//lsrA//modC//modA//
CysB-N-acetyl-L-serine	hyfA//metF//ydhU//rhaD//psiE//sufA//sroD//ychO//tehB//chbC//ydeO//phnC//fadJ//lldP//bglB//gatZ//cpxR//glyA//tnaC//cydB//nagA//cheB//frdA//epd//lolB//malT//priB//fadH//cysI//fdnH//
CysB-O-acetyl-L-serine	nohA//ilvI//ulaA//yfeW//rplP//pgaD//dapD//dcuB//nmpC//ihfA//creD//tsr//lyxK//secB//nadC//csiE//ydeO//dppA//fepA//dnaE//glgS//bamE//nuoE//ulaC//rpsF//ydhY//glnL//malX//dsdC//lacI//mdtA//
DcuR-Phosphorylated	rpoS//ycdZ//yciW//yiaM//lysP//bioB//creA//hyfD//adhE//
DnaA-ATP	dsbA//tehB//citG//ugpC//yiaM//cra//fumA//bioF//cspD//qseC//treR//paaF//
DpiA-Pasp	rrsA//casB//glpK//phnE_1//uxaB//idnK//ydhY//hyaE//cysA//xseA//upp//
DsdC-D-serine	spf//fucK//fepA//
EvgA-Phosphorylated	ccmB//phnO//rplC//pstC//motB//rrfC//rpsO//puuD//yjeV//cvpA//glnK//glcD//xapA//mntS//sdhB//
FNR-[4Fe-4S]2+ reduced	yeiL//artJ//fnrS//argE//pstB//tehA//hyaD//fecE//nagB//yfdV//ppiD//rpsP//qseC//dgcZ//trpL//phnI//hyfH//acs//dnaE//nhaR//lacZ//cadC//betI//rhaA//qseB//cysG//aspC//fumA//evgS//cvpA//rpsS//casE//ulaB//yaeQ//tdcF//glpF//hyfB//creD//gatZ//paaC//serA//oppB//adiC//nmpC//nfuA//dnaA//nuoM//nikC//glgC//napH//feoA//fadD//guaA//melR//uxaC//tadA//zwf//nupG//malY//arcA//lrp//galM//spf//tfaQ//psiF//aldB//manY//kbl//cydC//fecE//rrlB//manY//fhuC//cysJ//gspM//cynS//cirA//xylB//gspJ//ycjX//gntX//xapB//yjeF//ubiG//stpA//ptsI//hflC//sohB//metF//moaE//puuC//glpQ//rrsH//stpA//ccmD//rdoA//fhuB//ahpF//mglB//fumC//pyrD//fixB//paaG//purD//gntR//melA//yiaO//dppC//motA//rplB//aceA//znuA//cynX//pgaC//argH//frdC//lysC//araH//glpG//ivbL//ompX//hyaE//pgk//tomB//aceB//phnF//ompW//caiE//atoD//mntP//envZ//livM//gspF//rrlD//tar//trpB//rrfF//cas2//hyaF//mgtL//epd//tdcE//hybF//appX//nrdD//ihfA//ileU//ubiG//dpiB//fucP//oppF//napA//metE//gspI//rpsI//xapB//cadC//ygiB//ycjF//cydA//astB//ileV//sufA//lrp//acrB//lysP//yfiP//fepC//tdcE//lacY//nanK//ilvY//aroP//patZ//mepH//gltV//emrY//cysM//yqjI//yneM//arcA//tdcG//ppiD//rplD//flhC//cynS//pyrC//gspD//iclR//tauC//rrsG//phnM//argT//dcuC//ppiA//mtlD//narQ//hyfC//recF//sucC//envY//artI//hyfD//pheS//nrfC//ileT//mipA//fes//ompR//hypA//modA//moeB//chbG//hypB//moaD//yebE//rpsS//artM//rpsC//phnJ//argF//yeiP//tdcB//pnp//lsrG//rmf//mzrA//rpoH//rhaD//gspD//sgbE//pitB//frdC//phoU//grcA//argO//rpsJ//trpL//rrlB//hflC//purC//cydB//grxD//upp//yaiW//deoD//mtlD//rbsK//cusB//fimH//arfB//csgE//sdhD//nuoM//nrdI//icd//gspK//entB//argT//rrfC//nrfC//fliZ//nikR//galE//xylA//araE//argT//hypE//waaH//lysU//malI//rutD//map//yidQ//yiaK//lsrA//casC//fecA//xylF//narL//aldB//rybA//map//ssuE//pncB//gatA//arcZ//nirB//chbR//aroP//rseA//lysC//nuoH//cspE//abgA//nusA//nuoN//fau//rcnB//paaH//mhpC//hupA//soxS//sucD//fldA//
FhlA-Formate	bdcA//sdaA//purC//chbG//rnlB//artP//phoP//nuoG//malZ//uxuB//rpsR//hpt//phnN//pepT//gutQ//metB//ydfN//rplP//rbsD//srlD//paaK//tdcF//hyfI//lysO//rnlA//amn//gltV//gltF//nirC//marR//
FucR-L-fuculose-1-phosphate	phnJ//phoH//ivbL//glpC//lsrG//tdcF//rbsK//
Fur-Fe2+	ccmC//gcvH//yegR//lysA//focA//hflD//cyoB//galM//creA//uxaB//argD//yjeF//paaD//rdoA//fimA//cadA//galM//hyaF//bcsB//glpD//rrlC//rof//cysG//csgA//cusB//pflB//rimP//ubiA//mhpC//ybdN//entE//rrlC//ompF//pstB//livH//mutY//dkgB//ugpA//tdcE//fecC//waaH//fecB//ispE//codA//nrdI//lysU//yfeW//rrlC//ycdZ//uhpB//ompT//csgE//tyrR//dppC//csgG//rrsE//argB//metF//skp//gabD//creA//yoaG//mhpR//hisJ//cadA//ubiG//kbaZ//appB//paaB//comR//mhpA//yegH//pstC//glnD//ileU//cynT//fbaA//puuD//trmD//aldB//yegR//fixB//uxaB//trg//feaB//xylG//actP//malG//fimA//dmsA//rbsR//aroL//nrdF//lpxA//casC//cpxA//argF//phnK//hofC//ydeA//yhiD//micF//murP//kbaZ//appB//tam//evgA//tdcF//prs//glcB//gpmA//lacI//sucD//motB//manY//fliZ//rrlC//fdnG//gpmA//tdcF//xylG//sbcD//dppF//betI//deoB//ileV//slt//pdhR//cusC//cas2//paaG//bdcA//uidB//glnG//fhuC//tyrA//fhuB//napB//ilvD//hybD//
Fur-Mn2+	uhpB//ptsI//rbsK//nanK//ihfA//hupB//acrF//pagP//fimC//cyaA//argA//trpC//feoC//glpC//yfaE//nanK//gyrA//fixC//fimE//rpoH//trg//gspH//glcD//ykgR//yhjA//nohA//phoP//tauB//rbfA//pdeF//moaC//uxaA//agaV//oxc//idnT//gadC//sdhA//nac//nrfF//hyfE//moeA//metA//glnA//gspK//ydbD//glpB//yneM//rimP//citE//sdhA//thrS//gspK//tehB//cheW//nrdE//rrfA//katE//osmC//cysB//phnI//emrY//nikA//metI//pstS//ilvC//znuB//cysH//fepA//garP//tnaC//malI//ubiG//ileV//fimC//tnaB//nrfG//trpD//aceA//mntS//zraR//cueO//ubiC//gltB//csiD//araC//rstA//cytR//mutL//dsdX//copA//purL//azuC//deoC//mntH//mhpB//hyfB//acnA//grxC//azuC//sbcC//napD//carB//hcr//dsdC//pgaD//spy//artP//rbsR//fadH//appA//aidB//cysD//gabP//phoH//ilvA//qseB//nrdA//chiP//caiB//chbB//hycF//cysJ//gapA//hisP//dmsD//rpsO//spy//cusB//argB//lolB//erpA//acrB//cydB//flhD//gntR//ydeM//cyoA//mpl//mhpA//melR//
GlcC-Acetate	hycG//proP//eda//truB//aaeB//ilvX//tauC//
GlcC-Glycolate	lpxD//metF//bhsA//marA//aroA//lsrC//ugpC//
GlrR-Pasp56	fimG//
IclR-pyruvate	rplV//gcvT//ihfA//ilvH//
IdnR-5-ketogluconate	aer//argH//tonB//glcD//livH//thrV//gyrA//rutA//
IdnR-Idonate	pstB//ilvB//pncB//yfdX//ndh//lacY//rrsG//fimC//
IlvY-2-acetolactate	phnL//hyfB//
IlvY-Alfa-acetohydroxybutirate	fdnG//bcsZ//
IscR-[2Fe-2S]1+	mhpR//dsdA//yggX//frdC//rnhB//gutQ//rybB//cheR//ryhB//cynX//phnF//aspC//lsrB//hyfB//fixX//rhaA//sroD//ykgO//argP//kbl//malS//yoaG//purR//cpxA//ldtC//glpF//dctA//hyaA//chbC//caiE//melA//garL//allE//bioD//bioC//argD//ompF//treR//acrA//dppF//gltB//
LldR-L-lactate	upp//cusC//yciW//
Lrp-Leucine	rrsG//sodA//lolB//ugpA//trpC//pyrC//fis//fumA//hcr//ileV//mipA//hdeB//rstB//yaiA//metA//cytR//melB//ybfN//pck//azuC//serA//nohA//caiT//metJ//betA//hflX//aroL//paaE//fabZ//fhuD//ompA//fixC//malP//epd//ubiX//srlD//iscU//artM//iraM//purA//phoA//dmsC//ebgA//yrbL//cspD//arfB//fucA//galK//ccmD//livK//sbcC//aroA//borD//cueO//purD//yaiW//rplP//ccmB//cysK//treB//moaA//rhaD//argR//yaeP//pstB//uidC//cysK//kbaZ//ssuC//argP//malY//malY//fimC//raiA//gutQ//ydeO//fimG//tauB//cas2//cysJ//nrfF//mtr//ybdZ//caiT//fabZ//lldD//mcaS//nuoA//rybA//pyrC//gcvP//marA//nusA//mutY//nrfA//evgS//grcA//pstA//dcuC//hypB//rhaR//hyaB//prpB//malF//malI//cysH//
LsrR	lsrB//lsrA//artP//slyB//mtlR//mtlA//glcB//araD//hdeB//
MalT-ADP-Maltotriose	tehA//livJ//lacZ//rhaD//hybB//ygaC//carA//fur//glpE//ptsH//
MalT-Maltotriose-ATP	nrfB//katE//hemA//fumB//ydhX//rpsI//ydhT//fepD//paaG//cheA//
MelR-Melibiose	ssuE//dusB//lolB//
MetJ-S-adenosylmethionine	lrp//carA//glpE//xdhB//napG//nirD//ygbA//xapA//pck//soxS//paaG//pdeF//purR//cynX//fecC//
MetR-L-homocysteine	glnB//kbaZ//adhE//alaV//ubiC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	sdhC//metR//csgC//casD//metE//ydeM//
MhpR-3HPP	ulaA//alkB//mipA//rbsA//lysO//yiaM//
MntR-Cd2+	rrlD//bcsZ//gcvH//yqjI//fepE//
ModE-MoO42-	rhaD//crr//gadC//pstA//dmsC//purB//entH//rplT//oppD//ilvE//livJ//dsdX//cysJ//hlyE//metH//phoA//mhpF//rrlB//tauD//sgbE//ychO//gpsA//psd//rplV//ampD//rrfC//yaiW//mepH//marA//glpQ//zraP//cusS//feoC//preT//rutE//feaB//narH//mcaS//csgG//mtlD//ycjF//aroG//dppA//gltD//ydhW//hdeD//
NarL-Phosphorylated	ilvI//hyfE//metY//ileU//hycH//livG//rutB//paaB//gpmA//ychO//aroG//rof//yeiW//speC//nlpE//fixC//metY//cydC//argE//glgX//hofN//tdh//csiE//fadI//ssuB//yegH//ilvD//ptsI//yfbR//ybdZ//pta//tyrP//fecI//gspO//katG//metA//tsaE//malX//pstA//borD//nanK//aidB//hdeA//gntR//fumA//uxuB//recF//csgE//dsdA//zraS//glgC//xylB//tar//fadJ//tyrP//mhpB//hemA//udp//sufE//puuD//upp//fdnH//carB//puuD//tyrP//ilvE//bglB//qseC//asr//tsaE//paaH//hflD//trpD//sufE//rrsC//thrS//envZ//ilvX//xylB//rplS//ugpC//fldA//cheZ//focB//metI//ulaD//fhuE//csgD//rrfB//tdcG//ydeJ//phnP//yiaM//putP//phoA//cpxA//hyfE//gcvH//rhaD//nrdB//rbfA//galP//fimE//narJ//mdtD//paaH//rrsD//astA//fucP//hslJ//nikD//phnL//livG//nagC//lldR//yqjH//dsdA//phnC//rplI//marR//prmC//narK//hybF//glnD//cdd//
NarP-Phosphorylated	sbcD//phnM//hyfA//rrfA//gntU//nohA//paaA//gyrA//deoC//ogt//preA//tyrA//fixA//cydC//nagB//napF//torA//carB//glnG//yfdV//purE//glmY//hdeD//rhaA//fecE//murP//gltF//idnD//dppB//iraM//casD//uidC//mntH//oppD//araC//rbsD//rof//marB//araC//paaE//pstB//gyrA//cydA//metC//malI//ccmA//ilvN//amiB//ygbA//ccmD//
NhaR-Na+	aroM//ydfH//fepG//yjeV//sucD//lysU//rrfD//
NikR-Cd2+	sbcD//chbB//nuoC//glnD//hypA//nhaR//
NikR-Co2+	talA//dctA//lacZ//sbmC//appX//tauD//
NikR-Cu2+	manY//zraR//patZ//nrfE//lsrG//nikR//
NikR-Ni2+	fimF//lrp//trpR//yhjC//ychO//nrfC//
NikR-Zn2+	tnaB//hybB//hycI//zinT//trpE//gyrA//
NrdR-ATP	artI//chbC//rrlD//glcC//serC//malM//hybA//lpxB//dppC//
NrdR-Zn2+	cysC//bhsA//glgP//phnN//hycC//manA//moaA//atoE//atoB//
NrdR-dATP	malM//hyaC//glpG//bioB//gcvH//trpC//phoP//abgT//fixC//
NsrR-[2Fe-2S]reduced	nuoM//rrsE//pstS//lldP//metB//emrY//manX//gntP//fixX//dpiA//trpE//yecR//astB//ydhX//csgD//gspF//napG//cysU//ilvD//citC//hydN//yfiP//fimD//rprA//trpE//metJ//ydeP//hyaD//ilvB//ftnB//hyfF//nrfA//nuoN//rplB//xylR//ssb//malQ//nuoL//ilvE//mzrA//psiF//csgG//tadA//slyB//gspD//fimE//gspC//rrlH//puuR//appY//malG//pepT//moeA//yaiA//nagB//rybB//argR//acrE//moaA//yfdE//mpl//sdhC//nikC//tdcC//gatY//malI//dpiB//hdeD//casA//agaA//pyrC//avtA//nanS//
PhoB-Phosphorylated	hisJ//frdA//csiE//araC//glpD//purR//purA//raiA//tsaE//creA//icd//frdD//pstS//puuA//gdhA//dcuA//dpiB//pstS//araA//ahpF//grxC//folA//rrlG//gadC//yeiL//glnB//sufS//frdD//nikC//csgG//ulaF//borD//napD//fucK//narL//narJ//lacI//livM//yeiL//srlD//csgG//caiE//tnaA//aroP//glgP//mlc//hyfD//narQ//speB//frdB//cyoC//xdhA//pagP//atoE//cusF//feoB//fhuB//iclR//pdeF//hdeB//argG//
PhoP-Phosphorylated	rnpB//ugpQ//casE//cydC//purC//nanC//entB//rpsR//gatY//ydfN//mzrA//metR//cytR//atoE//phnE_1//nuoI//hycF//oppB//avtA//yidQ//rimM//hflK//yqjA//cdd//bcsC//cbl//miaA//modC//purN//fecI//ygiA//araA//ilvG_1//fimH//znuA//mpl//pncB//nhaA//modB//xylF//gspE//prpC//yneM//hdeA//phnG//nuoK//rbsC//oxyR//sbcD//entH//gabP//metY//galK//gspO//hypD//trpC//narQ//
PrpR-2-methylcitrate	appY//amiB//acnA//ydhW//fepA//
PurR-Guanine	sucA//exbD//dadX//yegZ//rseC//deoC//nadC//rrlE//uhpA//pgaA//hyfI//acrF//creA//rpsC//paaG//metQ//bglB//oppA//puuE//pgaA//dsdX//hyaF//rplT//uhpA//yibN//mhpC//lpd//tdcB//uxaA//hybB//chbR//galP//torC//ydbD//
PurR-Hypoxanthine	yaeP//frc//map//bcsZ//ccmD//yeiB//grcA//tdcB//hycG//argA//gapA//uhpB//creB//nikE//ompR//sufD//ycjX//phoA//phnE_1//mutY//lldR//metR//focB//ydhT//srlD//rpsC//purL//atoD//nrfG//ilvC//uraA//carB//yiaJ//yhhY//
QseB-Phosphorylated	emrK//rpsO//glpQ//araD//
RhaR-L-rhamnose	pitB//aspC//
RhaS-L-rhamnose	treB//nac//yegH//ebgC//rnlB//aceK//
RstA-Phosphorylated	ung//nanT//paaC//rrfF//appX//mscM//sufA//idnK//crl//rybB//
SoxR-[2Fe-2S]3+ oxydized	mglB//malX//ssrS//bcsZ//
TorR-Phosphorylated	ftnA//secB//aceE//ompR//cysK//nikB//rutC//garP//nuoG//uof//
TrpR-Tryptophan	fis//carB//argA//codA//trpA//mdtA//aldA//yiaK//narH//carB//rrlB//tauA//
TyrR-L-tryptophan	hypC//katE//glgS//rpsR//ygiA//hyaC//malG//nikB//nrfG//ompA//acrF//ascB//casE//cysH//
TyrR-Phenylalanine	aaeR//chbC//purE//hemA//treR//rplT//flhD//aaeX//gpsA//carB//lpd//tnaA//rstB//idnK//
TyrR-Tyrosine	rybA//mntP//hlyE//hofB//hycA//rpsP//fepB//lpxA//phnL//ubiC//gspG//nuoE//sufC//idnD//
UhpA-Phosphorylated	patZ//
XapR-xanthosine	phnN//fixB//
XylR-Xylose	gntP//alkB//araB//chbG//lysP//aroG//
ZntR-Cd2+	ryhB//
ZntR-Hg	torC//
ZntR-Zn2+	yaiA//
ZraR-Phosphorylated	rnlB//glpF//citE//
Zur-Zn2+	citX//treB//rbsD//soxS//ydhT//ispE//
