#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	tdcB//nanS//rseA//gspL//
IscR-[2Fe-2S]1+	bcsB//ynfE//mhpA//yjiY//aceK//arcA//rpsO//hyaB//rrlB//nadC//rutF//prpB//phnJ//oppD//alkA//hybD//gltD//malF//hybC//rof//rybB//rybA//fepB//gyrA//yhjC//cheA//bhsA//phnC//ccmG//mhpE//yjeF//yibN//hyaE//nrdF//pdhR//napC//evgS//sufD//gapA//yaeP//arcA//
LldR-L-lactate	napA//ahpC//phnI//
Lrp-Leucine	ulaF//casA//glnG//mtlR//phnG//rrsC//yjjZ//ychH//oppB//purH//malE//ybiT//rrsH//rybA//sbmC//astC//ascF//gltD//gspM//rpmI//torR//fecE//ung//artI//rutF//hyfC//rybB//agp//ubiX//pncB//purB//trg//ompW//yeaD//yccA//dpiB//malK//tdcB//lldP//metN//rrlD//pitA//sbcD//artQ//lsrR//rrlA//rutF//yegH//ugpE//gspC//dnaN//idnK//entS//aldB//mglA//aspC//tsgA//azuC//nadC//hdeD//aidB//yeiL//uxuR//sucD//xylH//lpxD//gpmA//ebgA//preT//csgB//aspC//livJ//lldR//hyfE//mltC//tadA//rstB//cydD//fhuD//uxaC//waaH//speA//metI//ydeM//ilvA//srlD//hisQ//ugpC//thrV//betI//mntH//lysU//rplM//dgcZ//nanC//gnd//hofO//tdcD//kbl//bdcA//dsdC//glgA//lsrA//modC//fepG//ileT//
LsrR	betT//artJ//lacA//hypF//hydN//cysK//cyoD//ynfF//argE//
MalT-ADP-Maltotriose	gyrA//fimI//livM//dgcZ//cyaR//serA//ihfA//hybG//dapB//nikE//
MalT-Maltotriose-ATP	flhD//xdhC//treC//ydeO//ompA//tauB//envZ//rpsR//livJ//glgS//
MelR-Melibiose	erpA//erpA//yedX//
MetJ-S-adenosylmethionine	nanS//eda//livJ//yegR//srlE//napB//napC//purE//yiaJ//cheA//oxc//nrfE//sufB//lsrR//hofP//
MetR-L-homocysteine	hypF//feoB//marR//araA//nadC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	hyaA//glcA//ppiA//hyfG//emrY//sbcD//
MhpR-3HPP	ulaA//pdhR//dppD//nuoG//gntU//soxR//
MntR-Cd2+	rbsD//cysM//gltT//gltA//uhpT//
ModE-MoO42-	caiF//gspF//tsx//cysK//psiF//yfbR//nanK//crl//hypD//malG//norW//glcG//lysP//bioB//uhpC//rpoE//rrfB//aceK//iraD//malK//ydeJ//nrdG//psiF//ansB//cydA//nuoA//deoA//ynfK//lpd//astA//aspA//dapD//dctA//yaiA//mhpA//guaB//moaA//araF//metC//rrfC//mhpC//gspJ//cysU//hycG//focA//nlpE//
NarL-Phosphorylated	cheA//ydiU//folE//ydhW//grcA//tdcE//fiu//metL//gyrA//bcsC//pta//uxuR//acrD//prpR//rrlC//astA//hyfR//dppA//sodB//proP//ygbA//trpE//iraM//caiE//spy//ompX//bioD//tpx//gspH//prs//tpx//tdcF//map//aidB//slt//sodB//sbmA//pgpC//rbfA//ynfG//nadC//exuT//csiD//ytfE//ascB//garR//grpE//talA//adiC//gltT//chbA//priB//ulaE//yaiA//mtlA//aspA//ppiD//xylG//ydhX//fucR//fadD//atoD//pstC//abgA//nuoC//rrlC//serA//tfaQ//rpoH//tehB//ahpF//dmsB//gabP//ybdZ//mhpR//yhiD//hslJ//ihfA//cysD//phoE//nfuA//glyA//glpG//hyfR//cheA//motB//abgA//ybdN//ilvX//ilvX//skp//tdh//guaB//yhiD//glnB//purH//malS//nikD//hycC//bamA//purH//argR//cyaA//phoB//ygiA//uidB//rhaA//rcnB//rrlD//gltU//ispE//ompR//cysM//baeR//ulaB//ysgA//rplV//fadD//ycjX//ampD//hycG//gatD//lldD//cheA//hflK//
NarP-Phosphorylated	rpmC//mpl//yjiY//putP//fhuE//nagE//citF//lldD//rbsR//hycD//hypE//abgT//casE//priB//napG//phnO//nuoC//gabT//folA//chbB//yiaM//cas1//rplC//lpxD//leuE//mhpC//efeU_2//agp//ilvG_2//mutL//fiu//allC//purE//rbsB//metQ//srlE//borD//modA//glcG//hyaB//purH//nrfE//rimM//ygbA//moaE//nagE//mutL//metN//katG//cas2//
NhaR-Na+	rbsD//phnG//hyfB//mipA//rrsE//entB//ilvA//
NikR-Cd2+	aroM//yjiY//ydiU//narJ//hybA//nohA//
NikR-Co2+	rrfH//fucU//rimM//ccmD//pncB//xylF//
NikR-Cu2+	manZ//zinT//soxS//yebE//gatZ//glgC//
NikR-Ni2+	hflD//fucR//nrdF//artJ//sufB//hupB//
NikR-Zn2+	nirB//gspG//malS//argC//uhpB//ybfN//
NrdR-ATP	murP//exbB//idnT//astE//csgG//yeiL//nhaA//citC//hyfD//
NrdR-Zn2+	pgaB//napB//lysC//metQ//uraA//gntT//phnK//purE//thrV//
NrdR-dATP	glgA//napH//idnK//nupC//fldA//nrdG//hybC//frdC//hyfE//
NsrR-[2Fe-2S]reduced	alaS//fucR//rhaT//gatC//hybF//rpsQ//cysD//marA//gspO//rpmI//metA//deoC//guaB//frdC//cyoB//katE//cydD//yjiY//carA//serA//torR//cheW//ychO//dmsD//pheT//oxyR//mglC//dsdA//sufA//hyaC//sxy//nanA//glpA//moaC//ybiT//ynfH//efeU_1//rutC//rrlB//serA//sufE//xylG//nuoK//glcA//tsr//glcD//avtA//fadJ//gntP//yhiD//fecD//hdeD//secB//pgpC//hycD//puuD//agaV//ilvG_1//ulaC//paaJ//gltF//appX//ackA//fhuC//purA//rnhB//bglF//ulaE//thrV//araJ//nuoG//nrdE//lsrG//
PhoB-Phosphorylated	mntS//cheW//cheB//mhpF//hslJ//bioC//hyaB//motA//hybB//cysA//sodA//garK//ileT//aldA//nrfD//frdA//narI//baeR//gcvP//cysK//rrfD//gadB//manY//fadJ//gatD//nirD//rrlB//hlyE//artI//bamA//hofC//yciW//edd//yoaC//ydeP//mtlD//serC//rbsK//pheT//garP//yjcH//malT//livG//sdhC//nrdD//zntA//csiE//ivbL//fhuB//moeA//upp//motB//rrsE//glnG//phoA//nuoH//sgbH//metH//pyrD//marR//pstB//
PhoP-Phosphorylated	flhC//skp//nac//fimG//erpA//glcC//aspA//yeaD//moeA//paaE//chbR//aroH//ychH//oppC//idnT//fes//ydhT//lamB//yqjH//fadL//fiu//ahpF//rpoH//fhuC//bioF//artQ//atoA//alaT//rseA//nikA//pck//bglF//frdD//deoA//hypA//hyfE//yfaE//rrlD//lsrC//fimH//guaA//ilvH//paaB//uraA//tauB//mtr//rrfG//aroH//hypB//ygbA//lsrC//fepG//prfA//argF//sufE//ynfF//fepG//
PrpR-2-methylcitrate	uxuR//pflB//hyfH//modC//nadC//
PurR-Guanine	dppF//mdtC//metJ//atoB//fliZ//entA//trpA//gatA//ptsI//yeaR//araD//gpmA//feoB//fimD//oppD//trg//pstB//hypA//ydhV//hyaC//hybE//glpC//torC//rplC//tdcC//chbA//entE//ygiB//pgaC//rnhB//yneM//rpsO//cysI//bglB//
PurR-Hypoxanthine	gabP//gspK//malM//nrdG//acnB//atoB//puuB//metJ//psiF//flhC//xapA//crr//gabT//treB//appB//guaB//hypC//mtr//fecC//caiC//narH//nac//citC//gspJ//cysI//fes//aer//ccmE//appX//raiA//ptsG//bglG//argF//sgbE//
QseB-Phosphorylated	cysH//mdtD//ilvA//entH//
RhaR-L-rhamnose	casC//gdhA//
RhaS-L-rhamnose	hybD//uxaC//pgaD//uhpT//ccmE//ptsH//
RstA-Phosphorylated	cyoE//rstB//cadA//purR//nagA//betI//ugpQ//artM//pyrD//yegH//
SoxR-[2Fe-2S]3+ oxydized	glcC//ygiA//idnD//fepC//
TorR-Phosphorylated	nrdE//fadH//iraD//zinT//ung//amtB//gltD//abgT//codB//abgA//
TrpR-Tryptophan	deoC//preA//yaeQ//mscM//yedX//torC//glpR//efeU_1//glcC//katE//rutE//glgA//
TyrR-L-tryptophan	hycE//lamB//paaK//melA//fecR//fimI//hofO//ivbL//glcC//ybjG//tyrP//rpsR//dcuA//cyaR//
TyrR-Phenylalanine	metE//tyrP//cusA//hyfH//rcnB//rhaT//glnG//mpl//prpC//fhlA//mntS//paaE//yggX//trpL//
TyrR-Tyrosine	ldtC//ilvE//puuC//rrfA//yhjA//cbl//arcA//narQ//rutE//fliZ//ilvD//rseA//nuoA//zntA//
UhpA-Phosphorylated	csgB//
XapR-xanthosine	aer//guaB//
XylR-Xylose	aldB//glpE//uidB//osmY//zraS//alkA//
ZntR-Cd2+	hyfF//
ZntR-Hg	hycD//
ZntR-Zn2+	ilvG_1//
ZraR-Phosphorylated	rrlA//rrfC//chbA//
Zur-Zn2+	pstC//pnp//hyfA//napH//glpT//srlE//
