#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	sroD//argB//glnL//rutE//
CpxR-Phosphorylated	hycH//hisM//cheZ//tyrB//ubiG//ulaA//hisJ//ysgA//dnaE//fucO//fhlA//ygiB//dnaE//ygiA//glnD//agp//purC//cynT//hydN//torA//tsx//marA//citD//ytfE//pheS//yeiW//putP//glcC//bglB//rrsH//glcF//dadA//rybA//hpt//yfeW//glgC//ubiA//hisJ//phnD//fepG//manZ//argO//ssrS//yaiW//hflK//iscR//glpC//bioA//rplD//rutD//fepA//rplS//xylB//yjeV//cusR//xapB//rplP//hupB//gatB//cusA//gspJ//hha//gspM//fadJ//ilvM//rplI//bioA//metQ//gatZ//
CreB-Phosphorylated	fldA//purL//hyfA//sxy//rhaD//crp//nagC//xylH//pgk//
CueR-Ag	ydfH//yggX//fadD//ilvB//gatC//bcsB//nuoG//
CueR-Cu+	tehB//moaC//xylA//lsrB//rrlE//mdtB//nuoL//
CuerR-Au	cysM//napG//yiaN//grxC//yebE//fadL//napH//
CusR-Pasp	narL//ygeH//hupB//hisP//phnE_1//ftnA//hyaC//dmsD//dppC//ndh//phnI//waaH//
CynR-Cyanate	allE//livH//purR//glpQ//
CysB-N-acetyl-L-serine	trpR//frdB//ihfA//ilvH//azuC//preT//dppB//tktB//chbF//manX//rpsS//lpxB//oxc//rrsA//ssuA//nrfC//tauA//bcsA//mhpA//dppD//agaA//metB//tdcG//rutB//nagC//rseA//nuoI//melB//rplM//ampE//
CysB-O-acetyl-L-serine	ychO//ydhU//sdhA//iscS//pdhR//aer//ilvB//nuoA//sroD//argF//dapB//phoA//acrA//yegZ//ilvE//tdcC//casE//puuB//osmC//sbcD//hyaF//glgP//gntT//aceF//dppB//grxC//cyaA//glpX//glcC//ompX//rrfG//
DcuR-Phosphorylated	manA//hisQ//malY//aroG//pyrD//cheW//yeaE//creD//ilvM//
DnaA-ATP	lsrD//pheS//rplW//moaC//nanT//rprA//glnG//yggX//hypB//micF//prpR//casE//
DpiA-Pasp	astE//lacA//uxaA//dgcZ//hybO//qseB//prpR//ccmH//betA//rrsE//tktB//
DsdC-D-serine	sbmC//araH//ubiX//
EvgA-Phosphorylated	bcsC//rpsF//pstA//xseA//nanS//tcyJ//agp//paaB//cusB//fixC//tomB//ssuE//pnp//yojI//xylR//
FNR-[4Fe-4S]2+ reduced	ilvH//yedX//aceK//tsgA//preT//gatC//pheM//pepT//manA//hofM//ycdZ//ynfH//tehA//envY//glpR//fbaA//pdeF//trpB//ydeJ//cysM//rplC//dmsD//gltD//fadI//preA//cirA//cysP//lpxB//fbaA//xdhB//hyfH//hcr//casB//fimC//gntP//lysP//argB//deoC//tsaE//argI//ulaB//rplB//lacA//aspA//livH//tsgA//araD//csgC//citE//cusF//betT//tap//sgbE//emrY//citG//exuT//xylB//ssuA//bioB//xdhA//deoA//tauD//rrfH//tsaE//rcnB//hyfJ//rcnB//ilvM//aroG//xdhA//entF//ilvC//fixB//grpE//phnH//gdhA//tyrP//yaiA//ryhB//spy//nagA//glgP//uhpB//mglB//hybC//nagE//cvpA//gntK//dppC//ppiD//hisM//metK//uhpA//paaB//azuC//hybF//cusF//zinT//metI//glgX//citE//nrdE//glgS//pagP//pheS//fliA//marR//hyaF//argF//psiE//paaC//cysA//caiC//flhD//gatZ//yrbL//actP//tomB//prpC//betT//sodB//cysD//nohA//acrA//upp//glcF//lsrR//rimM//rrlA//yhjC//cysM//fadJ//nrfD//mscM//glpE//gspG//marR//rimP//gatA//sucC//oppC//gspH//sodB//bamA//gpsA//gltW//rbsA//hyfJ//srlA//cbl//ubiC//acrF//hyaB//livH//hyfI//creA//hyaB//lpxD//sdaA//hofC//fumC//ssuA//metJ//hlyE//nuoN//yeaD//envY//galE//creB//pgaD//rcnA//agaV//ubiC//modB//cheY//purL//ydhW//gpsA//ilvY//manY//rybA//cytR//ulaF//tdcD//glpX//acnA//nikC//argA//mdh//dapD//manY//rutC//cpdB//artJ//frdD//fhuD//abgT//gltW//feoC//proP//srlB//dadA//tnaB//abgT//yhiD//nuoG//gnd//rpsQ//mhpR//cpxR//yebE//argP//tsgA//rrfH//yfdX//fecA//atoA//bglB//fnr//galT//mhpA//rbsC//glnL//fimH//nupC//chbG//rrfE//hybF//fecE//oppC//pheS//serC//degP//ykgR//gltV//mtlR//bcsA//glnB//acrB//cyaA//flhD//hisQ//hydN//norV//metE//gspF//araC//gpmA//tcyJ//paaB//yaiA//dps//ugpE//betI//tktB//ccmH//secB//fucA//feoB//hyfJ//hyaF//creA//aldA//yaiW//garL//frdD//ybiT//sohB//galE//yjeF//glnL//gabD//entH//efeU_1//infB//csgE//znuA//narX//sbcC//fucU//nuoI//csgB//cysI//hcp//trpE//entE//idnT//srlB//guaB//zraS//casB//ppdD//aroH//fhlA//lldR//fes//fecA//casD//rnhB//cpxA//nlpE//cynX//yeaD//mgtL//tdcE//
FhlA-Formate	metC//nuoE//exuT//gntK//tar//ompA//hofO//grxC//pgaC//pheS//puuP//fepE//ihfA//umpH//fliA//fucO//malP//mdtB//stpA//focB//hyfR//feoA//tfaQ//emrK//hyfR//crp//arfB//ydeM//fau//malK//
FucR-L-fuculose-1-phosphate	uxaA//ssb//feoA//rplI//napB//mdh//xapA//
Fur-Fe2+	hybF//nirB//tdcE//ilvH//nadC//glcG//nrfE//thrV//yfdV//ydfN//citG//araH//nuoA//ydhX//hyfC//citE//ydeP//rpoS//ycdZ//ldtB//envZ//puuE//miaA//abgB//sodB//rseB//tyrR//rbsK//xylR//yeiP//ydhX//entS//fepA//narJ//atoE//rcnB//rrfE//cirA//rpsQ//glgB//sgbU//napD//rutA//rpmI//argR//gpmA//glyA//pta//slt//hybB//xseA//aspC//serC//waaH//glpT//cheZ//rbsK//lacY//napF//deoD//manZ//nrfF//ydhV//tnaB//fepA//casE//rhaS//lsrA//ilvA//mdh//ssuE//galE//gntK//ilvG_1//ccmB//rnpB//hlyE//fecE//mhpC//dppB//fucO//gpmA//crr//ptsI//modA//casB//fecB//gcvP//dsdX//gatD//psiF//dapD//glpK//narL//ycjX//phnP//talA//fimI//fnr//dsbA//trpA//speC//marR//nikB//mtlD//tsx//napH//purB//tnaC//cysC//appB//srlA//fumA//hflX//narK//moeA//araH//hdeA//araA//melA//cpdB//ytfE//sgbE//pgaA//fis//malE//ydeO//mtlR//araF//fucK//oppB//rrfD//hyfC//mgrR//marB//ompR//nagA//gyrA//hyfD//rrlG//
Fur-Mn2+	puuA//ydeN//phnL//rrfG//degP//ompT//napB//dppC//tauA//citC//fiu//fldA//grxC//xylA//pstB//abgA//dpiB//uxaC//dadA//kbl//casD//spf//ynfK//rhaD//arcZ//cysC//tcyJ//prpC//galP//sodA//rrsD//ryhB//mhpA//tdcD//treB//fiu//fepG//efeU_1//norR//ptsH//ilvH//icd//yccA//araB//rnlA//oppB//ydiU//ndh//lolB//yjcH//glpK//evgA//aceF//ompC//ugpA//prpB//rpsP//glpT//aceF//rpsO//envY//fliZ//gltU//prpD//rimM//amiB//hflX//fepB//adiC//aroH//dusB//moaA//fimG//garK//pncB//nrdG//ydeO//thrS//serA//uhpA//gyrA//narX//fucU//iraD//hycC//gatY//upp//rutC//csgG//nuoB//oppF//cpxR//rpsJ//hfq//tyrB//mhpC//yggX//lpxD//rpmC//glcF//dcuC//rmf//hycI//srlR//lacY//gltF//astB//hflK//tam//gyrA//katG//citG//nupG//exuT//csgA//icd//manX//rpsC//yrbL//slyB//tyrA//glpX//yqaE//cysK//fimI//betA//tdcD//puuA//hyfD//malI//uxaB//yrbL//metQ//ivbL//ccmD//hybB//rseC//rrsC//phnK//mhpA//
GlcC-Acetate	astC//ybiT//ilvL//cirA//feoA//astE//ccmC//
GlcC-Glycolate	yfbR//fixB//paaG//gspC//glpC//entA//treB//
GlrR-Pasp56	puuE//
IclR-pyruvate	fadE//paaH//ugpB//paaA//
IdnR-5-ketogluconate	sodA//chiP//guaB//manZ//sdhA//lsrD//nuoK//pncB//
IdnR-Idonate	rplM//hyaB//ugpQ//yeaR//gatZ//cysM//cusC//nanM//
IlvY-2-acetolactate	astD//prfA//
IlvY-Alfa-acetohydroxybutirate	ilvN//nuoK//
IscR-[2Fe-2S]1+	cbl//glcE//ygiB//cydD//ompR//lldR//glnB//yciW//fecR//fepD//phnG//rplC//manZ//xapA//hyfG//gspC//metJ//argC//sgbH//fecE//emrK//ssuD//mdtB//dppD//nupG//livF//manY//yfiP//glyA//rpsF//caiB//ycjX//metN//ycdZ//iclR//gabP//nuoF//treC//iscR//psiF//rplD//
LldR-L-lactate	fumC//cysU//erpA//
Lrp-Leucine	rbsB//feoC//moeB//fdhF//phoQ//ahpC//gspH//uxuB//dmsD//manY//serA//zinT//fimH//pta//appC//narK//rutE//ygeH//adiC//phnG//lpd//ryhB//flhD//rutD//rrfE//ccmD//ydhT//rplB//rhaB//nac//ugpB//aceK//pheT//moaB//entB//gltV//modB//aceE//yneM//acrE//mtlD//glpQ//murP//metY//hupB//tfaQ//miaA//glpE//thrS//gabD//xylG//tdcA//dppF//sbcD//zinT//rrsH//tnaC//nuoN//fdnI//prfA//alaV//focB//nuoI//cra//phoU//mdh//ppiD//hofM//xdhC//fadL//csiE//sroD//yfaE//rhaA//rpmC//aroM//ccmF//fecC//yegR//allE//puuC//tyrA//hyfI//bhsA//mgtL//deoB//fimH//nrdE//nuoH//purL//norV//fimI//spf//fepC//ygiA//hofC//ppdD//tdcG//citG//caiD//bhsA//ynfE//gntX//artM//hha//livK//
LsrR	yneM//rpoE//citG//tauB//phnE_2//dsdX//srlD//yiaN//mhpC//
MalT-ADP-Maltotriose	murP//nrdH//emrY//lpxA//phnO//yqaE//nrdB//nuoF//rrsG//codB//
MalT-Maltotriose-ATP	kbl//ryhB//glgC//hdeB//pgpC//gspH//adiC//paaZ//sucD//arcZ//
MelR-Melibiose	psd//nrfC//nikA//
MetJ-S-adenosylmethionine	csgA//astE//dpiA//astE//fes//atoA//manA//mhpA//cydD//livF//appX//caiE//nanT//dapB//lldD//
MetR-L-homocysteine	ftnB//narK//aer//ychH//ynfK//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	tdcE//aspA//mscM//tsgA//nanA//rrsC//
MhpR-3HPP	dadA//nikE//fhlA//appX//dadX//azuC//
MntR-Cd2+	ydeA//ygaC//ubiC//fhuD//nuoM//
ModE-MoO42-	pdhR//galM//gspE//yoaC//cydA//prpB//purC//dcuC//rrsD//ssuB//ahpC//lldP//phnE_1//fixA//hdeD//talA//ulaF//glpA//frdB//napA//sroD//fadI//hybO//phnP//speB//murP//agaV//phnH//narL//mgtA//glgA//dgcZ//gcd//rplP//cadC//yeiL//galK//ybjG//pitA//paaC//metC//oppA//fdnG//gatD//ebgC//nuoE//
NarL-Phosphorylated	tdcB//dppC//appY//ompW//manX//dadA//entS//aaeB//rpsP//murQ//yfdX//lsrG//adhE//adiC//tfaQ//cynX//glnK//gcvP//sohB//iscA//nrfA//modB//tdcC//ygeA//paaC//pagP//abgB//ilvC//hdeB//ryhB//sbcD//yoaC//sgbE//dcuR//trpC//qseC//deoC//narL//gyrA//yhfA//caiA//nuoF//crl//caiC//fepA//glpE//hisM//paaD//hflX//rrlB//fimI//betA//ldtB//hybF//moeB//fdnH//purN//glrR//cyoD//feaB//cydA//rrlH//infB//aroP//cysD//pyrD//xylF//fepD//trpR//norR//manX//yeiP//uhpT//dnaA//malZ//uhpB//nanK//nrfF//mgtA//pgaC//malG//hyaA//gpmA//alaU//yaeQ//chbG//purC//artJ//gspG//lysA//aceK//rcnA//cusB//rpsJ//lldP//arcZ//allE//tdcB//phnK//phnL//norR//ssuD//ycjF//hisQ//ydfN//napB//puuA//csgC//fucI//uof//rimM//cpxR//fucP//hycG//prmC//ydbD//oppD//yhiD//rrfC//trpE//glnD//envY//dctA//yibN//paaD//
NarP-Phosphorylated	gltW//fimC//mtr//metN//cusS//hslJ//rcnB//fadB//metQ//ygiC//hcp//nuoN//srlR//hmp//nac//ydeP//carB//rbsD//phnK//nanA//cynR//ogt//nanE//narL//yeiW//ppiD//yojI//tehB//uidA//dnaE//acrD//nuoF//sgbU//yaeP//nuoN//entH//zwf//cytR//cydC//srlA//avtA//aidB//cdd//sbcC//nagC//folE//xylA//acrF//gcvH//pepT//
NhaR-Na+	pdeF//grxD//livH//hyfA//hupB//mgrR//nac//
NikR-Cd2+	deoA//rbsA//malM//chbB//ompT//pgk//
NikR-Co2+	mgtA//ldtB//yqaE//tonB//astE//glpK//
NikR-Cu2+	sohB//glcF//rbfA//iraM//mutY//yqjA//
NikR-Ni2+	serA//cusR//ynfK//nirD//infB//umpH//
NikR-Zn2+	manX//allE//pnp//bcsA//fhuC//ompW//
NrdR-ATP	gutM//rimP//codA//casD//entF//upp//csgF//purK//argB//
NrdR-Zn2+	acnA//alaA//rutB//hmp//ilvN//mlc//slyB//hycH//zraP//
NrdR-dATP	bamE//malY//fhuE//galS//nagE//narJ//fixX//nagB//ccmF//
NsrR-[2Fe-2S]reduced	glpG//lsrK//casD//paaH//ytfE//nanS//ugpB//qseB//mscM//hyfI//dsdC//sufC//atoD//ykgM//gatB//astB//rplP//umpH//lhgO//gltV//ogt//bioA//tpx//dnaE//uidB//malT//pta//cusB//ppiD//cra//bcsC//hofB//tehB//mutL//glmY//ybjG//gltB//oppB//rpmC//phnE_1//chbB//amn//cadA//pta//metC//puuA//dcuC//ycjX//cpxA//tolC//soxR//cydB//rpsS//aldA//metB//rpsF//bioA//phnF//yegZ//galE//gspL//metF//hdeA//chbA//norV//yfbR//patZ//mhpD//rrsE//trpE//grpE//glnL//fixA//
PhoB-Phosphorylated	gltB//uvrA//rrsG//lsrA//trpD//lyxK//frdA//dsbA//yaiA//fimE//ychO//araA//csgD//nusA//ilvH//fadI//ilvG_1//glcG//uxuA//ivbL//fepB//hybF//ynfE//ssuA//cheY//nhaR//ivbL//appA//uidA//ansB//yegR//ykgM//ygeA//yeaR//nirC//fadH//tdcG//mipA//gatD//glnL//lysU//deoA//trpC//caiF//yaeQ//srlB//baeR//bioB//ulaB//cusS//aldA//hyfI//crp//sdhA//rrsC//actP//frdD//comR//ung//ycjF//cusR//
PhoP-Phosphorylated	ugpQ//hyaC//mscM//cadC//phnG//tar//yhhY//arfB//ilvD//gpsA//nuoE//argH//gntP//mntS//rplS//miaA//cydA//malS//bglF//dadA//ahpF//rpsS//gspL//nhaR//metN//galP//mdh//fixA//metY//rplI//glcF//galM//edd//hflD//casE//metE//nrdG//mtr//ynfH//lolB//nlpE//mglC//iscR//hyaB//moaE//cydD//ssuE//mhpE//xdhB//ilvX//marB//fucU//nlpE//fdnH//treC//glpC//chiP//
PrpR-2-methylcitrate	slyB//glpD//fepE//dsdC//paaK//
PurR-Guanine	entB//aceB//zwf//xdhB//phoB//ybdZ//fhuD//lldP//cusR//mhpT//aspA//mgtL//cspD//ygaC//dcuC//rpsC//yneM//phnH//hycH//aspA//fadB//entS//lsrR//nusA//caiT//nanK//sdhB//asr//galS//metF//yeiP//rhaS//uhpA//ybiT//
PurR-Hypoxanthine	cusR//xylR//uhpC//fbaA//rprA//ulaB//leuE//srlE//mglA//csgF//chbA//araF//bdcA//grxD//citE//deoA//yeiB//rrsE//mntH//lacI//phnJ//efeU_2//rrfD//fau//cheY//caiB//fadA//glpR//iraM//phoU//tsaE//napF//glgC//uxuB//
QseB-Phosphorylated	bcsC//aroG//sodB//mutL//
RhaR-L-rhamnose	bioB//sroD//
RhaS-L-rhamnose	ompX//nfuA//hyfD//araB//fliA//cysA//
RstA-Phosphorylated	galS//phoR//glgS//phoU//slt//pitA//garR//infC//gspG//caiB//
SoxR-[2Fe-2S]3+ oxydized	trxA//ahpC//patZ//nuoC//
TorR-Phosphorylated	rcnB//rof//aspC//yedX//fhuD//ubiG//torD//oxyR//atoA//hyaE//
TrpR-Tryptophan	tpx//gspG//cyoA//nrfC//livF//bcsA//lldR//motA//malK//marB//gadC//rcnA//
TyrR-L-tryptophan	znuA//rpsS//idnO//hyfI//recF//rbsA//tap//entS//mdtD//cas2//dapD//gspE//nrdA//deoD//
TyrR-Phenylalanine	betA//hybE//cadA//argP//cusS//baeS//bcsB//tdcG//ygaC//modB//rrlH//fixC//hybG//aroM//
TyrR-Tyrosine	asr//xylF//xapB//mtr//yiaN//paaJ//pncB//tam//paaF//phoR//xylG//tyrR//yedX//malP//
UhpA-Phosphorylated	ppdD//
XapR-xanthosine	norW//alkB//
XylR-Xylose	paaA//rrsD//fepC//map//idnR//ulaA//
ZntR-Cd2+	marR//
ZntR-Hg	argD//
ZntR-Zn2+	hslJ//
ZraR-Phosphorylated	nrfF//alaS//ulaD//
Zur-Zn2+	entC//ilvG_1//trg//dadA//trxA//metY//
