#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	glpG//speA//znuC//aroG//
MalT-ADP-Maltotriose	cspE//fixA//dppA//rpsJ//ptsH//melR//iclR//adiC//ydhY//pstS//
MalT-Maltotriose-ATP	csgB//galE//lpxD//speB//aaeA//sucC//fepB//csiD//glgX//nrfC//
MelR-Melibiose	moaC//dsdC//hdeA//
MetJ-S-adenosylmethionine	oppA//phnF//araE//glgS//yaiW//cspD//ilvD//idnD//dppB//rutA//kbl//fdnH//uvrA//bglG//rutF//
MetR-L-homocysteine	tadA//prpR//nupC//rpsF//ydhV//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	gutM//ydhU//mdtD//srlB//cpdB//gatB//
MhpR-3HPP	envZ//trpA//yggX//ccmB//acnA//adhE//
MntR-Cd2+	araA//udp//phoQ//malI//cysP//
ModE-MoO42-	gadC//phoQ//fixC//sgbH//thrV//xylR//rnlA//crp//bacA//lysO//malK//osmY//sdhD//yebE//paaC//nrfB//trpL//dppA//fucO//appA//hyaA//cueO//rhaS//gltV//ptsI//rhaR//purA//yegR//sodB//mgrR//nrdI//mhpC//hflC//ampE//arfB//nrfC//glgX//glgC//lysU//puuD//leuE//nrdD//lsrF//fecA//yqjH//rbfA//
NarL-Phosphorylated	torC//appB//acs//cysU//purD//avtA//rhaA//tomB//napH//fabZ//deoC//dadA//fadE//fhuE//oppB//iscU//hyaD//metR//ccmG//trxA//uof//yidQ//argP//ydeJ//dctA//uof//garK//srlD//ycdZ//malT//slyB//fepD//fhuC//csgE//phnN//fau//aidB//preT//fecI//yccA//yoaG//lysA//rrlH//deoA//fadD//infC//hycA//bcsA//prmC//sdhA//proP//lacY//tcyJ//yfiP//cysI//aaeA//cynS//phoA//infC//dcuD//paaC//cheA//hisJ//glcG//zwf//livK//uxaB//rrsA//aldB//nuoK//prmC//frc//lacY//glmY//nac//agaW//hemL//znuC//uidB//dcuS//gspH//creD//iscR//oppF//zraS//betB//rrsC//csgC//mhpT//modB//uvrA//mutL//ychH//prmC//chbR//tauB//ygaC//tehB//uvrA//argD//nikE//gltV//metK//ychO//hycA//katG//grxC//cynS//sgbU//phnE_2//thrS//dcuS//uidA//yhjC//lldD//ubiA//uidA//kbl//crl//nrdG//rbsR//rpoH//hslJ//artM//prpC//
NarP-Phosphorylated	manX//rdoA//hha//gspK//raiA//rpsP//yeiB//arcA//gabD//srlA//entD//uxaA//gatC//glcE//hybO//glnG//napA//nrdG//ascF//ydiU//lsrC//citD//rbsA//bacA//galK//dnaE//hypC//gutQ//lacI//creD//aaeB//alaA//dppA//glrR//phnP//fixC//fepC//cyoD//yhfA//slt//purA//tomB//sucB//gdhA//mhpF//melR//hemA//lacI//metB//rbfA//
NhaR-Na+	rplI//carA//nikA//paaH//hofB//ampD//yciW//
NikR-Cd2+	sufS//amn//rplM//nirC//fixB//phoP//
NikR-Co2+	astB//zntA//sbmC//yeaE//phnH//rutA//
NikR-Cu2+	nikE//yhcH//cyaA//agp//copA//pgpC//
NikR-Ni2+	paaJ//hyfD//malE//araJ//torD//rrfF//
NikR-Zn2+	azuC//ykgM//fhuE//efeU_2//atoD//galS//
NrdR-ATP	rrfE//hupB//amiB//gspL//fixB//fabZ//mhpA//paaK//gltA//
NrdR-Zn2+	hpt//sufB//mntH//kbl//tyrB//gcd//bioD//mdtB//rplW//
NrdR-dATP	aaeR//glnA//prs//ydhT//pgaA//araF//sufS//nuoA//astE//
NsrR-[2Fe-2S]reduced	sodB//mscM//pstB//ydeJ//amiB//acrF//rrsE//narQ//nrfF//azuC//ptsH//fadD//manA//gyrA//entC//dnaN//ftnB//adiC//rhaR//yaiW//puuC//lsrF//ileU//feaB//fucP//murQ//lysA//glnL//bioF//nagB//phnO//nuoK//puuD//entF//yhhY//lpd//gntX//glpD//glcA//hybA//glnA//arcA//fis//nikB//yegR//ychH//lldP//tktB//phoP//pgaD//folE//zraR//xylH//narH//nrdE//garR//micF//fliZ//ilvD//nuoI//pta//raiA//ppiA//iraM//frdD//ulaF//speC//argF//pstS//ascB//cheB//ada//uidB//
PhoB-Phosphorylated	livH//atoD//yeaD//glgX//narL//yfdV//yjiY//yeaE//araD//rrsH//purN//talA//napC//yiaJ//sufB//alaA//fis//alaS//nuoA//hdeA//argA//ileT//argO//evgS//sufA//rstA//puuC//phoP//uvrA//fumA//mhpF//uidA//safA//paaB//argE//gabP//ssuC//hybG//bioB//fhuF//purA//appA//glpD//pitA//casB//pncB//fldA//mtlA//motB//prpE//ulaA//tar//fimA//mhpF//yhcH//srlB//cusA//malP//hfq//erpA//mltC//
PhoP-Phosphorylated	fepD//mdtB//hybB//nanC//rdoA//agp//znuC//fucK//alkA//cheR//kbl//trmD//glnD//rrsC//pgaD//xylH//tdcG//rrsA//alaS//yebE//nikR//fimG//rhaS//trpD//hyaD//entA//trpC//dcuC//hycC//acnB//cpxR//phnD//evgS//waaH//marB//xdhA//phnD//nusA//motB//hofN//rrlC//erpA//rutD//gspK//atoD//ssuC//xylR//bcsA//yibN//dpiB//ompA//glgB//puuP//paaK//speC//fabZ//xdhA//
PrpR-2-methylcitrate	dppF//hybO//mhpB//mtlA//uhpC//
PurR-Guanine	phoR//caiF//copA//skp//fecR//yeaE//pyrC//yqjA//rpsP//hybD//yiaK//srlB//aroH//lsrF//lamB//dpiB//ygeH//lpxD//purA//ynfE//agp//hha//priB//tdh//hycG//dcuD//ccmB//fecD//phoH//proP//pitA//ssuC//hybB//epd//
PurR-Hypoxanthine	ybdZ//allC//glrR//yneM//lhgO//rrfA//allD//fimG//uhpA//ydfN//mscM//ubiG//csgE//rrsE//gltD//copA//galE//tsr//yiaJ//gatB//dpiB//ilvG_2//rpsP//lysC//gltD//efeU_2//rutF//paaC//tsx//nikA//yfbR//caiE//sufC//ydeJ//
QseB-Phosphorylated	galM//yidQ//hcp//metH//
RhaR-L-rhamnose	hofN//uhpA//
RhaS-L-rhamnose	rnlA//tdh//puuC//uxaA//aspC//fhuC//
RstA-Phosphorylated	napG//fecA//creD//oppA//sufA//gspL//argT//fucU//psd//gadC//
SoxR-[2Fe-2S]3+ oxydized	degP//ihfA//nrdF//glcG//
TorR-Phosphorylated	cpxA//caiD//nrdE//ompR//comR//fhuD//cusC//acnA//tehB//mgtL//
TrpR-Tryptophan	metR//mdh//pck//ilvY//ydbD//cynT//glmY//rpsR//idnD//ndh//speB//ppiA//
TyrR-L-tryptophan	ynfG//mutY//cyoD//cydD//glcE//grpE//grcA//deoB//creB//rpmI//umpH//nrfF//fucA//dcuS//
TyrR-Phenylalanine	soxR//phnO//rnpB//hisQ//frdC//yccA//ilvG_2//hcp//moaC//folE//hisQ//puuE//phnI//nrfE//
TyrR-Tyrosine	dps//rhaD//rpoH//caiE//sgbU//csgB//ompA//ulaC//hisJ//dpiA//yqjH//tadA//nrdB//psiF//
UhpA-Phosphorylated	malY//
XapR-xanthosine	mpl//hycI//
XylR-Xylose	fimG//lrp//dcuD//fucP//azuC//exbB//
ZntR-Cd2+	malG//
ZntR-Hg	metH//
ZntR-Zn2+	hypC//
ZraR-Phosphorylated	hupA//ubiA//citD//
Zur-Zn2+	flhC//fis//gltU//ccmC//yecR//grcA//
