#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ydiU//mdtC//hflD//phnE_2//
ChbR-Monoacetylchitobiose-6P	amtB//efeU_1//marB//lldP//gspJ//rseB//
CpxR-Phosphorylated	oppB//rutF//flhD//tpx//sbmC//nac//glpK//atoD//thrS//talA//acs//phnE_1//rpsQ//phnG//lamB//galS//purL//purM//alkB//pnp//edd//citX//araF//rrlE//glyA//oppC//tolC//lacY//tnaB//fldA//caiF//epd//mltC//appY//idnO//srlD//fumC//sdhA//yjeV//ygiB//glnK//tdcE//aidB//cyoD//amn//crp//sroD//norW//alaS//asr//mdtB//fepA//asr//cysC//entC//preT//purA//avtA//soxS//fimA//grxC//sgbE//nlpE//bglF//tap//phnH//cysC//abgB//cydB//
CreB-Phosphorylated	gpmA//speB//bglF//fau//hyaB//trg//fhuE//cusF//nmpC//
CueR-Ag	xylF//hybD//hofN//ulaF//fhlA//ydfH//lldD//
CueR-Cu+	nhaA//livG//nuoA//yfeW//pgaB//cysH//ydhV//
CuerR-Au	dpiB//araD//cynS//paaC//rpsI//livG//argD//
CusR-Pasp	frdC//nagC//glnK//ydeO//bdcA//hmp//gntU//dcuD//malS//metQ//narX//prfA//
CynR-Cyanate	chbF//zntA//gspE//gabD//
CysB-N-acetyl-L-serine	fau//cysC//malG//serA//fhuD//uxaC//gadB//ccmA//fadB//nanE//ydeO//hycE//phnK//treB//rhaT//sdhD//caiT//lpxA//fucO//ubiG//araA//dadA//zraP//deoC//rplC//rpsC//bdcA//azuC//gyrA//efeU_1//
CysB-O-acetyl-L-serine	nanM//tyrP//livM//fhuB//azuC//ccmG//gutM//fabZ//caiC//aroA//idnR//hycI//ccmG//allC//speB//carA//rutC//nanM//frdA//thrS//tfaQ//rpsR//metJ//dsdA//mglA//astB//ampD//dctA//atoE//nfuA//uidA//
DcuR-Phosphorylated	hcp//ycdZ//ssb//oxc//purL//osmC//csgF//rplD//dcuR//
DnaA-ATP	fhuA//cysA//glpE//sodA//torA//manY//baeR//agaV//aceE//yfdX//ydhU//prpE//
DpiA-Pasp	deoB//gyrA//pdhR//pitB//fimG//lrp//uhpC//mutL//gspG//sdhD//argT//
DsdC-D-serine	livH//puuC//nuoH//
EvgA-Phosphorylated	citE//crp//lysA//thrV//gspF//cheB//phoB//mntP//gltU//idnR//phnH//pck//glgS//hybC//phoP//
FNR-[4Fe-4S]2+ reduced	rcnB//malT//cysH//gspD//prpR//gatY//malS//nadC//rutB//deoD//melB//tyrA//treC//moaE//yeaR//aceB//ldtB//pitA//yqjI//tnaA//phnC//cysK//fimH//metE//nikE//prpB//rutF//garP//pitB//prpB//frdA//acnA//uof//rbsA//nrfE//zraS//nhaA//yaiA//nfuA//hypA//nuoA//ydhX//puuD//fhuA//phnL//dppA//livF//pdeF//narI//ygiC//fecB//rrfC//livM//purR//ysgA//livG//yedX//nikE//trxA//agaW//lsrG//murQ//ccmF//phnJ//nagB//glcF//xdhB//psiE//rbsR//puuE//puuB//ackA//cydD//xylB//gspG//lsrK//speB//dmsB//katE//lacA//nrdH//chbC//ugpC//citG//hyfB//tadA//xylB//ihfA//appY//ycdZ//cusS//ilvC//gspE//cadC//fepD//ompX//nirB//spf//sufE//soxR//yjjZ//ydeM//ivbL//comR//yfdV//oppD//yfdV//yqjH//argE//hydN//csiD//ilvG_1//trpC//gatA//ilvG_1//evgA//hemA//psd//speA//ulaA//yiaL//adhE//rplC//phnJ//melA//micF//ahpF//phnD//fepB//nanS//secB//bioB//aroF//metC//grcA//entE//acrB//nupC//speC//sufC//argO//gcd//hdeA//nadC//agp//idnD//nrfB//hypE//hybE//pgk//araA//ccmH//fixB//ppdD//nanA//rbsD//oppC//iscR//ubiC//yegH//deoC//fdnG//tpx//xdhB//rplW//entF//melA//argF//ydeN//evgA//metR//citE//cadB//lacI//creB//zraR//purH//sdhA//iraD//argA//rnhB//purK//hybC//galK//alkB//nupC//treC//nfuA//hycA//cysN//deoB//gntT//creA//ydbD//chbA//napD//malS//caiD//rplI//rmf//udp//yegH//araJ//nuoE//bamE//tnaC//fadA//pgk//rplS//sxy//iraM//sgbU//rbsA//entF//astA//ssuB//yqjI//sdhC//rseC//pheM//zraS//hupB//paaA//napC//zwf//gutM//nrfE//dadA//rpsF//yiaM//purA//nagA//pitB//leuE//cysC//betT//yoaC//gatY//rpmC//yeiB//ubiG//efeU_1//aroG//araH//comR//fliA//ompW//gpsA//hyfB//araC//idnT//citG//trpD//aroP//phoR//fucR//ulaB//glpF//moaD//fecC//ahpF//garR//rplT//sufD//zraS//argA//appA//citF//sbmC//fhuB//ssuB//sgbE//marR//aceE//thrV//fepD//napA//yjcH//zraS//ulaD//mtr//carB//rplD//csgG//fixB//gcvT//sxy//hybE//katG//rrlA//fumA//chiP//rpmI//paaI//bglG//iraD//nagC//citC//yiaM//ssuE//hybC//aceB//dcuB//gntR//nrdD//
FhlA-Formate	bacA//rplV//glnA//trpR//nanK//rplB//rplC//infC//rcnB//ydeN//ycjX//lpxA//cusS//rimM//araJ//csgE//allD//glpD//pheT//ccmB//aaeA//rrlG//mlc//norW//lysP//fadB//araA//hycE//lhgO//nikC//
FucR-L-fuculose-1-phosphate	araF//rnhB//codA//tonB//argG//hdeA//ilvY//
Fur-Fe2+	tdcF//dsdA//puuD//nuoL//iclR//galE//gspO//yojI//nadC//thrV//glcC//hybE//mzrA//mutL//prs//cheR//rplP//nanA//ansB//sodA//rnhB//yeiL//hyfI//araC//fadI//mntH//rrlA//rplW//phoA//purA//pyrD//yoaG//ilvM//nikE//qseC//qseC//ynfE//folE//rpsQ//casE//fecR//gltF//fdnG//sufD//ilvG_1//cyoA//nuoN//nuoN//dusB//dnaE//sroD//sroD//cspD//nikA//comR//cysP//glyA//trg//pncB//dadA//rrsC//glnK//nrfE//ccmA//nikR//priB//ilvI//folE//ycjX//moeA//glcF//fnr//casD//crl//ssrS//galE//phoU//yidQ//bioB//hyfA//lacA//rpsI//ynfF//fadJ//ilvM//rof//fecB//gapA//fur//rrsG//nusA//ychH//citX//atoD//hyfG//yqaE//casE//dppA//dctA//narH//rhaT//ydeN//efeU_2//atoE//aroP//zinT//ptsI//hybB//ampE//thrS//nlpE//yhiD//phoH//hofN//citG//norV//rnpB//borD//ydhU//yaeP//asr//oppB//tap//rmf//psiE//raiA//hycG//rplW//agaA//mdtD//ulaE//pstA//paaC//cytR//pepT//dcuA//lacY//tauC//gpmA//rrfB//
Fur-Mn2+	ykgO//tdcA//yfiP//cas2//rpoS//hycF//tauD//aaeB//ampD//yhjC//glcE//rplV//iraM//nfuA//purK//aroL//rrfH//upp//phnG//glcE//purM//glgS//hybA//pdeF//idnR//cysB//grxC//znuB//puuB//rbsD//speB//narG//allD//dsbA//sdhD//gdhA//hslJ//nikE//ybdN//sucC//carB//efeU_2//glpX//iraD//ptsI//deoC//deoD//iscS//safA//pheM//malG//gspG//purM//argC//ascB//bioC//nikE//nrfG//acrB//gabD//dsdA//paaH//rhaA//hofO//rrlD//rutG//aaeR//xdhB//fecR//treB//rhaB//gatB//csgF//pflB//guaB//nuoB//gltW//yaiA//dapD//argD//ugpB//serA//metQ//hyfG//pgaA//phoA//prpR//dps//dcuA//lsrR//puuB//azuC//napG//aroH//znuC//aaeR//xdhB//abgB//rstB//pgk//fadD//yggX//glpG//sohB//atoE//ilvL//rybB//garK//livG//hybF//fadE//frdC//uof//xylG//yaeQ//aceK//idnT//fucR//nohA//pagP//ybdZ//ysgA//trpR//cusR//metL//ulaA//ygeH//moaD//rpsI//ilvX//ilvM//purN//dsdC//livM//evgS//rrsE//ulaC//nuoB//leuE//ubiC//
GlcC-Acetate	fhuE//borD//fimF//sodB//norW//fadJ//cusS//
GlcC-Glycolate	araA//appB//hycD//garR//uidA//fadD//bglB//
GlrR-Pasp56	hpt//
IclR-pyruvate	csgG//metQ//pitB//phoH//
IdnR-5-ketogluconate	trpR//glnB//rutD//lacZ//fdnG//mhpF//lsrK//gltF//
IdnR-Idonate	exbB//paaZ//yaiA//cpxA//cysI//gltA//xylH//pdeF//
IlvY-2-acetolactate	dkgB//ccmG//
IlvY-Alfa-acetohydroxybutirate	fhuF//gltA//
IscR-[2Fe-2S]1+	bamA//hha//cyaA//copA//hisJ//cyoC//hyfJ//dmsA//lhgO//argD//malI//ssuE//miaA//ybdN//nrdF//cyaR//rhaT//ccmF//aldB//rrsH//envY//tdcA//pgaB//motB//yiaM//paaK//narG//gcvP//csgD//prpC//adiC//araE//cysU//frdC//nac//ydeA//nuoF//oxc//betA//tsr//bioD//
LldR-L-lactate	lysO//uidA//ygiC//
Lrp-Leucine	ykgM//glpT//tyrA//fnr//glgC//gatB//glpE//cbl//mutY//gspG//chbG//rplP//dnaE//narJ//nikA//ftnB//iraD//ydeM//argT//gspH//yhiD//gatY//osmY//lacZ//ydiU//ileV//fnrS//ppiA//nirC//tehA//purM//hofB//nrfC//ybdN//zwf//mdh//trpA//micF//nac//spy//trpL//gabD//betT//ydhT//hpt//ung//fepB//metF//nrfD//mdtA//nuoM//glcG//trmD//lysC//iscR//cusF//cusA//ycjX//creC//caiA//emrK//ccmF//lpxB//mgtA//phoE//treB//yecR//caiF//zwf//tonB//cyoE//fiu//araC//rrsD//ompR//ygeH//hemL//trg//rutD//chiP//gatY//tnaC//rnpB//hyfD//prs//hofM//dmsA//idnK//alaT//ugpQ//katE//norW//nac//rpsO//tonB//manZ//nikD//sufC//patZ//nagC//sbmC//phnK//paaF//narL//sdhA//ugpB//
LsrR	yrbL//dgcZ//bacA//ileT//fdnI//mglB//deoC//uhpB//fimF//
MalT-ADP-Maltotriose	oppF//pck//ssrS//lldD//aaeR//astC//azuC//sdaA//cynS//trpA//
MalT-Maltotriose-ATP	garP//grxC//nrfD//purF//moeA//aceA//cspE//serC//hypD//purF//
MelR-Melibiose	glcC//araC//gltU//
MetJ-S-adenosylmethionine	cydB//hmp//borD//phnJ//aceB//hlyE//fadH//gltT//edd//frdC//nrfC//entD//gntP//frdD//cyoD//
MetR-L-homocysteine	guaB//nuoI//fimG//pgaC//cynT//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	creD//prpB//ahpC//rrsD//cusB//cynT//
MhpR-3HPP	rplC//ygiA//serC//micF//yggX//hybE//
MntR-Cd2+	nuoH//hyaF//cas2//trmD//lrp//
ModE-MoO42-	nagA//psiF//creC//lacA//cheB//malE//pyrC//csiE//yhjC//glpA//trpL//ydeN//yfbR//feoB//aaeX//cysA//rstB//oxc//cstA//ydeO//yfdV//ampD//sbcD//baeS//malE//nanT//sucB//rpsR//fepB//fadH//csgE//adiC//waaH//ydhT//uhpT//rprA//fucK//cpdB//oppB//nrdD//ugpC//purC//phnE_2//ydeP//grxD//psiE//
NarL-Phosphorylated	hyfH//nagE//ccmA//hupB//yaiW//ulaF//bglF//xylA//ytfE//hybO//ubiX//rpsJ//gcvP//frdB//mtlR//xylG//moaD//truB//mscM//dusB//paaG//rrsA//nhaA//ppdD//cheR//argI//comR//grpE//tsaE//ileV//cpxA//hyaC//entS//yaiW//xylR//avtA//mhpR//lysO//fadI//purA//gltT//cheZ//rutC//rbsR//pitB//ssuA//appY//phoR//gntR//glpK//yiaL//pagP//ysgA//cheW//sufC//sucC//mgrB//malF//crr//araD//csiE//phnD//nrdB//ssuA//fixC//secB//ybdZ//artM//puuP//glpA//hcp//trpR//cusA//iscU//hyaC//glcA//nrfB//rhaD//sdaA//ulaF//livJ//hycA//prs//grpE//acrB//folA//tnaA//rpsJ//purA//comR//torC//metJ//acrF//ydiU//bioF//mhpF//argO//malX//dppA//cas1//bioF//gcvP//rseB//mgtA//yegR//livK//malM//metJ//hycD//chbG//bglG//rpsQ//pta//hyfR//lysP//purL//nrfD//evgA//mtr//cyoB//dctA//rybB//hypA//glgX//glcG//
NarP-Phosphorylated	efeU_2//fepA//yiaL//mzrA//fixA//agaV//metY//gcvH//envZ//ydhU//glcE//malQ//ydhX//ompT//phoE//cra//nrdA//fdhF//rbsA//xylH//hypA//galT//rplV//ihfA//malQ//rbsB//glcG//trpL//sbmC//ybfN//ilvN//rrsB//metI//artQ//ydhY//cysG//murQ//ccmD//hflX//deoB//carA//glgC//rrlG//secB//uidC//map//galS//fbaA//rutC//rrfH//
NhaR-Na+	nrdA//yeaR//grxD//artM//uhpT//srlD//ilvG_1//
NikR-Cd2+	deoC//narI//citC//ssb//fepA//cysP//
NikR-Co2+	ansB//dmsC//rof//hybE//preA//yqaE//
NikR-Cu2+	rutG//rrlB//nuoK//oxc//speB//cydB//
NikR-Ni2+	tdcC//yegH//hemA//tdcF//glcD//mdtC//
NikR-Zn2+	fau//tdcB//araJ//ileT//idnO//stpA//
NrdR-ATP	hyaA//ppdD//csgE//gnd//citD//uxuB//mgtA//hdeA//xylF//
NrdR-Zn2+	rbfA//rpoE//rpsO//stpA//ybdN//murP//priB//ugpA//ilvX//
NrdR-dATP	mdh//cyoE//mntH//xdhC//ldtC//betT//argB//cheW//ung//
NsrR-[2Fe-2S]reduced	fumB//bioF//exbD//sufC//norW//fdnI//argE//fur//fixA//ygiB//ulaF//malS//tauC//chbC//yrbL//napC//paaC//rnhB//xdhC//araB//ileV//rcnA//phoQ//fecE//fadJ//cirA//uhpT//cysJ//gntX//rrfD//rstB//glgX//mglA//arfB//ugpB//rimM//phnJ//yebE//fadL//creA//bglG//gspM//hyaD//malP//lhgO//bioA//icd//tam//galS//modB//abgB//nrfA//rplT//polA//gspM//glcG//ykgM//abgB//fnr//fucP//bglG//phnK//rpsP//ptsI//gpmA//narX//rrlC//narI//ryhB//hcr//ompW//bioB//mhpB//
PhoB-Phosphorylated	ampD//exuT//cyoA//yqaE//malT//prpC//ebgC//nanC//creC//borD//glyA//pstA//ybdZ//lysU//hflC//purM//rpoE//ascF//uidC//ilvN//argA//galS//sbcC//rutD//fixB//leuE//sohB//yeaE//azuC//ydhY//cydC//nikB//fldA//metN//cpdB//melA//gcvT//dsbA//folA//yibN//phoP//nupC//waaH//ybfN//yojI//gltW//fixC//yjeF//napA//pgaD//ampE//allC//nuoK//yiaN//araF//grpE//dcuR//rpsR//gcvP//rpsF//ilvG_1//
PhoP-Phosphorylated	cysM//ilvE//fhlA//rrsG//hycE//cytR//rbsC//rpoS//nrfE//nirD//oppC//ugpE//zraP//rplW//treR//cysJ//znuA//tdcD//hybO//lysU//glgP//narL//puuR//livF//katE//thrS//entD//mscM//sufE//yiaL//aaeX//rrfE//icd//gntT//fdnI//malI//ccmD//hdeD//tnaB//pyrC//entF//micF//rrlG//mhpB//entE//aroH//fixA//murP//argF//lrp//fixB//pitB//paaF//zinT//pgaA//bdcA//rplV//
PrpR-2-methylcitrate	prs//uxuB//tehA//sucD//preT//
PurR-Guanine	dnaN//ykgM//hyfB//cyoA//aroL//cra//treR//cysN//frc//mhpB//nanK//chbA//hdeA//nikR//ydhW//rrfA//miaA//speB//nrdH//rrlB//trxA//rpsP//fldA//ccmE//trpC//xylR//ilvB//yaeQ//grcA//cusC//bglB//fimC//artM//yiaN//
PurR-Hypoxanthine	ilvX//dcuR//mlc//hybO//napH//ugpA//argI//yiaO//prpB//cheA//hypE//ydhX//chbG//hybA//malT//fhlA//rprA//rrlE//cadA//rbsC//hypC//rcnB//bioD//nrdI//hycA//gpmA//entS//tdcD//dkgB//phoH//agp//yibN//sbcC//mdtD//
QseB-Phosphorylated	ftnA//glpF//cydB//hycG//
RhaR-L-rhamnose	aceA//hyaB//
RhaS-L-rhamnose	cysA//glrR//trpB//ispE//nfuA//trpA//
RstA-Phosphorylated	tdcG//pstC//gapA//uidC//phnK//lsrR//xylF//galP//galS//leuE//
SoxR-[2Fe-2S]3+ oxydized	iscA//yibN//melB//hofP//
TorR-Phosphorylated	rrsA//torR//mglA//purA//argO//phnM//malG//cysP//prpD//paaB//
TrpR-Tryptophan	folE//yhcH//bioC//pstA//truB//rrfE//deoD//hybA//zraP//nrfA//exbD//gapA//
TyrR-L-tryptophan	ilvG_1//tdcF//gspI//hypA//hyaF//casD//fadB//fau//yqaE//gspH//fnr//map//tyrA//rpsC//
TyrR-Phenylalanine	pheS//hupA//codB//idnO//ptsH//hycA//putP//rpsO//cyoE//leuE//entS//paaG//psiF//dadX//
TyrR-Tyrosine	yeiL//fadI//xylH//trpE//glnK//betB//cysB//agaW//bioD//zraP//ydeN//mtlD//ycjF//rhaB//
UhpA-Phosphorylated	gadB//
XapR-xanthosine	artI//edd//
XylR-Xylose	hycA//ccmH//nuoJ//ompT//yciW//gspC//
ZntR-Cd2+	gspM//
ZntR-Hg	galE//
ZntR-Zn2+	ynfG//
ZraR-Phosphorylated	rhaA//sdhC//soxS//
Zur-Zn2+	ccmD//ykgR//ssuE//purC//degP//galK//
