#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	sucC//cdd//ygbA//citG//
ChbR-Monoacetylchitobiose-6P	nagE//puuR//nrdB//upp//fixA//phnL//
CpxR-Phosphorylated	tauB//tfaQ//hybG//mhpR//metI//rseC//feaR//prpB//purK//citD//fucP//yjjZ//metB//xylH//glgX//hyaA//rbsR//mdh//paaC//garL//amn//tauA//caiE//tdcC//phoA//casA//glpQ//yiaO//caiA//cas1//nikC//phoH//fhuD//yegR//yfdE//glgC//nagA//nuoL//ompT//ybfN//rpsP//lhgO//rhaB//appB//gspD//lacY//osmY//argE//gatD//hmp//phoE//sbmC//yedX//glcC//ptsH//moaA//malG//trpC//puuR//hycI//citD//nirB//tadA//psiE//dppB//hybO//fepE//appX//hisP//
CreB-Phosphorylated	gspE//nanM//nrdA//phnC//comR//cspD//rpsR//casC//argE//
CueR-Ag	ilvE//cheZ//hofB//xapB//gatD//mglA//yiaO//
CueR-Cu+	ydiU//hycE//map//thrS//phnL//ubiG//gabT//
CuerR-Au	ydiU//lysO//lacY//dps//dmsD//fabZ//ynfF//
CusR-Pasp	ybfN//rstB//ppdD//nohA//grcA//lpxA//ynfH//tomB//znuB//galK//lolB//atoD//
CynR-Cyanate	gabT//hypE//zntA//pyrD//
CysB-N-acetyl-L-serine	ccmH//cynT//feaR//cyoA//fhuB//grxD//gspH//fucR//slyB//fiu//glcA//serA//puuA//ssuD//ytfE//rplM//fdnG//ppiD//dmsA//ssuC//efeU_2//srlR//lrp//rplB//ydbD//hlyE//rrsB//rybB//fadL//lolB//
CysB-O-acetyl-L-serine	nlpE//gltW//modC//melR//efeU_2//yeaR//aer//marB//ompF//gltA//cpdB//efeU_2//hemA//paaA//frdA//mltC//rrsH//casB//dkgB//rrfB//creC//tehB//ampD//sgbU//hlyE//mtlR//uxaC//guaA//paaI//mdtB//sufA//
DcuR-Phosphorylated	sufB//metK//yegH//ilvC//hyfJ//pgaA//garL//ydhY//nuoF//
DnaA-ATP	caiT//ysgA//fumB//yecR//rpoH//ascF//ppdD//serC//paaA//prs//micF//fixX//
DpiA-Pasp	araJ//uxaA//ompT//speB//evgA//narH//alaT//sdhB//yaiA//ompT//psiF//
DsdC-D-serine	erpA//gltB//gutQ//
EvgA-Phosphorylated	betA//bglF//livG//gcvH//uxaA//yqjH//motA//yhcH//tyrB//iscR//entC//fur//hycH//gspC//psiE//
FNR-[4Fe-4S]2+ reduced	sdhD//narI//sbmC//truB//norV//pagP//yggX//fumA//rpsO//deoC//gltV//phnE_2//sufS//phoP//hycB//glpQ//hyfR//mhpR//tnaB//kbl//upp//ahpF//argT//gltW//lysA//deoD//cyoD//purK//dppC//hyfE//mgrB//glcC//osmC//ilvM//oppC//ybdZ//speB//tar//acrE//envY//glpQ//rhaA//mhpB//artI//argP//ydfH//tehA//iclR//uvrA//acrF//arcZ//paaA//cysN//speB//rrsE//pnp//dnaA//ascF//phnK//malZ//rrlC//cysN//xseA//cvpA//bioC//cysI//pstB//hofB//gntP//ybjG//gnd//nuoF//glpC//ynfK//puuP//melB//gspG//qseC//ilvD//znuC//yjcH//gcvT//rof//rbsC//glcG//gntU//nrfE//aceE//cadC//zinT//ydhV//nuoK//ynfH//fepC//hycE//melR//araG//rrsA//srlA//rutA//glpC//pnp//glcF//rpsS//cra//sgbE//proP//aaeB//hyfD//iscS//ascB//ygiA//prpD//araA//hcp//rrfB//hybF//gcvH//phnE_2//lysA//pagP//cbl//tktB//appB//lsrK//narX//cheY//fadL//malX//guaA//umpH//lysC//hdeD//ydhW//rutG//speA//csiE//nupG//gltT//glnG//rplT//safA//rutB//hyaF//hyfJ//dcuR//ubiA//glcG//nirB//rpmI//astB//mtr//hypA//gatD//dmsB//pgaB//envY//livK//nlpE//tdcE//fur//moaB//appX//cirA//evgA//malS//ilvC//hybB//phnD//nlpE//moaB//fimH//malG//gltV//aroG//puuC//yhiD//rutC//hycG//galE//uidC//pgaA//rrlA//gspG//fadI//rstA//napD//fimC//mtlA//sodA//aspA//gspL//ilvY//soxR//dppD//phnL//nrfB//fdnG//betT//cusB//narX//ung//phnP//dppF//znuA//iraM//fucU//xdhC//yhhY//argI//ssuC//glpC//ilvL//flhD//azuC//baeS//mhpB//hlyE//gltU//puuE//ygaC//hyfB//dmsD//fadD//fixC//dapB//dapD//lsrB//pgaC//mntP//mgrR//frdA//hemA//nikC//yiaO//dpiA//cheW//glgB//tdcD//hyfE//uhpC//astE//yeaR//glnL//exbB//yfaE//araC//glgC//nrfE//entD//cysK//fadD//skp//nikA//fecI//hemA//cheR//yibN//sufC//gabT//cysI//sucA//nirC//paaH//bioF//rplM//moaC//tktB//rplD//yeiL//nagB//torC//entC//nuoG//phnD//cdd//infC//uhpB//fadB//yqaE//gltB//dnaE//pheT//hcp//aceA//nuoI//qseB//trg//tauA//tadA//katE//nuoH//idnT//mutL//trpC//nanA//dnaE//tdcD//nikD//livF//tsr//fau//baeR//fecR//hyaF//
FhlA-Formate	stpA//hpt//leuE//bglF//norR//lsrA//spf//rhaB//aidB//phnE_2//paaA//treR//aaeB//nanC//gltW//preA//purH//rutB//rpsC//aspC//tolC//metB//paaG//tdcF//oppA//sgbE//glgP//xylR//artQ//fdnG//
FucR-L-fuculose-1-phosphate	hybO//ydeA//cysG//znuB//lsrD//glpC//feaR//
Fur-Fe2+	uhpT//srlB//glcA//avtA//araB//dsdC//ynfF//purH//rrlE//ssuC//fimD//gspG//ccmC//uxuB//nikE//ubiX//aceA//gspG//dctA//allD//rplC//csgA//envZ//prpD//rpsQ//acrE//hyfD//cvpA//ynfH//glpG//astB//mhpA//yeaE//glpD//uhpB//torC//sucD//moaB//yjcH//fdhF//sdhB//appX//tcyJ//atoA//erpA//hypE//nuoH//fldA//yhjC//acrB//sxy//lysU//gspF//mzrA//sufE//glgC//gdhA//rpsO//nfuA//crr//cpdB//livK//uhpA//cysW//malQ//glnK//xseA//lolB//aroF//trpD//ygiB//dkgB//cstA//azuC//cdd//phnH//malZ//hycF//hyfJ//cysP//ydeM//fhuE//entF//rnpB//copA//araB//fucO//cydB//aroL//appY//fixC//cynX//sufE//avtA//malT//speC//ycjX//abgA//bioB//gutQ//cysA//trpD//rnlB//aroM//ssrS//tar//rrsB//rutF//fadD//uxaC//malI//fadD//hyfF//lpd//hofB//fecA//yegZ//cusB//gatD//flhC//caiE//nuoM//lsrK//nagA//adiC//tsx//nrfA//rpoE//caiC//sdaA//idnD//fumC//copA//glpK//rnpB//entF//ptsG//bioF//ydhV//appY//
Fur-Mn2+	ydhU//rpmI//csgA//acs//cirA//gnd//mipA//sdhA//metN//folE//aaeR//rplC//xylB//uxaC//xylH//fes//torD//araC//gltD//rbsD//alaA//sucC//glcB//mhpR//miaA//fecR//dusB//gspF//fepB//purC//aroG//hyfE//nuoH//xylH//ulaB//malY//pstA//purB//gntT//ccmA//pgk//cas1//nrdI//glpT//fumC//aroM//rpsO//livM//ssuB//malI//ygiC//yojI//prmC//cyoE//cdd//fliA//rbsB//gspO//sbcC//soxR//rpsF//casC//hisJ//bdcA//hyaF//astC//bioC//rybA//galE//srlB//ydhW//ydeN//xseA//ilvD//ytfE//bcsC//purL//dppF//fnrS//ulaF//ycjX//cadB//fecE//serA//xylR//tyrB//rnpB//pstB//mcaS//ygbA//sufS//narK//tsgA//argG//trpD//psiF//argB//purB//cysP//proP//paaF//malG//rhaS//bioD//fhuE//yfdX//sdhB//frdC//amn//pgaD//caiE//phoR//puuA//cysM//rplB//tauD//mntS//marB//manY//tap//dapB//puuA//hfq//rrsA//paaG//focB//cas2//hyfB//cpdB//ulaA//ndh//pncB//bioA//hofP//ygeH//glpK//miaA//paaH//sgbH//metH//
GlcC-Acetate	bglB//allD//ulaD//manY//galM//tktB//fepG//
GlcC-Glycolate	gcd//cusS//tyrR//yaiW//rpoH//cadB//hycH//
GlrR-Pasp56	fhuB//
IclR-pyruvate	envY//pta//idnT//fadH//
IdnR-5-ketogluconate	fau//acnB//rimP//chbF//ivbL//gntT//nikE//nikD//
IdnR-Idonate	entB//metF//ubiA//nuoI//arcA//pstA//dpiA//bcsA//
IlvY-2-acetolactate	gatZ//fhuD//
IlvY-Alfa-acetohydroxybutirate	nirB//mltC//
IscR-[2Fe-2S]1+	nrfD//ydhU//hycF//yfiP//manA//hyfE//livK//astD//hisP//mhpA//rrfB//csiD//appC//cas1//oppA//nrdB//nikE//nrfF//fucP//aceB//codB//uvrA//cueO//lsrC//ygiA//folE//purL//yegR//argP//ebgA//cadA//rplI//ydbD//yiaL//rplT//ilvG_2//nrdG//ada//argB//dnaA//yfdE//
LldR-L-lactate	rrfB//priB//gpmA//
Lrp-Leucine	hemA//fecC//lacY//hypB//rrlD//hycA//evgS//ebgA//metH//rpsQ//tdcD//ydeM//rutA//yfdV//rrfF//narX//pstS//manX//yeiP//caiA//hyaF//gspI//evgA//tauD//purM//fis//tomB//fadH//narG//metC//nrfC//lsrC//uhpT//hisQ//agaV//copA//ackA//ynfG//galS//ydeJ//argA//ynfE//hypB//nuoJ//hemA//tdcD//yhfA//nanS//pstB//idnK//garR//gnd//ryhB//gspO//osmY//rhaS//fumA//evgA//rbsB//tolC//fliZ//rnlB//nagC//rrfG//udp//nikA//cysW//truB//glcC//sucB//pheS//cpdB//ileU//ccmC//flhC//modC//modB//caiE//ugpQ//purA//entF//srlA//ygbA//sohB//lsrG//gltW//malE//fecD//bioC//yrbL//gatC//pta//gntX//znuB//gltW//rplD//codA//mtlR//hycI//bhsA//ssuD//fecE//cirA//fliZ//guaA//napB//
LsrR	gabD//patZ//rhaR//ulaD//oppD//dppD//gspO//araH//rnhB//
MalT-ADP-Maltotriose	mgtA//raiA//spy//katG//sbcD//sdhB//purR//cas2//bdcA//ccmF//
MalT-Maltotriose-ATP	trmD//phnC//oppB//dnaA//gspC//glcE//cysD//cpdB//ulaF//glmY//
MelR-Melibiose	proP//gatD//efeU_1//
MetJ-S-adenosylmethionine	lacZ//yqjH//infC//aroG//rhaT//narK//hisQ//ydhY//glgA//tpx//raiA//rhaS//lsrD//rrfB//ndh//
MetR-L-homocysteine	artP//srlB//fur//amtB//atoB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	rpoE//evgS//ydeJ//pgaC//uxaC//rpmC//
MhpR-3HPP	hlyE//cysK//tam//tpx//ykgO//hyaD//
MntR-Cd2+	efeU_2//ebgC//rpmI//purC//glnG//
ModE-MoO42-	galT//fadH//nanA//zntA//fnrS//lsrR//acrA//nmpC//ybjG//idnR//ubiX//gspO//ydhU//garL//ftnB//paaK//glgB//ilvN//rrlD//hypB//xdhB//malX//phoP//ptsI//fucR//ytfE//cpxA//gspM//rimP//phnO//aroA//cysI//xdhB//ampE//fumB//dcuS//prmC//ogt//citD//garP//narL//argI//ilvB//fimE//napA//pgaC//
NarL-Phosphorylated	cysB//pheS//metA//tauC//pgpC//tdcG//cvpA//polA//yaiW//frdB//pncB//grxC//ptsG//kbl//bcsB//ybdN//fnr//fepA//phnE_2//rutG//glnD//ompA//casE//artM//cusA//modC//araH//cytR//spf//ccmE//aroG//thrV//rpsI//caiE//nrfF//ycjF//oppC//exuT//lsrR//yfaE//galS//ung//spf//feoC//rdoA//mcaS//yeiL//oppC//zraR//nrdF//lpxA//zntA//hemA//cyoC//qseC//serA//rbsD//hybO//ptsG//fecD//phnJ//cueO//infB//tdcB//bioA//glgB//metK//lpxA//ychH//ccmB//uidA//galE//pagP//sufS//atoD//ydhU//fimC//malS//metC//nanK//mhpA//fepB//sufA//yfdE//ulaD//fimF//fucR//glcE//nrfG//yfdE//grxC//fepA//fucA//ydhV//fucO//hybC//uof//malS//hupA//edd//crl//sufC//ydeO//hyfG//gspI//thrS//dcuA//dsdC//iscR//araC//napH//sdhA//phnN//aroA//astB//astD//mglB//argC//narI//glgX//ccmG//rrfH//zinT//lpxB//hybE//
NarP-Phosphorylated	hyfD//cyoA//pstB//glmY//ptsI//glcD//sbcD//rimP//yeaE//ynfF//ybfN//fldA//nuoE//frdD//allC//nagA//cytR//yegZ//hybB//rrfB//fur//iscA//mdtA//trpR//lysU//cysU//acrD//ydeN//araD//marA//arfB//tdcE//hybO//nikR//casA//purF//cusR//tktB//adhE//zinT//grpE//acnA//trmD//putP//gcd//feoC//amiB//aer//yiaN//ssb//
NhaR-Na+	zntA//yeiL//exbD//yeaR//entE//secB//lsrF//
NikR-Cd2+	cvpA//ilvH//yhjC//betT//lysC//cheA//
NikR-Co2+	casC//chbF//csgB//artP//mglB//ydeN//
NikR-Cu2+	rimM//acrD//acrA//oxc//cstA//emrK//
NikR-Ni2+	ygiB//pstB//acrD//rnlB//argF//hupB//
NikR-Zn2+	cysW//rcnA//fecE//fnr//nadC//tdcC//
NrdR-ATP	yecR//acnA//hypC//waaH//manY//csgC//phnN//ybfN//rutF//
NrdR-Zn2+	feoA//fimD//artQ//metJ//gabP//dppA//csiD//envY//trpE//
NrdR-dATP	micF//rrlC//flhC//ndh//arfB//norV//yiaN//gabT//livH//
NsrR-[2Fe-2S]reduced	tauC//cysI//fes//lacZ//cysM//hflX//srlD//rbsR//rbfA//ykgM//acs//rbsD//aldA//rbsK//nuoL//atoD//tadA//ygaC//cdd//mgrB//envZ//frdA//yeaD//rbfA//asr//livG//uidA//ilvG_2//napD//fepA//ilvM//nanK//yegH//rutE//frc//phoH//aroH//cspE//fdnG//uxuB//tdcD//alaS//iscU//sufA//cheB//dppA//rimP//aroL//dusB//safA//entD//kbaZ//cusC//tauA//pstS//emrY//metF//yrbL//dmsB//fimE//ompT//nuoL//glcC//manX//waaH//lsrC//epd//zwf//purL//yaeP//ccmH//nrdG//ryhB//
PhoB-Phosphorylated	manY//nrdG//uxuR//katE//glnD//hisP//dsdX//pgaD//yeaR//xdhA//hisQ//bioD//ppiD//osmY//hlyE//hslJ//ompT//agp//amiB//mhpA//entF//caiA//sucC//rpsR//evgS//aroG//ahpF//rrfF//oppF//tyrA//ilvH//gltV//nlpE//cysA//uxuA//cydD//yqjA//alkB//hycC//codA//iscS//paaC//nuoK//rpsQ//nikD//lysC//ynfE//cusC//araB//fumB//mscM//bglF//grxC//mtlA//sodB//rrfG//pheS//rnlB//map//rseB//hflC//
PhoP-Phosphorylated	hycE//nmpC//ccmC//yfdX//galM//atoB//ptsG//napB//trpB//phoQ//sucD//dusB//prmC//galS//artP//yqjH//fepA//nirD//flhC//iraD//aroL//fucP//malM//rnhB//glnD//garP//ytfE//ompF//rrfB//ykgO//carA//mltC//fdhF//dmsA//melR//ompR//araH//tomB//aroP//nrdH//ilvG_2//narH//nuoB//gltD//metB//gatC//treR//tsgA//tnaB//metQ//rpsC//nrfF//preA//nupC//putP//moaC//cydC//
PrpR-2-methylcitrate	alaT//sbcC//fhuE//crl//ilvH//
PurR-Guanine	caiC//asr//mpl//ilvC//fumB//edd//ykgR//lpxB//mepH//ompX//ileV//yegR//fur//gntX//xylF//skp//hyfG//ahpF//nac//aceF//gabP//trmD//asr//hisJ//stpA//cirA//atoA//yjeV//rhaA//epd//yoaC//treB//prpD//ptsI//
PurR-Hypoxanthine	cra//citX//sodA//frc//ilvG_1//yqjI//rybB//purF//citX//glnK//yjeF//paaA//araB//crp//hfq//ndh//yggX//cydD//chbB//ugpQ//purR//hlyE//tnaA//uxaB//livJ//nuoM//fau//fadE//rstB//trpE//hmp//oppF//aaeR//iclR//
QseB-Phosphorylated	mdtD//cbl//frdA//fadJ//
RhaR-L-rhamnose	puuA//betI//
RhaS-L-rhamnose	ulaA//ubiX//puuE//paaG//bglF//tadA//
RstA-Phosphorylated	edd//yhcH//cvpA//ihfA//atoA//rnlA//hyaB//moaE//nikR//hpt//
SoxR-[2Fe-2S]3+ oxydized	fixB//hyfF//acs//dnaN//
TorR-Phosphorylated	rbsK//tsx//narJ//hha//rnlB//livG//moaC//cysH//trpD//treC//
TrpR-Tryptophan	phnO//yqaE//dsdC//mhpF//yggX//araJ//ycjX//rpoS//aceE//thrS//hydN//fecR//
TyrR-L-tryptophan	allD//cysU//nrfD//frc//artI//pgaB//ygiA//cynT//phoE//idnK//ccmC//psiF//appB//rpmC//
TyrR-Phenylalanine	csgD//hycA//cdd//glcC//dpiA//trxA//glcE//yoaG//tadA//modA//ptsI//narI//nanT//fimH//
TyrR-Tyrosine	fecR//rrfF//znuC//nrfB//yhjC//nlpE//pdeF//aaeB//mipA//frc//carA//dsbA//deoD//amtB//
UhpA-Phosphorylated	cysB//
XapR-xanthosine	yeaR//mhpR//
XylR-Xylose	lpd//phnG//rrsD//hisJ//pstS//galE//
ZntR-Cd2+	fimA//
ZntR-Hg	cyoC//
ZntR-Zn2+	pheT//
ZraR-Phosphorylated	pitA//rrfC//hyaE//
Zur-Zn2+	lpxD//copA//erpA//fnrS//rhaR//nagB//
