#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ygiC//hyfH//argC//napD//
FNR-[4Fe-4S]2+ reduced	ileV//rpoH//nac//ybfN//rrfD//paaJ//nuoG//fhuC//gatY//nuoJ//tar//metN//glcF//argH//narK//yeiW//modB//ccmD//trxA//deoD//ilvA//puuP//bcsB//galK//hycC//rstB//hyfF//metH//yhiD//nrfB//ilvC//yjjZ//fucA//argA//trpA//uof//hycI//lldR//malQ//mntP//copA//frdA//nohA//rrfB//sucD//hyfD//phoU//fimF//hofN//puuD//nrdA//paaG//phnJ//psd//cueO//hslJ//glgC//hycA//ompT//argA//gutM//atoE//hycH//dnaA//ugpB//araC//gyrA//pstB//ccmE//trxA//rpsP//garK//argA//yebE//epd//udp//xdhA//lacA//livG//torA//iscS//mdtD//dcuB//gutQ//atoE//uxaC//ndh//fhuF//ykgO//safA//idnD//nrdG//aspC//fecA//nlpE//csiD//motA//torR//hyfA//pagP//evgS//ascF//rpsO//gatD//envZ//uxuA//tauB//fecD//nohA//rpoS//fixA//moeB//dmsC//gspJ//zwf//argD//cusF//mtlD//nanC//entH//grxD//ampE//gatY//argR//betA//cyoC//aceK//rdoA//fau//xylA//rrlE//gspF//thrV//dusB//narG//ygeH//moaE//nuoC//pyrC//trpD//rplV//phoB//yeaE//galP//fhuF//gpmA//nagC//gatB//aaeA//nrfE//pta//nupG//rpsS//treR//malT//ptsG//hyaF//bcsZ//argI//livK//fnrS//hfq//csgA//moaE//ccmA//nrdE//hycC//yjjZ//mcaS//aspC//yiaN//fhlA//srlA//hyfR//fixA//mtlA//phnP//phnE_2//idnK//mdh//nuoN//hmp//appB//astC//phnL//fadA//nrdF//lysA//cspE//fimA//dapB//fucO//gadB//csiE//malF//rplC//cysB//yfdV//fes//fadL//paaG//manZ//paaK//marR//infC//araD//chbG//fdnG//cueO//napB//ccmE//tdcG//ybdZ//recF//copA//lsrK//hypD//hypE//nrdB//napH//mhpE//entH//bioF//hofN//gabD//fadA//prpD//glcE//hofM//ygbA//udp//gltF//rrsE//fixA//codA//acrB//rpmI//rpsO//nac//norW//rrfE//xylG//dadX//nusA//lysA//dapD//zwf//fdnI//hyfA//katG//alaA//ulaA//sroD//azuC//glpQ//tdcB//ytfE//yoaC//bioD//nrfG//mltC//phoE//aceK//bglF//deoA//yfdV//hha//purF//sdhA//citG//dctA//yiaM//metN//acnA//tyrA//ygiA//gntK//fepB//gabD//glpK//lsrG//appX//rnhB//fecB//fumA//sucA//dmsC//csgF//ileU//purD//yiaO//cheY//ccmA//hemL//dapD//hyfF//slt//nuoN//malF//ykgO//mgtL//phoQ//appC//aceB//mhpC//
FhlA-Formate	yeiW//napG//betT//pncB//ilvD//nanM//slyB//fecB//entE//hyaB//tpx//cpxA//lacA//gpmA//hypE//skp//yaeQ//bhsA//rhaD//fucI//rpsR//ygiC//fumA//nrfE//rimM//ynfK//preA//pstB//citD//argI//
FucR-L-fuculose-1-phosphate	ugpQ//betT//agaA//ptsI//cyaA//csiE//thrV//
Fur-Fe2+	aroP//putP//yidQ//gcvT//yiaN//nuoI//bamE//norW//nrdD//aaeX//cysC//livF//fimC//yeaR//nrdI//aceA//bcsA//csgB//motA//oppB//gntT//rpmC//mpl//ybdZ//livH//ileU//mepH//mhpR//yhcH//nikB//chiP//manA//citE//iscA//yqjI//flhC//napC//ugpB//tauD//hybA//fecE//nirB//csgG//gabT//hyaC//fimA//soxR//cpdB//bioA//srlE//abgA//garL//fdnI//yeiW//lpxB//livM//galP//rutG//mhpF//fadI//lldP//rrfC//yciW//phoU//fdnI//rutB//artI//cspD//uxaC//idnR//ygaC//qseB//fimH//degP//murP//narL//glcE//xylH//phoR//gspD//cyoE//narL//cusF//cpxR//metF//rpsR//dppC//gatC//citF//rrfC//frdC//yeiL//cspE//moaB//ptsH//sucD//rutC//dppA//slt//mutL//envY//glpB//ssuE//tadA//fhuF//nhaR//casB//araF//ilvL//znuB//xapB//ubiC//ugpE//hyfC//ebgA//yhfA//torR//ychO//argP//alaT//ebgC//metR//feoA//sdhC//ascF//gutQ//mtlD//chbF//ccmF//pheS//manA//cysC//icd//ftnB//yneM//motB//modB//citX//artQ//xylH//
Fur-Mn2+	aroH//modB//phoQ//garR//feaR//ychH//rrfA//gspK//gatZ//baeS//frdD//yqjI//ascB//fixB//hyaF//astA//cspE//gltV//narG//puuD//rrsH//mcaS//hyfF//rpoE//rpoH//uxuB//rplI//mglC//uxuA//yjjZ//bioC//lldR//ccmF//rbsD//lsrD//fixA//cydA//idnD//srlD//fliA//rrfB//borD//hybG//metA//yhjC//cynR//glpA//mcaS//casA//glpR//manY//hupA//aroM//citG//serA//hemA//appA//rbsA//rbsD//hflK//metY//fadB//waaH//appC//napD//purR//srlB//ybdZ//hdeB//lpxA//srlB//ilvL//aroL//ytfE//trg//tap//zntA//creC//tdcE//srlR//malZ//norR//tauC//malG//dppA//rrfC//phnE_1//araG//lldR//ccmF//purK//nuoF//hofN//frc//evgS//gltD//prpR//cydC//garP//metK//ilvG_1//nagE//gabP//yeiW//cheA//grcA//phoQ//rcnA//grcA//dcuB//ugpQ//ada//prs//fliZ//atoE//yhfA//tktB//yhfA//cdd//ccmA//csiE//tsaE//marR//fdhF//marB//ybfN//eda//pgaC//sucD//glrR//prpR//yeaD//acnA//hflK//glnD//pagP//phnF//cueO//alaA//rbsA//
GlcC-Acetate	napA//nanT//bamE//yegH//fimD//nagE//araE//
GlcC-Glycolate	xapA//crl//ebgA//tdcE//rplI//cvpA//sufD//
GlrR-Pasp56	yeaD//
IclR-pyruvate	glcC//yaiW//aspC//gspI//
IdnR-5-ketogluconate	proP//rpsO//gspE//fadJ//appY//nagC//purM//zraP//
IdnR-Idonate	glnD//pitA//glcA//serC//lysP//patZ//tdcE//preT//
IlvY-2-acetolactate	micF//mhpB//
IlvY-Alfa-acetohydroxybutirate	modC//cysP//
IscR-[2Fe-2S]1+	dmsA//pgaC//hcp//yiaN//tnaC//dmsC//gatA//feoA//rbsA//melR//astB//ydhT//cusA//gspJ//rutB//ygeA//acs//sufB//chiP//acs//ubiC//gltF//yrbL//prfA//hisP//cysM//gspD//livG//rimP//chbF//mdtD//trpB//ssb//lysO//motB//bioB//hlyE//citD//dsdA//norV//thrS//
LldR-L-lactate	ydhW//glnA//sufD//
Lrp-Leucine	modB//gatC//ada//yqaE//chbR//entC//phoA//abgA//yiaO//metH//nlpD//acrB//appA//grcA//dmsB//fucP//rbsB//lsrD//tsx//ychH//csgG//ahpF//srlB//mtr//ygeH//tauB//marR//ung//appX//ilvG_2//paaZ//rbsC//speC//srlR//exbB//rpsS//malY//idnT//hofB//paaG//ydhT//yebE//cyoC//narI//truB//casB//dusB//ileU//rcnB//rpsP//hupA//ykgR//cydC//hflC//glnB//ompF//ydeO//araD//gltD//fldA//ugpQ//sufB//metE//fhlA//hyfF//paaH//puuD//mglB//phoE//trpR//rnlB//dmsB//gcvH//hypC//caiF//alkA//mglA//bcsC//rstA//iscA//cpxR//nuoF//fimC//spy//tpx//astA//miaA//glpA//gatC//lsrD//dusB//lpxD//artP//cyoD//metA//skp//purC//purM//ompR//lysO//fimC//araE//nikC//trxA//oppC//ugpE//
LsrR	chiP//waaH//nuoJ//narI//polA//trpE//csgG//pyrC//lysA//
MalT-ADP-Maltotriose	ahpC//hybB//oxc//ryhB//idnK//talA//glgC//yaeP//glpX//rrlC//
MalT-Maltotriose-ATP	appY//sucB//fdhF//argG//fldA//lrp//cusR//ampE//feoB//paaC//
MelR-Melibiose	glcE//grxD//hybC//
MetJ-S-adenosylmethionine	fhuE//ygbA//cpxR//iscA//arcZ//envY//hofO//ompW//nrdI//gcvH//efeU_2//rrfD//melR//ykgM//ptsI//
MetR-L-homocysteine	patZ//lldP//yibN//yjeF//cheA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	focA//rrfE//cusR//treR//ubiG//abgT//
MhpR-3HPP	uidB//gspC//entA//sdhA//malI//ykgR//
MntR-Cd2+	tar//mntP//uhpC//degP//bcsA//
ModE-MoO42-	nagC//cdd//rutC//zraP//mipA//spf//yaeP//purF//qseC//xylA//hyaF//yeiP//hypA//pyrD//hofC//fixB//marR//yjiY//fiu//hofO//rybB//astC//rmf//fhuF//uxaC//fadD//rhaS//mhpR//napB//fucO//dmsD//nrdG//iraD//modA//frdC//artI//oppB//argD//sdhB//rnlA//ugpE//rimP//ilvH//nagB//kbl//cydD//
NarL-Phosphorylated	betA//frdB//fepD//araE//yaeQ//spf//nanC//ybjG//nanA//nrfC//ccmF//mutY//cadA//nusA//fimA//zntA//malI//gspL//csiE//fucO//glpA//lysU//yfeW//rhaD//ung//puuE//pstC//pnp//fnr//citG//aceK//nrfC//rrfG//purK//aroM//aroA//phoU//motB//speB//phnO//aroA//uvrA//livJ//dcuB//cysK//fabZ//tpx//deoA//sodB//ugpC//nanM//cysN//frc//tsr//citE//nrfC//aer//ygaC//citG//gntK//aspA//cdd//fadH//rrsA//fiu//bacA//yjeF//gabP//glpQ//gntK//phnP//phnO//nanS//dppA//lysO//treB//glpG//tam//lysA//spy//glpQ//tonB//purF//acrE//xapB//hydN//ilvX//cheY//acrE//cbl//tdcD//fepG//phoR//agp//ybjG//nuoL//bioF//glpA//fepG//rmf//napA//znuA//grpE//glpC//csiE//purM//yoaC//marB//rpmI//ybfN//hypA//yneM//alaV//edd//ptsH//hyfF//ssuC//mdtB//rplB//ccmE//sbmC//tdcB//grxC//ompA//sohB//
NarP-Phosphorylated	pstS//mtlD//ccmF//agaW//malZ//metC//moeA//fucI//cirA//lolB//entH//ybjG//ilvB//hypC//livK//glcA//ccmB//nikB//gspE//napA//garP//tap//torR//betI//sufB//rof//fdhF//rseA//phoH//fepB//yeiL//lldD//caiB//rbsB//xdhB//atoE//agaW//dsdA//ccmF//yaiA//phnD//gspC//creD//uhpT//ydfH//lacZ//pgpC//metQ//yggX//malF//
NhaR-Na+	tdcF//moeA//cdd//amtB//fumC//rrfH//nrdE//
NikR-Cd2+	csgC//ilvG_1//xdhB//torR//rrsE//aspA//
NikR-Co2+	sufB//yecR//codA//ftnA//pgaA//glrR//
NikR-Cu2+	lysO//rplM//fepG//livJ//aer//rnhB//
NikR-Ni2+	pgpC//creB//malE//lolB//livM//frc//
NikR-Zn2+	gutM//metC//sroD//lpxD//tsx//araJ//
NrdR-ATP	ilvA//mltC//glcD//upp//fliZ//sroD//folE//cynT//rseB//
NrdR-Zn2+	tehA//ydhU//atoA//ftnB//metN//pgpC//murQ//aroM//agaV//
NrdR-dATP	lsrG//caiC//chbC//rrfH//iraD//napA//borD//alaU//cydD//
NsrR-[2Fe-2S]reduced	argH//nuoG//fadE//entB//ryhB//frdA//fadD//ubiC//ppiA//asr//aroA//cheB//hycC//cysM//purD//allC//fhlA//bglG//hdeA//cusF//paaI//hycB//hybB//metE//tdh//nuoB//bioC//ptsH//phoH//cysN//frdA//nikE//gabP//nuoF//sbmA//gdhA//nrfG//ccmD//glpK//gadB//cysN//nrdB//map//ahpF//oppA//cspE//truB//nuoL//yiaL//modB//yaiW//tdcB//fadI//metC//fucP//hyaF//hisP//tsx//gapA//fdhF//hisP//pgaD//uidC//hybC//dps//psd//chbG//fadH//gntX//acrB//glcG//moaD//mhpA//
PhoB-Phosphorylated	mhpD//aroL//bglF//prpE//aroA//livH//rbfA//deoB//cysH//cydB//agaA//hemL//glgS//aspC//paaE//napH//fadB//fdnI//mdtD//cysP//moeB//zraP//speC//codA//rseB//bglF//ynfH//rutB//rutC//gcvP//glgX//sodA//lyxK//atoB//manY//modA//dcuA//crr//rstB//hyfD//yojI//ftnB//cdd//xapA//prpB//gspH//glpR//guaA//glgB//ascF//sodA//cysU//lpxD//tar//rrsE//degP//nagC//ycjF//phnK//rdoA//dppC//
PhoP-Phosphorylated	gspE//ompW//aaeX//hflC//cydB//ygiC//caiC//dmsC//rrlC//phnO//bioC//fnr//nrdF//bhsA//entF//pstA//hybA//citG//tam//gatD//frdA//alkA//gspE//glpX//hisP//tauC//ubiG//mntH//fixA//malY//fbaA//uhpA//nrfB//dppF//paaB//yqjI//nanM//yhhY//rutE//cyoB//fepC//aaeR//hycC//ygeA//slyB//cusF//tdcF//sdhC//tdcA//carB//slyB//argB//fiu//hyaB//glpE//entS//hofM//
PrpR-2-methylcitrate	ccmA//nusA//gcvT//mntP//putP//
PurR-Guanine	trpE//nirC//rutF//ompA//gspG//rpsS//araG//glcD//cysU//cspD//rybA//spy//sdhA//cadA//baeS//actP//metH//iraD//mltC//ynfF//adiC//fadI//dsdC//lldP//araB//tdcD//citD//dcuC//rrfE//uidA//rnhB//rbsB//caiE//sbmA//
PurR-Hypoxanthine	dmsB//uof//lyxK//baeS//pgpC//mhpE//betA//gspK//fes//paaE//srlA//glpT//rnhB//hupA//yaiW//alaU//nuoK//dmsC//rrsB//narL//tyrR//nmpC//fhuA//gpsA//iscA//lyxK//dcuD//feoC//phoB//fadB//ssuB//pyrD//araB//ubiC//
QseB-Phosphorylated	csgD//abgA//hyfD//ytfE//
RhaR-L-rhamnose	hypE//ilvY//
RhaS-L-rhamnose	ccmA//hmp//tsr//livF//purK//entF//
RstA-Phosphorylated	hyfJ//agaW//fdnH//bcsC//dcuD//cynX//lacI//dpiA//ascB//yccA//
SoxR-[2Fe-2S]3+ oxydized	pyrC//nanS//yjeV//cydB//
TorR-Phosphorylated	amiB//cysW//uvrA//rrsA//cueO//fimF//ilvN//fhuD//ydhW//flhD//
TrpR-Tryptophan	sdaA//marA//arfB//rcnA//aroG//tehA//cheZ//bhsA//chbA//rutF//manX//mcaS//
TyrR-L-tryptophan	phnE_2//fixA//hybG//hyfD//gntT//dsdC//fes//znuA//ompF//fumC//uhpA//yoaG//sbmC//treC//
TyrR-Phenylalanine	yjiY//ysgA//livJ//purR//tauC//mscM//yeiB//prs//bcsA//nupC//ygeH//yebE//hdeD//gspD//
TyrR-Tyrosine	glpB//nuoC//rbsC//rrsE//csgD//speA//phoH//trpB//rpsI//arcA//nuoJ//hyfC//oppB//carB//
UhpA-Phosphorylated	fhuC//
XapR-xanthosine	uidA//tadA//
XylR-Xylose	tehB//murP//narL//agaA//mhpT//aaeA//
ZntR-Cd2+	cyoA//
ZntR-Hg	ilvN//
ZntR-Zn2+	citG//
ZraR-Phosphorylated	rrsA//fbaA//glpC//
Zur-Zn2+	zwf//murQ//yibN//bdcA//glcD//yeiB//
