#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	nmpC//lrp//hycG//pdeF//
ChbR-Monoacetylchitobiose-6P	sodA//idnD//gabP//ascB//glpR//lysC//
CpxR-Phosphorylated	ptsI//malX//dadA//fepG//livK//astD//casE//frdC//pyrD//ileV//rutC//rpoE//hha//tpx//mglA//folE//fldA//astA//dcuA//ompR//hycF//yiaL//prs//fumC//ptsI//rbsC//rbsA//yqjA//torC//hyfC//chiP//rpsC//exbB//fhuA//sbmA//nuoM//ampE//yegZ//tdcC//trpB//cysB//slt//gltW//galT//rplB//tauA//treR//aroP//fau//tnaA//fimG//uxaA//priB//ugpQ//actP//fimE//uhpC//yeiB//puuP//bglB//metI//yqjH//ampD//chbF//malI//puuR//fabZ//cbl//sgbU//
CreB-Phosphorylated	spy//hemA//glpQ//lldR//tsr//hypB//iscR//mlc//hybC//
CueR-Ag	astB//mutL//paaF//rrlD//gspO//dppC//yjiY//
CueR-Cu+	hyfF//casE//nrdF//prpC//cadC//ampE//aaeR//
CuerR-Au	glcG//fimH//hflC//yiaK//betI//paaF//rrfB//
CusR-Pasp	ubiC//sbcC//csgA//frdD//ydfN//zraR//yqjH//gpmA//ompT//ugpA//purF//trxA//
CynR-Cyanate	ydeJ//pheT//argD//borD//
CysB-N-acetyl-L-serine	argG//livH//hypB//eda//dapB//bcsC//kbl//glmY//udp//prpE//mcaS//tnaA//envY//ykgO//gatD//csgB//mgtA//soxR//lpxD//priB//fecC//aceA//pgaB//malX//fliZ//nuoE//folA//ubiA//nmpC//aceE//
CysB-O-acetyl-L-serine	lsrG//bioB//melR//yjcH//xylG//purR//fhuE//gdhA//eda//csgB//lyxK//xseA//sufC//astD//dppC//znuC//nuoM//zinT//glpF//malX//caiC//dadA//sgbE//rhaR//nanT//hupB//cydD//lsrR//fes//polA//chbA//
DcuR-Phosphorylated	phnC//fimG//fbaA//mhpE//ilvM//ydhV//argH//gspH//bglF//
DnaA-ATP	tpx//creB//hisM//pck//rseC//exuT//gspC//artQ//fhuF//aaeA//fixA//metE//
DpiA-Pasp	hofM//lldD//caiE//ilvI//lldD//udp//zraR//yojI//aroF//iscR//ptsH//
DsdC-D-serine	zraR//micF//amn//
EvgA-Phosphorylated	gspE//oppC//idnR//betA//ssrS//ychH//hypB//hybB//rplS//serA//frc//treR//cirA//casE//ynfK//
FNR-[4Fe-4S]2+ reduced	pyrD//fhuA//gabD//hyfB//napB//cirA//nrdH//entS//malK//norV//aroG//gspO//ydeO//ynfG//rpoH//yfdV//mhpC//mglB//ascB//melA//yoaG//guaB//caiF//tdcG//frdB//pdhR//psd//hflC//fepC//glpD//hyfB//fumC//umpH//icd//argT//napC//deoB//phoB//fecE//dpiA//casC//argF//sufB//purH//cusA//ytfE//fnrS//nikA//feaB//ssuB//csgF//alaT//proP//tsaE//atoD//nuoA//entA//prpR//casB//norV//rrsH//livJ//dsdX//entS//yfaE//fau//glmY//putP//asr//paaF//arcZ//glgP//talA//fhuA//nuoC//oxyR//ppiA//fucU//rrlC//metQ//crl//rutD//ugpE//tdcG//nac//yneM//atoA//phnE_2//yciW//nhaA//tadA//bioB//uxuA//mtlR//garK//nagC//kbl//torR//bhsA//fimF//yhcH//uidB//mdtA//katE//ccmC//alaS//sucA//phoE//glgS//xdhC//mltC//ppdD//ampE//aceK//nagE//hmp//atoE//rrsA//ygiA//nagB//yeiB//yccA//ugpE//yoaG//rrlC//nlpE//uxuR//tam//nanA//rpsR//rplI//yhfA//cysB//citF//fepA//pta//thrS//erpA//uhpT//ileU//rseA//fadJ//nrdG//eda//rpoH//uxaA//malQ//treB//narJ//ansB//feoC//bioA//hyfE//csgG//ldtB//xylG//hypC//katE//caiT//ygiA//glpF//hycE//feaB//dpiA//acrD//glgX//aspC//creA//araG//tnaB//araJ//hofM//ssb//crp//modB//caiB//pagP//rdoA//crp//dadA//cusA//phnO//ysgA//lsrK//tomB//ackA//agp//lrp//rrfC//ydeO//hypC//deoD//chbA//grxC//spf//zraP//yidQ//fhuB//fhuF//appC//tsaE//dps//gabD//fadJ//polA//rprA//creB//nagA//hyfH//csgB//nlpE//rbsK//yhiD//ybjG//tdcE//rrfH//purK//argI//alaT//ssuC//sodA//paaZ//malF//marA//prpD//paaF//gnd//ydeA//yfbR//dsdC//fhuF//yeiP//nagE//rrfF//zraR//hypF//trg//csgD//glpX//aceF//gltV//marA//yhfA//glpR//metC//ilvD//glgB//mgrR//psiE//fau//rpoH//glnL//yibN//malE//xdhB//degP//avtA//evgS//hdeA//hypF//nrdH//ptsH//rrsC//ryhB//iscA//ydeA//cysA//yrbL//carB//rrsA//oxc//hofN//chbA//icd//ssuB//gatC//mhpE//cydD//dnaE//aspA//norW//rseA//ssrS//prs//mglB//pheS//glcD//hyfI//hyaD//trg//emrY//rutB//pdhR//nrdE//fimH//caiF//dmsA//rbsR//chbG//dppB//ybiT//arcA//nanA//casD//ilvH//
FhlA-Formate	mtlA//pheT//yibN//dsdC//dppB//recF//yhfA//rybA//nuoG//rrfF//ilvC//rstB//ppiA//fadL//flhC//rpsQ//ompW//artP//yfdX//spy//caiE//rplB//ndh//livF//yiaL//mhpR//dppD//truB//cheA//hydN//
FucR-L-fuculose-1-phosphate	nikB//creD//purD//pdhR//mcaS//gatZ//napA//
Fur-Fe2+	tnaB//fucI//crp//yciW//nirD//fadA//uxaB//cysI//ycdZ//yaiW//carA//yiaM//gyrA//nirB//cas2//csgG//oppD//yciW//agp//deoA//ykgR//ydeM//acnA//metY//fadJ//evgS//hycE//mglB//aceE//tehB//zntA//puuR//cusC//alaT//entH//ptsG//dnaN//avtA//paaB//bglF//argP//fecR//ogt//flhD//agp//trxA//fixC//phoQ//ilvD//gntK//alaS//adhE//bcsC//oxyR//ygeA//uxaC//cysK//pgpC//rrlG//uidB//sucC//envZ//idnT//motB//cvpA//sufB//fimG//pitB//glcG//rrfF//aspC//hisJ//iclR//gltB//dcuC//sodA//caiB//trxA//manY//mutL//lysA//nrfF//aroG//trpD//fdhF//rrfD//xylF//dctA//gspC//hcp//puuE//hycE//znuA//metI//aidB//rrfD//narG//nusA//rplV//focB//micF//ygiC//zraR//malP//bcsZ//feoB//hemA//phnP//mlc//lpxA//hyfB//mntS//trpB//gspG//ebgC//spy//uvrA//mltC//ydiU//flhC//yegR//fes//hupB//gltD//fiu//zraR//glpE//hydN//nanA//rhaS//ulaD//tolC//araA//nuoI//gabD//nadC//gntR//xdhB//dmsC//rrsB//
Fur-Mn2+	nanC//pheT//ptsH//nanK//dapB//mltC//artP//ileU//fhuD//lsrB//araH//cysB//fbaA//sohB//mhpR//glnB//ugpC//cydC//aceB//hyaE//nrdE//ahpF//gltT//glgB//trmD//phnF//dsdC//fecB//allD//rutE//mntS//yibN//hycD//rplC//rrlA//mutL//pepT//ptsI//bioB//uhpT//fepD//cpdB//artQ//fhuC//hyaB//alaS//priB//copA//ygiA//nanS//zraP//mpl//rpoE//cas2//feoB//xseA//fucP//uvrA//alaS//motA//borD//glpG//oppB//entD//fecD//metR//gspM//fadH//mglB//dapB//livM//zntA//tdcE//narK//glcD//pheM//mhpT//oppA//cytR//fucP//yecR//gabP//chbG//phnN//ugpE//yjeV//purL//argO//melA//frdD//hyfG//nagC//iraM//tsx//tauD//argO//glcB//nrdB//cysN//metR//aaeA//pheT//ileV//fadD//fixB//fabZ//deoC//ygiC//yeaD//csiE//glmY//fixB//glpC//narG//phnN//nrdF//dmsB//nupC//rrsB//sdaA//nrfA//qseB//purB//uxaB//pck//puuD//mhpE//fhlA//entC//alkA//katE//spy//ebgA//nuoJ//frdC//ynfK//hofP//nfuA//ycjX//glgP//
GlcC-Acetate	ftnB//nuoF//metL//zraS//tyrA//cspE//crp//
GlcC-Glycolate	zntA//caiD//trxA//gntX//ccmB//ccmB//tdcD//
GlrR-Pasp56	yfbR//
IclR-pyruvate	glgC//metK//gntR//puuE//
IdnR-5-ketogluconate	ompX//rybB//ynfF//dadA//qseB//malZ//aroG//ydfH//
IdnR-Idonate	tnaA//glpQ//ydhT//nrfF//mcaS//glpR//pyrD//gspH//
IlvY-2-acetolactate	rbsB//gspM//
IlvY-Alfa-acetohydroxybutirate	spy//gcvT//
IscR-[2Fe-2S]1+	sucA//metI//gadB//napH//rutD//fis//nikD//bglG//osmC//tnaB//glrR//pdhR//caiT//frdC//galE//citC//appC//thrV//ompC//rcnA//betI//hycC//ansB//ompA//lysU//rdoA//ugpB//oppF//sodA//rseA//lpxA//slt//yjeF//bhsA//efeU_1//trmD//ssuD//creC//dcuS//gltV//zwf//
LldR-L-lactate	rutF//ccmH//gntU//
Lrp-Leucine	argP//nhaR//sbcD//trpR//yecR//fau//gltD//cusS//acrF//nrfF//tktB//gspD//metA//fecI//glrR//osmC//phoQ//mntS//prpB//ybfN//iraD//ilvG_1//ahpF//zraS//fadJ//nupC//abgB//hupA//gspL//hycE//hyfB//sdhC//entS//fepG//purC//fhuD//phoA//moeA//agaW//ynfH//glpC//rbsD//fldA//citD//yeiP//agp//znuB//hyaE//rrsD//ynfG//sdaA//tolC//crl//livK//rrfG//gyrA//purE//paaH//rpoE//recF//nhaR//yqaE//rpsC//stpA//dmsA//lysO//argF//hofC//ybfN//araJ//prpD//purE//napG//cpxA//glnB//rhaD//ulaE//dppF//creC//phnG//dppC//phnL//envZ//ihfA//araB//allE//actP//glnA//mhpA//araB//metL//hyaA//baeR//glgX//glnG//nuoF//prpB//pgpC//ompW//ryhB//phoA//yeaE//dcuD//glpG//tyrR//ybdN//
LsrR	cheB//rbsK//pgaC//oppB//nhaA//gcvT//gntK//pta//fimE//
MalT-ADP-Maltotriose	gnd//phnE_1//hofN//ispE//nuoC//bioF//yhjA//lsrA//trmD//yccA//
MalT-Maltotriose-ATP	nrfE//mcaS//sufB//lsrR//rutG//sufB//yfiP//zntA//mgtL//fadL//
MelR-Melibiose	cysW//rmf//paaJ//
MetJ-S-adenosylmethionine	azuC//waaH//fadB//lsrD//nagC//gatA//fnrS//sodB//motB//nlpD//pstS//hypA//glrR//frdB//nanT//
MetR-L-homocysteine	gltU//arcA//narX//polA//glpD//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	hycH//ccmF//gatY//alkB//pstB//iraM//
MhpR-3HPP	rutG//gltB//katG//puuR//tadA//lsrF//
MntR-Cd2+	alkB//fepC//hybB//acrF//rrsG//
ModE-MoO42-	ygeA//creC//napD//dnaA//treB//tpx//xapB//ugpQ//yhcH//lsrF//yjeF//ilvB//dadA//srlB//rutB//mgrB//tyrB//srlR//safA//gdhA//grcA//entS//rplW//livJ//fdnG//cyoD//lysC//nrdI//hpt//phnE_2//puuC//nadC//xapB//narX//glnG//tauA//rstA//tar//metK//hmp//lysU//gltD//cas2//psiE//rplS//dctA//
NarL-Phosphorylated	argB//gspE//zntA//hisM//tsgA//hybA//acnB//hyaA//pagP//srlD//tyrP//gatB//hyfG//moaE//frdA//serA//hyfA//ogt//dcuA//bamA//mntS//glgB//bacA//citE//argB//treC//gltW//manZ//yjcH//yfeW//ilvE//glgC//yojI//fldA//rrfA//skp//uof//phnK//spf//rplV//moeA//cbl//malQ//fimI//hyaF//glnA//pyrC//bdcA//dppD//aaeR//galM//cysU//tdcG//casE//yaiW//cusF//hyaB//tdh//cadC//tauA//yaiW//psd//purN//tar//acnA//paaJ//nrdG//cydA//malZ//paaH//idnO//prpE//mhpR//araD//gspO//paaJ//sufA//yeiB//phoH//cadB//rplC//pyrD//nanM//rimM//mhpC//rpoH//rbsB//tfaQ//cydB//deoD//glcB//rutC//kbaZ//mhpT//glcA//tfaQ//nanA//hofC//caiA//ssuE//edd//chbA//lysP//rpsR//uidC//prpB//bcsA//hmp//rseA//bamA//araH//mlc//prpC//speA//dapB//lldP//ccmA//rplS//hflK//ilvY//evgS//tehA//malK//psd//modB//
NarP-Phosphorylated	phnG//trmD//gatD//glyA//glgP//lolB//cyoE//nagE//entB//emrY//cydB//napH//nikE//dppA//rpoE//frdA//rplP//ygiB//ptsI//frc//tnaB//yjcH//tdcG//rseA//patZ//csgD//glcG//fecC//creA//envY//mdh//cysN//hycE//purH//dpiA//raiA//gatD//argH//nirC//malP//amtB//efeU_1//degP//fecC//dkgB//tadA//nagB//hyaF//raiA//gcvP//
NhaR-Na+	norR//ilvY//garR//emrK//entE//gltD//glgC//
NikR-Cd2+	glnD//fepC//gatD//nrfE//gpmA//mpl//
NikR-Co2+	yoaG//nanE//ung//purE//nirC//rimP//
NikR-Cu2+	purM//srlR//pheS//casC//rstB//dps//
NikR-Ni2+	artI//bglF//exuT//rrfG//ygeA//frc//
NikR-Zn2+	bcsB//gapA//hflC//efeU_1//znuA//argH//
NrdR-ATP	sodA//nusA//bamA//glpE//lpxD//nirD//hybF//abgA//gltV//
NrdR-Zn2+	trpA//ygiA//ydhX//malS//lysU//cysC//rstA//soxS//nirB//
NrdR-dATP	bcsA//tauA//metE//sufS//modB//dadX//srlD//tnaA//ileT//
NsrR-[2Fe-2S]reduced	ilvD//purB//infC//aaeR//nikC//aspA//purD//hofC//rplW//nuoA//ynfG//rpoS//manY//entD//napB//metE//citE//lhgO//cheR//tdcD//grxD//lhgO//rrlG//baeR//qseB//deoB//ilvY//lldR//purM//ansB//yfaE//sufE//uxaB//dapB//fdhF//oppC//metE//yaiA//fecC//pstA//trmD//malS//yhjC//yjiY//oxyR//tnaC//gdhA//agaA//yneM//gspL//aroG//csiD//yccA//ugpQ//hflX//nrdG//acrE//rutE//ulaE//rcnB//hyfH//uxuA//glnB//arcZ//ptsG//appY//yrbL//atoB//marA//ydeM//astE//cusS//alaA//
PhoB-Phosphorylated	tehB//purM//araG//gltD//cyoB//mhpE//mntH//ydbD//hisQ//phnC//lpxA//ulaD//tsgA//astC//lyxK//manZ//cysG//artJ//borD//nrfB//dppA//malF//sodB//glgC//xapB//fhuD//argG//casC//nanK//gatC//purA//pgpC//napF//ygbA//yfeW//ulaA//feaB//rrlB//xapB//iscR//hypD//nmpC//artI//sdhA//bcsA//bcsZ//uhpC//fumB//cvpA//dppA//hypB//yjeV//sufE//dpiB//hybB//treC//hyaA//oxyR//purL//gatC//xylA//
PhoP-Phosphorylated	fixC//torC//oppC//fecC//cas2//pstB//eda//cadB//ccmF//sbmC//yfbR//ndh//pncB//glcA//moeA//pheM//trpB//norR//araJ//hupB//aroP//trxA//gspK//ugpE//astB//creD//ilvN//rpmI//argD//cysK//oppC//feoC//infC//yoaG//gspH//hybD//fecR//yjjZ//pstA//exuT//glgP//xdhA//ulaA//aspA//phnM//aidB//sdhB//rstA//thrS//hyfC//hyaD//grpE//xapA//sgbU//phnD//nuoK//adiC//
PrpR-2-methylcitrate	melA//chbA//creC//dadA//nrfF//
PurR-Guanine	kbl//entE//ybfN//mntP//yedX//appA//tsaE//fimC//nuoF//mutY//pgaA//tcyJ//citC//hofP//ychO//trpA//livF//ldtB//lsrA//hycC//ompT//uhpA//manA//uof//hyfJ//betA//napC//grxD//ykgM//cadA//yqjA//lsrK//fecI//glcG//
PurR-Hypoxanthine	speA//hofB//bamE//yjeF//glnK//cysN//bcsB//cyoD//ileU//rplP//lsrG//metQ//bacA//dppA//ccmD//iscR//csgB//speA//glmY//mscM//evgA//gltB//yoaG//bioC//yrbL//gntX//ybiT//phoQ//hflD//phoQ//ptsH//ccmB//phnD//tdcA//
QseB-Phosphorylated	pagP//cyoB//carB//ebgA//
RhaR-L-rhamnose	cpxR//argD//
RhaS-L-rhamnose	casD//rplD//cpxA//yeiB//tsr//aer//
RstA-Phosphorylated	rrsD//ppiA//malF//metF//dsdX//moaE//cheZ//phoU//bcsB//hycI//
SoxR-[2Fe-2S]3+ oxydized	prpB//nuoL//ynfK//glcF//
TorR-Phosphorylated	nrfA//rplD//prpD//galS//bioA//paaE//tsgA//hupA//gltF//pyrD//
TrpR-Tryptophan	acrF//iscS//rpmC//mntH//fnrS//truB//ccmF//nupG//hypA//nmpC//nhaR//trpR//
TyrR-L-tryptophan	nuoB//sbmC//tehA//znuB//rbsK//fadB//ptsH//trpD//zwf//hyfH//hyfI//amtB//fliA//sdhC//
TyrR-Phenylalanine	ugpQ//sroD//hyfB//rrsA//crp//rnhB//fadB//fimH//yggX//phnD//lldP//nrfC//lacZ//tdcG//
TyrR-Tyrosine	ssuC//ynfH//phnP//tauD//pheM//ppdD//sohB//yqjI//metF//tnaB//nanM//rrsD//sufB//astE//
UhpA-Phosphorylated	dmsB//
XapR-xanthosine	ugpA//sohB//
XylR-Xylose	ycdZ//yeaR//mntS//rbsK//gutM//cpxA//
ZntR-Cd2+	ompF//
ZntR-Hg	znuB//
ZntR-Zn2+	flhC//
ZraR-Phosphorylated	cynR//csgD//ompF//
Zur-Zn2+	narI//mltC//tdcB//nirD//cysP//dppB//
