#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	creD//gcvT//sodB//hdeB//
ChbR-Monoacetylchitobiose-6P	artI//nuoI//uxaB//appC//ssb//sdhA//
CpxR-Phosphorylated	fhuB//phnG//amn//aroG//entS//yecR//rnpB//bglB//rybA//gpmA//agaV//ynfH//glrR//mpl//lsrR//puuP//ackA//slt//appY//dppD//purF//casA//trpB//glcD//gspO//gcvP//rnlA//trpA//uidB//tdcF//ilvG_2//carA//map//fabZ//yeiW//fimF//nanM//torD//sucA//yeiP//tnaA//dsbA//trpC//livK//yqjH//evgA//rstA//entF//rrsD//frdD//yqjI//lolB//sbmA//lldD//rbsB//trpC//moaE//gntR//rrsD//gspO//ryhB//malM//yjeF//yoaC//hyaC//cheY//lpxB//ssuE//metN//
CreB-Phosphorylated	casE//phoA//yfdE//gspL//ysgA//rstB//cheW//chbR//pyrD//
CueR-Ag	ygiA//moaE//lldD//cusS//citG//argC//dcuB//
CueR-Cu+	manZ//motA//cheZ//puuC//gspC//chiP//argG//
CuerR-Au	aaeR//exuT//rnhB//ugpC//rutG//rdoA//codA//
CusR-Pasp	ccmA//katE//micF//ldtC//dsdX//ilvG_1//aceA//dusB//nuoA//allC//mltC//sufC//
CynR-Cyanate	cspE//prpD//tpx//yebE//
CysB-N-acetyl-L-serine	csgD//nlpE//sufE//tonB//fhlA//yegH//nrfF//arfB//yneM//ccmB//fepC//hyfC//nuoE//torA//rrlC//pagP//lysO//ilvG_2//rrfH//pheT//phnO//malY//mtlA//mhpR//fecD//casC//araC//aceF//crp//iscS//
CysB-O-acetyl-L-serine	ompW//nrfB//fepG//glcD//xdhB//torR//hfq//rpsI//betA//carA//rplS//rplS//fadL//purE//mepH//hisJ//tfaQ//cysI//dmsC//guaB//lsrD//ldtC//phnD//ydhV//motB//acrD//mgrR//cysC//norW//rcnA//mglC//
DcuR-Phosphorylated	degP//artI//cstA//dadX//mtr//cusB//napD//bamA//ilvY//
DnaA-ATP	galK//csiD//cheW//malS//psd//hyfD//moaD//aceB//bdcA//mutY//hybE//uhpC//
DpiA-Pasp	fadD//cusR//livK//sufS//phoA//abgB//rrfF//rpoS//hflD//malE//xylH//
DsdC-D-serine	rpmI//spy//lsrG//
EvgA-Phosphorylated	rbsR//exbD//ubiG//garR//bacA//bioD//yeaE//phnK//gcvP//aldA//livM//rrlA//acs//ldtB//ilvD//
FNR-[4Fe-4S]2+ reduced	tdcD//oppD//nmpC//ynfF//pheS//tnaA//marB//yqjI//hycB//lolB//ompW//tomB//artP//aaeB//sufC//gpsA//tsgA//fepE//hybG//osmC//dnaA//allD//oppC//dadA//ssuB//yhiD//yeiW//yeaR//fimD//cheW//prpB//nuoJ//rrsD//chbB//fau//cpxA//ompT//phnC//ileU//moaB//gatZ//miaA//phoQ//cusB//yaeQ//glpC//sodA//csiD//ilvH//ptsG//rpoS//mntP//chbC//rcnA//atoB//nikC//focA//tfaQ//acnB//caiC//rrfF//ldtC//ycjX//preA//lpxB//leuE//tsr//ilvN//dpiA//fldA//cysJ//hypA//sdhB//rplC//melB//ugpA//metQ//sucD//rrfA//glnK//arfB//sgbH//rrsH//avtA//uidC//dkgB//nikB//ccmD//ahpC//ldtB//entD//cyoC//lysC//pagP//tauA//trpE//rrfB//chbR//argO//phnP//phnO//caiD//ugpC//idnO//nanS//hslJ//zwf//appY//rnpB//hycB//rrfF//yegR//kbl//ygiB//yjeF//argI//yggX//dcuS//metF//sbmA//phnN//phnM//pheM//phoH//hyaE//yoaG//feoC//napB//cysD//phoA//ssrS//napD//srlR//nuoL//trmD//gltB//upp//glpC//soxS//tolC//melA//folA//abgT//rplS//hflK//napG//sbmA//pitB//fur//paaD//pgk//rcnB//puuA//copA//lpd//nikD//rrfC//mpl//mgtL//fumB//rrsE//sufD//znuB//rhaD//fiu//glpK//sbcD//fdnI//mlc//envY//psiE//psiF//feoA//hemL//rpsF//glpQ//puuR//sucD//yojI//mdtC//fur//fimG//envZ//nanK//aaeR//narH//mgtL//tdcC//entD//iraM//amn//murP//spf//tar//cueO//marR//ygiC//rrsB//fdnG//hyfB//mtlA//phoQ//prpC//phnE_2//hycH//fdnG//frdA//phnE_2//pstB//fucI//phoP//ccmA//dmsB//bamE//udp//yciW//amn//citC//hflX//dppF//ccmF//cirA//mhpA//mhpC//mtlD//metB//ydfN//gspD//cynS//ldtC//prs//gpsA//lpxD//nuoB//rnlA//fbaA//hflX//melB//bglB//fixA//ybdZ//glcD//gatA//yfdV//csgF//polA//srlR//ilvA//norV//narX//hycH//yaeQ//araG//cytR//osmY//fepC//feaR//fimD//puuA//rrsB//gatB//cadB//murP//fecR//ybfN//glrR//araG//livG//artP//trpR//yeaR//yccA//rrsE//sodB//aldB//hdeD//malQ//bglF//gcd//yegZ//ompT//iclR//aspC//amtB//gatY//ubiG//rseA//nrdD//metJ//rpsJ//azuC//metI//nagA//pstA//creA//sohB//pgk//fumC//nanS//raiA//phoH//motB//acrF//nikA//sufA//
FhlA-Formate	gspH//dsdX//argC//fabZ//carB//yiaL//acrE//stpA//bacA//hflD//tap//yciW//yfdV//gspD//rpsS//garL//oxc//purM//glgX//nadC//mltC//lacA//yjeF//mdtC//gntR//yeiL//tdcB//map//dpiB//betA//
FucR-L-fuculose-1-phosphate	lpxD//bamE//uhpC//amtB//tdcA//rprA//yibN//
Fur-Fe2+	raiA//rpsO//uhpB//grxD//cheA//ftnA//ileU//phnH//pta//ulaC//appA//ubiX//ygeA//trxA//galT//rplS//fecB//melR//gltF//rrsE//arfB//yfdX//glpC//flhC//sufE//csgC//pheS//rrsD//rutA//rrfD//fecA//ilvG_1//lysP//oppF//ulaE//alaU//adiC//rutG//bamA//nanM//secB//atoD//znuC//aaeR//lsrK//glcC//tktB//fimG//acrE//lolB//csgA//lhgO//sdhD//ilvB//narK//psiE//dppB//idnD//yfdX//pstS//mepH//ilvD//tnaB//rimP//phnK//sdaA//norV//nusA//gnd//yjiY//glnA//nanE//dsdA//rutG//hisJ//hycC//manA//ung//cra//glpE//yjiY//fecI//map//rplD//argI//sufB//adiC//ada//mtlR//bcsA//rpsC//zntA//aceK//pck//gcd//entS//rrlC//lsrC//glcC//nusA//lysU//caiD//rrlB//acrF//mglC//envZ//ebgC//appA//leuE//rutA//lrp//iscR//hycF//hpt//yeaD//trpR//rpsF//xylH//aer//napA//abgT//fadE//fucO//hcp//argO//appC//rplI//ftnA//bamE//deoC//hycB//fixX//fimA//alaU//feoB//ychH//pnp//chiP//arcA//amn//
Fur-Mn2+	galT//degP//glpG//hycI//csiE//psiF//feoA//glcD//bcsB//entF//patZ//purL//fecI//aspA//znuC//dapD//baeS//yoaC//treR//lsrA//artJ//rrlE//fnrS//gspJ//citF//rrfB//mtlD//astE//icd//cysC//caiE//glpD//nuoN//mdtC//rutD//galS//hybA//nagA//abgB//appX//hybA//acrD//aspA//ilvD//dppD//gspO//ada//cas2//hmp//ychO//cyoC//argE//ygaC//secB//bcsZ//phnK//ygeA//yaeQ//cspD//fliA//rrlC//prpB//aldB//napH//phnD//malM//nusA//entA//fimC//gatC//acrF//envZ//rimP//uidC//paaA//lhgO//gspD//emrY//pgaB//mdh//rseC//livJ//bioF//glnL//sucB//pyrC//borD//yjeF//ccmE//gcvH//modC//dnaN//nrdB//fhuB//pgpC//ftnB//aceK//soxS//malP//rplW//cysC//hypF//entB//preA//paaE//ulaF//tfaQ//hofO//astA//pstS//uhpB//hyaD//acrD//guaA//exuT//dppA//glnK//metL//araH//argF//purR//dapB//iraM//nuoA//frdA//fucR//ompA//yiaN//copA//sodA//nrfG//rbsC//tdcF//leuE//epd//nrfC//yibN//idnT//nadC//gyrA//
GlcC-Acetate	hcp//appB//cdd//ygiC//allD//fiu//purM//
GlcC-Glycolate	pgaA//ugpC//rplI//phoP//artJ//pgaB//betA//
GlrR-Pasp56	cspD//
IclR-pyruvate	ispE//nrfE//prpB//thrV//
IdnR-5-ketogluconate	trpE//ulaC//modA//ogt//cysP//grxD//znuA//mhpA//
IdnR-Idonate	hyfR//feoB//aaeR//nuoG//hypA//yeiL//rpoE//mhpA//
IlvY-2-acetolactate	dcuA//fdnH//
IlvY-Alfa-acetohydroxybutirate	katE//sdhA//
IscR-[2Fe-2S]1+	hycD//tdcA//metE//malE//paaH//efeU_1//ppdD//fimA//ndh//garK//prpC//ogt//hyfJ//hypA//mglA//acnB//nikB//hybO//norR//gatC//ydfN//rutE//glpK//tnaC//ilvE//polA//agaA//araB//ompC//uidB//pncB//narQ//zinT//fliZ//livM//citD//gadB//fucO//gltD//cas1//icd//
LldR-L-lactate	ompA//iscU//lacY//
Lrp-Leucine	glpF//yhiD//xdhB//srlE//zraP//xylR//oppF//trxA//hupA//eda//fimG//hofC//cvpA//sdhA//avtA//lysO//rrlB//efeU_1//dps//gcvH//yeaE//rbsC//rutF//hycI//idnT//fhuE//lacZ//nikB//lldR//cyoC//tsr//ilvD//fucP//mltC//lysA//gutQ//ada//narG//tsx//rof//lacZ//nrdG//phoQ//sxy//yqjA//idnT//yiaL//lsrC//amtB//uidA//gltB//fucP//glcD//yebE//trpL//argG//evgA//lsrR//nrdE//ackA//agp//caiB//aaeX//hofC//argA//exbB//zraR//gspG//cbl//betT//rrfD//atoD//yegH//nrdI//ptsI//nuoB//fbaA//modC//fepA//tcyJ//fnr//ndh//ilvA//araB//hycF//paaG//hybC//tnaC//yqjI//malQ//priB//rutC//nirD//ftnA//amn//mglB//phnO//ilvL//glpD//atoD//yqjI//mdh//carA//yebE//cheR//narG//
LsrR	ascB//yqjI//fadH//rrfE//rstA//alaV//nikC//fimA//tehB//
MalT-ADP-Maltotriose	lrp//ptsI//cyoE//casC//fixB//fadB//speA//mtlA//phnL//ygeH//
MalT-Maltotriose-ATP	lacI//fecC//ptsH//artM//aroM//ilvX//rpoH//paaA//hycH//araD//
MelR-Melibiose	aidB//hdeA//rpoS//
MetJ-S-adenosylmethionine	acrB//tauC//nupC//thrV//rpsF//ugpA//talA//eda//tehA//hyfE//aaeB//rplP//sodB//edd//metN//
MetR-L-homocysteine	gltV//mipA//fucI//rrsA//hslJ//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	tdcF//appA//ilvA//napC//nuoC//aceB//
MhpR-3HPP	aroH//manY//bcsC//znuA//gatZ//yjeV//
MntR-Cd2+	uidC//dpiB//rrsD//fadB//fepD//
ModE-MoO42-	moaA//rpmC//mtlA//nuoA//allD//hypD//hyaB//betT//ulaA//priB//cas1//rhaS//zraR//phnD//ysgA//ydeP//glpG//hofC//lsrB//codB//cynX//ugpQ//cysP//pgaB//ilvL//nikC//fumB//aldB//fldA//pgk//rbsD//fhlA//bamE//rbsC//murQ//kbl//rutF//glpX//sbcD//fecE//slt//aceK//nrfB//mdtA//yiaL//hycD//
NarL-Phosphorylated	dsdA//sxy//ulaD//moaD//treB//manA//pgk//cysI//agaV//ilvA//rstA//nagA//citC//ilvE//dsdA//hisM//ihfA//ydeM//asr//gcvP//csiE//rplB//tpx//nuoE//rhaR//glrR//hyfF//safA//citE//chbC//xylH//fadD//hybG//phnK//nikA//lolB//argO//atoB//hmp//rutE//pagP//xylR//fhuF//purL//mscM//ynfH//zraS//ccmA//mpl//rrlH//xylA//yhjA//zntA//cadB//phoU//amtB//ssuE//xdhA//feaB//gltV//hyfI//phnH//aroM//artQ//appY//prmC//feoA//creB//fucR//hycF//narQ//ilvM//metE//trpC//ychO//cueO//fadL//lyxK//dsdX//frdD//cbl//yqaE//arfB//paaI//ilvX//garK//puuP//bhsA//idnO//puuD//emrY//dppC//ybiT//glcF//cas1//fimA//fecB//nuoJ//gspD//fiu//ilvI//fdnG//paaC//map//moeA//yfaE//mzrA//hisM//phoA//hflC//fadE//hypD//nrfF//ppdD//fdnG//mtlA//fixA//puuD//grxC//mgrB//pgpC//pheM//chbA//napC//yjeV//
NarP-Phosphorylated	gatA//torD//rseA//frdC//gapA//nrdG//truB//aspA//gcvP//moaB//ppiD//moaE//ppiD//feoB//fepA//aspC//hybO//xylA//hyaA//deoA//metF//ung//epd//gspO//rplS//fixA//edd//narJ//uhpT//ycjX//slyB//rplB//appB//fes//rnlA//rcnA//sgbH//fadL//dppF//exbD//rutG//metC//glnK//malY//nlpD//hybD//fepD//ykgR//yoaC//livM//
NhaR-Na+	yaeQ//rrlB//prfA//hlyE//fecB//rrlG//rplB//
NikR-Cd2+	pyrC//napF//mhpD//ilvD//araJ//sdhD//
NikR-Co2+	moaA//creA//melB//tktB//gpmA//puuD//
NikR-Cu2+	fdnI//hemL//ebgC//rplT//tadA//dusB//
NikR-Ni2+	hybA//glmY//micF//dppC//ompF//entB//
NikR-Zn2+	hycI//murP//dcuC//copA//caiF//fepA//
NrdR-ATP	hypA//xapB//nrfE//hyfF//sucC//hdeA//agaW//astC//gltT//
NrdR-Zn2+	yrbL//fhuA//ydhV//nikC//rrlB//azuC//bacA//phoP//rnpB//
NrdR-dATP	dmsA//rdoA//lysP//cysI//napB//hyaC//nuoH//entF//aroP//
NsrR-[2Fe-2S]reduced	appA//gadC//araD//ileU//rnpB//creC//uxaC//degP//gcd//mglC//speC//fhuE//agaA//motA//zraR//fbaA//ilvH//iclR//fimE//oppC//rcnA//uhpC//purE//glgX//nupC//yoaG//tyrR//acrD//aceE//ssrS//spy//paaD//purR//fimE//nuoK//rpsP//frc//eda//carB//nuoN//ygaC//cysU//mntH//tap//murQ//nagE//sohB//csgA//rbsB//ppiD//carB//kbaZ//oxc//ynfH//srlB//rplP//argE//oppB//prmC//araB//lacY//deoD//comR//rnlB//entB//ygaC//uidA//yjjZ//aceF//nikC//rpsP//bglG//nikC//
PhoB-Phosphorylated	yqaE//cstA//rstA//dmsC//hycC//ulaA//soxS//katE//trpR//ompC//malM//allD//pstA//rpoH//dcuS//tfaQ//ilvG_1//hyfF//livM//nanS//csgE//cheZ//mntP//uxuB//lldD//nrdI//flhD//pitA//artQ//rutC//ilvY//cra//galE//creB//mdtA//betI//entD//yegZ//rrsD//gspJ//ssb//pstS//motA//pyrD//lacI//exbD//norW//lrp//ssrS//lsrF//ilvI//rcnB//hypC//rrlE//rybA//mdtD//artJ//ykgO//entF//metN//rbsD//
PhoP-Phosphorylated	appA//ompW//csgA//dmsC//modB//ubiX//glcB//cyoE//glnD//fhuC//dcuC//entC//rrlG//hyfJ//pck//torD//rpsO//ybjG//xylH//torA//yaiW//mdtC//galK//betT//phoU//putP//rrfB//glpQ//aroA//lacI//gutM//bcsZ//ackA//ychH//tsx//argD//bglF//fepG//fimA//cpxR//prs//ytfE//napF//prpB//argG//nac//iscS//mgrR//csiE//rstA//hdeD//galK//moaE//ybiT//mlc//ycdZ//trpC//
PrpR-2-methylcitrate	fhuF//rhaA//dnaN//paaE//safA//
PurR-Guanine	ybdN//lysO//allD//rrfF//hypC//phnP//ileV//glpG//prpE//prpR//cirA//ampD//avtA//glpX//entS//marA//rrfH//glpR//csgE//ompX//rrlC//dsdX//rutA//gspM//glcD//ubiC//moaD//glgA//citG//rhaT//tsgA//nuoF//lldD//alaU//
PurR-Hypoxanthine	srlB//rbsD//ynfF//galP//srlE//mhpC//fepC//glyA//nuoH//skp//glnG//aspC//narL//tadA//trxA//dapB//hisM//ugpE//ryhB//cynR//fhuB//fixB//yfbR//narJ//dapD//lolB//trpC//dmsB//rbfA//tsgA//casE//tdh//nuoL//yiaO//
QseB-Phosphorylated	argI//dps//ung//ynfH//
RhaR-L-rhamnose	creB//bioD//
RhaS-L-rhamnose	hha//exbD//yeaE//nlpD//bioC//bdcA//
RstA-Phosphorylated	ldtB//cyaA//frdC//pepT//tehA//patZ//yiaL//ahpC//ccmC//nuoK//
SoxR-[2Fe-2S]3+ oxydized	abgT//cheY//iscS//truB//
TorR-Phosphorylated	bamA//metQ//mepH//gntR//uraA//araF//sufE//nadC//hflX//cyoB//
TrpR-Tryptophan	fepD//ytfE//fimH//cydB//fnr//ilvH//rhaB//katE//serA//fepC//fadD//fecB//
TyrR-L-tryptophan	rpoS//zraR//rrlD//thrS//garR//nuoI//hupB//ompA//ssb//galM//chbG//phoA//nrfD//purE//
TyrR-Phenylalanine	glmY//fhuF//mglB//rprA//uxuB//dsdX//polA//araC//iraM//emrK//xapB//ileT//malQ//soxS//
TyrR-Tyrosine	tauC//ydhU//ccmH//torD//galS//bcsA//rdoA//codB//araE//gutQ//glgC//iraM//pheM//bcsC//
UhpA-Phosphorylated	tdcG//
XapR-xanthosine	katG//bioC//
XylR-Xylose	glgA//araC//tdh//atoA//xdhC//ytfE//
ZntR-Cd2+	nhaR//
ZntR-Hg	aceE//
ZntR-Zn2+	ysgA//
ZraR-Phosphorylated	narQ//cydB//galM//
Zur-Zn2+	fau//cysI//torA//yaeP//sufD//yidQ//
