#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	dpiA//pstC//glgP//bioB//
ChbR-Monoacetylchitobiose-6P	uxaA//pstA//evgA//yjiY//srlD//guaA//
CpxR-Phosphorylated	glyA//araF//ahpC//gntU//rrsG//psiF//dadA//uvrA//betI//nuoC//bcsA//pdeF//betB//rutF//nrfD//cynS//hdeD//hypF//feoB//rrlB//casD//dpiA//phnF//ptsI//ydhV//azuC//dcuB//hycH//yeiL//nhaA//spy//gltA//rnpB//cadC//nuoE//cusA//metE//tauB//uof//gutQ//pdhR//nanS//ydfN//lsrR//gutM//uxaB//cysA//aroP//yfdE//mhpD//ykgO//ptsH//nanS//gspD//fimG//hupB//micF//appB//araH//argA//fes//recF//cyaA//kbaZ//tar//lldR//glpQ//sbmC//idnO//
CreB-Phosphorylated	uxuB//ynfF//ynfE//cusA//phoE//skp//sbmC//map//nrfD//
CueR-Ag	moaD//livM//phnE_1//mhpC//malP//metR//trpD//
CueR-Cu+	ydiU//fadL//srlA//alkB//fhuD//nrdH//tnaA//
CuerR-Au	ebgC//bglB//phnP//ccmG//paaK//ppdD//hflC//
CusR-Pasp	xylR//puuR//yhjA//hybB//lysP//cynR//marA//gutQ//yecR//yojI//ilvI//flhD//
CynR-Cyanate	glyA//rrfB//ybjG//nuoB//
CysB-N-acetyl-L-serine	hybC//fimA//rplW//cheA//dpiA//hofC//uidA//metY//mzrA//oppF//mhpB//norV//grcA//lldP//glpE//codB//ptsH//pstS//rseB//yqjA//paaK//livH//galM//sgbE//yfeW//proP//tdcD//rutE//fepG//gatD//
CysB-O-acetyl-L-serine	csiD//moaA//lrp//ppdD//hflD//sucD//mepH//glcG//ssuA//garL//ydhY//recF//ulaC//argT//mtlR//guaA//adhE//gntK//cynT//rpsI//fucI//psd//aer//pstC//emrK//nuoE//appB//betB//hycF//purN//hflC//
DcuR-Phosphorylated	fumC//oppC//astE//bioC//lacA//entD//artJ//dgcZ//dpiA//
DnaA-ATP	modA//hdeD//ssrS//rrsG//uidC//rcnA//rprA//gspO//ompC//lsrG//nhaA//ulaA//
DpiA-Pasp	yeaE//creB//cynS//cvpA//hisP//araC//infC//alkA//emrK//srlR//metN//
DsdC-D-serine	entD//rbsR//nikA//
EvgA-Phosphorylated	rpoE//gutM//cadA//cysI//lldD//mgrR//uof//lsrD//cadB//marA//bioA//glcB//prpE//malY//xylG//
FNR-[4Fe-4S]2+ reduced	napC//fixC//idnD//araC//iscU//fecR//fumB//alkB//gadB//hdeB//araJ//feoB//ugpA//ompC//nuoA//ilvG_2//mdtC//ivbL//hofP//sdhD//fimA//fimI//cdd//metK//nrfA//metY//gspG//cueO//srlE//aroL//oxyR//agaV//livM//paaJ//ygiA//tdcD//exbB//ychO//yeiL//mzrA//prs//fecI//lysO//fadE//upp//glnG//chiP//feaR//fucU//yeaD//degP//hpt//ugpA//araB//fimF//ykgR//ebgA//ompA//dgcZ//nuoB//malY//argD//lamB//sufS//casA//sdhD//aspA//ascF//nupC//rutG//gabD//mlc//csgB//phoP//nrdB//cysJ//hydN//moeB//ada//nanA//envY//aldA//nrdA//ydeN//marR//glpX//citC//bioA//tktB//nikR//cysC//mdtA//ydiU//artQ//yegR//raiA//yegR//hybD//yqaE//micF//fhuD//glcD//focA//paaK//gltT//modA//hofN//gatC//nrdB//ndh//yhiD//bdcA//rrsB//acrD//cpxA//dapD//torC//sdhC//moaC//tnaC//rutD//prpR//tdcE//mhpA//emrK//ydeJ//tdcC//mhpC//pyrC//mhpA//nupG//malE//glpT//paaA//nadC//glcF//sdhC//envZ//talA//acs//artI//moaA//tauD//zntA//astD//frdB//feoB//gatY//hydN//ileU//codA//napC//rpsI//yedX//malY//napA//hflK//cueO//hofN//garP//fadJ//tdh//kbaZ//nanK//nohA//rnlA//sucD//pnp//tdcD//manY//psiF//tauB//tyrR//mhpF//cadB//yibN//lsrG//citX//tyrR//paaC//hycD//gntR//rrlA//cueO//psiE//ssuD//katE//rplM//gatZ//yiaM//yjcH//cdd//hyfF//yiaN//fecE//nlpD//sxy//znuB//hypA//fliA//psiF//narH//yiaO//grxD//metA//tsr//hypC//fucK//metC//tadA//ampD//frdA//cpxR//glpC//hisP//ydhW//murP//metI//ilvG_1//gspK//glpD//cyoA//yqjA//fixC//dadX//cysJ//cas1//argI//rrlG//aidB//rnpB//nanT//yeiW//ybfN//lysC//tdcB//pgaD//waaH//hyaD//allE//murQ//ygiC//malF//torC//uxuB//cydA//hha//mglB//lldR//citE//treB//cyaR//tap//yjeF//fepC//deoD//ydfN//nanE//rplS//treB//hycA//glmY//citF//bioC//artP//nrfE//ubiC//citD//phoH//rrsH//rcnB//yhiD//csgA//gutQ//evgA//bhsA//rutG//paaF//ompW//malF//fucA//argE//rplC//frdB//nohA//gspK//oppB//astB//galM//aceK//araF//feoA//pgaB//dmsB//fixC//yaiA//sufS//hflD//rplB//dmsB//rrsD//cadB//hypE//hdeB//safA//
FhlA-Formate	ulaC//dcuR//aspC//mtr//phnM//yegZ//ykgM//alaT//cusA//paaH//lrp//betA//rplD//hyaE//rbsC//trpC//rpmC//galP//glgA//yneM//tsgA//prpR//recF//hflX//appY//feoB//yhiD//gspO//tauB//aspA//
FucR-L-fuculose-1-phosphate	iraM//fucA//yhcH//rutA//moaD//pdhR//yeiL//
Fur-Fe2+	hdeD//tdcG//betB//ilvG_1//fumA//agaW//grpE//gatZ//fumA//rplI//narI//talA//mntH//ynfK//fes//gltF//prpD//purC//hha//codB//amiB//lsrC//yiaN//rcnA//moaA//aldA//cueO//nirB//csiE//araC//oxc//hyfB//nupC//purL//fadI//gspM//argF//dcuB//rplV//frdC//nhaR//ileU//cbl//fadL//fliA//pgaD//ada//phnO//cysH//hycB//fnrS//rbsB//betT//hypD//cysD//fucI//mhpR//psiF//znuA//cpdB//skp//hyfR//yhjC//gyrA//feaR//hyfB//nuoG//glpD//rrfA//nikC//rpsC//abgA//yneM//xylB//mtlA//alaS//sbcD//fimA//hybO//rhaA//metY//gpmA//exuT//hyaF//phoU//sufC//rbsA//ynfE//mgrB//uhpC//citX//ydeN//metJ//trpE//nagE//betA//xseA//mutY//umpH//ygaC//gspO//truB//evgS//rnhB//bioB//yebE//tap//nuoE//tehA//cysH//galK//napF//artI//appB//talA//sufB//ilvX//puuP//astB//asr//glpR//ydhW//nagA//cyaA//metY//malS//yjjZ//ybdZ//rplM//aidB//fadB//ssuA//manZ//glgA//dpiA//paaJ//ppiA//glpG//hybF//tdcA//
Fur-Mn2+	pgpC//aroF//glcD//mpl//nikC//lsrK//mipA//yiaL//deoD//metJ//lsrG//map//allE//znuC//modB//nikD//fnrS//entS//ptsG//cyaA//lysO//ugpE//tdcF//bcsC//galT//purL//yfdX//entS//ssuD//fabZ//rpsI//hyfH//caiE//csgA//csgG//modB//glpG//ysgA//miaA//waaH//cydB//nadC//folA//araB//rbsD//glgA//aspA//purH//cas1//znuB//creB//gatC//ycdZ//ccmB//galK//fadI//malM//dps//oxc//hycI//srlR//nrfD//frdB//serC//rrfF//ompW//xapA//tdh//rpsC//uxaC//nfuA//ahpF//cysJ//cysH//nagC//aceB//melR//araH//nrfA//prpD//tsaE//aceK//fis//hybF//napB//nuoG//fadD//dsdA//nfuA//uxuB//atoE//hofP//map//cynT//torD//rutG//mhpE//hisM//ccmA//mhpB//hisM//tauD//garP//hflC//yhcH//gadB//gcvP//artI//dadX//lysU//pstB//uof//sufC//ycjX//tdcB//tsaE//phnF//livH//hypA//motB//aroG//fimH//hycE//rprA//nrdB//hyaA//hslJ//gspL//bioC//chbF//phnL//aroF//pstA//gntU//hofM//malX//rplM//rrsH//oppF//mscM//
GlcC-Acetate	flhC//chbB//melB//csiD//prs//nagE//napB//
GlcC-Glycolate	gabD//gutQ//modA//ydfN//aceE//yaiW//rplT//
GlrR-Pasp56	nrdF//
IclR-pyruvate	gcd//proP//aaeX//tnaA//
IdnR-5-ketogluconate	rbsD//ygiA//ynfG//ybdN//preA//dadA//gutQ//pgaC//
IdnR-Idonate	uxuA//argA//bioB//rrsE//nanK//citE//focA//comR//
IlvY-2-acetolactate	rplP//thrV//
IlvY-Alfa-acetohydroxybutirate	baeS//nuoE//
IscR-[2Fe-2S]1+	cusC//treR//tdcB//moaA//aaeR//lsrF//nikE//stpA//fepB//glpE//slyB//glgB//fabZ//map//metR//pitA//creB//rseB//hofB//gntX//cysU//spf//xdhB//gatD//rpoS//tnaA//chiP//fdnG//bioB//gadC//ydbD//purM//aceA//tadA//hha//micF//yfaE//ugpQ//metF//mntP//dnaN//
LldR-L-lactate	envY//glgC//argC//
Lrp-Leucine	lldD//nrfA//aldB//cheZ//trpD//kbl//alaV//tdcF//xylF//dppB//grxD//ptsI//argE//gatC//hypE//rpoS//psiE//hyfG//fucO//narX//phnG//argB//gntP//pck//ulaC//yneM//ulaE//yrbL//nhaR//malX//dnaE//hemA//serA//gspE//yjcH//mlc//glpQ//dppD//galE//frc//cheY//aaeB//ssuD//metF//cysC//nikC//phnF//actP//mscM//ulaC//cusC//hflD//gpmA//metN//gutQ//purF//norW//hcr//aroF//ssuC//emrK//acrA//gutQ//rplW//atoB//rdoA//modB//ccmA//psiE//gspI//mgtL//rplB//nanC//galS//mglC//aer//tsaE//tar//fhuD//fur//ppiD//pheM//rhaT//fucA//casB//actP//glpA//ryhB//fadD//bioA//pagP//dsdC//araE//citG//rrfE//fhuC//rrlG//tfaQ//psd//hyaE//dgcZ//fabZ//yqaE//serC//fhuF//ydhW//
LsrR	ompR//dapD//rplV//chiP//nanM//cyoA//citD//glgS//rrfG//
MalT-ADP-Maltotriose	phnE_2//entF//phnL//dppB//astC//yaiW//ilvM//gntU//prpR//casB//
MalT-Maltotriose-ATP	glpR//ychH//xdhC//puuA//araF//lacI//lldD//aroL//hycE//entB//
MelR-Melibiose	sufA//cadB//atoB//
MetJ-S-adenosylmethionine	hflD//pgpC//rpsF//fadJ//yrbL//metK//malF//napF//dctA//tcyJ//ftnB//ubiG//ptsG//exuT//hyfC//
MetR-L-homocysteine	ilvH//gltT//rutC//cra//metQ//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	sohB//yjjZ//murP//pck//map//fixC//
MhpR-3HPP	rrlG//abgB//rrfE//puuE//metA//cheA//
MntR-Cd2+	ygbA//rbsB//rrsA//agaW//yggX//
ModE-MoO42-	garL//amiB//waaH//yiaL//napA//tomB//yeaD//appA//efeU_1//pyrC//pheS//ilvN//fbaA//narG//rbfA//rplB//hypA//cusB//paaA//sbmC//phnF//rplP//cspD//serA//nikB//feaB//nuoJ//artM//prpR//dadA//csgC//rplI//uxaC//fecI//tcyJ//yjeV//metI//gspC//manA//aaeR//glpX//soxS//yjcH//bglF//livF//pflB//
NarL-Phosphorylated	metC//cyoE//efeU_1//tar//malG//frdB//fepD//carB//napG//rrlG//cra//nikD//trpB//copA//slt//purL//deoA//artJ//yfbR//aroM//cusA//creD//uhpA//nrdB//caiF//cusS//lpxB//hypB//fadI//nusA//entD//hycD//nanS//rrfA//casA//phnJ//mhpT//uidB//rrfG//araB//ada//patZ//gpsA//gspE//erpA//livH//hofN//hybC//atoD//mgrR//lpxD//glcA//cyoE//aroF//lysU//pstS//ivbL//psd//mhpT//phnO//ompX//rrlG//acrE//glpT//csgG//cheR//puuP//pheM//nupC//xylA//fimG//malP//ydbD//aldA//ssuE//treR//chiP//yneM//zraP//hemA//phoQ//rutD//hypE//glnK//fdnI//sgbE//rpsC//metA//psiF//rrsB//proP//thrS//rbsR//narL//ycjX//glnA//napG//feoA//araD//dapD//gutQ//phnG//glcE//hycB//nusA//gabD//sodB//gspO//fimF//uxuA//dppD//lsrB//metY//yoaG//napA//fadD//cydC//gpsA//dcuA//nikD//ompA//sucA//ldtC//glcA//ampE//
NarP-Phosphorylated	gntR//yibN//gltV//cydB//feoB//polA//oppA//frdD//pgaD//preT//gpsA//ybjG//rnlA//malI//cynX//yfdV//tsx//nuoI//cadA//argT//phoR//nirC//nlpE//fliZ//puuE//ynfE//ompA//lsrB//cas2//rdoA//metB//xylA//lacZ//hyaF//rseB//puuB//mntS//ycdZ//copA//malQ//codA//iclR//glpC//argA//tyrB//gltV//mntH//casB//caiA//glcD//
NhaR-Na+	ompX//fecC//creD//pyrC//glgP//cysW//rplV//
NikR-Cd2+	treB//tonB//glgX//citX//ompF//zraS//
NikR-Co2+	rrsH//rrlG//cydC//bamA//yhcH//ptsH//
NikR-Cu2+	dpiB//marR//tdcF//putP//fadB//speA//
NikR-Ni2+	tsx//lsrA//purE//purA//azuC//spf//
NikR-Zn2+	phnC//yiaO//yqaE//phoU//deoB//nac//
NrdR-ATP	dmsB//hyfH//nuoC//ileT//crl//aspA//tktB//trpE//tolC//
NrdR-Zn2+	citD//csiE//cspE//dctA//rpsJ//fhuB//purA//dnaA//ynfF//
NrdR-dATP	csgE//dnaE//ynfE//dsbA//tehB//moaA//ftnB//aroH//yeiP//
NsrR-[2Fe-2S]reduced	gatY//tsr//bcsZ//ydhT//rrfE//yoaG//metR//crp//moaB//aaeA//feoB//lpxA//gabD//amn//rimM//sufC//rpoE//cheY//mtr//gntP//lysP//gltD//yjeF//ivbL//mtr//sdhA//ahpC//ybjG//cpxR//alaU//csgF//guaA//lacA//chbG//sufS//nhaA//chbC//malQ//napA//yebE//ygaC//cas2//cyoD//rpsC//acrA//phoP//citD//rstB//codB//oppC//purF//grcA//chbF//hlyE//polA//ccmE//dmsA//fhuF//aldA//borD//grpE//torD//zwf//rplC//rpsO//crl//evgA//phnO//sgbU//ydfH//uidB//artM//rof//
PhoB-Phosphorylated	yfdE//psiE//znuC//hycA//allE//alaV//znuB//slt//nikD//yfdX//yccA//norV//phoE//yiaK//fis//cyoA//prmC//metH//gntT//csgA//tdcA//ybdN//cysG//fdnG//hflK//arcA//cysB//rpsJ//nikD//sufB//miaA//rrlG//fimD//bglF//yfbR//mltC//betI//evgS//ytfE//cysB//rrsG//flhC//nlpE//cheZ//acrF//glcB//cynR//nanC//rplT//cas1//ccmA//metF//sucA//fimG//phnK//fhuC//rpsF//yqjA//katG//fiu//aceF//
PhoP-Phosphorylated	dsdC//xylH//nanS//entH//rrsH//bacA//hypB//melR//tomB//ygeA//nuoE//nagC//aaeA//lyxK//trpB//mhpT//artP//ycjX//rrsH//dpiB//argB//rpsP//hlyE//cysH//metH//rpsI//metQ//rhaD//uhpT//melR//mdtA//psiE//rbsK//cysM//folA//paaK//hyfD//mepH//yeaE//tam//allD//yfbR//rimM//tnaB//sbcC//cheY//icd//oppC//lsrA//deoD//carB//rbsD//tnaB//ldtC//talA//hdeA//cyoB//
PrpR-2-methylcitrate	mglA//gatC//ssuB//abgT//tauD//
PurR-Guanine	cydC//bamA//moaD//nrdI//zinT//nikC//cusB//cysJ//nrdD//allC//ebgC//psiF//envZ//sufE//znuC//nhaA//tyrA//paaG//ydbD//trpE//ybdN//malQ//cusC//pheM//sodB//malM//artM//fes//dppB//xylA//ycjF//nhaR//nupG//exbD//
PurR-Hypoxanthine	glgB//ychO//prpE//paaD//oppC//pitA//citF//araC//evgA//rcnB//nuoN//bcsC//casB//bcsB//hofB//csgB//cyoA//uhpB//alaT//nirC//rybB//phnJ//manY//rstB//yeaE//torD//acnB//spf//glnD//phnN//adiC//araC//ydhW//agaV//
QseB-Phosphorylated	napH//metA//pepT//dsdC//
RhaR-L-rhamnose	truB//cspD//
RhaS-L-rhamnose	gspL//trpB//yhcH//entE//gspK//galM//
RstA-Phosphorylated	hyaB//acrD//srlD//yiaK//lsrK//glgX//sgbH//metR//fixA//actP//
SoxR-[2Fe-2S]3+ oxydized	araD//hcr//cheA//yeaE//
TorR-Phosphorylated	astB//fes//alaS//rrsH//paaZ//stpA//ydfN//cysW//fumC//ybdN//
TrpR-Tryptophan	glcC//rpsR//caiE//rhaB//cysI//priB//ydfN//hpt//creC//aroG//frdD//yjcH//
TyrR-L-tryptophan	sdaA//malG//sdhD//nanK//cirA//fnr//ldtB//yecR//truB//hflX//bhsA//hha//ldtC//puuE//
TyrR-Phenylalanine	livH//ilvC//paaJ//yiaM//uhpC//gspH//narG//rpsP//efeU_2//hybD//aaeB//allC//bcsB//dmsA//
TyrR-Tyrosine	glgC//purH//infB//hybC//hybE//napA//fdnG//glpK//phnE_1//mhpE//agaA//cusA//hfq//nrfG//
UhpA-Phosphorylated	ileT//
XapR-xanthosine	ompX//pstS//
XylR-Xylose	hycC//hha//gadC//uxaC//cirA//ycdZ//
ZntR-Cd2+	tyrA//
ZntR-Hg	pck//
ZntR-Zn2+	sdhD//
ZraR-Phosphorylated	nrfD//ykgO//artJ//
Zur-Zn2+	feaB//ccmF//tdcG//hyfC//appA//tnaB//
