#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rplM//acrD//sroD//znuC//
ChbR-Monoacetylchitobiose-6P	lyxK//hha//hyfC//csgE//appC//gpmA//
CpxR-Phosphorylated	ileU//tauA//fimI//glmY//gntR//sxy//idnT//cusB//crp//fadA//alaA//sufE//frdA//fadJ//emrK//yaiW//idnK//malP//ccmF//gpsA//nuoA//yedX//sodB//rutE//ulaB//gntU//hupA//treC//srlD//fadD//codB//fimC//ihfA//csgA//tam//yhfA//nanK//ulaF//rplW//hisJ//glnG//ydhW//rplV//livM//rpsI//ydiU//oppA//nrfG//metK//cynX//ulaC//casE//galE//fnr//fepG//nrdE//zraR//nanA//hofM//tsx//ascB//fimG//uhpT//marR//xylA//motB//fumA//nikC//alaU//
CreB-Phosphorylated	mhpB//rplC//narG//ebgC//mhpA//ulaD//ebgC//astC//glpE//
CueR-Ag	cysG//moaB//crl//manA//hcp//lsrB//yiaK//
CueR-Cu+	mdtB//ygiC//nlpD//yiaM//trpB//moaE//dcuD//
CuerR-Au	tauA//cspD//fimG//gltW//degP//glpC//hofM//
CusR-Pasp	lysO//uof//purL//gcvP//fhuC//purH//mgtL//tdcB//yrbL//metE//ynfE//cheY//
CynR-Cyanate	aldB//trpE//hofO//hofM//
CysB-N-acetyl-L-serine	cspE//bglB//rpoE//uxuB//citC//phoR//puuP//yiaK//araH//ulaE//xapA//araF//focA//tfaQ//argT//narI//xylF//focB//tyrR//comR//cheA//ugpC//gspH//betA//purH//baeS//xylH//glpR//hcp//entE//
CysB-O-acetyl-L-serine	ynfG//aroA//grxD//yoaC//hydN//argO//tauD//lysO//gntK//rrfH//hybF//betA//manY//raiA//hyfB//fepA//zraS//cysJ//cydD//tomB//phnC//uraA//ugpQ//yaeQ//baeR//aroL//tdcB//sdaA//metY//ychH//betI//
DcuR-Phosphorylated	ydfN//aaeA//hdeA//dpiB//rhaT//casD//glgS//tauA//cysU//
DnaA-ATP	udp//phnI//ybdZ//xylH//hycH//sucB//metE//metA//phnJ//fhuD//tauC//slt//
DpiA-Pasp	aroA//dmsA//rpsJ//lamB//xylA//idnT//rpsO//fumA//sdhD//dsdA//treB//
DsdC-D-serine	lacY//ompX//rpsQ//
EvgA-Phosphorylated	lpxA//gntR//nanM//gatD//agp//hyaF//hypE//aspC//entC//ung//artQ//exbD//oppF//fldA//phnE_2//
FNR-[4Fe-4S]2+ reduced	borD//mntH//sufS//leuE//aaeR//ompA//nlpE//sgbH//atoA//abgB//ynfE//araA//yaiA//lamB//livK//dkgB//sdhA//fimH//lacI//iraM//amiB//puuC//asr//arcZ//astA//nuoB//yeiL//fucO//phnG//cynR//nagE//fecI//sufD//pstS//ompX//rpsP//dnaA//sufD//lsrB//hmp//cyoB//fnr//mglA//trpA//mgrB//uidA//appB//tktB//qseC//hpt//bhsA//eda//evgS//feoC//mgtA//glyA//sdhC//ahpF//cynX//aroA//uidB//ileT//modA//cpxA//mhpT//abgT//fur//ygeH//fixA//hycH//narI//comR//fis//nlpE//yjiY//gntP//rplP//narG//fimI//gspE//oppA//fdnI//iscU//yedX//rnlA//alkA//xseA//alkB//cysB//fadB//chbB//artI//torA//oppC//rhaT//tpx//metK//bdcA//recF//ompA//gntR//baeS//exbD//ygeH//gabD//nikA//metY//cysW//thrS//tnaC//priB//zwf//ccmD//gpsA//rseA//ppdD//crp//flhC//rhaS//fixC//miaA//alaA//grxD//ydeJ//citD//rrfE//nuoB//hycD//ulaC//sufD//purC//chbC//dpiA//yiaL//feoA//norV//gutQ//ydeP//ahpC//yhjC//ydfH//hdeD//phoR//mscM//rrlC//ybdN//cadA//oppC//fecR//torC//chbG//yhcH//guaB//cyoA//livH//ilvG_1//rutF//mglA//yegZ//ampD//rpsJ//garR//purC//rrfF//grxD//araB//phnL//yfdV//araG//feoA//cytR//iscA//ilvI//dpiA//hybO//nuoG//ybdN//torC//rutA//nuoG//rpsO//icd//hypA//dkgB//speB//napC//zraS//rhaA//rrsG//glpX//argR//glpB//fnr//xdhC//ydhY//hflK//uhpT//bhsA//emrK//ilvN//bcsZ//gpsA//fecB//narI//fucU//pheM//tdh//aceK//cysK//glnK//ppdD//ydeP//livG//hycF//alaS//nagA//prpR//yiaO//hyfA//ygiC//argR//citD//nrfE//dusB//ydhT//malG//phoU//betT//paaH//rstA//priB//yaiW//rrlB//argB//glcA//qseB//metI//fadA//fecE//argF//cheY//ackA//ilvM//araB//cra//stpA//hypE//mepH//rplI//ydfH//hflK//micF//umpH//csgB//rutA//ilvX//bamA//ykgR//yfaE//trpA//citE//metI//lhgO//atoE//hyfI//puuD//cynT//napC//cynX//fucK//frdA//ileT//nrdH//dpiB//srlB//gspL//lacA//rcnA//abgT//rrsH//nikD//glpK//uof//trpD//rcnB//gcvP//rstB//casE//preT//folE//hyfE//moeB//gutQ//hyaA//casA//nac//caiE//rseB//rseB//ompT//baeS//nlpE//arcA//aroF//rprA//
FhlA-Formate	yfaE//ulaB//adiC//rbsK//lhgO//sucD//micF//grcA//gspL//mscM//hycG//srlA//talA//xylH//hpt//codA//rutD//tauC//gltV//fucO//arfB//cyoE//gpsA//acrF//yiaO//rpmC//bcsC//fepB//ykgR//map//
FucR-L-fuculose-1-phosphate	rybB//ynfG//aceB//bglB//galT//hyfA//napD//
Fur-Fe2+	dnaE//ptsI//metH//purA//araB//dppF//alaA//norR//fadE//ebgC//fecA//soxS//hybF//arfB//bhsA//qseC//araC//creA//appY//fixB//malM//cbl//marB//hyaD//guaA//xapA//nrdD//cysW//fepA//gltW//cysU//hemL//nrdG//pitA//ftnB//paaB//argC//ssuE//ung//oppA//recF//glpT//ccmB//fixC//tap//citX//osmY//exbD//bglG//argF//uhpA//ugpC//ilvL//hybF//rplI//pta//fucA//nrfC//nikC//glgX//dadX//tnaC//yfdE//phoQ//narK//cysB//ndh//phnM//ahpF//yjiY//bdcA//borD//cynR//uidC//rbsR//zntA//artM//garK//tdcF//zraP//rrlB//yfdX//nrfF//nuoC//ydhW//yegR//xylH//hemA//hybF//hdeB//rrlH//yegZ//ydeP//rseC//hycG//cheY//aldA//oxc//ulaC//araA//ugpB//sbmC//ilvY//pstC//rstA//casD//metA//gntR//fhuB//trmD//actP//rpsO//malQ//gntT//ccmD//kbl//rrsA//pgpC//modB//exuT//galM//rnlB//nfuA//cusC//nrdH//rcnA//sufB//narH//tnaC//hypC//garR//xapB//cyoC//nanM//fucK//xylA//rpsI//tnaB//trxA//xdhA//
Fur-Mn2+	idnT//phnJ//fucU//nhaR//lysO//hemA//cysA//gspD//argC//garL//gatD//malT//rrsE//aroA//sufE//yiaM//sbmC//aroF//glmY//trmD//napC//yiaK//artQ//dmsB//cadC//chbA//zntA//glpR//bhsA//phoR//phoB//ysgA//tsgA//oppD//ydhY//psiF//lacY//prpR//rrsG//rrfA//katG//aroF//ampE//rrfC//cysG//ykgR//sucD//pgk//cydA//gntX//glgS//nadC//paaC//glpQ//glpX//atoA//glpC//lysU//soxR//gabP//evgA//rpsF//nlpD//bcsB//galM//ahpC//nagA//entA//cheW//hisM//cyaR//nrfA//cyoE//purC//nuoI//ccmH//nanK//lsrR//sdhD//murP//hyfG//xdhA//phnK//gspE//cyoC//gcd//malM//rrlD//artJ//hyaF//ychO//appC//hofP//uvrA//chbB//amtB//infB//kbl//stpA//rrfF//tdcD//nrdA//fnr//deoB//fucA//ppdD//frdD//dcuA//hmp//lysU//tdh//gutM//speB//cueO//nikB//caiT//zraR//nanC//glgA//napF//hybD//argF//hofP//ykgR//purC//purH//glpQ//cysU//rcnB//ssuB//crl//narJ//phnD//norV//malQ//livM//prpE//fur//aroL//pyrD//
GlcC-Acetate	manX//trpE//codA//lsrD//uhpT//metR//soxR//
GlcC-Glycolate	motB//malY//pncB//cynR//yaiW//yidQ//thrV//
GlrR-Pasp56	mutY//
IclR-pyruvate	napH//yojI//arfB//yrbL//
IdnR-5-ketogluconate	paaH//argI//gatB//ygeH//ykgM//trpA//hupB//cvpA//
IdnR-Idonate	rrsE//mhpA//fimD//kbl//rutE//ubiC//rplV//fecA//
IlvY-2-acetolactate	paaI//tyrP//
IlvY-Alfa-acetohydroxybutirate	nagA//entC//
IscR-[2Fe-2S]1+	hyfG//hyfG//rimP//ugpC//rutE//pitB//sufS//ilvI//gpsA//araH//dcuC//fimA//nagA//fucK//alaV//spy//lyxK//rplP//tauD//yeiW//tdcE//ileU//prpD//gadB//bcsZ//mhpD//pgk//tdcA//rhaS//amn//frdA//citG//gadC//treR//paaA//glpG//tfaQ//glcB//oppD//puuE//trmD//
LldR-L-lactate	avtA//ccmF//phnK//
Lrp-Leucine	narI//mgrR//fadI//murQ//tyrP//ihfA//phnH//preA//ybdZ//fimA//cyoA//glgA//nrfB//exuT//trpD//phnO//uxaB//ivbL//erpA//tdcC//glcB//lldD//tdcC//nohA//manA//paaD//tsr//mgtL//infC//yfdX//baeS//nrfF//paaE//aaeR//yeaD//ilvG_2//infC//yqaE//argE//uhpB//hofN//modB//dgcZ//infB//fucK//araE//ompA//ampD//tomB//ydeO//hycF//hofN//purF//uidA//yaiA//ynfF//narI//iraM//gatC//hybD//mhpC//agaW//lsrF//ybdN//lysA//dcuD//mzrA//metJ//glnL//feoB//astE//psiF//purF//fimC//gltB//grxC//dctA//nrfC//abgB//creB//hisQ//marB//oppD//cheA//rnlB//uidB//hycG//pepT//hybC//mdh//nuoJ//ygeA//ihfA//allC//gntP//talA//ileT//gspK//rhaR//atoA//rprA//tcyJ//glpK//rstA//sodB//nuoJ//
LsrR	entE//rrfC//pheM//thrS//psd//abgB//ryhB//dcuS//sroD//
MalT-ADP-Maltotriose	adiC//nagA//entE//galS//ulaA//trpD//garP//sufC//rseB//cyaR//
MalT-Maltotriose-ATP	ptsG//fecA//cysW//ycdZ//phoE//iscR//manY//phnJ//nuoH//galK//
MelR-Melibiose	ubiC//uof//pgaD//
MetJ-S-adenosylmethionine	ilvG_2//emrY//trmD//rdoA//fhuA//cusC//lacY//lpxB//uidB//priB//dcuA//nikC//argI//mgrR//rpsQ//
MetR-L-homocysteine	murQ//talA//argI//glpR//nagC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	yaiW//nrdD//nrfC//alkB//rbsK//fepE//
MhpR-3HPP	gatA//feaR//hypB//acrE//hdeD//yecR//
MntR-Cd2+	dppF//ugpQ//ileV//nuoC//rimP//
ModE-MoO42-	hydN//baeS//dmsA//rpsJ//ascB//uxaB//treR//glnA//hflX//avtA//gspI//pdhR//waaH//pitA//phnE_2//glpG//pheM//nuoM//nrdB//yaiA//tam//gcvP//paaD//gpmA//nanE//hyfF//dppD//paaB//ampD//prfA//lysU//nanS//rrfC//araC//cheZ//ydeA//psiF//rseB//ilvG_1//efeU_2//ulaB//pstA//ycjF//rplP//gntT//gabT//
NarL-Phosphorylated	yeiW//glyA//lacZ//rrfC//slyB//csgA//rhaB//malQ//narG//purB//hflK//appX//qseB//galT//ugpB//fadE//degP//fumA//ilvG_2//creD//astB//pgpC//argO//idnK//gltU//appX//ccmF//nagC//alaS//tauA//metH//casA//rrfG//pgaB//rpsQ//puuA//lpxD//nrdA//cirA//allE//glcD//lsrA//fdnH//mepH//folA//hycD//rutA//pdeF//alaT//metH//metL//nanS//mdtB//treC//yeiB//nlpD//ebgC//rrfB//tdh//manA//ydhT//arcA//agaA//nuoC//oppC//dapB//alkA//ldtB//pitB//agaA//fau//ssuA//fepD//alaS//ccmG//fepE//fdnH//zraP//yqaE//glnL//casE//rutG//appX//allD//pgaB//hyaC//glpG//serC//rutD//zinT//rrlG//feaB//cirA//ybjG//sufB//cynS//dps//fnrS//fecI//glcG//speB//feaB//pgaD//dcuB//hyfH//putP//rrfC//cusR//speA//puuD//mhpA//phoR//hisQ//hflC//napF//ybfN//narH//tdcG//nohA//ychO//hycH//tsx//fucA//rplM//cysC//
NarP-Phosphorylated	fimE//fhuF//glnD//prpC//serC//sufE//napF//glgB//gadB//napF//tsr//garK//comR//fhuB//glpB//ccmE//gspD//rplI//arcZ//nagA//fadL//phoP//nagA//efeU_2//lhgO//entB//prpE//gapA//ycdZ//iraD//dsdX//asr//guaB//glgA//envY//pyrC//hdeD//arcZ//pstA//ompX//rplM//psiE//glcE//sbcD//aceF//dpiA//gpmA//hyfF//paaZ//guaA//
NhaR-Na+	astC//nhaA//sufE//torA//dnaA//hyaD//lacA//
NikR-Cd2+	bcsZ//csgF//yhfA//udp//miaA//glgS//
NikR-Co2+	rplC//napC//glgS//ygaC//entD//metK//
NikR-Cu2+	amiB//fepD//argT//paaH//malM//pstS//
NikR-Ni2+	pitB//gspF//aroG//tap//grxC//katG//
NikR-Zn2+	glnA//pheT//prfA//glnL//ahpF//pflB//
NrdR-ATP	flhD//hypF//icd//cusA//rstB//sgbE//pyrC//gltF//murP//
NrdR-Zn2+	mepH//baeR//rplC//melB//nrdI//rcnA//glpC//malG//aspA//
NrdR-dATP	cyoD//cysN//cheW//aroL//lsrG//cysB//lpd//glnK//xylB//
NsrR-[2Fe-2S]reduced	yedX//gntX//oppC//lamB//fadI//fecI//mhpD//dcuB//slt//pheM//cheY//yebE//torR//ilvI//nikC//kbl//nmpC//asr//cytR//tnaC//modC//rrfG//skp//ndh//malI//nikA//tauB//rrfH//phnP//agp//iscS//nrdE//gspJ//puuA//ydhU//tsaE//malT//marA//ileU//malZ//fimD//argC//uidA//glnG//ogt//tar//galP//sgbE//ydhX//yaeQ//phoU//rplW//dppF//fnrS//cpxR//slyB//hflD//bcsZ//ydhU//evgS//yqjA//pstS//znuA//hisJ//patZ//erpA//modC//nagC//hybC//phnM//phnG//paaK//yqjA//
PhoB-Phosphorylated	acrF//nuoM//lpd//glcA//bglF//rrlD//hisP//yhjC//fepB//srlB//nrfA//pgaD//ilvH//hyaC//mdtD//modB//adiC//araB//gspM//rutE//tehA//napF//fbaA//carB//hycC//gatC//sdhB//uxaA//cysG//ptsH//nagC//yecR//murQ//tdcA//astC//mgrR//speB//bamA//tyrP//rplT//rutD//ilvL//yqjA//dkgB//glpX//xylR//ileU//malP//iscU//cirA//cyaA//lysC//acrB//dapB//rpsC//fecC//fumA//mhpT//hypF//hyfD//glgA//
PhoP-Phosphorylated	gltF//lsrA//nuoF//puuA//yqjA//bdcA//ulaC//araA//fucA//hupB//puuA//fnrS//dnaN//nanT//gatZ//cysN//paaJ//cspE//ptsI//zinT//rbsC//cytR//cusC//fepD//cysA//galT//araH//ilvN//fdnG//gyrA//psiE//iscS//moaD//atoD//mtlA//sufC//ugpC//cusF//citX//ytfE//pnp//hflK//dppA//kbl//rplB//cheR//trpE//torD//rybA//metL//hycD//lacY//hypF//pflB//cyaR//narX//dkgB//
PrpR-2-methylcitrate	ynfF//rbsC//aroA//grcA//dpiA//
PurR-Guanine	gcd//manY//livJ//metR//dadA//psiF//fumA//psd//degP//rrfC//ilvN//oxc//dppD//rbsK//csgD//sucC//codB//ybiT//malT//rof//moaA//nohA//ansB//zraP//hycB//sgbE//citC//erpA//rhaT//tauC//fimH//cydC//qseC//csgB//
PurR-Hypoxanthine	ompW//epd//nrfA//sufB//yiaN//nuoC//argO//norR//pyrD//tauA//dnaN//lysO//sdhB//aspC//araA//ydhU//nuoL//srlR//fdnH//pgaB//trpC//cynT//dnaN//rhaS//uhpB//csiE//ydeP//ycdZ//malY//phnM//glnK//yaiW//rplT//rrfC//
QseB-Phosphorylated	cspE//gltD//mltC//mtr//
RhaR-L-rhamnose	phnE_2//araE//
RhaS-L-rhamnose	oppF//aaeB//lsrA//argT//alaA//mglC//
RstA-Phosphorylated	tauC//hycD//pflB//yaeQ//zraR//lldR//fixB//dgcZ//nuoN//glpQ//
SoxR-[2Fe-2S]3+ oxydized	hypB//argO//csgG//cysH//
TorR-Phosphorylated	carA//dnaA//chiP//chbF//prpR//nuoJ//lpxB//hyaF//iscS//oppA//
TrpR-Tryptophan	bamE//dnaE//rrfG//eda//torR//tam//metY//entC//trmD//narG//cysB//fixB//
TyrR-L-tryptophan	cbl//aldA//fhuA//rpsF//trg//trpD//dgcZ//rpmI//hyfB//rrfA//cydC//araC//aceK//narQ//
TyrR-Phenylalanine	yccA//fepC//argI//grxC//rpsI//yegH//rbfA//alaS//ynfK//cadC//yfbR//hlyE//pstC//caiD//
TyrR-Tyrosine	aroP//malS//rcnB//xylB//yjjZ//abgA//fecC//osmC//sohB//glgA//ygeA//cra//hha//hyfH//
UhpA-Phosphorylated	cusR//
XapR-xanthosine	patZ//rbsC//
XylR-Xylose	fixA//lsrR//argR//hycF//cyoB//guaB//
ZntR-Cd2+	ampE//
ZntR-Hg	lolB//
ZntR-Zn2+	rplC//
ZraR-Phosphorylated	glpF//cusR//frdB//
Zur-Zn2+	rpsS//rpsJ//gnd//ryhB//rstB//narJ//
