#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	yiaL//kbaZ//citF//glcB//
CueR-Cu+	raiA//phoP//mscM//lsrC//fucK//rpsF//psiE//
CuerR-Au	dsbA//yqjA//uxaC//allE//ulaA//mscM//lsrR//
CusR-Pasp	efeU_2//codA//miaA//marA//aroM//ubiA//gntR//fliA//tadA//hycD//ompR//appX//
CynR-Cyanate	nrdD//metQ//lysO//nanE//
CysB-N-acetyl-L-serine	ebgA//edd//iscA//paaF//metA//cyoB//rhaR//pflB//rrfF//codB//rpoE//entF//uxaA//tdcF//psd//miaA//acnB//ptsI//hisM//fnr//ompX//mdtC//paaG//citG//ompA//fdhF//rplC//metN//qseC//hyaF//
CysB-O-acetyl-L-serine	mgtL//dmsC//cysU//nhaA//malE//ompW//tsr//fixX//ssb//yaeQ//ydeP//ynfE//fecA//feoA//idnD//hycC//phoQ//ilvG_1//moaA//atoB//marA//srlR//ompW//ugpC//sohB//ydhY//hofB//marA//entA//rpsF//yggX//
DcuR-Phosphorylated	fimA//mglC//yqjA//crr//gnd//pstS//lldP//cra//entE//
DnaA-ATP	livM//appB//glnG//tdcB//lpxD//nupG//gntU//hdeD//bglF//dppC//rpoS//envZ//
DpiA-Pasp	rhaS//betI//csiE//epd//ampD//dapD//ldtB//erpA//appY//cvpA//astD//
DsdC-D-serine	uxuR//purL//ygeH//
EvgA-Phosphorylated	ahpC//phnF//yeaR//lsrF//ileV//gntX//leuE//uxaB//garR//dppB//osmC//puuD//casA//preT//dnaE//
FNR-[4Fe-4S]2+ reduced	uidA//caiA//talA//rseB//ileT//tyrP//glcD//narI//fecC//folE//yfdV//paaI//yqjH//agaW//purN//rof//nagB//livF//cusR//glmY//fimF//purA//manY//sufC//gspF//mipA//pstS//rpsF//ldtB//idnR//cynS//fucI//nrdB//ugpQ//ynfF//bhsA//tap//chbA//nirC//nagE//fucK//pta//tehB//caiB//cynS//appC//rutF//sufD//sdaA//pta//uvrA//mhpC//gntK//ptsH//argD//purC//icd//agaA//efeU_2//tauA//garL//hypC//glpE//deoD//nuoK//ychH//cysA//allE//kbaZ//ydbD//gspL//hyfD//sucC//lysP//frc//baeR//tnaC//fepE//nfuA//yecR//yiaN//fadJ//narH//nfuA//ykgM//hcp//dadX//ccmG//rnlB//hfq//entS//nac//pdeF//caiT//nagA//melA//rrlB//galT//tnaB//aer//nikE//lldP//moaD//rrfF//ynfG//paaE//rutA//ydiU//argR//mhpC//fucK//napC//ygiC//ompW//cyaA//yegR//lsrA//entA//glpK//osmY//phoH//kbaZ//yiaK//cpxA//cyoA//atoE//cheB//yhfA//aaeX//bioB//dsdC//fdhF//aceF//fimI//hyaC//trpE//malT//hypA//kbl//treR//cpdB//napD//ulaC//deoA//rrsA//ydbD//chbG//gabD//pta//infB//hyaC//galK//cusC//baeR//gatY//yiaK//nanE//malZ//ilvB//prpD//cysM//tadA//phnE_2//yiaN//fimD//appY//arfB//melR//sucA//iscR//truB//phnK//phnF//mntS//phnN//tauB//nikC//cysI//hdeA//puuC//sodA//mutY//ilvM//puuB//narJ//glnA//chbR//pepT//dcuB//narL//tpx//hyfE//dsdA//fimC//pitB//metI//glpF//creC//tdcG//rutF//lacY//mutL//ccmA//map//caiA//rplI//rutC//araF//dmsD//argH//ilvA//fnrS//purE//idnT//ccmB//ubiG//rutB//fucU//galS//ygaC//rcnB//hyaA//citF//uvrA//phnH//ynfF//ugpE//sucA//metJ//nanA//gspK//lpd//dgcZ//yaeQ//alaV//yeiW//pdeF//fnr//srlD//tadA//moaC//fimC//creA//ynfF//csgB//cydB//dcuR//aroA//tyrA//ssuB//prpC//idnD//purC//cadC//ccmF//metK//ulaD//sdhB//leuE//hisQ//ygeH//priB//nrfD//truB//ampD//glgS//nuoN//fnr//gapA//srlA//ydiU//tauC//rrlD//fixC//paaK//serC//rpsF//glgB//adiC//araC//paaC//norV//gltB//dcuS//lpd//mgrR//phnC//yegR//hcr//glrR//flhD//hlyE//ychO//glpD//hypF//aceB//purA//zraR//nagA//rutB//ydiU//mhpE//yqjI//ilvC//mtlR//
FhlA-Formate	tdcC//nrdF//acrF//aer//purA//lacI//mtlD//caiA//nanA//ileU//narX//casA//cheZ//hflD//cas2//xapA//ileV//cyaA//flhD//araE//ccmG//argR//rbsC//torD//xylF//sdaA//atoB//fecI//mltC//yoaC//
FucR-L-fuculose-1-phosphate	pheS//rpmI//fepG//yfiP//ccmE//purN//livF//
Fur-Fe2+	entC//fadJ//argP//xdhC//yiaN//hypA//rbsC//dppA//alkB//ydhX//gltU//rrfB//napD//rhaB//uxuB//artI//hyfR//fecR//uxaA//abgA//atoA//motB//hflD//glyA//stpA//aroA//ydeM//ydeA//napB//ada//hha//qseB//ompW//uxaB//phoA//ilvC//psiF//trpB//xapA//fixX//moaE//astB//hybB//yeiP//rrsH//idnD//argO//ydiU//ssuD//trxA//upp//fepE//phoP//talA//lamB//lsrR//ulaB//fliA//hofB//hflK//agaV//nuoK//hdeB//prfA//tnaB//rhaD//nuoE//mglC//ydeN//rplC//hycI//hybA//ndh//gspF//infC//dcuB//fepG//bioF//tomB//hyfF//artM//galS//dmsD//narQ//abgA//fucA//glpT//aspA//hdeD//lysP//paaE//hycD//sdhB//dctA//garR//dsdX//ileU//pyrD//map//infB//dadA//raiA//rhaA//csiE//purA//ilvY//xylH//bglG//tdcF//artQ//glpB//tomB//ychH//ileU//rrfD//gadB//argC//bamE//pitA//paaZ//sbmA//uxuB//iraD//nrdE//paaD//rhaT//nhaA//paaE//abgT//hyfA//alaV//fdnI//rcnA//hisJ//baeS//ahpC//actP//thrV//hyfG//dmsC//
Fur-Mn2+	gltW//aldA//acrA//trpL//lldR//ydhT//hybG//rplS//srlR//nadC//yegH//galP//ydeO//ulaC//garL//yqjA//hyfG//purN//osmY//ilvH//trpC//mntP//aceA//hybA//hycG//asr//ileU//soxS//tcyJ//fadB//fecI//fixA//acnA//mtlD//bioA//cynT//cynR//frdA//lldD//rhaB//paaH//paaC//hyfD//gpmA//feoB//mhpE//prpR//phoE//tdcB//cysC//fecA//phnJ//ileV//pheT//hycI//phnF//preT//mdh//gcvP//ysgA//hypF//mglB//cusA//artJ//rprA//cysU//nikA//alaT//entC//ilvG_1//cysW//cysA//ilvM//ascB//appX//chbF//lacA//ftnA//glgA//mhpF//tauC//sufA//rpsO//metI//ulaD//rbfA//gpmA//appA//nuoJ//tfaQ//nirD//oxyR//sdhC//bamA//cheR//crp//deoC//sgbU//rutG//cysU//gpmA//puuD//puuR//malK//mgrB//nuoG//lsrK//rbsK//dppF//cadC//ydeO//glmY//nrdE//glpA//ilvC//treB//malE//glgX//yhjC//ydhX//araA//trpR//garK//nagC//rhaT//agaV//ompR//rpoE//citE//tnaB//rprA//lpxB//astB//hflX//glpF//evgS//purB//fau//safA//pnp//
GlcC-Acetate	fdnH//ccmF//yrbL//nanC//cydB//dppF//agp//
GlcC-Glycolate	fecR//waaH//ansB//nagE//tyrB//ldtC//qseB//
GlrR-Pasp56	mtlA//
IclR-pyruvate	mgtL//gatC//udp//znuB//
IdnR-5-ketogluconate	purH//allE//rutA//rplD//phnH//hflX//deoC//hisP//
IdnR-Idonate	rstB//hmp//rhaA//phnL//fumC//ileU//ydbD//nusA//
IlvY-2-acetolactate	nuoN//ulaE//
IlvY-Alfa-acetohydroxybutirate	pflB//marB//
IscR-[2Fe-2S]1+	crr//gabP//mtlR//glpG//arcZ//cynX//recF//dcuS//ompW//malI//sufA//melB//rpsQ//ulaB//metQ//pflB//zntA//mntH//atoB//csgG//rpoH//hemA//rnpB//gltB//nusA//yqaE//dgcZ//fucP//fucK//nrfB//nagC//csgF//amn//sufB//ascB//yfdV//glpX//garL//rhaR//aroH//fur//
LldR-L-lactate	dmsA//galP//yiaK//
Lrp-Leucine	purE//malM//araJ//gltB//agp//psiF//safA//cheW//fucP//fecA//nrdB//cysP//fur//rrlD//ompR//araA//fadH//purA//rimP//glnA//yeiB//nrfD//comR//nuoH//nrdF//lacI//rstA//tam//sufA//fliZ//feaB//napF//hyaD//adiC//purN//ycdZ//nrfA//ptsI//fepD//katG//ebgC//carB//alkB//hybE//yoaC//nagA//phnM//spy//aroM//alaV//argA//gcvH//glgS//narH//dcuA//amiB//lldP//ahpC//nuoH//aroF//pgaD//gntT//glpK//oppF//iscS//argB//bdcA//ilvM//rutC//mutY//fau//fhuD//xdhC//gspI//phoP//rbsA//sufA//yfdV//bamA//gntK//sbcD//lpxA//nuoB//ynfH//ssuE//dmsC//ydeJ//znuB//exbD//dsdA//nanT//norR//cyoA//ydhX//alaA//malG//osmC//narJ//fadD//rrsD//psd//cysN//kbaZ//fnr//ygiA//agaA//
LsrR	purD//ilvC//ssrS//rpoH//ynfE//purE//phnH//srlE//metF//
MalT-ADP-Maltotriose	gntR//nuoC//argD//aspC//astA//hypD//tnaA//nuoN//ychO//rnlB//
MalT-Maltotriose-ATP	ygaC//ydhX//gntT//manA//artP//purR//deoC//eda//tap//ahpC//
MelR-Melibiose	nirB//hyfG//ackA//
MetJ-S-adenosylmethionine	amn//argI//lsrK//mltC//chbC//mhpB//livG//rutG//gatB//nuoJ//yeaR//nlpD//moeA//hofN//rrsC//
MetR-L-homocysteine	sdhD//ydhX//dmsB//ydfH//trg//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	zraP//oppC//paaH//bglB//secB//csgA//
MhpR-3HPP	frc//qseB//arfB//cheA//yaeP//glpX//
MntR-Cd2+	ada//ybdZ//malF//ydhX//ulaE//
ModE-MoO42-	ilvM//ada//acrA//ascF//tsr//envZ//mltC//glmY//xylF//citC//nanT//glcD//gadB//tadA//fimF//argC//cheB//cpxA//melR//metN//narG//cyaR//ulaF//nhaA//rbsC//phoE//mpl//trpD//cstA//argI//rpoH//rutD//ynfF//sufB//oppF//lsrA//nanT//dsdX//aroG//ebgC//ynfF//moaC//sodA//paaB//phnJ//sdhC//
NarL-Phosphorylated	galP//rutF//napD//purL//yojI//infB//lhgO//galP//fadB//hybE//tyrB//ugpC//cusB//ybjG//ilvH//yeiP//fimC//hycC//fur//ompF//aldA//cusF//hslJ//ydeN//hyaA//metF//purD//preA//tdcC//nrdE//trpE//lysO//bglB//rrfB//oppF//treC//yfiP//rplW//entC//ptsI//rbsR//tdcB//gatC//glpD//cspE//melR//soxS//sufC//purB//ydhW//hslJ//pheT//torC//ccmF//nirC//napD//idnT//hdeD//glgP//xylF//phoE//argA//purK//fixX//bioD//nanE//ispE//leuE//torC//argE//sufB//fbaA//rrlH//mtlR//tnaB//phoU//rrlA//rrsA//metB//norW//hyaB//paaI//glcE//dnaE//glcC//nuoN//comR//prmC//slt//cysH//glgS//zraS//entA//aer//hflK//comR//kbaZ//cyaA//uraA//frdA//sbcD//glcA//hycI//fadI//rybB//metB//alkB//malP//csgC//pgaA//cyoC//citG//nrdI//betB//rhaD//cysC//rhaA//gltA//hofN//hycE//ydeM//yhiD//sxy//rutB//ldtC//
NarP-Phosphorylated	sufS//hycD//waaH//chbG//livM//mtlR//metI//glcG//lsrB//hyfA//metB//idnT//gabD//sufE//ispE//dmsB//idnR//uxuR//fumC//ybiT//crp//entB//nrfB//yoaG//ygbA//nuoG//speB//ppiA//araE//lysU//fepD//melB//pstB//nuoH//trxA//fumB//alaA//phoH//thrS//mhpT//hdeA//hybG//hpt//yeaR//rpmC//gntU//rpsF//paaB//prpC//bglF//
NhaR-Na+	phoA//nrfG//araF//fiu//oppF//asr//hyaE//
NikR-Cd2+	ilvG_2//nlpD//cydD//lpxB//ubiA//mgrB//
NikR-Co2+	sbmC//tsx//iscS//entS//nuoI//frc//
NikR-Cu2+	recF//rprA//phnN//trpD//yedX//grpE//
NikR-Ni2+	ssuD//ampE//glcG//mpl//ssuC//alkB//
NikR-Zn2+	codB//udp//mutL//fimF//napH//ydeJ//
NrdR-ATP	yciW//cusB//fecE//glcA//cysG//grxD//phoA//ccmA//tolC//
NrdR-Zn2+	amtB//atoA//napF//lacZ//argT//artI//mepH//argG//fdnH//
NrdR-dATP	xylH//fldA//ugpC//ybdZ//rpoH//yfbR//borD//rhaT//oppA//
NsrR-[2Fe-2S]reduced	puuP//gyrA//pflB//glpE//lpxA//alaS//gltT//ansB//rnhB//fadI//sdhB//pheM//lacY//purR//bglF//codA//rrsA//ubiC//purL//manA//hyaF//argP//prpB//ppdD//yqjA//mgrR//carA//fecA//fepG//garP//ccmF//folA//gspI//fucK//dmsD//rpsQ//tauD//yiaJ//gspL//lacY//ccmH//ccmH//gadB//cysH//zraR//kbl//fecB//ccmB//adhE//deoA//rrfF//ung//manZ//ugpE//cra//gabP//casC//moaA//tcyJ//lysU//fadB//allC//ompW//adhE//feaB//hisM//hslJ//mdtB//hybA//alaV//fnr//hupB//mhpA//
PhoB-Phosphorylated	truB//cheA//yojI//hdeA//baeR//acnA//entB//astC//feoB//aaeR//ogt//tomB//nuoK//rbsK//tdh//ycjX//epd//gatC//chbC//fepB//nohA//rnhB//fhuB//gpmA//nanK//ptsG//moaA//speA//aaeB//lacI//cyaA//polA//purF//argO//nrdB//hlyE//ftnB//pck//csgA//ygbA//casD//caiB//pdeF//glgS//xylG//hisM//exbD//bhsA//lrp//artJ//dsbA//arfB//cra//atoD//puuP//aceA//gspL//lsrF//cheY//arcZ//gspD//
PhoP-Phosphorylated	melB//ybiT//cusS//pflB//gatY//hyfH//hyfA//fepG//pgaD//avtA//uhpT//aaeA//lldD//ygiA//nrfE//rstA//xylA//rbsK//hcr//ynfE//pgaD//alaT//fadD//manX//gspE//casB//gltA//atoE//alaT//ppiD//galP//rstA//rrlH//tauC//argO//ydhW//glcG//tnaB//aceF//frdC//lamB//rpsJ//tam//hybB//rpsR//gntK//pepT//uhpC//fadE//ygiB//cusC//trpC//gabT//sgbH//ubiG//glpR//fhuA//
PrpR-2-methylcitrate	fes//tadA//hdeD//gltA//qseC//
PurR-Guanine	astC//hyaB//ssuE//moeA//ydfN//mtlR//frc//phoA//fau//ybiT//ebgA//lacA//gadC//glpK//nuoM//zraS//ompW//codA//uof//bdcA//alkA//betI//uidA//rplV//zraS//mhpD//recF//aceE//ileT//codA//yiaN//rrfE//citF//metQ//
PurR-Hypoxanthine	nuoC//mgrR//crl//hisQ//mdtC//yjcH//hflC//fucA//grxD//xylH//xdhB//dmsC//ryhB//tfaQ//hycA//znuA//fbaA//pepT//cyaR//rplB//fimH//araJ//ssuB//trpE//agp//rrsC//rrfC//pheS//hyaE//tsx//infB//fimH//fiu//xdhC//
QseB-Phosphorylated	rplB//csgD//moaC//acrD//
RhaR-L-rhamnose	fixC//dnaA//
RhaS-L-rhamnose	grxD//ilvX//glyA//motB//mdh//mhpA//
RstA-Phosphorylated	erpA//codA//narQ//phnO//hyaD//amtB//ykgR//gcvP//polA//ydhW//
SoxR-[2Fe-2S]3+ oxydized	qseC//yiaM//rstA//fepG//
TorR-Phosphorylated	iraD//cysU//rutB//caiD//lysO//nrfG//nanC//hyfB//aroM//rpsR//
TrpR-Tryptophan	aaeB//malQ//hyfA//ccmA//appX//araB//hemA//icd//yjcH//fabZ//mhpC//yiaM//
TyrR-L-tryptophan	ccmF//lldD//mhpB//gatA//fecE//qseB//acnB//araG//dcuC//argF//livF//gspF//phoR//narX//
TyrR-Phenylalanine	tdh//spy//aaeB//envZ//yiaN//narK//cysB//ccmA//rplT//uxuA//uxuB//purN//ydiU//csgD//
TyrR-Tyrosine	mtlD//csgD//araC//ilvD//yhjC//yidQ//srlE//purB//idnO//pgaC//gspG//aroG//ydfN//pta//
UhpA-Phosphorylated	mglC//
XapR-xanthosine	ydfH//mglA//
XylR-Xylose	uxuB//arcZ//frdB//rplP//rpoH//rpsP//
ZntR-Cd2+	ihfA//
ZntR-Hg	hflX//
ZntR-Zn2+	hemL//
ZraR-Phosphorylated	fldA//putP//metJ//
Zur-Zn2+	modC//osmY//rdoA//puuA//cysW//dcuC//
