#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	hflK//aroP//hupB//cyaR//
FNR-[4Fe-4S]2+ reduced	astD//hyfE//paaA//acnB//focB//nhaA//grxD//gntX//aaeX//rbsC//dsdX//gdhA//bioF//xylR//yggX//uxaB//baeR//phnL//hofO//nrdA//cyaA//cysG//gcvH//ilvE//arfB//purA//hdeB//lsrA//hyaC//gutQ//trpA//osmY//fnr//tadA//hypF//adhE//rplM//caiT//cpxA//ndh//bdcA//rrsC//araC//evgS//sbcD//iscS//ilvN//tadA//gspM//mhpR//fimD//paaG//hyfB//ppdD//fdnH//citF//ebgC//gatA//nhaA//malM//mglA//fadH//lacI//mglA//nrdE//gspM//glpK//ygiC//evgA//dadA//yhiD//pheT//cheB//nanM//stpA//nanA//aaeA//ybjG//yebE//hyfJ//aaeX//paaG//ysgA//rrsB//rutD//codB//ccmE//dcuS//lysO//rplI//ydeA//yciW//lldR//tdcD//deoD//crr//gltU//gapA//yoaG//nac//kbaZ//metJ//oppB//bcsA//aroA//fdhF//iclR//yneM//rnhB//entH//trxA//nanE//argP//casC//amtB//dapD//araA//fepE//fes//hflD//ampD//dkgB//manA//glgB//rpoE//aaeB//zraS//hemA//rutG//sbcD//manX//frc//rrsA//bglB//ydhY//hyfF//frdC//ybjG//cysK//gltD//fhuB//baeR//prmC//crp//iraD//mgtA//nhaR//appX//dps//gspJ//edd//ytfE//sufE//metE//mltC//crp//mdtA//phnK//adiC//phnC//yiaL//garL//fdnI//araB//uraA//xylA//cydB//treB//ygaC//ubiC//hflC//mhpT//lacA//hycD//puuB//ivbL//hyfA//udp//uhpT//purL//purD//rpsR//yhcH//cysU//cynT//grxD//cusS//hypC//cysP//galM//iscR//fliZ//ptsH//glnD//cas1//hyfI//nrfB//yeaR//gcd//aroH//yeaR//ptsG//phnN//lacY//envZ//pagP//pstS//ychO//bdcA//rrlB//paaI//ybfN//artQ//ileU//rrfE//katG//mscM//hyaF//ccmE//nuoF//sucA//glnG//lysP//rrsE//cyaR//pgaD//livJ//artP//tap//mgtA//pnp//rrlA//uxuA//uidB//ybdZ//puuC//metJ//fadH//artP//ydhX//trxA//napF//tauA//hybC//nac//yqjI//livH//cyaR//araD//ydeN//hyfA//yeiL//mhpB//yhiD//phnI//gspG//ilvX//rrfG//sgbH//cyoA//entS//alkB//moaE//rutD//hycI//phnE_1//ileV//xapB//astE//gutQ//narG//nuoA//hyfI//ubiC//ugpE//entE//ugpQ//pgpC//rrlB//rhaR//ccmH//nrfE//oppF//cusS//feoB//ygbA//mscM//idnK//lsrR//ptsH//fepC//pstA//nikC//ybdN//ilvG_1//argT//frdC//lhgO//ascB//nrfF//dmsB//gatY//hycG//hybO//narG//
FhlA-Formate	cydB//argC//rrfH//glpD//marR//lsrD//cyoD//uvrA//gspO//map//yeaR//hisM//yhiD//grpE//nuoN//ydiU//ynfH//lldR//yciW//aceA//cyaA//ilvB//ssuD//sbcC//gltT//zwf//paaA//infB//astE//livK//
FucR-L-fuculose-1-phosphate	folE//aspC//gspE//chiP//aceF//gatD//ytfE//
Fur-Fe2+	yhfA//oppC//metQ//araJ//tdcG//safA//agaW//oppC//mtlD//fixA//gcvT//qseB//fhuC//putP//yjeF//chbG//torC//idnD//hyfD//patZ//frdA//yiaJ//glgP//ldtB//mutL//osmY//srlD//rplM//csgB//cynR//garP//casA//adhE//marB//rplW//fdnH//lysU//yhiD//fecD//mhpD//nuoL//fumC//hupA//hemA//dcuS//aspC//truB//fadI//avtA//rrsE//cusR//paaJ//rstB//aldA//tnaC//serA//fucA//mdtB//entB//znuB//malE//nohA//sgbE//murQ//motB//dcuC//uhpT//yebE//fixA//ampD//feaR//caiB//trmD//glnL//moaC//tonB//rrlE//csgG//aaeR//pgaD//eda//ilvG_1//idnD//lamB//ydhX//nagB//dppD//hybC//tauB//mgtL//fecR//fucP//rrlB//mscM//hisQ//edd//ebgA//malT//rrfB//cysD//dgcZ//sbmC//cirA//preT//mdtD//purF//phnL//oppF//gcd//metJ//ulaF//hyaE//metN//hofM//appB//nrdG//ygeA//fadJ//ilvM//paaG//artM//cueO//iscA//yhhY//gpmA//acrA//hofC//guaB//ilvY//ccmC//csgG//yfdE//xylH//malM//rpsJ//napH//epd//narQ//murQ//ugpC//
Fur-Mn2+	aroF//prpE//abgA//ssb//tonB//zraS//cyaR//hofN//torA//caiC//lysU//rplP//araF//hybO//argF//pstB//pflB//aldA//glnL//araB//codA//gyrA//yjjZ//ung//ldtC//purE//ispE//ynfH//hyfE//aldB//entH//fhuC//gspD//glnK//narX//yccA//crr//lsrC//purF//acrA//metK//oxyR//nagE//fnrS//oppA//mgtL//sbmA//ilvB//rhaT//hyfR//nlpD//cusF//yedX//livH//moaB//srlB//modA//oppF//mgtL//paaC//allE//tsaE//rplM//gltB//tyrA//melA//yhcH//yedX//lldR//yfaE//caiD//fes//crl//trpC//xseA//motB//hybB//hyfC//yeiW//truB//marB//infB//ilvI//ccmC//casA//astB//znuC//gabD//uxaB//acrF//cspD//aceF//sufE//prpD//cusF//csgF//frdB//hdeA//argT//pstC//rpoH//ssuB//rrlH//sufS//galP//ubiA//rnlB//aroM//fiu//xdhB//cytR//lldR//uxaB//araF//fhlA//napC//nuoE//cyoD//hycD//tdcC//gatC//narI//rseA//hisJ//phnC//cyoB//hyfC//aer//tnaA//lysC//ilvY//agp//rutC//gntT//creB//ppiD//hupA//rimM//deoC//rpoE//
GlcC-Acetate	purF//rrsA//zwf//tam//flhC//phnG//waaH//
GlcC-Glycolate	copA//erpA//abgA//argB//amn//rimP//hdeA//
GlrR-Pasp56	entF//
IclR-pyruvate	cysM//ssuC//melR//nagC//
IdnR-5-ketogluconate	lacI//cydD//ilvE//hyfJ//casB//glpD//yfdX//sbmA//
IdnR-Idonate	hemA//aceK//hyaD//malS//rpsJ//rrfH//hdeB//yaiW//
IlvY-2-acetolactate	galE//rpsR//
IlvY-Alfa-acetohydroxybutirate	yojI//arfB//
IscR-[2Fe-2S]1+	iscR//aroP//lysU//nuoF//ugpC//allE//malT//glpT//rseC//csiD//cysC//fadI//rpsR//ssuC//aroA//cynR//dps//preT//hyfI//feoC//galM//yccA//fecB//rpsF//rplI//cyoE//tauD//tktB//fumA//hycD//phnF//gntT//speA//ilvH//metC//sucA//grcA//nrfG//metN//eda//yfiP//
LldR-L-lactate	sufE//pflB//uidB//
Lrp-Leucine	safA//metJ//glcD//hdeB//mdtC//rbsB//prs//livM//tar//pstA//iscS//gntU//norW//fimG//spf//cusF//lrp//lpxA//srlE//fecI//cheA//fliZ//yegZ//pdeF//yfeW//ydeJ//galM//tfaQ//hofP//ahpC//gatZ//dmsC//codA//cysU//thrV//glrR//dsdA//pheM//pstC//gntX//ytfE//mntP//lysP//rplS//yjcH//mhpT//hybE//narG//argG//gcvT//hycF//allC//fadJ//ileT//envY//ygeA//araF//glpR//argG//recF//ynfG//alaT//feoA//csgC//ssb//sufD//argH//citC//cyoD//rplS//acnB//garR//garP//gntP//cysU//yidQ//yqjA//hyfH//ptsH//borD//rplS//rpsC//hcp//rrfB//avtA//map//dmsB//yjiY//fdnI//trxA//purN//sufC//ynfG//melA//tdcA//yiaN//glcE//glgS//rbsR//lyxK//fixA//ileU//bamE//speC//infC//ftnB//
LsrR	feoC//caiD//aspA//tdcB//phnI//nrdG//idnO//gutQ//argR//
MalT-ADP-Maltotriose	psiE//mtr//flhC//betB//metI//tdcB//emrK//fdhF//mgrR//rnhB//
MalT-Maltotriose-ATP	trpE//hyfA//grcA//nupG//fucK//napH//ydeM//erpA//oppA//paaJ//
MelR-Melibiose	guaA//purN//mhpE//
MetJ-S-adenosylmethionine	xylB//cusF//thrS//fdhF//fixC//nirC//bdcA//atoE//guaB//hypB//fadJ//artM//fepA//hofC//pyrC//
MetR-L-homocysteine	pstC//ydeA//cynX//allD//nrfC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	garR//dcuB//lacA//lolB//phnG//galS//
MhpR-3HPP	chbB//emrY//nikE//sbcC//ydeO//rybA//
MntR-Cd2+	bioB//artJ//pgpC//sodB//yqaE//
ModE-MoO42-	nanC//fadD//speB//hyfJ//ompC//waaH//nrfG//fadJ//alkA//hyaF//alaS//azuC//kbaZ//fepA//ldtB//fepD//chiP//moaE//argO//yggX//polA//napB//mhpT//trpB//araE//garR//ileV//purF//napH//ompX//aroL//ompW//fiu//aceK//alaT//puuA//yeaR//glcG//nlpE//nrdI//srlE//nrdB//rplT//ssuA//paaE//cheY//
NarL-Phosphorylated	acs//ychH//nrfD//ilvL//fdnG//fis//nuoI//hflK//pta//hofO//dps//astB//ilvE//zraP//lhgO//melB//gapA//ybdZ//rplS//lsrF//glgB//narH//rhaB//cheZ//fecA//mhpC//lamB//rrfB//lsrA//ynfG//nrdA//rseC//sodA//rrlH//fbaA//cstA//allE//arfB//bcsC//cynS//cysU//allC//agp//degP//aaeX//ugpC//comR//tadA//mgrB//dadA//grcA//serA//cadB//srlB//ykgR//ycjX//ivbL//nac//uxuA//ydeA//gpsA//casB//sxy//glnL//fabZ//napH//metY//gltT//hycF//yeaE//rrlH//narH//phnN//hisJ//araE//nikA//livJ//cyoC//gltB//gnd//dmsC//amn//argA//metR//hycI//manA//pta//motA//gntX//tdcG//truB//csgC//yegZ//mlc//rutA//fadJ//treB//yecR//flhC//malF//tehA//ilvE//glpK//purD//ydhY//oppF//livM//metL//bamE//rutB//alaA//cra//cyoC//lldP//bcsZ//fadE//cheY//polA//ydiU//dcuA//rrsG//paaA//mutY//iscR//ompW//
NarP-Phosphorylated	glpT//modB//rhaB//paaD//fimA//nrdH//osmC//uhpC//dcuR//moeA//treR//ilvG_1//livM//actP//xylR//osmY//prpB//dnaE//argD//rpsO//casC//ubiC//fdhF//aaeA//lldD//ilvX//glgX//bioD//rplT//dsdC//fixX//uxaA//mzrA//ykgM//carA//rrlG//ompR//chiP//hofN//dps//atoE//ilvD//malP//yiaJ//astE//fixA//uxaA//yoaC//lsrF//iraM//
NhaR-Na+	fes//aroP//acrB//idnO//upp//rplT//focB//
NikR-Cd2+	narJ//trxA//hcp//trpD//alaT//allC//
NikR-Co2+	dcuA//lysC//frc//osmY//adhE//moeB//
NikR-Cu2+	rplV//ulaF//frdC//glnL//hybD//stpA//
NikR-Ni2+	argP//aspA//yeiL//sdaA//ldtB//livM//
NikR-Zn2+	spy//glnG//nuoI//dpiA//moaA//dgcZ//
NrdR-ATP	yojI//casE//gnd//tsgA//purN//nrfC//micF//uvrA//lysP//
NrdR-Zn2+	cydD//rplI//yebE//melB//uxuR//hydN//cydA//metR//pflB//
NrdR-dATP	yqaE//nikD//bcsZ//csgF//yojI//acrA//phnD//paaZ//malI//
NsrR-[2Fe-2S]reduced	mhpR//atoA//narJ//ebgC//gspJ//cysD//gutQ//argC//rpoE//ycjX//aroH//tehB//gltD//fimG//fadE//ompR//fepA//mipA//hybA//focB//pta//nrfE//ychH//yhiD//purD//udp//fdnI//citE//phoB//hslJ//citX//moaD//cysP//rrlH//entC//nikB//fldA//rpsO//ilvB//hypB//manY//lysA//hybG//araF//dctA//paaB//folE//gspD//modC//casD//ugpC//purF//fhlA//mntH//oxc//rpsO//ldtB//sgbE//metH//hflK//caiT//dapB//cysB//pheM//ydhY//pitB//ompR//safA//moeB//degP//gltW//gltW//uhpC//
PhoB-Phosphorylated	dnaE//gutM//yeaD//nrdI//phnI//focA//yecR//lpd//sdhC//ccmE//fimG//araH//fecC//avtA//ppiD//artP//fadE//rutC//nuoA//aroM//speA//glgX//cysA//nagC//gntX//melR//tfaQ//dcuA//hycH//rhaA//purL//torA//dctA//nanS//ycjF//phnM//glcA//prfA//manY//hyaB//atoA//aroF//glrR//preA//feaR//bglB//manY//argC//casD//nanC//yfeW//xdhB//appC//speA//qseB//ccmA//yiaO//lolB//purD//bglB//glgS//
PhoP-Phosphorylated	sodA//creA//fumB//cirA//cspE//ybfN//yiaL//aaeX//glgP//narK//murQ//talA//rseA//lsrF//hypD//rpmI//acs//rrlH//gyrA//cusF//leuE//ilvG_1//ileV//rpmC//galK//purM//ugpB//glpG//fhuC//tap//fucO//yiaN//ulaC//aroM//napA//cadB//fimF//ybjG//glgC//argB//bioC//nanA//mhpA//nirD//rpmI//gadB//rybB//rpsP//uxaA//nikC//hmp//abgA//tnaC//nrfG//sbcC//trmD//glnK//
PrpR-2-methylcitrate	artQ//dpiA//hdeB//trpB//purM//
PurR-Guanine	sucB//tyrP//manA//dsdC//carA//hybO//fliZ//folA//xylR//dadX//torA//manX//ydbD//hofN//ydhY//rpsP//nrdA//mdh//ccmE//appB//rpsS//abgA//stpA//tnaA//ascB//chbG//ilvD//galT//phoA//metQ//aroA//gspC//ccmE//idnD//
PurR-Hypoxanthine	aroH//tdcG//nagC//purA//rrsH//melB//nrfA//cas1//fadI//leuE//fepD//yiaL//nrdF//pgk//metK//srlR//pepT//uidB//fiu//ompA//alaT//trpD//trpA//exbB//tktB//phnP//phnN//nuoK//ileV//pgk//hybO//ssuB//copA//lpxD//
QseB-Phosphorylated	argD//epd//cysP//ssuE//
RhaR-L-rhamnose	alaU//caiF//
RhaS-L-rhamnose	mipA//mntP//mutL//pyrD//gspI//cyaA//
RstA-Phosphorylated	appA//rplW//artI//zntA//cbl//oxc//arfB//caiT//psiE//yaiW//
SoxR-[2Fe-2S]3+ oxydized	dpiA//mdtB//yojI//rrfE//
TorR-Phosphorylated	hyfR//rnhB//speA//xylG//cusS//napH//bacA//allD//lsrR//pta//
TrpR-Tryptophan	paaF//purB//lolB//fepG//napB//metR//rutB//hycC//yhjC//guaB//gltU//yebE//
TyrR-L-tryptophan	glnK//feoC//cysH//uidB//ygiC//cas1//yjeV//rcnA//fecD//aspA//hyaA//gltW//dsdC//yfdE//
TyrR-Phenylalanine	gltA//metR//hycB//hyfD//csgF//tdcD//mntP//aaeA//hycE//hycA//sucC//caiE//rcnB//rutG//
TyrR-Tyrosine	ycjF//hypD//cysI//grcA//dppC//paaC//alaV//yccA//cysW//araC//fau//ccmF//ndh//mutL//
UhpA-Phosphorylated	gspC//
XapR-xanthosine	fixX//soxS//
XylR-Xylose	fadL//fimH//marR//dpiA//fecI//moaB//
ZntR-Cd2+	csgG//
ZntR-Hg	gspK//
ZntR-Zn2+	ssuA//
ZraR-Phosphorylated	znuA//ugpQ//pgaA//
Zur-Zn2+	rrsC//xylB//codA//psiE//lpd//ivbL//
