#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	yggX//sodA//yggX//gntX//
ChbR-Monoacetylchitobiose-6P	lsrR//napH//gadB//nikR//crp//tap//
CpxR-Phosphorylated	glcE//fhuA//metA//ydhX//moaB//gspC//glyA//aaeX//fur//nrdE//ydeJ//yjjZ//dps//lyxK//ugpB//arcA//rrsD//dmsD//glcG//ugpC//hslJ//rmf//dppA//chbF//gspC//paaI//rrlG//cusR//trpB//glpK//ompA//metL//sgbH//fadI//dpiB//ebgA//moaE//metY//fumC//mgrB//dpiA//aceK//ubiG//gspH//lpxB//yeaR//phnK//hyaD//ogt//yebE//dpiB//mhpC//nupC//mgrR//ccmC//dcuC//lysC//aer//moaE//malT//manA//sgbH//entD//citX//gltT//metF//ydeP//araJ//gpsA//
CreB-Phosphorylated	fnr//bglG//psd//atoE//hofM//katG//glnG//lldR//rrlD//
CueR-Ag	lysP//agaA//ampE//znuB//nuoF//nrfG//dcuR//
CueR-Cu+	envZ//ilvB//sucB//folA//ihfA//rcnB//fadD//
CuerR-Au	cysU//idnO//metA//nuoH//mntH//cusB//rrfD//
CusR-Pasp	hypF//yoaC//nagB//glgP//ynfK//fadD//phnJ//xdhB//dkgB//malT//moaA//dppD//
CynR-Cyanate	mdtA//narI//nagA//tdcG//
CysB-N-acetyl-L-serine	gspD//creD//trpL//uidB//hyfC//sdhC//hmp//napH//xylF//ygiC//ybdN//rplM//tdcA//nanS//ugpQ//garL//tdcC//chbB//cynX//gadB//xdhB//rpmC//yeaE//ugpB//entE//rrlG//iscU//fhuA//cheR//crl//
CysB-O-acetyl-L-serine	murP//gspL//caiE//nagA//aroM//caiB//garR//avtA//ybdN//fecI//frdD//fdnH//prpE//rbsC//livJ//ugpB//rnhB//pflB//frdD//gatC//hyfR//gyrA//flhC//fimE//moaC//modB//pyrD//argD//yibN//fucP//cirA//
DcuR-Phosphorylated	ldtC//hybF//bamE//mgrB//gdhA//allC//cysP//hcp//secB//
DnaA-ATP	paaE//hycA//fumB//cytR//csgD//marA//puuC//gltV//fhuD//nirB//nupC//fliA//
DpiA-Pasp	xdhB//tfaQ//ppiA//comR//edd//murP//rrsE//yiaK//nrfA//mgrB//gatD//
DsdC-D-serine	zraP//yhjA//bcsB//
EvgA-Phosphorylated	cyaA//ulaB//acnA//nanS//ryhB//trpC//napA//entD//dapD//ydhW//tehB//araC//ccmE//ydhU//pyrC//
FNR-[4Fe-4S]2+ reduced	narQ//rplS//fucR//astC//tdh//rbsK//glnG//paaG//tcyJ//bglG//hyaD//malQ//mglA//yhiD//uraA//garK//yeaD//nlpD//ygeA//nfuA//tktB//ykgR//cdd//ybdZ//fucO//phnE_1//nagA//gntR//ytfE//glmY//puuC//bioA//nuoE//phnM//baeR//yoaC//agaV//sbcC//fnr//prs//galE//secB//galS//cheW//ynfK//frdB//map//uidC//oxc//nusA//xdhB//sbmA//gspK//argG//hyfE//araC//rutF//prpC//lsrB//aaeA//torC//prpE//cysA//fumA//lsrB//glcE//cheA//chbA//pitA//feoC//hyfI//cusA//nrdA//adhE//avtA//acrB//gcvP//ugpB//glpC//napB//tyrB//rutG//fhlA//fepE//ascF//ykgM//rplS//phnG//hyfI//grcA//fimA//ldtC//lsrD//glrR//phnE_2//napG//fucP//osmY//udp//rutG//araJ//rbsA//nupG//ygiC//rhaT//flhC//sucA//ytfE//rpsJ//rcnA//tsr//rplB//yoaG//motB//deoA//rpmC//putP//fadE//moaE//galK//rimM//sdhB//creC//ftnB//gabP//casC//aroM//aroA//priB//pdhR//iscA//nikE//bdcA//galT//nanM//rmf//yhcH//tam//nirB//mglC//phnM//rutC//rpsF//nikD//ygbA//metJ//hofC//galM//gpsA//ydeJ//fepA//mipA//osmC//lpxD//lacZ//livJ//ulaC//ulaF//mlc//crl//metJ//emrK//dpiA//srlE//cas2//cheW//metY//argR//galS//cyaA//ycjX//frdC//nhaR//yiaK//nanA//glpA//cpdB//yoaC//nanA//rrsG//pck//ilvX//cirA//hpt//rplC//argR//yjiY//aaeA//codB//flhD//argG//mhpD//hofO//hslJ//prmC//narI//pstB//prfA//narK//mgrB//gatA//ydhW//tdh//sodB//rcnA//gcvT//aroL//fdnG//azuC//appX//sdaA//fimC//feoC//cysG//dsbA//hisP//psiF//ssuE//cydB//ybjG//chbR//fdnI//metC//treR//argA//argR//gltD//mtlA//dpiB//fepA//mgtL//modC//hlyE//abgA//allD//rmf//puuB//nhaR//rpsC//mgtA//hybE//safA//fucR//fepC//phnI//pflB//araE//glpD//sucA//nuoI//ybfN//cysK//malP//borD//glgA//nrdA//fumC//phnE_2//rpoH//hyfE//tdcA//astE//glyA//ykgO//moaA//sdhC//erpA//hypA//tnaA//aaeB//sufB//uxaC//hofO//lysO//hofM//cadB//cadC//fadB//narL//purR//yjeF//nagC//nfuA//ascB//ybdN//gabT//rbsC//metI//nrdI//nikC//yeiL//citX//artQ//rimP//gatA//cheY//hslJ//hydN//paaJ//ccmF//glnK//iscS//dsbA//feoC//ftnA//
FhlA-Formate	mtr//ccmA//gcd//ugpQ//frdD//tsx//guaB//nanC//ppiD//zwf//rbsR//eda//bglF//rplT//ccmD//nuoN//glcA//fimD//yegZ//xylG//phoR//yjcH//glgA//dmsB//cadB//ydhT//cytR//hycF//nirD//manY//
FucR-L-fuculose-1-phosphate	argP//fadL//rplV//allE//cusB//ccmC//astE//
Fur-Fe2+	icd//caiC//glpR//ubiX//paaC//mhpE//mtr//tdcG//galP//gspF//alaS//glyA//rbsD//ascB//dppA//iscU//tktB//hypD//uidC//cusC//fecD//phnE_1//bhsA//ygeH//creB//paaJ//ygaC//csgD//pgaB//idnK//manZ//cpdB//gntP//glgS//srlB//rrlA//lysC//fucA//sbmA//yrbL//aceK//fepC//fdhF//hofC//spf//hisM//thrV//carB//fumA//yaeP//creC//gatZ//truB//entB//baeR//nagB//hyfE//fadH//purK//uxuA//ydhV//rimM//glcF//actP//csiD//glpE//purN//metI//araB//pgaD//fucK//ychO//nanS//iraM//lacA//pstS//iclR//rbsB//ybiT//adhE//psiE//miaA//pheS//ycjF//abgA//frdC//metA//rutB//rnlA//bacA//citG//trpE//yccA//aroP//rcnB//ychO//glrR//ilvX//tdcE//fimA//adhE//rrsH//ccmD//yqaE//aroL//rutE//gatB//fepB//ihfA//uxuA//purH//mtlD//fixC//rnpB//chbC//lamB//spy//glpF//norV//lysO//cheB//ssb//mgtL//fadA//narK//borD//uxuR//trpC//hofP//gspD//focB//lpd//sodA//acnA//hyaB//ydhT//hyfJ//phnE_2//yiaJ//dnaE//
Fur-Mn2+	atoA//mdtC//hisJ//cusC//fimE//prpE//nuoE//hyaA//gnd//gspO//osmC//acrD//entD//gpsA//hycH//pdeF//nikR//fepC//cusF//fimA//hofN//gspL//yggX//fecE//pyrC//artM//yjeV//entB//sufE//zraP//ydeP//bioF//ydeP//rplT//glmY//hycI//fimD//ompX//nrfE//bioA//ung//agaV//yeaE//ppiA//yeaR//artI//ydhV//srlD//nagC//yccA//modC//nrdE//garK//yfdE//speA//gspF//narG//rrsD//ydeM//treR//hha//rrlA//puuB//cysC//yciW//metA//cdd//ansB//ulaD//ydfH//rplT//ssuA//rpsJ//bglG//lacI//frdB//pheT//cra//iraD//fepE//serC//entF//fixX//rybA//tfaQ//napG//cysN//pyrC//yaeP//fixC//glnL//yciW//lldD//yhhY//fhlA//cynR//paaE//ygiB//nohA//argB//cyoD//hyfG//mglA//hyfF//nikC//glnA//ynfK//fepB//alaA//fimG//phoP//metQ//araC//yggX//rhaA//hcr//bglB//pflB//allC//fucR//ybfN//gatY//modA//nrfG//entB//pstA//yhhY//glpK//moeA//dcuB//alaS//moaB//nikD//hyfD//ugpB//gspC//fecI//rrlA//glyA//nrfA//
GlcC-Acetate	slyB//ygiA//rplC//lysA//hpt//betB//ydeO//
GlcC-Glycolate	yiaJ//yoaC//uidA//bamA//prs//tyrR//dcuS//
GlrR-Pasp56	ampE//
IclR-pyruvate	fimI//bioF//phoB//sdhC//
IdnR-5-ketogluconate	xylF//rmf//feoB//pagP//narX//cysB//gspD//tyrR//
IdnR-Idonate	tadA//mltC//melB//oppC//glcF//cydB//xdhC//aceE//
IlvY-2-acetolactate	aspC//ispE//
IlvY-Alfa-acetohydroxybutirate	zraR//tehA//
IscR-[2Fe-2S]1+	bdcA//aspC//mipA//ynfF//mtlA//fimI//rimP//treC//sbcD//narK//cadC//hyfE//galP//cysH//dmsA//garL//rplI//yaiW//emrK//ychH//narG//glpR//guaA//fecI//grxC//malQ//paaJ//map//cueO//rpsS//nac//arfB//chbC//uraA//fimF//grxD//tar//rutA//umpH//xylH//astD//
LldR-L-lactate	dadX//ygeA//fimD//
Lrp-Leucine	pitA//argC//ilvG_2//katE//yjeF//fumA//allE//ompA//rrlE//lsrR//cynX//putP//ulaC//lsrA//sufB//pgk//nrfD//araB//hycD//grcA//tyrR//hyfC//borD//bglB//acrA//yhjC//prs//uxaB//rrfG//uxaA//nuoH//yhjA//cusR//yqaE//tauD//glnB//mhpB//pnp//aceB//pyrC//yneM//glcA//hlyE//bhsA//phnE_2//yfeW//caiD//yoaG//agp//dppC//ilvC//cyoE//sbmA//ung//hyaC//fecC//cvpA//mepH//uxuA//cynT//srlE//cadB//ascB//rbsB//ileT//lysP//araE//thrV//glpD//yfiP//cusA//puuR//deoD//cydD//paaH//uidA//codA//uxaB//rhaD//fiu//purB//ybdZ//zntA//avtA//glpA//hypB//cadC//bioF//tar//rpsQ//iscS//narL//tnaB//yneM//yfdV//ivbL//dnaN//acrA//frdA//chbA//metJ//gpsA//nlpD//ynfK//hisP//artJ//
LsrR	ynfG//csgG//ydeA//rpoE//uxuA//katG//glcD//prs//waaH//
MalT-ADP-Maltotriose	mglA//hybA//pagP//mscM//argF//malS//fiu//comR//mcaS//cirA//
MalT-Maltotriose-ATP	phoA//purB//hycC//cvpA//hisP//artQ//ydhW//glpD//phnC//tdcG//
MelR-Melibiose	uxuR//aaeB//mpl//
MetJ-S-adenosylmethionine	gadC//zntA//hdeA//srlE//pgaA//cheW//metC//yiaN//phnF//osmC//bdcA//rrfE//ptsI//deoC//nrfE//
MetR-L-homocysteine	atoD//mtlD//fepB//gntR//mtlD//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	fdhF//dps//yfdV//gntX//cynS//aceK//
MhpR-3HPP	yccA//nikC//soxS//gltT//gcd//yiaL//
MntR-Cd2+	phnE_2//bglB//gpmA//gntK//tdcA//
ModE-MoO42-	tomB//tsaE//paaA//chbF//yjeF//moaB//nusA//astD//gspK//csgG//yoaG//phoU//entF//hflK//yaeQ//psiF//nuoL//ilvX//mhpT//gspC//mscM//fbaA//rbfA//ygiA//tonB//nrdH//argD//mgtL//nrfE//norW//malX//rutA//hpt//oxyR//paaG//nagA//aspC//cysJ//avtA//tyrB//tsx//prmC//hofP//citF//iscU//prmC//
NarL-Phosphorylated	rbsC//narX//flhC//flhD//infC//ccmH//hyfJ//dcuB//uidB//csgA//alaS//hycF//carA//pnp//napC//malY//zraR//yeiW//yfbR//argT//ompC//dusB//ccmB//napC//argH//fimC//hycA//katG//yeiW//tsaE//rrsB//fdnI//citC//lysA//crr//oppB//fau//rbsB//pitA//hycD//rutF//glgB//hyaB//pagP//hupB//nuoM//fecR//glpC//pheT//fimG//rplD//ydeA//hofN//ldtC//sdhC//infB//skp//yqjA//uidC//feoA//dppC//metJ//dppB//lsrF//malP//yecR//garK//gspC//hflC//rybB//nanE//purF//xdhB//purE//fimG//phnE_1//ygiA//ascB//sgbU//mglA//fnrS//hmp//efeU_2//hycE//ykgR//gatC//yhjA//nac//tpx//ppdD//hycH//prpE//bcsC//rrlE//ybdZ//fepA//mscM//lhgO//citX//truB//rpoS//xdhC//xylG//trpD//fnr//entS//dusB//fimI//cadA//rrfC//nikC//sodB//lhgO//znuB//hflD//nrfD//yjcH//envZ//hfq//hybC//malS//cysD//grcA//cydB//glnB//
NarP-Phosphorylated	malK//hybA//znuC//yjiY//osmC//fhuE//mgtA//aldB//gltA//ssuA//pnp//cysG//mdtD//entC//crl//sohB//tfaQ//mhpC//fecC//dmsC//nrdH//paaJ//yrbL//nanS//lacZ//ugpC//gltT//astB//fhuF//gltT//gadB//artI//sbmC//phnO//ygaC//fimH//lysU//bdcA//glgB//mntH//yidQ//pta//glyA//pstC//paaB//fucI//yqjH//xylR//ssuA//hycB//
NhaR-Na+	gatB//glcG//mhpD//lsrG//ygeA//lldP//prpC//
NikR-Cd2+	phoA//ugpE//adiC//yfdV//phnL//hypF//
NikR-Co2+	yeaR//manZ//gyrA//yfiP//dmsD//ssuC//
NikR-Cu2+	glpR//trpL//hyfG//sodA//flhC//rpsJ//
NikR-Ni2+	nhaA//yaiA//rrlG//nhaA//ygaC//entS//
NikR-Zn2+	xseA//mgtL//ydfH//nrdI//argO//rutA//
NrdR-ATP	yebE//phnJ//znuB//fadE//ydeJ//caiC//nlpE//ada//fixB//
NrdR-Zn2+	acrB//bcsC//nrdA//livF//mhpE//sgbE//nanS//rhaR//ychH//
NrdR-dATP	araH//psiF//nanA//avtA//nanA//yedX//gatB//moaC//manA//
NsrR-[2Fe-2S]reduced	csgA//nusA//nlpE//yjjZ//araE//lysP//araB//hycB//nusA//purR//rprA//pitA//araB//ugpE//ilvL//aspC//mhpB//priB//uxuA//secB//dpiA//ilvA//moaC//rpoE//gntT//narG//ychH//hybG//ahpF//ompA//hycC//purB//nikR//argA//actP//sucD//ahpC//cusB//gltF//rplI//dctA//safA//rrfG//araB//prs//ygeH//rpsS//tyrP//nuoN//dcuC//cysN//pgaC//tdcG//ppiD//rrfE//fimC//mzrA//tdh//caiB//malQ//chbC//ilvX//lldD//pgaA//cusB//mglA//hyaA//upp//malP//ung//yebE//srlE//actP//
PhoB-Phosphorylated	tdcG//manA//tcyJ//rseA//dmsA//nlpD//hycH//glcG//miaA//grxC//arcZ//tdcD//metJ//treR//cheY//chbA//nuoN//acrF//fdhF//hyaE//ilvD//ychO//ycdZ//metE//glpB//torR//allD//evgA//creB//hycD//torR//prmC//cysW//atoA//fucI//adhE//metK//hisQ//yaiW//fimH//argT//yccA//fucP//pheM//ilvH//pgaD//narK//cysI//cynS//chbC//mhpF//gntU//aroM//cysH//mgtA//hyfE//dapB//pyrD//melA//manX//gutM//
PhoP-Phosphorylated	nupC//csgG//ilvB//sbmA//caiA//feoB//dppA//nikE//appY//marR//gatA//gspL//rrfE//tyrA//hflC//ygeH//allD//phoR//ydeN//frc//ssb//nirD//nrdI//napA//moaA//agaA//nrfE//manZ//aldB//fepA//araC//phoU//citG//hybC//appX//entF//malM//gatC//rprA//prpR//ycdZ//fdnG//garR//argH//lamB//glgB//tpx//mtr//rhaS//chiP//lldD//rpmI//mtlR//trpD//rnlA//hybO//hypC//
PrpR-2-methylcitrate	fimI//glcA//yiaJ//gspL//livJ//
PurR-Guanine	artQ//entS//malG//metY//nagE//garK//fimF//kbl//mgrR//gltU//rplI//nuoN//argR//phoQ//entS//melA//uidC//ahpC//moeA//yeaD//cpxA//ycjX//yebE//nfuA//metE//ivbL//ybiT//feaB//stpA//mhpE//cadA//pyrC//astB//entF//
PurR-Hypoxanthine	xylA//caiF//nikD//glgX//idnD//yhfA//serC//yqaE//frdA//lpd//ilvY//narX//tdcA//atoD//cynS//sucD//narG//xylA//ulaE//livK//secB//dadA//frdA//gatZ//glpA//ydhV//fhuA//nikD//glmY//mntP//xylF//nanK//rplV//allD//
QseB-Phosphorylated	yneM//rplM//araA//narX//
RhaR-L-rhamnose	nanC//rrlD//
RhaS-L-rhamnose	tdcG//rrlD//hybO//casD//ubiG//napH//
RstA-Phosphorylated	ldtB//hofM//nikC//dkgB//hlyE//moeB//lyxK//cirA//agaW//aldA//
SoxR-[2Fe-2S]3+ oxydized	nagC//ldtB//amtB//cadA//
TorR-Phosphorylated	lpxB//alkB//patZ//dadX//fnr//phoP//ispE//ugpE//ccmE//araE//
TrpR-Tryptophan	araF//puuB//yhiD//slyB//glpF//gspM//lsrR//gatD//hyfD//uvrA//ulaD//caiT//
TyrR-L-tryptophan	hemA//artM//cheR//flhD//csgB//rbsD//tap//prpB//norW//cysP//dcuD//creB//mtlR//dapD//
TyrR-Phenylalanine	gspO//abgT//trpE//uxaC//idnD//nagE//mhpC//deoC//rutG//tam//gpsA//rybA//glcD//cyoE//
TyrR-Tyrosine	paaZ//hycE//dcuS//cysA//rpsJ//ybdZ//trpB//fimI//mglC//chbG//araE//purL//casE//rmf//
UhpA-Phosphorylated	bcsA//
XapR-xanthosine	znuB//rpmI//
XylR-Xylose	artM//fimD//eda//mdtB//araJ//cadC//
ZntR-Cd2+	nhaR//
ZntR-Hg	napG//
ZntR-Zn2+	fdnI//
ZraR-Phosphorylated	lacZ//trpA//csgB//
Zur-Zn2+	cyoB//gyrA//acnA//yidQ//nrdA//pgaC//
