#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	puuA//ycjX//yoaG//polA//
ChbR-Monoacetylchitobiose-6P	yoaG//mglC//aroP//rbsC//napD//dpiA//
CpxR-Phosphorylated	lsrA//hypA//hyfJ//malM//csiE//argH//kbl//appC//cyoE//yfdV//bioD//amn//allC//nuoN//hydN//metK//tnaC//xylF//tktB//alaS//rseA//evgS//hycI//hofO//malQ//purH//yaiW//ulaD//chbG//cysW//ytfE//gntP//dcuD//cysH//ilvN//fepD//fixX//rpoH//dadA//recF//hflK//lsrD//glpA//mdh//cheZ//artP//gspK//purB//ykgR//rhaS//yidQ//rstA//hyfA//mdtB//yoaG//cyoB//fadE//yeiB//ldtB//ldtB//nikE//rprA//hyaF//ugpC//paaD//sufC//mhpC//araD//rpoE//
CreB-Phosphorylated	yfiP//nadC//sodB//paaZ//ssrS//ybdN//aer//abgB//entE//
CueR-Ag	acnB//ydhY//ilvX//nirB//ugpB//prpC//ydeJ//
CueR-Cu+	tdcC//fepC//glpQ//tsx//cydD//lhgO//preA//
CuerR-Au	purD//garK//evgA//marA//uxuA//ccmE//deoC//
CusR-Pasp	ycjF//waaH//cheR//fecC//safA//marR//deoA//kbaZ//metB//azuC//ilvG_2//ydeP//
CynR-Cyanate	spy//icd//sbcD//glnD//
CysB-N-acetyl-L-serine	cpxA//dctA//ileU//uhpA//efeU_1//bioC//nuoH//spf//hyfD//hupB//paaE//tauA//baeS//iraM//ompX//rutF//lpxD//phnH//gspI//cyaR//spf//hycB//chbG//gutM//umpH//hyaB//skp//hybA//putP//prpE//
CysB-O-acetyl-L-serine	tauD//dppF//mepH//marB//pncB//patZ//ackA//nagE//slt//argE//hyaF//lsrC//phnN//uidC//ygiA//pitA//sufE//mntH//hybA//manY//gltD//aroP//purL//cydB//copA//psd//cysM//modA//tsaE//glrR//glpC//
DcuR-Phosphorylated	gspE//folA//hycD//dmsA//mntH//bcsA//spf//yhfA//rnhB//
DnaA-ATP	aceA//nuoI//sgbU//xylA//oppB//exbB//thrS//glcB//speA//hybB//yjjZ//fdnG//
DpiA-Pasp	dppC//narJ//napG//znuB//malY//tdh//rpoS//zraP//tdcB//hycI//hemL//
DsdC-D-serine	yqaE//ycjF//atoD//
EvgA-Phosphorylated	nupG//nuoC//cynX//gadB//araG//rbsB//ivbL//metL//ada//frc//glpC//gspF//mhpD//rutC//malZ//
FNR-[4Fe-4S]2+ reduced	argI//nrdE//fbaA//ivbL//crp//hyaC//uvrA//sbcD//purM//ygbA//gntP//fumC//sucA//pheM//hycD//araC//rnpB//astD//hybA//envZ//oxyR//uof//pstA//pstA//cusR//astE//dadX//yjiY//hybE//hyfC//argD//nikR//hypB//phnI//moeB//ybdZ//crl//oxc//ahpF//cdd//gspO//moaE//hybF//uxaA//hslJ//hofB//gatZ//gatC//dsdA//nagA//grxD//bglG//fucP//ccmB//tsr//fadL//cysI//pstA//ssuD//uof//fadE//casC//ybdZ//ygiA//motA//entS//yedX//yfdV//fhuF//fecI//rbsK//yjiY//ileV//hdeA//yfdX//glpE//hyaE//ptsH//phoU//ydiU//ydeN//ygiC//nanM//chbA//crl//rhaB//norW//rrfG//ahpC//nrdA//aaeA//rpoE//feoC//abgT//sucB//entB//torR//lysC//cyoE//cas2//purA//livK//citX//rseB//rpsO//thrS//trpB//deoD//dsdX//ssuE//fumC//marA//lysO//yeiB//ycdZ//ugpC//glgB//gltT//hycG//tsgA//citD//emrK//ccmG//ompX//fixX//rnpB//mdtB//manY//xylR//rrlE//guaA//moaC//moeA//cydD//rrfC//rstB//tsr//cysB//mdtA//tdcD//ychH//uof//putP//ydeO//purM//srlA//yggX//tomB//mtlD//cdd//phnL//lysA//mtlD//lpxA//glpB//mepH//hyfI//rplM//citC//cyoB//ynfK//treR//fhuB//ilvY//motB//fepA//ugpC//bamA//ahpC//fimI//folA//ileV//znuC//yegH//paaH//gyrA//trpC//adiC//phnJ//cheZ//crp//puuE//uxuA//rutB//napD//tsx//xylG//gadB//argE//fliZ//tfaQ//yrbL//artP//tnaA//znuA//thrV//nlpD//tam//aceK//nuoK//hlyE//treR//feaB//hflC//cpdB//fecD//hypD//gadC//ybjG//hyfE//yojI//amn//dnaA//creB//dppD//pncB//casB//phoA//fucR//emrK//manZ//manY//cbl//fur//cysC//creC//paaB//idnR//phnK//bioC//rseA//idnT//mhpA//entC//hflC//slyB//rbsA//gcvT//fepE//yegZ//rutB//treC//nikE//ndh//secB//chiP//rrsH//amiB//fhuE//codB//fabZ//aroF//ydeP//pitA//rpoH//fliZ//lpxB//puuD//hha//phoE//ydeJ//metF//cpxR//cynR//fecA//ogt//marR//alaA//paaK//prpB//livH//fadL//uidA//idnR//rrfG//rrsC//ccmF//rutC//bhsA//ycjF//lsrR//napD//ilvY//fecC//tcyJ//truB//spf//fumA//napG//ubiX//tsaE//lamB//yeaR//galM//sbmC//csgE//fimE//hycG//entA//baeR//phoH//nanM//pstB//pgk//gspL//
FhlA-Formate	ilvA//ileU//sufD//nrfE//rutB//hemL//moeA//citD//mlc//grpE//entD//glpX//acnA//malE//fimF//cynX//tktB//ptsG//paaJ//glpB//ompT//entF//fadA//appY//nikA//modC//caiC//hyaC//cadB//ilvD//
FucR-L-fuculose-1-phosphate	hybF//cynR//trpD//narQ//betA//feoC//ccmF//
Fur-Fe2+	hisJ//fecD//fumB//rrfB//copA//iclR//galK//ydhW//melB//arfB//ilvG_2//nagB//napG//cyoE//hcr//dcuD//moaD//sgbU//nikA//hemA//ileV//dmsA//hupA//yfeW//ilvH//ansB//metA//gltD//codA//asr//rplI//xylG//hybE//tyrA//hslJ//aaeA//glpK//pgaC//agaV//ulaF//phnL//aceK//hisQ//gabP//astE//metA//phnE_1//rpoH//phoE//cdd//nlpE//betB//acrA//trpL//ygeH//ssuA//fimI//ydfH//rrlD//lacA//sgbU//zraS//feaB//narX//dctA//gspM//nrdD//sucD//fur//cheZ//gspH//xylB//ulaA//chbC//dctA//rutF//tyrR//avtA//rstB//mcaS//aaeR//fadD//safA//rpoS//fixC//dmsB//rrsH//ascF//adiC//rpsF//ebgC//entS//ftnA//garR//tdcC//phnG//ccmE//zraR//pitB//lsrC//napB//fadE//manY//phoP//yrbL//ssuE//ung//mhpF//cusS//osmC//rseB//pheT//deoB//amtB//cspD//ssuA//tsgA//hcp//fadI//fucK//nrdH//cysD//dpiA//mtlR//tsgA//glnK//zraR//hflC//agp//motA//nuoI//mhpF//gspL//rbsB//raiA//ftnA//ydhX//astA//fliA//napG//
Fur-Mn2+	dgcZ//glpT//argH//dsbA//csgG//puuD//ydhX//dcuB//lsrD//lyxK//fucA//cysP//rcnB//gltF//ilvY//miaA//agaV//cysB//atoA//ygiA//hyfB//fecC//sgbE//napD//ilvB//paaK//xapA//comR//uof//rbsC//lysA//crr//aroG//ilvC//fepG//adiC//preA//hybA//hyfA//ccmB//tauC//cysA//glnB//ileV//livG//malP//livK//ebgC//dppF//bglF//narQ//guaB//norW//entA//lsrB//tdcE//ssb//oppC//ynfG//yfdV//paaG//nhaA//phoA//uxaA//metF//mhpE//rseA//cynS//ascB//rpsJ//trpA//garP//yccA//appA//nanT//purD//csgD//yrbL//asr//folA//ccmB//mhpR//yneM//fadL//ygeH//metJ//pheS//ccmE//asr//fhuB//rutB//pitA//iclR//cheR//cynX//rbsR//rrsC//fimA//hcr//ptsI//hypA//glpG//uhpC//miaA//ebgA//mutY//caiE//codB//fdhF//rrsC//lpd//fixX//dmsA//moeA//fepG//marB//upp//nanT//nikB//gatC//lsrK//rhaR//srlR//fiu//hofM//hybA//casA//putP//ileT//mgtL//dsdA//bhsA//galP//lpxA//rutD//yeaE//cpxA//glmY//ascB//nirC//
GlcC-Acetate	argO//focB//rdoA//fepB//nadC//hyaB//treC//
GlcC-Glycolate	actP//atoA//phoE//lacA//lysO//mdtB//agaA//
GlrR-Pasp56	metA//
IclR-pyruvate	malZ//spf//sdhB//fecE//
IdnR-5-ketogluconate	focB//lysC//mdtB//yaiA//dusB//metY//purE//nrfA//
IdnR-Idonate	rrlA//xylH//gcd//xylH//abgB//nuoL//pta//lsrA//
IlvY-2-acetolactate	tsr//malF//
IlvY-Alfa-acetohydroxybutirate	pta//ykgR//
IscR-[2Fe-2S]1+	hemA//ssrS//csgE//rrsC//manA//fadD//frdC//nrfG//hyfI//cadA//nohA//nikE//fimE//ryhB//folA//fumB//uhpC//metK//katE//uhpA//creB//preT//acrD//phoA//rpsO//narH//betA//nupG//ulaF//ascB//soxS//lpxD//zntA//aceK//ccmF//fis//ytfE//flhD//napD//metR//prpD//
LldR-L-lactate	garK//mutL//fimE//
Lrp-Leucine	galM//ccmH//idnR//marA//glpE//ssuC//comR//fepE//chbB//astC//alaV//casE//ogt//rpsQ//hybG//csgA//glpK//ilvA//hyfD//ccmE//hypD//nuoM//ndh//sohB//fadD//rhaB//xylA//purC//hybF//astA//glpG//asr//aer//fepB//ileU//rrlG//moeA//focA//gabP//metR//ompT//mlc//nrdG//ynfE//ycjF//ykgR//ftnB//tsr//uidC//uxaA//pyrC//avtA//pgaC//puuE//hflK//gcvT//metR//uxuR//cysP//gltW//cheA//psiF//znuB//yeaD//tfaQ//aroG//sbmC//cpxA//atoD//grcA//slyB//treR//fucA//idnT//tsgA//argR//phoR//alkB//zinT//bamE//gspO//grxD//rpoH//yqaE//fhuC//ilvM//cadA//manA//livG//appC//rseC//yjeV//secB//fadI//trg//yojI//slyB//ugpE//raiA//idnT//trpA//cadA//iclR//alaT//gntU//ileU//
LsrR	upp//ugpE//tktB//casE//nfuA//yaiW//metQ//nac//manZ//
MalT-ADP-Maltotriose	fur//focB//gcvT//aidB//puuP//glnA//malG//ccmE//trpA//gatZ//
MalT-Maltotriose-ATP	folE//rpsF//xylH//focA//purB//gspH//tdcC//hyaE//dcuB//yiaM//
MelR-Melibiose	ptsH//argO//betI//
MetJ-S-adenosylmethionine	trpC//csiE//ydeN//allD//sgbH//yqaE//chbA//glnG//degP//hyfD//ytfE//gabT//cpxA//psd//ssuC//
MetR-L-homocysteine	aceB//tar//pitB//oppF//nagB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	putP//yegH//araJ//hfq//phnC//ygeA//
MhpR-3HPP	mgrB//xapA//purL//tktB//rdoA//prpR//
MntR-Cd2+	lamB//sbcD//purF//polA//hupB//
ModE-MoO42-	oxyR//phoA//phnK//tnaC//codB//acs//fepB//tnaA//bcsC//uxaC//sufD//tdcC//ynfK//fimG//frdC//tauB//treC//infC//hypB//alaT//ygeH//norV//iscA//map//bioD//hybB//slt//rstA//preT//malG//metC//cysH//oppF//hpt//tnaB//tauB//hycB//malT//lpxD//rhaT//hyfH//hycF//gdhA//katE//ugpE//ompT//
NarL-Phosphorylated	flhD//mdtA//crp//rutB//copA//uxaA//znuA//cysH//azuC//ygeA//lldD//asr//bioB//gltA//uidC//secB//rplI//cpxR//tdcD//sucB//cpxA//torR//gatC//fadA//gcvH//cadB//rrlC//ccmE//ydhX//artJ//cstA//yeiB//cysN//fecR//hyfH//malE//ldtC//casA//ulaE//ykgM//caiB//hyfH//mgtA//casA//phnI//betA//metK//dcuB//rybA//lysP//fecE//glnL//yiaN//mntS//rhaR//gutM//alkB//creA//nanS//dgcZ//nuoL//crr//acrD//ilvD//phoE//yoaG//glgB//mhpB//oppD//hyaA//codA//yibN//fepG//nanM//fdnG//hyfG//arfB//cvpA//dcuS//nuoG//gspJ//nirB//fixX//osmC//ugpQ//deoB//hypB//soxS//fis//hofC//alaU//prpC//dapB//feoC//ssuA//rplV//secB//arfB//rrsA//fucU//sucA//caiB//tnaC//glnG//nac//fepD//argG//rseB//appB//infC//entD//pitB//ubiG//dmsC//cadB//appC//hyfA//fldA//gatD//nhaA//mhpA//cynS//melR//bcsZ//casA//
NarP-Phosphorylated	galE//yggX//rnpB//lhgO//mgrB//treR//yhfA//cysA//citG//cheA//rpmC//pgaA//araF//mhpE//deoB//metI//napB//folE//atoD//mlc//gspJ//mdtA//bdcA//araF//patZ//hybG//norV//gspH//nrdG//ubiC//aceB//lsrR//aer//narK//phnN//tyrP//sufB//mtr//gltV//metJ//sodB//sgbU//nuoA//rpsP//udp//hycC//mzrA//gltT//manX//ampE//
NhaR-Na+	sgbE//nuoG//rseA//frdD//appX//dmsD//raiA//
NikR-Cd2+	srlR//uxuB//lsrB//yciW//ulaB//astA//
NikR-Co2+	codB//ydiU//chbF//yaeP//ykgM//lolB//
NikR-Cu2+	glpD//idnK//aldA//rpsP//cysC//cusB//
NikR-Ni2+	rybA//tar//hycH//hypB//sohB//katG//
NikR-Zn2+	sucC//gadC//entA//uidA//fecA//cusA//
NrdR-ATP	malM//ubiG//nanM//hyfC//lyxK//aaeB//dppC//ilvB//rplP//
NrdR-Zn2+	citG//nrdF//nuoG//atoA//hofM//malX//sufD//yecR//zntA//
NrdR-dATP	tdcC//yrbL//aaeR//fadA//xylG//fnr//srlD//gspM//adiC//
NsrR-[2Fe-2S]reduced	lacA//dapB//ada//allD//rhaA//paaI//hypA//slyB//yfaE//rrlD//nuoB//gnd//gutQ//napD//ssuB//znuA//map//ilvE//znuA//xylF//ahpC//dpiA//phnO//gpmA//fhuD//yfeW//moeB//moaC//gspD//artJ//mgrR//ccmA//csgF//sufB//fumB//phnM//tnaB//cusR//dppC//lysP//chbF//efeU_1//rseA//narI//sbcC//aceF//mepH//cspD//nrdG//actP//katG//sbcC//thrV//ssrS//lsrG//recF//moaE//hisQ//sdaA//napA//modC//glpC//rseC//trxA//creC//dpiA//gatA//glgA//phnE_2//pta//fur//dsdX//sufA//
PhoB-Phosphorylated	dppB//gltA//mdtA//phnK//folA//argH//dusB//flhD//paaH//araJ//fepB//astE//srlR//efeU_1//frdB//putP//citE//fixA//tsx//narL//glgA//tktB//paaI//caiF//napG//ryhB//lsrR//yegR//bglB//argC//fucU//paaF//rrsC//astB//fecI//znuA//hisP//exbD//ilvL//gntP//tnaA//narL//entS//nuoN//ydhX//trpR//fhuE//sufB//nuoE//phoQ//rybB//yjcH//artM//emrY//bamE//cysI//dsdX//garP//azuC//nupG//metE//
PhoP-Phosphorylated	ilvB//aceB//mipA//rnlA//nirD//ybjG//rnlB//hypB//frc//glnA//yeiB//iscR//deoC//ptsH//nikB//napH//motB//metB//pgaB//nfuA//rrsC//soxR//idnR//kbaZ//pgaA//pstB//udp//nagE//tauB//rbsA//glpB//hycH//psiE//hlyE//creD//uidA//acnB//tauA//deoA//rrsA//torR//trxA//ulaE//livJ//hyfI//micF//ebgA//lsrG//malE//ilvG_2//modB//rrfA//lhgO//oppC//folE//mglC//slyB//
PrpR-2-methylcitrate	treB//rstA//phnE_2//nirB//osmY//
PurR-Guanine	phoB//hybO//trpB//dadX//appC//ugpE//yedX//murQ//ilvN//argF//trg//ydhV//dppB//citF//rplC//ulaF//dsdA//bamE//rplV//gspC//hybF//gltF//fimI//katE//ynfK//trg//cusA//ccmG//bioC//entH//ynfE//rutD//preT//metK//
PurR-Hypoxanthine	lsrK//mntP//hycC//ssuC//metJ//mntP//infC//ydeJ//moeB//nagB//cheZ//glgC//lpxB//lpxB//hyaC//aroM//hmp//umpH//hyaB//xdhA//rof//rstB//ccmG//paaF//cadA//yiaK//fepG//rimP//phnG//yqjI//glpK//lsrD//glpT//yegR//
QseB-Phosphorylated	appC//xseA//lamB//ulaC//
RhaR-L-rhamnose	sdhC//paaG//
RhaS-L-rhamnose	flhD//atoD//metR//sucA//treB//astA//
RstA-Phosphorylated	argF//yeaE//hyaA//ssuE//nikR//slt//rrfF//sucA//norR//avtA//
SoxR-[2Fe-2S]3+ oxydized	glrR//trg//dmsB//metL//
TorR-Phosphorylated	yeiB//motB//gntT//hypA//mhpA//cydC//feoA//bioC//cysD//mhpD//
TrpR-Tryptophan	malE//gntT//cyoC//ndh//hyfH//hybG//rdoA//dppD//glgB//ebgA//cra//zwf//
TyrR-L-tryptophan	fepB//safA//gatB//melB//fixX//hflD//rrlC//pta//hyfJ//malX//hflD//yqaE//rrlE//gltB//
TyrR-Phenylalanine	prs//nadC//glpA//metE//adiC//thrV//chbG//crr//rrsD//mntP//ydhX//xapB//purH//lacI//
TyrR-Tyrosine	hisM//lyxK//rrfA//epd//atoB//ydhU//erpA//astA//tnaC//entC//aceK//hyfF//purH//rutD//
UhpA-Phosphorylated	glnB//
XapR-xanthosine	yfdV//bglG//
XylR-Xylose	lyxK//bglB//puuC//nrdA//idnK//glnG//
ZntR-Cd2+	nikB//
ZntR-Hg	lsrF//
ZntR-Zn2+	cysJ//
ZraR-Phosphorylated	frdB//glpD//agaA//
Zur-Zn2+	cyoB//aceK//rplT//ybdZ//prfA//prpC//
