#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	mlc//malE//trpA//araD//
FNR-[4Fe-4S]2+ reduced	waaH//sufA//phoE//bamE//fixB//aspC//rrfA//atoB//narK//gpsA//alkA//moaA//sodB//gspC//glpF//trpR//yeaR//cysD//tdcC//mpl//artI//erpA//trpD//lysU//hybF//infC//upp//amiB//ydfH//cpxA//nrfD//cusR//puuC//aroA//tolC//nuoE//ampD//glgP//borD//nupC//dnaN//casE//rplT//gspI//ileT//guaA//nfuA//atoA//ssuB//metL//aroG//nuoK//ychH//abgB//fadE//rimP//rplI//frdA//gspJ//hyfC//marR//prpR//tadA//torR//torA//glnB//gspM//livJ//cusS//aceE//ung//iscA//yfeW//cra//rpsI//eda//torC//ileT//fhuF//artJ//fixA//ileU//rhaA//gcvT//rutC//fis//glgX//ssuD//dpiA//actP//chbA//nrdA//glpX//priB//csgD//csgA//fecI//rrfA//ugpE//dppD//paaG//purR//hycI//nanK//aceK//rutA//ileT//psiE//glgC//rrlC//fdhF//fucU//rrlG//ogt//kbl//hslJ//hybD//ompX//sucC//phnI//cadA//cadB//mutY//yfiP//narL//livF//yhiD//hyaD//rutE//fadD//nrfE//glgX//mhpC//zinT//glpB//glcB//araD//sbcC//fhuB//yojI//nohA//narL//mhpF//aspC//torA//rplC//nagA//ydeO//cspD//crr//rrlA//ulaC//ubiG//ccmG//phnF//fixX//sucB//ilvC//folA//yqaE//focA//rstA//uxaC//livJ//narL//fdnH//araD//tyrR//tyrP//gatD//frdA//gspC//iscR//fdhF//nrfE//csiE//sdhA//nagB//fepA//ydhT//xdhB//galP//rseC//phoQ//sucD//pstS//hupB//melA//cheB//glcG//dps//sucC//dsdX//rhaT//hyfF//fixA//rcnB//hycG//rybA//ulaB//hofC//efeU_1//cysW//chiP//rimP//yeaD//pitA//nanT//cusR//nrdF//pitB//phnO//recF//atoB//fepA//mltC//tsaE//allC//raiA//yfeW//hydN//iraD//nagB//adhE//mdtB//citE//putP//uof//nmpC//grcA//asr//feoA//proP//rutG//cadB//xylG//rutG//malY//metY//katE//hisQ//manA//phnE_2//fimF//fucK//folA//rrlH//hycG//acrE//prpD//yjcH//rmf//gltF//srlR//fdnI//comR//frdB//yoaC//yoaG//tehA//uof//agaW//deoC//nanS//cyoB//aspA//metE//csgD//ydhW//yidQ//frdC//moaC//aroG//entC//mhpR//chbR//rybA//rimM//bacA//ccmG//cysA//glpE//fucP//chbC//hyfE//uhpA//glnD//comR//entS//gltD//dsdC//rcnA//pepT//fnrS//trpE//metL//aldB//bamE//aroF//infC//bioD//nrdB//gatA//malS//aroM//
FhlA-Formate	dpiA//gspF//rplC//glnK//dppA//dcuR//hpt//ulaB//hflX//treR//cra//aceA//phnG//metJ//rpoS//grpE//raiA//prpB//aroP//lysP//rybB//osmY//garL//fes//phnE_1//aceF//nac//aaeX//citD//xapB//
FucR-L-fuculose-1-phosphate	cas1//argI//hyfI//prs//appB//ykgO//hyfG//
Fur-Fe2+	dcuB//nanE//purF//slt//ygiA//rplS//paaB//ysgA//hyfB//glgB//phoR//hofC//rnhB//paaC//upp//ydiU//hyfG//hyfR//alaS//fecE//ilvA//yhcH//paaH//sbcD//tcyJ//purL//bcsC//metY//uxuR//tsgA//prpR//secB//gltB//tnaC//mpl//deoC//modB//argH//lpd//rrlH//marA//lsrG//fucR//gspL//rseC//lacI//gabT//glnK//rbsR//psiE//cysJ//grxC//glnK//rrlD//fadI//bioB//pgaD//galM//sucB//glcE//citG//ascF//nuoF//xylB//metF//sdhC//hha//yhhY//araF//bamE//dpiB//moeA//dctA//murQ//ispE//aroP//lyxK//cpxA//phoQ//araH//dppC//betB//cyaR//tnaC//fepG//paaH//lysU//rplC//ompX//citE//mhpE//phoU//gabP//fdhF//gltF//uvrA//sufA//fadE//ybjG//yfdX//livG//sufE//phnN//fur//ssrS//fhuF//malI//nuoM//ycjF//ugpC//caiE//gspC//lacA//fumC//yidQ//yecR//nikE//cheZ//moaA//phoR//waaH//modC//uof//avtA//ybfN//cheR//bamA//feoC//emrK//ssb//hofO//rrfF//fhuA//tdcE//hycC//hyaB//manA//csiD//alaV//fhlA//
Fur-Mn2+	cyoE//uxaB//mdtD//yfbR//deoC//gltD//csgB//glgX//ccmG//nlpD//zraR//dmsD//bcsC//mhpF//sdhD//exbD//rpoE//rpmC//lysP//ssuE//glgB//znuB//glgS//creB//ompF//zraS//ebgA//alaT//glpE//rof//dsbA//yfiP//pitB//cspE//yjjZ//gntU//lpxA//cheB//nanE//yegR//hdeA//cydA//rplT//nfuA//thrV//nanT//lsrB//trpE//sgbU//rrsA//argD//fucU//phnM//modB//ydhX//cysN//glpE//glcA//rimP//fiu//sgbU//ftnB//oppD//cadA//nagC//artJ//rpsQ//glnG//metN//entS//aer//gntU//mdtB//rutE//puuR//nuoA//sufC//psd//gabD//folE//mltC//phnH//ilvE//rplW//hyfI//appC//nhaA//pdhR//agaV//fadA//rplV//hflC//casD//pyrD//rrfD//appC//chbA//dcuD//tcyJ//hybD//serA//alaU//dmsD//pstS//bioD//mgrR//fimH//ompC//dpiB//grxD//dppD//glpQ//nrdG//trpL//mdtB//malG//sufA//folA//ytfE//cysW//livK//lrp//nanM//entB//glcC//glnD//pnp//bcsB//gntP//artQ//pta//yiaM//araG//metH//srlD//rrlH//rpoH//slt//malX//lsrG//
GlcC-Acetate	hybO//ilvX//lhgO//osmC//ygaC//fumA//bglB//
GlcC-Glycolate	fau//tyrA//fumC//paaE//guaA//micF//uidA//
GlrR-Pasp56	bglF//
IclR-pyruvate	narQ//ychH//oxyR//ydeO//
IdnR-5-ketogluconate	csgB//yegH//phoE//narG//sucB//glpA//pdeF//gspK//
IdnR-Idonate	fliA//xdhA//arcZ//gspL//rrlD//nuoK//astA//rbsC//
IlvY-2-acetolactate	bcsA//gspL//
IlvY-Alfa-acetohydroxybutirate	fhlA//nhaA//
IscR-[2Fe-2S]1+	katG//mhpC//pgk//ilvB//gapA//cysM//sufE//yaeP//evgA//dsdA//iscR//araA//nhaA//exbB//ynfH//tyrA//cysP//proP//hcp//appA//ccmH//glcC//acrD//flhC//dctA//pgaD//ygeA//fliA//rutC//nuoI//lysO//hofP//malG//trpA//phoP//nusA//spy//napF//rpoE//flhD//ychO//
LldR-L-lactate	glnG//xseA//amiB//
Lrp-Leucine	znuC//hybG//cysB//yecR//mltC//nikA//tcyJ//cheW//osmY//ssuE//fhuF//galS//dsdC//rrfH//glgB//rrlA//cpdB//gntP//rplT//nupC//rutE//hybO//rpsQ//pta//oxc//galM//norW//mtr//gltT//tktB//cusB//gatA//nirD//exbB//tauD//fucR//nanA//hslJ//rhaB//baeR//purH//dppC//bcsZ//ebgC//csgB//adhE//glpQ//aceK//dnaA//hisM//xdhA//lacZ//lolB//astC//phnC//cytR//mhpT//rbfA//cyoB//ilvM//ygiC//znuC//yaiA//ugpQ//gutQ//cysH//hofC//astC//gnd//yedX//ompF//abgA//uhpA//rhaB//cysW//cyoC//lysU//ccmC//ulaA//ybdZ//sufS//nrfC//cvpA//gabP//ydfH//phnC//fumB//yedX//cysI//ydhX//hycD//mhpR//trpC//fecC//ygiA//tdcE//aspC//ycjF//hycI//fepG//cusS//rpsR//nanE//yneM//mtr//appA//
LsrR	moeB//stpA//exbD//mhpC//rrfC//hflX//araD//tdcE//ccmH//
MalT-ADP-Maltotriose	ebgC//aceB//pepT//acrB//srlD//kbaZ//priB//rhaT//idnO//glgC//
MalT-Maltotriose-ATP	fnrS//cstA//tfaQ//fadL//yhjC//yeiP//erpA//gatD//cheR//nrdE//
MelR-Melibiose	bglF//mgtL//udp//
MetJ-S-adenosylmethionine	ampD//yfeW//appA//frdD//lldR//yeiW//artM//rpmI//ogt//hpt//gspO//astD//nanS//ompC//ytfE//
MetR-L-homocysteine	gcvP//fecI//sucC//xylA//katG//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	betB//hypF//argD//mipA//rbsK//speC//
MhpR-3HPP	hycC//rrfE//aaeB//cynS//yeiL//speB//
MntR-Cd2+	osmY//chbB//sdhD//ilvX//hybC//
ModE-MoO42-	gspJ//codB//ugpC//nuoB//cysI//glpR//nuoN//cheR//cysP//mdtD//rrlG//araC//nirB//fdnH//metJ//gdhA//gcvT//gadC//moaB//atoD//focB//acnB//astD//malG//cheY//garR//frdC//alkB//yiaN//gltA//cheR//moaE//glgX//dgcZ//deoC//creA//guaA//nlpE//gntT//astC//caiF//xylF//argI//rhaT//cusR//dppA//
NarL-Phosphorylated	ilvH//ivbL//rnlA//malG//phoA//ubiA//treC//xylG//fliA//znuB//nikD//codB//torC//ydhX//phnC//rpmC//araH//lacY//uhpA//aaeX//fecD//fis//phnI//argR//rpsI//ygiA//carB//cas1//creC//nrfG//phoH//pepT//narL//sgbE//glgX//ompA//qseB//arcZ//yhfA//fucR//ilvD//purB//rcnB//acnA//norR//pstS//hyaA//sufE//gltW//ompX//rpoH//ivbL//phnD//evgA//sbcC//pyrD//cusS//deoC//pncB//lhgO//bcsA//xylH//fhuB//rbsB//fimF//hflK//acrD//ydeJ//rplI//tauC//sdhD//pyrD//nikA//treB//ompR//nrfF//allC//moeB//acrE//ompA//uof//glpB//adiC//cynT//preT//pncB//artM//bamE//yrbL//adiC//caiC//sgbH//caiB//phnD//entS//ompA//ybjG//ygaC//csgF//appY//xylB//ygiC//cheA//hdeB//tehB//entH//katE//rcnB//xdhC//phnD//argA//ynfG//feoA//melA//hycH//mgtL//lyxK//entC//trmD//hybB//cysK//trxA//fimC//yhjC//glcE//
NarP-Phosphorylated	puuR//uhpT//rybA//bcsC//xseA//abgT//sdhD//rrfA//ppdD//mhpE//rseA//ebgC//srlE//appB//ccmC//metH//gltU//cusR//atoA//modA//hlyE//phoH//murP//yjjZ//glgP//ydhW//pgaD//motA//fumB//hofC//dcuS//nuoC//prfA//malG//rpsQ//nanC//alkA//nagE//yaiW//gapA//katG//aidB//dppF//rnlB//hyfJ//narJ//cysU//mdtB//uxuB//paaF//
NhaR-Na+	map//tehB//fumA//actP//truB//dpiB//rprA//
NikR-Cd2+	metB//hycA//bioD//acrE//rhaD//narQ//
NikR-Co2+	cusB//trpE//nadC//rrlD//sufB//gcvH//
NikR-Cu2+	hyfE//ilvD//fumC//nlpD//chbR//ychO//
NikR-Ni2+	ygiC//nikE//exbD//gntT//lpd//acrD//
NikR-Zn2+	ulaA//rrfD//cheR//mgtA//nrdB//creC//
NrdR-ATP	ydhU//eda//lldP//hyfB//nikR//ychH//hofB//gutQ//garP//
NrdR-Zn2+	moaC//ydhY//tnaA//envY//lysA//caiC//ynfF//glnL//gspD//
NrdR-dATP	dsdC//zwf//qseB//ygeH//cstA//creD//yegZ//astE//glgX//
NsrR-[2Fe-2S]reduced	idnO//ynfK//lhgO//mgrR//sufC//lolB//hypD//hofB//lacZ//spf//betT//ychH//borD//gspK//nrfG//cusA//hybA//mgtA//napH//dppC//bioF//hypC//tdcE//xylG//moaA//lysC//map//fhuC//modC//nuoB//tolC//oppB//cusB//pstC//yibN//ygiA//trpL//argP//fldA//ptsH//garK//zraS//aroM//cusF//hyfJ//rplV//hflC//yoaG//glcF//glpF//efeU_2//idnR//ulaB//tam//ydfN//ubiG//yhiD//narL//dsdC//tdcA//stpA//fixC//deoC//tyrB//osmC//artI//dmsB//gatY//secB//mdtA//rpsI//envZ//trpE//
PhoB-Phosphorylated	hpt//crr//tolC//cpxA//dusB//moaD//cysK//asr//evgS//rpoE//yfaE//treR//moeA//garK//dcuC//ycjF//argI//lacZ//sxy//baeR//yoaC//ftnA//ilvD//chbA//comR//rstA//ackA//ybdZ//entE//caiD//cysW//sdaA//prpD//cynX//fucK//prpD//phnE_1//pagP//cysB//murQ//nikE//alaT//mntH//pta//nrfG//hybD//ileT//mscM//hypE//dpiB//metY//exuT//nirC//chiP//cyoB//citD//fnrS//uidC//fimI//lysU//lpxA//
PhoP-Phosphorylated	nrdI//betB//yqjA//purR//cynX//dcuS//purB//gdhA//nhaR//pgpC//moaA//hycB//caiD//sufS//hisQ//agp//hyfI//fiu//tauC//ulaC//galK//flhC//creC//xapA//phnE_1//iscR//patZ//frdC//flhD//torD//trpC//purR//mcaS//rseC//argA//iraM//alaS//malS//dapD//rrlC//ivbL//citC//araJ//truB//ccmG//pgpC//ybjG//fau//glcA//paaI//yjeV//hycI//rpsI//glcC//speC//mzrA//lysA//
PrpR-2-methylcitrate	aspA//phoE//pflB//cusR//pstB//
PurR-Guanine	mhpB//fnr//xylR//fecE//cysC//manX//nikR//erpA//mgtA//narG//sgbE//hypC//yfiP//fhuF//metN//ompF//ugpQ//moaD//folA//cheA//metB//dmsC//pgaA//hofP//purM//skp//hdeA//fes//phoB//gatA//csgE//ulaE//puuE//avtA//
PurR-Hypoxanthine	metI//hofC//garP//lsrR//feoB//napG//metH//osmY//dsbA//yegZ//pgk//yibN//yiaO//znuC//livJ//gspI//xylA//yoaG//argT//ydhW//abgT//exbD//argT//yqjA//hycD//srlD//lsrF//sufB//oppC//pdeF//fucI//sufD//hflC//rplM//
QseB-Phosphorylated	hyfH//nuoC//aldB//ygiB//
RhaR-L-rhamnose	yhfA//narL//
RhaS-L-rhamnose	mhpD//ynfK//hybB//pgk//napG//bglF//
RstA-Phosphorylated	argA//araH//rbsC//pgaB//pepT//agaA//hypC//malX//rcnB//yhiD//
SoxR-[2Fe-2S]3+ oxydized	cheW//yoaC//yiaJ//dppD//
TorR-Phosphorylated	metL//dcuA//phnP//metA//fimI//comR//rutB//bioC//araA//ykgR//
TrpR-Tryptophan	phnH//modC//fadI//nanM//rmf//pflB//casB//xdhB//bcsC//nlpE//phoP//hycC//
TyrR-L-tryptophan	glyA//xdhC//yedX//purE//pncB//cusC//mepH//gatC//napC//zwf//phnI//nuoC//hyaA//yaeP//
TyrR-Phenylalanine	fucK//rbsB//rrfH//araC//ubiA//emrY//ccmE//ugpC//glnA//csgD//trxA//dmsB//ulaC//rbsR//
TyrR-Tyrosine	narG//nuoA//ompW//zraS//ycdZ//umpH//polA//ydeO//tonB//nrfB//fhlA//xylH//tap//manA//
UhpA-Phosphorylated	glpA//
XapR-xanthosine	mzrA//ykgO//
XylR-Xylose	lacZ//xapB//uraA//napF//csgG//nrfA//
ZntR-Cd2+	hypC//
ZntR-Hg	napC//
ZntR-Zn2+	yhjA//
ZraR-Phosphorylated	rhaS//fimG//hybO//
Zur-Zn2+	malE//nagC//rrfH//chbR//glnB//metN//
