#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	citF//agaW//mtlR//fdnG//
ChbR-Monoacetylchitobiose-6P	tdcD//phnP//nikB//yaiA//argA//ygbA//
CpxR-Phosphorylated	rrfB//ldtB//cysM//glcE//sucA//cysP//nikE//livH//icd//ugpB//tdcB//map//rbsC//uxuR//cynT//marR//ileU//gntR//fecD//zraS//treB//appB//nlpD//feaR//cpxA//glnA//tpx//yjeV//paaA//galE//araA//ssrS//mntH//ssb//chbB//malX//sdhC//hycE//tehB//hypC//hycB//artI//yhiD//nlpD//hyfC//astE//dps//malF//yeaE//tdcB//pyrD//oppC//casD//fumA//bcsC//yhcH//sxy//aaeX//phoE//hybB//rnlA//phoA//araJ//hflC//sdhB//nikC//hycF//prpB//ugpE//
CreB-Phosphorylated	prpD//mgtA//rbsA//ahpC//phoR//paaG//sbcD//paaH//moaA//
CueR-Ag	ulaF//rpoE//avtA//lldR//aaeB//aceA//lacI//
CueR-Cu+	aspC//gspI//yggX//allD//lpxA//cusC//marB//
CuerR-Au	nuoK//glgA//modC//ugpA//dapB//sgbU//fepC//
CusR-Pasp	amtB//cyoB//mgrR//pitB//arcZ//lsrF//ompA//rrfA//argC//sucC//ynfH//nagB//
CynR-Cyanate	ompW//psd//thrV//purA//
CysB-N-acetyl-L-serine	lpxA//prpD//ppiA//glpG//abgT//yfbR//gltW//glpX//rrsC//hdeA//rutD//evgA//citX//yiaK//phnD//xylG//map//sdhA//artP//cstA//hyfR//mntP//baeS//actP//astA//garK//aroP//fdnH//sufS//argA//
CysB-O-acetyl-L-serine	argB//gltB//mscM//cpxA//hemA//ccmH//manA//cadB//citC//allE//prs//phnD//hfq//fhuC//rnhB//cas2//dppA//sdhC//rrlB//idnO//napF//fucI//dnaA//lsrF//alaA//hypB//fucP//rimP//exuT//sufB//cysK//
DcuR-Phosphorylated	speA//galP//glgS//purD//grxC//safA//puuE//acrF//argR//
DnaA-ATP	rbsA//ykgO//putP//mgrB//agp//yoaG//ldtB//sucB//hofM//glmY//ygiA//envY//
DpiA-Pasp	napC//rnhB//hemA//cusB//glpG//lysU//aroF//moaE//purK//efeU_1//yqjA//
DsdC-D-serine	oppB//hycB//moaC//
EvgA-Phosphorylated	srlR//chiP//citX//ulaB//astA//hofO//fimD//yciW//sdhD//ydeM//marA//hycF//yneM//gcvT//grpE//
FNR-[4Fe-4S]2+ reduced	hflK//gabP//gspL//ascF//ulaD//narJ//phoU//cspE//entS//aldA//atoD//uxuB//gspE//oxc//frdB//slyB//yfbR//ldtC//phoU//mdtB//acrE//cirA//dsdA//psd//sufA//tdcE//hyfR//glnA//torC//entB//hybA//rrsB//argR//chbA//fldA//garL//cysK//aroA//dcuS//emrY//phnG//tktB//csiD//cysB//malG//ygeH//fecD//ssuA//gatY//osmY//nupC//caiC//chbA//nikC//motA//fhuC//glpT//citX//rimP//uvrA//baeR//nagC//phnL//glgX//frdB//xapB//cueO//mgtL//flhC//pyrC//gpsA//napF//acrF//cynX//fecI//entE//ebgC//fldA//ssuC//alaA//ccmF//glpE//sufB//galK//fhuA//hycI//gatD//fimE//ubiC//iclR//dkgB//glnB//preT//lacY//cbl//oxc//rpsO//frc//yneM//ilvH//ccmG//leuE//yeaE//yhiD//metJ//atoB//galS//paaK//srlB//phoU//upp//uxaA//infC//putP//ynfE//casC//galT//glgC//hyfA//gltU//rcnB//xapA//hypD//ompF//argG//puuP//tsaE//napA//hypD//rrsC//argP//tktB//nanK//mgrR//napC//serA//cyoD//infC//yiaN//cdd//yfdV//mhpD//ytfE//hypD//gatD//cysU//fimF//paaH//aroP//argT//lsrG//nuoL//qseB//qseC//ydeP//sucD//mhpF//yggX//yaeP//yecR//alaA//exbD//edd//purH//paaK//melA//hybD//rseB//uhpC//mgtA//comR//araC//prfA//miaA//fiu//hyfE//ugpE//truB//fimI//purE//yccA//glyA//glgB//lamB//ilvC//preT//truB//uidA//serA//chbA//cspD//preT//zraP//hofP//appB//hemA//puuC//sgbH//pncB//tam//hupB//hfq//chbA//mhpR//hyaF//pgpC//fimI//aspC//ydeM//citF//fecD//psiE//fau//yggX//yeiW//ileV//ccmB//yqaE//deoA//paaE//yaiW//yfdV//rhaR//ilvH//abgB//hslJ//fecB//tcyJ//glpC//yiaJ//nuoE//purR//chbR//mhpD//katG//chbC//exbB//astD//rhaD//hycC//metI//mtlR//hcr//ugpE//lldP//nuoG//gabP//pstC//rrfF//ssb//ampD//cheY//hyfB//rrsH//cheB//ilvG_1//pgaA//ydeA//fixC//cusA//dcuS//cysM//yfdX//gspL//soxR//hupA//hyfI//yrbL//livG//gcvP//ung//uraA//dusB//rseB//cusR//epd//speB//ydiU//argB//hupA//yhjC//hcr//acrB//alaS//metY//fucK//phoU//actP//folA//efeU_2//dppA//mhpD//sufS//lysP//glgC//lacA//ccmG//emrY//astB//fucA//rhaA//entH//ubiA//yidQ//galM//
FhlA-Formate	nrdD//ydhT//rpsJ//galE//metQ//aldA//rplC//pgaB//hemL//yiaM//asr//ompW//ilvI//ompW//cheZ//cysI//fimH//ubiC//yiaL//cysP//acnB//yciW//lacI//aceK//sdhD//feoC//phnN//fes//modB//hcp//
FucR-L-fuculose-1-phosphate	iraD//lamB//puuD//rplV//rcnB//gspD//pncB//
Fur-Fe2+	cytR//ompA//srlE//phnE_2//nikA//ydeP//comR//hypF//cusB//phnO//acrD//nhaR//cheY//preA//rrsB//hybF//iclR//frdC//fucO//glpA//sdhA//ebgC//glpA//atoE//gspD//gspK//csgD//fepE//caiF//rhaR//dsdX//bioA//gspD//evgS//lsrR//hycC//tnaA//fadI//glpT//edd//yaiW//glrR//aceF//casD//hofC//envZ//araE//lacZ//ugpB//znuC//agaA//ydiU//csgD//glpT//amiB//fldA//phnE_2//fadH//caiD//trmD//nrdF//moaB//umpH//osmY//ugpA//hycH//alaT//tauC//gabT//pitB//pheM//tfaQ//dmsB//tar//hybO//xylR//fumA//argI//prmC//hypD//rrfB//tsgA//hha//rplW//tnaA//map//fimH//hybF//trpR//rybB//lysC//avtA//agaV//hybD//alaU//ssuC//rseA//entF//asr//nanA//mhpE//arcA//narG//ygiA//fimE//nikR//soxR//napF//yidQ//bioA//livK//nikR//glcC//emrY//yfiP//thrV//rrfD//srlR//sgbU//rplC//phoR//nuoB//ilvB//gutQ//cra//aspC//yeaE//glpX//deoC//nirB//fldA//xdhC//mscM//infB//ybjG//rpmI//cueO//ssb//bioC//yfaE//
Fur-Mn2+	pck//infB//rcnB//hycF//frdA//argG//araE//mcaS//hycH//ileU//pncB//ompX//alaU//grpE//mzrA//argE//slt//nohA//ccmH//hybF//uhpB//ompR//gltB//rhaA//gspI//fhuF//hofB//ompW//yedX//rpsP//hofP//mtlR//metH//dmsA//caiE//cyoA//comR//mcaS//rpsS//hycE//phoH//prfA//rpoE//feoA//uxuB//araF//lysU//mlc//nikE//sucD//rbsD//sucD//glgX//gspD//cydD//nuoA//csgF//hyaB//cysK//speB//pgaD//malI//dppA//mdtA//yaeP//srlA//yhiD//nuoK//fucU//gltV//fumC//atoB//nanC//malX//ydfN//hybO//rpmC//mtlA//pheM//sbmC//ileT//yneM//nuoH//rrsB//purE//rrsA//livM//dsdX//adiC//caiB//ssuD//livK//grxC//galE//aaeB//hybB//rutE//deoB//cheY//bglF//preA//cspD//hybG//rnpB//chiP//araH//gspK//ccmE//phoU//treC//xylH//yhjA//yegH//carA//treB//argG//fdnH//moaE//narH//mhpD//ptsG//ung//paaH//tsgA//idnT//lacZ//ybdN//rmf//cysB//bioF//manX//ccmA//iscR//hyfF//alkA//yhfA//sxy//narK//gnd//fldA//
GlcC-Acetate	ydeJ//dadA//nuoA//ccmH//cysM//motA//degP//
GlcC-Glycolate	mtlD//narK//yeiB//rstB//ybdN//phnO//psd//
GlrR-Pasp56	ssuA//
IclR-pyruvate	astB//degP//rpoH//pitA//
IdnR-5-ketogluconate	dcuR//glgC//metJ//stpA//mglB//napF//cynR//cheY//
IdnR-Idonate	ldtB//mhpA//puuD//malK//paaJ//metL//iscU//tnaB//
IlvY-2-acetolactate	xylF//sucD//
IlvY-Alfa-acetohydroxybutirate	fixX//lldD//
IscR-[2Fe-2S]1+	napG//cpxR//emrY//arcZ//fecR//xapB//mipA//rrfF//adhE//trpR//entB//caiT//ssuE//astB//allD//paaB//xylB//hybC//pdhR//mhpE//narX//fadL//ccmE//guaB//lldR//prmC//purN//znuB//hycH//alaU//hypB//cyaR//argG//oppD//gltA//cusS//malS//acrE//fnrS//cydA//dmsD//
LldR-L-lactate	ulaC//phnI//mgtA//
Lrp-Leucine	aidB//glcE//grcA//mtr//lpxB//fixA//adiC//livM//cadA//bcsZ//uxaB//mglC//fimD//gcd//malQ//pgaA//hyfI//phnI//hyfJ//hfq//nuoA//xylA//adiC//ugpB//mhpB//proP//abgA//yhjA//nuoM//dnaA//malQ//uidA//fadE//fixB//casD//rmf//gspD//ulaA//aroP//ynfH//dmsB//dmsA//purM//malQ//fhuE//iscR//gcvP//ung//rpmC//tcyJ//sufE//glgA//phnI//nikB//ydeM//hypC//cheA//oxyR//entS//betT//leuE//oppD//uidA//metI//ldtB//yfbR//hybA//metH//cdd//chbB//idnR//nrfF//malI//evgA//astD//lsrA//prpR//baeS//grcA//yedX//modB//map//uxaC//ugpA//rcnA//ssuC//marA//fhuC//entD//miaA//chiP//ilvY//glpF//gcd//frdB//nupG//speB//mepH//livG//malE//ydhT//glpG//fiu//nrfG//avtA//hofB//
LsrR	mglC//gntT//cydB//ubiA//ihfA//fhuE//pdeF//aaeX//gadB//
MalT-ADP-Maltotriose	preA//pyrC//sroD//astE//cydC//fadH//fepA//nac//glcA//grcA//
MalT-Maltotriose-ATP	ubiA//caiF//aroA//srlB//pitA//iscA//grpE//puuC//purR//pncB//
MelR-Melibiose	hycH//hycH//alaA//
MetJ-S-adenosylmethionine	cbl//metN//caiD//treC//livF//csiE//torD//tap//rdoA//fixA//murQ//hemA//psd//fau//csgD//
MetR-L-homocysteine	nuoF//paaI//gspD//gltF//dmsD//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	eda//rrfB//cynS//pstC//pheM//rpsO//
MhpR-3HPP	ugpE//tdcG//lsrD//yjeV//sucA//pyrC//
MntR-Cd2+	napC//dcuD//mutY//rrfF//yedX//
ModE-MoO42-	ugpC//csgC//artI//cynS//betB//preT//napG//dcuB//yfdX//yeiW//dcuR//fimG//gntP//dsbA//rhaR//hdeB//pgpC//phnE_1//gltB//gatY//paaI//fadI//rrfF//yeiB//hisJ//yjiY//rrlA//tdcC//hdeD//fadL//pstS//deoD//metH//ileT//tsr//ygiC//trpE//cynX//fnr//fadL//fixA//hisP//malP//pstS//hyfE//ygeH//
NarL-Phosphorylated	iclR//modC//csgC//dadA//ompR//tap//metN//ryhB//pheS//ugpA//rhaB//sbcD//bamA//xdhA//phnM//sdaA//rrfG//yqjI//mtlR//cpxR//hybG//glpD//nhaA//yiaO//yjiY//manZ//garR//dcuD//creC//ydhT//rnlA//safA//rrlD//envY//secB//dppA//nusA//rrfE//rstB//hcp//hofN//pheS//oppD//mepH//waaH//phnE_2//ychO//chbC//rpoH//rplV//fadD//xylF//sohB//cynT//mglC//hdeA//raiA//frc//phoE//infC//rrfG//pstS//envY//trxA//caiA//hupB//motB//ygeH//nikC//ynfE//mtr//sbmC//rrfD//pflB//napB//puuA//mhpR//hycI//grxD//allE//glpT//rnpB//lrp//napC//sohB//araG//csgA//glnA//dppF//oppF//lysO//narH//phnE_2//hflK//nikC//lsrB//rrfB//glcB//yneM//dnaE//gpsA//ynfG//hypC//abgT//uhpA//fiu//fis//amn//cas2//mntH//glpR//glyA//ykgR//yiaO//nuoH//infB//ydbD//idnT//ykgO//narQ//hyfF//ugpA//cyoD//astD//artM//
NarP-Phosphorylated	argT//purH//yeiB//sucB//ompC//malK//pstB//cysC//ada//gatY//gspL//rbsB//glcA//narL//gcvT//fimD//sucD//fepA//bcsC//purH//gutM//oxyR//phoR//mgrB//prpE//phnL//fhuC//metF//paaB//narK//cheZ//hupB//cyoE//cheW//ydhW//rstA//rpsR//trpD//gpmA//rrfG//nuoL//ubiA//glgS//lyxK//yjeV//yeiP//glnA//pyrC//livK//ychH//
NhaR-Na+	fadA//araA//zntA//hypC//crr//phnE_2//gltA//
NikR-Cd2+	gutM//araC//dsdC//glnG//nuoI//pdeF//
NikR-Co2+	ydhX//napB//atoE//xapA//atoE//hyaB//
NikR-Cu2+	cyaR//spf//qseB//tyrB//yeaD//agaW//
NikR-Ni2+	rhaB//yjeV//argO//fhuF//sucB//glpE//
NikR-Zn2+	hyfH//tsgA//mglB//cbl//sxy//yjeF//
NrdR-ATP	srlB//paaI//phnJ//fucO//uxuA//psiE//lldP//bcsC//serC//
NrdR-Zn2+	ilvY//cheR//rmf//mtlR//dcuC//acnA//murP//tonB//degP//
NrdR-dATP	nrfF//idnT//mhpB//glmY//moaD//safA//fepC//grpE//rbfA//
NsrR-[2Fe-2S]reduced	fimA//cspE//fbaA//hupA//aceB//dadA//nuoJ//atoA//ilvG_2//gspC//yiaO//nikD//map//rybB//mhpA//mlc//aroH//envY//phnL//garK//cysI//hofB//fdnH//dpiB//ldtC//bglF//uidB//fucR//yiaN//nrfB//gltW//argD//hlyE//aceA//hyaD//rrlC//rpsR//znuA//icd//rplM//rimM//paaE//tap//asr//yiaL//narG//uhpC//gntX//fadD//nanE//hypD//pheS//map//hybB//pyrC//exbB//entB//hemA//rhaD//ulaA//rrsC//rbfA//chbA//araB//yhfA//hyfR//nirC//ilvL//gutQ//argO//nuoG//trxA//ycjX//
PhoB-Phosphorylated	mtlA//cspE//rpsO//bioC//fiu//sgbE//sucA//appX//moaC//ppiD//glpE//mzrA//paaK//csgD//yeiP//nuoN//ileV//emrK//udp//fes//gltW//ccmC//soxS//nirD//phnL//lysA//fixX//paaZ//nuoH//ynfK//feoA//chbG//uvrA//fadD//gltA//rplI//yiaK//ilvD//hybA//ygaC//mtr//lacI//grpE//sdhB//hypA//cysW//hycC//fhuD//malY//yfdV//sufA//sucB//fdhF//fimH//ung//bioF//bhsA//gltT//phnE_2//ccmA//waaH//
PhoP-Phosphorylated	pyrC//cysM//mhpT//fecB//metB//gcvP//evgA//prpB//gatB//metY//narK//lpd//yfdX//gspF//sbmC//yeiL//nuoB//fepC//ilvX//phnE_1//sgbE//fadD//iraD//creB//bioB//mutY//rutF//rrfD//cheY//nrdH//dadA//allC//pepT//manY//ilvC//nrdH//rrsA//ydiU//allE//dppA//exbB//rpsR//phoU//csgA//aroP//rplB//efeU_2//ilvG_1//fepB//metJ//nagA//cadA//cysJ//appA//cusA//osmY//rhaT//
PrpR-2-methylcitrate	psiF//metN//dppB//fadL//artI//
PurR-Guanine	trpL//gyrA//rpsF//argO//xylB//hyfF//sxy//hyfG//yhjC//moeB//tdcA//uhpA//gntU//mglC//dcuB//galK//chbB//rnlA//araF//uxaA//argI//infB//fecI//fixA//uvrA//mhpE//csgE//fumB//yidQ//hyfC//csgG//abgA//thrS//pitA//
PurR-Hypoxanthine	gltF//malM//cheR//rpsQ//atoE//uof//pyrD//yiaK//yfdX//pstS//hyfB//yiaO//tdcB//purL//casC//rrfD//qseC//mdtD//galK//aceK//motA//fadL//abgB//rpsC//cydA//tdcG//osmC//sbcD//iscR//nanC//hybG//cysP//argA//hflK//
QseB-Phosphorylated	hofB//trmD//metA//rseC//
RhaR-L-rhamnose	cas2//nrfE//
RhaS-L-rhamnose	ydhW//ugpB//malI//bioF//metA//prpD//
RstA-Phosphorylated	sdhC//fadI//hflK//cysW//pdhR//cueO//yhjC//rplI//melA//yeiB//
SoxR-[2Fe-2S]3+ oxydized	frdA//gltF//chbC//yeaR//
TorR-Phosphorylated	srlB//yhhY//bcsZ//livK//narH//tauB//napF//rmf//fhuC//aspA//
TrpR-Tryptophan	fdhF//ssuE//ychO//tehA//borD//acs//nuoG//ydeM//metF//fecD//glgP//hyaE//
TyrR-L-tryptophan	psd//csgG//nuoL//polA//tdcE//xapB//nrfD//cyoE//pnp//ppdD//ahpC//ydeN//ydeM//marB//
TyrR-Phenylalanine	creA//ykgO//cysN//rimM//cpxR//fimF//psd//entS//rplD//xdhA//srlR//rpsO//purE//nuoI//
TyrR-Tyrosine	rimP//zinT//fadD//arfB//lrp//purK//tehB//ilvY//cysP//ulaB//sufB//fdnI//zwf//malF//
UhpA-Phosphorylated	ilvD//
XapR-xanthosine	fhuA//gltT//
XylR-Xylose	sbmA//amiB//abgT//rcnB//nuoC//ptsG//
ZntR-Cd2+	ampE//
ZntR-Hg	aroA//
ZntR-Zn2+	evgS//
ZraR-Phosphorylated	phnD//modC//phoE//
Zur-Zn2+	borD//rrfB//sufD//ygeH//gntR//uxaB//
