#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	nrdA//hofP//cadC//feoB//
ChbR-Monoacetylchitobiose-6P	ompT//nanA//hycF//glpB//agaA//hycI//
CpxR-Phosphorylated	crr//abgA//hyfE//tehB//rimP//nuoF//narJ//osmC//phnG//dsdX//creD//astE//caiE//cysG//mglA//yfdE//nanS//argP//ivbL//oppC//paaB//fiu//garR//arcZ//ydbD//frc//rprA//ccmB//miaA//uof//metF//map//nuoB//fur//moaC//phnD//nuoA//manA//tdcF//yegR//dctA//hyfI//qseC//borD//nuoI//phnG//mglA//lysO//trpR//dctA//ilvC//arcA//cspD//csgG//hybE//trxA//gltB//oxc//arcA//sufS//hmp//narH//nikR//araD//rprA//phnG//ccmG//aceF//paaK//
CreB-Phosphorylated	gnd//chiP//bglG//crl//ynfF//fepA//hyfI//ssuD//pyrC//
CueR-Ag	rrlC//purC//glcG//yiaL//yeaE//nrdB//ubiX//
CueR-Cu+	ykgM//cstA//appB//yhhY//betI//artJ//nuoK//
CuerR-Au	mdtD//trxA//entC//yfdE//gatA//glnK//idnD//
CusR-Pasp	gntU//fecB//proP//sbmC//soxR//manZ//rpsQ//tauD//nrdE//yfiP//ssuC//aroM//
CynR-Cyanate	puuD//ulaC//fis//napF//
CysB-N-acetyl-L-serine	yjjZ//pta//fbaA//phnD//nanM//aaeX//caiE//nagB//arcA//xdhA//rcnA//pta//argI//kbl//tehA//lacZ//purD//rpsR//hflC//bglB//ssuC//argE//deoD//yegZ//ydeP//cysJ//hycB//aceA//pheM//azuC//
CysB-O-acetyl-L-serine	gcvT//argO//motA//hybB//fucI//uhpC//fdnG//sbcD//ycjF//dcuR//astD//alaS//aspC//fnrS//phnH//phoA//bhsA//allC//deoA//pepT//yeaD//citX//focA//gabT//garR//nirC//deoA//sodA//sucB//paaD//mzrA//
DcuR-Phosphorylated	ydeA//cusF//metC//epd//sufB//hupB//ygbA//pyrC//glpE//
DnaA-ATP	iscR//osmY//srlE//ssuD//xdhC//bamA//rbfA//ampE//narJ//gntR//sucA//torD//
DpiA-Pasp	ubiX//trpL//dmsB//yfeW//fhuA//ybjG//cbl//mtr//astA//ccmE//mdtD//
DsdC-D-serine	pgaC//astD//rstA//
EvgA-Phosphorylated	ugpE//uof//cynR//mlc//gspE//trpE//ybiT//feoA//abgA//yhjA//dapB//sxy//rimP//pstA//citG//
FNR-[4Fe-4S]2+ reduced	uhpB//cynR//gadB//phoP//glpF//udp//uvrA//abgA//sufS//phnM//hyfI//fucI//yqjA//paaI//rutC//preA//sxy//ydiU//glnA//zinT//folA//nadC//fucR//hydN//paaJ//slyB//focB//fadL//idnK//fecC//malF//uof//hyfB//aaeR//cirA//dppF//rprA//ilvH//fadE//gspC//ybjG//sufD//fhuA//gltW//rpsP//hyfI//melR//abgA//aceK//rstB//znuB//rrsD//ubiG//fimA//deoB//astC//cas2//qseB//aroL//ydeA//yaeQ//fixA//dppA//tdcD//dsdX//hisQ//moaA//yfdX//oppA//hycF//rrlA//sxy//yfeW//csiE//fucO//pgaD//idnT//stpA//hcp//trmD//cysG//hycA//metC//dcuS//argE//ppiD//tdh//acrE//rplI//chiP//znuA//tdcC//infC//oppF//gspM//rhaB//yiaN//hybC//malS//iclR//cyoB//hycF//rplW//yhjC//artQ//fepC//hupB//adiC//gltF//ssrS//nupG//yegR//glcD//micF//nirB//fadB//citC//rrsD//rrsB//rstA//metE//hpt//flhD//ulaD//sbmC//glpX//malS//hyfR//psiE//lsrC//malE//nuoB//dusB//rhaS//abgB//ygiA//aroP//glnA//pgk//borD//caiD//glrR//fhuA//alaU//citD//map//yecR//fimH//ynfK//glpG//rplT//cpxR//ulaD//fur//tfaQ//yfaE//galP//melB//pstS//fadH//nlpD//hybC//lsrA//ynfG//fixB//cysD//metB//aaeB//rbsK//xylB//fldA//safA//gadB//trpB//metI//ydhV//gcvH//ptsH//nuoG//rrsC//ndh//malK//tonB//artI//sdhA//hyaA//cadA//fliZ//rrlE//fhlA//ychH//uidB//ubiC//ccmG//yaeQ//soxR//paaC//qseC//guaA//ydhX//nanE//edd//fumA//tyrP//grxC//micF//livJ//rimM//znuB//argI//tsaE//gutQ//yoaC//phnL//aroG//nusA//yojI//aidB//idnR//hybO//metC//lldP//rrsB//alaA//nagA//hdeA//tehA//treC//flhD//fadJ//nrfG//araC//lpxD//galE//infB//ompX//mdtA//tonB//cysU//ilvH//rbfA//bioD//mcaS//nac//ilvC//oppF//ybdZ//glcG//katG//ilvL//metN//garL//guaA//narI//caiC//murQ//sucA//astD//bglG//pitA//entE//phnG//caiF//gltV//sufC//rstA//ulaF//dnaA//srlA//rpmI//cyoA//hycH//murQ//tdcC//nirD//pgaA//ilvG_1//gspC//cpxA//emrY//dppD//zraS//atoB//raiA//fhuE//rpsQ//sucC//nikB//oppF//mzrA//dpiB//fldA//hypE//fnr//csiD//gntP//hyfH//ydhT//tyrP//hycH//hyaA//ccmH//ygaC//rrfE//iscA//
FhlA-Formate	moeB//kbaZ//nrfC//nuoF//glrR//focA//cvpA//uidC//oppB//acrB//murQ//dppD//fhuF//chbF//manZ//ftnB//fecE//ccmA//fecD//fucP//cydA//phoP//tyrB//glnD//hyaB//cysU//puuR//mutY//idnD//eda//
FucR-L-fuculose-1-phosphate	nhaR//ugpE//acs//artJ//hisM//tar//betB//
Fur-Fe2+	recF//ilvE//grxC//yeaE//nhaR//ileT//glcF//lysA//nikR//hyaA//cysK//yaeP//rrlB//tam//fnr//lamB//ybdN//cytR//motA//glpG//fumC//sucD//nusA//mgrB//nupC//cysN//moaE//micF//bacA//torR//bioB//gspM//hlyE//ccmB//lsrA//mglB//fimG//adiC//rplD//moeA//prs//serC//napG//patZ//uxaB//cyaR//gatB//fadH//nikC//fadD//pstS//mgrR//tdcE//hycE//hisJ//oxc//aroA//phnG//bioB//glpA//rhaB//puuE//fur//appY//rpsP//deoA//rpsS//hemL//pheT//phnC//phnJ//katE//mscM//fhuA//glgX//priB//moaC//lacI//aaeA//epd//paaI//paaJ//purH//acrE//ilvB//acrD//malY//fucI//phoU//modA//purA//rrlB//metR//hybD//mipA//astA//phnM//ilvE//ileT//ulaA//tyrB//argT//mglA//lyxK//ygeH//sdhB//ccmH//rrsA//puuP//rrlH//ydbD//allE//fucI//fhuD//ampD//glnB//glcD//ykgO//fecA//ilvG_1//yfdE//sodB//tauC//sodA//rhaR//rnlA//astB//yhhY//treC//csgE//hycI//garP//purD//rhaT//ycjX//alaV//nadC//argR//nikE//cheR//
Fur-Mn2+	dkgB//rpoH//gdhA//fabZ//bioD//gntU//amn//livH//ulaE//fixB//fixX//lsrC//znuA//yiaO//tyrP//ccmG//caiF//argF//mhpB//sdhB//exbB//bcsA//truB//dmsB//gatY//rpoE//thrV//pstA//paaA//alaU//purC//cpxA//hisQ//rhaR//cueO//xylR//glgS//nupG//psiE//mgtL//preA//artM//mscM//nmpC//metC//phnH//xylH//ynfE//crp//betI//soxR//leuE//ilvL//nuoC//yhjA//fumA//dsdX//acrF//aroM//cvpA//purF//caiD//mhpC//cysP//rof//hycB//garL//prfA//glgP//bioA//lhgO//nuoH//hyfA//gspH//rrlB//ynfH//nrdG//hycG//ssuE//ccmC//zraR//cheA//osmC//tauB//hyfJ//ldtC//feoB//ilvM//gapA//umpH//gspO//nusA//agaV//casA//fdnG//glpB//mtlD//cyoE//betT//pgaD//appA//creC//nuoA//manA//garR//folE//melB//aaeR//fecR//manY//paaJ//dadA//fadE//gspC//glcE//garL//oxyR//rpsC//cysJ//prpE//csgA//sucB//ygiC//ygiB//cysN//cpdB//moeA//moeB//folE//phnO//rpsP//lysA//cynX//ygiB//hofP//srlR//lsrD//argO//rutC//fliA//
GlcC-Acetate	stpA//hofO//cheA//phnO//cysB//fhuB//udp//
GlcC-Glycolate	lldP//xylF//agaW//phoP//nrdA//tomB//bioC//
GlrR-Pasp56	speB//
IclR-pyruvate	mcaS//cysD//leuE//metC//
IdnR-5-ketogluconate	oppC//glnB//gatD//casE//mtr//csgA//cusR//speC//
IdnR-Idonate	comR//pheT//ilvE//moeA//lsrC//abgA//psiE//tcyJ//
IlvY-2-acetolactate	qseB//aceA//
IlvY-Alfa-acetohydroxybutirate	ilvI//hyfB//
IscR-[2Fe-2S]1+	lacA//marA//metC//tap//cydB//prpB//mutL//dps//ychO//fliA//lysP//cynX//uxaB//fadH//pdhR//tar//aroM//nuoE//cas2//folA//hisQ//nac//idnK//dppF//sufD//deoA//adhE//aspA//uhpT//csgG//xdhB//talA//aroM//fecC//tsaE//dps//purR//alaT//dctA//creC//alaT//
LldR-L-lactate	glpE//cysI//narX//
Lrp-Leucine	speB//ogt//sgbE//pyrD//dppC//phnE_2//fucU//uidA//gabT//prpE//hydN//tauB//fhlA//hyaF//trpC//map//purE//mdtD//torC//yojI//nagE//lpxB//gatY//ygaC//ulaD//ascF//fumA//ilvG_2//fdnG//rimP//sodA//glcC//argD//qseB//entS//nuoB//ampD//speC//ada//bioF//metC//bacA//hycG//malQ//fadA//agaW//gpsA//yrbL//chbF//hofM//hyfR//hcp//ygaC//evgS//xseA//astA//aspA//rprA//fecR//appB//fnr//glgA//lsrC//dadA//nrdF//betT//citC//cusF//yneM//alaU//fucK//caiF//ppiD//glgC//rrlC//murQ//aroH//dsdA//nagA//fdnG//glnA//rpoS//ftnB//phnE_1//gcvP//dcuS//melB//hyfI//sgbH//rplP//malQ//yrbL//uraA//metI//mlc//iclR//frdA//cas2//ccmC//hisQ//ynfF//garL//dnaN//katG//torR//cynX//
LsrR	ynfF//hflX//infC//cusS//ilvN//hyfB//dpiA//sroD//fdnG//
MalT-ADP-Maltotriose	fimG//araA//dmsB//glgA//nirD//rdoA//torD//nusA//casB//fucU//
MalT-Maltotriose-ATP	atoD//araH//puuB//astD//avtA//argH//gatB//phoE//gpmA//purL//
MelR-Melibiose	yqaE//ampD//hycC//
MetJ-S-adenosylmethionine	pdhR//yiaN//mhpF//rseC//sohB//pitB//yoaG//aspC//yfaE//lldP//fepG//fbaA//sxy//nikB//agaV//
MetR-L-homocysteine	xseA//chbB//gdhA//sucC//aldA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	glpR//hisQ//hydN//uhpA//fadD//fdnI//
MhpR-3HPP	lpxB//fdnI//aceA//avtA//agaA//argB//
MntR-Cd2+	folE//napF//yidQ//mtlA//xylB//
ModE-MoO42-	rrlH//mntP//yeaR//tar//glpQ//gltW//adhE//gatZ//dpiB//tsgA//fhuD//uhpB//hemL//folA//cvpA//hypD//ykgR//hdeB//cheB//moeB//rrfF//cheA//paaF//oppD//appX//deoA//fepC//ompF//spy//nuoL//ssrS//gpsA//napC//skp//uidA//fhuE//argB//mgrB//torD//glgB//sohB//hyfB//yiaN//dmsB//tap//nrdI//
NarL-Phosphorylated	rpsS//rutG//chbR//norV//nikC//hpt//argF//narJ//exbD//paaZ//livH//bcsB//deoC//melA//malY//bacA//ulaA//rutD//phoQ//hofN//motA//tehA//argG//asr//rpsR//casB//hisQ//yjeV//cysA//oxyR//hcr//trpL//dppC//narX//speC//sbcD//arcA//ivbL//glpC//sbmA//frdD//napH//hybA//uhpT//cydD//ppiA//cadA//argB//ompC//acrD//trpB//fhuB//hyfC//uof//znuA//lpxD//allE//tdcA//argA//cusR//idnT//sucA//glrR//emrK//ulaF//mhpB//gcd//nrdF//chbA//appB//baeR//rpsC//hyfB//rrlG//cydB//tar//cyoD//srlB//murQ//livJ//yjcH//fimA//lldD//mipA//spy//iraM//yfeW//cysJ//phnI//rrsD//pheT//ptsH//glpR//xylF//hflD//frc//marA//hyfG//rstA//casA//cyoA//oxyR//fimD//phnK//yeiL//tadA//cyoB//srlE//secB//torD//caiD//oppB//rpoE//aaeA//ompA//cyoB//hyfI//dppF//csgB//mdh//rbsK//hisQ//csiD//uxuB//baeS//
NarP-Phosphorylated	gpsA//mhpB//hycC//dadX//yiaN//rrfB//ssuA//dsbA//ubiG//deoA//hflX//hyaC//glrR//fimI//nuoH//nanT//deoD//dcuA//phnE_2//rpoH//sdhC//paaJ//cysN//ssuA//rrfD//ompA//csiE//gltV//ilvG_1//ybjG//csiD//yaeP//ompT//ykgR//manX//cydA//dsdC//phoE//deoC//metY//moaE//thrS//zwf//glnG//ompF//torA//cheB//uxaB//betT//manX//
NhaR-Na+	fixB//ilvD//hyfR//bioC//hyaD//gspJ//manY//
NikR-Cd2+	preT//epd//mhpC//aldA//rutB//phnH//
NikR-Co2+	malG//nuoH//chbG//ubiC//lacI//aaeA//
NikR-Cu2+	mhpA//ulaC//artQ//yhhY//pdhR//nrdF//
NikR-Ni2+	ulaC//aceK//micF//glpG//tadA//fimA//
NikR-Zn2+	ydbD//folA//hofB//qseB//ykgM//ygeH//
NrdR-ATP	glgS//lsrK//glnB//nrfD//fis//yebE//hyfB//yhhY//hybO//
NrdR-Zn2+	argH//pnp//ssuC//dgcZ//astA//pgaD//phnH//livH//arfB//
NrdR-dATP	rrfE//pyrD//phnN//hycB//melA//idnR//gltW//rrlE//nmpC//
NsrR-[2Fe-2S]reduced	artI//ileV//pitA//ada//lsrA//rplV//guaB//gspC//narQ//lsrR//ykgR//rnlA//nuoL//glnA//hypD//iraD//idnR//ulaD//hofP//dapD//gcvH//lysU//lacA//fhuA//glnK//lpxA//feaB//speC//prfA//ydeJ//yfeW//marB//cysK//gabP//nanC//aaeX//metK//lacA//araC//dctA//paaD//dnaA//lsrB//hyfB//hypE//argI//gntK//xylF//hyaF//motB//gspC//hypF//baeR//phoU//hofB//galM//nirB//argE//mtlA//fumB//manZ//torD//idnO//ada//kbaZ//hyaE//gpsA//mltC//nohA//znuB//aaeB//avtA//marB//
PhoB-Phosphorylated	rbsK//metA//fdnI//rrfE//manX//aceA//tomB//allE//rof//tyrP//garP//dppF//xylA//citX//serA//ygiA//cytR//uidC//nuoK//csgE//glcE//gyrA//tcyJ//tsaE//sdhD//glpT//sodB//puuD//yeaR//aroH//nrdG//truB//creA//entA//garR//nhaA//ahpF//deoC//melA//rutG//hyaA//feoA//speC//ydhX//hflK//mglB//caiE//gltW//hyfI//qseC//crr//cusR//yhfA//yggX//lsrD//rplI//yfdE//gnd//mdtC//mhpD//citF//
PhoP-Phosphorylated	dmsA//creB//oppF//secB//ilvD//glrR//icd//yfdE//sodB//frdA//upp//speC//fucK//glmY//sbcD//hcp//rrfA//azuC//glpR//dmsB//manX//agaW//fucO//fliZ//feaR//oxc//rutB//lsrA//tyrA//lsrD//sohB//xapB//yiaM//aroM//torR//glgC//sbcC//cysA//prs//pyrD//rrfH//caiB//nrdA//edd//fhuE//evgS//hypF//entH//hyfH//hha//yggX//phnL//trpR//patZ//aroG//proP//cspE//
PrpR-2-methylcitrate	spf//hyfH//cusF//rutE//uof//
PurR-Guanine	melB//ilvG_2//edd//cydC//hlyE//manY//narX//dcuR//nagE//ugpA//ilvM//entC//nhaA//garL//glnA//rpsC//dsbA//sufE//skp//ccmA//dsdX//sdhC//hdeA//gspI//uhpC//ycdZ//cvpA//ccmD//rnpB//bcsZ//rpoE//hflX//hdeD//cyoB//
PurR-Hypoxanthine	argR//aroL//nrdD//preT//galE//lsrG//phnM//hyfI//ubiG//argG//trg//phoH//tehB//pgpC//metJ//gcvT//entH//ulaF//hyfR//rhaB//phnF//aceA//acrB//tam//ssb//allE//rhaB//sdhA//marB//fbaA//casD//fadA//sbcC//gltA//
QseB-Phosphorylated	ppiD//fhuF//cusF//hofB//
RhaR-L-rhamnose	yrbL//cheR//
RhaS-L-rhamnose	bglB//lysO//metC//malX//proP//nagC//
RstA-Phosphorylated	phnJ//purL//katG//ppiD//glgP//metC//cydC//citC//alaA//zinT//
SoxR-[2Fe-2S]3+ oxydized	rplM//feoA//gcvT//tadA//
TorR-Phosphorylated	yegH//pstS//trpA//cheZ//allC//uvrA//sufB//paaK//hycB//gltV//
TrpR-Tryptophan	ycjX//lamB//ugpE//envY//infB//nrdB//fimF//glpT//ygbA//malG//ydhY//fiu//
TyrR-L-tryptophan	ilvM//araG//yhiD//gspK//creA//fnr//argO//casC//psd//betB//puuB//ulaA//frdC//acrF//
TyrR-Phenylalanine	ugpB//creD//glrR//cyoB//nikR//tdh//citC//manA//rseA//cysC//cstA//ydhU//ugpQ//cyoD//
TyrR-Tyrosine	fliA//nanA//rybA//gpmA//tnaA//glcB//malM//tdcF//gpmA//tdcC//ygiA//moaE//gspL//purE//
UhpA-Phosphorylated	chbR//
XapR-xanthosine	safA//cysP//
XylR-Xylose	cusA//fau//fumB//ampD//phnE_1//mltC//
ZntR-Cd2+	cusB//
ZntR-Hg	phoU//
ZntR-Zn2+	ivbL//
ZraR-Phosphorylated	waaH//ndh//ahpF//
Zur-Zn2+	cysH//fumB//rplD//rplB//chiP//exbB//
