#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	qseC//lsrB//caiT//modB//
CueR-Cu+	tdcD//gutM//rrsD//dppA//kbl//acnA//sdhC//
CuerR-Au	araA//rplS//pheT//glnG//rseB//proP//purM//
CusR-Pasp	lsrC//malE//emrY//baeS//mipA//lsrG//malM//nagA//gabT//fecB//hdeA//hdeD//
CynR-Cyanate	fecR//hyfJ//rnhB//gutM//
CysB-N-acetyl-L-serine	glnB//ysgA//astB//nmpC//yeiL//yjeV//moaC//caiB//ykgO//rrlA//puuR//gspJ//cusR//zinT//hycF//glcB//rplV//yoaG//purA//hyfR//lysC//cysC//copA//phnI//psiE//csgA//amn//hlyE//rrfD//phoQ//
CysB-O-acetyl-L-serine	ssuA//yecR//argE//ccmC//nupC//psd//ompX//mntH//baeS//yjcH//tauA//nuoF//lldR//tdh//fes//nanT//moaC//folA//phnF//stpA//mipA//ilvN//metQ//aroP//araD//rplM//ydhV//nhaA//uvrA//cyoE//idnT//
DcuR-Phosphorylated	appA//nikA//ynfG//entA//yeaR//fepG//fecI//hpt//znuA//
DnaA-ATP	crp//ung//yhfA//paaD//hflX//lsrF//rplM//uof//mutL//ydfN//citX//ynfK//
DpiA-Pasp	rrlA//araG//acrD//yeiL//caiC//glnD//gatB//gspL//lpxB//rutF//yhhY//
DsdC-D-serine	fadD//preT//pitB//
EvgA-Phosphorylated	pepT//xylR//hydN//rseC//cydA//glpG//ilvB//fucI//ileV//gspE//pgaC//tfaQ//rseB//ahpF//phnG//
FNR-[4Fe-4S]2+ reduced	tehA//rstA//nuoI//gspM//xylB//tdcD//fucK//katE//dsdX//alkA//priB//malE//bioD//deoC//sbmA//sbmC//tonB//evgS//hybF//garK//puuC//yfiP//ydhV//rrsE//narG//nfuA//uxuA//cydD//malS//ompR//entE//treC//acnA//dkgB//rseA//livM//uidA//gntX//caiC//ykgM//rrsC//artQ//efeU_2//phnO//mscM//csgE//fhuB//ychO//fadA//ompA//tyrA//sohB//zraR//frdD//nlpE//ccmE//fimE//paaB//napH//acrA//gntT//narQ//dppD//yqjH//tauA//nirB//bioB//pitB//nrfA//yfaE//csgF//fhlA//amiB//artJ//tauB//yeiB//entE//puuD//deoD//rnpB//gatC//cytR//uxuB//phnM//znuC//leuE//araD//gltW//entA//rnhB//nikC//dpiB//bcsA//nrdB//artI//rpsI//nuoK//argT//erpA//betB//infB//eda//aspC//glnK//norV//dmsB//pstS//manA//cysA//betT//serC//rrsE//argR//ysgA//glnG//nikB//oxc//focB//lsrF//dapD//yfiP//envY//gatC//kbaZ//tomB//hybF//gabD//rcnB//cusA//hha//manY//cheA//ulaE//ydiU//phnD//fadL//hisM//rnlA//phoQ//fiu//creB//hyfJ//rimP//ompC//torR//hisM//ydeJ//cpxR//mglC//agaV//bioA//abgT//hybC//znuC//pta//yiaO//gcd//tdh//sohB//yjeF//idnT//pta//rnlB//fimI//cydC//purR//glpC//cyoC//nlpD//cheA//malQ//paaD//agaV//fadL//dpiB//galP//talA//cyaA//miaA//phnC//gatY//appX//metL//rplB//bioA//malY//yebE//ppiD//metK//aceK//uidC//dnaN//fucO//ykgO//ompW//dcuR//malP//mhpB//cheY//recF//metL//torC//nrdA//waaH//dapB//lysP//citC//ilvA//tcyJ//ydeO//ansB//lacI//mhpD//sufC//frdB//dcuR//nrdF//dppD//cbl//cstA//gatB//ccmE//dcuC//rpsJ//cysA//prpR//xylG//glpF//cynX//fimD//yiaK//glgB//entD//glpC//dmsC//ulaF//frc//micF//gntP//narJ//tyrP//fliA//oppF//abgA//garL//focA//yqjH//lsrR//csgA//nfuA//atoD//csgA//crp//nrfD//iclR//nadC//ndh//gadB//casB//hyaE//gatY//mhpC//iscS//gntR//gltT//trpC//trpB//fabZ//fhuB//rbsD//glcE//rrfD//aidB//dmsD//yiaJ//idnO//prpB//raiA//moaD//hupA//appX//tauC//exbD//ulaF//oppF//metQ//feoA//nfuA//feoA//folA//astA//hofC//ydhX//nrdA//yoaC//caiE//nhaA//gatB//alaT//pitB//fimA//ispE//purF//ftnB//nrdI//
FhlA-Formate	hycA//deoA//ilvA//cadA//hyfJ//prpB//carA//bdcA//rseC//ascF//araC//hyfG//lldR//paaF//cyoD//nuoL//bglF//aroM//hyfG//nanT//efeU_2//yhjC//rutE//entC//yfeW//phnE_1//feaB//tyrR//gcvH//tdcE//
FucR-L-fuculose-1-phosphate	livG//tehA//tktB//pgaB//fucK//citC//gspG//
Fur-Fe2+	galM//hypD//rseA//glpT//sdhA//torR//argH//lacI//argE//glgA//ispE//grxD//ybfN//marR//tdcB//ampE//hybE//paaB//slt//map//marA//rdoA//focB//aspC//astE//tsr//ydeP//lsrC//chbA//ulaE//mutL//ilvY//ycjF//sxy//nupG//aceE//cyaR//entE//bcsC//nupG//nhaA//yqjA//creA//feaB//ubiG//tdcF//ilvE//hybD//srlE//ynfK//cyaA//rrfD//phoU//yjjZ//codB//mhpD//ubiA//malT//phnH//focA//ynfK//cyoC//carA//tam//glcC//fdnG//degP//prmC//glmY//livH//trxA//hisJ//yfiP//gltV//uof//dcuS//baeS//aroA//phnH//trpL//gapA//rutE//hflX//lsrR//zntA//pnp//bcsZ//mtlD//lamB//acnA//envZ//trpE//argG//rplI//hycA//glnA//gutM//citG//glpK//pepT//idnO//rdoA//melA//rpmI//rrfC//fecR//hemL//lysO//ebgA//fnrS//purB//glgA//cysW//gatB//ydhW//mdh//tomB//ftnB//lsrC//dcuB//lacA//narH//ytfE//araJ//yiaM//oppC//bacA//ulaD//nanA//appB//ychO//dsdX//mdtB//yaeQ//adhE//mdtC//hyaA//pgaC//yfdV//csgE//
Fur-Mn2+	skp//glgA//dsdC//trmD//pdeF//putP//gpsA//rybB//glcA//phnC//znuA//gspG//yiaM//metB//mntP//glcE//tdcG//cueO//dmsB//hybB//preA//ytfE//nupG//ygeH//tehB//hofO//manX//gcd//glgA//nirD//ugpC//oppB//infC//fadJ//fepD//patZ//dapD//napH//rpoS//lysA//ccmD//livM//atoA//glcA//talA//gntR//rrsH//moaB//hycI//cusF//crp//bcsZ//rplI//appY//lamB//cadA//deoC//ilvD//cynS//gntP//pgpC//ulaF//zntA//marA//lysU//cusS//glpR//pstC//fdnG//rstB//ydeM//lamB//yiaL//ilvN//mntH//purB//hofM//rbsA//nhaA//evgA//glgC//glcB//yhiD//rplW//cydA//hybE//ugpE//acs//rpsI//ybiT//rplS//rplT//hisQ//cytR//cysJ//glgC//nirB//glpA//fucA//srlE//nac//frdB//dcuD//ydhV//mpl//alaA//yjeF//erpA//rutG//csgD//glgC//nlpE//entD//xapB//tdcA//ycdZ//idnO//gcvP//lpd//hyfE//alaS//araH//cas1//cas1//ydeN//torC//glgB//oppD//mhpR//dpiA//citX//betA//aspA//ydiU//narL//katE//hybO//hpt//fabZ//cynT//
GlcC-Acetate	proP//allC//tauA//nusA//patZ//glpG//prs//
GlcC-Glycolate	waaH//yfbR//hycG//purM//lacA//hycB//nuoN//
GlrR-Pasp56	ykgO//
IclR-pyruvate	talA//mdtB//malF//aroM//
IdnR-5-ketogluconate	ydiU//nlpE//tehA//hybA//treC//appC//trg//ompW//
IdnR-Idonate	metK//fdhF//csiD//ybfN//phoE//efeU_2//gabD//nuoL//
IlvY-2-acetolactate	araA//moaB//
IlvY-Alfa-acetohydroxybutirate	fbaA//rrlA//
IscR-[2Fe-2S]1+	nuoF//moaD//znuA//mhpT//fimI//pgaA//livJ//znuA//fadE//appX//nusA//guaA//comR//fimI//bioC//ydeM//puuB//livJ//comR//fecE//idnK//araB//citG//tam//entB//prfA//rplS//agaW//ompA//nuoM//fepG//cysU//ygeH//fau//ubiX//fdnH//psiE//skp//marA//sucD//ccmG//
LldR-L-lactate	fadE//fadJ//chbG//
Lrp-Leucine	serC//yjiY//fliA//glnK//gspF//fliA//zraP//adhE//xdhC//rimM//lysC//ebgA//hofN//hpt//yeiL//rbfA//csgF//rpsC//agaA//pta//pgaB//ydiU//tdcG//rrsB//mhpD//ahpC//paaF//fepE//xylB//glyA//ilvN//nac//mhpB//acnB//tomB//gspD//ldtC//glpA//nanM//mgtA//hybG//narI//hyaA//gcvT//alaA//uraA//yfdE//dppF//rpsJ//torD//gspO//ybdZ//lysO//rcnB//ugpA//paaG//rplT//ydhU//gltU//casC//rbsA//arcA//dmsC//glpF//idnK//moeA//lsrA//nuoM//agaV//yaeP//rrlH//tomB//nagB//trpE//phnF//glcG//paaI//tdcC//aroL//yiaM//cvpA//artM//yfdE//aroG//gltD//dcuA//allC//fepB//mtlA//nagC//alaU//dpiB//uxaB//paaI//sdhD//xylA//gspI//gspF//iscA//aaeX//thrV//yidQ//napH//hycC//rplI//hisQ//
LsrR	prmC//cusC//dapB//folA//moaB//arcZ//livF//fecB//uxaA//
MalT-ADP-Maltotriose	ilvL//malI//tdcB//hycG//psiF//soxR//sucD//lpxA//phnK//bamA//
MalT-Maltotriose-ATP	ilvG_1//hyfJ//guaB//psiE//rpoH//ykgR//nrdE//bdcA//malT//argP//
MelR-Melibiose	trpE//metL//ulaD//
MetJ-S-adenosylmethionine	yfeW//gatZ//znuB//ilvX//zraR//gabP//phnP//dsdA//yhjC//fadL//ugpC//artQ//metC//hyfC//dpiB//
MetR-L-homocysteine	tdcE//dadX//nuoH//hmp//fixA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	srlR//araG//fdnG//rrfB//pepT//uhpC//
MhpR-3HPP	casD//hypD//spf//iraD//rnlA//lpxA//
MntR-Cd2+	gltT//mhpA//gabT//yaiW//lsrF//
ModE-MoO42-	malT//rpmC//yiaN//nrfB//cheW//glpF//ftnA//hofM//csiE//gltD//xylB//hofP//glpE//aceE//adiC//ppdD//glnA//rnlA//xseA//nrdI//aspA//ileV//mgtL//ilvD//yiaL//citG//fimF//mntP//tsr//atoA//fadD//srlB//fecR//narK//cpxR//rhaT//fadB//hypB//fhuD//nlpE//fixX//sdhD//ulaE//caiE//yjeF//yecR//
NarL-Phosphorylated	mtlR//gltF//phoQ//tsx//fimA//napA//glnG//oxc//nrfG//ileV//grpE//bcsZ//cyoE//ydiU//gabD//feaR//degP//phoB//yibN//evgS//argD//gatD//ugpQ//cysJ//glcF//fixB//uxaC//rbsR//casA//acrB//sbmA//pstS//rrsG//oppD//ycdZ//tdcA//soxS//gltA//frdB//cas2//gcd//trpD//hslJ//deoD//ileT//yhjC//nuoL//rrfG//rrlH//puuA//metE//pitB//cysC//cra//yiaM//phoU//serA//cysK//cyoA//deoA//rpsF//rpsR//livM//rnlB//rpoS//ydfN//aceK//rimP//lsrB//glnA//umpH//puuB//erpA//rpsP//tdcD//nhaA//dppD//grxC//rnlA//tfaQ//ung//yeiB//mdh//hyaC//prpD//malP//trpB//chbG//astD//znuC//cyoE//yfdE//trpD//phoU//moeB//sbmC//dusB//gltW//hyfR//cpxR//phnE_2//bcsZ//rmf//atoB//gntX//rrlE//nohA//fimD//acrB//fliA//livG//allC//cydB//rseC//hyfH//ampE//phoA//agaV//bcsZ//rybA//tdcF//grxC//map//cysB//tolC//
NarP-Phosphorylated	casB//sxy//ascF//oppA//ydhV//trpC//yfeW//prpD//atoD//qseC//bioD//ydfN//fdhF//gntT//osmC//yjjZ//gltW//caiB//nuoI//cadB//avtA//mpl//ilvI//ynfF//rpsQ//dnaN//xapA//gatC//araF//pitA//rrlA//bglB//ilvY//yhiD//gspL//garR//mdtB//fbaA//creD//exbD//ebgA//ynfF//mhpR//fhlA//znuB//hypE//chbC//yeaR//sbcD//map//
NhaR-Na+	cpxR//glgC//lpxD//pgk//nrdD//cydA//hisQ//
NikR-Cd2+	fdhF//hisP//tnaA//avtA//paaE//rpsF//
NikR-Co2+	mtlA//manA//paaG//casE//rnhB//glpT//
NikR-Cu2+	mhpT//hyfD//ygbA//oppB//treB//rrsD//
NikR-Ni2+	exbD//ampD//gadB//malI//galM//yegH//
NikR-Zn2+	ssuE//rmf//phoR//crr//xylG//dcuA//
NrdR-ATP	moeB//ubiA//ispE//rseC//glcD//paaB//acnB//tsr//pyrD//
NrdR-Zn2+	xdhA//pagP//dnaA//argH//purF//nusA//treB//rbsA//gspL//
NrdR-dATP	rseC//miaA//rmf//sdaA//purH//nrfC//aroM//caiT//malM//
NsrR-[2Fe-2S]reduced	guaB//cysB//puuB//nrdI//tsr//hybA//cspE//tsr//ebgA//ilvL//nmpC//paaZ//citX//rpsO//pyrC//torC//cysW//astC//fepG//moeA//csgA//creA//rrsC//adiC//lpxD//ynfF//rpmI//fdnI//znuB//leuE//bcsB//sufA//galK//hycI//pheT//xylH//bcsB//carA//xapB//cyoE//tsx//lamB//tomB//rrfG//lyxK//tyrA//edd//mhpT//ynfH//frc//tnaB//caiB//fdnG//nrfG//tolC//uxuR//ompX//lpd//mtlA//rhaA//gabT//hybB//soxR//alkB//hyfG//casD//hybC//rstA//argI//narQ//crl//rseA//slt//
PhoB-Phosphorylated	uxaA//ubiC//ygeH//puuE//ogt//entA//betB//malI//yhiD//nagC//nrfA//bamA//grxC//tsr//yfeW//xylB//yfiP//hdeD//cusC//glcF//qseB//yojI//yaiA//uidC//hyfC//nuoI//nuoN//glcB//baeS//cueO//fimG//frc//ilvX//rplM//tadA//hyfC//fixX//entS//pitB//gntT//ydeM//gntR//yfiP//lsrD//gcvP//malE//comR//fnr//tsx//uxaC//nirD//yfiP//paaK//edd//yaiW//rrlG//gcd//fliA//dmsA//cadB//idnR//
PhoP-Phosphorylated	ydhY//mhpC//srlB//napH//aspC//dppB//nrfD//tcyJ//lldR//gntP//yeaD//nuoK//idnT//aroG//gltU//paaC//cysI//araC//puuA//rbsB//napG//frdA//nikR//bcsC//cysW//bamE//araD//ilvI//rpsJ//aroF//pncB//yeiP//znuB//lldP//idnT//xylF//rpsR//yfaE//aspC//yhiD//yfaE//rrfA//nrfG//rrsA//fhuA//mutY//moaE//murP//atoD//envZ//argF//ydeJ//emrK//pstA//cirA//rrsC//cdd//
PrpR-2-methylcitrate	puuR//hybO//cyaA//glcB//hemA//
PurR-Guanine	borD//ascF//fecC//iraD//uxuR//xdhB//mpl//trxA//fadH//bioD//rplS//narI//aroG//dcuS//srlA//nuoG//ebgA//hyfD//glpF//fepE//hofC//carB//mdh//galE//malG//ssuD//ilvG_2//fhuF//livH//fucU//hyaF//gspC//ivbL//artP//
PurR-Hypoxanthine	ccmA//xapA//ydeM//glpB//hcp//ydhX//ung//paaJ//garP//patZ//glnL//casE//xdhC//purA//lsrB//paaF//ybiT//yeaD//rseC//yiaJ//argR//uraA//moeA//nrdD//lolB//mntS//metK//arcA//baeS//dnaN//ygiA//metY//sgbU//appA//
QseB-Phosphorylated	yhcH//fucI//kbl//gatD//
RhaR-L-rhamnose	preA//nusA//
RhaS-L-rhamnose	moaB//uhpB//yfbR//dpiA//iscR//ivbL//
RstA-Phosphorylated	thrS//acrA//zntA//paaH//nrfG//yoaC//galK//cusR//cstA//gspG//
SoxR-[2Fe-2S]3+ oxydized	hdeA//iscR//phnE_2//srlD//
TorR-Phosphorylated	modA//hofC//purB//nuoE//micF//sucA//rutC//rplC//efeU_1//flhC//
TrpR-Tryptophan	flhC//gltB//katE//artJ//gntK//ilvG_1//gnd//citG//tdcF//xseA//phoH//paaJ//
TyrR-L-tryptophan	purB//yeaD//metA//gspE//fdnI//gspJ//tyrB//thrV//argP//nrdH//nrdE//hofC//phnI//nikC//
TyrR-Phenylalanine	tap//bioA//cas1//srlA//appB//exbD//nrdI//lacZ//dnaN//lsrG//oppA//cheZ//dnaA//fadA//
TyrR-Tyrosine	slt//pheS//modA//degP//sbcC//aceF//lsrB//araH//hisM//cysP//ybiT//napC//trpL//sufA//
UhpA-Phosphorylated	rpmI//
XapR-xanthosine	hyaC//araF//
XylR-Xylose	cysB//ubiG//fhuD//cusA//mdtC//mutL//
ZntR-Cd2+	cra//
ZntR-Hg	atoD//
ZntR-Zn2+	znuA//
ZraR-Phosphorylated	exuT//mntS//fecC//
Zur-Zn2+	citF//crl//yhjC//hycC//hyfJ//pncB//
