#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	gltB//cysN//yhcH//fadJ//
ChbR-Monoacetylchitobiose-6P	rrsC//uhpB//yggX//fepE//hybC//tsaE//
CpxR-Phosphorylated	cusA//yqjH//stpA//oxyR//hycE//ygiA//cusR//gspL//uidC//nikE//mdtC//ynfG//deoA//nikB//grxC//ycdZ//ispE//casC//fimI//soxS//yidQ//xylH//yjeV//pheT//crp//lpxB//bamA//uxaC//fadE//ilvE//torR//ccmE//lsrG//tsaE//dpiB//tsx//yiaN//gltD//trxA//nrdE//fucU//hybA//rrlG//hycI//amiB//malQ//moaD//soxS//rpsF//exbB//ilvN//hybD//hofN//rpsI//gatY//eda//gltA//purR//mutL//cueO//mdh//ryhB//rimP//patZ//ssuD//fimI//yjeF//paaI//rpsF//
CreB-Phosphorylated	psiE//gspI//cydA//rplT//rstA//fucR//ftnA//dkgB//mglA//
CueR-Ag	fhuF//malM//gntR//phoB//nuoM//epd//argC//
CueR-Cu+	rrfE//sbcC//yfbR//araF//phnN//chbC//dppD//
CuerR-Au	gltD//ychH//folE//yhcH//serA//cydD//cysP//
CusR-Pasp	fhuB//entA//xdhA//rnlA//rrlB//tyrP//narI//fdnH//rbfA//bioA//abgB//manX//
CynR-Cyanate	galP//cpxR//crp//rrfA//
CysB-N-acetyl-L-serine	dsdX//argO//hslJ//hofB//manX//rnlA//purM//serA//pgk//aaeB//rseB//hyaB//tonB//bglG//fnrS//mgtL//ompX//ispE//fadI//hycA//yeaR//fimI//paaD//acs//yeiB//tsaE//yidQ//cheZ//cydC//fecR//
CysB-O-acetyl-L-serine	pdhR//tehB//cydD//ulaE//hyfF//acrB//thrV//uhpA//dmsD//yhjA//hybA//nuoL//cheB//hycI//speC//narQ//waaH//entE//cra//aroG//puuP//acrF//uhpT//yfaE//hyfJ//aceB//glnK//fepE//mhpE//lsrG//emrY//
DcuR-Phosphorylated	caiC//hyfA//gatA//nrfB//mgrB//puuA//gpmA//alaT//mhpR//
DnaA-ATP	yjjZ//ebgA//feoA//ulaA//lolB//bioC//napG//sufD//pta//ilvI//mdtB//narX//
DpiA-Pasp	argB//rpsJ//entC//tnaA//stpA//tnaB//rbsC//gatA//garL//prmC//rrfF//
DsdC-D-serine	astC//uhpT//marB//
EvgA-Phosphorylated	livM//acrF//cysH//rplV//rplM//uxuB//fucO//flhD//ycdZ//micF//ilvN//aidB//tdcB//sbmA//gspJ//
FNR-[4Fe-4S]2+ reduced	ldtC//purB//ykgM//yrbL//gspH//fadL//xylG//ilvY//phoP//gatZ//fabZ//cheY//ackA//paaI//ptsG//soxR//sodB//fumA//metH//ileU//glpQ//melA//abgT//rutA//hyaE//narG//ampE//rutF//narX//ileV//trpD//feaB//rof//raiA//argB//actP//rutB//yhhY//modC//argB//fixC//cusR//mutY//mutL//iscR//bdcA//udp//ebgC//fepB//yeaD//fimI//modC//yhjA//artJ//phnM//pyrC//pnp//torD//sgbH//tauC//dcuS//erpA//cynR//fecE//moaB//ubiC//phnI//gspD//metB//cas2//araB//nfuA//cheZ//nadC//dsdA//nuoF//ldtB//uxuR//hyfA//ugpE//argP//sufA//metL//malM//sgbE//ytfE//fumA//rstB//zntA//flhD//hyfA//glgP//fnr//nupC//idnR//gapA//fimF//ompX//malT//mgtL//dadX//cusB//malE//cdd//sdhD//cdd//gltD//marB//phnN//pflB//zraS//yqjH//tpx//cusF//feaB//fepG//rpsR//nuoI//hofO//feaR//phoB//cynR//rdoA//ydeJ//zraP//pgaD//fadD//mglA//mgtL//sdhB//pgpC//ccmF//metY//ccmE//tnaC//ydhV//torC//napD//ydeP//pstC//ydhY//cheY//hycG//cynS//idnK//hyfC//gatB//arcA//nanC//astD//rimP//grcA//cspD//xdhC//ndh//cydD//manX//malP//ilvI//metE//torR//yccA//ilvG_2//paaJ//ugpE//glpK//yfbR//pnp//dcuD//yiaO//pgaC//chbR//csgA//cysU//yfdV//glrR//tnaB//soxR//lldD//baeR//rpsQ//purE//ilvC//nagB//dppC//glpR//fixA//dapD//sodB//fhuB//fnr//mhpR//cusB//glnA//ygaC//cysN//soxS//baeS//gatZ//chbC//fecI//bamA//gutM//dppA//ccmA//fepE//argO//cusR//argD//lacA//glpC//uidB//ccmF//sdaA//gadC//srlD//fdhF//astB//tadA//trxA//tadA//lysU//tdcF//ccmC//galT//aceA//nlpE//emrY//trpC//znuA//gadB//sufC//atoB//tsgA//bglF//araG//dcuR//stpA//rpoS//acrA//ydhW//ascB//fumA//yqjH//asr//acs//xylA//yrbL//puuC//ssuC//prpC//caiC//ydfH//gpsA//preA//pyrC//rpmC//melA//astC//treR//metF//glcA//ilvM//betB//gyrA//csgD//lldD//hemA//hyfA//deoD//phoU//yaeQ//xylH//cysW//efeU_1//zraS//cheY//tdcB//gatZ//ulaF//rnhB//astC//tdcB//hflC//entE//cysN//tdcE//rrfH//ompF//frdA//ogt//hybG//trpA//ydiU//polA//lhgO//cra//mgrR//cas1//fixB//motA//ykgO//malK//paaG//yhjC//
FhlA-Formate	fhuF//bcsA//hofB//nrdA//entH//ynfH//yeaR//rrfE//appC//uof//nuoH//malK//sufC//waaH//hyfJ//yiaJ//speB//srlB//spf//dcuR//rbsC//aaeB//paaB//dmsA//fecD//casE//atoA//yojI//mhpB//rpoE//
FucR-L-fuculose-1-phosphate	rnpB//lhgO//mglB//lsrR//ilvE//glmY//ydhV//
Fur-Fe2+	abgB//hisM//feoA//cusA//phoE//ssuA//ppiD//tnaB//trpE//zraS//ygeA//malE//narL//cirA//pflB//marR//uhpB//guaA//aceF//miaA//nlpD//entF//dmsB//acrE//hslJ//srlA//pgpC//nrdF//ilvH//rplW//glcE//araA//agaW//nuoJ//hflK//pheT//lacY//hypA//napD//fimA//hofB//argR//fixA//lysP//argA//rof//tehB//casD//caiB//citF//aroA//rof//yeiP//glrR//fucR//dmsA//entB//pck//phnD//hyfH//phoP//mscM//bglF//rybB//metA//fnr//feaB//ydeP//erpA//araE//cydB//sdhA//arcA//ybfN//csgB//araJ//fabZ//hyfH//mtlA//mzrA//hflX//pagP//norW//fimC//grxC//entB//nrdH//rnlB//tpx//lpxB//rpsS//dcuD//nuoI//glgP//gutQ//zraS//malS//focB//phoE//livG//fumB//ybdZ//chbC//feaB//ydiU//ulaB//appA//efeU_1//rplW//sxy//lrp//lsrC//uof//casA//gspK//nanE//glmY//entB//ybdZ//gspF//ulaD//srlA//infC//pheT//fecC//ogt//ulaC//rrsE//hflX//idnR//copA//nusA//gspI//bioD//caiB//uhpA//phoH//glyA//uidC//allD//
Fur-Mn2+	tap//feaR//mzrA//galM//bioD//lsrF//hybE//ubiA//evgA//mhpT//cspE//pta//lacZ//appA//murP//mhpE//dadA//metF//acnA//ileV//rhaB//tomB//rpmC//cyaA//hupA//iraM//argT//yfaE//exbB//tap//agaW//artQ//ilvL//hycC//nanS//glpK//xylG//soxS//yfaE//ccmF//yqjA//alkA//phnI//hyfH//xylF//lpd//sodB//thrS//nuoC//cas1//prpC//hlyE//agp//hycC//xdhC//ccmH//sgbU//paaG//nrdH//hybA//aceE//phnO//yaeP//dcuD//gatA//galE//hycE//purN//uvrA//pheT//rstB//garR//cheW//caiE//sucB//casE//pgaB//araG//hycC//ssuD//atoE//cusB//katG//mglC//dmsA//tdcF//nohA//yhiD//yibN//hydN//rimM//abgA//glpX//cusB//glpC//polA//carB//sufD//metC//yciW//dadA//crl//creC//fhuC//lysA//adiC//rpsO//nirB//exbB//yaiW//yfaE//cysN//ccmH//fdnG//ybfN//metH//yfdV//ynfK//aceF//metL//umpH//umpH//hcr//glmY//rrlH//carA//astB//cydB//purR//lhgO//aceA//pdeF//hflC//puuB//fhuA//fadI//lpd//phnG//rseB//hcr//
GlcC-Acetate	pck//fur//glpB//exuT//sucC//abgB//ompR//
GlcC-Glycolate	crr//cusB//mutL//ydiU//ygiA//rrfC//hisJ//
GlrR-Pasp56	ychO//
IclR-pyruvate	tyrR//glpD//hmp//glrR//
IdnR-5-ketogluconate	nagC//napA//rrsH//zraS//mhpB//galK//tdcE//lsrF//
IdnR-Idonate	glpQ//moeB//glgP//sufD//aceF//arcZ//caiC//fhuE//
IlvY-2-acetolactate	yaeQ//gcd//
IlvY-Alfa-acetohydroxybutirate	infB//hofC//
IscR-[2Fe-2S]1+	copA//yccA//rutA//atoD//rybB//napB//uhpB//mdtA//ppiA//paaC//aaeX//dcuS//ydhX//puuA//tdcE//gcd//acrE//fixX//entH//fimE//pitA//sbmC//hybB//rplW//truB//rhaR//glpD//fadD//gatZ//folE//yfaE//bacA//cheW//katG//paaD//fecE//glgP//hpt//yfbR//paaA//dapD//
LldR-L-lactate	fecI//garR//hupA//
Lrp-Leucine	serA//caiF//nuoE//galM//yhiD//argT//ilvE//entD//ycdZ//pgpC//carB//lysC//cstA//evgS//cysH//bhsA//fhuC//feoC//hybE//araG//deoD//araB//nlpD//slyB//mcaS//secB//yiaO//malP//phnF//marR//cpdB//cynT//cvpA//hofN//rcnB//borD//rnhB//ulaD//ychH//dnaA//pstB//rutE//bglG//mpl//dmsC//sufB//ybjG//malY//gcd//puuD//yqjH//polA//fdnH//fadJ//rrlE//ompW//glgP//mhpB//yaiW//motB//phoU//yfaE//sucC//ubiC//nagB//hslJ//melA//hyfC//qseC//rybA//ilvI//yjjZ//malY//gltT//ilvA//fucO//ssuC//ssuE//yeaD//gadB//codB//hybO//hyaC//rbsA//puuC//sufC//polA//nrfC//csgE//nanC//nadC//cusA//cyoB//caiC//ompT//mtlA//nrfG//nuoH//hyfJ//gltA//ptsI//ulaA//hdeB//hycF//ompR//nuoJ//
LsrR	livM//hyfJ//ubiC//cyaR//gspM//rstA//rpoS//nuoL//cynS//
MalT-ADP-Maltotriose	dppB//tauD//tdcB//betA//citD//aceE//trg//napA//hofP//livF//
MalT-Maltotriose-ATP	mntH//cusR//purA//ugpA//katE//hpt//tdcD//fumC//moeB//xdhA//
MelR-Melibiose	frc//thrS//hypC//
MetJ-S-adenosylmethionine	dcuB//nac//entC//malK//agaW//metK//fhlA//iraD//argG//yggX//hofM//upp//dcuC//phnI//efeU_2//
MetR-L-homocysteine	aroP//galS//ygeA//lsrA//folA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	citE//rnpB//fepE//ydeJ//mgtA//glpB//
MhpR-3HPP	hycH//fimC//puuB//hdeD//psd//aroM//
MntR-Cd2+	cydA//pck//acrD//oppC//cvpA//
ModE-MoO42-	bcsB//araB//argR//modA//uidA//frdD//flhD//astA//sufD//tyrP//ydfN//prpR//rrlD//argC//ubiC//glpK//ackA//tsaE//nohA//ygiB//moaA//hdeD//glcE//glnK//rpmC//prpR//acs//ogt//sdhC//fimH//garL//nagB//nuoN//hybB//speB//rbsA//ccmG//csgC//fhuC//cbl//ppiA//ppiA//cysN//prpB//metN//ycdZ//
NarL-Phosphorylated	cra//argO//dctA//umpH//ydfH//phnE_1//tdcF//ygiA//glgA//frc//argO//rpoH//bioB//icd//ilvM//bcsA//tsaE//ndh//ugpB//hcp//aceE//tyrA//rpsF//hycI//glgB//znuB//phnK//entH//fabZ//gltD//gcd//mntP//malS//fadB//fliZ//iscU//lsrB//argA//ydhV//metR//preA//livH//exbD//spf//hycB//fhuA//ihfA//ccmE//nanS//artI//flhD//flhC//rplM//speB//yggX//hycF//gutM//pgpC//qseB//baeR//acrF//lsrF//rbsD//manX//phoP//tehB//glgB//thrV//rnlA//argD//ccmB//katG//mntS//ilvG_2//lldP//lpxD//sbcC//mgrR//manY//uvrA//metI//ykgM//rnlB//entC//fdnH//gdhA//tdcD//yoaC//araC//cysN//cheR//fucI//hcp//ybiT//gntT//glmY//phoB//fhuE//rplW//ccmE//uxuR//dnaE//cyoD//sgbE//gntP//betA//ssuE//narG//uxuB//copA//csgB//yecR//idnO//sodB//argE//moeB//tyrA//nrdH//tsr//fadI//glpG//metA//pta//livG//sbmA//
NarP-Phosphorylated	torC//lysA//rutG//fixX//nfuA//csiE//csgB//sgbH//cusS//gabP//metI//napF//dsdA//aroP//mgrB//glgB//yebE//xylH//nikC//mgtA//cysN//rpsP//mtlD//ilvY//iclR//nuoL//ssb//fhuF//cydA//fiu//frc//yeaR//chbA//phoU//gatY//ulaE//fecC//gatZ//ydhX//ccmD//ydhW//crr//trpR//nuoK//glcF//rpsC//ydhU//trpD//cysN//yiaO//
NhaR-Na+	paaH//iscU//glgC//mntS//alkA//glcE//argP//
NikR-Cd2+	truB//ubiX//aroH//phnL//uidA//tdcB//
NikR-Co2+	metJ//thrV//tnaA//pgaC//paaC//creD//
NikR-Cu2+	dppA//modA//qseB//xdhB//tsx//yeaR//
NikR-Ni2+	rpsI//trxA//nanC//trg//hybA//spf//
NikR-Zn2+	fimA//cdd//nikA//csgG//cysM//malK//
NrdR-ATP	fucI//fucA//zraR//rrsH//fecD//exbB//cydD//malZ//caiF//
NrdR-Zn2+	lysA//fadE//hyfR//rhaT//rbsD//ubiX//aldB//moeA//allE//
NrdR-dATP	csgA//chbC//caiF//ftnA//mhpT//ilvB//sucD//sdhA//ebgA//
NsrR-[2Fe-2S]reduced	xylF//speA//argT//rrsE//folA//mglA//uxuR//rrsH//codB//ydbD//iraD//caiC//infB//iscS//ugpC//fadB//hybC//fimD//livK//dppC//glnA//yrbL//rplM//rpsR//gltD//yhjA//purF//mipA//livG//uhpB//ssuD//nrdE//cynS//hybD//fadL//epd//cysW//glpK//yqjI//nhaA//raiA//raiA//grxD//cysC//rplS//yfdE//nlpE//tyrR//xdhB//uidA//betB//ydhU//acnA//hyaC//tdcG//fepG//mglC//betT//appY//cvpA//idnT//malS//ssuC//deoB//murQ//dcuD//pagP//motB//fdnG//cysK//nanK//bioA//cpxA//
PhoB-Phosphorylated	purD//artJ//znuB//nrfD//pheM//glcE//ytfE//dsdA//fimD//marA//cysC//fhuD//pncB//nohA//yjjZ//dnaE//motB//argI//manZ//uidB//argA//ycjX//rrfA//tsr//glnA//malQ//hybG//gcvP//puuD//rrsG//carB//mlc//ptsG//caiD//treR//epd//tauA//gltW//mepH//bdcA//gntP//xylB//fecA//ilvE//gltF//puuD//ccmD//mntS//modC//yiaO//hupA//lamB//tdcF//dmsD//rbsB//entC//yiaN//psd//yjeV//sucB//moaE//
PhoP-Phosphorylated	nuoA//fau//ugpC//fixA//yegR//fecR//nlpE//aroM//rmf//ppiD//yeaR//motA//gspC//cadC//pstB//mglB//rplT//gyrA//fldA//efeU_1//adiC//hcp//puuA//fbaA//srlA//sufS//argI//tsx//nikB//ssuD//aaeA//treB//psiE//uxaC//dnaN//ykgR//hybB//purN//gntU//metI//dpiA//galE//mtr//cysB//crl//yrbL//malT//gspO//rutB//mzrA//rrlG//mtlR//phnE_2//narJ//astA//ssrS//gabD//
PrpR-2-methylcitrate	agaV//ilvY//bcsA//yegZ//rrlH//
PurR-Guanine	ogt//mdtA//ssuA//flhC//tdh//mgrR//miaA//ispE//preT//metJ//nupG//folA//entA//bglG//cydC//ytfE//uxaC//torR//yfeW//pta//bglF//rplI//nagA//hdeA//artP//hyaF//tomB//dapD//ascB//rpsO//ldtC//rplW//ccmG//hybA//
PurR-Hypoxanthine	alkB//ebgC//lpd//aceF//idnO//pgaC//acnA//fbaA//nhaA//hyfG//purK//feoB//rbsR//cspE//yaeP//argI//yhfA//pyrD//ubiG//sxy//mtlA//mgrB//purE//bglB//ryhB//fucA//aroM//rrfF//lsrD//yeaR//pncB//preT//infC//deoD//
QseB-Phosphorylated	fumA//lysA//fucI//phnF//
RhaR-L-rhamnose	cyoA//ydeJ//
RhaS-L-rhamnose	nikR//chbG//kbl//eda//malK//moaD//
RstA-Phosphorylated	sodB//grcA//nanC//fepE//cusC//aldA//nanK//xseA//artQ//lrp//
SoxR-[2Fe-2S]3+ oxydized	rhaS//paaF//glnD//hycA//
TorR-Phosphorylated	citX//spf//uidC//hflD//gspO//fadH//manY//hyfA//soxR//citE//
TrpR-Tryptophan	yibN//gatY//rplT//entS//tap//rpoE//murP//rrsB//cynT//appB//cdd//mltC//
TyrR-L-tryptophan	tsgA//gapA//aroF//envZ//ndh//betI//fepG//lsrD//rseA//udp//nanC//astD//feoC//agaA//
TyrR-Phenylalanine	aspA//pstB//yojI//dppF//torC//serC//hyfE//caiT//pta//cyoC//phnE_2//yaiA//nuoH//gapA//
TyrR-Tyrosine	rpsC//ykgR//fepC//mntP//fimH//purR//araJ//priB//yqaE//truB//putP//codA//nrdB//fes//
UhpA-Phosphorylated	ahpC//
XapR-xanthosine	hyfG//nikA//
XylR-Xylose	rpsO//argC//hyfF//hflD//cusB//uidA//
ZntR-Cd2+	prpE//
ZntR-Hg	phnH//
ZntR-Zn2+	cueO//
ZraR-Phosphorylated	ampE//metI//hycE//
Zur-Zn2+	rcnA//modB//metJ//cpxA//nirC//argF//
