#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	tehB//uxaA//fau//atoE//
CpxR-Phosphorylated	nagE//carA//rof//deoD//pnp//gcd//uhpA//csgD//edd//livJ//nrfC//yibN//gspJ//thrS//cpxR//evgS//dcuR//lhgO//frc//fadH//narH//cysU//glpG//norV//alkA//ydeA//aaeB//dcuB//pdeF//metL//prpB//glmY//purC//uxaA//yjjZ//truB//nikR//puuD//envZ//nrdI//speA//artI//napG//rseB//rplB//glcG//acs//cusR//prpR//ileT//flhD//sucC//ygbA//hybC//fecC//baeS//yjjZ//hypD//ilvI//nrfC//ydhV//glcD//xseA//pnp//malZ//purH//atoA//udp//chbG//
CreB-Phosphorylated	hybC//gabP//rrfF//feoB//aaeB//ilvM//rpsJ//yibN//hmp//
CueR-Ag	yccA//secB//nuoC//oppF//hyfB//yfaE//allC//
CueR-Cu+	amn//gltV//ykgM//rrsB//acrD//mtlA//acnB//
CuerR-Au	rhaD//bioD//phnO//gltD//fixA//cusR//artI//
CusR-Pasp	napF//uidB//xylB//lsrG//metF//nrdF//oppA//malE//priB//atoA//pheM//idnT//
CynR-Cyanate	exbB//phoU//cheZ//xapA//
CysB-N-acetyl-L-serine	nagE//paaJ//nrdG//arcZ//livH//yaiA//narH//glpX//trpC//pgk//gltU//purM//rplB//fau//paaJ//nmpC//metH//ssb//pepT//argP//fucA//mhpC//cheA//ptsI//ung//mntP//pgaD//mhpA//gcvP//argA//
CysB-O-acetyl-L-serine	rrfB//cadC//ldtB//purA//ilvM//fadJ//gltV//phoR//tauA//marB//speB//paaC//malX//oppC//araF//yiaL//rpmC//napD//grpE//lrp//citG//ssuB//narJ//thrS//motB//nuoH//melB//hyfC//rhaT//astA//sodA//
DcuR-Phosphorylated	hyaF//mhpC//tehB//talA//ilvI//cydA//agaW//gcd//rseC//
DnaA-ATP	iscR//ilvI//gntK//idnK//rrlG//casA//tauC//glpF//hycG//yidQ//crp//tauB//
DpiA-Pasp	fhuF//glpA//ssuB//znuB//gatC//rrlH//fucK//paaH//tomB//rutE//pheM//
DsdC-D-serine	allC//tsx//mgrB//
EvgA-Phosphorylated	casE//galP//citE//nhaA//rpsS//chiP//phnD//argA//araG//icd//nhaA//spy//bcsC//glpX//rrfB//
FNR-[4Fe-4S]2+ reduced	nanE//gltD//patZ//frdB//oppF//ftnA//pheM//fucO//glgA//yoaC//cysW//yeaD//tehA//puuC//trpL//agp//gntT//rpmC//dpiB//phnF//cydD//rstB//ynfG//miaA//gatY//yciW//aer//dapB//rrsC//envZ//ispE//nrfB//hupB//yiaM//rrlG//lrp//fecI//bcsB//ilvY//glpA//safA//cas1//ldtC//phoU//ilvN//dkgB//lsrA//modB//cyoD//tauC//malY//trmD//argB//garL//purM//appX//metF//yidQ//paaF//ybdZ//tnaC//rnhB//abgT//cysP//purB//rmf//araC//ompR//aaeA//ybdZ//entB//thrS//rpsF//modA//cynS//truB//lolB//dcuB//dcuC//patZ//fimE//cadA//rof//uhpC//purM//avtA//fepG//preT//ubiA//hycF//rutA//nuoG//yccA//hofN//hyfD//slt//spf//dadA//sdhD//argO//avtA//soxS//sxy//rrfD//hflX//gatZ//nuoL//feaB//gcvT//nupC//folE//serC//focA//uhpT//glcE//recF//aroG//rpsI//ugpQ//uxuA//cyoC//fes//allE//exbB//nuoE//grpE//hybF//gspF//entE//phnP//phnN//glpC//uxuA//csgF//hcr//tsgA//sroD//gcvH//sroD//csgG//nikE//fepA//cynS//edd//rrlC//paaG//fdnG//chbC//srlE//dppA//ompW//tar//lacA//nikE//bcsZ//glpB//raiA//rof//kbl//pitA//cysA//psiF//fdnH//lldR//dmsA//yaeQ//avtA//phoA//entD//dusB//rrlD//yeaD//spy//cydD//cysC//galP//ubiC//pyrC//hyaD//garR//sucA//gspL//entC//livJ//rhaD//chbB//envY//galS//yiaO//acnA//stpA//entA//garK//cyoE//nusA//purR//rhaB//lpd//rrlA//carA//hofC//lsrG//ybdZ//aroL//uxaA//ulaB//ivbL//adhE//serC//purN//yiaO//puuB//cyaA//nirC//pagP//pstB//xseA//ilvE//narQ//fau//argF//pagP//gspE//modC//hycH//uhpC//nikB//fdhF//gatB//gatZ//uhpC//nagE//aspA//fecD//tnaA//csgG//ldtC//rpsO//nikR//glpB//yoaG//rhaD//metH//ileU//guaA//frdC//tauD//rrlD//sohB//mgrR//phoE//rpsJ//betA//artP//fdnH//narJ//iraD//galP//treR//nagC//dppA//glcF//gatC//dctA//envZ//udp//hyfB//ileV//nagE//gltU//napG//tauC//feoC//xylR//prpD//amtB//ftnB//sdhB//tsaE//norV//grxD//entD//glnK//nfuA//paaG//pepT//hyaD//lldP//metQ//norR//nuoA//yeiB//lsrG//gatA//hypD//grcA//treR//sufE//ampE//marA//paaI//aroG//bhsA//pncB//cydB//
FhlA-Formate	gspE//yiaL//aaeR//metE//secB//nupC//glnK//lsrR//mipA//mntP//rpsP//hybC//xylH//ygiA//marB//arfB//hypE//katG//ydeO//fhuA//argD//ydbD//ilvY//yhfA//aroH//hisQ//ugpB//cas1//ompT//amiB//
FucR-L-fuculose-1-phosphate	betI//yeaD//flhC//aer//xylA//ydiU//malG//
Fur-Fe2+	yiaL//araJ//gltT//rplB//bcsA//ompA//gadB//hycH//ompA//fucK//ascF//dppC//tnaB//aroH//aroF//cspE//tsx//paaG//ccmG//fhuF//gabD//xylF//fecA//iclR//rpsS//phoP//cyaA//baeS//agp//hdeB//ydhX//uraA//abgB//rprA//mltC//agaV//cvpA//nrdB//dsdX//ccmD//hofB//uvrA//yjjZ//ydhT//ygiC//yggX//ybfN//zraS//ccmA//gntU//deoC//cysI//creB//hofP//soxS//manZ//cusC//casE//phnH//fadJ//fimE//sufB//tfaQ//hha//phnL//uhpT//mdh//puuE//rbsD//norR//ppiD//lsrA//atoA//lldD//abgA//pta//yecR//metI//yidQ//purA//yrbL//nikC//hyaF//pgaC//acnA//iclR//lacZ//rpsP//napH//glnA//pagP//yhcH//rrlE//fnr//rpoE//grxD//phoB//feaB//ccmB//psd//uxaB//ilvD//nanS//torR//acrE//trxA//entS//gnd//ompF//phnJ//galK//gabP//dsdA//rutC//hcr//tdcF//grcA//ahpF//ydeJ//glnL//rrsA//acnB//tfaQ//hypE//bioB//hslJ//hyfA//moaA//lyxK//oppC//rpsI//purL//hyfA//tfaQ//dmsB//emrY//ilvG_1//dmsA//aaeX//cheR//
Fur-Mn2+	uidC//artM//fhuE//gspD//rrfD//ydhU//glcC//phnL//agaW//ppdD//creD//ubiA//flhC//hyfF//aldA//galK//hyaA//narX//ubiA//envZ//livJ//gltA//tdcB//rhaS//treC//nupC//yjeF//moaA//azuC//erpA//fepD//artQ//srlE//folE//argC//rhaS//priB//fldA//rrsG//fadI//modC//tam//lsrB//glnD//sodB//hyaE//pstC//cyoA//mhpA//fadL//ysgA//efeU_1//prs//rpmC//patZ//fadD//yjcH//nikE//moeA//rhaT//bioA//gntX//rbsD//mtlR//srlB//hofP//phnP//tpx//glrR//sucB//frdB//cydC//malX//rrfB//sodB//sbcD//rdoA//amn//aceB//garK//casA//rrfE//ygiA//alaT//citD//cydB//dcuA//hcr//hybA//tdh//nanC//rrfB//mscM//glpA//rutB//talA//qseC//rbsD//astB//napB//hycC//dppF//mltC//napC//nac//hybO//bglG//ccmG//ogt//fbaA//ycdZ//efeU_2//dmsD//gltT//fixA//glpD//purB//glgP//hycI//fliA//grcA//paaA//idnD//hybG//argI//baeS//deoC//cyaA//hyfB//aroM//rhaA//hpt//exbD//sbcC//nanC//phnI//dmsA//cyoD//ulaE//dps//
GlcC-Acetate	nanM//cas2//hyaE//ynfE//lacZ//hflK//ileT//
GlcC-Glycolate	entB//cbl//hyfF//raiA//tsgA//fixC//crr//
GlrR-Pasp56	yeiB//
IclR-pyruvate	lldP//mdtD//moaD//gcvP//
IdnR-5-ketogluconate	rplS//lacI//entB//manA//glnA//aceB//purM//efeU_1//
IdnR-Idonate	pheM//nrdA//entE//fecD//ykgO//lldD//purA//alaU//
IlvY-2-acetolactate	ansB//rrsB//
IlvY-Alfa-acetohydroxybutirate	envZ//sufE//
IscR-[2Fe-2S]1+	xdhC//gatB//entA//hybO//ykgM//hybG//astB//nmpC//rrlH//nuoG//ilvA//hycI//sdhA//ileU//phnD//nagC//csgC//napD//hflK//abgA//fimA//atoE//bioB//bglB//dmsD//nhaA//bglF//fhuF//crp//tauD//fhuF//ilvN//sbmC//hyfJ//rrfD//cydC//acs//lsrB//ykgM//ygeH//yqjA//
LldR-L-lactate	nagB//pitA//glpF//
Lrp-Leucine	cynS//flhC//nikA//sdhB//nikC//oppD//ykgM//osmY//ynfF//rseC//baeR//aaeB//yhjC//dapD//fau//bamE//fes//glpC//csgA//deoD//bcsZ//narL//artP//baeR//csiD//cstA//rpsC//lpxB//rseA//narL//rplI//amiB//metA//glnA//yjiY//lyxK//sucD//rplP//gyrA//ilvG_2//mpl//zwf//nrfD//yhiD//galT//oppB//cusC//hyfA//lsrK//yeiW//sgbE//rrsA//astC//gspO//hflD//rnpB//katG//purF//gltV//appX//hdeB//hlyE//torA//hdeB//pstS//nanM//argD//rbfA//raiA//rrsC//tfaQ//cysK//mtr//cyoB//hycA//rstB//ygiA//acrA//ftnB//lacI//rpsP//agaV//nlpE//tdh//purF//lhgO//cynR//dcuS//mutL//betI//hyfJ//ssuC//sdhB//hisM//avtA//fnrS//lsrA//fur//araB//cynR//fabZ//metI//mntP//tehB//melB//paaD//
LsrR	ssb//modB//appA//hupA//nanM//malP//evgS//fimE//norR//
MalT-ADP-Maltotriose	aspA//phnD//moaE//fecI//fimG//moaB//rpoH//gspO//hyaA//rrsE//
MalT-Maltotriose-ATP	agaA//yeiP//hyfG//deoB//fixC//nac//rimP//mhpF//ilvE//pta//
MelR-Melibiose	hemA//metY//adhE//
MetJ-S-adenosylmethionine	dmsA//ygbA//betA//yebE//yaeQ//glpA//rpmC//ccmD//mcaS//rpsJ//metR//nrfD//ssb//livF//yhiD//
MetR-L-homocysteine	lacY//cas2//pstA//cusC//metH//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	lsrA//metI//frdC//artJ//mglC//ilvN//
MhpR-3HPP	fixC//tsgA//hybO//moaC//spy//nuoM//
MntR-Cd2+	nrdI//aceK//xseA//paaH//yeiL//
ModE-MoO42-	marR//sgbH//focA//rplT//ebgC//tap//araJ//nhaA//nanK//fadD//tdcG//aer//glyA//nanA//sdhA//fixB//ispE//argA//nhaA//ykgO//hypA//sxy//frdA//iscR//rhaD//cra//yfdV//yeiL//rutF//glpF//iscA//paaI//citF//gabP//rplB//uidC//carB//cheW//rnhB//phnE_1//phoQ//lyxK//rrfA//sucA//puuR//dcuB//
NarL-Phosphorylated	nrfD//uxaC//yeaR//hofB//frdA//cheA//agaW//tnaA//appB//erpA//dsdA//hycF//glgC//ahpC//yaeP//appC//azuC//dppA//rpsO//chbC//fadA//rrsC//torC//treC//tsr//mpl//rpsQ//narL//phnJ//lacY//galK//nirB//moaE//frdB//yfaE//puuA//malK//cbl//malI//tsaE//abgB//lsrC//appX//dmsA//tyrP//ycdZ//ubiG//ccmG//ccmD//hycF//phnK//ldtC//pitB//hyaE//rpsI//livJ//lsrG//ilvN//caiE//entH//phnF//speA//icd//yqjA//yeiW//chbA//mutY//csgB//cspE//glpE//csgF//amiB//tar//rpsJ//rutG//tomB//glpQ//agaW//slyB//phoH//evgS//nikC//chbF//cysK//cheA//fixX//galS//sdaA//polA//tnaC//cheA//yibN//fabZ//actP//ccmC//znuB//yqaE//yoaG//nagE//pgaD//ssuC//gntX//feoA//gspF//purK//dctA//uidA//epd//astE//pagP//trpD//tfaQ//dpiA//nanS//rrfD//cysB//ldtC//mtr//uidA//grxD//glcD//ulaE//galM//purR//skp//
NarP-Phosphorylated	psiF//rbsB//hyfR//amn//cusC//malE//uxaB//glpT//pitB//amn//ssuC//iscU//entH//rhaT//nagB//tyrR//pncB//pck//psd//uxuB//glcG//hisM//actP//phnC//ydbD//glcD//nanC//pgaC//pck//uxuA//sufB//cpdB//ftnA//oxc//caiD//ompA//nuoB//hdeB//paaD//iscU//ynfF//rpsR//ydhW//ygaC//trmD//cheZ//aroA//phoR//glpE//bcsA//
NhaR-Na+	fadA//pdhR//melR//yqjI//katG//ycdZ//mntP//
NikR-Cd2+	uhpC//infC//rybA//proP//araH//deoD//
NikR-Co2+	exbB//phnF//motB//fhuD//nrfG//prfA//
NikR-Cu2+	cysC//thrS//hofP//psd//tdcB//aidB//
NikR-Ni2+	ugpA//tyrR//sgbU//cytR//mglB//cheA//
NikR-Zn2+	mepH//codA//hyfR//ydfN//ulaB//oppC//
NrdR-ATP	tadA//serA//moeB//nanK//pgpC//eda//rpmC//manA//galP//
NrdR-Zn2+	glnB//allC//paaK//rimP//metB//metJ//gspG//nac//cpxA//
NrdR-dATP	mtlD//fdnH//metL//ykgM//glpT//yfdE//rrfC//yqjH//tsx//
NsrR-[2Fe-2S]reduced	znuB//tehB//mtr//uxuA//fepB//hflD//cheW//hofO//motB//nrdF//lldD//rrsG//paaF//cydC//epd//atoB//flhD//sohB//hycH//dkgB//gltB//trmD//ulaF//hypE//ygiB//nusA//deoB//pyrD//uof//envY//tnaB//bhsA//gspD//frdB//tnaA//livJ//amn//kbl//murP//dppA//sgbE//ydeN//hofP//yidQ//argA//argD//phoH//nagC//citC//hcp//agaA//glmY//csgD//purM//upp//fadH//grxD//gatB//dapD//thrS//uidB//mhpF//glgS//nikR//tktB//idnT//moaE//hupB//sucD//polA//gspG//narJ//ssrS//
PhoB-Phosphorylated	gspF//psd//ung//fes//dapB//argH//znuC//sufS//glpF//uidB//nrdG//degP//ada//argP//rpsP//citE//metC//sbmC//nikR//ebgC//hycA//oppB//gatC//waaH//mdtC//dapB//rpoS//cas1//metN//nuoH//paaB//gntX//ansB//glnK//grcA//prs//tehB//fnr//yeiW//ascF//ispE//moaE//yiaJ//lpxB//ivbL//caiD//bioA//mhpC//chbF//mgtL//ompX//phnM//uidB//tdh//purE//znuA//ung//creD//ydbD//hybB//metC//
PhoP-Phosphorylated	glpC//hybA//oppA//glpD//galK//malF//hybA//xylG//gltA//zraP//fecI//torA//xylH//yaeQ//metE//uxaA//nuoI//grpE//nrdG//frdB//hupB//fepE//fadL//mdtC//baeS//araA//srlR//nuoA//fecB//gltF//yqaE//gspD//csiD//flhD//hybC//betB//tdcC//acnB//hycD//ileU//rpsQ//sdhD//ugpC//zraR//casC//ydhV//uxaA//uxuR//tdcE//sgbU//fucU//mgrR//ygeA//micF//yfaE//napH//aroG//
PrpR-2-methylcitrate	ccmB//fliA//fimI//malE//acrF//
PurR-Guanine	cynT//caiF//amn//mntS//pck//yhcH//rplT//argD//grxC//cheB//gltV//prpB//treC//mhpF//hycB//rrlC//alaT//gspE//ileU//tauC//hyfF//rutG//hdeA//rseC//ynfH//cra//yiaN//rhaS//fnrS//yhfA//bioD//yegZ//glmY//glnG//
PurR-Hypoxanthine	yojI//entA//purK//tfaQ//astB//tomB//pstC//alkA//ygbA//ilvX//hycB//purC//hycH//bioF//gpmA//pdhR//fixC//gntU//alaT//ptsG//gltT//psiE//nrdE//mgtA//glnA//nuoN//fadD//cysC//hyfF//uxuA//spy//nagA//qseB//cytR//
QseB-Phosphorylated	nrdB//yiaK//aceA//fucK//
RhaR-L-rhamnose	lyxK//sucC//
RhaS-L-rhamnose	lsrF//thrS//hofC//gspH//pstS//sbcD//
RstA-Phosphorylated	asr//puuD//katG//cyoE//ompX//frdC//azuC//trpB//nrfG//lhgO//
SoxR-[2Fe-2S]3+ oxydized	hyaB//torR//melA//caiC//
TorR-Phosphorylated	deoC//fecR//srlR//upp//hdeB//dmsA//citX//fau//mglB//glnB//
TrpR-Tryptophan	rstB//focB//torC//ygbA//mhpR//hycA//putP//norV//idnD//cydC//chbA//bcsC//
TyrR-L-tryptophan	ppiA//upp//betI//atoA//fecD//nagB//hybO//narJ//csgD//puuA//aaeX//nagE//mdtC//allC//
TyrR-Phenylalanine	casD//nrfE//rplD//fixA//ynfE//ssb//chiP//malF//speC//chiP//spy//ispE//hyfJ//pgk//
TyrR-Tyrosine	gabT//nikC//mtlR//tam//recF//nikA//yqjI//rpsI//nuoH//katG//rutB//pheM//carA//ugpA//
UhpA-Phosphorylated	hybC//
XapR-xanthosine	metN//cusF//
XylR-Xylose	mdtB//pncB//idnO//nuoI//melA//yjeV//
ZntR-Cd2+	efeU_2//
ZntR-Hg	lolB//
ZntR-Zn2+	fimF//
ZraR-Phosphorylated	phnH//ebgC//yfdE//
Zur-Zn2+	malX//hofC//ssuE//napD//dpiA//argI//
