# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	cysM//ilvI//
ArcA_CRP_IHF	hypB//
ArcA_CRP_PuuR	fucK//carA//fucK//fadH//
ArcA_CRP_RhaS	hyaA//
ArcA_CRP_TreR	paaB//aceA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	pgaB//fadB//
ArcA_Cra	fabZ//
ArcA_Cra_FNR_H-NS_HypT	tauD//
ArcA_CysB_FNR	
ArcA_FNR	prpB//pflB//mnmG//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	pnp//
ArcA_FNR_Fis_IHF_NarL	hycD//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	moaA//acnA//
ArcA_FNR_IHF_NarL	gatY//aspA//
ArcA_FNR_NarL	argG//xylA//ackA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	rutE//ogt//
ArcA_FadR	rbsD//udp//napG//
ArcA_FadR_Fis	frdD//pdeL//
ArcA_Fur_Lrp_ModE	nagB//pyrC//
ArcA_GlcC_IHF_PdhR	cdd//nanK//argG//
ArcA_LexA	argD//
ArcA_LldR	lpxA//uidA//
ArcA_NarL	tdcB//
ArcA_NtrC_PhoP_RutR	nrdF//rhaB//garR//metB//uxaA//glgA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	fdhF//
ArgP_CRP_FNR_Fur_Nac	paaG//
ArgP_DnaA	nrfC//
ArgP_Lrp	hycF//gutQ//
ArgP_LysR	gcvH//
ArgP_PhoB	
ArgR_CRP	metH//
ArgR_CRP_Fis	nanE//mazG//hycG//
ArgR_Fis_IHF_PepA_PurR_RutR	pnp//
ArgR_H-NS_NtrC	hycG//rutA//
ArgR_NtrC	pyrD//nrdF//ugpQ//glpK//mazG//
ArgR_PhoP	poxB//
AscG_CRP	sgbU//ynfF//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	rutE//
AtoC_IHF	mdh//paaI//dadA//
BaeR_CpxR	gabT//
BaeR_CpxR_EvgA	fumB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	cysG//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	fucU//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	pdeR//fadD//mtlD//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	gcvT//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	melA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	nanK//nrdE//araB//tdcG//dusB//frdD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	aceF//ilvH//guaA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	araD//mhpE//moeB//
CRP_Cra_Mlc_NagC	dmsB//ynfG//pyrC//aceE//
CRP_Cra_PrpR	sucC//cysH//ilvE//gatY//
CRP_CreB_Fis_MalT	mtlD//
CRP_CsiR_H-NS_Lrp	gabT//
CRP_CsiR_H-NS_Lrp_Nac	srlD//uxuB//sgbU//
CRP_CspA_Fis	aroL//
CRP_CytR	garL//
CRP_CytR_DeoR	chbG//uxaA//
CRP_CytR_DeoR_Fis_ModE	pck//ackA//dmsA//fadH//
CRP_CytR_Nac	rhaB//
CRP_CytR_NsrR	nrfA//
CRP_DcuR_FNR_NarL	moaD//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	entF//treC//
CRP_DpiA_ExuR	sgbU//
CRP_DsdC	narG//murF//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	rutA//
CRP_ExuR	pncB//
CRP_ExuR_FNR	ilvE//betA//
CRP_ExuR_OxyR_UxuR	fbaA//serA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	pyrC//
CRP_FNR_Fis	aroG//mhpD//
CRP_FNR_Fis_GlpR_IHF	ugpQ//glgC//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	epd//mraY//purH//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	gatY//fumA//fadD//tdcB//paaB//
CRP_FNR_NarL	paaF//entF//
CRP_FeaR_NsrR	astE//
CRP_Fis	folA//tauD//ynfG//
CRP_Fis_FlhDC_GalR_GalS	astB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	gdhA//aspA//
CRP_Fis_IHF	nagB//serA//glgA//
CRP_Fis_NanR	astA//fau//caiA//ndh//
CRP_Fis_NtrC	citX//
CRP_Fis_XylR	mazG//
CRP_FlhDC_GalR_GalS	pgaC//
CRP_FucR	lysA//nrfB//argD//waaY//metL//nirB//
CRP_Fur	aroL//lacA//pspE//pspE//nrdF//sgbH//ilvM//sucB//gcvT//rutD//
CRP_Fur_HypT_PdhR	ilvG_2//nirD//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	rutC//fadH//mhpF//tnaA//
CRP_GalR_GalS_NagC	gcd//
CRP_GlpR	citE//fabZ//pnp//
CRP_GntR	ackA//
CRP_GntR_IdnR	gcd//astC//metE//entF//nrdD//cysG//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	aroL//lsrG//serC//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	pspE//
CRP_H-NS_LacI	fdhF//nrfB//uidA//
CRP_H-NS_LeuO	aroA//
CRP_H-NS_MqsA	
CRP_IHF	dadA//accB//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	murD//
CRP_IHF_PaaX	mtlD//tdcE//murQ//truB//frdB//nanA//ugpQ//frdC//
CRP_IHF_UlaR	fbaA//hypF//zwf//ddlB//
CRP_IHF_YiaJ	moeA//sucB//aroA//kbaZ//poxB//aroG//
CRP_LexA	
CRP_Lrp	fes//puuE//rbsD//appA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	glpK//
CRP_LsrR	dgcZ//gapA//carB//ulaE//malP//
CRP_MalI	prpC//lsrK//
CRP_MalT	gltD//cysG//
CRP_MalT_PhoP	astB//
CRP_MelR	pgaD//moeB//
CRP_MetJ	chbG//
CRP_MhpR	prpC//hycC//acnA//narI//ulaG//deoD//
CRP_Mlc	
CRP_ModE	ansB//
CRP_MurR	prpC//ugpQ//atoB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	accC//
CRP_NagC	galM//hemA//appA//citX//mhpC//
CRP_NagC_NanR	ulaD//lpd//
CRP_NagC_PhoP	murF//
CRP_OxyR	
CRP_OxyR_UxuR	gcvP//
CRP_PhoB	gadA//ackA//
CRP_PhoP	yqjH//caiB//rhaB//
CRP_PutA	betA//
CRP_RbsR	hycG//frdB//malS//
CRP_RhaR_RhaS	
CRP_RhaS	prpC//purD//pck//
CRP_Rob	ilvH//
CRP_TorR	aspC//gltA//
CRP_UhpA_UvrY	nanA//
CRP_UidR_UxuR	nagA//pgaD//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	citG//moeB//
Cbl_CysB_FNR_IHF	paaK//lyxK//nanE//
CdaR_FNR_Fis_Fur_H-NS	waaH//yqjH//
CdaR_FNR_Fur_H-NS	prpC//caiC//ilvE//ynfG//
CpxR_CsgD_FliZ	
CpxR_CysB	paaB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	srlD//
CpxR_GadE	ilvE//ubiA//hemL//
CpxR_H-NS	rutE//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	pncB//
Cra_FNR_Fis_Lrp_NarL	poxB//
Cra_FNR_Fur_MarA_Rob_SoxS	rutA//
Cra_FhlA_FlhDC	gutQ//
Cra_GntR_KdgR	sodA//
Cra_GntR_KdgR_PhoB	paaF//
Cra_MarA_SoxS	glpK//
Cra_PdeL	prpB//
Cra_SgrR	ascB//
Cra_TyrR	gltD//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	gloA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	pck//nemA//
CusR_PhoB_YedW	fau//
CysB_H-NS	napH//nirB//betA//
CysB_HypT_IHF	entB//
CysB_IHF	hyaC//frdC//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	aceE//
DinJ-YafQ_LexA	fucA//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	pgaC//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	waaH//
FNR_FhlA_NarL_NarP	tam//glcD//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	cysI//
FNR_Fis_IHF_ModE_NarL	nrdE//
FNR_Fis_IHF_NarL	gadB//
FNR_Fis_IHF_NarL_RstA	mhpD//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	hycE//
FNR_FlhDC_ModE_NarL_NarP	purH//
FNR_Fur	uidA//lysA//
FNR_Fur_GadE	murF//
FNR_Fur_GadX_NtrC	mhpD//
FNR_Fur_H-NS	sucA//purN//citC//
FNR_Fur_MetR_NsrR	edd//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	astE//
FNR_Fur_OxyR	ugpQ//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	fadB//
FNR_H-NS_NrdR	gatY//aspA//
FNR_IHF	astC//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	relA//
FNR_IHF_PhoB	
FNR_MalT	citE//lpd//
FNR_ModE	
FNR_NarL	ilvG_1//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	fabA//narH//
FNR_NarL_NikR	serA//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	lpxD//mraY//
FNR_YqjI	
FabR_FadR	sdhC//galE//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	uvrA//gabD//
FhlA_IHF_NsrR	
Fis_Fur	pflB//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	gltB//
Fis_IHF	
Fis_IHF_NtrC	napA//ilvI//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	napB//
Fis_NarL	rutE//
Fis_NarL_NarP_NsrR	
Fis_PurR	metB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	uxaA//
Fur_H-NS	mhpD//ansB//
Fur_IHF_IscR_NsrR_OxyR	gadA//
Fur_IscR_NrdR	mhpE//
Fur_MetR	appA//
Fur_MntR	fumC//
Fur_MntR_OxyR	citG//
Fur_OxyR	
Fur_PurR	ahpF//
Fur_RcnR	mhpD//
Fur_RutR	nirB//
Fur_SoxS_Zur	
Fur_YqjI	purD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	purD//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	lyxK//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	ilvH//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	gadB//
H-NS_Lrp_NhaR_RcsB	pgaD//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	sucD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	nagB//
HU_IHF_TyrR	melA//
HigA_HigB-HigA	rsmH//
HipAB_HipB_IHF	dsdA//
HypT_MetJ	torA//
HypT_MetJ_PhoP	dmsB//glpD//
IHF_Lrp	entF//pgk//napB//patA//gdhA//
IHF_NsrR	
IHF_NtrC	waaH//
IHF_PhoP	
IHF_PspF	rnpB//
IHF_RcsAB	
IHF_RtcR	malQ//aldA//
IHF_TyrR	cysI//
IHF_UlaR	cysI//
LexA_MraZ_PdhR	citF//fabZ//hypB//caiD//melA//metK//betA//astA//katE//napG//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	hypB//ulaD//
MarA_PhoP_Rob_SoxS	prpC//fadI//codA//napB//fumB//fadB//mdh//uxuB//purN//
MarA_Rob_SoxS	cysG//araB//
MarA_SoxS	ynfG//pflB//gabT//
MetJ_MetR	mazG//
MetJ_OxyR	pncB//
MetR_PurR	waaY//
MraZ_PdhR	hpt//
Nac_PurR	fadH//lpxA//
NarL_TorR	hpt//
NemR_RutR	glpQ//glgA//
NhaR_OmpR	nanE//gnd//hyaA//
NorR_NsrR	
NsrR_PhoB	betB//
OxyR_SoxS	
PdhR_PhoP	cyoE//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	caiD//mazG//
RelB_RelB-RelE	kbaZ//
TrpR_TyrR	fucA//
YefM_YefM-YoeB	purH//
