# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	tdcB//dmsA//
ArcA_CRP_IHF	glyA//
ArcA_CRP_PuuR	rutA//fucU//purA//gltB//
ArcA_CRP_RhaS	aroA//
ArcA_CRP_TreR	fucK//nrdF//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	argD//mhpE//
ArcA_Cra	astD//
ArcA_Cra_FNR_H-NS_HypT	fadJ//
ArcA_CysB_FNR	
ArcA_FNR	torA//lldD//murQ//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	gltD//
ArcA_FNR_Fis_IHF_NarL	pck//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	appA//aceE//
ArcA_FNR_IHF_NarL	cdd//fadB//
ArcA_FNR_NarL	mtlD//fabA//folA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	aceE//araD//
ArcA_FadR	ansB//narH//acs//
ArcA_FadR_Fis	fucK//ascB//
ArcA_Fur_Lrp_ModE	astC//prpC//
ArcA_GlcC_IHF_PdhR	moaA//guaB//ulaD//
ArcA_LexA	hycB//
ArcA_LldR	glpQ//fucA//
ArcA_NarL	purM//
ArcA_NtrC_PhoP_RutR	carB//tauD//aldA//aldA//fumC//fau//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	tauD//
ArgP_CRP_FNR_Fur_Nac	hypB//
ArgP_DnaA	feaB//
ArgP_Lrp	mraY//relA//
ArgP_LysR	xylA//
ArgP_PhoB	
ArgR_CRP	ackA//
ArgR_CRP_Fis	moaD//xylA//lacA//
ArgR_Fis_IHF_PepA_PurR_RutR	waaZ//
ArgR_H-NS_NtrC	ssuD//xylA//
ArgR_NtrC	appA//cysH//ssuD//ulaE//entA//
ArgR_PhoP	cdd//
AscG_CRP	prpC//sucA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	glgP//
AtoC_IHF	narI//sdhB//eda//
BaeR_CpxR	gutQ//
BaeR_CpxR_EvgA	hycC//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	pyrC//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	argG//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	uvrA//fdhF//lpxA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	deoD//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ssuD//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	pdeL//waaH//tauD//ndh//rutE//tdcG//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	ftsI//paaC//nrdF//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	gloA//fadE//fucK//
CRP_Cra_Mlc_NagC	uxaB//umpH//mazG//puuA//
CRP_Cra_PrpR	hpt//sucA//fbaA//ppiA//
CRP_CreB_Fis_MalT	ftsI//
CRP_CsiR_H-NS_Lrp	fadA//
CRP_CsiR_H-NS_Lrp_Nac	rutE//cysI//mdh//
CRP_CspA_Fis	astC//
CRP_CytR	lsrF//
CRP_CytR_DeoR	uxaA//deoD//
CRP_CytR_DeoR_Fis_ModE	entE//gadA//nanA//srlD//
CRP_CytR_Nac	fadA//
CRP_CytR_NsrR	murE//
CRP_DcuR_FNR_NarL	mazG//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	katE//murF//
CRP_DpiA_ExuR	metE//
CRP_DsdC	glcE//recF//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	gatY//
CRP_ExuR	sgbU//
CRP_ExuR_FNR	hemA//adhE//
CRP_ExuR_OxyR_UxuR	ascB//mraY//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	aspA//
CRP_FNR_Fis	ahpC//nanK//
CRP_FNR_Fis_GlpR_IHF	rutE//nanK//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	glcD//citD//guaA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	aldA//feaB//gdhA//adhE//gadA//
CRP_FNR_NarL	puuE//glpD//
CRP_FeaR_NsrR	lsrG//
CRP_Fis	moeA//lpxD//fadH//
CRP_Fis_FlhDC_GalR_GalS	galK//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	cadA//patA//
CRP_Fis_IHF	araA//tdcD//fau//
CRP_Fis_NanR	waaH//ssuD//malQ//accC//
CRP_Fis_NtrC	aceA//
CRP_Fis_XylR	tauD//
CRP_FlhDC_GalR_GalS	metB//
CRP_FucR	ssuD//atoA//paaC//gatD//fau//putA//
CRP_Fur	murC//chbF//araA//tdcG//gloA//metL//ynfE//gdhA//mdh//moaE//
CRP_Fur_HypT_PdhR	fdhF//idnD//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	gcvH//nfsA//moaE//glgP//
CRP_GalR_GalS_NagC	lyxK//
CRP_GlpR	fbaA//pflB//frdC//
CRP_GntR	ilvM//
CRP_GntR_IdnR	glgC//mhpC//fdhF//fumC//entH//rbsK//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	araB//glcF//murE//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	ulaD//
CRP_H-NS_LacI	puuA//galM//umpH//
CRP_H-NS_LeuO	rbsD//
CRP_H-NS_MqsA	
CRP_IHF	gcvP//glgC//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	ulaF//
CRP_IHF_PaaX	glpB//pdeL//puuA//tdcE//fadA//aroA//waaY//mhpC//
CRP_IHF_UlaR	aroA//rutA//tdcD//moaE//
CRP_IHF_YiaJ	codA//tdcE//cysH//purA//uidA//rutA//
CRP_LexA	
CRP_Lrp	fabA//rutE//lsrG//prmC//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	rsmH//
CRP_LsrR	fadD//acnB//gnd//acnA//araA//
CRP_MalI	pspE//ilvI//
CRP_MalT	melA//serC//
CRP_MalT_PhoP	aspC//
CRP_MelR	xylA//cdd//
CRP_MetJ	murC//
CRP_MhpR	aceE//gcd//chbG//nrdA//deoD//purD//
CRP_Mlc	
CRP_ModE	mhpD//
CRP_MurR	mhpE//waaH//hemA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	astB//
CRP_NagC	acnB//nrdF//entD//sdhB//mhpD//
CRP_NagC_NanR	accB//purH//
CRP_NagC_PhoP	gdhA//
CRP_OxyR	
CRP_OxyR_UxuR	hycF//
CRP_PhoB	rutA//lacA//
CRP_PhoP	garK//mazG//mnmG//
CRP_PutA	lpxA//
CRP_RbsR	adhE//dadA//napG//
CRP_RhaR_RhaS	
CRP_RhaS	fabA//katG//citE//
CRP_Rob	dmsC//
CRP_TorR	atoB//carA//
CRP_UhpA_UvrY	hypB//
CRP_UidR_UxuR	ynfE//edd//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	puuA//sdhD//
Cbl_CysB_FNR_IHF	metE//gcvP//nrfC//
CdaR_FNR_Fis_Fur_H-NS	atoD//gabT//
CdaR_FNR_Fur_H-NS	purD//serC//metB//hycB//
CpxR_CsgD_FliZ	
CpxR_CysB	tnaA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	pdeL//
CpxR_GadE	napA//gdhA//frdC//
CpxR_H-NS	accB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	lysA//
Cra_FNR_Fis_Lrp_NarL	nrdB//
Cra_FNR_Fur_MarA_Rob_SoxS	rhaB//
Cra_FhlA_FlhDC	aceB//
Cra_GntR_KdgR	galT//
Cra_GntR_KdgR_PhoB	purM//
Cra_MarA_SoxS	glcD//
Cra_PdeL	rbsD//
Cra_SgrR	moaA//
Cra_TyrR	gatY//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	cysJ//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	mazG//pdeR//
CusR_PhoB_YedW	fadJ//
CysB_H-NS	cysI//napB//acnB//
CysB_HypT_IHF	fucU//
CysB_IHF	nirD//waaY//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	tdcE//
DinJ-YafQ_LexA	prpC//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	mnmG//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	paaF//
FNR_FhlA_NarL_NarP	glgP//purA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	uxaA//
FNR_Fis_IHF_ModE_NarL	glgP//
FNR_Fis_IHF_NarL	cysJ//
FNR_Fis_IHF_NarL_RstA	ahpF//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	betA//
FNR_FlhDC_ModE_NarL_NarP	tdcD//
FNR_Fur	gltA//narH//
FNR_Fur_GadE	galT//
FNR_Fur_GadX_NtrC	nemA//
FNR_Fur_H-NS	fadI//glgP//nirB//
FNR_Fur_MetR_NsrR	fucU//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	udp//
FNR_Fur_OxyR	entE//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	fadD//
FNR_H-NS_NrdR	puuC//gltD//
FNR_IHF	lsrG//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	hmp//
FNR_IHF_PhoB	
FNR_MalT	yiaK//paaE//
FNR_ModE	
FNR_NarL	lpxA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	malQ//yqjH//
FNR_NarL_NikR	eda//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	fadJ//citD//
FNR_YqjI	
FabR_FadR	lyxK//ilvH//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	ulaG//ascB//
FhlA_IHF_NsrR	
Fis_Fur	katE//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	astE//
Fis_IHF	
Fis_IHF_NtrC	glcB//icd//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	glcD//
Fis_NarL	epd//
Fis_NarL_NarP_NsrR	
Fis_PurR	entB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	uxaB//
Fur_H-NS	hmp//paaI//
Fur_IHF_IscR_NsrR_OxyR	nrfD//
Fur_IscR_NrdR	paaJ//
Fur_MetR	ssuD//
Fur_MntR	ilvG_1//
Fur_MntR_OxyR	puuC//
Fur_OxyR	
Fur_PurR	hypF//
Fur_RcnR	lysA//
Fur_RutR	puuE//
Fur_SoxS_Zur	
Fur_YqjI	mhpD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	uxaC//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	mazG//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	fes//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	ssuD//
H-NS_Lrp_NhaR_RcsB	prpD//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	gltB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	icd//
HU_IHF_TyrR	dmsB//
HigA_HigB-HigA	astC//
HipAB_HipB_IHF	prpC//
HypT_MetJ	eda//
HypT_MetJ_PhoP	fumB//tam//
IHF_Lrp	sucB//astD//ansB//tam//adhE//
IHF_NsrR	
IHF_NtrC	rutE//
IHF_PhoP	
IHF_PspF	prpD//
IHF_RcsAB	
IHF_RtcR	aceE//argG//
IHF_TyrR	deoB//
IHF_UlaR	uvrA//
LexA_MraZ_PdhR	gloA//ilvM//tam//waaH//paaA//codA//fdhF//hypB//tdcG//gatZ//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	gutQ//dgcZ//
MarA_PhoP_Rob_SoxS	ahpC//metH//prpE//ilvM//feaB//fumB//mnmG//sucC//waaY//
MarA_Rob_SoxS	lsrG//eda//
MarA_SoxS	hmp//fucO//moaE//
MetJ_MetR	moeA//
MetJ_OxyR	paaF//
MetR_PurR	chbF//
MraZ_PdhR	hcp//
Nac_PurR	torC//mnmG//
NarL_TorR	hmp//
NemR_RutR	napC//relA//
NhaR_OmpR	ahpF//glgC//uvrA//
NorR_NsrR	
NsrR_PhoB	narI//
OxyR_SoxS	
PdhR_PhoP	waaY//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	mazG//lhgO//
RelB_RelB-RelE	citD//
TrpR_TyrR	dsdA//
YefM_YefM-YoeB	fadA//
