# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	aspC//tauD//
ArcA_CRP_IHF	bglB//
ArcA_CRP_PuuR	glpX//rnpB//murC//galM//
ArcA_CRP_RhaS	gltB//
ArcA_CRP_TreR	astD//dmsB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	feaB//guaB//
ArcA_Cra	sucB//
ArcA_Cra_FNR_H-NS_HypT	sucB//
ArcA_CysB_FNR	
ArcA_FNR	metK//dmsB//nrdA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	araB//
ArcA_FNR_Fis_IHF_NarL	idnD//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	ulaG//aceA//
ArcA_FNR_IHF_NarL	gadA//fumB//
ArcA_FNR_NarL	napC//ilvD//astB//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	glcF//nirD//
ArcA_FadR	metK//fumA//cysJ//
ArcA_FadR_Fis	uxuB//paaA//
ArcA_Fur_Lrp_ModE	fucO//glyA//
ArcA_GlcC_IHF_PdhR	prpC//xylB//hycB//
ArcA_LexA	fadE//
ArcA_LldR	ahpF//ilvD//
ArcA_NarL	caiD//
ArcA_NtrC_PhoP_RutR	pflB//ynfE//melA//fadH//fadE//citD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	entF//
ArgP_CRP_FNR_Fur_Nac	waaZ//
ArgP_DnaA	garK//
ArgP_Lrp	xylA//gatD//
ArgP_LysR	hyaC//
ArgP_PhoB	
ArgR_CRP	sdhA//
ArgR_CRP_Fis	frdA//glpB//bglB//
ArgR_Fis_IHF_PepA_PurR_RutR	caiB//
ArgR_H-NS_NtrC	entB//murE//
ArgR_NtrC	recF//rnpB//paaK//ulaE//idnO//
ArgR_PhoP	entB//
AscG_CRP	ynfH//yiaK//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	paaC//
AtoC_IHF	astE//citD//betA//
BaeR_CpxR	glgA//
BaeR_CpxR_EvgA	fucK//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	metE//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	eda//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	sgbH//ahpC//citG//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	aroG//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	recF//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	ahpC//uxaB//citG//ansB//katE//fabA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	ddlB//entA//mdh//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	ynfG//dusB//aspC//
CRP_Cra_Mlc_NagC	dgcZ//rutA//gltA//dusB//
CRP_Cra_PrpR	icd//astC//aceE//treC//
CRP_CreB_Fis_MalT	ilvE//
CRP_CsiR_H-NS_Lrp	gltA//
CRP_CsiR_H-NS_Lrp_Nac	bglB//entC//rutE//
CRP_CspA_Fis	ssuE//
CRP_CytR	paaG//
CRP_CytR_DeoR	treC//gutQ//
CRP_CytR_DeoR_Fis_ModE	tauD//srlD//ilvG_2//malP//
CRP_CytR_Nac	hcp//
CRP_CytR_NsrR	sgbU//
CRP_DcuR_FNR_NarL	gcd//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	glnA//glcD//
CRP_DpiA_ExuR	argG//
CRP_DsdC	paaH//hpt//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ynfG//
CRP_ExuR	accB//
CRP_ExuR_FNR	rbsK//galT//
CRP_ExuR_OxyR_UxuR	lpxD//mhpC//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	epd//
CRP_FNR_Fis	nrdA//araD//
CRP_FNR_Fis_GlpR_IHF	kbaZ//entH//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	ahpF//purD//tdcB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	entF//waaZ//waaY//sufS//cysJ//
CRP_FNR_NarL	katG//paaE//
CRP_FeaR_NsrR	puuC//
CRP_Fis	sgbE//serA//mazG//
CRP_Fis_FlhDC_GalR_GalS	puuE//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	astC//gloA//
CRP_Fis_IHF	napG//nirB//galK//
CRP_Fis_NanR	pspE//glpC//ilvD//pgaB//
CRP_Fis_NtrC	nanE//
CRP_Fis_XylR	astE//
CRP_FlhDC_GalR_GalS	hcp//
CRP_FucR	fadJ//dmsC//puuC//tdcB//glpC//frdA//
CRP_Fur	argD//sgbH//narI//dadA//frdA//astC//nagA//glpQ//cadA//napC//
CRP_Fur_HypT_PdhR	moaA//mazG//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	fucK//nrfB//dmsC//ilvA//
CRP_GalR_GalS_NagC	pnp//
CRP_GlpR	sgbE//dadA//ldtB//
CRP_GntR	hycC//
CRP_GntR_IdnR	narI//garK//idnO//gapA//chbG//nanM//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	napA//paaH//ulaE//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	glcE//
CRP_H-NS_LacI	lldD//fadH//feaB//
CRP_H-NS_LeuO	glcF//
CRP_H-NS_MqsA	
CRP_IHF	nanA//ascB//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	purN//
CRP_IHF_PaaX	nrdE//ilvM//carB//nrfC//uxaC//glpA//ahpF//gntK//
CRP_IHF_UlaR	tdcE//entF//purN//garL//
CRP_IHF_YiaJ	hyaB//rbsK//acnA//prpC//lysA//gloA//
CRP_LexA	
CRP_Lrp	cysJ//astC//pgaC//gcvH//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	entC//
CRP_LsrR	accB//gltD//tnaA//hyaA//prpD//
CRP_MalI	chbG//aroA//
CRP_MalT	ynfE//aceE//
CRP_MalT_PhoP	galE//
CRP_MelR	mhpD//malY//
CRP_MetJ	nrdF//
CRP_MhpR	dgcZ//aspC//napC//tauD//yiaK//ndh//
CRP_Mlc	
CRP_ModE	pgaB//
CRP_MurR	folA//murF//pck//
CRP_Nac_NsrR_PhoB	
CRP_NadR	tdcD//
CRP_NagC	gnd//bglB//sucC//rutB//prpB//
CRP_NagC_NanR	ilvH//glgA//
CRP_NagC_PhoP	ahpF//
CRP_OxyR	
CRP_OxyR_UxuR	glpQ//
CRP_PhoB	glpK//aceA//
CRP_PhoP	pflB//prpB//relA//
CRP_PutA	chbF//
CRP_RbsR	tnaA//rhaD//ackA//
CRP_RhaR_RhaS	
CRP_RhaS	sdhC//ssuE//napB//
CRP_Rob	pgaD//
CRP_TorR	gcvT//lacA//
CRP_UhpA_UvrY	glpA//
CRP_UidR_UxuR	bglB//ilvE//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	gcd//argG//
Cbl_CysB_FNR_IHF	nrdF//ilvH//fau//
CdaR_FNR_Fis_Fur_H-NS	aceB//astC//
CdaR_FNR_Fur_H-NS	xylA//narI//uvrA//glpB//
CpxR_CsgD_FliZ	
CpxR_CysB	lpxD//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	gadB//
CpxR_GadE	fdhF//cysM//lhgO//
CpxR_H-NS	pdeR//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	nrdE//
Cra_FNR_Fis_Lrp_NarL	sucD//
Cra_FNR_Fur_MarA_Rob_SoxS	sdhB//
Cra_FhlA_FlhDC	fadB//
Cra_GntR_KdgR	entF//
Cra_GntR_KdgR_PhoB	rutC//
Cra_MarA_SoxS	pflB//
Cra_PdeL	lsrF//
Cra_SgrR	puuD//
Cra_TyrR	recF//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	gabT//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	entH//garR//
CusR_PhoB_YedW	hyaC//
CysB_H-NS	citF//moaE//ulaD//
CysB_HypT_IHF	mhpA//
CysB_IHF	rutA//lacA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	moeB//
DinJ-YafQ_LexA	garR//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	fadA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	ilvM//
FNR_FhlA_NarL_NarP	mdh//nagA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	metK//
FNR_Fis_IHF_ModE_NarL	pck//
FNR_Fis_IHF_NarL	dusB//
FNR_Fis_IHF_NarL_RstA	pyrD//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	ugpQ//
FNR_FlhDC_ModE_NarL_NarP	zwf//
FNR_Fur	ilvI//glpA//
FNR_Fur_GadE	waaH//
FNR_Fur_GadX_NtrC	aldB//
FNR_Fur_H-NS	torA//gutQ//uvrA//
FNR_Fur_MetR_NsrR	entH//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	ddlB//
FNR_Fur_OxyR	ulaG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	rhaB//
FNR_H-NS_NrdR	metL//caiB//
FNR_IHF	astD//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	nirB//
FNR_IHF_PhoB	
FNR_MalT	lsrK//aroL//
FNR_ModE	
FNR_NarL	malP//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	ftsI//mtlD//
FNR_NarL_NikR	puuD//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	hycC//fucA//
FNR_YqjI	
FabR_FadR	accB//fucU//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	gapA//gabD//
FhlA_IHF_NsrR	
Fis_Fur	codA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	edd//
Fis_IHF	
Fis_IHF_NtrC	ulaD//uxaC//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	caiA//
Fis_NarL	katG//
Fis_NarL_NarP_NsrR	
Fis_PurR	ilvD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	citX//
Fur_H-NS	waaY//nanE//
Fur_IHF_IscR_NsrR_OxyR	metB//
Fur_IscR_NrdR	hyaA//
Fur_MetR	fucI//
Fur_MntR	purN//
Fur_MntR_OxyR	glgC//
Fur_OxyR	
Fur_PurR	hyaB//
Fur_RcnR	aceA//
Fur_RutR	truB//
Fur_SoxS_Zur	
Fur_YqjI	gatY//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	glgA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	glgA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	yiaK//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	narG//
H-NS_Lrp_NhaR_RcsB	pgk//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	napH//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	pyrD//
HU_IHF_TyrR	tdcG//
HigA_HigB-HigA	lpd//
HipAB_HipB_IHF	dadA//
HypT_MetJ	sdhB//
HypT_MetJ_PhoP	tam//accB//
IHF_Lrp	bglB//moeB//glpQ//fucU//pdeL//
IHF_NsrR	
IHF_NtrC	ynfG//
IHF_PhoP	
IHF_PspF	xylB//
IHF_RcsAB	
IHF_RtcR	ftsI//hycB//
IHF_TyrR	guaA//
IHF_UlaR	waaY//
LexA_MraZ_PdhR	feaB//dmsC//rhaB//rsmH//nrfD//ynfG//folA//acnB//rimK//astE//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	mdh//umpH//
MarA_PhoP_Rob_SoxS	caiA//idnD//sgbE//adiA//fucA//sgbU//nfsA//guaA//fabZ//
MarA_Rob_SoxS	atoD//aspC//
MarA_SoxS	dmsC//argG//glnA//
MetJ_MetR	adiA//
MetJ_OxyR	pnp//
MetR_PurR	nrdA//
MraZ_PdhR	ulaF//
Nac_PurR	hemA//dsdA//
NarL_TorR	gcvP//
NemR_RutR	fabA//idnK//
NhaR_OmpR	nrfD//ilvH//aroL//
NorR_NsrR	
NsrR_PhoB	entA//
OxyR_SoxS	
PdhR_PhoP	pgaB//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	hcp//hycD//
RelB_RelB-RelE	sucD//
TrpR_TyrR	gcvH//
YefM_YefM-YoeB	aceB//
