# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	argD//napA//
ArcA_CRP_IHF	lacZ//
ArcA_CRP_PuuR	fucI//hemL//nirB//napC//
ArcA_CRP_RhaS	dmsC//
ArcA_CRP_TreR	glnA//glpX//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	cadA//rbsD//
ArcA_Cra	caiC//
ArcA_Cra_FNR_H-NS_HypT	fabZ//
ArcA_CysB_FNR	
ArcA_FNR	fbaA//lsrK//ilvG_2//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	ubiA//
ArcA_FNR_Fis_IHF_NarL	chbF//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	ulaF//ynfF//
ArcA_FNR_IHF_NarL	torA//aceF//
ArcA_FNR_NarL	idnK//hycB//idnD//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	aceA//napA//
ArcA_FadR	gutQ//gltA//lpxD//
ArcA_FadR_Fis	ilvE//pgaC//
ArcA_Fur_Lrp_ModE	atoA//ubiC//
ArcA_GlcC_IHF_PdhR	hycG//nrdB//sucB//
ArcA_LexA	ascB//
ArcA_LldR	rhaB//ahpC//
ArcA_NarL	rbsK//
ArcA_NtrC_PhoP_RutR	paaF//guaA//paaZ//citE//fdhF//carA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	purM//
ArgP_CRP_FNR_Fur_Nac	relA//
ArgP_DnaA	citX//
ArgP_Lrp	gltB//entH//
ArgP_LysR	lyxK//
ArgP_PhoB	
ArgR_CRP	chbG//
ArgR_CRP_Fis	murD//xylB//entC//
ArgR_Fis_IHF_PepA_PurR_RutR	aroA//
ArgR_H-NS_NtrC	hycC//nrfB//
ArgR_NtrC	carB//nrfA//puuB//entD//garL//
ArgR_PhoP	sgbU//
AscG_CRP	moaA//citG//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	aroA//
AtoC_IHF	betB//feaB//gcvT//
BaeR_CpxR	rutB//
BaeR_CpxR_EvgA	paaC//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	carB//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	acnA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	aspC//purH//chbF//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	entD//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	tnaA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	glgP//nrdE//moaE//rbsD//ftsI//gntK//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	rutA//nrfB//dmsC//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	fucA//aroA//ilvI//
CRP_Cra_Mlc_NagC	melA//carB//sgbU//rutE//
CRP_Cra_PrpR	lysA//glpK//rnpB//recF//
CRP_CreB_Fis_MalT	purM//
CRP_CsiR_H-NS_Lrp	mhpD//
CRP_CsiR_H-NS_Lrp_Nac	puuA//carB//ulaG//
CRP_CspA_Fis	lpxD//
CRP_CytR	rutA//
CRP_CytR_DeoR	fadI//citF//
CRP_CytR_DeoR_Fis_ModE	glpQ//paaH//guaB//cdd//
CRP_CytR_Nac	tam//
CRP_CytR_NsrR	aceE//
CRP_DcuR_FNR_NarL	pncB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	moeB//ilvG_1//
CRP_DpiA_ExuR	glpX//
CRP_DsdC	nirB//glpB//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	puuA//
CRP_ExuR	paaC//
CRP_ExuR_FNR	ftsI//gloA//
CRP_ExuR_OxyR_UxuR	accB//entA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	glnA//
CRP_FNR_Fis	entB//paaC//
CRP_FNR_Fis_GlpR_IHF	pspE//ssuD//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	cysJ//gutQ//ulaD//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	ackA//tauD//paaI//uxaB//prmC//
CRP_FNR_NarL	fadB//cdd//
CRP_FeaR_NsrR	dsdA//
CRP_Fis	lacA//acs//dmsB//
CRP_Fis_FlhDC_GalR_GalS	gntK//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	garL//gatD//
CRP_Fis_IHF	cysH//hycE//purN//
CRP_Fis_NanR	acs//fucK//lhgO//xylA//
CRP_Fis_NtrC	nrdD//
CRP_Fis_XylR	edd//
CRP_FlhDC_GalR_GalS	citD//
CRP_FucR	hyaC//adiA//fes//entC//fadA//ahpF//
CRP_Fur	gcd//hyaA//katE//srlD//ddlB//betA//aroL//araA//dadX//moaE//
CRP_Fur_HypT_PdhR	hycG//hycF//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	sucC//glcD//torC//sodA//
CRP_GalR_GalS_NagC	recF//
CRP_GlpR	mnmG//rhaA//glgP//
CRP_GntR	purN//
CRP_GntR_IdnR	treC//ilvD//entH//hmp//ilvH//entA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	torA//caiD//nanE//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	uxuB//
CRP_H-NS_LacI	tdcG//fadE//paaJ//
CRP_H-NS_LeuO	hycG//
CRP_H-NS_MqsA	
CRP_IHF	gnd//napB//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	araA//
CRP_IHF_PaaX	xylA//moaD//mpl//udp//ndh//araB//frdD//prpD//
CRP_IHF_UlaR	gltA//gltD//hycB//mhpF//
CRP_IHF_YiaJ	galM//tdcD//puuE//lsrG//murQ//argD//
CRP_LexA	
CRP_Lrp	dsdA//gadB//gatD//astE//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	eda//
CRP_LsrR	acnA//fabB//cadA//pgaB//caiA//
CRP_MalI	mhpA//tdcG//
CRP_MalT	chbG//sdhA//
CRP_MalT_PhoP	glgC//
CRP_MelR	paaZ//fadD//
CRP_MetJ	ilvG_2//
CRP_MhpR	carA//mtlD//entA//uxaA//dadA//glgC//
CRP_Mlc	
CRP_ModE	araA//
CRP_MurR	galT//astB//xylB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	ldtB//
CRP_NagC	sucA//nirD//tdcE//rnpB//dusB//
CRP_NagC_NanR	eda//cyoE//
CRP_NagC_PhoP	hycC//
CRP_OxyR	
CRP_OxyR_UxuR	gcd//
CRP_PhoB	paaH//hycD//
CRP_PhoP	pgaB//nagA//narG//
CRP_PutA	ulaE//
CRP_RbsR	glpK//dmsA//fadD//
CRP_RhaR_RhaS	
CRP_RhaS	metK//gadB//ynfE//
CRP_Rob	dusB//
CRP_TorR	ilvA//glpQ//
CRP_UhpA_UvrY	cysI//
CRP_UidR_UxuR	galE//eda//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	aroA//glgA//
Cbl_CysB_FNR_IHF	malY//ldtB//ahpF//
CdaR_FNR_Fis_Fur_H-NS	mtlD//malS//
CdaR_FNR_Fur_H-NS	nrdF//narH//hycG//paaB//
CpxR_CsgD_FliZ	
CpxR_CysB	frdB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	metB//
CpxR_GadE	patA//hypB//ubiC//
CpxR_H-NS	glpK//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	nrdB//
Cra_FNR_Fis_Lrp_NarL	entD//
Cra_FNR_Fur_MarA_Rob_SoxS	caiD//
Cra_FhlA_FlhDC	tdcB//
Cra_GntR_KdgR	uxaA//
Cra_GntR_KdgR_PhoB	nagB//
Cra_MarA_SoxS	xylA//
Cra_PdeL	serA//
Cra_SgrR	sodA//
Cra_TyrR	rhaB//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	idnK//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	prmC//lhgO//
CusR_PhoB_YedW	acnB//
CysB_H-NS	ahpF//mhpE//lpd//
CysB_HypT_IHF	metL//
CysB_IHF	araB//entE//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	narH//
DinJ-YafQ_LexA	glpK//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	astB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	dmsB//
FNR_FhlA_NarL_NarP	gdhA//epd//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gcd//
FNR_Fis_IHF_ModE_NarL	sucC//
FNR_Fis_IHF_NarL	ynfH//
FNR_Fis_IHF_NarL_RstA	rhaB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	pdeR//
FNR_FlhDC_ModE_NarL_NarP	edd//
FNR_Fur	uxaC//gatY//
FNR_Fur_GadE	sodB//
FNR_Fur_GadX_NtrC	glgC//
FNR_Fur_H-NS	fabZ//caiA//napG//
FNR_Fur_MetR_NsrR	purD//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	uxaC//
FNR_Fur_OxyR	hcp//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	katG//
FNR_H-NS_NrdR	rhaB//aspA//
FNR_IHF	mhpB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	nagB//
FNR_IHF_PhoB	
FNR_MalT	aceA//eda//
FNR_ModE	
FNR_NarL	fadB//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	glpD//metE//
FNR_NarL_NikR	aldB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	malS//accB//
FNR_YqjI	
FabR_FadR	malS//cysH//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	pspE//idnD//
FhlA_IHF_NsrR	
Fis_Fur	nemA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	chbF//
Fis_IHF	
Fis_IHF_NtrC	dgcZ//deoC//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	betA//
Fis_NarL	ppiA//
Fis_NarL_NarP_NsrR	
Fis_PurR	pgaC//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	mtlD//
Fur_H-NS	gltB//gatZ//
Fur_IHF_IscR_NsrR_OxyR	deoB//
Fur_IscR_NrdR	ftsI//
Fur_MetR	ilvA//
Fur_MntR	lldD//
Fur_MntR_OxyR	sdhD//
Fur_OxyR	
Fur_PurR	entD//
Fur_RcnR	paaA//
Fur_RutR	aldB//
Fur_SoxS_Zur	
Fur_YqjI	murC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	cyoE//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	puuA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	pgaD//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	ulaD//
H-NS_Lrp_NhaR_RcsB	citX//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	atoA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	aldA//
HU_IHF_TyrR	paaF//
HigA_HigB-HigA	rhaD//
HipAB_HipB_IHF	yiaK//
HypT_MetJ	hyaA//
HypT_MetJ_PhoP	uxaB//paaH//
IHF_Lrp	aspA//hyaC//tam//poxB//pgk//
IHF_NsrR	
IHF_NtrC	torC//
IHF_PhoP	
IHF_PspF	ilvA//
IHF_RcsAB	
IHF_RtcR	garR//hemA//
IHF_TyrR	ynfG//
IHF_UlaR	uxaA//
LexA_MraZ_PdhR	citE//lpxC//ahpF//garL//xylB//narG//lysA//astB//aspC//araD//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	atoD//entD//
MarA_PhoP_Rob_SoxS	uidA//ynfG//putA//caiD//rutC//ftsI//relA//rutE//aroA//
MarA_Rob_SoxS	entD//fadH//
MarA_SoxS	carB//acnA//paaG//
MetJ_MetR	accC//
MetJ_OxyR	aceF//
MetR_PurR	rhaB//
MraZ_PdhR	lpxC//
Nac_PurR	glcF//fucA//
NarL_TorR	lsrG//
NemR_RutR	glnA//puuE//
NhaR_OmpR	fbaA//sdhD//tdcG//
NorR_NsrR	
NsrR_PhoB	entE//
OxyR_SoxS	
PdhR_PhoP	fau//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	lsrF//accC//
RelB_RelB-RelE	malP//
TrpR_TyrR	cysI//
YefM_YefM-YoeB	astA//
