# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	puuA//citC//
ArcA_CRP_IHF	hyaC//
ArcA_CRP_PuuR	sgbU//rutA//pncB//napB//
ArcA_CRP_RhaS	citC//
ArcA_CRP_TreR	moaD//carB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	poxB//cysH//
ArcA_Cra	rhaB//
ArcA_Cra_FNR_H-NS_HypT	murC//
ArcA_CysB_FNR	
ArcA_FNR	hycB//accC//mhpE//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	galE//
ArcA_FNR_Fis_IHF_NarL	rutA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	napB//gatD//
ArcA_FNR_IHF_NarL	fes//pdeL//
ArcA_FNR_NarL	ilvD//dadX//fadA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	umpH//aceF//
ArcA_FadR	galM//lyxK//accB//
ArcA_FadR_Fis	cysJ//mnmG//
ArcA_Fur_Lrp_ModE	aspC//relA//
ArcA_GlcC_IHF_PdhR	paaJ//citF//katE//
ArcA_LexA	aspA//
ArcA_LldR	guaB//purN//
ArcA_NarL	ahpC//
ArcA_NtrC_PhoP_RutR	galM//uxaB//hemA//rutC//glpD//murQ//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	gadA//
ArgP_CRP_FNR_Fur_Nac	nrfD//
ArgP_DnaA	waaY//
ArgP_Lrp	aldA//ilvD//
ArgP_LysR	pgaC//
ArgP_PhoB	
ArgR_CRP	uxuB//
ArgR_CRP_Fis	uxuA//gcvP//fadE//
ArgR_Fis_IHF_PepA_PurR_RutR	ulaG//
ArgR_H-NS_NtrC	ahpC//fdhF//
ArgR_NtrC	mazG//sgbE//paaA//mtlD//lacZ//
ArgR_PhoP	glcF//
AscG_CRP	gatZ//nanA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	uxaA//
AtoC_IHF	napA//fadE//waaY//
BaeR_CpxR	bglB//
BaeR_CpxR_EvgA	moaD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	torA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	hyaA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	glcB//atoB//glpX//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	purA//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	argD//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	garK//fadI//malP//gltD//ulaF//treC//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	paaA//codA//ilvA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	aspC//ilvE//metH//
CRP_Cra_Mlc_NagC	katE//glpC//moaD//fes//
CRP_Cra_PrpR	hycF//ansB//hemL//umpH//
CRP_CreB_Fis_MalT	hypF//
CRP_CsiR_H-NS_Lrp	acnA//
CRP_CsiR_H-NS_Lrp_Nac	nanE//caiC//citF//
CRP_CspA_Fis	glgP//
CRP_CytR	rutE//
CRP_CytR_DeoR	moaA//fdhF//
CRP_CytR_DeoR_Fis_ModE	gnd//rutC//rimK//nemA//
CRP_CytR_Nac	araD//
CRP_CytR_NsrR	tdcB//
CRP_DcuR_FNR_NarL	napH//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	ilvE//ilvE//
CRP_DpiA_ExuR	nemA//
CRP_DsdC	rhaB//uidA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	fadE//
CRP_ExuR	ynfF//
CRP_ExuR_FNR	uxaB//cysH//
CRP_ExuR_OxyR_UxuR	pdeL//ilvI//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	idnK//
CRP_FNR_Fis	fadJ//gntK//
CRP_FNR_Fis_GlpR_IHF	guaA//paaH//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	uxaB//guaA//rhaB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	pdeL//ilvE//epd//icd//moaE//
CRP_FNR_NarL	ackA//fabA//
CRP_FeaR_NsrR	deoC//
CRP_Fis	gcvT//caiC//hmp//
CRP_Fis_FlhDC_GalR_GalS	napG//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	prpC//ugpQ//
CRP_Fis_IHF	entE//moaD//metK//
CRP_Fis_NanR	mpl//glgC//guaA//glcB//
CRP_Fis_NtrC	ynfF//
CRP_Fis_XylR	yiaK//
CRP_FlhDC_GalR_GalS	napA//
CRP_FucR	idnD//ahpC//fadD//paaI//metK//galK//
CRP_Fur	aldA//lldD//glyA//hmp//murF//cysI//moaE//entE//carB//fucO//
CRP_Fur_HypT_PdhR	gltA//fabB//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	astA//nagA//paaK//gabD//
CRP_GalR_GalS_NagC	lpxD//
CRP_GlpR	gadB//citD//mazG//
CRP_GntR	zwf//
CRP_GntR_IdnR	hycF//pdeL//paaE//ulaE//adhE//sdhA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	truB//frdC//ahpC//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	mnmG//
CRP_H-NS_LacI	pyrC//pnp//glpQ//
CRP_H-NS_LeuO	lysA//
CRP_H-NS_MqsA	
CRP_IHF	hycF//glyA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	sgbE//
CRP_IHF_PaaX	waaZ//ynfG//mdh//deoB//folA//nagB//galK//ssuD//
CRP_IHF_UlaR	katE//serC//rutE//mhpA//
CRP_IHF_YiaJ	hyaB//glcF//fau//nagB//cysI//fadB//
CRP_LexA	
CRP_Lrp	rnpB//gapA//paaJ//ilvH//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	torA//
CRP_LsrR	poxB//gcvH//tnaA//hycE//glpB//
CRP_MalI	fabZ//gabT//
CRP_MalT	fucO//nanM//
CRP_MalT_PhoP	glpB//
CRP_MelR	truB//aceF//
CRP_MetJ	paaC//
CRP_MhpR	paaG//caiB//serC//paaJ//hycF//citG//
CRP_Mlc	
CRP_ModE	ynfG//
CRP_MurR	aspC//aldB//carB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	ilvM//
CRP_NagC	hycC//carA//hycB//aceE//puuC//
CRP_NagC_NanR	gcd//gcd//
CRP_NagC_PhoP	astE//
CRP_OxyR	
CRP_OxyR_UxuR	paaZ//
CRP_PhoB	argG//lpd//
CRP_PhoP	ahpF//napG//frdB//
CRP_PutA	rhaD//
CRP_RbsR	lsrK//betB//glcF//
CRP_RhaR_RhaS	
CRP_RhaS	puuB//hycC//pgk//
CRP_Rob	mnmG//
CRP_TorR	metE//fabB//
CRP_UhpA_UvrY	fabB//
CRP_UidR_UxuR	aroA//ubiC//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	nrfA//aroA//
Cbl_CysB_FNR_IHF	glpB//pyrC//entB//
CdaR_FNR_Fis_Fur_H-NS	rutA//nemA//
CdaR_FNR_Fur_H-NS	argD//deoB//rnpB//adiA//
CpxR_CsgD_FliZ	
CpxR_CysB	aceB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	hycB//
CpxR_GadE	poxB//dadA//puuB//
CpxR_H-NS	sufS//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	glcD//
Cra_FNR_Fis_Lrp_NarL	ulaD//
Cra_FNR_Fur_MarA_Rob_SoxS	malY//
Cra_FhlA_FlhDC	serC//
Cra_GntR_KdgR	feaB//
Cra_GntR_KdgR_PhoB	atoD//
Cra_MarA_SoxS	fau//
Cra_PdeL	gcvT//
Cra_SgrR	rutA//
Cra_TyrR	prpE//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	citC//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	lpd//xylA//
CusR_PhoB_YedW	tam//
CysB_H-NS	nanK//glgC//fucI//
CysB_HypT_IHF	betA//
CysB_IHF	dgcZ//hcp//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	adhE//
DinJ-YafQ_LexA	paaI//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	aldB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	aroG//
FNR_FhlA_NarL_NarP	puuA//ugpQ//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	chbF//
FNR_Fis_IHF_ModE_NarL	prpE//
FNR_Fis_IHF_NarL	tauD//
FNR_Fis_IHF_NarL_RstA	pgaC//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	aceF//
FNR_FlhDC_ModE_NarL_NarP	tauD//
FNR_Fur	pgaD//idnO//
FNR_Fur_GadE	paaB//
FNR_Fur_GadX_NtrC	prpB//
FNR_Fur_H-NS	purD//sdhB//gatZ//
FNR_Fur_MetR_NsrR	garK//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	ulaG//
FNR_Fur_OxyR	rutE//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	glcD//
FNR_H-NS_NrdR	eda//fau//
FNR_IHF	glyA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	gapA//
FNR_IHF_PhoB	
FNR_MalT	gcvT//narH//
FNR_ModE	
FNR_NarL	paaG//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	ulaE//hpt//
FNR_NarL_NikR	metK//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	paaZ//nrdE//
FNR_YqjI	
FabR_FadR	mazG//gcvH//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	frdD//paaA//
FhlA_IHF_NsrR	
Fis_Fur	purD//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	rutD//
Fis_IHF	
Fis_IHF_NtrC	nirD//caiD//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	xylB//
Fis_NarL	ynfF//
Fis_NarL_NarP_NsrR	
Fis_PurR	fbaA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	katE//
Fur_H-NS	caiA//nrdF//
Fur_IHF_IscR_NsrR_OxyR	sgbU//
Fur_IscR_NrdR	glcF//
Fur_MetR	umpH//
Fur_MntR	deoB//
Fur_MntR_OxyR	chbG//
Fur_OxyR	
Fur_PurR	dsdA//
Fur_RcnR	nanM//
Fur_RutR	ssuD//
Fur_SoxS_Zur	
Fur_YqjI	entA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	gadA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	metB//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	uxuA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	truB//
H-NS_Lrp_NhaR_RcsB	fumA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	garK//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	hmp//
HU_IHF_TyrR	sodB//
HigA_HigB-HigA	pyrD//
HipAB_HipB_IHF	astD//
HypT_MetJ	idnD//
HypT_MetJ_PhoP	mhpD//gcvH//
IHF_Lrp	entF//fucU//ddlB//napG//gloA//
IHF_NsrR	
IHF_NtrC	rutC//
IHF_PhoP	
IHF_PspF	fumB//
IHF_RcsAB	
IHF_RtcR	nirD//lpxA//
IHF_TyrR	puuA//
IHF_UlaR	nagA//
LexA_MraZ_PdhR	murQ//prmC//gcvH//rutE//nrfB//glpA//citC//hycF//frdB//ynfH//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	deoD//uxuA//
MarA_PhoP_Rob_SoxS	prpB//lsrK//gabT//betB//lacZ//hycG//malS//fucK//tdcD//
MarA_Rob_SoxS	dgcZ//prpD//
MarA_SoxS	gatD//prmC//dgcZ//
MetJ_MetR	nrfC//
MetJ_OxyR	gatZ//
MetR_PurR	ackA//
MraZ_PdhR	sgbH//
Nac_PurR	rutD//nfsA//
NarL_TorR	citE//
NemR_RutR	nrfC//tnaA//
NhaR_OmpR	gatZ//gadB//rutC//
NorR_NsrR	
NsrR_PhoB	sucA//
OxyR_SoxS	
PdhR_PhoP	aroG//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	hemL//nrfD//
RelB_RelB-RelE	ilvM//
TrpR_TyrR	prpD//
YefM_YefM-YoeB	rimK//
