# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	acnB//uxuB//
ArcA_CRP_GlpR	ilvD//
ArcA_CRP_IHF	gcvH//
ArcA_CRP_PuuR	dgcZ//tnaA//caiC//glcE//
ArcA_CRP_RhaS	uxuB//
ArcA_CRP_TreR	idnD//dsdA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	nagB//malP//
ArcA_Cra	chbG//
ArcA_Cra_FNR_H-NS_HypT	kbaZ//
ArcA_CysB_FNR	
ArcA_FNR	gapA//malY//glpX//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	sucC//
ArcA_FNR_Fis_IHF_NarL	sucA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	nfsA//nagA//
ArcA_FNR_IHF_NarL	nagB//mazG//
ArcA_FNR_NarL	pdeL//melA//nanM//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	pyrD//ddlB//
ArcA_FadR	ulaF//gltA//sgbE//
ArcA_FadR_Fis	nanK//serA//
ArcA_Fur_Lrp_ModE	citE//waaZ//
ArcA_GlcC_IHF_PdhR	ulaE//ubiA//tdcE//
ArcA_LexA	ahpC//
ArcA_LldR	lacZ//lpxC//
ArcA_NarL	glcE//
ArcA_NtrC_PhoP_RutR	gabT//murC//aldA//gatZ//hycC//feaB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	paaZ//
ArgP_CRP_FNR_Fur_Nac	aroA//
ArgP_DnaA	ynfG//
ArgP_Lrp	paaB//hpt//
ArgP_LysR	tdcG//
ArgP_PhoB	
ArgR_CRP	astB//
ArgR_CRP_Fis	nfsB//nrfD//tauD//
ArgR_Fis_IHF_PepA_PurR_RutR	fadA//
ArgR_H-NS_NtrC	cysH//ynfF//
ArgR_NtrC	sucC//moaD//fadD//ogt//purN//
ArgR_PhoP	feaB//
AscG_CRP	ynfE//fadE//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	ackA//
AtoC_IHF	gapA//argG//gabD//
BaeR_CpxR	srlD//
BaeR_CpxR_EvgA	fdhF//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	edd//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	nirD//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	ugpQ//purD//sdhB//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	nirD//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	lpd//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	cysH//gloA//ulaG//cysI//murF//narI//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	uxuB//narH//gabT//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	tnaA//cysI//aspC//
CRP_Cra_Mlc_NagC	ynfF//paaC//nrfB//argD//
CRP_Cra_PrpR	feaB//rutB//paaE//aceB//
CRP_CreB_Fis_MalT	fadD//
CRP_CsiR_H-NS_Lrp	gcvT//
CRP_CsiR_H-NS_Lrp_Nac	araA//cysG//pflB//
CRP_CspA_Fis	hemA//
CRP_CytR	malQ//
CRP_CytR_DeoR	melA//umpH//
CRP_CytR_DeoR_Fis_ModE	ahpF//nrfC//nagB//nfsA//
CRP_CytR_Nac	purA//
CRP_CytR_NsrR	cysG//
CRP_DcuR_FNR_NarL	acnA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	galE//uxaA//
CRP_DpiA_ExuR	hycC//
CRP_DsdC	entD//pyrD//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	nrfC//
CRP_ExuR	acnA//
CRP_ExuR_FNR	umpH//gltD//
CRP_ExuR_OxyR_UxuR	chbG//paaF//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	astD//
CRP_FNR_Fis	gadA//pgaC//
CRP_FNR_Fis_GlpR_IHF	lpxA//napG//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	astD//lpxA//entF//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	nrfB//puuE//ppiA//ubiA//mtlD//
CRP_FNR_NarL	tnaA//hycE//
CRP_FeaR_NsrR	fes//
CRP_Fis	appA//tnaA//caiD//
CRP_Fis_FlhDC_GalR_GalS	adiA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	fbaA//paaG//
CRP_Fis_IHF	caiB//ilvH//purN//
CRP_Fis_NanR	garL//tauD//gcvH//tdcB//
CRP_Fis_NtrC	hpt//
CRP_Fis_XylR	putA//
CRP_FlhDC_GalR_GalS	puuB//
CRP_FucR	guaA//paaI//appA//atoD//hmp//torC//
CRP_Fur	yqjH//astD//lpxA//citC//uxaB//gapA//gatY//cysJ//prpC//fadJ//
CRP_Fur_HypT_PdhR	entE//hycE//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	aceA//gapA//hycC//uxaB//
CRP_GalR_GalS_NagC	deoD//
CRP_GlpR	napH//astE//fumB//
CRP_GntR	fumC//
CRP_GntR_IdnR	codA//deoB//rimK//nrfC//ascB//uxaA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	nanA//prpB//nanK//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	hyaB//
CRP_H-NS_LacI	srlD//gatZ//melA//
CRP_H-NS_LeuO	ulaG//
CRP_H-NS_MqsA	
CRP_IHF	nagA//hycE//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	purD//
CRP_IHF_PaaX	lysA//citG//rutB//kbaZ//fes//glpB//idnD//sucC//
CRP_IHF_UlaR	ascB//prpE//fau//lpxD//
CRP_IHF_YiaJ	ulaD//nrfD//pdeL//gapA//nrfD//rnpB//
CRP_LexA	
CRP_Lrp	fadJ//recF//paaK//fdhF//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	pdeL//
CRP_LsrR	galE//cysJ//entF//tdcE//fucK//
CRP_MalI	rnpB//gcvH//
CRP_MalT	murF//rhaA//
CRP_MalT_PhoP	aroL//
CRP_MelR	aceA//sucD//
CRP_MetJ	paaZ//
CRP_MhpR	rhaD//hycC//purA//appA//glgC//ugpQ//
CRP_Mlc	
CRP_ModE	glyA//
CRP_MurR	fumC//aldB//mhpB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	murD//
CRP_NagC	recF//garK//cysG//paaB//recF//
CRP_NagC_NanR	ynfE//glpA//
CRP_NagC_PhoP	hycD//
CRP_OxyR	
CRP_OxyR_UxuR	pck//
CRP_PhoB	gatZ//zwf//
CRP_PhoP	paaI//metL//glpQ//
CRP_PutA	frdC//
CRP_RbsR	fbaA//caiD//tam//
CRP_RhaR_RhaS	
CRP_RhaS	adiA//araB//aceA//
CRP_Rob	uxuA//
CRP_TorR	paaZ//fau//
CRP_UhpA_UvrY	citG//
CRP_UidR_UxuR	dusB//nanE//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	sdhD//xylB//
Cbl_CysB_FNR_IHF	nrfD//atoA//mpl//
CdaR_FNR_Fis_Fur_H-NS	puuB//rutD//
CdaR_FNR_Fur_H-NS	serA//glgA//atoB//murF//
CpxR_CsgD_FliZ	
CpxR_CysB	fadH//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ndh//
CpxR_GadE	mazG//fadI//ldtB//
CpxR_H-NS	mhpD//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	nrdF//
Cra_FNR_Fis_Lrp_NarL	kbaZ//
Cra_FNR_Fur_MarA_Rob_SoxS	guaB//
Cra_FhlA_FlhDC	aroA//
Cra_GntR_KdgR	paaB//
Cra_GntR_KdgR_PhoB	gnd//
Cra_MarA_SoxS	moeA//
Cra_PdeL	rsmH//
Cra_SgrR	galT//
Cra_TyrR	nanE//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	gnd//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	ulaG//nanA//
CusR_PhoB_YedW	pnp//
CysB_H-NS	frdB//pnp//ulaF//
CysB_HypT_IHF	lysA//
CysB_IHF	xylB//frdD//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	katE//
DinJ-YafQ_LexA	xylB//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	uxaA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	citX//
FNR_FhlA_NarL_NarP	gadA//rutD//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	purH//
FNR_Fis_IHF_ModE_NarL	fadE//
FNR_Fis_IHF_NarL	uxaB//
FNR_Fis_IHF_NarL_RstA	murG//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	entD//
FNR_FlhDC_ModE_NarL_NarP	malS//
FNR_Fur	fabZ//bglB//
FNR_Fur_GadE	katE//
FNR_Fur_GadX_NtrC	zwf//
FNR_Fur_H-NS	mdh//ppiA//glyA//
FNR_Fur_MetR_NsrR	puuA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	ahpF//
FNR_Fur_OxyR	lpxC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	citD//
FNR_H-NS_NrdR	fucI//codA//
FNR_IHF	murF//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	napA//
FNR_IHF_PhoB	
FNR_MalT	cysI//nrfB//
FNR_ModE	
FNR_NarL	rsmH//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	paaH//aroG//
FNR_NarL_NikR	lpxA//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	nrfD//garL//
FNR_YqjI	
FabR_FadR	deoB//fadH//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	lpd//fau//
FhlA_IHF_NsrR	
Fis_Fur	argG//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	rhaB//
Fis_IHF	
Fis_IHF_NtrC	waaH//entB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	entH//
Fis_NarL	ssuE//
Fis_NarL_NarP_NsrR	
Fis_PurR	gabT//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	hemL//
Fur_H-NS	rutA//udp//
Fur_IHF_IscR_NsrR_OxyR	pspE//
Fur_IscR_NrdR	nrdD//
Fur_MetR	prpC//
Fur_MntR	gapA//
Fur_MntR_OxyR	rnpB//
Fur_OxyR	
Fur_PurR	mhpF//
Fur_RcnR	dadA//
Fur_RutR	idnK//
Fur_SoxS_Zur	
Fur_YqjI	gnd//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	sucA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	gcd//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	galK//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	fadJ//
H-NS_Lrp_NhaR_RcsB	entE//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	hemA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	deoC//
HU_IHF_TyrR	pck//
HigA_HigB-HigA	malP//
HipAB_HipB_IHF	nfsA//
HypT_MetJ	gatZ//
HypT_MetJ_PhoP	murF//purM//
IHF_Lrp	puuE//nrfA//hyaC//sdhA//paaH//
IHF_NsrR	
IHF_NtrC	rbsD//
IHF_PhoP	
IHF_PspF	glpX//
IHF_RcsAB	
IHF_RtcR	lyxK//xylA//
IHF_TyrR	ilvG_1//
IHF_UlaR	paaB//
LexA_MraZ_PdhR	astB//uidA//hypF//gnd//prpE//ilvG_1//paaZ//pgaD//prpC//codA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	prpD//mnmG//
MarA_PhoP_Rob_SoxS	glcF//paaI//dgcZ//uidA//frdA//entC//lpd//nrfB//rnpB//
MarA_Rob_SoxS	entD//idnO//
MarA_SoxS	katG//fumC//fadH//
MetJ_MetR	acs//
MetJ_OxyR	pncB//
MetR_PurR	astC//
MraZ_PdhR	napA//
Nac_PurR	pncB//astE//
NarL_TorR	dmsC//
NemR_RutR	dadA//fdhF//
NhaR_OmpR	pgaD//ilvI//astD//
NorR_NsrR	
NsrR_PhoB	glpC//
OxyR_SoxS	
PdhR_PhoP	napH//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	malY//malS//
RelB_RelB-RelE	nrfC//
TrpR_TyrR	glnA//
YefM_YefM-YoeB	fumC//
