# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	mnmG//truB//
ArcA_CRP_IHF	murF//
ArcA_CRP_PuuR	waaY//rutD//rutD//cysJ//
ArcA_CRP_RhaS	idnD//
ArcA_CRP_TreR	argG//gcvP//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	tnaA//lldD//
ArcA_Cra	prpD//
ArcA_Cra_FNR_H-NS_HypT	murQ//
ArcA_CysB_FNR	
ArcA_FNR	fadA//ahpF//dusB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	ascB//
ArcA_FNR_Fis_IHF_NarL	murF//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	garR//atoA//
ArcA_FNR_IHF_NarL	fadE//glcB//
ArcA_FNR_NarL	nagA//purM//sdhC//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	lpd//sdhA//
ArcA_FadR	ynfH//katE//zwf//
ArcA_FadR_Fis	glgP//guaB//
ArcA_Fur_Lrp_ModE	sucC//ilvG_2//
ArcA_GlcC_IHF_PdhR	dmsB//fucK//astA//
ArcA_LexA	murF//
ArcA_LldR	murG//kbaZ//
ArcA_NarL	glcF//
ArcA_NtrC_PhoP_RutR	astA//hyaA//fucI//zwf//citE//nrdA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	murF//
ArgP_CRP_FNR_Fur_Nac	citE//
ArgP_DnaA	murE//
ArgP_Lrp	garK//paaA//
ArgP_LysR	mpl//
ArgP_PhoB	
ArgR_CRP	prpC//
ArgR_CRP_Fis	lpxD//hycF//frdC//
ArgR_Fis_IHF_PepA_PurR_RutR	mraY//
ArgR_H-NS_NtrC	nrdD//puuB//
ArgR_NtrC	aldA//napA//deoB//cysJ//mraY//
ArgR_PhoP	nrfC//
AscG_CRP	astB//frdD//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	hycG//
AtoC_IHF	lpxD//entC//hemA//
BaeR_CpxR	mazG//
BaeR_CpxR_EvgA	acnA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	kbaZ//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	aceE//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	appA//gatY//nfsA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	lhgO//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	mdh//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	hyaC//paaH//puuD//fbaA//gatD//cadA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	narI//malS//prmC//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	nanK//pdeR//narI//
CRP_Cra_Mlc_NagC	nrdA//gloA//caiB//katE//
CRP_Cra_PrpR	nemA//rbsD//glpK//ftnA//
CRP_CreB_Fis_MalT	glpB//
CRP_CsiR_H-NS_Lrp	acnB//
CRP_CsiR_H-NS_Lrp_Nac	nfsB//lldD//caiB//
CRP_CspA_Fis	cysI//
CRP_CytR	rimK//
CRP_CytR_DeoR	glgA//rhaA//
CRP_CytR_DeoR_Fis_ModE	paaF//sucD//appA//bglB//
CRP_CytR_Nac	ackA//
CRP_CytR_NsrR	mazG//
CRP_DcuR_FNR_NarL	rhaB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	prpB//fadE//
CRP_DpiA_ExuR	rhaA//
CRP_DsdC	eda//torC//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	eda//
CRP_ExuR	ansB//
CRP_ExuR_FNR	narH//hemL//
CRP_ExuR_OxyR_UxuR	lpd//idnK//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	glpQ//
CRP_FNR_Fis	gltD//gadA//
CRP_FNR_Fis_GlpR_IHF	nrdF//gcvP//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	paaI//fucK//icd//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	hyaC//ilvM//ulaG//paaZ//mraY//
CRP_FNR_NarL	argG//hycF//
CRP_FeaR_NsrR	paaI//
CRP_Fis	ftsI//paaE//ulaF//
CRP_Fis_FlhDC_GalR_GalS	puuD//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	pyrD//fadJ//
CRP_Fis_IHF	rutD//glpX//tdcE//
CRP_Fis_NanR	katE//citG//puuD//deoB//
CRP_Fis_NtrC	mhpD//
CRP_Fis_XylR	adhE//
CRP_FlhDC_GalR_GalS	ascB//
CRP_FucR	waaY//lsrK//gutQ//glgA//tnaA//entC//
CRP_Fur	cysH//ynfG//glcE//lsrK//nagA//ubiC//fadH//nrdE//idnD//carA//
CRP_Fur_HypT_PdhR	ahpC//sgbU//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	ugpQ//metL//caiB//moaD//
CRP_GalR_GalS_NagC	rutD//
CRP_GlpR	codA//araD//hycE//
CRP_GntR	hyaA//
CRP_GntR_IdnR	fadH//fucO//poxB//ynfE//cysJ//narI//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	dsdA//caiA//caiC//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	hmp//
CRP_H-NS_LacI	fucI//purM//prmC//
CRP_H-NS_LeuO	napH//
CRP_H-NS_MqsA	
CRP_IHF	idnK//aroA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	nirD//
CRP_IHF_PaaX	gdhA//icd//adhE//mdh//pgk//malY//sdhA//aceF//
CRP_IHF_UlaR	nanK//hyaC//nrdE//mtlD//
CRP_IHF_YiaJ	galK//ndh//ogt//deoC//rhaD//mtlD//
CRP_LexA	
CRP_Lrp	uxuA//lyxK//malP//lpxA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	gltB//
CRP_LsrR	adiA//codA//malS//fabZ//entB//
CRP_MalI	entB//nanA//
CRP_MalT	galK//dgcZ//
CRP_MalT_PhoP	fadE//
CRP_MelR	fadH//prpB//
CRP_MetJ	mhpD//
CRP_MhpR	gatY//metH//tam//mtlD//garL//sucB//
CRP_Mlc	
CRP_ModE	moaE//
CRP_MurR	hycD//pflB//nirD//
CRP_Nac_NsrR_PhoB	
CRP_NadR	gatZ//
CRP_NagC	pflB//pgaB//epd//prpD//caiC//
CRP_NagC_NanR	nrdF//carA//
CRP_NagC_PhoP	araB//
CRP_OxyR	
CRP_OxyR_UxuR	aceE//
CRP_PhoB	napA//ynfF//
CRP_PhoP	tam//nfsB//gapA//
CRP_PutA	adiA//
CRP_RbsR	yqjH//purN//tdcD//
CRP_RhaR_RhaS	
CRP_RhaS	idnD//gloA//sdhC//
CRP_Rob	ugpQ//
CRP_TorR	acnB//aroA//
CRP_UhpA_UvrY	citC//
CRP_UidR_UxuR	aldA//fadA//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	tdcG//gapA//
Cbl_CysB_FNR_IHF	paaB//tdcB//citX//
CdaR_FNR_Fis_Fur_H-NS	mtlD//galM//
CdaR_FNR_Fur_H-NS	hycE//purA//nanM//rbsD//
CpxR_CsgD_FliZ	
CpxR_CysB	puuC//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	rimK//
CpxR_GadE	narI//ldtB//cysH//
CpxR_H-NS	argG//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	gnd//
Cra_FNR_Fis_Lrp_NarL	entB//
Cra_FNR_Fur_MarA_Rob_SoxS	aroA//
Cra_FhlA_FlhDC	cadA//
Cra_GntR_KdgR	treC//
Cra_GntR_KdgR_PhoB	ftsI//
Cra_MarA_SoxS	narH//
Cra_PdeL	entA//
Cra_SgrR	hpt//
Cra_TyrR	sucB//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	ansB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	aldA//astB//
CusR_PhoB_YedW	umpH//
CysB_H-NS	mnmG//ilvG_1//lpd//
CysB_HypT_IHF	dadX//
CysB_IHF	pflB//fadI//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	gabT//
DinJ-YafQ_LexA	lhgO//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	malQ//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	nanK//
FNR_FhlA_NarL_NarP	xylB//pdeR//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	serC//
FNR_Fis_IHF_ModE_NarL	mnmG//
FNR_Fis_IHF_NarL	rbsK//
FNR_Fis_IHF_NarL_RstA	sdhA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	uxaB//
FNR_FlhDC_ModE_NarL_NarP	argG//
FNR_Fur	hycE//aroA//
FNR_Fur_GadE	rutC//
FNR_Fur_GadX_NtrC	udp//
FNR_Fur_H-NS	pspE//dgcZ//uxuA//
FNR_Fur_MetR_NsrR	glpQ//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	caiC//
FNR_Fur_OxyR	ubiC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	nfsB//
FNR_H-NS_NrdR	garL//tdcD//
FNR_IHF	atoA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	nanK//
FNR_IHF_PhoB	
FNR_MalT	gcvH//malY//
FNR_ModE	
FNR_NarL	icd//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	moaE//paaA//
FNR_NarL_NikR	cyoE//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	ulaG//astD//
FNR_YqjI	
FabR_FadR	edd//paaC//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	truB//glpC//
FhlA_IHF_NsrR	
Fis_Fur	pspE//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	aspA//
Fis_IHF	
Fis_IHF_NtrC	malY//astB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	sucD//
Fis_NarL	ahpC//
Fis_NarL_NarP_NsrR	
Fis_PurR	ascB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	accB//
Fur_H-NS	ilvE//ilvA//
Fur_IHF_IscR_NsrR_OxyR	dgcZ//
Fur_IscR_NrdR	ulaG//
Fur_MetR	cysH//
Fur_MntR	gcvP//
Fur_MntR_OxyR	gltD//
Fur_OxyR	
Fur_PurR	ilvM//
Fur_RcnR	entF//
Fur_RutR	glpB//
Fur_SoxS_Zur	
Fur_YqjI	astC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	glpX//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	sucB//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	torA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	nagA//
H-NS_Lrp_NhaR_RcsB	rutA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	gcd//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	pdeR//
HU_IHF_TyrR	prpC//
HigA_HigB-HigA	dadA//
HipAB_HipB_IHF	entF//
HypT_MetJ	rutC//
HypT_MetJ_PhoP	betA//hyaB//
IHF_Lrp	rhaA//ilvG_2//murF//citG//accC//
IHF_NsrR	
IHF_NtrC	glpB//
IHF_PhoP	
IHF_PspF	lpxD//
IHF_RcsAB	
IHF_RtcR	fadH//narH//
IHF_TyrR	rhaD//
IHF_UlaR	treC//
LexA_MraZ_PdhR	sucA//frdA//pdeL//lysA//torA//sgbE//cysJ//ndh//appA//idnK//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	fbaA//galE//
MarA_PhoP_Rob_SoxS	mdh//astA//puuC//astB//lsrF//waaZ//dmsB//mraY//sgbU//
MarA_Rob_SoxS	paaE//mtlD//
MarA_SoxS	caiA//cyoE//serC//
MetJ_MetR	yiaK//
MetJ_OxyR	puuC//
MetR_PurR	galK//
MraZ_PdhR	entD//
Nac_PurR	ulaF//putA//
NarL_TorR	mhpD//
NemR_RutR	tnaA//lpxD//
NhaR_OmpR	fau//yiaK//uxuA//
NorR_NsrR	
NsrR_PhoB	nagB//
OxyR_SoxS	
PdhR_PhoP	nirB//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	fumA//galK//
RelB_RelB-RelE	ppiA//
TrpR_TyrR	deoA//
YefM_YefM-YoeB	mhpD//
